,Concept_ID,sah,mrj
61,Himmel::N,халлаан,пӹлгом
62,Sonne::N,күн,кечӹ
63,Mond::N,ый,тӹлзӹ
64,Stern::N,сулус,шӹдӹр
65,Luft::N,салгын,юж
66,Luft::N,салгын,воздух
67,Wind::N,тыал,мардеж
68,Welle::N,долгун,ко
69,Welle::N,долгун,коэ
70,Welle::N,балхаан,ко
71,Welle::N,балхаан,коэ
72,Wasser::N,уу,вӹд
73,Stein::N,таас,кӱ
74,Boden::N,сир,рок
75,Erde::N,буор,свет
76,Staub::N,быыл,пырак
77,Rauch::N,буруо,шӹкш
78,Funke::N,кыым,ип
79,Funke::N,кыым,тылип
80,Feuer::N,уот,тыл
81,Licht::N,уот,соты
82,Licht::N,уот,валгыды
83,Schatten::N,күлүк,ӹмӹл
84,Wetter::N,күн-дьыл,игечӹ
85,Nebel::N,туман,тӹтӹрӓ
86,Wolke::N,былыт,пӹл
87,Regen::N,самыыр,юр
88,Schnee::N,хаар,лым
89,Eis::N,муус,и
90,Frost::N,тымныы,ӱштӹ
91,Kälte::N,тымныы,ӱштӹ
92,Hitze::N,куйаас,шокшы
93,Raureif::N,кырыа,пöрш
94,Regenbogen::N,кустук,шанавӹл
95,Donner::N,этиҥ,хӹдӹртӹш
96,Strömung::N,сүүрүк,йогы
97,Tropfen::N,таммах,капльы
98,Tropfen::N,таммах,капльык
99,Tropfen::N,хааппыла,капльы
100,Tropfen::N,хааппыла,капльык
101,Schaum::N,күүгэн,шонг
102,Schmutz::N,кир,лявӹрӓ
103,See::N,күөл,йӓр
104,Sumpf::N,бадараан,лӱкӹ
105,Moor::N,дьэбэрэ,куп
106,Wiese::N,ходуһа,алык
107,Wald::N,ойуур,шӹргӹ
108,Hügel::N,булгунньах,пӱгӹрикӓ
109,Anhöhe::N,үрдэл,кӱкшикӓ
110,Berg::N,хайа,кырык
111,Gipfel::N,чыпчаал,неркӓ
112,Höhle::N,хайа_хаспаҕа,ы́раж
113,Höhle::N,көҥүс,ы́раж
114,Abhang::N,эниэ,полом
115,Quelle::N,дьүүктэ,вӹдсӹнзӓ
116,Bach::N,үрүйэ,ӓнгӹр
117,Fluss::N,өрүс,вӹд
118,Ufer::N,биэрэк,сир
119,Küste::N,кытыл,сир
120,Festland::N,кураанах сир,мӱлӓндӹ
121,Meer::N,муора,тангыж
122,Bucht::N,хомо,вӹдъял
123,Bucht::N,бухта,вӹдъял
124,Insel::N,арыы,острок
125,Blume::N,сибэкки,пеледӹш
126,Gras::N,от,шуды
127,Wurzel::N,силис,важ
128,Baum::N,мас,пушӓнгӹ
129,Stamm::N,умнас,пушӓнгӹ тӹнг
130,Rinde::N,хатырык,каргыж
131,Ast::N,мутук,укш
132,Zweig::N,лабаа,укш
133,Blatt::N,сэбирдэх,листӹ
134,Birke::N,хатыҥ,куги
135,Kiefer[Baum]::N,бэс,йӓктӹ
136,Weide[Baum]::N,үөт,уа
137,Weide[Baum]::N,талах,уа
138,Tanne::N,харыйа,кож
139,Horn::N,муос,шур
140,Feder::N,куорсун,пын
141,Fell::N,тирии,кавашты
142,Flügel::N,кынат,шылдыр
143,Klaue::N,тыҥырах,кӹч
144,Kralle::N,баппаҕай,лапа
145,Schwanz::N,кутурук,пач
146,Ei::N,сымыыт,мыны
147,Nest::N,уйа,пӹжӓш
148,Bau::N,хороон,ыраж
149,Tier::N,кыыл,во́льык
150,Tier::N,харамай,во́льык
151,Herde::N,үөр,кӹтö
152,Kuh::N,ынах,ышкал
153,Bulle::N,оҕус,ӱшкӱж
154,Pferd::N,сылгы,имни
155,Schaf::N,овца,шарык
156,Schwein::N,сибиинньэ,сасна
157,Hund::N,ыт,пи
158,Katze::N,куоска,коти
159,Bär::N,эһэ,мöскӓ
160,Eichhörnchen::N,тииҥ,ур
161,Elch::N,тайах,шарды
162,Fuchs::N,саһыл,рӹвӹж
163,Hase::N,куобах,морен
164,Maus::N,кутуйах,каля
165,Wolf::N,бөрө,пирӹ
166,Vogel::N,көтөр,кек
167,Schwarm::N,бөлөх,цуца
168,Huhn::N,куурусса,цӹвӹ
169,Hahn::N,бөтүүк,ӓптӓн
170,Gans::N,хаас,комбы
171,Adler::N,хотой,кучкыж
172,Ente::N,кус,лыды
173,Eule::N,мэкчиргэ,тымана
174,Kranich::N,туруйа,тырня
175,Kranich::N,туруйа,тыртня
176,Krähe::N,тураах,лудыгарак
177,Kuckuck::N,кэҕэ,куку
178,Schwan::N,куба,йӱксӹ
179,Fisch::N,балык,кол
180,Barsch::N,алыһар,алангы
181,Hecht::N,сордон,нуж
182,Hecht::N,сордон,нужгол
183,Schlange[Tier]::N,моҕой,кӹшкы
184,Schlange[Tier]::N,эриэн үөн,кӹшкы
185,Wurm::N,үөн,шукш
186,Spinne::N,ооҕуй,ӓнгӹремшӹ
187,Ameise::N,кымырдаҕас,кыткы
188,Laus::N,быт,ти
189,Mücke::N,кумаар,кужнер
190,Mücke::N,кумаар,кужынер
191,Fliege::N,сахсырҕа,шӹнгӓ
192,Schmetterling::N,лыах,лӹпӹ
193,Schmetterling::N,үрүмэччи,лӹпӹ
194,Beere::N,отон,мöр
195,Apfel::N,яблоко,олма
196,Pilz::N,тэллэй,понгы
197,Zwiebel::N,луук,охыра
198,Saat::N,сиэмэ,нӱшмӹ
199,Saat::N,сиэмэ,нӱшмӱ
200,Korn::N,сиэмэ,пӹрцӹ
201,Heu::N,от,шуды
202,Schale::N,хах,аваха
203,Schale::N,хах,карлангы
204,Grube::N,дьаама,йӓм
205,Falle::N,сохсо,лӱдӹ
206,Falle::N,сохсо,лӱдӹш
207,Schlinge::N,уктаа,онгы
208,Spur::N,суол,кишӓ
209,Asche::N,күл,ломых
210,Asche::N,күл,ломпыж
211,Dreck::N,бадараан,лявӹрӓ
212,Eisen::N,тимир,кӹртни
213,Gold::N,көмүс,шöртни
214,Gold::N,көмүс,шöртньӹ
215,Gold::N,кыһыл көмүс,шöртни
216,Gold::N,кыһыл көмүс,шöртньӹ
217,Silber::N,көмүс,ши
218,Silber::N,үрүҥ көмүс,ши
219,Kohle::N,чох,шӱ
220,Glas::N,өстүөкүлэ,охоница
221,Lehm::N,туой,шун
222,Sand::N,кумах,ошма
223,Mensch::N,киһи,эдем
224,Mann::N,эр,пӱэргӹ
225,Frau::N,дьахтар,ӹдӹрӓмӓш
226,Kind::N,оҕо,ӓзӓ
227,Kind::N,оҕо,шачшы
228,Junge::N,уол,рвезӹ
229,Junge::N,уол,ӹрвезӹ
230,Mädchen::N,кыыс оҕо,ӹдӹрӓш
231,Familie::N,кэргэн,йиш
232,Familie::N,кэргэн,семня
233,Großvater::N,эһэ,тьоти
234,Großmutter::N,эбэ,папа
235,Eltern::N,аҕа-ийэ,ӓтя-ӓвӓ
236,Vater::N,аҕа,ӓтя
237,Mutter::N,ийэ,ӓвӓ
238,Sohn::N,уол,эргӹ
239,Tochter::N,кыыс,ӹдӹр
240,Bruder::N,убай,ӹза
241,Bruder::N,быраат,ӹза
242,Schwester::N,аҕас,ӓкӓ
243,Schwester::N,балыс,ӓкӓ
244,Onkel::N,таай,кугуза
245,Onkel::N,абаҕа,кугуза
246,Tante::N,эдьиий,куака
247,Ehemann::N,эр,мары
248,Ehefrau::N,ойох,вӓтӹ
249,Freude::N,үөрүү,ӹвӹртӹмӓш
250,Gelächter::N,күлүү,ваштылмаш
251,Glück::N,дьол,пиӓл
252,Glück::N,соргу,пиӓл
253,Kummer::N,кутурҕан,ясы
254,Wunsch::N,баҕарыы,охата
255,Wunsch::N,баҕарыы,шанымаш
256,Lust::N,баҕа,шӓр
257,Lust::N,баҕа,охата
258,Lust::N,баҕа,шанымаш
259,Geist::N,тыын,тух
260,Gedanke::N,санаа,шанымаш
261,Gedächtnis::N,өй,ӓш
262,Verstand::N,өй,ыш
263,Sinn::N,суолта,кын
264,Grund::N,төрүөт,вир
265,Wahrheit::N,кырдьык,тöр
266,Gespräch::N,бэсиэдэ,хытырымаш
267,Gespräch::N,кэпсэтии,хытырымаш
268,Märchen::N,остуоруйа,ямак
269,Erzählung::N,кэпсээн,шайыштмаш
270,Nachricht::N,биллэриллии,увертӓрӹмӓш
271,Neuigkeit::N,сонун,увер
272,Name::N,аат,лӹм
273,Rätsel::N,таабырын,тышты
274,Rede::N,этии,шая
275,Rede::N,этии,шамак
276,Sprache::N,тыл,йӹлмӹ
277,Stimme::N,куолас,юк
278,Wort::N,тыл,шамак
279,Zeichen::N,бэлиэ,палӹ
280,Ruf::N,ыҥырыы,сӹгӹрӹмӓш
281,Lärm::N,айдаан,юкланымащ
282,Laut::N,тыас,юк
283,Ton::N,дорҕоон,юк
284,Lied::N,ырыа,мыры
285,Ruhe::N,уу чуумпу,тыр
286,Leute::N,дьон,эдемвлӓ
287,Volk::N,дьон,халык
288,Volk::N,норуот,халык
289,Arbeit::N,үлэ,пӓшӓ
290,Gast::N,ыалдьыт,хына
291,Geschenk::N,бэлэх,подарка
292,Spiel::N,оонньуу,мадыш
293,Gesellschaft::N,общество,йӓл
294,Gesellschaft::N,общество,йӓлвлӓ
295,Hilfe::N,көмө,палшык
296,Freund::N,доҕор,тӓнг
297,Kamerad::N,атас,тос
298,Angelegenheit::N,дьыала,дела
299,Angelegenheit::N,дьыала,йела
300,Angelegenheit::N,дьыала,йыла
301,Angelegenheit::N,дьыала,пӓшӓ
302,Anzahl::N,ахсаан,шот
303,Art::N,биис,цӹре
304,Stück::N,кырбас,лаштык
305,Teil::N,ирээт,пай
306,Teil::N,ирээт,часть
307,Hälfte::N,аҥар,пел
308,Kreis::N,төгүрүк,тӹртӹш
309,Kreis::N,төгүрүмтэ,тӹртӹш
310,Kreuz::N,кириэс,крестӹ
311,Linie::N,сурааһын,
312,Strich::N,сурааһын,
313,Abstand::N,арыт,ло
314,Entfernung::N,ыраах,ло
315,Gegend::N,сир,вӓр
316,Platz::N,арыт,вӓр
317,Ort::N,сир,вӓр
318,Seite::N,өрүт,öрдӹж
319,Seite::N,сирэй,öрдӹж
320,Mitte::N,орто,ло
321,Gegenstand::N,предмет,хӓдӹр
322,Sache::N,мал,хӓдӹр
323,Rand::N,кытыы,шöр
324,Rand::N,ойоҕос,шöр
325,Kante::N,кырыы,шöр
326,Ecke::N,муннук,лык
327,Spitze::N,чыпчаал,вуй
328,Ende::N,төбө,вуй
329,Ende::N,төбө,мычаш
330,Loch::N,тэһэҕэс,ыраж
331,Loch::N,дьөлөҕөс,ыраж
332,Winkel::N,муннук,лык
333,Muster::N,оһуор,тӹрлец
334,Größe::N,кээмэй,кӱкшӹц
335,Länge::N,уста,кыт
336,Höhe::N,үрдүк,кӱкшӹц
337,Gewicht::N,ыйааһын,нелӹц
338,Menge::N,ахсаан,шот
339,Haufen::N,чөмчөх,ара
340,Reihe::N,кэккэ,ряд
341,Boot::N,оҥочо,пыш
342,Ruder::N,эрдии,вешлӓ
343,Schlitten::N,сыарҕа,тир
344,Ski::N,хайыһар,ечӹ
345,Lagerfeuer::N,кутаа,тыл
346,Last::N,ыарахан,нелӹц
347,Gang::N,хаамыы,ход
348,Schritt::N,хардыы,ашкыл
349,Norden::N,хоту,йыдпелвел
350,Süden::N,соҕуруу,кечӹвӓлвел
351,Westen::N,арҕаа,кечӹ шӹцмӹ
352,Osten::N,илин,ирвел
353,Osten::N,илин,кечӹ лӱлтмӹ
354,Holz::N,мас,пушӓнгӹ
355,Brett::N,дуоска,ханга
356,Brett::N,хаптаһын,ханга
357,Platte::N,билиитэ,плитӓ
358,Stütze::N,тулааһын,цӓрӓк
359,Stange::N,ураҕас,равы
360,Stange::N,ураҕас,намаш
361,Stock::N,мас,панды
362,Stock::N,баалкы,панды
363,Stab::N,ураҕас,равы
364,Rohr::N,турба,пыч
365,Haus::N,дьиэ,пöрт
366,Heim::N,дьиэ,пöрт
367,Ofen::N,оһох,камака
368,Fußboden::N,муоста,седӹрӓ
369,Tisch::N,остуол,стöл
370,Stuhl::N,устуул,пöкен
371,Wiege::N,биһик,шипкӓ
372,Bett::N,кырабаат,койка
373,Bett::N,кырабаат,кравать
374,Regal::N,долбуур,полицӓ
375,Kiste::N,дьааһык,шӱ́ндӹк
376,Fenster::N,түннүк,окня
377,Tür::N,аан,амаса
378,Tor::N,аан,хапка
379,Zaun::N,соппулуот,забор
380,Dach::N,кырыыса,левӓш
381,Leiter::N,кирилиэс,ташкалтыш
382,Besen::N,миинньик,сало
383,Besen::N,миинньик,салко
384,Spaten::N,күрдьэх,кольмы
385,Schaufel::N,күрдьэх,лоток
386,Gabel::N,биилкэ,ви́лка
387,Löffel::N,луоска,савала
388,Messer::N,быһах,кӹзӹ
389,Nagel::N,тоһоҕо,пыда
390,Netz::N,илим,вӓпш
391,Haken::N,көхө,крӱк
392,Haken::N,көхө,кагак
393,Griff::N,ук,кычем
394,Griff::N,тутаах,кычем
395,Schloss::N,күлүүс,замок
396,Schloss::N,күлүүс,сыравач
397,Bild::N,хартыына,картин
398,Figur::N,фигура,кӓн
399,Puppe::N,куукула,поханя
400,Beutel::N,мөһөөччук,мешӓк
401,Bündel::N,баайыы,топ
402,Bündel::N,баайыы,пидӹш
403,Bündel::N,баайыы,кӹлдӹш
404,Tasche::N,суумка,сумкы
405,Eimer::N,биэдэрэ,ведӹрӓ
406,Deckel::N,хаппах,комдыш
407,Geschirr::N,иһит,ӓтӹ
408,Sack::N,куул,мешӓк
409,Tasse::N,сэлиэнэй,цӓшкӓ
410,Topf::N,көстүрүүҥкэ,ми́ска
411,Kessel::N,хочуол,пад
412,Essen::N,аһылык,качкыш
413,Essen::N,аһылык,качкыш-йӱш
414,Nahrung::N,ас,качкыш
415,Nahrung::N,ас,качкыш-йӱш
416,Speise::N,аһылык,няня
417,Fleisch::N,эт,пай
418,Getreide::N,злактар,киндӹ
419,Brei::N,хааһы,шӹрӓш
420,Brot::N,килиэп,сыкыр
421,Scheibe::N,куһуок,ламыт
422,Scheibe::N,куһуок,лаштык
423,Fett::N,сыа,кая
424,Butter::N,арыы,ӱ
425,Öl::N,арыы,ӱ
426,Salz::N,туус,санзал
427,Suppe::N,мин,лем
428,Honig::N,мүөт,мӱ
429,Milch::N,үүт,шӹшер
430,Tee::N,чэй,чӓй
431,Leder::N,тирии,шарга
432,Leder::N,тирии,кавашты
433,Wolle::N,түү,миж
434,Stoff::N,таҥас,матер
435,Stoff::N,таҥас,матери
436,Nadel::N,иннэ,им
437,Faden::N,сап,шӹртӹ
438,Knopf::N,тимэх,полдыш
439,Knoten::N,түмүк,пӱкшем
440,Farbe::N,кырааска,чиӓ
441,Farbe::N,кырааска,крӓскӓ
442,Kleidung::N,таҥас,выргем
443,Hemd::N,ырбаахы,тыгыр
444,Kragen::N,саҕа,шӱ
445,Ärmel::N,сиэх,шокш
446,Hose::N,ыстаан,ялаш
447,Hose::N,бүрүүкэ,ялаш
448,Gürtel::N,кур,ӹштӹ
449,Mütze::N,бэргэһэ,упш
450,Schuh::N,бачыыҥка,ту́фльы
451,Stiefel::N,саппыкы,кем
452,Ring::N,биһилэх,шӓргӓш
453,Band::N,лиэнтэ,лемтӓ
454,Kamm::N,тараах,шерге
455,Spiegel::N,сиэркилэ,тӹгӹр
456,Riemen::N,кур,прӓжӓ
457,Schnur::N,быа,кӓндӹра
458,Leine::N,тэһиин,керем
459,Decke::N,суорҕан,одеял
460,Kissen::N,сыттык,кӹпцӹк
461,Tuch::N,былаат,савыц
462,Handtuch::N,соттор,шӹргӹсавыц
463,Handtuch::N,соттор,шӹргӹмсавыц
464,Kraft::N,сыра,ви
465,Stärke::N,күүс,ви
466,Gesundheit::N,доруобуйа,шу
467,Gesundheit::N,доруобуйа,шулык
468,Krankheit::N,ыарыы,мыж
469,Schmerz::N,ыарыы,карштыш
470,Wunde::N,баас,шушыр
471,Fieber::N,түрүлгэн,ӱштӹмыж
472,Fieber::N,лихорадка,ӱштӹмыж
473,Fieber::N,температура,ӱштӹмыж
474,Arznei::N,эмп,лекӓрцӹ
475,Brücke::N,күргэ,кӹвер
476,Brunnen::N,холуодьас,вӹдсӹнзӓ
477,Weide::N,мэччирэҥ,ныр
478,Pfad::N,ыллык,ялгорны
479,Weg::N,суол,корны
480,Straße::N,суол,корны
481,Dorf::N,дэриэбинэ,сола
482,Stadt::N,куорат,города
483,Brief::N,сурук,сирмӓш
484,Buch::N,кинигэ,книгӓ
485,Buchstabe::N,буква,буква́
486,Zeitung::N,хаһыат,газет
487,Zeitung::N,хаһыат,кайзет
488,Leben::N,тыын,житя
489,Tod::N,өлүү,смöрт
490,Grab::N,иин,шӹгер
491,Grab::N,иин,мыгилӓ
492,Grab::N,иин,шӹгерлӓ
493,Kirche::N,таҥара дьиэтэ,церкӹ
494,Sünde::N,айыы,сулык
495,Gott::N,тангара,йымы
496,Arbeiter::N,үлэһит,пӓшӓзӹ
497,Chef::N,баһылык,вуй
498,Chef::N,начальник,вуй
499,Meister::N,уус,мастар
500,Meister::N,маастар,мастар
501,Arzt::N,врач,доктор
502,Lehrer::N,учуутал,тымдышы
503,Geld::N,харчы,окса
504,Geschäft::N,идэ,торге́йӹмӓш
505,Laden::N,маҕаһыын,лапка
506,Laden::N,маҕаһыын,магазин
507,Preis::N,сыана,ӓк
508,Ware::N,табаар,товар
509,Nutzen::N,туһа,пайда
510,Reichtum::N,баай,перке
511,Welt::N,аан дойду,сӓндӓлӹк
512,Welt::N,аан дойду,свет
513,Land::N,дойду,сӓндӓлӹк
514,Staat::N,государство,кугижӓншӹ
515,König::N,король,король
516,Macht::N,былаас,власть
517,Grenze::N,кыраныысса,пӹсмӓн
518,Krieg::N,сэрии,вырсы
519,Feind::N,өстөөх,тышман
520,Gewalt::N,күүһүлээһин,ви
521,Kampf::N,охсуһуу,кредӓлмӓш
522,Bogen[Waffe]::N,ох,янгеж
523,Pfeil::N,ох,пикш
524,Gewehr::N,саа,пичӓл
525,Fehler::N,сыыһа,самынь
526,Lüge::N,сымыйа,шая
527,Schaden::N,хоромньу,вре́дӓ
528,Unglück::N,алдьархай,пёда
529,Unglück::N,алдьархай,тымаша
530,Schuld::N,буруй,вуйнамат
531,Alter::N,саас,иӓш
532,Alter::N,саас,игечӹ
533,Schluss::N,тиһэх,пӹтӓртӹш
534,Zeit::N,бириэмэ,веремӓ
535,Tag::N,күн,кечӹ
536,Morgen::N,сарсыарда,ир
537,Morgen::N,сарсыарда,ирок
538,Mittag::N,күн ортото,кечӹвӓл
539,Abend::N,киэһэ,вады
540,Nacht::N,түүн,йыд
541,Woche::N,нэдиэлэ,ӓрня
542,Monat::N,ый,тӹ́лзӹ
543,Jahr::N,сыл,год
544,Jahr::N,дьыл,год
545,Frühling::N,саас,шошым
546,Sommer::N,сайын,кӓнгӹж
547,Herbst::N,күһүн,шӹжӹ
548,Winter::N,кыһын,тел
549,Winter::N,кыһын,телӹ
550,Januar::N,тохсунньу,январ
551,Januar::N,тохсунньу,январь
552,Februar::N,олунньу,февраль
553,März::N,кулун тутар,март
554,April::N,муус устар ый,апрель
555,Mai::N,ыам ыйа,май
556,Juni::N,бэс ыйа,июнь
557,Juli::N,от ыйа,июль
558,August::N,атырдьах ыйа,август
559,September::N,балаҕан ыйа,сентябрь
560,Oktober::N,алтынньы,октябрь
561,November::N,сэтинньи,ноябрь
562,Dezember::N,ахсынньы,декавыр
563,Montag::N,бэнидиэнньик,шачмы
564,Dienstag::N,оптуорунньук,кышкыжмы
565,Mittwoch::N,сэрэдэ,вӹрчегӹ
566,Donnerstag::N,чэппиэр,изӓрня
567,Freitag::N,бээтинсэ,когарня
568,Samstag::N,субуота,кукшыгечӹ
569,Sonntag::N,баскыһыанньа,рушӓрня
570,groß::A,бөдөҥ,кого
571,groß::A,улахан,кого
572,klein::A,кыр,изи
573,lang::A,уһун,кужы
574,kurz::A,кылгас,кӹтӹк
575,breit::A,кэтит,кымда
576,schmal::A,кыараҕас,ӓнгӹсӹр
577,dicht::A,хойуу,шӹре
578,dick[Gegenstand]::A,суон,кӹжгӹ
579,dick[Gegenstand]::A,хойуу,кӹжгӹ
580,dünn::A,чараас,вӹцкӹж
581,fein::A,бытархай,пыльга
582,fein::A,синньигес,пыльга
583,fest::A,бөҕө,цаткыды
584,fest::A,кытаанах,цаткыды
585,flach::A,хаптаҕай,тӓлякӓ
586,glatt::A,кылааккай,ягылгы
587,hart::A,хатан,пингӹдӹ
588,hart::A,кытаанах,пингӹдӹ
589,weich::A,сымнаҕас,пышкыды
590,rund::A,төгүрүк,тӹртӹш
591,spitz::A,сытыы,кашар
592,spitz::A,уһуктаах,кашар
593,scharf::A,сытыы,кашар
594,stumpf::A,сыппах,нӹшкӹ
595,schwer::A,ыарахан,нелӹ
596,schön::A,кыраһыабай,цевер
597,schön::A,кыраһыабай,олмыдшы
598,heiß::A,итии,шокшы
599,warm::A,ичигэс,шокшы
600,kalt::A,тымныы,ӱштӹ
601,kühl::A,сөрүүн,юалгы
602,kühl::A,сөрүүн,йонгата
603,frisch::A,ыраас,йонгата
604,frisch::A,сөрүүн,йонгата
605,frisch::A,тымныы,йонгата
606,feucht::A,сииктээх,ӹлӹкшӹ
607,feucht::A,сииктээх,вӹдӹжгӹ
608,nass::A,инчэҕэй,начкы
609,trocken::A,кураан,кукшы
610,voll::A,толору,темшӹ
611,voll::A,толору,темыман
612,leer::A,иччитэх,йӓрӓ
613,offen::A,аһаҕас,виш
614,geschlossen::A,бүтэй,чӱчмӹ
615,geschlossen::A,бүтэй,тӹкӹлӓлтшӹ
616,sauber::A,сэбэр,ире
617,schmutzig::A,кирдээх,шоран
618,schmutzig::A,кирдээх,лявӹрӓн
619,schmutzig::A,кирдээх,шорангшы
620,roh::A,сиикэй,пеле кӱшӹ
621,reif::A,буспут,кӱшӹ
622,reif::A,сиппит-хоппут,кӱшӹ
623,lecker::A,минньигэс,тотан
624,süß::A,минньигэс,мӱӓн
625,bitter::A,аһыы,качы
626,sauer::A,аһыы,шапы
627,hell::A,сырдык,соты
628,hell::A,сырдык,валгыды
629,dunkel::A,хараҥа,пӹц
630,dunkel::A,хараҥа,пӹцкемӹш
631,schwarz::A,хара,шим
632,weiß::A,үрүҥ,ош
633,weiß::A,үрүҥ,ошы
634,weiß::A,маҥан,ош
635,weiß::A,маҥан,ошы
636,rot::A,кыһыл,якшаргы
637,gelb::A,саһархай,сар
638,gelb::A,саһархай,сары
639,blau::A,күөх,симсӹ
640,grün::A,күөх,ыжар
641,grün::A,от күөҕэ,ыжар
642,grau::A,сиэрэй,луды
643,bunt::A,эриэн,ала
644,billig::A,чэпчэки,шулдаш
645,teuer::A,сыаналаах,шергӹ
646,teuer::A,сыаналаах,шергӓкӓн
647,wertvoll::A,сыаналаах,ӓкӓн
648,blind::A,хараҕа суох,слöпöй
649,blind::A,хараҕа суох,сльöпöй
650,taub::A,дьүлэй,тӱтӱк
651,kräftig::A,модун,виӓн
652,stark::A,күүстээх,виӓн
653,schwach::A,мөлтөх,шава
654,schwach::A,мөлтөх,лӹпкӓ
655,schwach::A,мөлтөх,слабка
656,fett::A,эмис,таза
657,schlank::A,дьылҕан,яштака
658,schlank::A,дьыпсаҕай,яштака
659,hübsch::A,олус кэрэ,сӹлнӹ
660,hübsch::A,олус кэрэ,олмыдшы
661,hübsch::A,көрүөхтэн үчүгэй,сӹлнӹ
662,hübsch::A,көрүөхтэн үчүгэй,олмыдшы
663,böse::A,өһүөннээх,шӹдӓн
664,dumm::A,акаары,окмак
665,faul::A,нэс,ялахай
666,fleißig::A,кыһамньылаах,пӓшам яратышы
667,geizig::A,иҥсэлээх,шык
668,klug::A,өйдөөх,ышан
669,geschickt::A,наһаа дьоҕурдаах,мастар
670,lieb::A,тапталлаах,тыри
671,lustig::A,көрдөөх,мындыр
672,lustig::A,көрдөөх,сусу
673,sanft::A,намчы,йӹвӹжӓ
674,sanft::A,сымнаҕас,йӹвӹжӓ
675,hungrig::A,аччык,шужышы
676,krank::A,ыалдьар,церлӹ
677,krank::A,ыалдьар,хворой
678,nackt::A,сыгынньах,цӓрӓ
679,traurig::A,санаарҕабыллаах,сы́лыкан
680,traurig::A,санаарҕабыллаах,кымы́лдымы
681,lebendig::A,тыыннаах,живой
682,gut::A,үтүө,яжо
683,gut::A,үчүгэй,яжо
684,schlecht::A,куһаҕан,уда
685,schlecht::A,куһаҕан,худа
686,richtig::A,сөп,вургамла
687,schlimm::A,сидьиҥ,йӹрнык
688,schlimm::A,быдьар,йӹрнык
689,wahr::A,кырдьык,настоящий
690,wahr::A,кырдьык,настояшый
691,alt::A,былыргы,шонгы
692,neu::A,саҥа,у
693,ehemalig::A,урукку,тошты
694,alt[Lebewesen]::A,кырдьаҕас,ӹлалшӹ
695,jung::A,эдэр,нöргӹ
696,jung::A,эдэр,молода
697,arm::A,дьадаҥы,укеӓн
698,reich::A,баай,паян
699,reich::A,баай,пурлыкан
700,bekannt::A,билэр,палӹмӹ
701,berühmt::A,аатырбыт,лӹмлы
702,fremd::A,атын,эдемӹн
703,verschieden::A,араас,тӹрлӹ
704,nah::A,чугас,лишӹл
705,fern::A,ыраах,мӹндӹр
706,linker::A,хаҥас,шалахай
707,rechter::A,уҥа,вургамла
708,anderer::A,атын,вес
709,anderer::A,атын,весӹ
710,erster::A,маҥнайгы,икшӹ
711,erster::A,маҥнайгы,икӹмшӹ
712,zweiter::A,иккис,кокшы
713,dritter::A,үһүс,кымшы
