,Concept_ID,uz,nl
91,Strömung::N,oqim,stroming
92,Tropfen::N,tomchi,druppel
93,Schaum::N,ko'pik,schuim
94,Schmutz::N,gard,vuil
95,See::N,ko'l,meer
96,Sumpf::N,botqoq,moeras
97,Moor::N,qir-adir,veen
98,Wiese::N,o'tzor,wei
99,Wiese::N,o'tzor,weide
100,Wald::N,o'rmon,bos
101,Hügel::N,tepa,heuvel
102,Anhöhe::N,adir,hoogte
103,Berg::N,tog',berg
104,Gipfel::N,cho'qqi,top
105,Höhle::N,kavak,hol
106,Abhang::N,to'sh,helling
107,Quelle::N,buloq,bron
108,Bach::N,o'zan,beek
109,Fluss::N,daryo,stroom
110,Ufer::N,sohil,wal
111,Ufer::N,sohil,oever
112,Küste::N,qirg'oq,kust
113,Festland::N,materik,vasteland
114,Meer::N,dengiz,zee
115,Bucht::N,qo'ltiq,baai
116,Bucht::N,qo'ltiq,inham
117,Insel::N,orol,eiland
118,Blume::N,gul,bloem
119,Gras::N,sabza,gras
120,Wurzel::N,tub,wortel
121,Wurzel::N,tomir,wortel
122,Baum::N,daraxt,boom
123,Stamm::N,o'simta,stam
124,Rinde::N,qobiq,schors
125,Ast::N,shox,tak
126,Zweig::N,butoq,twijg
127,Blatt::N,barg,blad
128,Birke::N,qayin,berk
129,Kiefer[Baum]::N,qarag'ay,den
130,Weide[Baum]::N,shum,wilg
131,Tanne::N,archa,spar
132,Horn::N,mugiz,hoorn
133,Feder::N,par,veer
134,Feder::N,par,pluim
135,Fell::N,mo'yna,vel
136,Flügel::N,qanot,vleugel
137,Klaue::N,tirnoq,klauw
138,Kralle::N,tirnoq,klauw
139,Schwanz::N,quyruq,staart
140,Ei::N,tuxum,ei
141,Nest::N,oshyon,nest
142,Bau::N,o'pqon,hol
143,Tier::N,hayvon,dier
144,Herde::N,gala,kudde
145,Kuh::N,inak,koe
146,Bulle::N,ho'kiz,stier
147,Pferd::N,ot,paard
148,Schaf::N,qo'y,schaap
149,Schwein::N,cho'chqa,varken
150,Hund::N,it,hond
151,Katze::N,mushuk,kat
152,Bär::N,ayiq,beer
153,Eichhörnchen::N,tiyin,eekhoorntje
154,Elch::N,los,eland
155,Fuchs::N,tulki,vos
156,Hase::N,kuyon,haas
157,Maus::N,sichqon,muis
158,Wolf::N,bo'ri,wolf
159,Vogel::N,qush,vogel
160,Schwarm::N,to'da,zwerm
161,Huhn::N,tovuq,kip
162,Huhn::N,tovuq,hoen
163,Hahn::N,xo'roz,haan
164,Gans::N,g'oz,gans
165,Adler::N,burgut,arend
166,Ente::N,o'rdak,eend
167,Eule::N,boyo'g'li,uil
168,Kranich::N,turna,kraanvogel
169,Krähe::N,qarg'a,kraai
170,Kuckuck::N,kakku,koekoek
171,Schwan::N,oqkush,zwaan
172,Fisch::N,baliq,vis
173,Barsch::N,olabug'a,baars
174,Hecht::N,cho'rtan,snoek
175,Schlange[Tier]::N,ilon,slang
176,Wurm::N,qurt,worm
177,Spinne::N,o'rgimchak,spin
178,Ameise::N,chumoli,mier
179,Laus::N,bit,luis
180,Mücke::N,chivin,mug
181,Fliege::N,pashsha,vlieg
182,Schmetterling::N,kapalak,vlinder
183,Beere::N,meva,bes
184,Apfel::N,olma,appel
185,Pilz::N,qo'ziqorin,paddestoel
186,Zwiebel::N,piyoz,ui
187,Saat::N,äkin,zaad
188,Korn::N,zarra,graan
189,Korn::N,zarra,korrel
190,Heu::N,xashak,hooi
191,Schale::N,po'choq,schil
192,Grube::N,co'ra,kuil
193,Falle::N,qopqon,val
194,Schlinge::N,sirtmoq,strop
195,Spur::N,iz,spoor
196,Asche::N,kul,as
197,Dreck::N,kir,drek
198,Eisen::N,temir,ijzer
199,Gold::N,tilla,goud
200,Silber::N,kumush,zilver
201,Kohle::N,ko'mir,kool
202,Glas::N,oyna,glas
203,Lehm::N,loy,klei
204,Sand::N,qum,zand
205,Mensch::N,odam,mens
206,Mann::N,ärkak,man
207,Frau::N,ayol,vrouw
208,Kind::N,bola,kind
209,Kind::N,kichkintoy,kind
210,Junge::N,bola,jongen
211,Mädchen::N,qiz,meisje
212,Familie::N,oila,gezin
213,Familie::N,oila,familie
214,Großvater::N,buva,grootvader
215,Großvater::N,katta ota,grootvader
216,Großmutter::N,buvi,grootmoeder
217,Großmutter::N,katta oyi,grootmoeder
218,Eltern::N,ota-ona,ouders
219,Vater::N,ota,vader
220,Mutter::N,ona,moeder
221,Sohn::N,o'g'il,zoon
222,Tochter::N,qiz,dochter
223,Bruder::N,og'a,broer
224,Bruder::N,og'a,broeder
225,Bruder::N,uka,broer
226,Bruder::N,uka,broeder
227,Schwester::N,opa,zus
228,Schwester::N,opa,zuster
229,Schwester::N,singil,zus
230,Schwester::N,singil,zuster
231,Onkel::N,amaki,oom
232,Tante::N,amma,tante
233,Tante::N,xola,tante
234,Ehemann::N,är,echtgenoot
235,Ehefrau::N,rafiqa,echtgenote
236,Freude::N,ayish,vreugde
237,Gelächter::N,kulgi,gelach
238,Glück::N,saodat,geluk
239,Kummer::N,g'am,verdriet
240,Wunsch::N,orzu,wens
241,Wunsch::N,orzu,verlangen
242,Lust::N,rag'bat,zin
243,Lust::N,rag'bat,lust
244,Geist::N,ruh,geest
245,Gedanke::N,fikr,gedachte
246,Gedächtnis::N,äs,geheugen
247,Verstand::N,aql,verstand
248,Sinn::N,ma'ni,betekenis
249,Grund::N,sabab,reden
250,Wahrheit::N,haq,waarheid
251,Gespräch::N,gap,gesprek
252,Märchen::N,ärtak,sprookje
253,Erzählung::N,rivoyat,verhaal
254,Nachricht::N,xabar,tijding
255,Neuigkeit::N,yangilik,nieuws
256,Neuigkeit::N,yangilik,nieuwtje
257,Name::N,ot,naam
258,Rätsel::N,topishmoq,raadsel
259,Rede::N,nutq,rede
260,Sprache::N,til,taal
261,Stimme::N,ovoz,stem
262,Wort::N,so'z,woord
263,Zeichen::N,alomat,teken
264,Ruf::N,chaqiriq,roep
265,Lärm::N,taraq,lawaai
266,Laut::N,tovush,klank
267,Laut::N,tovush,geluid
268,Ton::N,un,toon
269,Ton::N,un,klank
270,Lied::N,ashula,lied
271,Ruhe::N,tinchlik,rust
272,Ruhe::N,tinchlik,stilte
273,Leute::N,xaloyiq,lui
274,Leute::N,xaloyiq,mensen
275,Volk::N,xalq,volk
276,Arbeit::N,ish,werk
277,Arbeit::N,ish,arbeid
278,Gast::N,mehmon,gast
279,Geschenk::N,hadya,cadeau
280,Geschenk::N,hadya,geschenk
281,Spiel::N,o'yin,spel
282,Gesellschaft::N,jamiyat,gezelschap
283,Hilfe::N,yordam,hulp
284,Freund::N,do'st,vriend
285,Kamerad::N,yo'ldosh,maat
286,Kamerad::N,yo'ldosh,metgezel
287,Angelegenheit::N,daxl,zaak
288,Angelegenheit::N,daxl,aangelegenheid
289,Anzahl::N,son,tal
290,Anzahl::N,son,aantal
291,Art::N,tur,slag
292,Art::N,tur,soort
293,Stück::N,parcha,stuk
294,Teil::N,bo'lak,deel
295,Hälfte::N,yarim,helft
296,Kreis::N,aylana,kring
297,Kreis::N,aylana,cirkel
298,Kreuz::N,xoch,kruis
299,Linie::N,liniya,lijn
300,Strich::N,chiziq,haal
301,Strich::N,chiziq,streep
302,Abstand::N,oralik,afstand
303,Entfernung::N,uzoqlik,afstand
304,Gegend::N,yer,streek
305,Platz::N,oralig,ruimte
306,Ort::N,joy,oord
307,Ort::N,joy,plaats
308,Seite::N,yon,zij
309,Seite::N,yon,kant
310,Seite::N,yon,zijde
311,Mitte::N,o'rta,midden
312,Gegenstand::N,ashyo,voorwerp
313,Sache::N,buyum,zaak
314,Rand::N,chek,rand
315,Rand::N,chek,boord
316,Kante::N,tig',kant
317,Ecke::N,burchak,hoek
318,Spitze::N,uch,punt
319,Spitze::N,uch,spits
320,Ende::N,oxir,einde
321,Ende::N,oxir,uiteinde
322,Loch::N,teshik,gat
323,Winkel::N,go'sha,hoek
324,Muster::N,nusha,dessin
325,Muster::N,nusha,patroon
326,Größe::N,kattalik,grootte
327,Länge::N,uzunlik,lengte
328,Höhe::N,yuksaklik,hoogte
329,Gewicht::N,solmoq,gewicht
330,Menge::N,miqdor,hoeveelheid
331,Haufen::N,uyum,hoop
332,Reihe::N,saf,rij
333,Reihe::N,saf,reeks
334,Boot::N,qayiq,boot
335,Ruder::N,äshkak,roeiriem
336,Schlitten::N,chana,slee
337,Schlitten::N,chana,slede
338,Ski::N,chang'i,ski
339,Lagerfeuer::N,gulxan,kampvuur
340,Last::N,yuk,last
341,Last::N,yuk,vracht
342,Gang::N,yurish,wandeling
343,Schritt::N,qadam,stap
344,Schritt::N,qadam,schrede
345,Norden::N,shimol,noorden
346,Süden::N,janub,zuiden
347,Westen::N,g'arb,westen
348,Osten::N,sharq,oosten
349,Holz::N,yog'och,hout
350,Brett::N,taxta,plank
351,Platte::N,tabaqa,plaat
352,Stütze::N,tayanchi,stut
353,Stütze::N,tayanchi,steun
354,Stange::N,qo'noq,stang
355,Stock::N,tayoq,stok
356,Stab::N,gavron,staf
357,Rohr::N,tarnov,pijp
358,Haus::N,uy,huis
359,Heim::N,makon,tehuis
360,Ofen::N,pechka,kachel
361,Fußboden::N,pol,vloer
362,Tisch::N,mosa,tafel
363,Stuhl::N,o'rindiq,stoel
364,Wiege::N,beshik,wieg
365,Bett::N,yotoq,bed
366,Regal::N,tokcha,rek
367,Kiste::N,sandiq,kist
368,Fenster::N,deraza,raam
369,Fenster::N,deraza,venster
370,Tür::N,äshik,deur
371,Tor::N,darvoza,poort
372,Zaun::N,panjara,omheining
373,Dach::N,tom,dak
374,Leiter::N,narvon,ladder
375,Besen::N,supurgi,bezem
376,Spaten::N,bel,schop
377,Schaufel::N,kurak,schep
378,Gabel::N,bilka,vork
379,Löffel::N,qoshiq,lepel
380,Messer::N,pichoq,mes
381,Nagel::N,mix,spijker
382,Netz::N,to'r,net
383,Haken::N,ilgak,haak
384,Griff::N,sop,handvat
385,Griff::N,tutqich,handvat
386,Schloss::N,qulf,slot
387,Bild::N,rasm,beeld
388,Figur::N,shakl,figuur
389,Puppe::N,ko'g'irchoq,pop
390,Beutel::N,to'rva,zak
391,Beutel::N,to'rva,buidel
392,Bündel::N,bog'lam,pak
393,Bündel::N,bog'lam,bundel
394,Tasche::N,kissa,tas
395,Eimer::N,chelak,emmer
396,Deckel::N,qopqoq,deksel
397,Geschirr::N,idish,vaatwerk
398,Sack::N,qop,zak
399,Tasse::N,piyola,kop
400,Topf::N,tuvak,pan
401,Kessel::N,qozon,ketel
402,Essen::N,tomoq,eten
403,Nahrung::N,emak,voedsel
404,Speise::N,taom,spijs
405,Fleisch::N,go'sht,vlees
406,Getreide::N,g'alla,graan
407,Brei::N,bo'tqa,pap
408,Brei::N,bo'tqa,brij
409,Brot::N,non,brood
410,Scheibe::N,disk,plak
411,Scheibe::N,disk,snede
412,Fett::N,moy,vet
413,Butter::N,yog',boter
414,Öl::N,moy,olie
415,Salz::N,tuz,zout
416,Suppe::N,sho'rva,soep
417,Honig::N,asal,honing
418,Milch::N,sut,melk
419,Tee::N,choy,thee
420,Leder::N,charm,leer
421,Leder::N,charm,leder
422,Wolle::N,jun,wol
423,Stoff::N,mato,stof
424,Nadel::N,igna,naald
425,Faden::N,ip,draad
426,Knopf::N,tugma,knoop
427,Knoten::N,tugun,knoop
428,Farbe::N,bo'yok,verf
429,Kleidung::N,kiyim,kledij
430,Kleidung::N,kiyim,kleding
431,Hemd::N,ko'ylak,hemd
432,Kragen::N,yoqa,kraag
433,Ärmel::N,yeng,mouw
434,Hose::N,shim,broek
435,Hose::N,shim,pantalon
436,Gürtel::N,tasma,riem
437,Gürtel::N,tasma,gordel
438,Mütze::N,shapka,muts
439,Schuh::N,but,schoen
440,Stiefel::N,botinka,laars
441,Ring::N,yuzuk,ring
442,Band::N,rishta,lint
443,Kamm::N,taroq,kam
444,Spiegel::N,ko'zgu,spiegel
445,Riemen::N,qayish,riem
446,Schnur::N,bog'ich,koord
447,Leine::N,etak,lijn
448,Decke::N,odyol,deken
449,Kissen::N,yostiq,kussen
450,Tuch::N,gazlama,doek
451,Handtuch::N,sochiq,handdoek
452,Kraft::N,kuch,kracht
453,Stärke::N,quvvat,sterkte
454,Gesundheit::N,sog'lik,gezondheid
455,Krankheit::N,kasallik,ziekte
456,Schmerz::N,og'riq,pijn
457,Wunde::N,yara,wond
458,Fieber::N,bezgak,koorts
459,Arznei::N,dori,medicament
460,Arznei::N,dori,geneesmiddel
461,Brücke::N,ko'prik,brug
462,Brunnen::N,buloq,put
463,Brunnen::N,buloq,bron
464,Weide::N,yaylov,wei
465,Weide::N,yaylov,weide
466,Pfad::N,dorojka,pad
467,Weg::N,yo'l,weg
468,Straße::N,ko'cha,baan
469,Straße::N,ko'cha,straat
470,Dorf::N,ovul,dorp
471,Stadt::N,shahar,stad
472,Brief::N,maktub,brief
473,Buch::N,kitob,boek
474,Buchstabe::N,harf,letter
475,Zeitung::N,gazet,krant
476,Zeitung::N,gazet,dagblad
477,Leben::N,hayot,leven
478,Tod::N,o'lim,dood
479,Grab::N,go'r,graf
480,Kirche::N,cherkov,kerk
481,Sünde::N,gunoh,zonde
482,Gott::N,olloh,god
483,Arbeiter::N,ishchi,arbeider
484,Chef::N,rais,chef
485,Meister::N,usta,meester
486,Arzt::N,hakim,arts
487,Arzt::N,hakim,dokter
488,Lehrer::N,muallim,leraar
489,Lehrer::N,muallim,onderwijzer
490,Geld::N,pul,geld
491,Geschäft::N,savdo,zaak
492,Laden::N,do'kon,winkel
493,Preis::N,baho,prijs
494,Ware::N,mol,waar
495,Nutzen::N,foyda,nut
496,Nutzen::N,foyda,voordeel
497,Reichtum::N,boylik,rijkdom
498,Welt::N,olam,wereld
499,Land::N,o'lka,land
500,Staat::N,davlat,staat
501,König::N,qirol,koning
502,Macht::N,iqtidor,macht
503,Grenze::N,chegara,grens
504,Krieg::N,harb,oorlog
505,Feind::N,dushman,vijand
506,Gewalt::N,zo'rlik,geweld
507,Kampf::N,kurash,strijd
508,Kampf::N,kurash,gevecht
509,Bogen[Waffe]::N,yoy,boog
510,Pfeil::N,o'q,pijl
511,Gewehr::N,vintovka,geweer
512,Fehler::N,xato,fout
513,Lüge::N,yolg'on,leugen
514,Schaden::N,ziyon,schade
515,Unglück::N,balo,tegenspoed
516,Schuld::N,ayb,schuld
517,Alter::N,yosh,leeftijd
518,Schluss::N,tamom,slot
519,Zeit::N,vaqt,tijd
520,Tag::N,kun,dag
521,Morgen::N,saboh,morgen
522,Morgen::N,saboh,ochtend
523,Mittag::N,kun tushlik,middag
524,Abend::N,oqshom,avond
525,Nacht::N,tun,nacht
526,Woche::N,hafta,week
527,Monat::N,oy,maand
528,Jahr::N,yil,jaar
529,Frühling::N,bahor,lente
530,Frühling::N,bahor,voorjaar
531,Sommer::N,yoz,zomer
532,Herbst::N,kuz,herfst
533,Herbst::N,xazon,herfst
534,Winter::N,qish,winter
535,Januar::N,yanvar',januari
536,Februar::N,fevral',februari
537,März::N,mart,maart
538,April::N,aprel',april
539,Mai::N,may,mei
540,Juni::N,iyun',juni
541,Juli::N,iyul',juli
542,August::N,avgust,augustus
543,September::N,sentyabr',september
544,Oktober::N,oktyabr',oktober
545,November::N,noyabr',november
546,Dezember::N,dekabr',december
547,Montag::N,dushanba,maandag
548,Dienstag::N,seshanba,dinsdag
549,Mittwoch::N,chorshanba,woensdag
550,Donnerstag::N,payshanba,donderdag
551,Freitag::N,juma,vrijdag
552,Samstag::N,shanba,zaterdag
553,Sonntag::N,yakshanba,zondag
554,groß::A,buyuk,groot
555,klein::A,kichik,klein
556,lang::A,uzun,lang
557,kurz::A,qisqa,kort
558,breit::A,keng,breed
559,schmal::A,änsiz,smal
560,dicht::A,quyuq,dicht
561,dick[Gegenstand]::A,qalin,dik
562,dünn::A,ingichka,dun
563,fein::A,mayin,fijn
564,fest::A,qattiq,vast
565,flach::A,yalpoq,plat
566,glatt::A,tekis,glad
567,hart::A,qattiq,hard
568,weich::A,yumshoq,week
569,rund::A,yumaloq,rond
570,spitz::A,uchli,spits
571,spitz::A,uchli,puntig
572,scharf::A,keskir,scherp
573,stumpf::A,to'mtoq,stomp
574,schwer::A,salmoqli,zwaar
575,schön::A,go'zal,mooi
576,schön::A,go'zal,fraai
577,heiß::A,qiziq,heet
578,warm::A,issiq,warm
579,kalt::A,sovuq,koud
580,kühl::A,salqin,koel
581,frisch::A,toza,fris
582,feucht::A,namli,vochtig
583,nass::A,nam,nat
584,trocken::A,quruq,droog
585,voll::A,to'la,vol
586,leer::A,puch,leeg
587,offen::A,ochiq,open
588,geschlossen::A,berk,gesloten
589,sauber::A,ozoda,net
590,sauber::A,ozoda,schoon
591,schmutzig::A,kir,vuil
592,roh::A,xom,rauw
593,reif::A,pishiq,rijp
594,lecker::A,shirin,lekker
595,süß::A,shirin,zoet
596,bitter::A,achchiq,bitter
597,sauer::A,achchiq,zuur
598,hell::A,yorug',licht
599,hell::A,yorug',helder
600,dunkel::A,qorong'i,donker
601,schwarz::A,qora,zwart
602,weiß::A,oq,wit
603,rot::A,qizil,rood
604,gelb::A,sariq,geel
605,blau::A,zangori,blauw
606,grün::A,yashil,groen
607,grau::A,bo'z,grijs
608,bunt::A,ola,bont
609,billig::A,arzon,goedkoop
610,teuer::A,qimmat,duur
611,wertvoll::A,qimmat,kostbaar
612,wertvoll::A,qimmat,waardevol
613,blind::A,ko'r,blind
614,taub::A,garang,doof
615,kräftig::A,kuchli,krachtig
616,stark::A,quvvatli,sterk
617,schwach::A,kuchsiz,zwak
618,fett::A,semiz,vet
619,schlank::A,ingichka,slank
620,hübsch::A,ko'rkam,leuk
621,böse::A,yovuz,kwaad
622,dumm::A,aqlsiz,dom
623,faul::A,ärinchak,lui
624,fleißig::A,ishchan,vlijtig
625,geizig::A,qurumsoq,gierig
626,klug::A,oqil,slim
627,klug::A,oqil,schrander
628,klug::A,oqil,verstandig
629,geschickt::A,äpchil,handig
630,geschickt::A,äpchil,vaardig
631,lieb::A,aziz,lief
632,lustig::A,chaqchaq,vrolijk
633,sanft::A,asta,zacht
634,hungrig::A,och,hongerig
635,krank::A,kasal,ziek
636,nackt::A,yalang,naakt
637,traurig::A,xafa,treurig
638,traurig::A,xafa,bedroefd
639,lebendig::A,hayotiy,levend
640,gut::A,soz,goed
641,schlecht::A,yomon,slecht
642,richtig::A,rost,juist
643,schlimm::A,yovuz,erg
644,schlimm::A,yovuz,kwaad
645,wahr::A,haqiqiy,waar
646,alt::A,äski,oud
647,neu::A,yangi,nieuw
648,ehemalig::A,sobiq,voormalig
649,alt[Lebewesen]::A,qari,oud
650,jung::A,navqiron,jong
651,arm::A,abgor,arm
652,reich::A,boy,rijk
653,bekannt::A,ma'lum,bekend
654,berühmt::A,mashhur,beroemd
655,fremd::A,yot,vreemd
656,verschieden::A,turli,verscheiden
657,verschieden::A,turli,verschillend
658,nah::A,yaqindagi,nabij
659,nah::A,yaqindagi,nabijgelegen
660,fern::A,uzoq,ver
661,linker::A,so'l,linker
662,rechter::A,o'ng,rechter
663,anderer::A,boshqa,andere
664,erster::A,birinchi,eerste
665,zweiter::A,ikkinchi,tweede
666,dritter::A,uchinchi,derde
667,letzter::A,oxirgi,laatste
668,allein::ADV,o'zicha,alleen
669,auf einmal::ADV,varakay,ineens
670,auf einmal::ADV,varakay,tegelijk
671,zusammen::ADV,barobar,samen
672,zusammen::ADV,barobar,bijeen
673,lange::ADV,uzoq,lang
674,plötzlich::ADV,qo'qqisdan,eensklaps
675,plötzlich::ADV,qo'qqisdan,plotsklaps
676,sofort::ADV,darrov,terstond
677,sofort::ADV,darrov,aanstonds
678,sofort::ADV,darrov,onmiddelijk
679,später::ADV,so'ngra,later
680,jetzt::ADV,hozirgina,nu
681,jetzt::ADV,hozirgina,nou
682,jetzt::ADV,hozirgina,thans
683,heute::ADV,bugun,heden
684,heute::ADV,bugun,vandaag
685,morgen::ADV,ärta,morgen
686,bald::ADV,toz,gauw
687,bald::ADV,toz,weldra
688,dann::ADV,keyin,dan
689,dann::ADV,keyin,toen
690,gestern::ADV,kecha,gisteren
691,einst::ADV,avvallari,eens
692,damals::ADV,ugal,toen
693,damals::ADV,ugal,destijds
694,danach::ADV,so'ngra,daarna
695,vorher::ADV,avval,vooraf
696,vorher::ADV,avval,van tevoren
697,zuerst::ADV,avval,eerst
698,zuerst::ADV,avval,het eerst
699,einmal::ADV,bir marta,eens
700,einmal::ADV,bir marta,eenmaal
701,manchmal::ADV,onda-sonda,soms
702,oft::ADV,tez-tez,vaak
703,oft::ADV,tez-tez,dikwijls
704,immer::ADV,har vaqt,altijd
705,niemals::ADV,hargiz,nooit
706,hier::ADV,shu erda,hier
707,hierhin::ADV,beri,hierheen
708,von hier::ADV,shu erdan,van hier
709,von hier::ADV,shu erdan,hiervandaan
710,dort::ADV,ana,daar
711,dort::ADV,ana,ginds
712,dorthin::ADV,u yerga,daarheen
713,geradeaus::ADV,to'g'ri,rechtuit
714,geradeaus::ADV,to'g'ri,rechtdoor
715,vorwärts::ADV,ilgari,vooruit
716,vorwärts::ADV,ilgari,voorwaarts
717,rückwärts::ADV,qoloq,achteruit
718,rückwärts::ADV,qoloq,achterwaarts
719,zurück::ADV,orqada,terug
720,unten::ADV,pastda,beneden
721,unten::ADV,pastda,onderaan
722,hinab::ADV,tubanga,omlaag
723,hinab::ADV,tubanga,naar beneden
724,oben::ADV,ustida,boven
725,hinauf::ADV,yuqorida,omhoog
726,hinauf::ADV,yuqorida,naar boven
727,überall::ADV,har erda,alom
728,überall::ADV,har erda,overal
729,nicht::ADV,ämas,niet
730,ein wenig::ADV,biroz,wat
731,kaum::ADV,arang,amper
732,kaum::ADV,arang,nauwelijks
733,sehr::ADV,ancha,erg
734,sehr::ADV,ancha,zeer
735,so::ADV,shunday,zo
736,noch::ADV,hali,nog
737,nur::ADV,yolg'iz,maar
738,nur::ADV,yolg'iz,alleen
739,schon::ADV,endi,al
740,schon::ADV,endi,reeds
741,wieder::ADV,yana,weer
742,wieder::ADV,yana,terug
743,vergebens::ADV,bekorga,vergeefs
744,vergebens::ADV,bekorga,tevergeefs
745,vor::PRP,burun,voor
746,hinter::PRP,ketida,achter
747,unter::PRP,ostida,onder
748,unter::PRP,ostida,beneden
749,durch::PRP,bo'ylab,door
750,neben::PRP,yonida,naast
751,zwischen::PRP,orada,tussen
752,wegen::PRP,sababli,wegens
753,wegen::PRP,sababli,vanwege
754,dies::PRN,o'sha,dit
755,das::PRN,narigi,dat
756,alles::PRN,har nima,alles
757,ich::PRN,men,ik
758,du::PRN,sen,je
759,du::PRN,sen,jij
760,er::PRN,u,hij
761,wir::PRN,biz,we
762,wir::PRN,biz,wij
763,ihr::PRN,siz,jullie
764,sie::PRN,ular,ze
765,sie::PRN,ular,zij
766,was::FPRN,nima,wat
767,wer::FPRN,kim,wie
768,wo::FADV,qaerda,waar
769,wohin::FADV,qayerga,waarheen
770,wie::FADV,qanday,hoe
771,warum::FADV,nega,waarom
772,wieviel::FNUM,qancha,hoeveel
773,eins::NUM,bir,één
774,zwei::NUM,ikki,twee
775,drei::NUM,uch,drie
776,vier::NUM,to'rt,vier
777,fünf::NUM,besh,vijf
778,sechs::NUM,olti,zes
779,sieben::NUM,etti,zeven
780,acht::NUM,sakkiz,acht
781,neun::NUM,to'qqiz,negen
782,zehn::NUM,o'n,tien
783,elf::NUM,o'n bir,elf
784,zwölf::NUM,o'n ikki,twaalf
785,zwanzig::NUM,yigirma,twintig
786,dreißig::NUM,o'ttiz,dertig
787,vierzig::NUM,qirq,veertig
788,fünfzig::NUM,ällik,vijftig
789,sechzig::NUM,oltmish,zestig
790,siebzig::NUM,etmish,zeventig
791,achtzig::NUM,sakson,tachtig
792,neunzig::NUM,to'qson,negentig
793,hundert::NUM,yuz,honderd
794,tausend::NUM,ming,duizend
795,und::CNJ,va,en
796,oder::CNJ,yo,of
797,stehen::V,turmoq,staan
798,sitzen::V,o'tirmoq,zitten
799,liegen::V,yotmoq,liggen
800,hängen::V,osilmoq,hangen
801,werden::V,bo'lmoq,worden
802,passieren::V,bo'lib o'tmoq,gebeuren
803,beginnen::V,boshlanmoq,beginnen
804,enden::V,bitmoq,eindigen
805,wechseln::V,o'zgarmoq,wijzigen
806,wechseln::V,o'zgarmoq,veranderen
807,aufgehen[Sonne]::V,chiqmoq,opgaan
808,untergehen[Sonne]::V,botmoq,ondergaan
809,scheinen[Sonne]::V,yaraqlamoq,schijnen
810,donnern::V,gulduramoq,donderen
811,wehen::V,elpimoq,waaien
812,strömen::V,oqmoq,stromen
813,fließen::V,oqmoq,vloeien
814,sich drehen::V,aylanmoq,draaien
815,sich drehen::V,aylanmoq,zich draaien
816,schwanken::V,qoqilmoq,wankelen
