,Concept_ID,fr,te
100,Wiese::N,pré,పచ్చిక బయలు
101,Wald::N,bois,అడవి
102,Wald::N,forêt,అడవి
103,Hügel::N,coteau,చివ్నకొండ
104,Hügel::N,colline,చివ్నకొండ
105,Anhöhe::N,éminence,కొండ
106,Anhöhe::N,élévation,కొండ
107,Berg::N,mont,పర్వతము
108,Berg::N,montagne,పర్వతము
109,Gipfel::N,cime,శిఖరము
110,Gipfel::N,sommet,శిఖరము
111,Höhle::N,caverne,గుహ
112,Abhang::N,pente,ఏటవాలు
113,Abhang::N,versant,ఏటవాలు
114,Quelle::N,source,మూలము
115,Quelle::N,fontaine,మూలము
116,Bach::N,ruisseau,కాలువ
117,Fluss::N,fleuve,నది
118,Fluss::N,rivière,నది
119,Ufer::N,bord,తీరము
120,Ufer::N,rivage,తీరము
121,Küste::N,côte,తీరము
122,Festland::N,terre ferme,భూమి
123,Meer::N,mer,సముద్రము
124,Bucht::N,baie,మరుగు
125,Insel::N,île,దీవి
126,Blume::N,fleur,పుష్పము
127,Gras::N,herbe,పచ్చగడ్డి
128,Wurzel::N,racine,వేరు
129,Baum::N,arbre,చెట్టు
130,Stamm::N,tronc,చెట్టుబోదె
131,Rinde::N,écorce,చెట్టుపట్ట
132,Ast::N,branche,కొమ్మ
133,Zweig::N,rameau,చివుకు
134,Blatt::N,feuille,ఆకు
135,Birke::N,bouleau,తరహా చెట్టు
136,Kiefer[Baum]::N,pin,దేవదారు చెట్టు
137,Weide[Baum]::N,saule,జాతిచెట్టు
138,Tanne::N,sapin,దేవదారుచెట్టు
139,Horn::N,corne,కొమ్ము
140,Feder::N,plume,ఈక
141,Fell::N,peau,తోలు
142,Flügel::N,aile,ఱెక్క
143,Klaue::N,serre,వంకరగోరు
144,Kralle::N,ongle,వంకరగోరు
145,Kralle::N,griffe,వంకరగోరు
146,Schwanz::N,queue,తోక
147,Ei::N,œuf,గ్రుడ్డు
148,Nest::N,nid,పక్షిగూడు
149,Bau::N,terrier,గుహ
150,Tier::N,animal,జంతువు
151,Herde::N,troupeau,మంద
152,Kuh::N,vache,ఆవు
153,Bulle::N,taureau,గిత్త
154,Pferd::N,cheval,గుఱ్ఱము
155,Schaf::N,mouton,గొఱ్ఱె
156,Schwein::N,porc,పంది
157,Schwein::N,cochon,పంది
158,Hund::N,chien,కుక్క
159,Katze::N,chat,పిల్లి
160,Bär::N,ours,ఎలుగుబంటి
161,Eichhörnchen::N,écureuil,ఉడుత
162,Elch::N,élan,కణంజు
163,Fuchs::N,renard,గుంటనక్క
164,Hase::N,lièvre,కుందేలు
165,Maus::N,souris,చిట్టెలుక
166,Wolf::N,loup,తోడేలు
167,Vogel::N,oiseau,పక్షి
168,Schwarm::N,nuée,గుంపు
169,Schwarm::N,volée,గుంపు
170,Huhn::N,poule,కోడిపిల్ల
171,Hahn::N,coq,కోడివుంజు
172,Gans::N,oie,ఆడుబాతు
173,Adler::N,aigle,గ్రద్ద
174,Ente::N,canard,పాట్టిబాతు
175,Eule::N,hibou,గ్రుడ్లగూబ
176,Kranich::N,grue,కొంగ
177,Krähe::N,corneille,కాకి
178,Kuckuck::N,coucou,కోయల
179,Schwan::N,cygne,హంస
180,Fisch::N,poisson,చేప
181,Barsch::N,perche,ఒకచేఁప
182,Hecht::N,brochet,గండుమీను
183,Schlange[Tier]::N,serpent,పాము
184,Wurm::N,ver,పురుగు
185,Spinne::N,araignée,సాలె పురుగు
186,Ameise::N,fourmi,చీమ
187,Laus::N,pou,పేను
188,Mücke::N,moucheron,చీకటీగ
189,Fliege::N,mouche,ఈగ
190,Schmetterling::N,papillon,సీతాకోకచిలుక
191,Beere::N,baie,కాయ
192,Apfel::N,pomme,ఆపిల్ పండు
193,Pilz::N,champignon,కుక్కగొడుగు
194,Zwiebel::N,oignon,నీరుల్లి
195,Saat::N,semence,విత్తనము
196,Korn::N,grain,గింజ
197,Heu::N,foin,ఎండుగడ్డి
198,Schale::N,pelure,పొట్టు
199,Grube::N,fosse,గొయ్యి
200,Falle::N,piège,బోను
201,Schlinge::N,lacs,ఉరి
202,Spur::N,trace,జాడ
203,Asche::N,cendre,బూడిద
204,Dreck::N,crotte,ముఱికి
205,Eisen::N,fer,ఇనుము
206,Gold::N,or,బంగారము
207,Silber::N,argent,వెండి
208,Kohle::N,charbon,నేలబొగ్గు
209,Glas::N,verre,గాజు
210,Lehm::N,glaise,బంకమన్ను
211,Sand::N,sable,ఇసుక
212,Mensch::N,homme,నరుడు
213,Mann::N,homme,పురుమడు
214,Frau::N,femme,ఆడుది
215,Kind::N,enfant,బిడ్డ
216,Junge::N,garçon,బాలుడు
217,Mädchen::N,fille,బాలిక
218,Mädchen::N,jeune fille,బాలిక
219,Familie::N,famille,కుటుంబము
220,Großvater::N,grand-père,తాత
221,Großmutter::N,grand-mère,అయ్యమ్మ
222,Eltern::N,parents,తల్లితండ్రులు
223,Vater::N,père,తండ్రి
224,Mutter::N,mère,తల్లి
225,Sohn::N,fils,కొడుకు
226,Tochter::N,fille,కూతురు
227,Bruder::N,frère,పోదరుడు
228,Schwester::N,sœur,సోదరి
229,Onkel::N,oncle,మేనమామ
230,Tante::N,tante,మేనత్త
231,Tante::N,tante,పినతల్లి
232,Ehemann::N,mari,భర్త
233,Ehemann::N,époux,భర్త
234,Ehefrau::N,femme,భార్య
235,Ehefrau::N,épouse,భార్య
236,Freude::N,joie,సంతోషము
237,Freude::N,plaisir,సంతోషము
238,Gelächter::N,rires,నవ్వు
239,Glück::N,bonheur,సంతోషము
240,Kummer::N,peine,దుఃఖము
241,Kummer::N,chagrin,దుఃఖము
242,Wunsch::N,désir,కోరిక
243,Lust::N,envie,కోరిక
244,Geist::N,esprit,ఆత్మ
245,Gedanke::N,idée,ఆలోచన
246,Gedanke::N,pensée,ఆలోచన
247,Gedächtnis::N,mémoire,జ్ఞాపకము
248,Verstand::N,raison,మనస్సు
249,Sinn::N,sens,అర్థము
250,Grund::N,cause,కారణము
251,Grund::N,raison,కారణము
252,Wahrheit::N,vérité,సత్యము
253,Gespräch::N,conversation,పంభాషణ
254,Märchen::N,conte,అద్భుతకథ
255,Märchen::N,conte de fées,అద్భుతకథ
256,Erzählung::N,conte,కథ
257,Erzählung::N,narration,కథ
258,Nachricht::N,message,వార్త
259,Neuigkeit::N,nouvelle,వార్త
260,Name::N,nom,పేరు
261,Rätsel::N,énigme,చిక్కు
262,Rätsel::N,devinette,చిక్కు
263,Rede::N,parole,ఉపన్యాసము
264,Rede::N,discours,ఉపన్యాసము
265,Sprache::N,langue,భాష
266,Sprache::N,langage,భాష
267,Stimme::N,voix,కంరథ్సని
268,Wort::N,mot,మాట
269,Zeichen::N,signe,గుర్తు
270,Ruf::N,cri,పిలువు
271,Ruf::N,appel,పిలువు
272,Lärm::N,bruit,సందడి
273,Laut::N,son,ధ్వని
274,Ton::N,ton,స్వరము
275,Lied::N,chant,పాట
276,Lied::N,chanson,పాట
277,Ruhe::N,calme,గాలిలేమి
278,Ruhe::N,tranquillité,గాలిలేమి
279,Leute::N,gens,జనులు
280,Volk::N,peuple,జాతి
281,Arbeit::N,travail,పని
282,Gast::N,hôte,అతిధి
283,Gast::N,invité,అతిధి
284,Geschenk::N,cadeau,దానము
285,Geschenk::N,présent,దానము
286,Spiel::N,jeu,ఆట
287,Gesellschaft::N,compagnie,జట్టు
288,Hilfe::N,aide,సాహాయ్యము
289,Hilfe::N,secours,సాహాయ్యము
290,Freund::N,ami,స్నేహితుడు
291,Kamerad::N,copain,చెలికాడు
292,Kamerad::N,camarade,చెలికాడు
293,Angelegenheit::N,affaire,విషయము
294,Anzahl::N,nombre,లెక్క
295,Art::N,sorte,జాతి
296,Art::N,espèce,జాతి
297,Stück::N,morceau,తునుక
298,Teil::N,part,భాగము
299,Teil::N,partie,భాగము
300,Hälfte::N,moitié,సగము
301,Kreis::N,cercle,వృత్తము
302,Kreuz::N,croix,సిలువ
303,Linie::N,ligne,గీత
304,Strich::N,trait,గీత
305,Abstand::N,écart,సందు
306,Entfernung::N,distance,దూరము
307,Gegend::N,région,విస్తీర్ణము
308,Gegend::N,contrée,విస్తీర్ణము
309,Platz::N,place,ఎడము
310,Ort::N,lieu,స్థలము
311,Ort::N,endroit,స్థలము
312,Seite::N,côté,ప్రక్క
313,Mitte::N,milieu,నడిమి
314,Gegenstand::N,objet,పద్దు
315,Sache::N,chose,వస్తువు
316,Rand::N,bord,అంచు
317,Kante::N,arête,అంచు
318,Ecke::N,coin,మూల
319,Ecke::N,tournant,మూల
320,Spitze::N,cime,మొన
321,Spitze::N,pointe,మొన
322,Ende::N,bout,కొన
323,Loch::N,trou,రంధ్రము
324,Winkel::N,coin,కోణము
325,Winkel::N,réduit,కోణము
326,Muster::N,dessin,మాదిరి
327,Größe::N,grandeur,పరిమాణము
328,Länge::N,longueur,పొడుగు
329,Höhe::N,hauteur,పొడుగు
330,Höhe::N,altitude,పొడుగు
331,Gewicht::N,poids,భారము
332,Menge::N,quantité,మొత్తము
333,Haufen::N,tas,రాశి
334,Reihe::N,file,వరుస
335,Reihe::N,rangée,వరుస
336,Boot::N,canot,పడవ
337,Boot::N,bateau,పడవ
338,Ruder::N,rame,అడక
339,Ruder::N,aviron,అడక
340,Schlitten::N,traîneau,సరవండ్లు
341,Ski::N,ski,స్కీ
342,Lagerfeuer::N,feu de camp,నెగడు
343,Last::N,charge,బరువు
344,Last::N,fardeau,బరువు
345,Gang::N,tour,నడక
346,Gang::N,marche,నడక
347,Schritt::N,pas,అడుగు
348,Norden::N,nord,ఉత్తరదిక్కు
349,Süden::N,sud,దక్షిణము
350,Westen::N,ouest,పడమర
351,Westen::N,occident,పడమర
352,Osten::N,est,తూర్పు
353,Osten::N,orient,తూర్పు
354,Holz::N,bois,కొయ్య
355,Brett::N,planche,పలక
356,Platte::N,plaque,పలక
357,Stütze::N,appui,వాల్సేడ్లు
358,Stütze::N,soutien,వాల్సేడ్లు
359,Stange::N,barre,స్తంభము
360,Stange::N,perche,స్తంభము
361,Stock::N,canne,కఱ్ఱ
362,Stab::N,bâton,కఱ్ఱ
363,Rohr::N,tube,గొట్టము
364,Rohr::N,tuyau,గొట్టము
365,Haus::N,maison,ఇల్లు
366,Heim::N,maison,స్వగృహము
367,Ofen::N,poêle,పొయ్యి
368,Fußboden::N,plancher,నేల
369,Tisch::N,table,మేజా
370,Stuhl::N,chaise,కుర్చీ
371,Wiege::N,berceau,ఉయ్యాల
372,Bett::N,lit,పడక
373,Bett::N,lit,మంచం
374,Regal::N,étagère,అటక
375,Kiste::N,caisse,వెట్టె
376,Fenster::N,fenêtre,కిటికి
377,Tür::N,porte,ద్వారము
378,Tor::N,porte,ద్వారము
379,Tor::N,portail,ద్వారము
380,Zaun::N,clôture,కంచె
381,Dach::N,toit,ఇంటివైకప్పు
382,Leiter::N,échelle,నిచ్చెన
383,Besen::N,balai,చీపురుకట్ట
384,Spaten::N,bêche,పాఱ
385,Schaufel::N,pelle,పాఱ
386,Gabel::N,fourchette,ముండ్లగరిటె
387,Löffel::N,cuiller,గరిటె
388,Messer::N,couteau,కత్తి
389,Nagel::N,clou,మేకు
390,Netz::N,filet,వల
391,Haken::N,croc,కొక్కెము
392,Haken::N,crochet,కొక్కెము
393,Griff::N,prise,పిడి
394,Griff::N,manche,పిడి
395,Schloss::N,serrure,తాళము
396,Bild::N,image,చిత్రము
397,Bild::N,tableau,చిత్రము
398,Figur::N,figure,రూపము
399,Puppe::N,poupée,బొమ్మ
400,Beutel::N,sac,సంచి
401,Beutel::N,petit sac,సంచి
402,Bündel::N,paquet,మూట
403,Bündel::N,faisceau,మూట
404,Tasche::N,sac,సంచి
405,Eimer::N,seau,చేద
406,Deckel::N,couvercle,మూత
407,Geschirr::N,vaisselle,వంటకాలు
408,Sack::N,sac,గోనెసంచి
409,Tasse::N,tasse,గిన్నె
410,Topf::N,pot,కుండ
411,Topf::N,marmite,కుండ
412,Kessel::N,chaudron,నీరుకాచుపాత్ర
413,Essen::N,repas,ఆహారము
414,Essen::N,manger,ఆహారము
415,Nahrung::N,nourriture,ఆహారము
416,Speise::N,plat,ఆహారము
417,Fleisch::N,viande,మాంసము
418,Getreide::N,blé,ధాన్యము
419,Getreide::N,céréales,ధాన్యము
420,Brei::N,purée,గుజ్జు
421,Brei::N,bouillie,గుజ్జు
422,Brot::N,pain,రొట్టె
423,Scheibe::N,tranche,బద్ద
424,Fett::N,graisse,క్రొవ్వు
425,Butter::N,beurre,వెన్న
426,Öl::N,huile,నూనె
427,Salz::N,sel,ఉప్పు
428,Suppe::N,soupe,చారు
429,Suppe::N,potage,చారు
430,Honig::N,miel,తెనె
431,Milch::N,lait,పాలు
432,Tee::N,thé,తేనీరు
433,Leder::N,cuir,బాగుచేసివతోలు
434,Wolle::N,laine,ఉన్ని
435,Stoff::N,tissu,బట్ట
436,Stoff::N,étoffe,బట్ట
437,Nadel::N,aiguille,సూది
438,Faden::N,fil,దారము
439,Knopf::N,bouton,బొత్తాము
440,Knoten::N,nœud,ముడి
441,Farbe::N,peinture,రంగు
442,Kleidung::N,vêtements,బట్టలు
443,Kleidung::N,habillement,బట్టలు
444,Hemd::N,chemise,చొక్కాయ
445,Kragen::N,col,మాల
446,Ärmel::N,manche,చొక్కాయచెయ్యి
447,Hose::N,pantalon,ఇజారు
448,Gürtel::N,ceinture,పటకా
449,Mütze::N,bonnet,టోపి
450,Mütze::N,casquette,టోపి
451,Schuh::N,soulier,పాదరక్ష
452,Schuh::N,chaussure,పాదరక్ష
453,Stiefel::N,botte,బూటు
454,Ring::N,bague,ఉంగరము
455,Band::N,ruban,నాడా
456,Kamm::N,peigne,దువ్వెన
457,Spiegel::N,glace,అద్దము
458,Spiegel::N,miroir,అద్దము
459,Riemen::N,lanière,వాడా
460,Riemen::N,courroie,వాడా
461,Schnur::N,corde,దారము
462,Schnur::N,ficelle,దారము
463,Leine::N,laisse,వారు
464,Decke::N,couverture,కంబళి
465,Kissen::N,oreiller,తలగడ
466,Tuch::N,drap,బట్ట
467,Tuch::N,fichu,బట్ట
468,Handtuch::N,serviette,తువాలు
469,Handtuch::N,essuie-mains,తువాలు
470,Kraft::N,force,బలము
471,Stärke::N,vigueur,శక్తి
472,Gesundheit::N,santé,ఆరోగ్యము
473,Krankheit::N,maladie,రోగము
474,Schmerz::N,douleur,నొప్పి
475,Wunde::N,plaie,గాయము
476,Wunde::N,blessure,గాయము
477,Fieber::N,fièvre,జ్వరము
478,Arznei::N,remède,మందు
479,Arznei::N,médecine,మందు
480,Brücke::N,pont,వంతెన
481,Brunnen::N,puits,బావి
482,Brunnen::N,puits,కూపము
483,Brunnen::N,puits,నుయ్యి
484,Weide::N,pâturage,పచ్చికబయలు
485,Pfad::N,sentier,కాలిత్రోవ
486,Weg::N,voie,మార్గము
487,Weg::N,chemin,మార్గము
488,Straße::N,route,బాట
489,Dorf::N,village,గ్రామము
490,Stadt::N,cité,పట్టణము
491,Stadt::N,ville,పట్టణము
492,Brief::N,lettre,జాబు
493,Buch::N,livre,పుస్తకము
494,Buchstabe::N,lettre,అక్షరము
495,Buchstabe::N,caractère,అక్షరము
496,Zeitung::N,journal,వార్తాపత్రిక
497,Leben::N,vie,ప్రాణము
498,Tod::N,mort,మరణము
499,Grab::N,tombe,సమాధి
500,Kirche::N,église,క్రెస్తవులగుడి
501,Sünde::N,péché,పాపము
502,Gott::N,dieu,దేవుడు
503,Arbeiter::N,ouvrier,పనిపాటుచేశేవాడు
504,Arbeiter::N,travailleur,పనిపాటుచేశేవాడు
505,Chef::N,chef,యజమానుడు
506,Chef::N,patron,యజమానుడు
507,Meister::N,maître,కళాకారుడు
508,Arzt::N,médecin,వైద్యుడు
509,Lehrer::N,professeur,ఉపాధ్యాయుడు
510,Lehrer::N,instituteur,ఉపాధ్యాయుడు
511,Geld::N,argent,ద్రవ్యము
512,Geschäft::N,affaire,వ్యాపారము
513,Geschäft::N,commerce,వ్యాపారము
514,Laden::N,magasin,అంగడి
515,Laden::N,boutique,అంగడి
516,Preis::N,prix,వెల
517,Ware::N,marchandise,సరకులు
518,Nutzen::N,profit,ప్రయోజనము
519,Reichtum::N,richesse,ధనము
520,Welt::N,monde,ప్రపంచము
521,Land::N,pays,దేశము
522,Staat::N,État,రాజ్యము
523,König::N,roi,రాజు
524,Macht::N,pouvoir,అధికారము
525,Macht::N,puissance,అధికారము
526,Grenze::N,frontière,సరిహద్దు
527,Krieg::N,guerre,యుద్ధము
528,Feind::N,ennemi,శత్రువు
529,Gewalt::N,violence,దౌర్జన్యము
530,Kampf::N,lutte,పోట్లాట
531,Kampf::N,combat,పోట్లాట
532,Bogen[Waffe]::N,arc,విల్లు
533,Pfeil::N,flèche,బాణము
534,Gewehr::N,fusil,తుపాకి
535,Fehler::N,faute,తప్ప
536,Fehler::N,erreur,తప్ప
537,Lüge::N,mensonge,అసత్యము
538,Schaden::N,dégât,నష్టము
539,Schaden::N,dommage,నష్టము
540,Unglück::N,malheur,దురదృష్టము
541,Schuld::N,faute,తప్పు
542,Schuld::N,culpabilité,తప్పు
543,Alter::N,âge,వయస్సు
544,Schluss::N,fin,ముగింపు
545,Zeit::N,temps,కాలము
546,Tag::N,jour,దినము
547,Tag::N,journée,దినము
548,Morgen::N,matin,ఉదయము
549,Morgen::N,matinée,ఉదయము
550,Mittag::N,midi,మధ్యాహ్నము
551,Abend::N,soir,సాయంకాలము
552,Abend::N,soirée,సాయంకాలము
553,Nacht::N,nuit,రత్రి
554,Woche::N,semaine,వారము
555,Monat::N,mois,నెల
556,Jahr::N,an,సంవత్సరము
557,Jahr::N,année,సంవత్సరము
558,Frühling::N,printemps,వసంతకాలము
559,Sommer::N,été,వేసవికాము
560,Herbst::N,automne,ఆకురాలుకాలము
561,Winter::N,hiver,శీతకాలము
562,Januar::N,janvier,జనవరి
563,Februar::N,février,ఫిబ్రవరి
564,März::N,mars,మార్చి
565,April::N,avril,ఏప్రిలు
566,Mai::N,mai,మే
567,Juni::N,juin,జూన్
568,Juli::N,juillet,జూలై
569,August::N,août,ఆగస్టు
570,September::N,septembre,సెప్ఠెంబరు
571,Oktober::N,octobre,అక్టోబరు
572,November::N,novembre,నవంబరు
573,Dezember::N,décembre,డిసెంబర్
574,Montag::N,lundi,సోమవారము
575,Dienstag::N,mardi,మంగళవారము
576,Mittwoch::N,mercredi,బుధవారము
577,Donnerstag::N,jeudi,గురువారము
578,Freitag::N,vendredi,శుక్రవారము
579,Samstag::N,samedi,శనివారము
580,Sonntag::N,dimanche,ఆదివారము
581,groß::A,grand,గొప్పైన
582,klein::A,petit,చిన్న
583,lang::A,long,పొడుగాటి
584,kurz::A,court,పొట్టి
585,breit::A,large,వెడల్పైన
586,schmal::A,étroit,ఇఱుకైన
587,dicht::A,dense,దట్టమైన
588,dick[Gegenstand]::A,épais,దట్టమైన
589,dünn::A,mince,పలుచని
590,fein::A,fin,నాజాకైన
591,fein::A,menu,నాజాకైన
592,fest::A,ferme,దృడమైవ
593,fest::A,solide,దృడమైవ
594,flach::A,plat,చదువైన
595,glatt::A,poli,నున్నని
596,glatt::A,lisse,నున్నని
597,hart::A,dur,కఠినమైన
598,weich::A,mou,మృదువైన
599,rund::A,rond,గుండ్రని
600,spitz::A,aigu,మొనగల
601,spitz::A,pointu,మొనగల
602,scharf::A,tranchant,పదనైన
603,stumpf::A,mousse,వాడిలేని
604,stumpf::A,émoussé,వాడిలేని
605,schwer::A,lourd,బరువ్తెన
606,schwer::A,pesant,బరువ్తెన
607,schön::A,beau,సుందరమైన
608,heiß::A,chaud,వేడియైన
609,heiß::A,très chaud,వేడియైన
610,warm::A,chaud,వెచ్చని
611,kalt::A,froid,చల్లని
612,kühl::A,frais,చల్లని
613,frisch::A,frais,తాజాయైన
614,feucht::A,humide,చెమ్మగానున్న
615,nass::A,mouillé,తడిగామన్న
616,trocken::A,sec,ఎండిన
617,voll::A,plein,నిండు
618,voll::A,rempli,నిండు
619,leer::A,vide,శూన్యమైన
620,offen::A,ouvert,తెఱచియున్న
621,geschlossen::A,clos,మూసిన
622,geschlossen::A,fermé,మూసిన
623,sauber::A,net,పరిశుద్ధమైన
624,sauber::A,propre,పరిశుద్ధమైన
625,schmutzig::A,sale,ముఱికియైన
626,schmutzig::A,crasseux,ముఱికియైన
627,roh::A,cru,పచ్చి
628,roh::A,brut,పచ్చి
629,reif::A,mûr,పండివ
630,lecker::A,délicieux,రుచి గల
631,lecker::A,appétissant,రుచి గల
632,süß::A,doux,తియ్యని
633,bitter::A,amer,చేదైన
634,sauer::A,aigre,పుల్లని
635,hell::A,clair,కాంతిగల
636,dunkel::A,sombre,చీకటియైన
637,schwarz::A,noir,నల్లని
638,weiß::A,blanc,తెలుపు
639,rot::A,rouge,ఎఱ్ఱని
640,gelb::A,jaune,పసుపు పచ్చ
641,blau::A,bleu,నీలవర్ణము
642,grün::A,vert,ఆకుపచ్చని
643,grau::A,gris,నెరిసిన
644,bunt::A,multicolore,రంగేలీ
645,billig::A,bon marché,చౌకయైన
646,teuer::A,cher,వెలపొడుగైన
647,wertvoll::A,précieux,విలుప్తెన
648,blind::A,aveugle,గ్రుడ్డి
649,taub::A,sourd,చెవిటి
650,kräftig::A,fort,శక్తి గల
651,kräftig::A,vigoureux,శక్తి గల
652,stark::A,fort,బలమైన
653,stark::A,puissant,బలమైన
654,schwach::A,faible,బలహీనమైన
655,fett::A,gras,క్రొవ్విన
656,schlank::A,svelte,సన్నని
657,hübsch::A,joli,సాగప్తెన
658,böse::A,mauvais,చెడ్డ
659,dumm::A,sot,తెలివిలేని
660,dumm::A,bête,తెలివిలేని
661,faul::A,fainéant,సోమరియైన
662,faul::A,paresseux,సోమరియైన
663,fleißig::A,appliqué,శ్రద్దగల
664,geizig::A,avare,పిసినారియైన
665,klug::A,intelligent,తెలివిగల
666,geschickt::A,habile,నిపుణతగల
667,lieb::A,cher,ప్రియమైన
668,lieb::A,gentil,ప్రియమైన
669,lustig::A,gai,ఉల్లాసము గల
670,lustig::A,joyeux,ఉల్లాసము గల
671,sanft::A,doux,సాధువైన
672,hungrig::A,affamé,ఆకలిగొనిన
673,krank::A,malade,వ్యాధిగల
674,nackt::A,nu,దిగంబరమైన
675,traurig::A,triste,విచారముగల
676,lebendig::A,vivant,ప్రాణముతో నున్న
677,gut::A,bon,మంచి
678,schlecht::A,mauvais,చెడ్డ
679,richtig::A,juste,సరియైన
680,richtig::A,correct,సరియైన
681,schlimm::A,grave,అసహ్యమైన
682,schlimm::A,mauvais,అసహ్యమైన
683,wahr::A,vrai,నిజమైన
684,wahr::A,véritable,నిజమైన
685,alt::A,vieux,ముసలి
686,neu::A,neuf,క్రొత్త
687,neu::A,nouveau,క్రొత్త
688,ehemalig::A,ancien,పూర్వపు
689,alt[Lebewesen]::A,âgé,ముసలి
690,alt[Lebewesen]::A,vieux,ముసలి
691,jung::A,jeune,పసి
692,arm::A,pauvre,బీద
693,reich::A,riche,ధనవంతుడైన
694,bekannt::A,connu,తెలిసిన
695,berühmt::A,fameux,ప్రపిద్దికెక్కివ
696,berühmt::A,célèbre,ప్రపిద్దికెక్కివ
697,fremd::A,étranger,అన్యమైన
698,verschieden::A,différent,భేదమైన
699,nah::A,lié,దగ్గఱనున్న
700,nah::A,proche,దగ్గఱనున్న
701,fern::A,éloigné,దూరమందున్న
702,fern::A,lointain,దూరమందున్న
703,linker::A,gauche,ఎడమప్రక్కగ
704,rechter::A,droit,కుడి
705,anderer::A,autre,వేఱ్తెన
706,erster::A,premier,మొదటి
707,zweiter::A,second,రెండన
708,zweiter::A,deuxième,రెండన
709,dritter::A,troisième,మూడో
710,letzter::A,dernier,కడపటి
711,allein::ADV,seul,ఒంటిగా
712,auf einmal::ADV,à la fois,హరాత్తుగ
713,zusammen::ADV,ensemble,కలిసి
714,lange::ADV,longtemps,బహుకాలము
715,plötzlich::ADV,tout à coup,హరాత్తుగ
