,Concept_ID,nl,pt
920,wir::PRN,wij,nós
921,ihr::PRN,jullie,vós
922,ihr::PRN,jullie,vocês
923,sie::PRN,ze,eles
924,sie::PRN,zij,eles
925,was::FPRN,wat,quê
926,wer::FPRN,wie,quem
927,wo::FADV,waar,onde
928,wohin::FADV,waarheen,aonde
929,wohin::FADV,waarheen,para onde
930,wie::FADV,hoe,como
931,warum::FADV,waarom,porquê
932,warum::FADV,waarom,por que
933,wieviel::FNUM,hoeveel,quanto
934,eins::NUM,één,um
935,zwei::NUM,twee,dois
936,drei::NUM,drie,três
937,vier::NUM,vier,quatro
938,fünf::NUM,vijf,cinco
939,sechs::NUM,zes,seis
940,sieben::NUM,zeven,sete
941,acht::NUM,acht,oito
942,neun::NUM,negen,nove
943,zehn::NUM,tien,dez
944,elf::NUM,elf,onze
945,zwölf::NUM,twaalf,doze
946,zwanzig::NUM,twintig,vinte
947,dreißig::NUM,dertig,trinta
948,vierzig::NUM,veertig,quarenta
949,fünfzig::NUM,vijftig,cinquenta
950,sechzig::NUM,zestig,sessenta
951,siebzig::NUM,zeventig,setenta
952,achtzig::NUM,tachtig,oitenta
953,neunzig::NUM,negentig,noventa
954,hundert::NUM,honderd,cem
955,hundert::NUM,honderd,cento
956,tausend::NUM,duizend,mil
957,und::CNJ,en,e
958,oder::CNJ,of,ou
959,stehen::V,staan,estar em pé
960,sitzen::V,zitten,estar sentado
961,liegen::V,liggen,jazer
962,liegen::V,liggen,estar deitado
963,hängen::V,hangen,pender
964,hängen::V,hangen,estar pendurado
965,werden::V,worden,tornar-se
966,passieren::V,gebeuren,acontecer
967,beginnen::V,beginnen,começar
968,enden::V,eindigen,acabar
969,enden::V,eindigen,terminar
970,wechseln::V,wijzigen,variar
971,wechseln::V,wijzigen,alternar
972,wechseln::V,veranderen,variar
973,wechseln::V,veranderen,alternar
974,aufgehen[Sonne]::V,opgaan,nascer
975,untergehen[Sonne]::V,ondergaan,pôr-se
976,scheinen[Sonne]::V,schijnen,brilhar
977,donnern::V,donderen,trovejar
978,wehen::V,waaien,soprar
979,strömen::V,stromen,correr
980,fließen::V,vloeien,fluir
981,sich drehen::V,draaien,girar
982,sich drehen::V,zich draaien,girar
983,schwanken::V,wankelen,oscilar
984,schwingen::V,zwieren,vibrar
985,fallen::V,vallen,cair
986,brennen::V,branden,arder
987,rauchen::V,roken,fumegar
988,regnen::V,regenen,chover
989,gefrieren::V,bevriezen,gelar
990,gefrieren::V,bevriezen,congelar
991,tauen::V,dooien,derreter
992,tauen::V,dooien,descongelar
993,schmelzen::V,smelten,fundir-se
994,trocknen::V,drogen,secar
995,sieden::V,koken,ferver
996,sieden::V,zieden,ferver
997,faulen::V,rotten,estragar-se
998,verfaulen::V,verrotten,apodrecer
999,reißen::V,scheuren,romper-se
1000,versinken::V,verzinken,afundar-se
1001,vergehen::V,vergaan,passar
1002,erscheinen::V,opdagen,aparecer
1003,erscheinen::V,verschijnen,aparecer
1004,verschwinden::V,verdwijnen,desaparecer
1005,sinken::V,zinken,descer
1006,abnehmen::V,afnemen,diminuir
1007,abnehmen::V,afnemen,decrescer
1008,abnehmen::V,verminderen,diminuir
1009,abnehmen::V,verminderen,decrescer
1010,zunehmen::V,toenemen,crescer
1011,zunehmen::V,toenemen,aumentar
1012,steigen::V,stijgen,subir
1013,steigen::V,omhooggaan,subir
1014,wachsen::V,groeien,crescer
1015,glänzen::V,glanzen,brilhar
1016,glänzen::V,schitteren,brilhar
1017,funkeln::V,fonkelen,cintilar
1018,lärmen::V,lawaai maken,fazer barulho
1019,läuten::V,luiden,chocalhar
1020,klingeln::V,bellen,tocar
1021,klirren::V,rinkelen,tinir
1022,brausen::V,bruisen,bramar
1023,rauschen::V,ruisen,murmurar
1024,rauschen::V,ruisen,rumorejar
1025,klingen::V,klinken,soar
1026,bellen::V,blaffen,ladrar
1027,heulen::V,huilen,uivar
1028,blasen::V,blazen,soprar
1029,pfeifen::V,fluiten,assobiar
1030,schreien::V,gillen,gritar
1031,schreien::V,schreeuwen,gritar
1032,stöhnen::V,steunen,gemer
1033,zittern::V,beven,tremer
1034,zittern::V,sidderen,tremer
1035,leben::V,leven,viver
1036,geboren werden::V,geboren worden,nascer
1037,atmen::V,ademen,respirar
1038,trinken::V,drinken,beber
1039,essen::V,eten,comer
1040,schlucken::V,slikken,engolir
1041,müde werden::V,moe worden,cansar-se
1042,einschlafen::V,inslapen,adormecer
1043,schlafen::V,slapen,dormir
1044,aufwachen::V,ontwaken,acordar
1045,aufwachen::V,wakker worden,acordar
1046,aufstehen::V,opstaan,levantar-se
1047,sich erholen::V,zich ontspannen,descansar
1048,krank werden::V,ziek worden,adoecer
1049,krank werden::V,ziek worden,ficar doente
1050,krank sein::V,ziek zijn,estar doente
1051,schmerzen::V,pijn doen,doer
1052,husten::V,hoesten,tossir
1053,genesen::V,genezen,convalescer
1054,sterben::V,sterven,morrer
1055,sterben::V,overlijden,morrer
1056,umkommen::V,omkomen,perecer
1057,sich bewegen::V,zich bewegen,mover-se
1058,sich rühren::V,zich verroeren,mexer-se
1059,sich erheben::V,oprijzen,levantar-se
1060,sich erheben::V,verrijzen,levantar-se
1061,sich setzen::V,gaan zitten,sentar-se
1062,hinfallen::V,vallen,cair
1063,hinfallen::V,neervallen,cair
1064,laufen::V,lopen,andar
1065,laufen::V,lopen,caminhar
1066,schreiten::V,stappen,andar
1067,schreiten::V,stappen,caminhar
1068,schreiten::V,schrijden,andar
1069,schreiten::V,schrijden,caminhar
1070,spazierengehen::V,gaan wandelen,passear
1071,eilen::V,ijlen,apressar-se
1072,eilen::V,haasten,apressar-se
1073,sich beeilen::V,zich haasten,apressar-se
1074,sich beeilen::V,zich haasten,despachar-se
1075,sausen::V,stuiven,correr
1076,rennen::V,rennen,correr
1077,springen::V,springen,saltar
1078,klettern::V,klimmen,trepar
1079,klettern::V,klauteren,trepar
1080,schaukeln::V,schommelen,baloiçar
1081,kriechen::V,kruipen,rastejar
1082,kriechen::V,kruipen,arrastar-se
1083,schwimmen::V,zwemmen,nadar
1084,tauchen::V,duiken,mergulhar
1085,rudern::V,roeien,remar
1086,fahren::V,rijden,ir
1087,fliegen::V,vliegen,voar
1088,gehen::V,gaan,ir
1089,gehen::V,gaan,andar
1090,weggehen::V,weggaan,partir
1091,weggehen::V,weggaan,ir-se embora
1092,abfahren::V,vertrekken,sair
1093,abfahren::V,vertrekken,partir
1094,anhalten::V,stoppen,parar
1095,anhalten::V,stilhouden,parar
1096,hineingehen::V,ingaan,entrar
1097,hineingehen::V,binnengaan,entrar
1098,eintreten::V,binnenkomen,entrar
1099,kommen::V,komen,vir
1100,ankommen::V,aankomen,chegar
1101,zurückkommen::V,terugkomen,voltar
1102,zurückkommen::V,terugkomen,regressar
1103,bleiben::V,blijven,ficar
1104,bleiben::V,blijven,permanecer
1105,warten::V,wachten,esperar
1106,erwarten::V,verwachten,esperar
1107,erwarten::V,verwachten,aguardar
1108,suchen::V,zoeken,buscar
1109,suchen::V,zoeken,procurar
1110,finden::V,vinden,achar
1111,finden::V,vinden,encontrar
1112,versuchen::V,proberen,tentar
1113,versuchen::V,beproeven,tentar
1114,vorbereiten::V,voorbereiden,preparar
1115,lieben::V,houden van,amar
1116,lieben::V,houden van,querer
1117,mögen::V,lusten,gostar de
1118,mögen::V,houden van,gostar de
1119,lachen::V,lachen,rir
1120,lachen::V,lachen,rir-se
1121,rühren::V,roeren,comover
1122,weinen::V,huilen,chorar
1123,weinen::V,schreien,chorar
1124,schimpfen::V,kijven,ralhar
1125,schimpfen::V,schelden,ralhar
1126,sich ärgern::V,zich ergeren,zangar-se
1127,sich fürchten::V,bang zijn,ter medo de
1128,sich fürchten::V,bang zijn,ter receio de
1129,fürchten::V,vrezen,temer
1130,fürchten::V,vrezen,recear
1131,fliehen::V,vluchten,fugir
1132,flüchten::V,ontsnappen,refugiar-se
1133,flüchten::V,ontkomen,refugiar-se
1134,sehen::V,zien,ver
1135,anschauen::V,aankijken,olhar
1136,ansehen::V,aanzien,mirar
1137,ansehen::V,bekijken,mirar
1138,hören::V,horen,ouvir
1139,zuhören::V,luisteren,escutar
1140,probieren::V,proeven,provar
1141,probieren::V,proeven,saborear
1142,riechen::V,ruiken,cheirar
1143,fühlen::V,voelen,sentir
1144,scheinen::V,lijken,parecer
1145,zu sehen sein::V,te zien zijn,estar à vista
1146,vernehmen::V,vernemen,ouvir
1147,frieren::V,het koud hebben,ter frio
1148,tun::V,doen,fazer
1149,können::V,kunnen,saber
1150,wollen::V,willen,querer
1151,anfangen::V,beginnen,iniciar
1152,anfangen::V,aanvangen,iniciar
1153,beenden::V,beëindigen,acabar
1154,beenden::V,beëindigen,terminar
1155,aufhören::V,ophouden,cessar
1156,aufhören::V,ophouden,desistir
1157,gelingen::V,lukken,sair bem
1158,gelingen::V,lukken,dar bom resultado
1159,gelingen::V,gelukken,sair bem
1160,gelingen::V,gelukken,dar bom resultado
1161,geraten::V,uitvallen,sair
1162,geraten::V,uitvallen,dar resultado
1163,öffnen::V,openen,abrir
1164,öffnen::V,opendoen,abrir
1165,schließen::V,sluiten,fechar
1166,schließen::V,dichtdoen,fechar
1167,stellen::V,stellen,pôr
1168,stellen::V,stellen,colocar
1169,stellen::V,plaatsen,pôr
1170,stellen::V,plaatsen,colocar
1171,setzen::V,zetten,pôr
1172,setzen::V,zetten,meter
1173,setzen::V,plaatsen,pôr
1174,setzen::V,plaatsen,meter
1175,legen::V,leggen,pôr
1176,legen::V,leggen,meter
1177,berühren::V,aanraken,tocar
1178,verbinden::V,verbinden,unir
1179,verbinden::V,verbinden,ligar
1180,bedecken::V,bedekken,cobrir
1181,aufhängen::V,ophangen,pendurar
1182,anzünden::V,aansteken,acender
1183,aufheben::V,oprapen,apanhar
1184,aufheben::V,oprapen,levantar
1185,zurücklassen::V,achterlaten,deixar
1186,verlieren::V,verliezen,perder
1187,fallen lassen::V,laten vallen,deixar cair
1188,machen::V,maken,fazer
1189,herstellen::V,produceren,produzir
1190,herstellen::V,voortbrengen,produzir
1191,bauen::V,bouwen,edificar
1192,bauen::V,bouwen,construir
1193,reparieren::V,repareren,reparar
1194,reparieren::V,repareren,consertar
1195,reparieren::V,herstellen,reparar
1196,reparieren::V,herstellen,consertar
1197,verbessern::V,verbeteren,melhorar
1198,ändern::V,wijzigen,mudar
1199,ändern::V,wijzigen,alterar
1200,ändern::V,veranderen,mudar
1201,ändern::V,veranderen,alterar
1202,graben::V,graven,cavar
1203,beugen::V,buigen,curvar
1204,biegen::V,buigen,vergar
1205,drehen::V,draaien,girar
1206,wenden::V,keren,virar
1207,wenden::V,keren,voltar
1208,wenden::V,wenden,virar
1209,wenden::V,wenden,voltar
1210,umdrehen::V,omdraaien,virar
1211,umdrehen::V,omdraaien,revolver
1212,heben::V,heffen,levantar
1213,heben::V,optillen,levantar
1214,hochheben::V,tillen,erguer
1215,hochheben::V,tillen,levantar
1216,ergreifen::V,pakken,apanhar
1217,ergreifen::V,grijpen,apanhar
1218,halten::V,houden,segurar
1219,drücken::V,drukken,apertar
1220,schieben::V,duwen,empurrar
1221,schieben::V,schuiven,empurrar
1222,kratzen::V,krassen,raspar
1223,lecken::V,likken,lamber
1224,beißen::V,bijten,morder
1225,abreißen::V,afrukken,arrancar
1226,abreißen::V,afscheuren,arrancar
1227,abschneiden::V,afsnijden,talhar
1228,binden::V,binden,ligar
1229,stecken::V,steken,meter
1230,stecken::V,steken,enfiar
1231,brechen::V,breken,romper
1232,brechen::V,breken,quebrar
1233,klopfen::V,kloppen,bater
1234,hauen::V,houwen,bater
1235,kleben::V,plakken,colar
1236,reiben::V,wrijven,esfregar
1237,streichen::V,smeren,barrar
1238,schleifen::V,slijpen,afiar
1239,schneiden::V,snijden,cortar
1240,rütteln::V,schudden,sacudir
1241,schütteln::V,schudden,abanar
1242,schütteln::V,schudden,sacudir
1243,schwenken::V,wuiven,agitar
1244,schwenken::V,zwaaien,agitar
1245,schütten::V,gieten,deitar
1246,schütten::V,storten,deitar
1247,füllen::V,vullen,encher
1248,einwickeln::V,inwikkelen,envolver
1249,einwickeln::V,inwikkelen,embrulhar
1250,tragen::V,dragen,levar
1251,tragen::V,dragen,trazer
1252,schleppen::V,slepen,arrastar
1253,ziehen::V,trekken,puxar
1254,aufbewahren::V,bewaren,guardar
1255,aufbewahren::V,bewaren,conservar
1256,werfen::V,gooien,lançar
1257,fangen::V,vangen,apanhar
1258,packen::V,pakken,agarrar
1259,packen::V,vastpakken,agarrar
1260,verstecken::V,verstoppen,esconder
1261,teilen::V,delen,partir
1262,teilen::V,delen,dividir
1263,schicken::V,sturen,enviar
1264,bringen::V,brengen,trazer
1265,hinzufügen::V,toevoegen,acrescentar
1266,bekommen::V,verkrijgen,obter
1267,erhalten::V,krijgen,receber
1268,nehmen::V,nemen,tomar
1269,wählen::V,kiezen,eleger
1270,wählen::V,kiezen,escolher
1271,wählen::V,verkiezen,eleger
1272,wählen::V,verkiezen,escolher
1273,auswählen::V,uitkiezen,escolher
1274,auswählen::V,uitkiezen,seleccionar
1275,bewahren::V,bewaren,guardar
1276,bewahren::V,bewaren,conservar
1277,behindern::V,hinderen,impedir
1278,verderben::V,bederven,estragar
1279,verderben::V,bederven,corromper
1280,beschädigen::V,beschadigen,danificar
1281,zerbrechen::V,breken,romper
1282,zerbrechen::V,breken,quebrar
1283,zerbrechen::V,stukbreken,romper
1284,zerbrechen::V,stukbreken,quebrar
1285,zerreißen::V,scheuren,rasgar
1286,zerreißen::V,verscheuren,rasgar
1287,zerstören::V,vernielen,destruir
1288,verbrennen::V,branden,queimar
1289,verbrennen::V,verbranden,queimar
1290,geben::V,geven,dar
1291,reichen::V,reiken,passar
1292,reichen::V,aanreiken,passar
1293,schenken::V,schenken,oferecer
1294,versprechen::V,beloven,prometer
1295,wünschen::V,wensen,desejar
1296,loben::V,loven,louvar
1297,loben::V,prijzen,louvar
1298,küssen::V,kussen,beijar
1299,wiegen::V,wiegen,embalar
1300,zudecken::V,toedekken,tapar
1301,zudecken::V,toedekken,cobrir
1302,wecken::V,wekken,acordar
1303,wecken::V,wekken,despertar
1304,zeigen::V,tonen,mostrar
1305,zeigen::V,wijzen,mostrar
1306,führen::V,voeren,guiar
1307,führen::V,voeren,conduzir
