,Concept_ID,uz,fa
97,Donner::N,guldur,رعد
98,Strömung::N,oqim,جریان
99,Tropfen::N,tomchi,قطره
100,Schaum::N,ko'pik,کف
101,Schmutz::N,gard,گل
102,Schmutz::N,gard,کثافت
103,See::N,ko'l,دریاچه
104,Sumpf::N,botqoq,مرداب
105,Sumpf::N,botqoq,باتلاق
106,Moor::N,qir-adir,باتلاق
107,Wiese::N,o'tzor,چمن
108,Wald::N,o'rmon,جنگل
109,Hügel::N,tepa,تل
110,Hügel::N,tepa,تپه
111,Anhöhe::N,adir,بلندی
112,Berg::N,tog',کوه
113,Gipfel::N,cho'qqi,قله
114,Höhle::N,kavak,غار
115,Abhang::N,to'sh,سرازیری
116,Quelle::N,buloq,چشمه
117,Bach::N,o'zan,نهر
118,Fluss::N,daryo,رود
119,Ufer::N,sohil,ساحل
120,Ufer::N,sohil,کرانه
121,Küste::N,qirg'oq,ساحل
122,Festland::N,materik,خشکی
123,Meer::N,dengiz,دریا
124,Bucht::N,qo'ltiq,خلیج
125,Insel::N,orol,جزیره
126,Blume::N,gul,گل
127,Gras::N,sabza,علف
128,Wurzel::N,tub,ریشه
129,Wurzel::N,tomir,ریشه
130,Baum::N,daraxt,درخت
131,Stamm::N,o'simta,تنه
132,Rinde::N,qobiq,توژ
133,Rinde::N,qobiq,پوست
134,Ast::N,shox,شاخه
135,Zweig::N,butoq,شاخه
136,Blatt::N,barg,برگ
137,Birke::N,qayin,غان
138,Kiefer[Baum]::N,qarag'ay,کاج
139,Weide[Baum]::N,shum,بید
140,Tanne::N,archa,صنوبر
141,Horn::N,mugiz,شاخ
142,Feder::N,par,پر
143,Fell::N,mo'yna,خز
144,Flügel::N,qanot,پر
145,Flügel::N,qanot,بال
146,Klaue::N,tirnoq,چنگ
147,Klaue::N,tirnoq,پنجه
148,Kralle::N,tirnoq,پنجه
149,Schwanz::N,quyruq,دم
150,Ei::N,tuxum,تخم
151,Nest::N,oshyon,لانه
152,Bau::N,o'pqon,بنا
153,Bau::N,o'pqon,ساختمان
154,Tier::N,hayvon,هیوان
155,Herde::N,gala,رمه
156,Kuh::N,inak,گاو
157,Bulle::N,ho'kiz,گاو نر
158,Pferd::N,ot,اسب
159,Schaf::N,qo'y,گوسفند
160,Schwein::N,cho'chqa,خوک
161,Hund::N,it,سگ
162,Katze::N,mushuk,گربه
163,Bär::N,ayiq,خرس
164,Eichhörnchen::N,tiyin,سنجاب
165,Elch::N,los,گوزن شمالی
166,Fuchs::N,tulki,روباه
167,Hase::N,kuyon,خرگوش
168,Maus::N,sichqon,موش
169,Wolf::N,bo'ri,گرگ
170,Vogel::N,qush,پرنده
171,Schwarm::N,to'da,دسته
172,Huhn::N,tovuq,مرغ
173,Hahn::N,xo'roz,خروس
174,Gans::N,g'oz,غاز
175,Adler::N,burgut,عقاب
176,Ente::N,o'rdak,اردک
177,Ente::N,o'rdak,مرغابی
178,Eule::N,boyo'g'li,جغد
179,Kranich::N,turna,درنا
180,Krähe::N,qarg'a,زاغ
181,Krähe::N,qarg'a,کلاغ
182,Kuckuck::N,kakku,فاخته
183,Schwan::N,oqkush,قو
184,Fisch::N,baliq,ماهی
185,Barsch::N,olabug'a,ماهی خاردار
186,Hecht::N,cho'rtan,اردک ماهی
187,Schlange[Tier]::N,ilon,مار
188,Wurm::N,qurt,کرم
189,Spinne::N,o'rgimchak,عنکبوت
190,Ameise::N,chumoli,مورچه
191,Laus::N,bit,شپش
192,Mücke::N,chivin,پشه
193,Fliege::N,pashsha,مگس
194,Schmetterling::N,kapalak,پروانه
195,Beere::N,meva,گیله
196,Apfel::N,olma,سیب
197,Pilz::N,qo'ziqorin,قارچ
198,Zwiebel::N,piyoz,پیاز
199,Saat::N,äkin,بذر
200,Korn::N,zarra,تخم
201,Korn::N,zarra,دانه
202,Heu::N,xashak,علف خشک
203,Schale::N,po'choq,پوست
204,Grube::N,co'ra,گودال
205,Falle::N,qopqon,دام
206,Schlinge::N,sirtmoq,حلقه
207,Spur::N,iz,رد
208,Asche::N,kul,خاکستر
209,Dreck::N,kir,کثافت
210,Eisen::N,temir,آهن
211,Gold::N,tilla,زر
212,Gold::N,tilla,طلا
213,Silber::N,kumush,نقره
214,Kohle::N,ko'mir,زغال
215,Glas::N,oyna,شیشه
216,Lehm::N,loy,گل
217,Sand::N,qum,شن
218,Sand::N,qum,ماسه
219,Mensch::N,odam,آدم
220,Mensch::N,odam,انسان
221,Mann::N,ärkak,مرد
222,Frau::N,ayol,زن
223,Kind::N,bola,بچه
224,Kind::N,bola,کودک
225,Kind::N,kichkintoy,بچه
226,Kind::N,kichkintoy,کودک
227,Junge::N,bola,پسر
228,Mädchen::N,qiz,دختر
229,Familie::N,oila,فامیل
230,Familie::N,oila,خانواده
231,Großvater::N,buva,پدربزرگ
232,Großvater::N,katta ota,پدربزرگ
233,Großmutter::N,buvi,مادر‌بزرگ
234,Großmutter::N,katta oyi,مادر‌بزرگ
235,Eltern::N,ota-ona,والدین
236,Eltern::N,ota-ona,پدر‌و‌مادر
237,Vater::N,ota,پدر
238,Mutter::N,ona,مادر
239,Sohn::N,o'g'il,پسر
240,Tochter::N,qiz,دختر
241,Bruder::N,og'a,برادر
242,Bruder::N,uka,برادر
243,Schwester::N,opa,خواهر
244,Schwester::N,singil,خواهر
245,Onkel::N,amaki,عمو
246,Onkel::N,amaki,دایی
247,Tante::N,amma,عمه
248,Tante::N,amma,خاله
249,Tante::N,xola,عمه
250,Tante::N,xola,خاله
251,Ehemann::N,är,همسر
252,Ehefrau::N,rafiqa,همسر
253,Freude::N,ayish,شادی
254,Gelächter::N,kulgi,خنده
255,Gelächter::N,kulgi,قاه‌قاه
256,Glück::N,saodat,اقبال
257,Kummer::N,g'am,غم
258,Kummer::N,g'am,غصه
259,Wunsch::N,orzu,آرزو
260,Lust::N,rag'bat,هوس
261,Geist::N,ruh,روح
262,Gedanke::N,fikr,فکر
263,Gedächtnis::N,äs,حافظه
264,Verstand::N,aql,هوش
265,Sinn::N,ma'ni,معنا
266,Sinn::N,ma'ni,مفهوم
267,Grund::N,sabab,سبب
268,Grund::N,sabab,دلیل
269,Wahrheit::N,haq,حقیقت
270,Gespräch::N,gap,صحبت
271,Gespräch::N,gap,گفتگو
272,Märchen::N,ärtak,قصه
273,Märchen::N,ärtak,افسانه
274,Erzählung::N,rivoyat,داستان
275,Nachricht::N,xabar,خبر
276,Neuigkeit::N,yangilik,خبر تازه
277,Name::N,ot,اسم
278,Rätsel::N,topishmoq,معما
279,Rede::N,nutq,سخن
280,Sprache::N,til,زبان
281,Stimme::N,ovoz,صدا
282,Wort::N,so'z,کلمه
283,Zeichen::N,alomat,نشان
284,Zeichen::N,alomat,علامت
285,Ruf::N,chaqiriq,صدا
286,Lärm::N,taraq,هیاهو
287,Laut::N,tovush,صدا
288,Ton::N,un,آهنگ
289,Lied::N,ashula,آواز
290,Lied::N,ashula,ترانه
291,Ruhe::N,tinchlik,آرامش
292,Leute::N,xaloyiq,مردم
293,Volk::N,xalq,خلق
294,Arbeit::N,ish,کار
295,Gast::N,mehmon,مهمان
296,Geschenk::N,hadya,هدیه
297,Spiel::N,o'yin,بازی
298,Gesellschaft::N,jamiyat,جمعیت
299,Hilfe::N,yordam,کمک
300,Freund::N,do'st,دوست
301,Kamerad::N,yo'ldosh,رفیق
302,Angelegenheit::N,daxl,امر
303,Angelegenheit::N,daxl,قضیه
304,Anzahl::N,son,عده
305,Anzahl::N,son,شمار
306,Art::N,tur,نوع
307,Stück::N,parcha,تکه
308,Stück::N,parcha,قطعه
309,Teil::N,bo'lak,بخش
310,Teil::N,bo'lak,قسمت
311,Hälfte::N,yarim,نیم
312,Kreis::N,aylana,حلقه
313,Kreis::N,aylana,دایره
314,Kreuz::N,xoch,صلیب
315,Linie::N,liniya,خط
316,Linie::N,liniya,سطر
317,Strich::N,chiziq,خط
318,Abstand::N,oralik,فاصله
319,Entfernung::N,uzoqlik,مسافت
320,Gegend::N,yer,منطقه
321,Platz::N,oralig,گنجایش
322,Ort::N,joy,جا
323,Ort::N,joy,محل
324,Ort::N,joy,مکان
325,Seite::N,yon,طرف
326,Mitte::N,o'rta,وسط
327,Mitte::N,o'rta,میان
328,Gegenstand::N,ashyo,چیز
329,Sache::N,buyum,چیز
330,Rand::N,chek,کنار
331,Rand::N,chek,حاشیه
332,Kante::N,tig',لبه
333,Ecke::N,burchak,گوشه
334,Spitze::N,uch,سر
335,Spitze::N,uch,نوک
336,Ende::N,oxir,ته
337,Ende::N,oxir,آخر
338,Loch::N,teshik,سوراخ
339,Winkel::N,go'sha,کنج
340,Muster::N,nusha,نقش
341,Größe::N,kattalik,قد
342,Größe::N,kattalik,بزرگی
343,Länge::N,uzunlik,طول
344,Höhe::N,yuksaklik,بلندی
345,Gewicht::N,solmoq,وزن
346,Menge::N,miqdor,مقدار
347,Menge::N,miqdor,اندازه
348,Haufen::N,uyum,توده
349,Reihe::N,saf,ردیف
350,Boot::N,qayiq,قایق
351,Ruder::N,äshkak,پارو
352,Schlitten::N,chana,سورتمه
353,Ski::N,chang'i,اسکی
354,Lagerfeuer::N,gulxan,آتش
355,Last::N,yuk,بار
356,Last::N,yuk,سنگینی
357,Gang::N,yurish,راه رفتن
358,Schritt::N,qadam,قدم
359,Norden::N,shimol,شمال
360,Süden::N,janub,جنوب
361,Westen::N,g'arb,غرب
362,Osten::N,sharq,شرق
363,Holz::N,yog'och,چوب
364,Brett::N,taxta,تخته
365,Platte::N,tabaqa,صفحه
366,Stütze::N,tayanchi,تکیه
367,Stange::N,qo'noq,میله
368,Stock::N,tayoq,چوب
369,Stab::N,gavron,عصا
370,Rohr::N,tarnov,لوله
371,Haus::N,uy,منزل
372,Heim::N,makon,خانه
373,Heim::N,makon,کاشانه
374,Ofen::N,pechka,بخاری
375,Fußboden::N,pol,کف اتاق
376,Tisch::N,mosa,میز
377,Stuhl::N,o'rindiq,صندلی
378,Wiege::N,beshik,گهواره
379,Bett::N,yotoq,تختخواب
380,Regal::N,tokcha,قفسه
381,Kiste::N,sandiq,صندوق
382,Fenster::N,deraza,پنجره
383,Tür::N,äshik,در
384,Tür::N,äshik,درب
385,Tor::N,darvoza,دروازه
386,Zaun::N,panjara,حصار
387,Dach::N,tom,بام
388,Leiter::N,narvon,نردبان
389,Besen::N,supurgi,جارو
390,Spaten::N,bel,بیل
391,Schaufel::N,kurak,بیل
392,Schaufel::N,kurak,پارو
393,Gabel::N,bilka,چنگال
394,Löffel::N,qoshiq,قاشق
395,Messer::N,pichoq,کارد
396,Nagel::N,mix,میخ
397,Netz::N,to'r,تور
398,Netz::N,to'r,شبکه
399,Haken::N,ilgak,قلاب
400,Griff::N,sop,دسته
401,Griff::N,tutqich,دسته
402,Schloss::N,qulf,قفل
403,Bild::N,rasm,عکس
404,Bild::N,rasm,تصویر
405,Figur::N,shakl,تندیس
406,Puppe::N,ko'g'irchoq,عروسک
407,Beutel::N,to'rva,کیسه
408,Bündel::N,bog'lam,بسته
409,Tasche::N,kissa,کیف
410,Eimer::N,chelak,سطل
411,Deckel::N,qopqoq,در
412,Geschirr::N,idish,ظرف
413,Sack::N,qop,گونی
414,Tasse::N,piyola,فنجان
415,Topf::N,tuvak,دیگ
416,Topf::N,tuvak,قابلمه
417,Kessel::N,qozon,دیگ
418,Essen::N,tomoq,خوراک
419,Nahrung::N,emak,غذا
420,Speise::N,taom,خوراک
421,Fleisch::N,go'sht,گوشت
422,Getreide::N,g'alla,غله
423,Brei::N,bo'tqa,فرنی
424,Brei::N,bo'tqa,حریره
425,Brot::N,non,نان
426,Scheibe::N,disk,قاچ
427,Scheibe::N,disk,لزگه
428,Fett::N,moy,چربی
429,Butter::N,yog',کره
430,Öl::N,moy,روغن
431,Salz::N,tuz,نمک
432,Suppe::N,sho'rva,آش
433,Suppe::N,sho'rva,سوپ
434,Honig::N,asal,عسل
435,Milch::N,sut,شیر
436,Tee::N,choy,چای
437,Leder::N,charm,چرم
438,Wolle::N,jun,پشم
439,Stoff::N,mato,پارچه
440,Nadel::N,igna,سوزن
441,Faden::N,ip,نخ
442,Knopf::N,tugma,دکمه
443,Knoten::N,tugun,گره
444,Farbe::N,bo'yok,رنگ
445,Kleidung::N,kiyim,لباس
446,Kleidung::N,kiyim,پوشاک
447,Hemd::N,ko'ylak,پیراهن
448,Kragen::N,yoqa,یقه
449,Ärmel::N,yeng,آستین
450,Hose::N,shim,شلوار
451,Gürtel::N,tasma,کمر‌بند
452,Mütze::N,shapka,کلاه
453,Schuh::N,but,کفش
454,Stiefel::N,botinka,چکمه
455,Ring::N,yuzuk,حلقه
456,Ring::N,yuzuk,انگشتر
457,Band::N,rishta,نوار
458,Band::N,rishta,روبان
459,Kamm::N,taroq,شانه
460,Spiegel::N,ko'zgu,آینه
461,Riemen::N,qayish,تسمه
462,Schnur::N,bog'ich,ریسمان
463,Leine::N,etak,قلاده
464,Decke::N,odyol,پتو
465,Kissen::N,yostiq,بالش
466,Tuch::N,gazlama,شال
467,Handtuch::N,sochiq,حوله
468,Kraft::N,kuch,نیرو
469,Stärke::N,quvvat,زور
470,Gesundheit::N,sog'lik,سلامتی
471,Gesundheit::N,sog'lik,تندرستی
472,Krankheit::N,kasallik,بیماری
473,Schmerz::N,og'riq,درد
474,Wunde::N,yara,زخم
475,Fieber::N,bezgak,تب
476,Arznei::N,dori,دارو
477,Brücke::N,ko'prik,پل
478,Brunnen::N,buloq,چاه
479,Weide::N,yaylov,چراگاه
480,Pfad::N,dorojka,راه
481,Weg::N,yo'l,راه
482,Weg::N,yo'l,طریق
483,Straße::N,ko'cha,راه
484,Straße::N,ko'cha,جاده
485,Dorf::N,ovul,ده
486,Dorf::N,ovul,روستا
487,Stadt::N,shahar,شهر
488,Brief::N,maktub,نامه
489,Buch::N,kitob,کتاب
490,Buchstabe::N,harf,حرف
491,Zeitung::N,gazet,روزنامه
492,Leben::N,hayot,عمر
493,Leben::N,hayot,زندگی
494,Tod::N,o'lim,مرگ
495,Grab::N,go'r,گور
496,Grab::N,go'r,مزار
497,Kirche::N,cherkov,کلیسا
498,Sünde::N,gunoh,بزه
499,Sünde::N,gunoh,گناه
500,Gott::N,olloh,خدا
501,Arbeiter::N,ishchi,کارگر
502,Chef::N,rais,رئیس
503,Meister::N,usta,استاد
504,Arzt::N,hakim,پزشک
505,Lehrer::N,muallim,معلم
506,Lehrer::N,muallim,آموزگار
507,Geld::N,pul,پول
508,Geschäft::N,savdo,کار
509,Geschäft::N,savdo,بیزنس
510,Laden::N,do'kon,دکان
511,Laden::N,do'kon,مغازه
512,Preis::N,baho,بها
513,Preis::N,baho,قیمت
514,Ware::N,mol,جنس
515,Ware::N,mol,کالا
516,Nutzen::N,foyda,مزیت
517,Nutzen::N,foyda,امتیاز
518,Reichtum::N,boylik,مال
519,Reichtum::N,boylik,ثروت
520,Welt::N,olam,دنیا
521,Land::N,o'lka,کشور
522,Land::N,o'lka,مملکت
523,Staat::N,davlat,دولت
524,König::N,qirol,شاه
525,König::N,qirol,پادشاه
526,Macht::N,iqtidor,قدرت
527,Macht::N,iqtidor,اختیار
528,Grenze::N,chegara,مرز
529,Krieg::N,harb,جنگ
530,Feind::N,dushman,دشمن
531,Gewalt::N,zo'rlik,زور
532,Gewalt::N,zo'rlik,خشونت
533,Kampf::N,kurash,نبرد
534,Kampf::N,kurash,مبارزه
535,Bogen[Waffe]::N,yoy,کمان
536,Pfeil::N,o'q,تیر
537,Gewehr::N,vintovka,تفنگ
538,Fehler::N,xato,غلط
539,Fehler::N,xato,اشتباه
540,Lüge::N,yolg'on,دروغ
541,Schaden::N,ziyon,آسیب
542,Schaden::N,ziyon,خسارت
543,Unglück::N,balo,بلا
544,Schuld::N,ayb,گناه
545,Schuld::N,ayb,تقصیر
546,Alter::N,yosh,سن
547,Alter::N,yosh,عمر
548,Schluss::N,tamom,انتها
549,Zeit::N,vaqt,وقت
550,Zeit::N,vaqt,زمان
551,Tag::N,kun,روز
552,Morgen::N,saboh,صبح
553,Mittag::N,kun tushlik,ظهر
554,Abend::N,oqshom,شب
555,Abend::N,oqshom,عصر
556,Nacht::N,tun,شب
557,Woche::N,hafta,هفته
558,Monat::N,oy,ماه
559,Jahr::N,yil,سال
560,Frühling::N,bahor,بهار
561,Sommer::N,yoz,تابستان
562,Herbst::N,kuz,پاییز
563,Herbst::N,xazon,پاییز
564,Winter::N,qish,زمستان
565,Januar::N,yanvar',ژانویه
566,Februar::N,fevral',فوریه
567,März::N,mart,مارس
568,April::N,aprel',آوریل
569,Mai::N,may,مه
570,Juni::N,iyun',ژوئن
571,Juli::N,iyul',ژویه
572,August::N,avgust,اوت
573,September::N,sentyabr',سپتامبر
574,Oktober::N,oktyabr',اکتبر
575,November::N,noyabr',نوامبر
576,Dezember::N,dekabr',دسامبر
577,Montag::N,dushanba,دو‌شنبه
578,Dienstag::N,seshanba,سه‌شنبه
579,Mittwoch::N,chorshanba,چهار‌شنبه
580,Donnerstag::N,payshanba,پنج شنبه
581,Freitag::N,juma,جمعه
582,Samstag::N,shanba,شنبه
583,Sonntag::N,yakshanba,یکشنبه
584,groß::A,buyuk,بزرگ
585,klein::A,kichik,کوچک
586,lang::A,uzun,بلند
587,kurz::A,qisqa,کوتاه
588,breit::A,keng,پهن
589,schmal::A,änsiz,تنگ
590,schmal::A,änsiz,نازک
591,dicht::A,quyuq,چگال
592,dicht::A,quyuq,انبوه
593,dick[Gegenstand]::A,qalin,ضخیم
594,dünn::A,ingichka,نازک
595,fein::A,mayin,ریز
596,fein::A,mayin,باریک
597,fest::A,qattiq,محکم
598,flach::A,yalpoq,صاف
599,flach::A,yalpoq,مسطح
600,glatt::A,tekis,لیز
601,hart::A,qattiq,سفت
602,weich::A,yumshoq,نرم
603,weich::A,yumshoq,ملایم
604,rund::A,yumaloq,گرد
605,spitz::A,uchli,تیز
606,spitz::A,uchli,نوک‌تیز
607,scharf::A,keskir,تیز
608,scharf::A,keskir,برنده
609,stumpf::A,to'mtoq,کند
610,schwer::A,salmoqli,سنگین
611,schön::A,go'zal,زیبا
612,heiß::A,qiziq,داغ
613,warm::A,issiq,گرم
614,kalt::A,sovuq,سرد
615,kühl::A,salqin,خنک
616,frisch::A,toza,تازه
617,feucht::A,namli,مرطوب
618,nass::A,nam,تر
619,nass::A,nam,خیش
620,trocken::A,quruq,خشک
621,voll::A,to'la,پر
622,leer::A,puch,خالی
623,offen::A,ochiq,باز
624,geschlossen::A,berk,بسته
625,sauber::A,ozoda,پاک
626,sauber::A,ozoda,تمیز
627,schmutzig::A,kir,کثیف
628,schmutzig::A,kir,آلوده
629,roh::A,xom,خام
630,reif::A,pishiq,رسیده
631,lecker::A,shirin,لذیذ
632,lecker::A,shirin,خوشمزه
633,süß::A,shirin,شیرین
634,bitter::A,achchiq,تلخ
635,sauer::A,achchiq,ترش
636,hell::A,yorug',روشن
637,dunkel::A,qorong'i,تاریک
638,schwarz::A,qora,سیاه
639,weiß::A,oq,سفید
640,rot::A,qizil,سرخ
641,rot::A,qizil,قرمز
642,gelb::A,sariq,زرد
643,blau::A,zangori,آبی
644,grün::A,yashil,سبز
645,grau::A,bo'z,طوسی
646,grau::A,bo'z,خاکستری
647,bunt::A,ola,رنگارنگ
648,billig::A,arzon,ارزان
649,teuer::A,qimmat,گران
650,wertvoll::A,qimmat,قیمتی
651,wertvoll::A,qimmat,گرانبها
652,blind::A,ko'r,کور
653,blind::A,ko'r,نابینا
654,taub::A,garang,کر
655,taub::A,garang,ناشنوا
656,kräftig::A,kuchli,قوی
657,stark::A,quvvatli,قوی
658,stark::A,quvvatli,نیرومند
659,schwach::A,kuchsiz,ضعیف
660,fett::A,semiz,چرب
661,schlank::A,ingichka,باریک‌اندام
662,hübsch::A,ko'rkam,قشنگ
663,hübsch::A,ko'rkam,خوشگل
664,böse::A,yovuz,بد
665,dumm::A,aqlsiz,احمق
666,faul::A,ärinchak,لش
667,faul::A,ärinchak,تنبل
668,fleißig::A,ishchan,زرنگ
669,geizig::A,qurumsoq,خسیس
670,klug::A,oqil,عاقل
671,klug::A,oqil,باهوش
672,geschickt::A,äpchil,ماهر
673,lieb::A,aziz,عزیز
674,lustig::A,chaqchaq,شاد
675,lustig::A,chaqchaq,خوشحال
676,sanft::A,asta,لطیف
677,hungrig::A,och,گرسنه
678,krank::A,kasal,مریض
679,krank::A,kasal,بیمار
680,nackt::A,yalang,لخت
681,nackt::A,yalang,برهنه
682,traurig::A,xafa,غمگین
683,lebendig::A,hayotiy,زنده
684,gut::A,soz,خوب
685,schlecht::A,yomon,بد
686,richtig::A,rost,درست
687,schlimm::A,yovuz,وخيم
688,wahr::A,haqiqiy,درست
689,wahr::A,haqiqiy,حقیقی
690,alt::A,äski,کهنه
691,neu::A,yangi,نو
692,ehemalig::A,sobiq,قبلی
693,alt[Lebewesen]::A,qari,پیر
694,jung::A,navqiron,جوان
695,arm::A,abgor,فقیر
696,reich::A,boy,پولدار
697,reich::A,boy,ثروتمند
698,bekannt::A,ma'lum,آشنا
699,bekannt::A,ma'lum,معلوم
700,berühmt::A,mashhur,مشهور
701,fremd::A,yot,خارجی
702,fremd::A,yot,بیگانه
703,verschieden::A,turli,مختلف
704,verschieden::A,turli,متفاوت
705,nah::A,yaqindagi,نزدیک
706,fern::A,uzoq,دور
707,linker::A,so'l,چپ
708,rechter::A,o'ng,راست
709,anderer::A,boshqa,دیگر
710,erster::A,birinchi,اول
711,zweiter::A,ikkinchi,دوم
712,dritter::A,uchinchi,سوم
713,letzter::A,oxirgi,آخر
714,allein::ADV,o'zicha,تنها
715,auf einmal::ADV,varakay,همزمان
716,zusammen::ADV,barobar,باهم
717,lange::ADV,uzoq,مدت‌ها
718,lange::ADV,uzoq,مدت زیادی
719,plötzlich::ADV,qo'qqisdan,ناگهان
720,sofort::ADV,darrov,فوراً
721,später::ADV,so'ngra,بعدها
722,jetzt::ADV,hozirgina,حالا
723,jetzt::ADV,hozirgina,اکنون
724,heute::ADV,bugun,امروز
725,morgen::ADV,ärta,فردا
726,bald::ADV,toz,زود
727,bald::ADV,toz,بزودی
728,dann::ADV,keyin,سپس
729,dann::ADV,keyin,آنوقت
730,gestern::ADV,kecha,دیروز
731,einst::ADV,avvallari,وقتی
732,einst::ADV,avvallari,زمانی
733,damals::ADV,ugal,آنوقت
734,damals::ADV,ugal,آنزمان
735,danach::ADV,so'ngra,بعد
736,vorher::ADV,avval,قبلاً
737,zuerst::ADV,avval,اول
738,zuerst::ADV,avval,ابتداء
739,einmal::ADV,bir marta,یکدفعه
740,manchmal::ADV,onda-sonda,گاهی
741,manchmal::ADV,onda-sonda,بعضی اوقات
742,oft::ADV,tez-tez,اغلب
743,immer::ADV,har vaqt,همیشه
744,niemals::ADV,hargiz,هرگز
745,hier::ADV,shu erda,اینجا
746,hierhin::ADV,beri,به اینجا
747,von hier::ADV,shu erdan,از اینجا
748,dort::ADV,ana,آنجا
749,dorthin::ADV,u yerga,به آنجا
750,geradeaus::ADV,to'g'ri,راست
751,vorwärts::ADV,ilgari,جلو
752,vorwärts::ADV,ilgari,به پیش
753,rückwärts::ADV,qoloq,عقب
754,zurück::ADV,orqada,پس
755,zurück::ADV,orqada,عقب
756,zurück::ADV,orqada,بالعکس
757,unten::ADV,pastda,زیر
758,unten::ADV,pastda,پایین
759,hinab::ADV,tubanga,به پایین
760,oben::ADV,ustida,بالا
761,hinauf::ADV,yuqorida,به بالا
762,überall::ADV,har erda,همه‌جا
763,nicht::ADV,ämas,نه
764,ein wenig::ADV,biroz,کمی
765,kaum::ADV,arang,به سختی
766,sehr::ADV,ancha,خیلی
767,sehr::ADV,ancha,بسیار
768,so::ADV,shunday,چنین
769,so::ADV,shunday,اینطور
770,noch::ADV,hali,هنوز
771,nur::ADV,yolg'iz,فقط
772,nur::ADV,yolg'iz,تنها
773,schon::ADV,endi,قبلاً
774,schon::ADV,endi,به این زودی
775,wieder::ADV,yana,باز
776,wieder::ADV,yana,دوباره
777,vergebens::ADV,bekorga,بیهوده
778,vor::PRP,burun,در جلوی
779,hinter::PRP,ketida,پشت
780,unter::PRP,ostida,تحت
781,durch::PRP,bo'ylab,از وسط
782,durch::PRP,bo'ylab,از ميان
783,neben::PRP,yonida,کنار
784,neben::PRP,yonida,پهلوی
785,zwischen::PRP,orada,بین
786,zwischen::PRP,orada,میان
787,wegen::PRP,sababli,برای
