,Concept_ID,te,uz
72,Wetter::N,వాతావరణ స్థితి,havo
73,Nebel::N,పొగమంచు,tuman
74,Wolke::N,మేఘము,bulut
75,Regen::N,వాన,yomg'ir
76,Schnee::N,హిమము,qor
77,Eis::N,మంచుగడ్డ,muz
78,Frost::N,పేరిన మంచు,ajoz
79,Kälte::N,చలి,ajoz
80,Hitze::N,వేడిమి,issiq
81,Raureif::N,మంచు,qirov
82,Regenbogen::N,ఇంద్రధనుస్సు,kamalak
83,Donner::N,ఉరుము,guldur
84,Strömung::N,ప్రవాహము,oqim
85,Tropfen::N,చుక్క,tomchi
86,Schaum::N,నురుగు,ko'pik
87,Schmutz::N,మైల,gard
88,See::N,సరస్సు,ko'l
89,Sumpf::N,చిత్తడినేల,botqoq
90,Moor::N,చిత్తడినేల,qir-adir
91,Wiese::N,పచ్చిక బయలు,o'tzor
92,Wald::N,అడవి,o'rmon
93,Hügel::N,చివ్నకొండ,tepa
94,Anhöhe::N,కొండ,adir
95,Berg::N,పర్వతము,tog'
96,Gipfel::N,శిఖరము,cho'qqi
97,Höhle::N,గుహ,kavak
98,Abhang::N,ఏటవాలు,to'sh
99,Quelle::N,మూలము,buloq
100,Bach::N,కాలువ,o'zan
101,Fluss::N,నది,daryo
102,Ufer::N,తీరము,sohil
103,Küste::N,తీరము,qirg'oq
104,Festland::N,భూమి,materik
105,Meer::N,సముద్రము,dengiz
106,Bucht::N,మరుగు,qo'ltiq
107,Insel::N,దీవి,orol
108,Blume::N,పుష్పము,gul
109,Gras::N,పచ్చగడ్డి,sabza
110,Wurzel::N,వేరు,tub
111,Wurzel::N,వేరు,tomir
112,Baum::N,చెట్టు,daraxt
113,Stamm::N,చెట్టుబోదె,o'simta
114,Rinde::N,చెట్టుపట్ట,qobiq
115,Ast::N,కొమ్మ,shox
116,Zweig::N,చివుకు,butoq
117,Blatt::N,ఆకు,barg
118,Birke::N,తరహా చెట్టు,qayin
119,Kiefer[Baum]::N,దేవదారు చెట్టు,qarag'ay
120,Weide[Baum]::N,జాతిచెట్టు,shum
121,Tanne::N,దేవదారుచెట్టు,archa
122,Horn::N,కొమ్ము,mugiz
123,Feder::N,ఈక,par
124,Fell::N,తోలు,mo'yna
125,Flügel::N,ఱెక్క,qanot
126,Klaue::N,వంకరగోరు,tirnoq
127,Kralle::N,వంకరగోరు,tirnoq
128,Schwanz::N,తోక,quyruq
129,Ei::N,గ్రుడ్డు,tuxum
130,Nest::N,పక్షిగూడు,oshyon
131,Bau::N,గుహ,o'pqon
132,Tier::N,జంతువు,hayvon
133,Herde::N,మంద,gala
134,Kuh::N,ఆవు,inak
135,Bulle::N,గిత్త,ho'kiz
136,Pferd::N,గుఱ్ఱము,ot
137,Schaf::N,గొఱ్ఱె,qo'y
138,Schwein::N,పంది,cho'chqa
139,Hund::N,కుక్క,it
140,Katze::N,పిల్లి,mushuk
141,Bär::N,ఎలుగుబంటి,ayiq
142,Eichhörnchen::N,ఉడుత,tiyin
143,Elch::N,కణంజు,los
144,Fuchs::N,గుంటనక్క,tulki
145,Hase::N,కుందేలు,kuyon
146,Maus::N,చిట్టెలుక,sichqon
147,Wolf::N,తోడేలు,bo'ri
148,Vogel::N,పక్షి,qush
149,Schwarm::N,గుంపు,to'da
150,Huhn::N,కోడిపిల్ల,tovuq
151,Hahn::N,కోడివుంజు,xo'roz
152,Gans::N,ఆడుబాతు,g'oz
153,Adler::N,గ్రద్ద,burgut
154,Ente::N,పాట్టిబాతు,o'rdak
155,Eule::N,గ్రుడ్లగూబ,boyo'g'li
156,Kranich::N,కొంగ,turna
157,Krähe::N,కాకి,qarg'a
158,Kuckuck::N,కోయల,kakku
159,Schwan::N,హంస,oqkush
160,Fisch::N,చేప,baliq
161,Barsch::N,ఒకచేఁప,olabug'a
162,Hecht::N,గండుమీను,cho'rtan
163,Schlange[Tier]::N,పాము,ilon
164,Wurm::N,పురుగు,qurt
165,Spinne::N,సాలె పురుగు,o'rgimchak
166,Ameise::N,చీమ,chumoli
167,Laus::N,పేను,bit
168,Mücke::N,చీకటీగ,chivin
169,Fliege::N,ఈగ,pashsha
170,Schmetterling::N,సీతాకోకచిలుక,kapalak
171,Beere::N,కాయ,meva
172,Apfel::N,ఆపిల్ పండు,olma
173,Pilz::N,కుక్కగొడుగు,qo'ziqorin
174,Zwiebel::N,నీరుల్లి,piyoz
175,Saat::N,విత్తనము,äkin
176,Korn::N,గింజ,zarra
177,Heu::N,ఎండుగడ్డి,xashak
178,Schale::N,పొట్టు,po'choq
179,Grube::N,గొయ్యి,co'ra
180,Falle::N,బోను,qopqon
181,Schlinge::N,ఉరి,sirtmoq
182,Spur::N,జాడ,iz
183,Asche::N,బూడిద,kul
184,Dreck::N,ముఱికి,kir
185,Eisen::N,ఇనుము,temir
186,Gold::N,బంగారము,tilla
187,Silber::N,వెండి,kumush
188,Kohle::N,నేలబొగ్గు,ko'mir
189,Glas::N,గాజు,oyna
190,Lehm::N,బంకమన్ను,loy
191,Sand::N,ఇసుక,qum
192,Mensch::N,నరుడు,odam
193,Mann::N,పురుమడు,ärkak
194,Frau::N,ఆడుది,ayol
195,Kind::N,బిడ్డ,bola
196,Kind::N,బిడ్డ,kichkintoy
197,Junge::N,బాలుడు,bola
198,Mädchen::N,బాలిక,qiz
199,Familie::N,కుటుంబము,oila
200,Großvater::N,తాత,buva
201,Großvater::N,తాత,katta ota
202,Großmutter::N,అయ్యమ్మ,buvi
203,Großmutter::N,అయ్యమ్మ,katta oyi
204,Eltern::N,తల్లితండ్రులు,ota-ona
205,Vater::N,తండ్రి,ota
206,Mutter::N,తల్లి,ona
207,Sohn::N,కొడుకు,o'g'il
208,Tochter::N,కూతురు,qiz
209,Bruder::N,పోదరుడు,og'a
210,Bruder::N,పోదరుడు,uka
211,Schwester::N,సోదరి,opa
212,Schwester::N,సోదరి,singil
213,Onkel::N,మేనమామ,amaki
214,Tante::N,మేనత్త,amma
215,Tante::N,మేనత్త,xola
216,Tante::N,పినతల్లి,amma
217,Tante::N,పినతల్లి,xola
218,Ehemann::N,భర్త,är
219,Ehefrau::N,భార్య,rafiqa
220,Freude::N,సంతోషము,ayish
221,Gelächter::N,నవ్వు,kulgi
222,Glück::N,సంతోషము,saodat
223,Kummer::N,దుఃఖము,g'am
224,Wunsch::N,కోరిక,orzu
225,Lust::N,కోరిక,rag'bat
226,Geist::N,ఆత్మ,ruh
227,Gedanke::N,ఆలోచన,fikr
228,Gedächtnis::N,జ్ఞాపకము,äs
229,Verstand::N,మనస్సు,aql
230,Sinn::N,అర్థము,ma'ni
231,Grund::N,కారణము,sabab
232,Wahrheit::N,సత్యము,haq
233,Gespräch::N,పంభాషణ,gap
234,Märchen::N,అద్భుతకథ,ärtak
235,Erzählung::N,కథ,rivoyat
236,Nachricht::N,వార్త,xabar
237,Neuigkeit::N,వార్త,yangilik
238,Name::N,పేరు,ot
239,Rätsel::N,చిక్కు,topishmoq
240,Rede::N,ఉపన్యాసము,nutq
241,Sprache::N,భాష,til
242,Stimme::N,కంరథ్సని,ovoz
243,Wort::N,మాట,so'z
244,Zeichen::N,గుర్తు,alomat
245,Ruf::N,పిలువు,chaqiriq
246,Lärm::N,సందడి,taraq
247,Laut::N,ధ్వని,tovush
248,Ton::N,స్వరము,un
249,Lied::N,పాట,ashula
250,Ruhe::N,గాలిలేమి,tinchlik
251,Leute::N,జనులు,xaloyiq
252,Volk::N,జాతి,xalq
253,Arbeit::N,పని,ish
254,Gast::N,అతిధి,mehmon
255,Geschenk::N,దానము,hadya
256,Spiel::N,ఆట,o'yin
257,Gesellschaft::N,జట్టు,jamiyat
258,Hilfe::N,సాహాయ్యము,yordam
259,Freund::N,స్నేహితుడు,do'st
260,Kamerad::N,చెలికాడు,yo'ldosh
261,Angelegenheit::N,విషయము,daxl
262,Anzahl::N,లెక్క,son
263,Art::N,జాతి,tur
264,Stück::N,తునుక,parcha
265,Teil::N,భాగము,bo'lak
266,Hälfte::N,సగము,yarim
267,Kreis::N,వృత్తము,aylana
268,Kreuz::N,సిలువ,xoch
269,Linie::N,గీత,liniya
270,Strich::N,గీత,chiziq
271,Abstand::N,సందు,oralik
272,Entfernung::N,దూరము,uzoqlik
273,Gegend::N,విస్తీర్ణము,yer
274,Platz::N,ఎడము,oralig
275,Ort::N,స్థలము,joy
276,Seite::N,ప్రక్క,yon
277,Mitte::N,నడిమి,o'rta
278,Gegenstand::N,పద్దు,ashyo
279,Sache::N,వస్తువు,buyum
280,Rand::N,అంచు,chek
281,Kante::N,అంచు,tig'
282,Ecke::N,మూల,burchak
283,Spitze::N,మొన,uch
284,Ende::N,కొన,oxir
285,Loch::N,రంధ్రము,teshik
286,Winkel::N,కోణము,go'sha
287,Muster::N,మాదిరి,nusha
288,Größe::N,పరిమాణము,kattalik
289,Länge::N,పొడుగు,uzunlik
290,Höhe::N,పొడుగు,yuksaklik
291,Gewicht::N,భారము,solmoq
292,Menge::N,మొత్తము,miqdor
293,Haufen::N,రాశి,uyum
294,Reihe::N,వరుస,saf
295,Boot::N,పడవ,qayiq
296,Ruder::N,అడక,äshkak
297,Schlitten::N,సరవండ్లు,chana
298,Ski::N,స్కీ,chang'i
299,Lagerfeuer::N,నెగడు,gulxan
300,Last::N,బరువు,yuk
301,Gang::N,నడక,yurish
302,Schritt::N,అడుగు,qadam
303,Norden::N,ఉత్తరదిక్కు,shimol
304,Süden::N,దక్షిణము,janub
305,Westen::N,పడమర,g'arb
306,Osten::N,తూర్పు,sharq
307,Holz::N,కొయ్య,yog'och
308,Brett::N,పలక,taxta
309,Platte::N,పలక,tabaqa
310,Stütze::N,వాల్సేడ్లు,tayanchi
311,Stange::N,స్తంభము,qo'noq
312,Stock::N,కఱ్ఱ,tayoq
313,Stab::N,కఱ్ఱ,gavron
314,Rohr::N,గొట్టము,tarnov
315,Haus::N,ఇల్లు,uy
316,Heim::N,స్వగృహము,makon
317,Ofen::N,పొయ్యి,pechka
318,Fußboden::N,నేల,pol
319,Tisch::N,మేజా,mosa
320,Stuhl::N,కుర్చీ,o'rindiq
321,Wiege::N,ఉయ్యాల,beshik
322,Bett::N,పడక,yotoq
323,Bett::N,మంచం,yotoq
324,Regal::N,అటక,tokcha
325,Kiste::N,వెట్టె,sandiq
326,Fenster::N,కిటికి,deraza
327,Tür::N,ద్వారము,äshik
328,Tor::N,ద్వారము,darvoza
329,Zaun::N,కంచె,panjara
330,Dach::N,ఇంటివైకప్పు,tom
331,Leiter::N,నిచ్చెన,narvon
332,Besen::N,చీపురుకట్ట,supurgi
333,Spaten::N,పాఱ,bel
334,Schaufel::N,పాఱ,kurak
335,Gabel::N,ముండ్లగరిటె,bilka
336,Löffel::N,గరిటె,qoshiq
337,Messer::N,కత్తి,pichoq
338,Nagel::N,మేకు,mix
339,Netz::N,వల,to'r
340,Haken::N,కొక్కెము,ilgak
341,Griff::N,పిడి,sop
342,Griff::N,పిడి,tutqich
343,Schloss::N,తాళము,qulf
344,Bild::N,చిత్రము,rasm
345,Figur::N,రూపము,shakl
346,Puppe::N,బొమ్మ,ko'g'irchoq
347,Beutel::N,సంచి,to'rva
348,Bündel::N,మూట,bog'lam
349,Tasche::N,సంచి,kissa
350,Eimer::N,చేద,chelak
351,Deckel::N,మూత,qopqoq
352,Geschirr::N,వంటకాలు,idish
353,Sack::N,గోనెసంచి,qop
354,Tasse::N,గిన్నె,piyola
355,Topf::N,కుండ,tuvak
356,Kessel::N,నీరుకాచుపాత్ర,qozon
357,Essen::N,ఆహారము,tomoq
358,Nahrung::N,ఆహారము,emak
359,Speise::N,ఆహారము,taom
360,Fleisch::N,మాంసము,go'sht
361,Getreide::N,ధాన్యము,g'alla
362,Brei::N,గుజ్జు,bo'tqa
363,Brot::N,రొట్టె,non
364,Scheibe::N,బద్ద,disk
365,Fett::N,క్రొవ్వు,moy
366,Butter::N,వెన్న,yog'
367,Öl::N,నూనె,moy
368,Salz::N,ఉప్పు,tuz
369,Suppe::N,చారు,sho'rva
370,Honig::N,తెనె,asal
371,Milch::N,పాలు,sut
372,Tee::N,తేనీరు,choy
373,Leder::N,బాగుచేసివతోలు,charm
374,Wolle::N,ఉన్ని,jun
375,Stoff::N,బట్ట,mato
376,Nadel::N,సూది,igna
377,Faden::N,దారము,ip
378,Knopf::N,బొత్తాము,tugma
379,Knoten::N,ముడి,tugun
380,Farbe::N,రంగు,bo'yok
381,Kleidung::N,బట్టలు,kiyim
382,Hemd::N,చొక్కాయ,ko'ylak
383,Kragen::N,మాల,yoqa
384,Ärmel::N,చొక్కాయచెయ్యి,yeng
385,Hose::N,ఇజారు,shim
386,Gürtel::N,పటకా,tasma
387,Mütze::N,టోపి,shapka
388,Schuh::N,పాదరక్ష,but
389,Stiefel::N,బూటు,botinka
390,Ring::N,ఉంగరము,yuzuk
391,Band::N,నాడా,rishta
392,Kamm::N,దువ్వెన,taroq
393,Spiegel::N,అద్దము,ko'zgu
394,Riemen::N,వాడా,qayish
395,Schnur::N,దారము,bog'ich
396,Leine::N,వారు,etak
397,Decke::N,కంబళి,odyol
398,Kissen::N,తలగడ,yostiq
399,Tuch::N,బట్ట,gazlama
400,Handtuch::N,తువాలు,sochiq
401,Kraft::N,బలము,kuch
402,Stärke::N,శక్తి,quvvat
403,Gesundheit::N,ఆరోగ్యము,sog'lik
404,Krankheit::N,రోగము,kasallik
405,Schmerz::N,నొప్పి,og'riq
406,Wunde::N,గాయము,yara
407,Fieber::N,జ్వరము,bezgak
408,Arznei::N,మందు,dori
409,Brücke::N,వంతెన,ko'prik
410,Brunnen::N,బావి,buloq
411,Brunnen::N,కూపము,buloq
412,Brunnen::N,నుయ్యి,buloq
413,Weide::N,పచ్చికబయలు,yaylov
414,Pfad::N,కాలిత్రోవ,dorojka
415,Weg::N,మార్గము,yo'l
416,Straße::N,బాట,ko'cha
417,Dorf::N,గ్రామము,ovul
418,Stadt::N,పట్టణము,shahar
419,Brief::N,జాబు,maktub
420,Buch::N,పుస్తకము,kitob
421,Buchstabe::N,అక్షరము,harf
422,Zeitung::N,వార్తాపత్రిక,gazet
423,Leben::N,ప్రాణము,hayot
424,Tod::N,మరణము,o'lim
425,Grab::N,సమాధి,go'r
426,Kirche::N,క్రెస్తవులగుడి,cherkov
427,Sünde::N,పాపము,gunoh
428,Gott::N,దేవుడు,olloh
429,Arbeiter::N,పనిపాటుచేశేవాడు,ishchi
430,Chef::N,యజమానుడు,rais
431,Meister::N,కళాకారుడు,usta
432,Arzt::N,వైద్యుడు,hakim
433,Lehrer::N,ఉపాధ్యాయుడు,muallim
434,Geld::N,ద్రవ్యము,pul
435,Geschäft::N,వ్యాపారము,savdo
436,Laden::N,అంగడి,do'kon
437,Preis::N,వెల,baho
438,Ware::N,సరకులు,mol
439,Nutzen::N,ప్రయోజనము,foyda
440,Reichtum::N,ధనము,boylik
441,Welt::N,ప్రపంచము,olam
442,Land::N,దేశము,o'lka
443,Staat::N,రాజ్యము,davlat
444,König::N,రాజు,qirol
445,Macht::N,అధికారము,iqtidor
446,Grenze::N,సరిహద్దు,chegara
447,Krieg::N,యుద్ధము,harb
448,Feind::N,శత్రువు,dushman
449,Gewalt::N,దౌర్జన్యము,zo'rlik
450,Kampf::N,పోట్లాట,kurash
451,Bogen[Waffe]::N,విల్లు,yoy
452,Pfeil::N,బాణము,o'q
453,Gewehr::N,తుపాకి,vintovka
454,Fehler::N,తప్ప,xato
455,Lüge::N,అసత్యము,yolg'on
456,Schaden::N,నష్టము,ziyon
457,Unglück::N,దురదృష్టము,balo
458,Schuld::N,తప్పు,ayb
459,Alter::N,వయస్సు,yosh
460,Schluss::N,ముగింపు,tamom
461,Zeit::N,కాలము,vaqt
462,Tag::N,దినము,kun
463,Morgen::N,ఉదయము,saboh
464,Mittag::N,మధ్యాహ్నము,kun tushlik
465,Abend::N,సాయంకాలము,oqshom
466,Nacht::N,రత్రి,tun
467,Woche::N,వారము,hafta
468,Monat::N,నెల,oy
469,Jahr::N,సంవత్సరము,yil
470,Frühling::N,వసంతకాలము,bahor
471,Sommer::N,వేసవికాము,yoz
472,Herbst::N,ఆకురాలుకాలము,kuz
473,Herbst::N,ఆకురాలుకాలము,xazon
474,Winter::N,శీతకాలము,qish
475,Januar::N,జనవరి,yanvar'
476,Februar::N,ఫిబ్రవరి,fevral'
477,März::N,మార్చి,mart
478,April::N,ఏప్రిలు,aprel'
479,Mai::N,మే,may
480,Juni::N,జూన్,iyun'
481,Juli::N,జూలై,iyul'
482,August::N,ఆగస్టు,avgust
483,September::N,సెప్ఠెంబరు,sentyabr'
484,Oktober::N,అక్టోబరు,oktyabr'
485,November::N,నవంబరు,noyabr'
486,Dezember::N,డిసెంబర్,dekabr'
487,Montag::N,సోమవారము,dushanba
488,Dienstag::N,మంగళవారము,seshanba
489,Mittwoch::N,బుధవారము,chorshanba
490,Donnerstag::N,గురువారము,payshanba
491,Freitag::N,శుక్రవారము,juma
492,Samstag::N,శనివారము,shanba
493,Sonntag::N,ఆదివారము,yakshanba
494,groß::A,గొప్పైన,buyuk
495,klein::A,చిన్న,kichik
496,lang::A,పొడుగాటి,uzun
497,kurz::A,పొట్టి,qisqa
498,breit::A,వెడల్పైన,keng
499,schmal::A,ఇఱుకైన,änsiz
500,dicht::A,దట్టమైన,quyuq
501,dick[Gegenstand]::A,దట్టమైన,qalin
502,dünn::A,పలుచని,ingichka
503,fein::A,నాజాకైన,mayin
504,fest::A,దృడమైవ,qattiq
505,flach::A,చదువైన,yalpoq
506,glatt::A,నున్నని,tekis
507,hart::A,కఠినమైన,qattiq
508,weich::A,మృదువైన,yumshoq
509,rund::A,గుండ్రని,yumaloq
510,spitz::A,మొనగల,uchli
511,scharf::A,పదనైన,keskir
512,stumpf::A,వాడిలేని,to'mtoq
513,schwer::A,బరువ్తెన,salmoqli
514,schön::A,సుందరమైన,go'zal
515,heiß::A,వేడియైన,qiziq
516,warm::A,వెచ్చని,issiq
517,kalt::A,చల్లని,sovuq
518,kühl::A,చల్లని,salqin
519,frisch::A,తాజాయైన,toza
520,feucht::A,చెమ్మగానున్న,namli
521,nass::A,తడిగామన్న,nam
522,trocken::A,ఎండిన,quruq
523,voll::A,నిండు,to'la
524,leer::A,శూన్యమైన,puch
525,offen::A,తెఱచియున్న,ochiq
526,geschlossen::A,మూసిన,berk
527,sauber::A,పరిశుద్ధమైన,ozoda
528,schmutzig::A,ముఱికియైన,kir
529,roh::A,పచ్చి,xom
530,reif::A,పండివ,pishiq
531,lecker::A,రుచి గల,shirin
532,süß::A,తియ్యని,shirin
533,bitter::A,చేదైన,achchiq
534,sauer::A,పుల్లని,achchiq
535,hell::A,కాంతిగల,yorug'
536,dunkel::A,చీకటియైన,qorong'i
537,schwarz::A,నల్లని,qora
538,weiß::A,తెలుపు,oq
539,rot::A,ఎఱ్ఱని,qizil
540,gelb::A,పసుపు పచ్చ,sariq
541,blau::A,నీలవర్ణము,zangori
542,grün::A,ఆకుపచ్చని,yashil
543,grau::A,నెరిసిన,bo'z
544,bunt::A,రంగేలీ,ola
545,billig::A,చౌకయైన,arzon
546,teuer::A,వెలపొడుగైన,qimmat
547,wertvoll::A,విలుప్తెన,qimmat
548,blind::A,గ్రుడ్డి,ko'r
549,taub::A,చెవిటి,garang
550,kräftig::A,శక్తి గల,kuchli
551,stark::A,బలమైన,quvvatli
552,schwach::A,బలహీనమైన,kuchsiz
553,fett::A,క్రొవ్విన,semiz
554,schlank::A,సన్నని,ingichka
555,hübsch::A,సాగప్తెన,ko'rkam
556,böse::A,చెడ్డ,yovuz
557,dumm::A,తెలివిలేని,aqlsiz
558,faul::A,సోమరియైన,ärinchak
559,fleißig::A,శ్రద్దగల,ishchan
560,geizig::A,పిసినారియైన,qurumsoq
561,klug::A,తెలివిగల,oqil
562,geschickt::A,నిపుణతగల,äpchil
563,lieb::A,ప్రియమైన,aziz
564,lustig::A,ఉల్లాసము గల,chaqchaq
565,sanft::A,సాధువైన,asta
566,hungrig::A,ఆకలిగొనిన,och
567,krank::A,వ్యాధిగల,kasal
568,nackt::A,దిగంబరమైన,yalang
569,traurig::A,విచారముగల,xafa
570,lebendig::A,ప్రాణముతో నున్న,hayotiy
571,gut::A,మంచి,soz
572,schlecht::A,చెడ్డ,yomon
573,richtig::A,సరియైన,rost
574,schlimm::A,అసహ్యమైన,yovuz
575,wahr::A,నిజమైన,haqiqiy
576,alt::A,ముసలి,äski
577,neu::A,క్రొత్త,yangi
578,ehemalig::A,పూర్వపు,sobiq
579,alt[Lebewesen]::A,ముసలి,qari
580,jung::A,పసి,navqiron
581,arm::A,బీద,abgor
582,reich::A,ధనవంతుడైన,boy
583,bekannt::A,తెలిసిన,ma'lum
584,berühmt::A,ప్రపిద్దికెక్కివ,mashhur
585,fremd::A,అన్యమైన,yot
586,verschieden::A,భేదమైన,turli
587,nah::A,దగ్గఱనున్న,yaqindagi
588,fern::A,దూరమందున్న,uzoq
589,linker::A,ఎడమప్రక్కగ,so'l
590,rechter::A,కుడి,o'ng
591,anderer::A,వేఱ్తెన,boshqa
592,erster::A,మొదటి,birinchi
593,zweiter::A,రెండన,ikkinchi
594,dritter::A,మూడో,uchinchi
595,letzter::A,కడపటి,oxirgi
596,allein::ADV,ఒంటిగా,o'zicha
597,auf einmal::ADV,హరాత్తుగ,varakay
598,zusammen::ADV,కలిసి,barobar
599,lange::ADV,బహుకాలము,uzoq
600,plötzlich::ADV,హరాత్తుగ,qo'qqisdan
601,sofort::ADV,తక్షణము,darrov
602,später::ADV,ఇటీవలి,so'ngra
603,jetzt::ADV,ఇప్పుడు,hozirgina
604,heute::ADV,నేడు,bugun
605,morgen::ADV,ఱేపు,ärta
606,bald::ADV,శీఘ్రముగ,toz
607,dann::ADV,అప్పుడు,keyin
608,gestern::ADV,నిన్నటి దినము,kecha
609,einst::ADV,పూర్వమొకప్పుడు,avvallari
610,damals::ADV,అప్పుడు,ugal
611,danach::ADV,అప్పుడు,so'ngra
612,vorher::ADV,ఎదుట,avval
613,zuerst::ADV,మొదటిలో,avval
614,einmal::ADV,ఒకసారి,bir marta
615,manchmal::ADV,అప్పటప్పటికి,onda-sonda
616,oft::ADV,తఱచుగా,tez-tez
617,immer::ADV,ఎల్లప్పుడు,har vaqt
618,niemals::ADV,ఎప్పుడునులేదు,hargiz
619,hier::ADV,ఇక్కడ,shu erda
620,hierhin::ADV,ఇక్కడకు,beri
621,von hier::ADV,ఇక్కడనుండి,shu erdan
622,dort::ADV,అక్కడ,ana
623,dorthin::ADV,అక్కడికి,u yerga
624,geradeaus::ADV,సూటిగా,to'g'ri
625,vorwärts::ADV,ముందుకు,ilgari
626,rückwärts::ADV,వెనుకకు,qoloq
627,zurück::ADV,వెనుకభాగము,orqada
628,unten::ADV,క్రింద,pastda
629,hinab::ADV,కిందికి,tubanga
630,oben::ADV,మీద,ustida
631,hinauf::ADV,పైకి,yuqorida
632,überall::ADV,అంతటా,har erda
633,nicht::ADV,కాదు,ämas
634,ein wenig::ADV,కొంచెము,biroz
635,kaum::ADV,చాలిచాలక,arang
636,sehr::ADV,చాల,ancha
637,so::ADV,ఆలాగున,shunday
638,noch::ADV,ఇప్పటికిని,hali
639,nur::ADV,మాత్రము,yolg'iz
640,schon::ADV,ఇదివఱకే,endi
641,wieder::ADV,తిరిగి,yana
642,vergebens::ADV,నిష్ఫలముగా,bekorga
643,vor::PRP,ముందు,burun
644,hinter::PRP,వెనుక,ketida
645,unter::PRP,క్రింద,ostida
646,durch::PRP,ద్వారా,bo'ylab
647,neben::PRP,దగ్గెర,yonida
648,zwischen::PRP,మధ్య,orada
649,wegen::PRP,కారణంగా,sababli
650,dies::PRN,ఇది,o'sha
651,das::PRN,అది,narigi
652,alles::PRN,సకలము,har nima
653,ich::PRN,నేను,men
654,du::PRN,నీవు,sen
655,er::PRN,అతడు,u
656,wir::PRN,మనము,biz
657,ihr::PRN,మీరు,siz
658,sie::PRN,వారు,ular
659,was::FPRN,ఏమి,nima
660,wer::FPRN,ఎవడు,kim
661,wo::FADV,ఎక్కడ,qaerda
662,wohin::FADV,ఎందుకు,qayerga
663,wie::FADV,ఎట్టు,qanday
664,warum::FADV,ఏల,nega
665,wieviel::FNUM,ఎంత,qancha
666,eins::NUM,ఒకటి,bir
667,zwei::NUM,రెండు,ikki
668,drei::NUM,మూడు,uch
669,vier::NUM,నాలుగు,to'rt
670,fünf::NUM,అయిదు,besh
671,sechs::NUM,ఆఱు,olti
672,sieben::NUM,ఏరు,etti
673,acht::NUM,ఎనిమదు,sakkiz
674,neun::NUM,తొమ్మిది,to'qqiz
675,zehn::NUM,పది,o'n
676,elf::NUM,పదునొకొండు,o'n bir
677,zwölf::NUM,పండ్రండు,o'n ikki
678,zwanzig::NUM,ఇరుపది,yigirma
679,dreißig::NUM,ముప్పది,o'ttiz
680,vierzig::NUM,నలువది,qirq
681,fünfzig::NUM,ఏబది,ällik
682,sechzig::NUM,అరుపది,oltmish
