,Concept_ID,kv,ab
128,Horn::N,сюр,атəыҩа
129,Feder::N,гӧн,ахӡы
130,Fell::N,кучик,ацəа
131,Flügel::N,борд,амҵəыжəа
132,Klaue::N,гыж,ашьапхыц
133,Kralle::N,кабыр,
134,Schwanz::N,бӧж,аҵыхəа
135,Ei::N,кольть,акəтаӷь
136,Nest::N,поз,аҭра
137,Nest::N,поз,аҵысҭра
138,Bau::N,осьта,аҭыҩра
139,Bau::N,нора,аҭыҩра
140,Tier::N,зверь,аҧстəы
141,Tier::N,зверь,агыгшəыг
142,Herde::N,гурт,агəарҭа
143,Kuh::N,мӧс,ажə
144,Bulle::N,ӧшка,ацə
145,Pferd::N,вӧв,аҽы
146,Schaf::N,баля,ауаса
147,Schwein::N,порсь,аҳəа
148,Hund::N,пон,ала
149,Katze::N,кань,ацгəы
150,Bär::N,ош,амшə
151,Eichhörnchen::N,ур,аеш
152,Elch::N,вӧр мӧс,аҽаҩа
153,Fuchs::N,руч,абгахəыҷы
154,Hase::N,кӧч,ажьа
155,Maus::N,шыр,аҳəынаҧ
156,Wolf::N,кӧин,абгаду
157,Vogel::N,кай,аҧсаатə
158,Schwarm::N,стая,
159,Schwarm::N,чукӧр,
160,Huhn::N,курӧг,акəты
161,Hahn::N,петух,арбаҕь
162,Hahn::N,ай курӧг,арбаҕь
163,Gans::N,дзодзог,аҟыз
164,Adler::N,куч,ауарба
165,Adler::N,кутш,ауарба
166,Ente::N,утка,акəата
167,Eule::N,тупка,аты
168,Kranich::N,тури,апҟа
169,Krähe::N,рака,аҟəараан
170,Kuckuck::N,кӧк,акəыкəу
171,Schwan::N,юсь,агьад
172,Fisch::N,чери,аҧсыӡ
173,Barsch::N,ёкыш,ацəыбла
174,Hecht::N,сирпинь,ахиаала
175,Schlange[Tier]::N,змей,амаҭ
176,Wurm::N,номыр,ахəа
177,Wurm::N,номыр,ахəац
178,Spinne::N,черань,абызкаҭаҳа
179,Ameise::N,кӧдзывкар,ашышкамс
180,Laus::N,ляпа той,аҵа
181,Mücke::N,ном,акəыбры
182,Fliege::N,гут,амҵ
183,Schmetterling::N,бабыв,аҧарҧалыкь
184,Beere::N,ягӧд,аргуц
185,Apfel::N,яблоко,аҵəа
186,Pilz::N,тшак,акəкəбаа
187,Zwiebel::N,грез,аџьымшьы
188,Zwiebel::N,грез,аџьымшьхы
189,Saat::N,кӧдзыс,ажəла
190,Korn::N,сю,арыц
191,Heu::N,турун,аҭəа
192,Schale::N,кыш,ацəа
193,Schale::N,киль,ацəа
194,Grube::N,яма,ажра
195,Grube::N,яма,атыша
196,Falle::N,нальк,арыҧҟьа
197,Falle::N,кляпча,арыҧҟьа
198,Schlinge::N,лӧч,аҟəараҟəантə
199,Spur::N,туй,ашьҭа
200,Asche::N,пӧим,ахəа
201,Dreck::N,нять,аҳəынҵəа
202,Dreck::N,нять,аҟьамсар
203,Eisen::N,кӧрт,аиха
204,Gold::N,зарни,ахьы
205,Silber::N,язісь,аразны
206,Kohle::N,шом,арацəа
207,Kohle::N,уголь,арацəа
208,Glas::N,стекло,асаркьа
209,Lehm::N,сёй,анышəаҧшь
210,Sand::N,лыа,аҧслымӡ
211,Mensch::N,морт,ауаҩы
212,Mann::N,мужик,ахаҵа
213,Frau::N,инька,аҧҳəыс
214,Kind::N,кага,ахəыҷы
215,Junge::N,зонка,аҷкəын
216,Junge::N,зонка,ахаҵарҧыс
217,Mädchen::N,нывкаок,аӡӷаб
218,Familie::N,семья,аҭаацəа
219,Großvater::N,дед,абду
220,Großmutter::N,баб,анду
221,Eltern::N,ай-мам,ани аби
222,Vater::N,ай,аб
223,Mutter::N,мам,ан
224,Sohn::N,зон,аҧа
225,Tochter::N,ныв,аҧҳа
226,Bruder::N,вон,аиашьа
227,Schwester::N,сой,Аҳəшьа
228,Onkel::N,дядь,абиашьа
229,Onkel::N,дядь,аншьа
230,Tante::N,айӧлӧн сой,абиаҳəшьа
231,Tante::N,ичинь,абиаҳəшьа
232,Ehemann::N,жӧник,ахаҵа
233,Ehemann::N,жӧник,аҧшəма
234,Ehefrau::N,инь,аҧҳəыс
235,Freude::N,гаж,агəырӷьара
236,Freude::N,радъялӧм,агəырӷьара
237,Gelächter::N,сералӧм,ачча
238,Gelächter::N,сералӧм,аччара
239,Glück::N,мичлун,аразҟы
240,Kummer::N,шог,агəырҩа
241,Wunsch::N,мӧдӧм,агəхəтəы
242,Wunsch::N,мӧдӧм,аҭахра
243,Wunsch::N,охотитӧм,агəхəтəы
244,Wunsch::N,охотитӧм,аҭахра
245,Lust::N,охота,агəазыҳəара
246,Geist::N,лов,аҧсы
247,Gedanke::N,дума,ахəыцырҭа
248,Gedächtnis::N,тӧдвыв,агəынкылара
249,Verstand::N,вежӧр,ахшыҩ
250,Sinn::N,ылӧс,аҵакы
251,Grund::N,мог,амзыз
252,Wahrheit::N,правда,аиаша
253,Gespräch::N,сёрни,аиҿцәажәара
254,Märchen::N,сказка,алакə
255,Erzählung::N,висьт,ажәабжь
256,Nachricht::N,юӧр,адырраҭара
257,Nachricht::N,висьталӧм,адырраҭара
258,Neuigkeit::N,новость,ажәабжь ҿыц
259,Name::N,ним,ахьӡ
260,Rätsel::N,загадка,ацуфара
261,Rede::N,сёрни,ажәа
262,Sprache::N,кыв,абызшəа
263,Stimme::N,голос,абжьы
264,Wort::N,кыв,ажәа
265,Zeichen::N,пас,адырга
266,Ruf::N,чуксӧм,аҿҭы
267,Ruf::N,чукӧстӧм,аҿҭы
268,Lärm::N,шум,ашьҭыбжь
269,Laut::N,шы,ашьҭыбжь
270,Ton::N,гор,атон
271,Lied::N,сьыланкыв,ашəа
272,Ruhe::N,спокой,аҭынчра
273,Leute::N,йӧз,ауаа
274,Volk::N,йӧз,ажəлар
275,Volk::N,народ,ажəлар
276,Arbeit::N,удж,аусура
277,Gast::N,гӧсь,асас
278,Geschenk::N,гӧснеч,аҳамҭа
279,Geschenk::N,гӧснеч,аҿанҵа
280,Geschenk::N,подарок,аҳамҭа
281,Geschenk::N,подарок,аҿанҵа
282,Spiel::N,орсӧм,ахəмарра
283,Gesellschaft::N,компания,агəыҧ
284,Hilfe::N,отсӧт,ацхыраара
285,Freund::N,модз,аҩыза
286,Freund::N,дружок,аҩыза
287,Kamerad::N,тӧдса,Аҧхнагьла
288,Angelegenheit::N,дело,аус
289,Anzahl::N,лыд,ахыҧхьаӡара
290,Art::N,пӧлӧс,ахкы
291,Stück::N,тор,аҽыҭ
292,Teil::N,юкӧм,ахəҭа
293,Hälfte::N,джын,абжа
294,Kreis::N,круг,агьагьа
295,Kreuz::N,перна,аџьар
296,Linie::N,визь,аицтәар
297,Strich::N,кырӧв,ацəаҳəа
298,Abstand::N,колас,абжьара
299,Entfernung::N,ылына,абжьара
300,Gegend::N,места,аҭыҧ
301,Platz::N,места,аҭыҧ
302,Ort::N,места,аҭыҧ
303,Seite::N,ладор,аган
304,Mitte::N,шӧр,агəҭа
305,Gegenstand::N,тор,амаҭəар
306,Sache::N,тор,
307,Rand::N,дор,аҵкар
308,Kante::N,ордлы,авардым
309,Ecke::N,пельӧс,акəакь
310,Spitze::N,йыв,аҧынҵа
311,Ende::N,йыв,анаӡара
312,Loch::N,осьта,акылҵəара
313,Winkel::N,пельӧс,агҿаҩра
314,Winkel::N,пельӧс,акəындхə
315,Winkel::N,пельӧс,акəакь
316,Muster::N,сер,аҟҟа
317,Größe::N,ыжда,изаҟароу
318,Länge::N,кузя,аура
319,Höhe::N,сувда,агылара
320,Höhe::N,вылына,агылара
321,Gewicht::N,сьӧкта,акапан
322,Haufen::N,куча,ачаҟəа
323,Reihe::N,лёдз,ацəаҳəа
324,Boot::N,пыж,анышь
325,Ruder::N,пелыс,ажəҩа
326,Schlitten::N,додь,ашəаҩауардын
327,Ski::N,лямпа,ашəаҩа
328,Ski::N,лямпа,ашьахаха
329,Lagerfeuer::N,бипур,еиқуу амца
330,Last::N,тягота,ахьанҭара
331,Gang::N,мунӧм,аныҟəара
332,Schritt::N,вожмӧв,ашьаҿа
333,Norden::N,ой,аҩада
334,Süden::N,лун,алада
335,Westen::N,рытвыв,амраҭашəара
336,Osten::N,асыв,амрагылара
337,Holz::N,пу,амҿымаҭəахə
338,Brett::N,пӧв,аӷəы
339,Platte::N,плита,ахаҳәцәы
340,Stütze::N,пика,аҵаргəа
341,Stütze::N,пика,агəышьаҟа
342,Stange::N,зор,акьат
343,Stange::N,потш,акьат
344,Stock::N,бедь,алаба
345,Stab::N,шест,акьат
346,Rohr::N,труба,абыкь
347,Haus::N,керку,аҩны
348,Heim::N,керку,аҭаацəа
349,Ofen::N,пӧжавны,аҳақə
350,Ofen::N,пӧжавны,ауаџьаҟ
351,Ofen::N,пӧжавны,афрына
352,Fußboden::N,джодж,адашьма
353,Tisch::N,пызан,аишәа
354,Stuhl::N,стул,аҟəардə
355,Wiege::N,зыбка,агара
356,Bett::N,кровать,акаруаҭ
357,Regal::N,джадж,акыӷəра
358,Kiste::N,ящик,аидчаҧала
359,Fenster::N,ӧшын,аҧенџьыр
360,Tür::N,ыбӧс,ашə
361,Tor::N,ворота,агəашə
362,Zaun::N,забор,аанда
363,Dach::N,крыша,ахыб
364,Leiter::N,лиснич,амардуан
365,Besen::N,рос,аҧссага
366,Spaten::N,зыр,ажыга
367,Schaufel::N,зыр,аҭəарӷəы
368,Gabel::N,вила,ачқьыҧ
369,Löffel::N,пань,амҳаҵə
370,Messer::N,пурт,аҳəызба
371,Nagel::N,кӧрттув,аҵəымӷ
372,Netz::N,кыйӧт,акаҭа
373,Haken::N,ем,аҵəаҳə
374,Griff::N,пу,амаа
375,Schloss::N,замок,асаҧаҭ
376,Bild::N,картина,асахьа
377,Figur::N,мыгӧр,афигура
378,Puppe::N,акань,акьанџьа
379,Beutel::N,мешӧк,асакь
380,Bündel::N,нин,аҿаҳəара
381,Tasche::N,сумка,арҭмаҟ
382,Eimer::N,ведра,аведра
383,Deckel::N,вевт,ахҩа
384,Geschirr::N,доз,ачысмаҭəа
385,Geschirr::N,бекӧрпань,ачысмаҭəа
386,Sack::N,мешӧк,асакь
387,Tasse::N,бекӧр,аҵəца
388,Topf::N,кастрюля,акаструлиа
389,Kessel::N,пӧрт,ачуан
390,Essen::N,сёйӧм,
391,Nahrung::N,вердан,афатə
392,Speise::N,сёян,афатə
393,Fleisch::N,яй,акəац
394,Getreide::N,сю,ачакуа
395,Brei::N,каша,ақашь
396,Brot::N,нянь,ача
397,Scheibe::N,шӧрӧм,аҽыҭ
398,Scheibe::N,шӧрӧм,аҿаҵа
399,Fett::N,гос,ашша
400,Butter::N,ви,ахəша
401,Öl::N,ви,азеҭ
402,Salz::N,сов,аџьыка
403,Suppe::N,шыд,асуҧ
404,Honig::N,ма,ацха
405,Milch::N,йӧв,ахш
406,Tee::N,чай,ачаи
407,Leder::N,кучик,ацəа
408,Wolle::N,гӧн,аласа
409,Stoff::N,дӧра,Аба
410,Nadel::N,ем,агəыр
411,Faden::N,сунис,арахəыц
412,Knopf::N,кизь,аҳəынҵəра
413,Knoten::N,узӧв,аиқəҳəала
414,Knoten::N,гӧрӧд,аиқəҳəала
415,Farbe::N,краска,ашəыга
416,Kleidung::N,паськӧм,амаҭəа
417,Hemd::N,йӧрнӧс,акьаҿ
418,Kragen::N,воротник,ахəда
419,Ärmel::N,сос,амаӷра
420,Hose::N,вешьян,аиқəа
421,Gürtel::N,йи,амаҟа
422,Mütze::N,шапка,ахылҧа
423,Schuh::N,ботинки,аимаа
424,Stiefel::N,сапог,амагə
425,Ring::N,чунькытш,амацəаз
426,Band::N,ленточка,алента
427,Kamm::N,сынан,ахҳəа
428,Spiegel::N,зеркало,асаркьа
429,Riemen::N,ремень,аа
430,Schnur::N,гез,ашаха
431,Leine::N,повод,аҕура
432,Decke::N,одеяло,ахыза
433,Kissen::N,подушка,ахчы
434,Tuch::N,чышьян,акасы
435,Handtuch::N,чышкӧт,ампахьшьы
436,Kraft::N,прак,амч
437,Stärke::N,вын,амч
438,Gesundheit::N,здоровье,агəабзиара
439,Krankheit::N,шог,ачымазара
440,Schmerz::N,зубыт,ахьаа
441,Wunde::N,рана,ахəра
442,Fieber::N,лёк тресся,ашоура
443,Fieber::N,кынтан шогӧт,ашоура
444,Arznei::N,лекарство,ахəшə
445,Brücke::N,пос,ацҳа
446,Brunnen::N,колодец ,аҵыџь
447,Weide::N,пода йирсян,аҳəырҭа
448,Pfad::N,туй,амхəасҭа
449,Weg::N,туй,амҩа
450,Straße::N,туй,амҩа
451,Dorf::N,деревня,ақыҭа
452,Stadt::N,город,ақалақь
453,Brief::N,гижӧт,ашəҟəы
454,Buch::N,книга,ашəҟəы
455,Buchstabe::N,буква,анбан
456,Zeitung::N,газета,агазеҭ
457,Leben::N,олан,аҧсҭазаара
458,Tod::N,кулӧм,аҧсра
459,Grab::N,гу,анышəынҭра
460,Kirche::N,вичку,ауахəама
461,Sünde::N,грек,агəнаҳа
462,Gott::N,ен,анцəа
463,Arbeiter::N,уджалiсь,аусуҩ
464,Chef::N,начальник,Аиҳабы
465,Meister::N,мастер,аҟаза
466,Arzt::N,врач,аҳақьым
467,Lehrer::N,велӧтісь,арҵаҩы
468,Geld::N,деньга,аҧара
469,Geschäft::N,удж,
470,Laden::N,магазин,амагазин
471,Preis::N,дон,ахə
472,Ware::N,товар,атауар
473,Nutzen::N,путь,ақьар
474,Reichtum::N,богатство,абеиара
475,Welt::N,му,адунеи
476,Land::N,страна,атəыла
477,Staat::N,государство,аҳəынҭқарра
478,König::N,кан,акрал
479,Macht::N,власть,амчра
480,Grenze::N,граница,аҳəаа
481,Krieg::N,война,аибашьра
482,Feind::N,враг,Аҕа
483,Kampf::N,нярасьӧм,ақəҧара
484,Kampf::N,вермасьӧм,ақəҧара
485,Bogen[Waffe]::N,лук,ахыц
486,Pfeil::N,ньӧв,ахəымпал
487,Gewehr::N,ружьё,ашəақь
488,Fehler::N,ошибка,агха
489,Lüge::N,ылӧтӧм,амц
490,Lüge::N,пӧрьялӧм,амц
491,Schaden::N,лёк,аҧырхага
492,Unglück::N,пик,арыцҳара
493,Unglück::N,оказзё,арыцҳара
494,Schuld::N,вина,ахара
495,Schluss::N,ком,анҵəамҭа
496,Zeit::N,кад,аамта
497,Tag::N,лун,амш
498,Morgen::N,асыв,ашара
499,Morgen::N,асыв,ашьыбжь
500,Mittag::N,луншӧр кад,шьыбжьон
501,Abend::N,рыт,ахəылҧаз
502,Abend::N,рыт,ахəлбыҽха
503,Nacht::N,ой,аҵх
504,Woche::N,неделя,амчыбжь
505,Monat::N,тӧлicь,
506,Jahr::N,год,
507,Frühling::N,тулыс,ааҕын
508,Sommer::N,гожум,аҧхын
509,Herbst::N,ар,ҭагалан
510,Herbst::N,ар,хкаарачан
511,Winter::N,тӧв,аӡын
512,Januar::N,январ,ианвар
513,Februar::N,февраль,февраль
514,März::N,март,март
515,April::N,апрель,апрель
516,Mai::N,май,маи
517,Juni::N,юнь,иуун
518,Juli::N,юль,иууль
519,August::N,август,август
520,September::N,сентяб,сентиабр
521,Oktober::N,октяб,октиабр
522,November::N,нояб,ноиабр
523,Dezember::N,декаб,декабр
524,Montag::N,вильлун,ашəахьа
525,Dienstag::N,мӧдӧдзлун,аҩаша
526,Mittwoch::N,шӧрлун,ахаша
527,Donnerstag::N,нёльӧдзлун,аҧшьаша
528,Freitag::N,витӧдзлун,ахəаша
529,Samstag::N,пывсянлун,асабша
530,Sonntag::N,кресення,амҽыша
531,groß::A,ыджыт,аду
532,klein::A,учӧтик,амаҷ
533,lang::A,кузь,ахəхəа
534,kurz::A,дженыт,акьаҿ
535,breit::A,ота,аиужь
536,breit::A,ота,аиҵых
537,schmal::A,векнит,аҭшəа
538,dicht::A,тшӧк,аилач
539,dick[Gegenstand]::A,кыз,ажəпа
540,dünn::A,вӧснит,
541,fein::A,вӧснит,апа
542,fein::A,вӧснит,аҵаӷа
543,fein::A,вӧснит,аӡа
544,fest::A,крепыт,аҟаца
545,fest::A,крепыт,аӷəӷəаҟаца
546,flach::A,лапкӧса,ақəаҟьа
547,flach::A,лапкӧса,аҧаҟьа
548,glatt::A,волькыт,аимаҩзы
549,hart::A,чӧрыт,акьакьа
550,weich::A,небыт,атата
551,rund::A,гӧгрӧса,акəмпыл
552,spitz::A,ёся,аҵар
553,scharf::A,лэчыт,аҵар
554,stumpf::A,ныж,ацагə
555,schwer::A,сьӧкыт,ахьанҭа
556,schön::A,басӧк,аҧшӡа
557,heiß::A,жар,ашы
558,warm::A,шоныт,аҧха
559,kalt::A,кӧдзыт,ахьшəашəа
560,kühl::A,сайкыт,ахьшəашəа
561,kühl::A,сайкыт,ицәыхьшәашәоу
562,frisch::A,виль,цқьа
563,feucht::A,вакодь,ацəаак
564,nass::A,ва,абааӡа
565,trocken::A,кӧс,Аба
566,trocken::A,кӧс,аҩа
567,voll::A,тыра,азна
568,leer::A,тыртӧм,аҭацəы
569,offen::A,оссьӧм,аарта
570,geschlossen::A,игана,ихҩоу
571,geschlossen::A,игана,иаркыу
572,geschlossen::A,пӧдана,ихҩоу
573,geschlossen::A,пӧдана,иаркыу
574,sauber::A,сӧдз,ацқьа
575,sauber::A,сӧстӧм,ацқьа
576,schmutzig::A,нятьӧсь,аҟьашь
577,roh::A,путӧм,
578,reif::A,кисьмалӧм,Арҭ
579,reif::A,кисьмалӧм,аҟала
580,reif::A,кисьмалӧм,иҟалахьоу
581,lecker::A,кӧра ,ахаа
582,süß::A,чӧскыт,азла
583,bitter::A,курыт,аша
584,sauer::A,шӧма ,аҵəҵəы
585,hell::A,югыт,алаша
586,dunkel::A,пемыт,алашьца
587,schwarz::A,сьӧд,аиқуаҵәа
588,weiß::A,чочком,ашкəакəа
589,rot::A,гӧрд,аҟаҧшь
590,gelb::A,веж,аҩеижь
591,blau::A,лӧз,аҽҵәа
592,grün::A,веж,ашьацҧшҭəала
593,grün::A,веж,аеҵəа
594,grau::A,руд,ацəыш
595,grau::A,бусӧй,ацəыш
596,bunt::A,быдрӧма,Аилыҕраа
597,bunt::A,быдрӧма,аҕраҷкəын
598,billig::A,донтӧм,амариа
599,teuer::A,дона,амҩан
600,wertvoll::A,дона,кыр иаҕсоу
601,wertvoll::A,дона,акыр иаҕсоу
602,blind::A,синтӧм,алашə
603,taub::A,пельтӧм,адагəа
604,kräftig::A,вына,аӷəӷəа
605,stark::A,вына,абаҟа
606,schwach::A,некодя,акəада
607,fett::A,госа,аҧсыла
608,schlank::A,статя,акала
609,schlank::A,статя,акьалантар
610,schlank::A,статя,аиҿартə
611,hübsch::A,басӧк,аҧшӡа
612,böse::A,лёк,абааҧсы
613,dumm::A,бӧбӧв,агаӡа
614,dumm::A,вежӧртӧм,агаӡа
615,faul::A,дыш,аашьа
616,fleißig::A,уджалicь,иҟубҷоу
617,geizig::A,жикмӧра,акы
618,geizig::A,жикмӧра,акаҷбеи
619,geizig::A,жикмӧра,аҟəџьыр
620,geizig::A,горшаліcь,акы
621,geizig::A,горшаліcь,акаҷбеи
622,geizig::A,горшаліcь,аҟəџьыр
623,klug::A,авья,аҟəыш
624,klug::A,авья,аҟəыӷа
625,klug::A,вежӧра,аҟəыш
626,klug::A,вежӧра,аҟəыӷа
627,geschickt::A,кипода,напҟазала
628,lieb::A,муса,алашара
629,lieb::A,дзулиньӧй,алашара
630,lustig::A,гажа,алах-ҿых
631,lustig::A,гажа,игурҕьаччо
632,lustig::A,гажа,агурҕьа
633,lustig::A,гажа,агурҿыхага
634,sanft::A,лебезнӧй,атата
635,sanft::A,лебезнӧй,аҟəымшəышə
636,sanft::A,лебезнӧй,ақьыҧш
637,hungrig::A,тшыг,амлашь
638,krank::A,шогалiсь,ачымазаҩ
639,nackt::A,куш,аҟьантаз
640,traurig::A,жугыль,алахьеиқəҵага
641,lebendig::A,ловья,абза
642,gut::A,бур,абзиа
643,schlecht::A,умӧль,-хəарҭам
644,schlimm::A,нештӧм,абааҧсы
645,alt::A,важ,Ажə
646,neu::A,виль,аҿыц
647,ehemalig::A,вӧвлӧм,анкьатәи
648,alt[Lebewesen]::A,года,абырг
649,alt[Lebewesen]::A,года,ақабада
650,alt[Lebewesen]::A,года,Ажə
651,alt[Lebewesen]::A,годдэза,абырг
652,alt[Lebewesen]::A,годдэза,ақабада
653,alt[Lebewesen]::A,годдэза,Ажə
654,jung::A,том,аҟата
655,arm::A,гов,ананамга
656,arm::A,беднӧй,ананамга
657,reich::A,эма,абеиа
658,bekannt::A,тӧдса,адыр
659,fremd::A,чужӧй,атəым
660,verschieden::A,быдкодь,Еиуа-еиҧшым
661,nah::A,матiсь,ааигəа
662,fern::A,ылicь,ахара
663,linker::A,шульга,арма
664,rechter::A,веськытланись,арҕьа
665,anderer::A,мукӧд,даҽа
666,anderer::A,мукӧд,даҽакы
667,erster::A,медодзза,актәи
668,zweiter::A,кыкӧт,аҩбатəи
669,dritter::A,куимӧт,ахҕатәи
670,dritter::A,куимӧдз,ахҕатәи
671,letzter::A,бӧрья,аҵыхəтəантəи
672,letzter::A,мёдбӧрья,аҵыхəтəантəи
673,auf einmal::ADV,тшӧтш,зныкала
674,auf einmal::ADV,тшӧтш,зныкҟьара
675,zusammen::ADV,ӧтлаын,аиц...
676,lange::ADV,дыр,акыраамҭа
677,plötzlich::ADV,друг,иаалырҟьаны
678,sofort::ADV,тшӧтш,иаразнакҵәҟьа
679,später::ADV,медбӧрын,уажəшьҭаншəа
680,jetzt::ADV,ӧні,уажәы
681,heute::ADV,талун,иахьа
682,morgen::ADV,ашын,уаҵәы
683,bald::ADV,чожа,иласны
684,dann::ADV,сыбӧрын,нас
685,gestern::ADV,тӧн,иацы
686,einst::ADV,ӧтпыр,зны
687,damals::ADV,сэк,усҟан
688,damals::ADV,сэки,усҟан
689,danach::ADV,сэсся,нас
690,vorher::ADV,одзжык,уаанӡа
691,zuerst::ADV,наперво,азнаказы
692,zuerst::ADV,наперво,аҧхьа
693,einmal::ADV,ӧтпыр,зны
694,manchmal::ADV,мукӧдпыр,зны-зынла
695,oft::ADV,-лы-,лассы-лассы
696,immer::ADV,быдпыр,енагь
697,immer::ADV,быдпыр,еснагь
698,immer::ADV,быдпырся,енагь
699,immer::ADV,быдпырся,еснагь
700,niemals::ADV,некӧр,ианакəызаалак
701,hier::ADV,татӧн,ара
702,hier::ADV,татӧн,абра
703,hier::ADV,татӧн,араҟа
704,hierhin::ADV,татчӧ,ара
705,hierhin::ADV,татчӧ,араҟа
706,von hier::ADV,тасянь,арантә
707,dort::ADV,сэтӧн,уа
708,dorthin::ADV,сэтчин,уахь
709,dorthin::ADV,сэтчин,анахь
710,geradeaus::ADV,веськыта,ишиашоу
711,vorwärts::ADV,одзӧ,ҕхьаҟа
712,rückwärts::ADV,бӧр,шьҭахьла
713,zurück::ADV,бӧр,шьҭахьҟа
