,Concept_ID,ka,fa
261,Eltern::N,მშობლები,والدین
262,Eltern::N,მშობლები,پدر‌و‌مادر
263,Vater::N,მამა,پدر
264,Mutter::N,დედა,مادر
265,Sohn::N,ვაჟიშვილი,پسر
266,Tochter::N,ქალიშვილი,دختر
267,Bruder::N,ძმა,برادر
268,Schwester::N,და,خواهر
269,Onkel::N,ბიძა,عمو
270,Onkel::N,ბიძა,دایی
271,Tante::N,დეიდა,عمه
272,Tante::N,დეიდა,خاله
273,Tante::N,მამიდა,عمه
274,Tante::N,მამიდა,خاله
275,Ehemann::N,ქმარი,همسر
276,Ehefrau::N,ცოლი,همسر
277,Freude::N,სიხარული,شادی
278,Gelächter::N,სიცილი,خنده
279,Gelächter::N,სიცილი,قاه‌قاه
280,Glück::N,ბედნიერება,اقبال
281,Kummer::N,მწუხარება,غم
282,Kummer::N,მწუხარება,غصه
283,Wunsch::N,წადილი,آرزو
284,Wunsch::N,სურვილი,آرزو
285,Lust::N,წადილი,هوس
286,Geist::N,სული,روح
287,Gedanke::N,ფიქრი,فکر
288,Gedächtnis::N,მეხსიერება,حافظه
289,Verstand::N,ჭკუა,هوش
290,Verstand::N,გონება,هوش
291,Sinn::N,მნიშვნელობა,معنا
292,Sinn::N,მნიშვნელობა,مفهوم
293,Grund::N,მიზეზი,سبب
294,Grund::N,მიზეზი,دلیل
295,Wahrheit::N,სიმართლე,حقیقت
296,Wahrheit::N,ჭეშმარიტება,حقیقت
297,Gespräch::N,ბაასი,صحبت
298,Gespräch::N,ბაასი,گفتگو
299,Gespräch::N,საუბარი,صحبت
300,Gespräch::N,საუბარი,گفتگو
301,Märchen::N,არაკი,قصه
302,Märchen::N,არაკი,افسانه
303,Märchen::N,ზღაპარი,قصه
304,Märchen::N,ზღაპარი,افسانه
305,Erzählung::N,თქმულება,داستان
306,Nachricht::N,ცნობა,خبر
307,Nachricht::N,ამბავი,خبر
308,Neuigkeit::N,სიახლე,خبر تازه
309,Name::N,სახელი,اسم
310,Rätsel::N,გამოცანა,معما
311,Rede::N,სიტყვა,سخن
312,Sprache::N,ენა,زبان
313,Stimme::N,ხმა,صدا
314,Wort::N,სიტყვა,کلمه
315,Zeichen::N,ნიშანი,نشان
316,Zeichen::N,ნიშანი,علامت
317,Ruf::N,ძახილი,صدا
318,Lärm::N,ხმაური,هیاهو
319,Laut::N,ხმა,صدا
320,Laut::N,ბგერა,صدا
321,Ton::N,ტონი,آهنگ
322,Lied::N,სიმღერა,آواز
323,Lied::N,სიმღერა,ترانه
324,Ruhe::N,სიწყნარე,آرامش
325,Leute::N,ადამიანები,مردم
326,Volk::N,ერი,خلق
327,Volk::N,ხალხი,خلق
328,Arbeit::N,მუშაობა,کار
