,Concept_ID,cs,myv
287,Name::N,jméno,лем
288,Rätsel::N,hádanka,содамоёвкс
289,Rede::N,řeč,кортамо
290,Rede::N,proslov,кортамо
291,Sprache::N,řeč,кель
292,Sprache::N,jazyk,кель
293,Stimme::N,hlas,ваигель
294,Wort::N,slovo,вал
295,Zeichen::N,znamení,теште
296,Ruf::N,zavolání,тердема
297,Lärm::N,hluk,шалнома
298,Laut::N,zvuk,вайгель
299,Ton::N,tón,гайнема
300,Lied::N,píseň,моро
301,Ruhe::N,klid,оймамо
302,Ruhe::N,pokoj,оймамо
303,Leute::N,lidé,ломанть
304,Volk::N,národ,народ
305,Arbeit::N,práce,тев
306,Gast::N,host,инже
307,Geschenk::N,dar,казне
308,Spiel::N,hra,налксема
309,Gesellschaft::N,společnost,община
310,Hilfe::N,pomoc,лездамо
311,Freund::N,přítel,оя
312,Freund::N,přítel,ялга
313,Kamerad::N,kamarád,оя
314,Kamerad::N,kamarád,ялга
315,Angelegenheit::N,záležitost,тев
316,Anzahl::N,počet,ламоксчи
317,Art::N,druh,вид
318,Stück::N,kus,пакш
319,Stück::N,kus,пелькс
320,Stück::N,kousek,пакш
321,Stück::N,kousek,пелькс
322,Teil::N,díl,часть
323,Teil::N,díl,пелькс
324,Teil::N,část,часть
325,Teil::N,část,пелькс
326,Hälfte::N,půl,пель
327,Hälfte::N,půl,пелькс
328,Kreis::N,kruh,кирькс
329,Kreuz::N,kříž,крёст
330,Linie::N,linka,кикс
331,Strich::N,čára,межа
332,Strich::N,čárka,межа
333,Abstand::N,vzdálenost,ютко
334,Entfernung::N,vzdálenost,ютко
335,Gegend::N,krajina,тарка
336,Gegend::N,krajina,пертьпелькс
337,Platz::N,prostor,васолкс
338,Ort::N,místo,тарка
339,Seite::N,strana,ён
340,Seite::N,strana,чире
341,Mitte::N,střed,куншка
342,Mitte::N,prostředek,куншка
343,Gegenstand::N,předmět,предмет
344,Sache::N,věc,тев
345,Sache::N,věc,веща
346,Rand::N,kraj,пе
347,Rand::N,kraj,чире
348,Rand::N,okraj,пе
349,Rand::N,okraj,чире
350,Kante::N,hrana,ирдез
351,Ecke::N,roh,ужо
352,Spitze::N,hrot,пряне
353,Spitze::N,hrot,пе
354,Spitze::N,špička,пряне
355,Spitze::N,špička,пе
356,Ende::N,konec,пе
357,Loch::N,díra,варя
358,Winkel::N,kout,ужо
359,Muster::N,vzor,сёрма
360,Größe::N,velikost,сэрь
361,Größe::N,velikost,покшолма
362,Länge::N,délka,кувалмо
363,Höhe::N,výška,сэрь
364,Höhe::N,výška,пандо
365,Gewicht::N,váha,сталмо
366,Menge::N,množství,лововкс
367,Haufen::N,kupa,мар
368,Haufen::N,kupa,валявкс
369,Haufen::N,hromada,мар
370,Haufen::N,hromada,валявкс
371,Reihe::N,řada,ряд
372,Reihe::N,řádek,ряд
373,Boot::N,člun,венч
374,Ruder::N,veslo,милё
375,Schlitten::N,sáně,нурдт
376,Ski::N,lyže,сокс
377,Lagerfeuer::N,táborák,толбандя
378,Last::N,náklad,сталмо
379,Last::N,náklad,кандома
380,Last::N,břemeno,сталмо
381,Last::N,břemeno,кандома
382,Gang::N,chůze,молема
383,Gang::N,chůze,якамо
384,Gang::N,chodba,молема
385,Gang::N,chodba,якамо
386,Schritt::N,krok,эскелькс
387,Norden::N,sever,якшамо ёнкс
388,Süden::N,jih,лембе ёнкс
389,Westen::N,západ,чивалгома
390,Osten::N,východ,чилисема
391,Holz::N,dřevo,чувто
392,Brett::N,prkno,лаз
393,Platte::N,deska,плита
394,Stütze::N,opěra,неже
395,Stange::N,tyč,олга
396,Stange::N,tyčka,олга
397,Stock::N,hůlka,мандо
398,Stab::N,hůl,олога
399,Rohr::N,trubka,турба
400,Haus::N,dům,кудо
401,Heim::N,domov,кудо
402,Ofen::N,kamna,каштомо
403,Fußboden::N,podlaha,киякс
404,Tisch::N,stůl,столь
405,Stuhl::N,židle,стул
406,Wiege::N,kolébka,лавсь
407,Wiege::N,kolébka,нурямот
408,Bett::N,postel,ацамо
409,Regal::N,regál,лався
410,Regal::N,regál,лавсяланго
411,Regal::N,police,лався
412,Regal::N,police,лавсяланго
413,Kiste::N,bedna,горобия
414,Kiste::N,bedna,сундук
415,Fenster::N,okno,вальма
416,Tür::N,dveře,кенкш
417,Tor::N,vrata,ортат
418,Zaun::N,plot,пирявт
419,Zaun::N,plot,пирвякс
420,Dach::N,střecha,кудопря
421,Leiter::N,žebřík,кузтема
422,Besen::N,koště,тенсть
