,Concept_ID,sl,bn
68,Stein::N,kámen,প্রস্তর
69,Boden::N,tlà,ভূতল
70,Erde::N,pŕst,ভূমি
71,Erde::N,zêmlja,ভূমি
72,Staub::N,práh,ধুলা
73,Rauch::N,dìm,ধোঁয়া
74,Funke::N,ískra,স্ফুলিঙ্গ
75,Feuer::N,ôgenj,অগ্নি
76,Licht::N,lúč,আলো
77,Schatten::N,sénca,ছায়া
78,Wetter::N,vrême,আবহাওয়া
79,Nebel::N,meglà,কুহেলিকা
80,Wolke::N,oblák,মেঘ
81,Regen::N,dèž,বৃষ্টি
82,Schnee::N,snég,তুষার
83,Eis::N,léd,বরফ
84,Frost::N,zmrzál,তুষার
85,Kälte::N,mràz,শৈত্য
86,Hitze::N,pripéka,তাপ
87,Raureif::N,ívje,তুহিন
88,Raureif::N,slána,তুহিন
89,Regenbogen::N,mávrica,রামধনু
90,Donner::N,gròm,বজ্রধ্বনি
91,Strömung::N,strúja,স্রোত
92,Tropfen::N,káplja,ফোঁটা
93,Schaum::N,péna,ফেনা
94,Schmutz::N,nesnága,ধুলা
95,See::N,jézero,হ্রদ
96,Sumpf::N,močvírje,জলা
97,Moor::N,bárje,মাঠ
98,Wiese::N,trávnik,তৃণভূমি
99,Wald::N,lés,বন
100,Wald::N,gòzd,বন
101,Hügel::N,brég,পাহাড়
102,Hügel::N,goríca,পাহাড়
103,Anhöhe::N,gríč,টিলা
104,Anhöhe::N,višína,টিলা
105,Berg::N,gôra,পর্বত
106,Berg::N,planína,পর্বত
107,Gipfel::N,vŕh,শীর্ষ
108,Höhle::N,jáma,গুহা
109,Höhle::N,votlína,গুহা
110,Abhang::N,pobóčje,ঢাল
111,Quelle::N,izvír,উৎস
112,Bach::N,pôtok,ক্ষুদ্র নদী
113,Fluss::N,réka,নদী
114,Ufer::N,brég,উপকূল
115,Küste::N,obála,তীর
116,Küste::N,obréžje,তীর
117,Festland::N,celína,ভূমি
118,Festland::N,kopnína,ভূমি
119,Meer::N,mórje,সমুদ্র
120,Bucht::N,zalív,উপসাগর
121,Insel::N,ôtok,দ্বীপ
122,Blume::N,cvetlíca,ফুল
123,Gras::N,tráva,ঘাস
124,Wurzel::N,korenína,শিকড়
125,Baum::N,drevó,গাছ
126,Stamm::N,dêblo,স্কন্ধ
127,Rinde::N,lúbje,বল্কল
128,Rinde::N,skórja,বল্কল
129,Ast::N,véja,শাখা
130,Zweig::N,véja,ডাল
131,Blatt::N,líst,পর্ণ
132,Birke::N,bréza,ভুর্জ
133,Kiefer[Baum]::N,bòr,পাইন গাছ
134,Weide[Baum]::N,vŕba,উইলো
135,Tanne::N,hója,দেবদারূ গাছ
136,Horn::N,róg,শিং
137,Feder::N,peró,পালক
138,Fell::N,kŕzno,রোম
139,Flügel::N,krílo,ডানা
140,Klaue::N,párkelj,নখর
141,Kralle::N,krémpelj,নখর
142,Schwanz::N,rèp,লেজ
143,Ei::N,jájce,ডিম
144,Nest::N,gnézdo,কুলায়
145,Bau::N,brlòg,ডেরা
146,Tier::N,živál,জন্তু
147,Herde::N,čréda,ঝাঁক
148,Kuh::N,kráva,গোরু
149,Bulle::N,bìk,বৃষ
150,Pferd::N,kònj,ঘোড়া
151,Schaf::N,ôvca,ভেড়া
152,Schwein::N,svínja,শূকর
153,Hund::N,pès,কুকুর
154,Katze::N,máčka,বেড়াল
155,Bär::N,mêdved,ভল্লুক
156,Eichhörnchen::N,véverica,কাঠবিড়াল
157,Elch::N,lós,হরিণবিশেষ
158,Fuchs::N,lisíca,পাঁতিশিয়াল
159,Hase::N,zájec,শশক
160,Maus::N,mìš,নেংটি ইঁদুর
161,Wolf::N,vólk,নেকড়ে
162,Vogel::N,ptìč,পক্ষী
163,Vogel::N,ptíca,পক্ষী
164,Schwarm::N,játa,ঝাঁক
165,Huhn::N,kokóš,মোরগ
166,Hahn::N,petêlin,কুক্কুট
167,Gans::N,gós,হংসী
168,Adler::N,ôrel,ইগল
169,Ente::N,ráca,হংসী
170,Eule::N,sôva,পেচক
171,Kranich::N,žerjàv,সারস
172,Krähe::N,vrána,কাক
173,Kuckuck::N,kúkavica,কোকিল
174,Schwan::N,labód,মরাল
175,Fisch::N,ríba,মাছ
176,Barsch::N,ostríž,মৎন্যবিশেষ
177,Hecht::N,ščúka,বানমাছ
178,Schlange[Tier]::N,káča,সর্প
179,Wurm::N,čr̀v,কীট
180,Wurm::N,glísta,কীট
181,Spinne::N,pájek,মাকড়সা
182,Ameise::N,mrávlja,পিপীলিকা
183,Laus::N,úš,উকুন
184,Mücke::N,komár,মশা
185,Fliege::N,múha,মাছি
186,Schmetterling::N,metúlj,প্রজাপতি
187,Beere::N,jágoda,বেরি
188,Apfel::N,jábolko,আপেল
189,Pilz::N,góba,ছত্রক
190,Zwiebel::N,čebúla,পিয়াজ
191,Saat::N,séme,বীজ
192,Korn::N,zŕno,শস্য
193,Heu::N,senó,খড়
194,Schale::N,lupína,খোসা
195,Grube::N,jáma,গর্ত
196,Falle::N,pást,ফাঁদ
197,Schlinge::N,zánka,পাশ
198,Schlinge::N,pêtlja,পাশ
199,Spur::N,sléd,চিহ্ন
200,Asche::N,pepél,ভস্ম
201,Dreck::N,bláto,ময়লা
202,Eisen::N,želézo,লোহা
203,Gold::N,zlató,স্বর্ণ
204,Silber::N,srebró,রৌপ্য
205,Kohle::N,ógel,অঙ্গার
206,Glas::N,stêklo,কাচ
207,Lehm::N,ílo,মৃত্তিকা
208,Sand::N,pések,বালি
209,Mensch::N,člôvek,নর
210,Mensch::N,člôvek,মানুষ
211,Mann::N,móž,মানুষ
212,Mann::N,môški,মানুষ
213,Frau::N,gospá,নারী
214,Frau::N,žénska,নারী
215,Kind::N,déte,বাচ্চা
216,Kind::N,otròk,বাচ্চা
217,Junge::N,fànt,ছেলে
218,Junge::N,déček,ছেলে
219,Mädchen::N,deklè,মেয়ে
220,Mädchen::N,déklica,মেয়ে
221,Familie::N,družína,পরিবার
222,Großvater::N,dèd,মাতামহ
223,Großvater::N,dédek,মাতামহ
224,Großmutter::N,bábica,মাতামহী
225,Eltern::N,stárši,মাতাপিতা
226,Vater::N,ôče,পিতা
227,Mutter::N,máma,মাতা
228,Sohn::N,sín,ছেলে
229,Tochter::N,hčí,মেয়ে
230,Tochter::N,hčérka,মেয়ে
231,Bruder::N,bràt,দাদা
232,Schwester::N,sêstra,বোন
233,Schwester::N,sêstra,দিদি
234,Onkel::N,újec,মামা
235,Onkel::N,stríc,মামা
236,Tante::N,têta,মাসী
237,Tante::N,strína,মাসী
238,Ehemann::N,móž,স্বামী
239,Ehemann::N,sopróg,স্বামী
240,Ehefrau::N,žêna,পত্নী
241,Ehefrau::N,sopróga,পত্নী
242,Freude::N,rádost,উল্লাস
243,Freude::N,vesêlje,উল্লাস
244,Gelächter::N,sméh,হাসি
245,Gelächter::N,grohòt,হাসি
246,Glück::N,sréča,সুখ
247,Kummer::N,gorjé,দুঃখ
248,Wunsch::N,žêlja,আকাঙ্ক্ষা
249,Lust::N,poželênje,বাসনা
250,Geist::N,dúša,আত্না
251,Gedanke::N,mísel,চিন্তা
252,Gedächtnis::N,pámet,স্মরণশক্তি
253,Sinn::N,pomèn,পদার্থ
254,Sinn::N,smísel,পদার্থ
255,Grund::N,vzròk,কারণ
256,Wahrheit::N,resníca,সত্য
257,Gespräch::N,pogóvor,কথাবার্তা
258,Märchen::N,právljica,রূপকথা
259,Erzählung::N,povést,গল্প
260,Nachricht::N,sporočílo,তথ্য
261,Neuigkeit::N,novóst,খবরাখবর
262,Name::N,imé,নাম
263,Rätsel::N,ugánka,ধাঁধা
264,Rede::N,góvor,বক্তৃতা
265,Sprache::N,jêzik,ভাষা
266,Stimme::N,glás,স্বর
267,Wort::N,beséda,শব্দ
268,Zeichen::N,znák,প্রতীক
269,Ruf::N,klíc,ডাক
270,Lärm::N,hrúp,হৈচৈ
271,Lärm::N,trúšč,হৈচৈ
272,Laut::N,glás,ধ্বনি
273,Ton::N,tón,স্বর
274,Lied::N,pésem,গান
275,Ruhe::N,pokòj,শান্তি
276,Leute::N,ljudjé,প্রজাপুঞ্জ
277,Volk::N,národ,জাতি
278,Arbeit::N,délo,চাকরি
279,Gast::N,gòst,অতিথি
280,Geschenk::N,darílo,উপহার
281,Spiel::N,ígra,খেলা
282,Gesellschaft::N,drúžba,সঙ্গিগণ
283,Hilfe::N,pomóč,সাহায্য
284,Freund::N,prijátelj,বন্ধু
285,Kamerad::N,továriš,সঙ্গী
286,Angelegenheit::N,zadéva,বিষয়
287,Anzahl::N,števílo,পরিমাণ
288,Art::N,vŕsta,রকম
289,Stück::N,kós,টুকরো
290,Teil::N,dél,অংশ
291,Hälfte::N,polovíca,অর্ধেক
292,Kreis::N,króg,বৃত্ত
293,Kreis::N,kolobár,বৃত্ত
294,Kreuz::N,kríž,ক্রুশ
295,Linie::N,próga,রেখা
296,Strich::N,čŕta,কষি
297,Abstand::N,preslédek,ফাঁক
298,Entfernung::N,oddáljenost,ব্যবধান
299,Gegend::N,kràj,ক্ষেত্র
300,Gegend::N,dežêla,ক্ষেত্র
301,Platz::N,prôstor,জায়গা
302,Ort::N,mésto,স্থান
303,Seite::N,bòk,পার্শ্ব
304,Seite::N,strán,পার্শ্ব
305,Mitte::N,sredína,মধ্য
306,Gegenstand::N,prédmet,জিনিস
307,Sache::N,réč,বস্তু
308,Sache::N,stvár,বস্তু
309,Rand::N,kràj,কানা
310,Kante::N,rób,ধার
311,Ecke::N,vogál,কোণ
312,Spitze::N,óst,ডগা
313,Ende::N,kônec,প্রান্ত
314,Loch::N,lúknja,গর্ত
315,Winkel::N,kót,কোণ
316,Muster::N,vzórec,নমুন্
317,Größe::N,veličína,আয়তন
318,Länge::N,dolžína,দৈর্ঘ্য
319,Höhe::N,vršína,উচ্চতা
320,Gewicht::N,téža,ওজন
321,Menge::N,količína,পরিমাণ
322,Haufen::N,kùp,পুঞ্জ
323,Haufen::N,kopíca,পুঞ্জ
324,Reihe::N,níz,শ্রেণী
325,Reihe::N,vŕsta,শ্রেণী
326,Boot::N,čóln,নৌকা
327,Ruder::N,vêslo,দাঁড়
328,Schlitten::N,saní,স্নেজ্-গাড়ি
329,Ski::N,smučí,শী
330,Lagerfeuer::N,táborni ôgenj,অগ্নি
331,Last::N,tôvor,বোঝা
332,Gang::N,hòd,হণ্টন
333,Schritt::N,korák,পদ
334,Norden::N,séver,উত্তরদিক্
335,Süden::N,júg,দক্ষিণদিক
336,Westen::N,zapàd,পশ্চিমদিক্
337,Osten::N,vzhòd,পূর্বদিক
338,Holz::N,lés,কাঠ
339,Brett::N,deskà,তক্তা
340,Platte::N,plôča,ফলক
341,Stütze::N,opóra,নাগদণ্ড
342,Stütze::N,zaslómba,নাগদণ্ড
343,Stange::N,gréd,দণ্ড
344,Stock::N,pálica,ছড়ি
345,Stab::N,pálica,যষ্টি
346,Rohr::N,cév,নল
347,Haus::N,híša,ঘর
348,Heim::N,dóm,বাসা
349,Ofen::N,péč,স্টোভ্
350,Fußboden::N,pòd,গহতল
351,Tisch::N,míza,মেজ
352,Tisch::N,míza,টেবিল
353,Stuhl::N,stòl,চেয়ার
354,Stuhl::N,stòl,কেদারা
355,Wiege::N,zíbel,দোলনা
356,Bett::N,póstelja,শয্যা
357,Regal::N,políca,তাক
358,Kiste::N,zabòj,বাক্স
359,Fenster::N,ôkno,জানালা
360,Tür::N,vráta,দ্বার
361,Tor::N,velíka vráta,দ্বার
362,Zaun::N,ográja,বেড়া
363,Dach::N,stréha,ছাদ
364,Leiter::N,léstev,মই
365,Besen::N,mêtla,গুল্মবিশেষ
366,Spaten::N,lopáta,কোদাল
367,Schaufel::N,lopáta,বেলচা
368,Gabel::N,vílice,কাঁটা
369,Löffel::N,žlíca,চামচ
370,Messer::N,nòž,ছুরি
371,Nagel::N,žebèlj,পেরেক
372,Netz::N,mréža,জাল
373,Haken::N,kljúka,কাচি
374,Griff::N,ročáj,হাতল
375,Griff::N,oprijèm,হাতল
376,Schloss::N,ključávnica,তালা
377,Bild::N,slíka,ছবি
378,Bild::N,slíka,চিত্র
379,Figur::N,figúra,আকার
380,Figur::N,postáva,আকার
381,Puppe::N,lútka,পুতুল
382,Beutel::N,môšnja,বটুয়া
383,Bündel::N,cúla,আঁটি
384,Bündel::N,svéženj,আঁটি
385,Tasche::N,tórba,থলি
386,Tasche::N,tobôlec,থলি
387,Eimer::N,vêdro,বাল্তি
388,Deckel::N,pokròv,আবরণ
389,Deckel::N,poklópec,আবরণ
390,Geschirr::N,posóda,থালা-বাসন
391,Sack::N,vréča,বস্তা
392,Tasse::N,skodélica,কাপ
393,Topf::N,lônec,পাত্র
394,Kessel::N,kôtel,কেটলি
395,Essen::N,hrána,আহার
396,Nahrung::N,živílo,খাদ্য
397,Speise::N,jéd,খাদ্য
398,Fleisch::N,mesó,মাংস
399,Getreide::N,žíto,শস্য
400,Brei::N,káša,মণ্ড
401,Brot::N,krùh,রুটি
402,Scheibe::N,réženj,ফালি
403,Fett::N,mást,মেদ
404,Fett::N,maščôba,মেদ
405,Butter::N,máslo,মাখন
406,Öl::N,ólje,তৈল
407,Salz::N,sól,নুন
408,Suppe::N,júha,শুরুয়া
409,Honig::N,méd,মধু
410,Milch::N,mléko,দুধ
411,Tee::N,čáj,চা
412,Leder::N,úsnje,পাকা চামড়া
413,Wolle::N,vólna,পশম
414,Stoff::N,blagó,বস্ত্র
415,Nadel::N,ígla,সুচ
416,Faden::N,nít,সূত্র
417,Knopf::N,gúmb,বোতাম
418,Knoten::N,vôzel,গিঁট
419,Farbe::N,bárva,রং
420,Kleidung::N,obléka,কাপড়
421,Hemd::N,srájca,শার্ট
422,Kragen::N,ovrátnik,গলবন্ধ
423,Ärmel::N,rokáv,আস্তিন্
424,Hose::N,hláče,ট্রাউজার
425,Gürtel::N,pás,কটিবন্ধ
426,Mütze::N,kápa,টুপি
427,Mütze::N,čépica,টুপি
428,Schuh::N,čévelj,জুতো
429,Stiefel::N,škórenj,বুট
430,Ring::N,pŕstan,আংটি
431,Band::N,trák,ফিতা
432,Kamm::N,glavník,চিরুনি
433,Spiegel::N,zrcálo,আয়না
434,Spiegel::N,ogledálo,আয়না
435,Riemen::N,jêrmen,চাবুক
436,Schnur::N,vŕvca,দড়ি
437,Leine::N,konôpec,শিকল
438,Decke::N,odéja,কম্বল
439,Kissen::N,blazína,উপাধান
440,Tuch::N,pŕt,বস্ত্র
441,Tuch::N,rúta,বস্ত্র
442,Handtuch::N,brisáča,তোয়ালে
443,Kraft::N,síla,জোর
444,Stärke::N,jákost,শক্তি
445,Gesundheit::N,zdrávje,স্বাস্থ্য
446,Krankheit::N,bolézen,অসুখ
447,Krankheit::N,bolézen,ব্যামো
448,Schmerz::N,ból,যন্ত্রণা
449,Schmerz::N,bolečína,যন্ত্রণা
450,Wunde::N,rána,ক্ষত
451,Fieber::N,vročína,জ্বর
452,Arznei::N,lék,ঔষধ
453,Arznei::N,zdravílo,ঔষধ
454,Brücke::N,móst,সেতু
455,Brunnen::N,vodnják,কূপ
456,Weide::N,páša,পশুচারণভূমি
457,Pfad::N,stezà,পথ
458,Weg::N,pót,পথ
459,Straße::N,césta,রাস্তা
460,Dorf::N,vás,গ্রাম
461,Stadt::N,mésto,শহর
462,Brief::N,písmo,চিঠি
463,Buch::N,knjíga,বই
464,Buchstabe::N,čŕka,অক্ষর
465,Zeitung::N,čásnik,সংবাদপত্র
466,Leben::N,življênje,জীবন
467,Tod::N,smŕt,মৃত্যু
468,Grab::N,gròb,কবর
469,Kirche::N,cérkev,গির্জা
470,Sünde::N,gréh,পাপ
471,Gott::N,bóg,দেবতা
472,Arbeiter::N,délavec,শ্রমিক
473,Chef::N,šéf,নেতা
474,Meister::N,mójster,ব্যক্তি
475,Arzt::N,zdravník,চিকিৎসক
476,Lehrer::N,učítelj,অধ্যাপক
477,Geld::N,denár,মুদ্রা
478,Geld::N,denár,টাকাপয়সা
479,Geschäft::N,kupčíja,ব্যস্ততা
480,Laden::N,trgovína,দোকান
481,Preis::N,céna,মূল্য
482,Ware::N,róba,পণ্যদ্রব্য
483,Nutzen::N,príd,সুবিধা
484,Reichtum::N,bogástvo,ধনদৌলত
485,Welt::N,svét,জগৎ
486,Land::N,dežêla,খেত
487,Staat::N,držáva,রাষ্ট্র
488,König::N,králj,রাজা
489,Macht::N,oblást,প্রভাব
490,Grenze::N,mêja,সীমা
491,Krieg::N,vôjna,যুদ্ধ
492,Feind::N,sovrážnik,শত্রু
493,Gewalt::N,nasílje,জোর
494,Kampf::N,bòj,লড়াই
495,Kampf::N,bórba,লড়াই
496,Bogen[Waffe]::N,lók,ধনুক
497,Pfeil::N,puščíca,বাণ
498,Gewehr::N,púška,বন্দুক
499,Fehler::N,zmóta,ভুল
500,Lüge::N,láž,মিথ্যা
501,Schaden::N,okvára,ক্ষতি
502,Unglück::N,nesréča,দুর্ভাগ্য
503,Schuld::N,krívda,অপরাধ
504,Alter::N,dôba,আয়ু
505,Schluss::N,kônec,শেষ
506,Zeit::N,čàs,সময়
507,Tag::N,dán,দিন
508,Morgen::N,jútro,সকাল
509,Mittag::N,póldan,মধ্যাহু
510,Abend::N,večér,সন্ধ্যা
511,Nacht::N,nóč,রাত্রি
512,Woche::N,téden,সপ্তাহ
513,Monat::N,mésec,মাস
514,Jahr::N,léto,সৌরবর্ষ
515,Frühling::N,pomlád,বসন্তকাল
516,Sommer::N,polétje,গ্রীষ্মকাল
517,Herbst::N,jesén,শরংঋতু
518,Winter::N,zíma,শীতকাল
519,Januar::N,jánuar,জানুয়ারী
520,Februar::N,fébruar,ফেব্রুয়ারী
521,März::N,márec,মার্চ
522,April::N,apríl,এপ্রিল
523,Mai::N,máj,মে
524,Juni::N,júnij,জুন
525,Juli::N,júlij,জুলাই
526,August::N,avgúst,অগাস্ট
527,September::N,septêmber,সেপ্টেম্বর
528,Oktober::N,október,অক্টোবর
529,November::N,novêmber,নভেম্বর
530,Dezember::N,decémber,ডিসেম্বর
531,Montag::N,ponedéljek,সোমবার
532,Dienstag::N,tôrek,মঙ্গলবার
533,Mittwoch::N,sréda,বুধবার
534,Donnerstag::N,četŕtek,বৃহম্পতিবার
535,Freitag::N,pétek,শুক্রবার
536,Samstag::N,sobóta,শনিবার
537,Sonntag::N,nedélja,রবিবার
538,groß::A,vêlik,বৃহৎ
539,klein::A,májhen,ছোট
540,lang::A,dólg,দীর্ঘ
541,kurz::A,krátek,খর্ব
542,kurz::A,krátek,হ্রস্ব
543,breit::A,širòk,চওড়া
544,schmal::A,ózek,সরু
545,dicht::A,góst,ঘন
546,dick[Gegenstand]::A,dêbel,পুরু
547,dünn::A,tánek,কৃশ
548,fein::A,drôben,সূক্ষ্ম
549,fest::A,tŕden,দৃঢ়
550,flach::A,plán,সমতল
551,flach::A,plòsk,সমতল
552,glatt::A,gládek,মসৃণ
553,hart::A,tŕd,শক্ত
554,weich::A,mehák,নরম
555,rund::A,okrógel,গোলাকার
556,spitz::A,šílast,তীক্ষ্ন
557,scharf::A,óster,শাণিত
558,stumpf::A,tóp,ভোঁতা
559,stumpf::A,skŕhan,ভোঁতা
560,schwer::A,têžek,ভারী
561,schön::A,lép,সুন্দর
562,schön::A,krásen,সুন্দর
563,heiß::A,vròč,গরম
564,warm::A,tôpel,ঈষদুষ্ণ
565,kalt::A,mŕzel,ঠাণ্ডা
566,kalt::A,hláden,ঠাণ্ডা
567,kühl::A,hláden,শীতল
568,frisch::A,svéž,তাজা
569,feucht::A,vlážen,ভিজা
570,nass::A,móker,ভিজা
571,trocken::A,súh,শুষ্ক
572,voll::A,póln,পূর্ণ
573,leer::A,prázen,খালি
574,offen::A,odpŕt,খোলা
575,geschlossen::A,zapŕt,বন্ধ
576,sauber::A,číst,নির্মল
577,sauber::A,líčen,নির্মল
578,schmutzig::A,umázan,নোংরা
579,roh::A,suròv,কাঁচা
580,reif::A,zrèl,পাকা
581,lecker::A,okúsen,সুস্বাদ
582,süß::A,sládek,মিষ্ট
583,bitter::A,grenák,তিক্ত
584,sauer::A,kísel,টক
585,hell::A,svetèl,উজ্জ্বল
586,dunkel::A,temèn,অন্ধকারময়
587,schwarz::A,čŕn,কালো
588,weiß::A,bél,সাদা
589,rot::A,rdèč,লাল
590,gelb::A,žólt,হলদে
591,gelb::A,rumèn,হলদে
592,blau::A,móder,নীল
593,grün::A,zelèn,সবুজ
594,grau::A,sív,ছাই-রঙা
595,bunt::A,písan,রঙিন
596,billig::A,pocéni,সস্তা
597,teuer::A,drág,আক্রা
598,wertvoll::A,dragocén,মহার্ঘ
599,blind::A,slép,কানা
600,taub::A,glúh,বধির
601,kräftig::A,močán,বিশাল
602,stark::A,ják,শক্তিশালী
603,schwach::A,šíbek,দুর্বল
604,fett::A,dêbel,মোটা
605,schlank::A,vítek,কৃশ
606,hübsch::A,lép,সুন্দর
607,böse::A,zèl,খারাপ
608,böse::A,hudôben,খারাপ
609,dumm::A,glúp,মূর্খ
610,dumm::A,bédast,মূর্খ
611,faul::A,lén,শ্রমবিমুখ
612,fleißig::A,marljív,পরিশ্রমী
613,geizig::A,škŕt,ব্যয়কুণ্ঠ
614,klug::A,pámeten,দক্ষ
615,geschickt::A,spréten,পটু
616,lieb::A,míl,প্রেয়
617,lieb::A,ljúb,প্রেয়
618,lustig::A,vesél,প্রফুল্ল
619,sanft::A,láhek,নম্র
620,hungrig::A,láčen,ক্ষুধার্ত
621,krank::A,bolán,অসুস্থ
622,nackt::A,nág,উলঙ্গ
623,traurig::A,túžen,দুঃখিত
624,lebendig::A,žív,জীবিত
625,gut::A,dóber,ভালো
626,schlecht::A,malopríden,মন্দ
627,richtig::A,pravílen,ঠিক
628,schlimm::A,húd,কদর্য
629,wahr::A,resníčen,বাস্তব
630,alt::A,stàr,পুরাতন
631,neu::A,nòv,নব
632,neu::A,nòv,নূতন
633,ehemalig::A,nekdánji,পূর্বকালীন
634,alt[Lebewesen]::A,stàr,বৃদ্ধ
635,jung::A,mlád,তরুণ
636,arm::A,ubóg,ক্ষুদ্র
637,arm::A,réven,ক্ষুদ্র
638,reich::A,bogàt,ধনবান্
639,bekannt::A,znán,সুপরিচিত
640,berühmt::A,sláven,বিখ্যাত
641,berühmt::A,znamenít,বিখ্যাত
642,fremd::A,túj,বিদেশি
643,verschieden::A,razlíčen,বিসদৃশ
644,nah::A,blížnji,নিকটবতী
645,fern::A,dáleč,দুরবতী
646,linker::A,lévi,বাম
647,rechter::A,désni,ডান
648,rechter::A,désni,ডাইন
649,anderer::A,drúgi,অন্যতর
650,erster::A,pŕvi,প্রথম
651,zweiter::A,drúgi,দ্বিতীয়
652,dritter::A,trétji,তৃতীয়
653,letzter::A,poslédnji,সর্বশেষ
654,allein::ADV,sám,একক
655,auf einmal::ADV,obênem,জলদি
656,zusammen::ADV,skúpaj,একসঙ্গে
657,lange::ADV,dólgo,লম্বা
658,plötzlich::ADV,náglo,হঠাৎ
659,plötzlich::ADV,nenádoma,হঠাৎ
660,sofort::ADV,prècej,মুহ্ণর্তমধ্যে
661,später::ADV,poznêje,পশ্চাতে
662,jetzt::ADV,zdàj,এখন
663,heute::ADV,dánes,আজ
664,morgen::ADV,jútri,আগামিকাল
665,bald::ADV,kmálu,অস্পকালমধ্যে
666,dann::ADV,nató,তখন
667,gestern::ADV,včéraj,গতকাল
668,einst::ADV,nékdaj,একবার মাত্র
669,damals::ADV,tedàj,তখন
670,damals::ADV,takràt,তখন
671,danach::ADV,potèm,পরে
672,vorher::ADV,poprèj,আগে
673,zuerst::ADV,spŕva,আগে
674,einmal::ADV,ênkrat,একবার
675,manchmal::ADV,včásih,কখনও কখনও
676,oft::ADV,pogósto,ঘনঘন
677,immer::ADV,védno,সর্বদা
678,immer::ADV,zméraj,সর্বদা
679,niemals::ADV,nikdàr,কখলও নহে
680,hier::ADV,tù,এখানে
681,hier::ADV,túkaj,এখানে
682,hierhin::ADV,sèmkaj,এখানে
683,von hier::ADV,od tú,ত্রই স্তান হইতে
684,dort::ADV,tàm,ওখানে
685,dorthin::ADV,tjà,ওখানে
686,geradeaus::ADV,rávno napréj,অগ্রগামী
687,vorwärts::ADV,napréj,সন্মুখিকে
688,rückwärts::ADV,zádaj,খিরিয়া
689,zurück::ADV,nazáj,পিঠ
690,unten::ADV,dôli,নীচে
691,unten::ADV,spôdaj,নীচে
692,hinab::ADV,dôl,নিম্নগামী
693,oben::ADV,gôri,উপরে
694,oben::ADV,zgôraj,উপরে
695,hinauf::ADV,gôr,উচ্চতর অংশে
696,überall::ADV,povsód,সর্বত্র
697,nicht::ADV,ne,না
698,ein wenig::ADV,málo,অল্প
699,kaum::ADV,kómaj,কষ্টসহকাবে
700,sehr::ADV,zeló,খুব
701,so::ADV,takó,তত
702,noch::ADV,še,এখন পর্যস্ত
703,nur::ADV,samó,শুধু
704,schon::ADV,žè,ইতঃপুর্বে
705,wieder::ADV,spét,আবার
706,vergebens::ADV,zamàn,বিফলে
707,vergebens::ADV,zastónj,বিফলে
708,vor::PRP,pred,সম্মুখে
709,hinter::PRP,za,পশ্চাতে
