,Concept_ID,no,en
100,Sumpf::N,sump,swamp
101,Sumpf::N,myrlende,swamp
102,Moor::N,myr,moor
103,Moor::N,myrhei,moor
104,Wiese::N,eng,meadow
105,Wald::N,skog,forest
106,Hügel::N,haug,hill
107,Hügel::N,bakke,hill
108,Anhöhe::N,haug,elevation
109,Anhöhe::N,bakke,elevation
110,Berg::N,berg,mountain
111,Berg::N,fjell,mountain
112,Gipfel::N,topp,summit
113,Höhle::N,hule,cave
114,Abhang::N,li,slope
115,Abhang::N,skråning,slope
116,Quelle::N,kilde,source
117,Bach::N,bekk,brook
118,Fluss::N,elv,river
119,Ufer::N,bredd,shore
120,Küste::N,kyst,coast
121,Festland::N,fastland,land
122,Meer::N,hav,sea
123,Bucht::N,bukt,cove
124,Insel::N,øy,island
125,Blume::N,blomst,flower
126,Gras::N,gress,grass
127,Wurzel::N,rot,root
128,Baum::N,tre,tree
129,Stamm::N,stamme,trunk
130,Rinde::N,bark,bark
131,Ast::N,gren,limb
132,Zweig::N,kvist,branch
133,Blatt::N,blad,leaf
134,Birke::N,bjørk,birch
135,Kiefer[Baum]::N,furu,pine
136,Weide[Baum]::N,selje,willow
137,Weide[Baum]::N,piletre,willow
138,Tanne::N,gran,fir
139,Horn::N,horn,horn
140,Feder::N,fjær,feather
141,Fell::N,skinn,fur
142,Flügel::N,vinge,wing
143,Klaue::N,klauv,claw
144,Kralle::N,klo,claw
145,Schwanz::N,hale,tail
146,Ei::N,egg,egg
147,Nest::N,rede,nest
148,Bau::N,hi,lair
149,Tier::N,dyr,animal
150,Herde::N,flokk,flock
151,Kuh::N,ku,cow
152,Bulle::N,tyr,bull
153,Pferd::N,hest,horse
154,Schaf::N,får,sheep
155,Schwein::N,gris,pig
156,Hund::N,hund,dog
157,Katze::N,katt,cat
158,Bär::N,bjørn,bear
159,Eichhörnchen::N,ekorn,squirrel
160,Elch::N,elg,elk
161,Fuchs::N,rev,fox
162,Hase::N,hare,hare
163,Maus::N,mus,mouse
164,Wolf::N,ulv,wolf
165,Wolf::N,varg,wolf
166,Vogel::N,fugl,bird
167,Schwarm::N,sverm,swarm
168,Huhn::N,høne,chicken
169,Hahn::N,hane,cock
170,Gans::N,gås,goose
171,Adler::N,ørn,eagle
172,Ente::N,and,duck
173,Eule::N,ugle,owl
174,Kranich::N,trane,crane
175,Krähe::N,kråke,crow
176,Kuckuck::N,gjøk,cuckoo
177,Schwan::N,svane,swan
178,Fisch::N,fisk,fish
179,Barsch::N,abbor,perch
180,Hecht::N,gjedde,pike
181,Schlange[Tier]::N,orm,snake
182,Schlange[Tier]::N,slange,snake
183,Wurm::N,orm,worm
184,Wurm::N,mark,worm
185,Spinne::N,edderkopp,spider
186,Ameise::N,maur,ant
187,Laus::N,lus,louse
188,Mücke::N,mygg,midge
189,Fliege::N,flue,fly
190,Schmetterling::N,sommerfugl,butterfly
191,Beere::N,bær,berry
192,Apfel::N,eple,apple
193,Pilz::N,sopp,mushroom
194,Zwiebel::N,løk,onion
195,Saat::N,sæd,seed
196,Korn::N,korn,grain
197,Heu::N,høy,hay
198,Schale::N,skall,husk
199,Grube::N,grop,pit
200,Falle::N,felle,trap
201,Schlinge::N,snare,noose
202,Spur::N,spor,track
203,Asche::N,aske,ashes
204,Dreck::N,møkk,filth
205,Dreck::N,skitt,filth
206,Eisen::N,jern,iron
207,Gold::N,gull,gold
208,Silber::N,sølv,silver
209,Kohle::N,kol,coal
210,Kohle::N,kull,coal
211,Glas::N,glass,glass
212,Lehm::N,leire,clay
213,Sand::N,sand,sand
214,Mensch::N,menneske,human
215,Mann::N,mann,man
216,Frau::N,kvinne,woman
217,Kind::N,barn,child
218,Junge::N,gutt,boy
219,Mädchen::N,pike,girl
220,Mädchen::N,jente,girl
221,Familie::N,familie,family
222,Großvater::N,bestefar,grandfather
223,Großmutter::N,bestemor,grandmother
224,Eltern::N,foreldre,parents
225,Vater::N,far,father
226,Mutter::N,mor,mother
227,Sohn::N,sønn,son
228,Tochter::N,datter,daughter
229,Bruder::N,bror,brother
230,Schwester::N,søster,sister
231,Onkel::N,onkel,uncle
232,Tante::N,tante,aunt
233,Ehemann::N,ektemann,husband
234,Ehefrau::N,hustru,wife
235,Freude::N,glede,joy
236,Gelächter::N,latter,laughter
237,Glück::N,lykke,happiness
238,Kummer::N,sorg,grief
239,Wunsch::N,ønske,wish
240,Lust::N,lyst,desire
241,Geist::N,ånd,spirit
242,Gedanke::N,tanke,thought
243,Gedächtnis::N,minne,memory
244,Gedächtnis::N,hukommelse,memory
245,Verstand::N,forstand,mind
246,Sinn::N,mening,meaning
247,Sinn::N,betydning,meaning
248,Grund::N,grunn,reason
249,Wahrheit::N,sannhet,truth
250,Gespräch::N,samtale,talk
251,Märchen::N,eventyr,fairy tale
252,Erzählung::N,fortelling,story
253,Nachricht::N,melding,message
254,Neuigkeit::N,nyhet,news
255,Name::N,navn,name
256,Rätsel::N,gåte,puzzle
257,Rede::N,tale,speech
258,Sprache::N,språk,language
259,Stimme::N,stemme,voice
260,Wort::N,ord,word
261,Zeichen::N,tegn,sign
262,Ruf::N,rop,call
263,Lärm::N,bråk,noise
264,Laut::N,lyd,sound
265,Ton::N,tone,tone
266,Lied::N,vise,song
267,Ruhe::N,ro,calm
268,Leute::N,folk,people
269,Volk::N,folk,nation
270,Arbeit::N,arbeid,work
271,Gast::N,gjest,guest
272,Geschenk::N,gave,gift
273,Spiel::N,lek,game
274,Spiel::N,spill,game
275,Gesellschaft::N,selskap,company
276,Hilfe::N,hjelp,help
277,Freund::N,venn,friend
278,Kamerad::N,kamerat,companion
279,Angelegenheit::N,sak,matter
280,Angelegenheit::N,anliggende,matter
281,Anzahl::N,antall,count
282,Art::N,art,sort
283,Art::N,slag,sort
284,Stück::N,stykke,piece
285,Teil::N,del,part
286,Hälfte::N,halvdel,half
287,Kreis::N,ring,circle
288,Kreis::N,sirkel,circle
289,Kreuz::N,kors,cross
290,Kreuz::N,kryss,cross
291,Linie::N,linje,line
292,Strich::N,strek,stroke
293,Abstand::N,avstand,gap
294,Entfernung::N,avstand,distance
295,Gegend::N,strøk,area
296,Platz::N,plass,space
297,Ort::N,sted,place
298,Seite::N,side,side
299,Mitte::N,midte,middle
300,Gegenstand::N,gjenstand,item
301,Sache::N,sak,thing
302,Rand::N,rand,fringe
303,Kante::N,kant,edge
304,Ecke::N,hjørne,corner
305,Spitze::N,spiss,tip
306,Ende::N,ende,end
307,Loch::N,hull,hole
308,Winkel::N,vinkel,angle
309,Muster::N,mønster,pattern
310,Größe::N,størrelse,size
311,Länge::N,lengde,length
312,Höhe::N,høyde,height
313,Gewicht::N,vekt,weight
314,Menge::N,mengde,amount
315,Haufen::N,haug,heap
316,Haufen::N,bunke,heap
317,Reihe::N,rekke,row
318,Boot::N,båt,boat
319,Ruder::N,åre,oar
320,Schlitten::N,slede,sleigh
321,Schlitten::N,kjelke,sleigh
322,Ski::N,ski,ski
323,Lagerfeuer::N,leirbål,campfire
324,Last::N,bør,load
325,Last::N,last,load
326,Gang::N,gang,walk
327,Schritt::N,steg,step
328,Schritt::N,skritt,step
329,Norden::N,nord,north
330,Süden::N,sør,south
331,Westen::N,vest,west
332,Osten::N,øst,east
333,Holz::N,tre,wood
334,Brett::N,fjøl,board
335,Brett::N,brett,board
336,Platte::N,plate,slab
337,Stütze::N,støtte,bracket
338,Stange::N,stang,pole
339,Stock::N,pinne,stick
340,Stab::N,stav,staff
341,Stab::N,kjepp,staff
342,Rohr::N,rør,pipe
343,Haus::N,hus,house
344,Heim::N,hjem,home
345,Ofen::N,ovn,stove
346,Fußboden::N,gulv,floor
347,Tisch::N,bord,table
348,Stuhl::N,stol,chair
349,Wiege::N,vogge,cradle
350,Bett::N,seng,bed
351,Regal::N,reol,shelf
352,Regal::N,hylle,shelf
353,Kiste::N,kasse,box
354,Fenster::N,vindu,window
355,Tür::N,dør,door
356,Tor::N,port,gate
357,Zaun::N,gjerde,fence
358,Dach::N,tak,roof
359,Leiter::N,stige,ladder
360,Besen::N,kost,broom
361,Spaten::N,spade,spade
362,Schaufel::N,skuffe,shovel
363,Gabel::N,gaffel,fork
364,Löffel::N,skje,spoon
365,Messer::N,kniv,knife
366,Nagel::N,spiker,nail
367,Netz::N,nett,net
368,Haken::N,krok,hook
369,Griff::N,tak,handle
370,Griff::N,håndtak,handle
371,Schloss::N,lås,lock
372,Bild::N,bilde,picture
373,Figur::N,figur,figure
374,Puppe::N,dukke,doll
375,Beutel::N,pose,pouch
376,Bündel::N,bylt,bundle
377,Tasche::N,veske,bag
378,Eimer::N,bøtte,bucket
379,Deckel::N,lokk,cover
380,Geschirr::N,kjøkkentøy,dishes
381,Sack::N,sekk,sack
382,Tasse::N,kopp,cup
383,Topf::N,gryte,pot
384,Kessel::N,kjele,kettle
385,Essen::N,mål,meal
386,Nahrung::N,mat,food
387,Nahrung::N,næring,food
388,Speise::N,matrett,dish
389,Fleisch::N,kjøtt,meat
390,Getreide::N,korn,corn
391,Brei::N,grøt,mush
392,Brot::N,brød,bread
393,Scheibe::N,skive,slice
394,Fett::N,fett,fat
395,Butter::N,smør,butter
396,Öl::N,olje,oil
397,Salz::N,salt,salt
398,Suppe::N,suppe,soup
399,Honig::N,honning,honey
400,Milch::N,melk,milk
401,Tee::N,te,tea
402,Leder::N,lær,leather
403,Leder::N,skinn,leather
404,Wolle::N,ull,wool
405,Stoff::N,tøy,cloth
406,Stoff::N,stoff,cloth
407,Nadel::N,nål,needle
408,Faden::N,tråd,thread
409,Knopf::N,knapp,button
410,Knoten::N,knute,knot
411,Farbe::N,farge,paint
412,Kleidung::N,påkledning,clothes
413,Hemd::N,skjorte,shirt
414,Kragen::N,krage,collar
415,Ärmel::N,erme,sleeve
416,Hose::N,bukse,trousers
417,Gürtel::N,belte,belt
418,Mütze::N,lue,cap
419,Schuh::N,sko,shoe
420,Stiefel::N,støvel,boot
421,Ring::N,ring,ring
422,Band::N,band,ribbon
423,Kamm::N,kam,comb
424,Spiegel::N,speil,mirror
425,Riemen::N,rem,strap
426,Schnur::N,snor,string
427,Leine::N,line,leash
428,Decke::N,teppe,blanket
429,Kissen::N,pute,pillow
430,Tuch::N,tøy,scarf
431,Handtuch::N,håndkle,towel
432,Kraft::N,kraft,force
433,Stärke::N,styrke,strength
434,Gesundheit::N,helse,health
435,Gesundheit::N,sunnhet,health
436,Krankheit::N,syke,illness
437,Krankheit::N,sykdom,illness
438,Schmerz::N,smerte,pain
439,Wunde::N,sår,wound
440,Fieber::N,feber,fever
441,Arznei::N,medisin,medicine
442,Arznei::N,legemiddel,medicine
443,Brücke::N,bro,bridge
444,Brunnen::N,brønn,well
445,Weide::N,beite,pasture
446,Pfad::N,sti,path
447,Weg::N,vei,way
448,Straße::N,gate,road
449,Dorf::N,landsby,village
450,Stadt::N,by,town
451,Brief::N,brev,letter
452,Buch::N,bok,book
453,Buchstabe::N,bokstav,character
454,Zeitung::N,avis,newspaper
455,Leben::N,liv,life
456,Tod::N,død,death
457,Grab::N,grav,grave
458,Kirche::N,kirke,church
459,Sünde::N,synd,sin
460,Gott::N,gud,god
461,Arbeiter::N,arbeider,worker
462,Chef::N,sjef,boss
463,Meister::N,mester,master
464,Arzt::N,lege,doctor
465,Lehrer::N,lærer,teacher
466,Geld::N,penger,money
467,Geschäft::N,forretning,business
468,Laden::N,butikk,shop
469,Preis::N,pris,price
470,Ware::N,vare,ware
471,Nutzen::N,nytte,profit
472,Reichtum::N,rikdom,wealth
473,Welt::N,verden,world
474,Land::N,land,country
475,Staat::N,stat,state
476,König::N,konge,king
477,Macht::N,makt,power
478,Grenze::N,grense,border
479,Krieg::N,krig,war
480,Feind::N,fiende,enemy
481,Gewalt::N,vold,violence
482,Kampf::N,kamp,fight
483,Bogen[Waffe]::N,bue,bow
484,Pfeil::N,pil,arrow
485,Gewehr::N,gevær,gun
486,Fehler::N,feil,mistake
487,Lüge::N,løgn,lie
488,Schaden::N,skade,damage
489,Unglück::N,uhell,misfortune
490,Schuld::N,skyld,fault
491,Alter::N,alder,age
492,Schluss::N,slutt,conclusion
493,Zeit::N,tid,time
494,Tag::N,dag,day
495,Morgen::N,morgen,morning
496,Mittag::N,middag,noon
497,Abend::N,aften,evening
498,Nacht::N,natt,night
499,Woche::N,uke,week
500,Monat::N,måned,month
501,Jahr::N,år,year
502,Frühling::N,vår,spring
503,Sommer::N,sommer,summer
504,Herbst::N,høst,autumn
505,Winter::N,vinter,winter
506,Januar::N,januar,January
507,Februar::N,februar,February
508,März::N,mars,March
509,April::N,april,April
510,Mai::N,mai,May
511,Juni::N,juni,June
512,Juli::N,juli,July
513,August::N,august,August
514,September::N,september,September
515,Oktober::N,oktober,October
516,November::N,november,November
517,Dezember::N,desember,December
518,Montag::N,mandag,Monday
519,Dienstag::N,tirsdag,Tuesday
520,Mittwoch::N,onsdag,Wednesday
521,Donnerstag::N,torsdag,Thursday
522,Freitag::N,fredag,Friday
523,Samstag::N,lørdag,Saturday
524,Sonntag::N,søndag,Sunday
525,groß::A,stor,big
526,klein::A,liten,little
527,lang::A,lang,long
528,kurz::A,kort,short
529,breit::A,bred,wide
530,schmal::A,smal,narrow
531,dicht::A,tett,dense
532,dick[Gegenstand]::A,tykk,thick
533,dünn::A,tynn,thin
534,fein::A,fin,delicate
535,fest::A,fast,firm
536,flach::A,flat,flat
537,glatt::A,glatt,smooth
538,hart::A,hard,hard
539,weich::A,myk,soft
540,weich::A,bløt,soft
541,rund::A,rund,round
542,spitz::A,spiss,pointed
543,scharf::A,kvass,sharp
544,stumpf::A,stubb,blunt
545,schwer::A,tung,heavy
546,schön::A,pen,beautiful
547,schön::A,vakker,beautiful
548,heiß::A,het,hot
549,warm::A,varm,warm
550,kalt::A,kald,cold
551,kühl::A,kjølig,cool
552,frisch::A,fersk,fresh
553,feucht::A,fuktig,damp
554,nass::A,våt,wet
555,trocken::A,tørr,dry
556,voll::A,full,full
557,leer::A,tom,empty
558,offen::A,åpen,open
559,geschlossen::A,lukket,closed
560,sauber::A,ren,clean
561,schmutzig::A,skitten,dirty
562,roh::A,rå,raw
563,reif::A,moden,ripe
564,lecker::A,lekker,delicious
565,süß::A,søt,sweet
566,bitter::A,besk,bitter
567,bitter::A,bitter,bitter
568,sauer::A,sur,sour
569,hell::A,lys,bright
570,dunkel::A,mørk,dark
571,schwarz::A,svart,black
572,weiß::A,hvit,white
573,rot::A,rød,red
574,gelb::A,gul,yellow
575,blau::A,blå,blue
576,grün::A,grønn,green
577,grau::A,grå,grey
578,bunt::A,broket,colourful
579,bunt::A,broket,colorful
580,billig::A,billig,cheap
581,teuer::A,dyr,dear
582,wertvoll::A,verdifull,precious
583,blind::A,blind,blind
584,taub::A,døv,deaf
585,kräftig::A,kraftig,powerful
586,stark::A,sterk,strong
587,schwach::A,svak,weak
588,fett::A,fet,fat
589,schlank::A,slank,slim
590,hübsch::A,pen,pretty
591,böse::A,slem,evil
592,dumm::A,dum,stupid
593,faul::A,lat,lazy
594,faul::A,doven,lazy
595,fleißig::A,flittig,diligent
596,geizig::A,gjerrig,stingy
597,klug::A,klok,clever
598,geschickt::A,hendig,skilful
599,geschickt::A,hendig,skillful
600,geschickt::A,skikket,skilful
601,geschickt::A,skikket,skillful
602,lieb::A,kjær,dear
603,lieb::A,snill,dear
604,lustig::A,morsom,merry
605,sanft::A,blid,gentle
606,hungrig::A,sulten,hungry
607,krank::A,syk,sick
608,nackt::A,naken,naked
609,traurig::A,sørgmodig,sad
610,lebendig::A,levende,living
611,gut::A,god,good
612,schlecht::A,dårlig,bad
613,richtig::A,riktig,correct
614,schlimm::A,slem,nasty
615,wahr::A,sann,true
616,alt::A,gammel,old
617,neu::A,ny,new
618,ehemalig::A,forhenværende,former
619,alt[Lebewesen]::A,gammel,aged
620,jung::A,ung,young
621,arm::A,fattig,poor
622,reich::A,rik,rich
623,bekannt::A,kjent,familiar
624,berühmt::A,berømt,famous
625,fremd::A,fremmed,foreign
626,verschieden::A,forskjellig,different
627,nah::A,nær,near
628,fern::A,fjern,far
629,linker::A,venstre,left
630,rechter::A,høyre,right
631,anderer::A,annen,other
632,erster::A,første,first
633,zweiter::A,annen,second
634,dritter::A,tredje,third
635,letzter::A,sist,last
636,allein::ADV,alene,alone
637,auf einmal::ADV,med ett,at once
638,zusammen::ADV,sammen,together
639,lange::ADV,lenge,long
640,plötzlich::ADV,plutselig,suddenly
641,sofort::ADV,straks,instantly
642,später::ADV,senere,later
643,jetzt::ADV,nå,now
644,heute::ADV,i dag,today
645,morgen::ADV,i morgen,tomorrow
646,bald::ADV,snart,soon
647,dann::ADV,så,then
648,gestern::ADV,i går,yesterday
649,einst::ADV,engang,once
650,damals::ADV,den gang,at that time
651,danach::ADV,deretter,afterwards
652,vorher::ADV,før,before
653,vorher::ADV,i forveien,before
654,zuerst::ADV,først,at first
655,einmal::ADV,en gang,once
656,manchmal::ADV,somme tider,sometimes
657,oft::ADV,ofte,often
658,immer::ADV,alltid,always
659,niemals::ADV,aldri,never
660,hier::ADV,her,here
661,hierhin::ADV,hit,hither
662,hierhin::ADV,hit,to here
663,hierhin::ADV,hit,here
664,von hier::ADV,herfra,hence
665,dort::ADV,der,there
666,dorthin::ADV,dit,thither
667,dorthin::ADV,dit,there
668,dorthin::ADV,dit,to there
669,geradeaus::ADV,rett fram,ahead
670,vorwärts::ADV,fram,forward
671,vorwärts::ADV,framover,forward
672,rückwärts::ADV,baklengs,backward
673,zurück::ADV,tilbake,back
674,unten::ADV,nede,below
675,hinab::ADV,ned,down
676,hinab::ADV,nedover,down
677,oben::ADV,oppe,above
678,oben::ADV,ovenpå,above
679,hinauf::ADV,opp,up
680,hinauf::ADV,oppover,up
681,überall::ADV,overalt,everywhere
682,nicht::ADV,ikke,not
683,ein wenig::ADV,litt,a little
684,kaum::ADV,neppe,hardly
685,sehr::ADV,svært,very
686,so::ADV,så,so
687,noch::ADV,enda,still
688,nur::ADV,bare,only
689,schon::ADV,alt,already
690,schon::ADV,allerede,already
691,wieder::ADV,igjen,again
692,vergebens::ADV,forgjeves,in vain
693,vor::PRP,foran,in front of
694,vor::PRP,utenfor,in front of
695,hinter::PRP,bak,behind
696,hinter::PRP,bakom,behind
697,unter::PRP,under,under
698,durch::PRP,gjennom,through
699,durch::PRP,igjennom,through
700,neben::PRP,ved siden av,next to
701,zwischen::PRP,mellom,between
702,wegen::PRP,på grunn av,because of
703,dies::PRN,dette,this
704,das::PRN,det,that
705,alles::PRN,alt,everything
706,ich::PRN,jeg,I
707,du::PRN,du,you
708,du::PRN,du,thou
709,er::PRN,han,he
710,wir::PRN,vi,we
711,ihr::PRN,dere,you
712,sie::PRN,de,they
713,was::FPRN,hva,what
714,wer::FPRN,hvem,who
715,wo::FADV,hvor,where
716,wohin::FADV,hvor ... hen,where ... to
717,wohin::FADV,hvor ... hen,where to
718,wohin::FADV,hvor ... hen,where
719,wie::FADV,hvordan,how
720,warum::FADV,hvorfor,why
721,wieviel::FNUM,hvor mye,how much
722,eins::NUM,en,one
723,eins::NUM,ett,one
724,zwei::NUM,to,two
725,drei::NUM,tre,three
726,vier::NUM,fire,four
727,fünf::NUM,fem,five
728,sechs::NUM,seks,six
729,sieben::NUM,sju,seven
730,acht::NUM,åtte,eight
731,neun::NUM,ni,nine
732,zehn::NUM,ti,ten
733,elf::NUM,elleve,eleven
734,zwölf::NUM,tolv,twelve
735,zwanzig::NUM,tjue,twenty
736,dreißig::NUM,tretti,thirty
737,vierzig::NUM,førti,forty
738,fünfzig::NUM,femti,fifty
739,sechzig::NUM,seksti,sixty
740,siebzig::NUM,sytti,seventy
741,achtzig::NUM,åtti,eighty
742,neunzig::NUM,nitti,ninety
743,hundert::NUM,hundre,a hundred
744,tausend::NUM,tusen,a thousand
745,und::CNJ,og,and
746,oder::CNJ,eller,or
747,stehen::V,stå,stand
748,sitzen::V,sitte,sit
749,liegen::V,ligge,lie
750,hängen::V,henge,hang
751,werden::V,bli,become
752,passieren::V,skje,happen
753,passieren::V,hende,happen
754,beginnen::V,begynne,begin
755,enden::V,ende,end
756,enden::V,slutte,end
757,wechseln::V,veksle,change
758,aufgehen[Sonne]::V,stå opp,rise
759,untergehen[Sonne]::V,gå ned,set
760,scheinen[Sonne]::V,skinne,shine
761,donnern::V,tordne,thunder
762,wehen::V,blåse,blow
763,strömen::V,strømme,stream
764,fließen::V,flyte,flow
765,sich drehen::V,dreie seg,revolve
766,schwanken::V,svaie,sway
767,schwingen::V,svinge,swing
768,fallen::V,falle,fall
769,brennen::V,brenne,burn
770,rauchen::V,ryke,smoke
771,regnen::V,regne,rain
772,gefrieren::V,fryse,freeze
773,tauen::V,tine,thaw
774,schmelzen::V,smelte,melt
775,trocknen::V,tørre,dry
776,sieden::V,koke,boil
777,faulen::V,råtne,rot
778,verfaulen::V,råtne,decay
779,reißen::V,briste,snap
780,versinken::V,synke,sink
781,versinken::V,synke ned,sink
782,vergehen::V,forløpe,pass
783,erscheinen::V,synes,appear
784,verschwinden::V,forsvinne,disappear
785,sinken::V,synke,drop
786,abnehmen::V,avta,decrease
787,abnehmen::V,minske,decrease
788,zunehmen::V,tilta,increase
789,steigen::V,stige,rise
790,wachsen::V,gro,grow
791,wachsen::V,vokse,grow
792,glänzen::V,skinne,shine
793,funkeln::V,tindre,sparkle
794,lärmen::V,bråke,be noisy
795,läuten::V,ringe,chime
796,klingeln::V,ringe,ring
797,klirren::V,klirre,tinkle
798,brausen::V,bruse,roar
799,rauschen::V,suse,rustle
800,klingen::V,lyde,sound
801,klingen::V,klinge,sound
802,bellen::V,gjø,bark
803,bellen::V,bjeffe,bark
804,heulen::V,ule,howl
805,blasen::V,blåse,blow
806,pfeifen::V,plystre,whistle
807,schreien::V,skrike,shout
808,stöhnen::V,stønne,groan
809,zittern::V,dirre,tremble
810,zittern::V,skjelve,tremble
811,leben::V,leve,be alive
812,geboren werden::V,fødes,be born
813,atmen::V,ånde,breathe
814,atmen::V,puste,breathe
815,trinken::V,drikke,drink
816,essen::V,spise,eat
817,schlucken::V,svelge,swallow
818,müde werden::V,bli trett,get tired
819,einschlafen::V,sovne,fall asleep
820,schlafen::V,sove,sleep
821,aufwachen::V,våkne,wake up
822,aufstehen::V,stå opp,get up
823,sich erholen::V,bli bra,relax
824,sich erholen::V,komme seg,relax
825,krank werden::V,bli syk,fall ill
826,krank sein::V,være syk,be ill
827,schmerzen::V,gjøre vondt,ache
828,husten::V,hoste,cough
829,genesen::V,komme seg,recover
830,sterben::V,dø,die
831,umkommen::V,omkomme,perish
832,sich bewegen::V,bevege seg,move
833,sich rühren::V,røre på seg,budge
834,sich erheben::V,reise seg,stand up
835,sich setzen::V,sette sig,sit down
836,hinfallen::V,falle over ende,tumble
837,laufen::V,løpe,walk
838,schreiten::V,skride,pace
839,spazierengehen::V,spasere,go for a walk
840,spazierengehen::V,gå en tur,go for a walk
841,eilen::V,ile,rush
842,sich beeilen::V,skynde seg,hurry
843,sausen::V,suse,dash
844,rennen::V,løpe,run
845,springen::V,hoppe,jump
846,springen::V,springe,jump
847,klettern::V,klatre,climb
848,schaukeln::V,huske,seesaw
849,kriechen::V,krype,creep
850,schwimmen::V,svømme,swim
851,tauchen::V,dykke,dive
852,rudern::V,ro,row
853,fahren::V,kjøre,drive
854,fliegen::V,fly,fly
855,gehen::V,gå,go
856,weggehen::V,gå bort,go away
857,abfahren::V,reise,depart
858,anhalten::V,stanse,stop
859,hineingehen::V,gå inn,go in
860,eintreten::V,tre inn,enter
861,kommen::V,komme,come
862,ankommen::V,ankomme,arrive
863,ankommen::V,komme til,arrive
864,zurückkommen::V,komme tilbake,come back
865,bleiben::V,bli,stay
866,bleiben::V,forbli,stay
867,warten::V,vente,wait
868,erwarten::V,vente,wait for
869,suchen::V,søke,seek
870,suchen::V,søke,look for
871,finden::V,finne,find
872,versuchen::V,prøve,try
873,versuchen::V,forsøke,try
874,vorbereiten::V,forberede,prepare
875,lieben::V,elske,love
876,mögen::V,like,like
877,lachen::V,le,laugh
878,rühren::V,røre,move
879,weinen::V,gråte,weep
880,schimpfen::V,skjelle,grumble
881,sich ärgern::V,ergre seg,be annoyed
882,sich fürchten::V,være redd,be afraid
883,fürchten::V,være redd for,be afraid of
884,fliehen::V,rømme,flee
885,fliehen::V,flykte,flee
886,flüchten::V,flykte,escape
887,sehen::V,se,see
888,anschauen::V,se på,look at
889,anschauen::V,betrakte,look at
890,ansehen::V,anse,watch
891,hören::V,høre,hear
892,zuhören::V,tilhøre,listen
893,probieren::V,smake,taste
894,probieren::V,smake på,taste
895,riechen::V,lukte,smell
896,fühlen::V,føle,feel
