,Concept_ID,sl,no
214,Falle::N,pást,felle
215,Schlinge::N,zánka,snare
216,Schlinge::N,pêtlja,snare
217,Spur::N,sléd,spor
218,Asche::N,pepél,aske
219,Dreck::N,bláto,møkk
220,Dreck::N,bláto,skitt
221,Eisen::N,želézo,jern
222,Gold::N,zlató,gull
223,Silber::N,srebró,sølv
224,Kohle::N,ógel,kol
225,Kohle::N,ógel,kull
226,Glas::N,stêklo,glass
227,Lehm::N,ílo,leire
228,Sand::N,pések,sand
229,Mensch::N,člôvek,menneske
230,Mann::N,móž,mann
231,Mann::N,môški,mann
232,Frau::N,gospá,kvinne
233,Frau::N,žénska,kvinne
234,Kind::N,déte,barn
235,Kind::N,otròk,barn
236,Junge::N,fànt,gutt
237,Junge::N,déček,gutt
238,Mädchen::N,deklè,pike
239,Mädchen::N,deklè,jente
240,Mädchen::N,déklica,pike
241,Mädchen::N,déklica,jente
242,Familie::N,družína,familie
243,Großvater::N,dèd,bestefar
244,Großvater::N,dédek,bestefar
245,Großmutter::N,bábica,bestemor
246,Eltern::N,stárši,foreldre
247,Vater::N,ôče,far
248,Mutter::N,máma,mor
249,Sohn::N,sín,sønn
250,Tochter::N,hčí,datter
251,Tochter::N,hčérka,datter
252,Bruder::N,bràt,bror
253,Schwester::N,sêstra,søster
254,Onkel::N,újec,onkel
255,Onkel::N,stríc,onkel
256,Tante::N,têta,tante
257,Tante::N,strína,tante
258,Ehemann::N,móž,ektemann
259,Ehemann::N,sopróg,ektemann
260,Ehefrau::N,žêna,hustru
261,Ehefrau::N,sopróga,hustru
262,Freude::N,rádost,glede
263,Freude::N,vesêlje,glede
264,Gelächter::N,sméh,latter
265,Gelächter::N,grohòt,latter
266,Glück::N,sréča,lykke
267,Kummer::N,gorjé,sorg
268,Wunsch::N,žêlja,ønske
269,Lust::N,poželênje,lyst
270,Geist::N,dúša,ånd
271,Gedanke::N,mísel,tanke
272,Gedächtnis::N,pámet,minne
273,Gedächtnis::N,pámet,hukommelse
274,Sinn::N,pomèn,mening
275,Sinn::N,pomèn,betydning
276,Sinn::N,smísel,mening
277,Sinn::N,smísel,betydning
278,Grund::N,vzròk,grunn
279,Wahrheit::N,resníca,sannhet
280,Gespräch::N,pogóvor,samtale
281,Märchen::N,právljica,eventyr
282,Erzählung::N,povést,fortelling
283,Nachricht::N,sporočílo,melding
284,Neuigkeit::N,novóst,nyhet
285,Name::N,imé,navn
286,Rätsel::N,ugánka,gåte
287,Rede::N,góvor,tale
288,Sprache::N,jêzik,språk
289,Stimme::N,glás,stemme
290,Wort::N,beséda,ord
291,Zeichen::N,znák,tegn
292,Ruf::N,klíc,rop
293,Lärm::N,hrúp,bråk
294,Lärm::N,trúšč,bråk
295,Laut::N,glás,lyd
296,Ton::N,tón,tone
297,Lied::N,pésem,vise
298,Ruhe::N,pokòj,ro
299,Leute::N,ljudjé,folk
300,Volk::N,národ,folk
301,Arbeit::N,délo,arbeid
302,Gast::N,gòst,gjest
303,Geschenk::N,darílo,gave
304,Spiel::N,ígra,lek
305,Spiel::N,ígra,spill
306,Gesellschaft::N,drúžba,selskap
307,Hilfe::N,pomóč,hjelp
308,Freund::N,prijátelj,venn
309,Kamerad::N,továriš,kamerat
310,Angelegenheit::N,zadéva,sak
311,Angelegenheit::N,zadéva,anliggende
312,Anzahl::N,števílo,antall
313,Art::N,vŕsta,art
314,Art::N,vŕsta,slag
315,Stück::N,kós,stykke
316,Teil::N,dél,del
317,Hälfte::N,polovíca,halvdel
318,Kreis::N,króg,ring
319,Kreis::N,króg,sirkel
320,Kreis::N,kolobár,ring
321,Kreis::N,kolobár,sirkel
322,Kreuz::N,kríž,kors
323,Kreuz::N,kríž,kryss
324,Linie::N,próga,linje
325,Strich::N,čŕta,strek
326,Abstand::N,preslédek,avstand
327,Entfernung::N,oddáljenost,avstand
328,Gegend::N,kràj,strøk
329,Gegend::N,dežêla,strøk
330,Platz::N,prôstor,plass
331,Ort::N,mésto,sted
332,Seite::N,bòk,side
333,Seite::N,strán,side
334,Mitte::N,sredína,midte
335,Gegenstand::N,prédmet,gjenstand
336,Sache::N,réč,sak
337,Sache::N,stvár,sak
338,Rand::N,kràj,rand
339,Kante::N,rób,kant
340,Ecke::N,vogál,hjørne
341,Spitze::N,óst,spiss
342,Ende::N,kônec,ende
343,Loch::N,lúknja,hull
344,Winkel::N,kót,vinkel
345,Muster::N,vzórec,mønster
346,Größe::N,veličína,størrelse
347,Länge::N,dolžína,lengde
348,Höhe::N,vršína,høyde
349,Gewicht::N,téža,vekt
350,Menge::N,količína,mengde
351,Haufen::N,kùp,haug
352,Haufen::N,kùp,bunke
353,Haufen::N,kopíca,haug
354,Haufen::N,kopíca,bunke
355,Reihe::N,níz,rekke
356,Reihe::N,vŕsta,rekke
357,Boot::N,čóln,båt
358,Ruder::N,vêslo,åre
359,Schlitten::N,saní,slede
360,Schlitten::N,saní,kjelke
361,Ski::N,smučí,ski
362,Lagerfeuer::N,táborni ôgenj,leirbål
363,Last::N,tôvor,bør
364,Last::N,tôvor,last
365,Gang::N,hòd,gang
366,Schritt::N,korák,steg
367,Schritt::N,korák,skritt
368,Norden::N,séver,nord
369,Süden::N,júg,sør
370,Westen::N,zapàd,vest
371,Osten::N,vzhòd,øst
372,Holz::N,lés,tre
373,Brett::N,deskà,fjøl
374,Brett::N,deskà,brett
375,Platte::N,plôča,plate
376,Stütze::N,opóra,støtte
377,Stütze::N,zaslómba,støtte
378,Stange::N,gréd,stang
379,Stock::N,pálica,pinne
380,Stab::N,pálica,stav
381,Stab::N,pálica,kjepp
382,Rohr::N,cév,rør
383,Haus::N,híša,hus
384,Heim::N,dóm,hjem
385,Ofen::N,péč,ovn
386,Fußboden::N,pòd,gulv
387,Tisch::N,míza,bord
388,Stuhl::N,stòl,stol
389,Wiege::N,zíbel,vogge
390,Bett::N,póstelja,seng
391,Regal::N,políca,reol
392,Regal::N,políca,hylle
393,Kiste::N,zabòj,kasse
394,Fenster::N,ôkno,vindu
395,Tür::N,vráta,dør
396,Tor::N,velíka vráta,port
397,Zaun::N,ográja,gjerde
398,Dach::N,stréha,tak
399,Leiter::N,léstev,stige
400,Besen::N,mêtla,kost
401,Spaten::N,lopáta,spade
402,Schaufel::N,lopáta,skuffe
403,Gabel::N,vílice,gaffel
404,Löffel::N,žlíca,skje
405,Messer::N,nòž,kniv
406,Nagel::N,žebèlj,spiker
407,Netz::N,mréža,nett
408,Haken::N,kljúka,krok
409,Griff::N,ročáj,tak
410,Griff::N,ročáj,håndtak
411,Griff::N,oprijèm,tak
412,Griff::N,oprijèm,håndtak
413,Schloss::N,ključávnica,lås
414,Bild::N,slíka,bilde
415,Figur::N,figúra,figur
416,Figur::N,postáva,figur
417,Puppe::N,lútka,dukke
418,Beutel::N,môšnja,pose
419,Bündel::N,cúla,bylt
420,Bündel::N,svéženj,bylt
421,Tasche::N,tórba,veske
422,Tasche::N,tobôlec,veske
423,Eimer::N,vêdro,bøtte
424,Deckel::N,pokròv,lokk
425,Deckel::N,poklópec,lokk
426,Geschirr::N,posóda,kjøkkentøy
427,Sack::N,vréča,sekk
428,Tasse::N,skodélica,kopp
429,Topf::N,lônec,gryte
430,Kessel::N,kôtel,kjele
431,Essen::N,hrána,mål
432,Nahrung::N,živílo,mat
433,Nahrung::N,živílo,næring
434,Speise::N,jéd,matrett
435,Fleisch::N,mesó,kjøtt
436,Getreide::N,žíto,korn
437,Brei::N,káša,grøt
438,Brot::N,krùh,brød
439,Scheibe::N,réženj,skive
440,Fett::N,mást,fett
441,Fett::N,maščôba,fett
442,Butter::N,máslo,smør
443,Öl::N,ólje,olje
444,Salz::N,sól,salt
445,Suppe::N,júha,suppe
446,Honig::N,méd,honning
447,Milch::N,mléko,melk
448,Tee::N,čáj,te
449,Leder::N,úsnje,lær
450,Leder::N,úsnje,skinn
451,Wolle::N,vólna,ull
452,Stoff::N,blagó,tøy
453,Stoff::N,blagó,stoff
454,Nadel::N,ígla,nål
455,Faden::N,nít,tråd
456,Knopf::N,gúmb,knapp
457,Knoten::N,vôzel,knute
458,Farbe::N,bárva,farge
459,Kleidung::N,obléka,påkledning
460,Hemd::N,srájca,skjorte
461,Kragen::N,ovrátnik,krage
462,Ärmel::N,rokáv,erme
463,Hose::N,hláče,bukse
464,Gürtel::N,pás,belte
465,Mütze::N,kápa,lue
466,Mütze::N,čépica,lue
467,Schuh::N,čévelj,sko
468,Stiefel::N,škórenj,støvel
469,Ring::N,pŕstan,ring
470,Band::N,trák,band
471,Kamm::N,glavník,kam
472,Spiegel::N,zrcálo,speil
473,Spiegel::N,ogledálo,speil
474,Riemen::N,jêrmen,rem
475,Schnur::N,vŕvca,snor
476,Leine::N,konôpec,line
477,Decke::N,odéja,teppe
478,Kissen::N,blazína,pute
479,Tuch::N,pŕt,tøy
480,Tuch::N,rúta,tøy
481,Handtuch::N,brisáča,håndkle
482,Kraft::N,síla,kraft
483,Stärke::N,jákost,styrke
484,Gesundheit::N,zdrávje,helse
485,Gesundheit::N,zdrávje,sunnhet
486,Krankheit::N,bolézen,syke
487,Krankheit::N,bolézen,sykdom
488,Schmerz::N,ból,smerte
489,Schmerz::N,bolečína,smerte
490,Wunde::N,rána,sår
491,Fieber::N,vročína,feber
492,Arznei::N,lék,medisin
493,Arznei::N,lék,legemiddel
494,Arznei::N,zdravílo,medisin
495,Arznei::N,zdravílo,legemiddel
496,Brücke::N,móst,bro
497,Brunnen::N,vodnják,brønn
498,Weide::N,páša,beite
499,Pfad::N,stezà,sti
500,Weg::N,pót,vei
501,Straße::N,césta,gate
502,Dorf::N,vás,landsby
503,Stadt::N,mésto,by
504,Brief::N,písmo,brev
505,Buch::N,knjíga,bok
506,Buchstabe::N,čŕka,bokstav
507,Zeitung::N,čásnik,avis
508,Leben::N,življênje,liv
509,Tod::N,smŕt,død
510,Grab::N,gròb,grav
511,Kirche::N,cérkev,kirke
512,Sünde::N,gréh,synd
513,Gott::N,bóg,gud
514,Arbeiter::N,délavec,arbeider
515,Chef::N,šéf,sjef
516,Meister::N,mójster,mester
517,Arzt::N,zdravník,lege
518,Lehrer::N,učítelj,lærer
519,Geld::N,denár,penger
520,Geschäft::N,kupčíja,forretning
521,Laden::N,trgovína,butikk
522,Preis::N,céna,pris
523,Ware::N,róba,vare
524,Nutzen::N,príd,nytte
525,Reichtum::N,bogástvo,rikdom
526,Welt::N,svét,verden
527,Land::N,dežêla,land
528,Staat::N,držáva,stat
529,König::N,králj,konge
530,Macht::N,oblást,makt
531,Grenze::N,mêja,grense
532,Krieg::N,vôjna,krig
533,Feind::N,sovrážnik,fiende
534,Gewalt::N,nasílje,vold
535,Kampf::N,bòj,kamp
536,Kampf::N,bórba,kamp
537,Bogen[Waffe]::N,lók,bue
538,Pfeil::N,puščíca,pil
539,Gewehr::N,púška,gevær
540,Fehler::N,zmóta,feil
541,Lüge::N,láž,løgn
542,Schaden::N,okvára,skade
543,Unglück::N,nesréča,uhell
544,Schuld::N,krívda,skyld
545,Alter::N,dôba,alder
546,Schluss::N,kônec,slutt
547,Zeit::N,čàs,tid
548,Tag::N,dán,dag
549,Morgen::N,jútro,morgen
550,Mittag::N,póldan,middag
551,Abend::N,večér,aften
552,Nacht::N,nóč,natt
553,Woche::N,téden,uke
554,Monat::N,mésec,måned
555,Jahr::N,léto,år
556,Frühling::N,pomlád,vår
557,Sommer::N,polétje,sommer
558,Herbst::N,jesén,høst
559,Winter::N,zíma,vinter
560,Januar::N,jánuar,januar
561,Februar::N,fébruar,februar
562,März::N,márec,mars
563,April::N,apríl,april
564,Mai::N,máj,mai
565,Juni::N,júnij,juni
566,Juli::N,júlij,juli
567,August::N,avgúst,august
568,September::N,septêmber,september
569,Oktober::N,október,oktober
570,November::N,novêmber,november
571,Dezember::N,decémber,desember
572,Montag::N,ponedéljek,mandag
573,Dienstag::N,tôrek,tirsdag
574,Mittwoch::N,sréda,onsdag
575,Donnerstag::N,četŕtek,torsdag
576,Freitag::N,pétek,fredag
577,Samstag::N,sobóta,lørdag
578,Sonntag::N,nedélja,søndag
579,groß::A,vêlik,stor
580,klein::A,májhen,liten
581,lang::A,dólg,lang
582,kurz::A,krátek,kort
583,breit::A,širòk,bred
584,schmal::A,ózek,smal
585,dicht::A,góst,tett
586,dick[Gegenstand]::A,dêbel,tykk
587,dünn::A,tánek,tynn
588,fein::A,drôben,fin
589,fest::A,tŕden,fast
590,flach::A,plán,flat
591,flach::A,plòsk,flat
592,glatt::A,gládek,glatt
593,hart::A,tŕd,hard
594,weich::A,mehák,myk
595,weich::A,mehák,bløt
596,rund::A,okrógel,rund
597,spitz::A,šílast,spiss
598,scharf::A,óster,kvass
599,stumpf::A,tóp,stubb
600,stumpf::A,skŕhan,stubb
601,schwer::A,têžek,tung
602,schön::A,lép,pen
603,schön::A,lép,vakker
604,schön::A,krásen,pen
605,schön::A,krásen,vakker
606,heiß::A,vròč,het
607,warm::A,tôpel,varm
608,kalt::A,mŕzel,kald
609,kalt::A,hláden,kald
610,kühl::A,hláden,kjølig
611,frisch::A,svéž,fersk
612,feucht::A,vlážen,fuktig
613,nass::A,móker,våt
614,trocken::A,súh,tørr
615,voll::A,póln,full
616,leer::A,prázen,tom
617,offen::A,odpŕt,åpen
618,geschlossen::A,zapŕt,lukket
619,sauber::A,číst,ren
620,sauber::A,líčen,ren
621,schmutzig::A,umázan,skitten
622,roh::A,suròv,rå
623,reif::A,zrèl,moden
624,lecker::A,okúsen,lekker
625,süß::A,sládek,søt
626,bitter::A,grenák,besk
627,bitter::A,grenák,bitter
628,sauer::A,kísel,sur
629,hell::A,svetèl,lys
630,dunkel::A,temèn,mørk
631,schwarz::A,čŕn,svart
632,weiß::A,bél,hvit
633,rot::A,rdèč,rød
634,gelb::A,žólt,gul
635,gelb::A,rumèn,gul
636,blau::A,móder,blå
637,grün::A,zelèn,grønn
638,grau::A,sív,grå
639,bunt::A,písan,broket
640,billig::A,pocéni,billig
641,teuer::A,drág,dyr
642,wertvoll::A,dragocén,verdifull
643,blind::A,slép,blind
644,taub::A,glúh,døv
645,kräftig::A,močán,kraftig
646,stark::A,ják,sterk
647,schwach::A,šíbek,svak
648,fett::A,dêbel,fet
649,schlank::A,vítek,slank
650,hübsch::A,lép,pen
651,böse::A,zèl,slem
652,böse::A,hudôben,slem
653,dumm::A,glúp,dum
654,dumm::A,bédast,dum
655,faul::A,lén,lat
656,faul::A,lén,doven
657,fleißig::A,marljív,flittig
658,geizig::A,škŕt,gjerrig
659,klug::A,pámeten,klok
660,geschickt::A,spréten,hendig
661,geschickt::A,spréten,skikket
662,lieb::A,míl,kjær
663,lieb::A,míl,snill
664,lieb::A,ljúb,kjær
665,lieb::A,ljúb,snill
666,lustig::A,vesél,morsom
667,sanft::A,láhek,blid
668,hungrig::A,láčen,sulten
669,krank::A,bolán,syk
670,nackt::A,nág,naken
671,traurig::A,túžen,sørgmodig
672,lebendig::A,žív,levende
673,gut::A,dóber,god
674,schlecht::A,malopríden,dårlig
675,richtig::A,pravílen,riktig
676,schlimm::A,húd,slem
677,wahr::A,resníčen,sann
678,alt::A,stàr,gammel
679,neu::A,nòv,ny
680,ehemalig::A,nekdánji,forhenværende
681,alt[Lebewesen]::A,stàr,gammel
682,jung::A,mlád,ung
683,arm::A,ubóg,fattig
684,arm::A,réven,fattig
685,reich::A,bogàt,rik
686,bekannt::A,znán,kjent
687,berühmt::A,sláven,berømt
688,berühmt::A,znamenít,berømt
689,fremd::A,túj,fremmed
690,verschieden::A,razlíčen,forskjellig
691,nah::A,blížnji,nær
692,fern::A,dáleč,fjern
693,linker::A,lévi,venstre
694,rechter::A,désni,høyre
695,anderer::A,drúgi,annen
696,erster::A,pŕvi,første
697,zweiter::A,drúgi,annen
698,dritter::A,trétji,tredje
699,letzter::A,poslédnji,sist
700,allein::ADV,sám,alene
701,auf einmal::ADV,obênem,med ett
702,zusammen::ADV,skúpaj,sammen
703,lange::ADV,dólgo,lenge
704,plötzlich::ADV,náglo,plutselig
705,plötzlich::ADV,nenádoma,plutselig
706,sofort::ADV,prècej,straks
707,später::ADV,poznêje,senere
708,jetzt::ADV,zdàj,nå
709,heute::ADV,dánes,i dag
710,morgen::ADV,jútri,i morgen
711,bald::ADV,kmálu,snart
712,dann::ADV,nató,så
713,gestern::ADV,včéraj,i går
714,einst::ADV,nékdaj,engang
715,damals::ADV,tedàj,den gang
716,damals::ADV,takràt,den gang
717,danach::ADV,potèm,deretter
718,vorher::ADV,poprèj,før
719,vorher::ADV,poprèj,i forveien
720,zuerst::ADV,spŕva,først
721,einmal::ADV,ênkrat,en gang
722,manchmal::ADV,včásih,somme tider
723,oft::ADV,pogósto,ofte
724,immer::ADV,védno,alltid
725,immer::ADV,zméraj,alltid
726,niemals::ADV,nikdàr,aldri
727,hier::ADV,tù,her
728,hier::ADV,túkaj,her
729,hierhin::ADV,sèmkaj,hit
730,von hier::ADV,od tú,herfra
731,dort::ADV,tàm,der
732,dorthin::ADV,tjà,dit
733,geradeaus::ADV,rávno napréj,rett fram
734,vorwärts::ADV,napréj,fram
735,vorwärts::ADV,napréj,framover
736,rückwärts::ADV,zádaj,baklengs
737,zurück::ADV,nazáj,tilbake
738,unten::ADV,dôli,nede
739,unten::ADV,spôdaj,nede
740,hinab::ADV,dôl,ned
741,hinab::ADV,dôl,nedover
742,oben::ADV,gôri,oppe
743,oben::ADV,gôri,ovenpå
744,oben::ADV,zgôraj,oppe
745,oben::ADV,zgôraj,ovenpå
746,hinauf::ADV,gôr,opp
747,hinauf::ADV,gôr,oppover
748,überall::ADV,povsód,overalt
749,nicht::ADV,ne,ikke
750,ein wenig::ADV,málo,litt
751,kaum::ADV,kómaj,neppe
752,sehr::ADV,zeló,svært
753,so::ADV,takó,så
754,noch::ADV,še,enda
755,nur::ADV,samó,bare
756,schon::ADV,žè,alt
757,schon::ADV,žè,allerede
758,wieder::ADV,spét,igjen
759,vergebens::ADV,zamàn,forgjeves
760,vergebens::ADV,zastónj,forgjeves
761,vor::PRP,pred,foran
762,vor::PRP,pred,utenfor
763,hinter::PRP,za,bak
764,hinter::PRP,za,bakom
765,unter::PRP,pod,under
766,durch::PRP,skózi,gjennom
767,durch::PRP,skózi,igjennom
768,neben::PRP,kràj,ved siden av
769,neben::PRP,póleg,ved siden av
770,zwischen::PRP,med,mellom
771,zwischen::PRP,izmed,mellom
772,wegen::PRP,zarádi,på grunn av
773,dies::PRN,tó,dette
774,das::PRN,tó,det
775,alles::PRN,vsè,alt
776,ich::PRN,jàz,jeg
777,du::PRN,tí,du
778,er::PRN,òn,han
779,wir::PRN,mí,vi
780,ihr::PRN,ví,dere
781,sie::PRN,ôni,de
782,was::FPRN,káj,hva
783,wer::FPRN,kdó,hvem
784,wo::FADV,kjé,hvor
785,wohin::FADV,kám,hvor ... hen
786,wie::FADV,kakó,hvordan
787,warum::FADV,zakáj,hvorfor
788,wieviel::FNUM,kóliko,hvor mye
789,eins::NUM,êden,en
790,eins::NUM,êden,ett
791,zwei::NUM,dvá,to
792,drei::NUM,trí,tre
793,vier::NUM,štíri,fire
794,fünf::NUM,pét,fem
795,sechs::NUM,šést,seks
796,sieben::NUM,sédem,sju
797,acht::NUM,ósem,åtte
798,neun::NUM,devét,ni
799,zehn::NUM,desét,ti
800,elf::NUM,enájst,elleve
801,zwölf::NUM,dvánajst,tolv
802,zwanzig::NUM,dvájset,tjue
803,dreißig::NUM,trídeset,tretti
804,vierzig::NUM,štírideset,førti
805,fünfzig::NUM,pétdeset,femti
806,sechzig::NUM,šéstdeset,seksti
807,siebzig::NUM,sédemdeset,sytti
808,achtzig::NUM,ósemdeset,åtti
809,neunzig::NUM,devétdeset,nitti
810,hundert::NUM,stó,hundre
811,tausend::NUM,tísoč,tusen
812,und::CNJ,in,og
813,oder::CNJ,áli,eller
814,stehen::V,státi,stå
815,sitzen::V,sedéti,sitte
816,liegen::V,ležáti,ligge
817,hängen::V,viséti,henge
818,werden::V,postáti,bli
819,passieren::V,zgodíti se,skje
820,passieren::V,zgodíti se,hende
821,beginnen::V,začéti se,begynne
822,enden::V,končáti se,ende
823,enden::V,končáti se,slutte
824,wechseln::V,ménjati se,veksle
825,aufgehen[Sonne]::V,vzíti,stå opp
826,untergehen[Sonne]::V,zaíti,gå ned
827,scheinen[Sonne]::V,sijáti,skinne
828,donnern::V,grméti,tordne
829,wehen::V,píhati,blåse
830,strömen::V,líti,strømme
831,fließen::V,têči,flyte
832,sich drehen::V,vrtéti se,dreie seg
833,schwanken::V,kolébati,svaie
834,schwingen::V,níhati,svinge
835,fallen::V,pádati,falle
836,brennen::V,goréti,brenne
