,Concept_ID,ta,lt
135,Tanne::N,சாதிக்கய்,kėnis
136,Horn::N,கொம்பு,ragas
137,Feder::N,இறகு,plunksna
138,Fell::N,மென்முடி,kailis
139,Flügel::N,இறக்கை,sparnas
140,Klaue::N,நகம்,kanopa
141,Kralle::N,நகம்,nagas
142,Schwanz::N,வால்,uodega
143,Ei::N,முட்டை,kiaušinis
144,Nest::N,கூடு,gūžta
145,Nest::N,கூடு,lizdas
146,Bau::N,குகை,ola
147,Tier::N,விலங்கு,gyvūnas
148,Herde::N,கூட்டம்,banda
149,Herde::N,கூட்டம்,kaimenė
150,Kuh::N,பசு,karvė
151,Bulle::N,காளை,bulius
152,Pferd::N,குதிரை,arklys
153,Schaf::N,செம்மறிஆடு,avis
154,Schwein::N,பன்றி,kiaulė
155,Hund::N,நாய்,šuo
156,Katze::N,பூனை,katė
157,Bär::N,கரடி,lokys
158,Eichhörnchen::N,அணில்,voveraitė
159,Elch::N,கடம்பை,briedis
160,Fuchs::N,நரி,lapė
161,Hase::N,முயல்,kiškas
162,Maus::N,எலி,pelė
163,Wolf::N,ஓநாய்,vilkas
164,Vogel::N,பறவை,paukštis
165,Schwarm::N,தொகுதி,spiečius
166,Huhn::N,கோழிக்குஞசு,višta
167,Hahn::N,சேவல்,gaidys
168,Gans::N,பெண் வாத்து,žąsis
169,Adler::N,பருநது,erelis
170,Ente::N,வாத்து,antis
171,Eule::N,ஆந்தை,pelėda
172,Kranich::N,நாரை,gervė
173,Krähe::N,காகம்,varna
174,Kuckuck::N,குயில்,gegužė
175,Schwan::N,அன்னம்,gulbė
176,Fisch::N,மீன்,žuvis
177,Barsch::N,பேர்ச்,ešerys
178,Hecht::N,கோலாச்சி மீன்,lydeka
179,Schlange[Tier]::N,பாம்பு,gyvatė
180,Wurm::N,புழு,kirmėlė
181,Spinne::N,சிலந்தி,voras
182,Ameise::N,எறும்பு,skruzdė
183,Laus::N,பேன்,utėlė
184,Mücke::N,கொசுவினப்பூச்சி,uodas
185,Fliege::N,ஈ,musė
186,Schmetterling::N,வண்ணத்துப்பூச்சி,drugys
187,Schmetterling::N,வண்ணத்துப்பூச்சி,peteliškė
188,Beere::N,சதைப்பழம்,uoga
189,Apfel::N,ஆப்பிள பழம்,obuolys
190,Pilz::N,காளான்,grybas
191,Zwiebel::N,வெங்காயம்,svogūnas
192,Saat::N,விதை,sėkla
193,Korn::N,தானியம்,grūdai
194,Heu::N,வைக்கோல்,šienas
195,Schale::N,தோல்,žievelė
196,Grube::N,குழி,duobė
197,Falle::N,பொறி,pinklės
198,Falle::N,பொறி,žabangai
199,Schlinge::N,கண்ணி,kilpa
200,Spur::N,சுவடு,vėžė
201,Spur::N,சுவடு,pėdos
202,Spur::N,சுவடு,pėdsakas
203,Asche::N,சாம்பல்,pelenai
204,Dreck::N,அழுக்கு,purvas
205,Eisen::N,இரும்பு,geležis
206,Gold::N,தங்கம்,auksas
207,Silber::N,வெள்ளி,sidabras
208,Kohle::N,நிலக்கரி,anglis
209,Glas::N,கண்ணாடி,stiklas
210,Lehm::N,களிமண்,molis
211,Sand::N,மணல்,smėlis
212,Mensch::N,மனிதர்கள்,žmogus
213,Mann::N,மனிதன்,vyras
214,Mann::N,மனிதன்,vyriškis
215,Frau::N,பெண்,moteris
216,Kind::N,குழந்தை,vaikas
217,Junge::N,பையன்,vaikinas
218,Junge::N,பையன்,berniukas
219,Mädchen::N,சிறுமி,mergytė
220,Mädchen::N,சிறுமி,mergaitė
221,Familie::N,குடும்பம்,šeima
222,Großvater::N,தாத்தா,senelis
223,Großmutter::N,பாட்டி,senelė
224,Eltern::N,பெற்றோர்,tėvai
225,Vater::N,தந்தை,tėvas
226,Mutter::N,தாய்,motina
227,Sohn::N,மகன்,sūnus
228,Tochter::N,மகள்,duktė
229,Bruder::N,சகோதரன்,brolis
230,Schwester::N,அக்கா,sesuo
231,Onkel::N,தாய் மாமன்,dėdė
232,Tante::N,அத்தை,teta
233,Ehemann::N,கணவன்,vyras
234,Ehefrau::N,மனைவி,žmona
235,Freude::N,கொண்டாட்டம்,džiaugsmas
236,Gelächter::N,சிரிப்பு,juokas
237,Glück::N,மகிழ்ச்சி,laimė
238,Kummer::N,துயரம்,vargas
239,Kummer::N,துயரம்,rūpestis
240,Wunsch::N,விருப்பம்,troškimas
241,Wunsch::N,விருப்பம்,pageidavimas
242,Lust::N,விருப்பம்,noras
243,Lust::N,விருப்பம்,geidulys
244,Geist::N,ஆன்மா,dvasia
245,Gedanke::N,எண்ணம்,mintis
246,Gedächtnis::N,ஞாபகம்,atmintis
247,Verstand::N,மனம்,protas
248,Sinn::N,அர்த்தம்,prasmė
249,Grund::N,காரணம்,priežastis
250,Wahrheit::N,உண்நை,tiesa
251,Wahrheit::N,உண்நை,teisybė
252,Gespräch::N,பெசு,pokalbis
253,Märchen::N,நம்பத்தகாத கதை,pasaka
254,Erzählung::N,கதை,apsakymas
255,Erzählung::N,கதை,pasakojimas
256,Nachricht::N,செய்தி,žinia
257,Neuigkeit::N,செய்தி,naujiena
258,Name::N,பெயர்,vardas
259,Rätsel::N,புதிர்,mįslė
260,Rede::N,பேச்சு,kalba
261,Sprache::N,மொழி,kalba
262,Stimme::N,குரல்,balsas
263,Wort::N,வார்த்தை,žodis
264,Zeichen::N,குறி,žymė
265,Zeichen::N,குறி,ženklas
266,Ruf::N,அழைப்பு,šauksmas
267,Lärm::N,சத்தம்,triukšmas
268,Laut::N,ஒலி,garsas
269,Ton::N,குரல்,tonas
270,Ton::N,குரல்,garsas
271,Lied::N,பாட்டு,daina
272,Lied::N,பாட்டு,giesmė
273,Ruhe::N,அமைதி,ramybė
274,Ruhe::N,அமைதி,ramumas
275,Leute::N,மக்கள்,žmonės
276,Volk::N,மக்கள்,tauta
277,Arbeit::N,வேலை,darbas
278,Arbeit::N,வேலை,triūsas
279,Gast::N,விருந்தாளி,svečias
280,Geschenk::N,பரிசுப் பொருள்,dovana
281,Spiel::N,விளையாட்டு,žaismas
282,Spiel::N,விளையாட்டு,žaidimas
283,Gesellschaft::N,சமுதாயம்,draugija
284,Gesellschaft::N,சமுதாயம்,kompanija
285,Hilfe::N,உதவி,pagalba
286,Freund::N,நண்பன்,draugas
287,Freund::N,நண்பன்,bičiulis
288,Kamerad::N,உடனிருப்பவன்,draugas
289,Angelegenheit::N,செய்தி,dalykas
290,Angelegenheit::N,செய்தி,reikalas
291,Anzahl::N,எண்ணிக்கை,kiekis
292,Anzahl::N,எண்ணிக்கை,skaičius
293,Art::N,வகை,rūšis
294,Stück::N,துண்டம்,gabalas
295,Teil::N,பகுதி,dalis
296,Hälfte::N,பாதி,pusė
297,Kreis::N,வட்டம்,ratas
298,Kreis::N,வட்டம்,apskritis
299,Kreis::N,வட்டம்,apskritimas
300,Kreuz::N,சிலுவை,kryžius
301,Linie::N,கோடு,linija
302,Strich::N,வாத நோய்,brėžis
303,Strich::N,வாத நோய்,brūkšnys
304,Abstand::N,இடைவெளி,atstumas
305,Entfernung::N,தூரம்,atstumas
306,Gegend::N,வட்டாரம்,vietovė
307,Platz::N,வெற்றிடம்,vieta
308,Ort::N,இடம்,vieta
309,Ort::N,இடம்,vietovė
310,Seite::N,பக்கம்,pusė
311,Seite::N,பக்கம்,šonas
312,Mitte::N,இடைப்பகுதி,vidurys
313,Gegenstand::N,உருப்படி,dalykas
314,Sache::N,பொருள்,daiktas
315,Rand::N,தொங்கு,kraštas
316,Rand::N,தொங்கு,pakraštys
317,Kante::N,விளிம்பு,kraštas
318,Ecke::N,மூலை,kertė
319,Ecke::N,மூலை,kampas
320,Spitze::N,முனை,priekis
321,Spitze::N,முனை,priešakys
322,Ende::N,முடிவு,galas
323,Loch::N,துளை,skylė
324,Winkel::N,கோணம்,kampas
325,Winkel::N,கோணம்,kampelis
326,Muster::N,பாங்கு,raštas
327,Größe::N,அளவு,dydis
328,Größe::N,அளவு,didumas
329,Länge::N,நீளம்,ilgis
330,Länge::N,நீளம்,ilgumas
331,Höhe::N,உயரம்,aukštis
332,Höhe::N,உயரம்,aukštuma
333,Gewicht::N,எடை,svoris
334,Gewicht::N,எடை,svarstis
335,Menge::N,தொகை,kiekis
336,Menge::N,தொகை,daugybė
337,Haufen::N,குவியல்,krūva
338,Haufen::N,குவியல்,šūsnis
339,Reihe::N,வரிசை,greta
340,Boot::N,படகு,valtis
341,Boot::N,படகு,laivelis
342,Ruder::N,துடுப்பு,irklas
343,Schlitten::N,சகடையிலா வண்டி,rogės
344,Schlitten::N,சகடையிலா வண்டி,rogutės
345,Ski::N,பனிச் சறுக்கல்,slidė
346,Lagerfeuer::N,மூட்டம்,laužas
347,Last::N,பாரம்,našta
348,Last::N,பாரம்,nešulys
349,Gang::N,நடை,eisena
350,Schritt::N,காலடி,žingsnis
351,Norden::N,வடக்கு,šiaurė
352,Norden::N,வடக்கு,žiemiai
353,Süden::N,தெற்கு,pietūs
354,Westen::N,மேற்கு திசை,vakarai
355,Osten::N,கிழக்கு,rytai
356,Holz::N,மரக்கட்டை,mediena
357,Brett::N,பலகை,lenta
358,Platte::N,பலகம்,plokštė
359,Stütze::N,அடைப்புகன்,atrama
360,Stütze::N,அடைப்புகன்,atspara
361,Stange::N,கம்பம்,lazda
362,Stange::N,கம்பம்,kartis
363,Stock::N,குச்சி,lazda
364,Stab::N,கம்பு,kartis
365,Rohr::N,குழாய்,vamzdis
366,Haus::N,வீடு,namas
367,Heim::N,வீடு,namai
368,Ofen::N,அடுப்பு,krosnis
369,Fußboden::N,தரை,grindys
370,Tisch::N,மேசை,stalas
371,Stuhl::N,நாற்காலி,kėdė
372,Wiege::N,தொட்டில்,lopšys
373,Bett::N,படுக்கை,lova
374,Bett::N,படுக்கை,patalai
375,Regal::N,அலமாரி,lentyna
376,Kiste::N,பெட்டி,dėžė
377,Fenster::N,சாளரம்,langas
378,Tür::N,கதவு,durys
379,Tor::N,வாசற்கதவு,vartai
380,Zaun::N,வேலி,tvora
381,Dach::N,கூரை,stogas
382,Leiter::N,ஏணி,kopėčios
383,Besen::N,விளக்குமாறு,šluota
384,Spaten::N,மண்வெட்டி,lopeta
385,Spaten::N,மண்வெட்டி,kastuvas
386,Schaufel::N,அடிதண்டா,semtuvas
387,Gabel::N,முட்கரண்டி,šakutė
388,Löffel::N,கரண்டி,šaukštas
389,Messer::N,கத்தி,peilis
390,Nagel::N,ஆணி,vinis
391,Netz::N,வலை,tinklas
392,Haken::N,கொக்கி,vagis
393,Haken::N,கொக்கி,kablys
394,Griff::N,கைப்பிடி,kotas
395,Griff::N,கைப்பிடி,rankena
396,Schloss::N,பூட்டு,spyna
397,Schloss::N,பூட்டு,užraktas
398,Bild::N,படம்,paveikslas
399,Figur::N,எண்ணிக்கை,figūra
400,Puppe::N,பொம்மை,lėlė
401,Beutel::N,பை,krepšys
402,Beutel::N,பை,maišelis
403,Bündel::N,பொதி,ryšulys
404,Tasche::N,பை,krepšelis
405,Eimer::N,வாளி,kibiras
406,Deckel::N,உறை,dangtis
407,Geschirr::N,பாத்திரம்,indai
408,Sack::N,பை,maišas
409,Tasse::N,கிண்ணம்,puodukas
410,Topf::N,பானை,puodas
411,Kessel::N,கெண்டி,katilas
412,Essen::N,உணவருந்துதல்,valgis
413,Nahrung::N,உணவு,penas
414,Nahrung::N,உணவு,maistas
415,Speise::N,உணவு வகை,patiekalas
416,Fleisch::N,இறைச்சி,mėsa
417,Getreide::N,மக்காச்சோளம்,javai
418,Brei::N,கஞ்சி,košė
419,Brot::N,ரொட்டி,duona
420,Scheibe::N,துண்டு,riekė
421,Fett::N,கொழுப்பு,taukai
422,Fett::N,கொழுப்பு,riebalai
423,Butter::N,வெண்ணெய்,sviestas
424,Öl::N,எண்ணெய்,aliejus
425,Salz::N,உப்பு,druska
426,Suppe::N,ரசம்,sriuba
427,Honig::N,தேன்,medus
428,Milch::N,பால்,pienas
429,Tee::N,தெனீர்,arbata
430,Leder::N,பதம் செய்யப்பட்ட தோல்,oda
431,Wolle::N,கம்பளி,vilna
432,Stoff::N,துணி,audeklas
433,Nadel::N,ஊசி,adata
434,Faden::N,நூல்,gija
435,Faden::N,நூல்,siūlas
436,Knopf::N,பொத்தான்,saga
437,Knoten::N,முடிச்சு,mazgas
438,Farbe::N,வண்ணக் குழம்பு,dažai
439,Kleidung::N,ஆடைகள்,rūbai
440,Kleidung::N,ஆடைகள்,drabužiai
441,Hemd::N,சட்டை,marškiniai
442,Kragen::N,கழுத்துப் பட்டை,apykaklė
443,Ärmel::N,சட்டைக்கை,rankovė
444,Hose::N,கால்சட்டை,kelnės
445,Gürtel::N,பெல்ட்,juosta
446,Gürtel::N,பெல்ட்,diržas
447,Mütze::N,தொப்பி,kepurė
448,Schuh::N,காலணி,batas
449,Stiefel::N,காலணி,auliniai batai
450,Ring::N,மோதிரம்,žiedas
451,Band::N,நாடா,kaspinas
452,Kamm::N,கீப்பு,šukos
453,Spiegel::N,ஆடி,veidrodis
454,Spiegel::N,கண்ணாடி,veidrodis
455,Riemen::N,வார்,diržas
456,Schnur::N,கயிறு,virvė
457,Leine::N,தோல்வார்,pavadėlis
458,Decke::N,போர்வை,antklodė
459,Kissen::N,தலையணை,pagalvė
460,Kissen::N,தலையணை,priegalvis
461,Tuch::N,துணி,skarelė
462,Handtuch::N,தண்டு,rankšluostis
463,Kraft::N,நிர்பந்தம்,jėga
464,Stärke::N,பலம்,stiprumas
465,Gesundheit::N,ஆரோக்கியம்,sveikata
466,Krankheit::N,நோய்,liga
467,Schmerz::N,வலி,skausmas
468,Wunde::N,காயம்,žaizda
469,Fieber::N,காய்ச்சல்,karštis
470,Arznei::N,மருந்து,vaistas
471,Brücke::N,பாலம்,tiltas
472,Brunnen::N,கேணி,šulinys
473,Weide::N,மேய்ச்சல் நிலம்,ganykla
474,Weide::N,மேய்ச்சல் நிலம்,gluosnis
475,Pfad::N,நடை வழி,takas
476,Weg::N,வழி,kelias
477,Straße::N,சாலை,gatvė
478,Dorf::N,கிராமம்,kaimas
479,Dorf::N,கிராமம்,sodžius
480,Stadt::N,நகரம்,miestas
481,Brief::N,கடிதம்,laiškas
482,Buch::N,புத்தகம்,knyga
483,Buchstabe::N,எழத்து,raidė
484,Zeitung::N,செய்தித்தாள்,laikraštis
485,Leben::N,வாழ்க்கை,gyvybė
486,Leben::N,வாழ்க்கை,gyvenimas
487,Tod::N,மரணம்,mirtis
488,Grab::N,சமாதி,kapas
489,Kirche::N,தேவாலயம்,bažnyčia
490,Sünde::N,பாவம்,nuodėmė
491,Sünde::N,பாவம்,nusidėjimas
492,Gott::N,கடவுள்,dievas
493,Arbeiter::N,தொழிலாளி,darbininkas
494,Chef::N,மேலாளர்,šefas
495,Chef::N,மேலாளர்,vadovas
496,Chef::N,மேலாளர்,viršininkas
497,Meister::N,தலைவன்,meistras
498,Arzt::N,மருத்துவர்,gydytojas
499,Lehrer::N,ஆசிரியர்,mokytojas
500,Geld::N,பணம்,pinigai
501,Geschäft::N,வாணிபம்,biznis
502,Laden::N,கடை,krautuvė
503,Laden::N,கடை,parduotuvė
504,Preis::N,விலை,kaina
505,Ware::N,சாமன்கள்,prekė
506,Nutzen::N,இலாபம்,nauda
507,Nutzen::N,இலாபம்,pelnas
508,Reichtum::N,சொத்து,turtas
509,Welt::N,உலகம்,pasaulis
510,Land::N,நாடு,žemė
511,Land::N,நாடு,šalis
512,Staat::N,நாடு,valstija
513,König::N,அரசன்,karalius
514,Macht::N,அதிகாரம்,galia
515,Macht::N,அதிகாரம்,valdžia
516,Grenze::N,எல்லை,riba
517,Grenze::N,எல்லை,siena
518,Krieg::N,போர்,karas
519,Feind::N,எதிரி,priešas
520,Gewalt::N,வன்முறை,jėga
521,Gewalt::N,வன்முறை,smurtas
522,Gewalt::N,வன்முறை,prievarta
523,Kampf::N,போராட்டம்,kova
524,Bogen[Waffe]::N,வில்,lankas
525,Pfeil::N,அம்பு,strėlė
526,Gewehr::N,துப்பாக்கி,šautuvas
527,Fehler::N,தவறு,klaida
528,Lüge::N,பொய்,melas
529,Schaden::N,சேதாரம்,nuostolis
530,Schaden::N,சேதாரம்,apgadinimas
531,Unglück::N,இடையூறு,nelaimė
532,Schuld::N,குற்றம்,kaltė
533,Alter::N,வயது,amžius
534,Schluss::N,முடிவு,pabaiga
535,Zeit::N,காலம்,laikas
536,Tag::N,நாள்,diena
537,Morgen::N,காலை நேரம்,rytas
538,Mittag::N,மதியம்,vidurdienis
539,Abend::N,மாலைப் பொழுது,vakaras
540,Nacht::N,இரவு,naktis
541,Woche::N,வாரம்,savaitė
542,Monat::N,மாதம்,mėnuo
543,Jahr::N,வருடம்,metai
544,Frühling::N,வசந்தம்,pavasaris
545,Sommer::N,கோடை,vasara
546,Herbst::N,இலையுதிர் காலம்,ruduo
547,Winter::N,குளிர்காலம்,žiema
548,Januar::N,ஜனவரி,sausis
549,Februar::N,பிபரவரி மாதம்,vasaris
550,März::N,மார்ச் மாதம்,kovas
551,April::N,ஏப்ரல் மாதம்,balandis
552,Mai::N,மே மாதம்,gegužė
553,Juni::N,ஜூன் மாதம்,birželis
554,Juli::N,ஜூலை மாதம்,liepa
555,August::N,ஆகஸ்ட் மாதம்,rugpjūtis
556,September::N,செப்டம்பர் மாதம்,rugsėjis
557,Oktober::N,அக்டோபர் மாதம்,spalis
558,November::N,நவம்பர் மாதம்,lapkritis
559,Dezember::N,டிசம்பர்,gruodis
560,Montag::N,திங்கட் கிழமை,pirmadienis
561,Dienstag::N,செவ்வாய்க்கிழமை,antradienis
562,Mittwoch::N,புதன் கிழமை,trečiadienis
563,Donnerstag::N,வியாழக் கிழமை,ketvirtadienis
564,Freitag::N,வெள்ளிக்கிழமை,penktadienis
565,Samstag::N,சனிக்கிழமை,šeštadienis
566,Sonntag::N,ஞாயிறுக் கிழமை,sekmadienis
567,groß::A,பெரிய,didis
568,groß::A,பெரிய,didelis
569,klein::A,சிறிய,mažas
570,lang::A,நீண்ட,ilgas
571,kurz::A,குட்டையான,trumpas
572,breit::A,அகலமான,platus
573,schmal::A,குறுகலான,smulkus
574,dicht::A,அடர்த்தியான,tankus
575,dick[Gegenstand]::A,தடித்த,storas
576,dünn::A,சன்னமான,plonas
577,fein::A,மெல்லிய,smulkus
578,fest::A,உறுதியாள,kietas
579,fest::A,உறுதியாள,tvirtas
580,flach::A,தட்டையான,lėkštas
581,flach::A,தட்டையான,plokščias
582,glatt::A,வழுவழுப்பான,slidus
583,hart::A,கடினமான,kietas
584,weich::A,மென்மையான,minkštas
585,rund::A,உருண்டையான,apvalus
586,rund::A,உருண்டையான,apskritas
587,spitz::A,திகந்தமாக,aštrus
588,spitz::A,திகந்தமாக,smailus
589,scharf::A,கூரான,aštrus
590,stumpf::A,உளம் திறந்த,bukas
591,stumpf::A,உளம் திறந்த,atšipęs
592,schwer::A,கனமான,sunkus
593,schön::A,அழகான,gražus
594,heiß::A,சூடான,karštas
595,warm::A,இதமான,šiltas
596,kalt::A,குளிர்ச்சியான,šaltas
597,kühl::A,குளிர்ச்சியான,vėsus
598,kühl::A,குளிர்ச்சியான,bejausmis
599,frisch::A,சுத்தமான,šviežias
600,feucht::A,ஈரமான,drėgnas
601,nass::A,ஈரமான,šlapias
602,trocken::A,உலர்ந்த,sausas
603,voll::A,நிரம்பிய,pilnas
604,leer::A,காலியான,tuščias
605,offen::A,திறந்த,atviras
606,geschlossen::A,மூடப்பட்ட,uždaras
607,geschlossen::A,மூடப்பட்ட,uždarytas
608,sauber::A,சுத்தமான,švarus
609,schmutzig::A,அழக்கான,nešvarus
610,schmutzig::A,அழக்கான,purvinas
611,roh::A,கச்சா,žalias
612,reif::A,பழுத்த,prinokęs
613,reif::A,பழுத்த,pribrendęs
614,lecker::A,சுவைமிக்க,gardus
615,süß::A,இனிப்பான,saldus
616,bitter::A,கசப்பான,kartus
617,sauer::A,புளிப்பாக,gižus
618,sauer::A,புளிப்பாக,rūgštus
619,hell::A,பளபளப்பான,šviesus
620,hell::A,பளபளப்பான,skaistus
621,dunkel::A,கருமையான,tamsus
622,schwarz::A,கருப்பு வண்ண,juodas
623,weiß::A,வெண்மையன,baltas
624,rot::A,சிவப்பு,raudonas
625,gelb::A,மஞ்சள் வண்ணம்,geltonas
626,blau::A,நீல வண்ண,mėlynas
627,grün::A,பச்சை வண்ண,žalias
628,grau::A,சாம்பல் நிற,pilkas
629,bunt::A,வண்ண மயமான,margas
630,bunt::A,வண்ண மயமான,spalvotas
631,billig::A,மலிவான,pigus
632,teuer::A,விலை அதிகமான,brangus
633,wertvoll::A,மதிப்புள்ள,vertingas
634,blind::A,பார்வையற்ற,aklas
635,taub::A,செவிடான,kurčias
636,kräftig::A,வலிமையான,stiprus
637,stark::A,பலமான,stiprus
638,schwach::A,பலவீனமான,silpnas
639,fett::A,பருமனாக,riebus
640,schlank::A,ஒல்லியான,laibas
641,schlank::A,ஒல்லியான,lieknas
642,hübsch::A,அழகிய,gražus
643,böse::A,கேடு விளைவிக்கும்,blogas
644,dumm::A,முட்டாள்தனமான,paikas
645,dumm::A,முட்டாள்தனமான,kvailas
646,faul::A,சோம்பலான,tingus
647,fleißig::A,ஊக்கந்தளராத,stropus
648,fleißig::A,ஊக்கந்தளராத,kruopštus
649,geizig::A,கஞேசத்தனமான,šykštus
650,klug::A,சாதுரியமான,sumanus
651,klug::A,சாதுரியமான,protingas
652,geschickt::A,திறமையள்ள,apsukrus
653,lieb::A,அன்புக்குரிய,mielas
654,lustig::A,களிப்புமிக்க,smagus
655,lustig::A,களிப்புமிக்க,linksmas
656,sanft::A,சாதுவான,švelnus
657,sanft::A,சாதுவான,minkštas
658,hungrig::A,பசியுடன்,alkanas
659,krank::A,நோயுற்று,ligotas
660,krank::A,நோயுற்று,sergantis
661,nackt::A,ஆடையற்ற,nuogas
662,traurig::A,சோகமான,liūdnas
663,lebendig::A,பிழைப்பு,gyvas
664,gut::A,நல்ல,geras
665,schlecht::A,கெட்ட,blogas
666,schlecht::A,கெட்ட,prastas
667,richtig::A,சரியான,tikras
668,richtig::A,சரியான,teisingas
669,schlimm::A,அருவருப்பான,blogas
670,schlimm::A,அருவருப்பான,prastas
671,wahr::A,உண்மையான,tikras
672,alt::A,பழைய,senas
673,neu::A,புதிய,naujas
674,ehemalig::A,முன்நாள்,buvęs
