,Concept_ID,ga,ko
1036,fliehen::V,teith,도망치다
1037,flüchten::V,éalaigh,도주하다
1038,sehen::V,feic,보다
1039,anschauen::V,dearc,바라보다
1040,anschauen::V,féach ar,바라보다
1041,ansehen::V,breathnaigh,바라보다
1042,hören::V,cluin,듣다
1043,zuhören::V,éist,듣다
1044,probieren::V,bliais,시식하다
1045,riechen::V,bolaigh,내새를맡다
1046,fühlen::V,braith,느끼다
1047,fühlen::V,mothaigh,느끼다
1048,scheinen::V,tá an chuma ar,...것같다
1049,zu sehen sein::V,tá le feiceáil,보이는
1050,vernehmen::V,clois,듣다
1051,vernehmen::V,clois,들어서일다
1052,frieren::V,tá fuar,춥다
1053,tun::V,déan,하다
1054,können::V,féad,할주릴다
1055,können::V,is féidir le,할주릴다
1056,wollen::V,tá ag iarraidh,바라다
1057,anfangen::V,tosaigh,시작하다
1058,anfangen::V,cuir tús le,시작하다
1059,beenden::V,críochnaigh,다하다
1060,beenden::V,cuir deireadh le,다하다
1061,aufhören::V,stad,그만두다
1062,gelingen::V,éirigh le,성국하다
1063,geraten::V,tá deireadh ar,잘되어가다
1064,öffnen::V,oscail,열다
1065,schließen::V,dún,추측하다
1066,schließen::V,iaigh,추측하다
1067,stellen::V,cuir,세우다
1068,setzen::V,cuir,놓다
1069,setzen::V,socraigh,놓다
1070,legen::V,cuir,눕히다
1071,berühren::V,teagmhaigh le,대다
1072,verbinden::V,ceangail,옝열하다
1073,bedecken::V,clúdaigh,덮다
1074,bedecken::V,cumhdaigh,덮다
1075,aufhängen::V,croch,매달다
1076,anzünden::V,las,점화하다
1077,anzünden::V,adhain,점화하다
1078,aufheben::V,tóg,위로올리다
1079,aufheben::V,ardaigh,위로올리다
1080,zurücklassen::V,fág,튀에남기다
1081,verlieren::V,caill,잃다
1082,fallen lassen::V,lig uait,떨어뜨리다
1083,fallen lassen::V,caith uait,떨어뜨리다
1084,machen::V,déan,하다
1085,machen::V,réitigh,하다
1086,herstellen::V,táirg,제조하다
1087,bauen::V,tóg,짓다
1088,reparieren::V,deisigh,수셩자다
1089,verbessern::V,feabhsaigh,정정하다
1090,ändern::V,athraigh,바꾸다
1091,graben::V,tochail,파다
1092,beugen::V,crom,구부리다
1093,biegen::V,lúb,굽히다
1094,drehen::V,cas,회전
1095,wenden::V,tiontaigh,회전시키다
1096,umdrehen::V,iompaigh,회전시키다
1097,umdrehen::V,tiontaigh,회전시키다
1098,heben::V,ardaigh,일으아키다
1099,hochheben::V,tóg,틀어올리다
1100,ergreifen::V,beir ar,잡다
1101,halten::V,coimeád,잡다
1102,halten::V,coinnigh,잡다
1103,drücken::V,brúigh,누르다
1104,schieben::V,brúigh,밀다
1105,kratzen::V,scríob,긁다
1106,lecken::V,ligh,핥다
1107,lecken::V,leadhb,핥다
1108,beißen::V,bain greim as,물다
1109,abreißen::V,stróic,
1110,abreißen::V,tarraing,
1111,abschneiden::V,scoith,귾어내다
1112,binden::V,ceangail,매다
1113,stecken::V,sáigh,찌르다
1114,brechen::V,bris,금
1115,klopfen::V,cnag,치다
1116,hauen::V,buail,때리다
1117,kleben::V,gliúáil,들러붙다
1118,reiben::V,cuimil,문지르다
1119,streichen::V,leath,쓰다듬다
1120,schleifen::V,líomh,갈다
1121,schneiden::V,gearr,베다
1122,rütteln::V,croith,흔들다
1123,schütteln::V,croith,흔들다
1124,schwenken::V,luasc,흔들다
1125,schütten::V,doirt,따르다
1126,füllen::V,líon,담다
1127,einwickeln::V,cuach,싸다
1128,einwickeln::V,clúdaigh,싸다
1129,tragen::V,iompair,지우다
1130,schleppen::V,tarraing,끌다
1131,ziehen::V,tarraing,당기다
1132,aufbewahren::V,coinnigh,간직하다
1133,werfen::V,caith,던지다
1134,fangen::V,ceap,밥다
1135,packen::V,beir ar,쥐다
1136,verstecken::V,folaigh,숨기다
1137,verstecken::V,cuir i bhfolach,숨기다
1138,teilen::V,roinn,나누다
1139,schicken::V,seol,보내다
1140,bringen::V,beir,가겨
1141,bringen::V,tabhair,가겨
1142,hinzufügen::V,cuir le,부가하다
1143,bekommen::V,faigh,얻다
1144,erhalten::V,faigh,지니다
1145,nehmen::V,tóg,잡다
1146,nehmen::V,glac,잡다
1147,wählen::V,pioc,선거하다
1148,wählen::V,roghnaigh,선거하다
1149,auswählen::V,roghnaigh,선출하다
1150,bewahren::V,caomhnaigh,저장보종
1151,behindern::V,cuir bac ar,훼방하다
1152,verderben::V,mill,못쓰게 되다
1153,beschädigen::V,loit,상하게하다
1154,beschädigen::V,déan damáiste do,상하게하다
1155,zerbrechen::V,bris,깨뜨리다
1156,zerreißen::V,stiall,잡아쫓다
1157,zerstören::V,mill,파괴하다
1158,zerstören::V,scrios,파괴하다
1159,verbrennen::V,las,소실하다
1160,verbrennen::V,dóigh,소실하다
1161,geben::V,tabhair,주다
1162,reichen::V,sín,내일다
1163,reichen::V,cuir,내일다
1164,schenken::V,bronn,주다
1165,schenken::V,tabhair,주다
1166,versprechen::V,geall,약속하다
1167,wünschen::V,guigh,바라다
1168,loben::V,mol,칭찬하다
1169,küssen::V,póg,키스하다
1170,wiegen::V,bog,어르다
1171,wiegen::V,luasc,어르다
1172,zudecken::V,clúdaigh,뚜꺼을하다
1173,wecken::V,dúisigh,깨우다
1174,zeigen::V,taispeáin,보이다
1175,führen::V,treoraigh,가게하다
1176,lehren::V,múin,가르치다
1177,lehren::V,teagasc,가르치다
1178,unterrichten::V,múin,가르지다
1179,unterrichten::V,teagasc,가르지다
1180,aufziehen::V,tóg,사육하다
1181,leiten::V,tá i gceannas ar,이끌다
1182,antreiben::V,gríosaigh,몰다
1183,lassen::V,cuir ag,내버려두다
1184,einladen::V,cuir cuireadh ar,초청하다
1185,vereinigen::V,aontaigh,하나로하다
1186,besuchen::V,tabhair cuairt ar,방문하다
1187,treffen::V,cas ar,만나다
1188,treffen::V,buail le,만나다
1189,sich versammeln::V,bailigh,조립하다
1190,sich versammeln::V,cruinnigh,조립하다
1191,spielen::V,imir,눌다
1192,spielen::V,tá ag spraoi,눌다
1193,singen::V,can,노래하다
1194,tanzen::V,rinc,춤추하다
1195,tanzen::V,damhsaigh,춤추하다
1196,sich trennen::V,scar,가르다
1197,verlassen::V,fág,버림받은
1198,retten::V,tarrtháil,구조하다
1199,bewachen::V,cosain,치키다
1200,bewachen::V,gardáil,치키다
1201,schützen::V,cosain,보호하다
1202,verteidigen::V,cosain,막다
1203,sich schlagen::V,tá ag bruíon,치다
1204,schießen::V,caith,쏘다
1205,schießen::V,scaoil,쏘다
1206,siegen::V,bain,이기다
1207,siegen::V,buaigh,이기다
1208,ärgern::V,cuir isteach ar,성을내게하다
1209,schlagen::V,buail,치다
1210,treten::V,ciceáil,디디다
1211,stechen::V,sáigh,찌르다
1212,stoßen::V,brúigh,찌르다
1213,stoßen::V,soncáil,찌르다
1214,stehlen::V,goid,훔치다
1215,stören::V,cuir isteach ar,움직이다
1216,belästigen::V,cuir as do,괴롭히다
1217,verbergen::V,ceil,숨기다
1218,täuschen::V,cuir dallamullóg ar,속이다
1219,betrügen::V,déan calaois ar,속이다
1220,töten::V,maraigh,죽이다
1221,wohnen::V,cuir faoi,실다
1222,wohnen::V,tá ina chónaí,실다
1223,arbeiten::V,oibrigh,일하다
1224,sammeln::V,bailigh,모으다
1225,sammeln::V,cruinnigh,모으다
1226,pflücken::V,pioc,꿔다
1227,jagen::V,seilg,사냥하다
1228,fischen::V,iasc,고기를잡다
1229,fassen::V,beir ar,움켜쥐다
1230,hüten::V,aoirigh,망보다
1231,treiben::V,seol,몰아세우다
1232,treiben::V,tiomáin,몰아세우다
1233,anbinden::V,ceangail,묶다
1234,füttern::V,cothaigh,사료를주다
