,Concept_ID,en,sk
490,Tod::N,death,smrť
491,Grab::N,grave,hrob
492,Kirche::N,church,kostol
493,Sünde::N,sin,hriech
494,Gott::N,god,boh
495,Arbeiter::N,worker,robotník
496,Arbeiter::N,worker,pracnovík
497,Chef::N,boss,šéf
498,Chef::N,boss,riaditeľ
499,Meister::N,master,majster
500,Arzt::N,doctor,lekár
501,Lehrer::N,teacher,učiteľ
502,Geld::N,money,peniaze
503,Geschäft::N,business,obchod
504,Laden::N,shop,obchod
505,Preis::N,price,cena
506,Ware::N,ware,tovar
507,Nutzen::N,profit,osoh
508,Nutzen::N,profit,úžitok
509,Reichtum::N,wealth,bohatstvo
510,Welt::N,world,svet
511,Land::N,country,územie
512,Land::N,country,krajina
513,Staat::N,state,štát
514,König::N,king,kráľ
515,Macht::N,power,moc
516,Macht::N,power,mocnosť
517,Grenze::N,border,hranica
518,Krieg::N,war,vojna
519,Feind::N,enemy,nepriateľ
520,Gewalt::N,violence,násilie
521,Kampf::N,fight,boj
522,Bogen[Waffe]::N,bow,luk
523,Pfeil::N,arrow,šíp
524,Pfeil::N,arrow,strela
525,Gewehr::N,gun,puška
526,Fehler::N,mistake,omyl
527,Fehler::N,mistake,chyba
528,Lüge::N,lie,lož
529,Schaden::N,damage,ujma
530,Schaden::N,damage,škoda
531,Unglück::N,misfortune,nešťastie
532,Schuld::N,fault,vina
533,Schuld::N,fault,previnenie
534,Alter::N,age,vek
535,Schluss::N,conclusion,záver
536,Schluss::N,conclusion,koniec
537,Zeit::N,time,čas
538,Tag::N,day,deň
539,Morgen::N,morning,ráno
540,Mittag::N,noon,poludnie
541,Abend::N,evening,večer
542,Nacht::N,night,noc
543,Woche::N,week,týždeň
544,Monat::N,month,mesiac
545,Jahr::N,year,rok
546,Frühling::N,spring,jar
547,Sommer::N,summer,leto
548,Herbst::N,autumn,jeseň
549,Winter::N,winter,zima
550,Januar::N,January,január
551,Februar::N,February,február
552,März::N,March,marec
553,April::N,April,apríl
554,Mai::N,May,máj
555,Juni::N,June,jún
556,Juli::N,July,júl
557,August::N,August,august
558,September::N,September,september
559,Oktober::N,October,október
560,November::N,November,november
561,Dezember::N,December,december
562,Montag::N,Monday,pondelok
563,Dienstag::N,Tuesday,utorok
564,Mittwoch::N,Wednesday,streda
565,Donnerstag::N,Thursday,štvrtok
566,Freitag::N,Friday,piatok
567,Samstag::N,Saturday,sobota
568,Sonntag::N,Sunday,nedeľa
569,groß::A,big,veľký
570,klein::A,little,malý
571,lang::A,long,dlhý
572,kurz::A,short,krátky
573,breit::A,wide,široký
574,schmal::A,narrow,úzky
575,dicht::A,dense,hustý
576,dick[Gegenstand]::A,thick,tlstý
577,dünn::A,thin,tenký
578,fein::A,delicate,jemný
579,fest::A,firm,pevný
580,flach::A,flat,rovný
581,flach::A,flat,plochý
582,glatt::A,smooth,hladký
583,hart::A,hard,tvrdý
584,weich::A,soft,mäkký
585,rund::A,round,guľatý
586,rund::A,round,okrúhly
587,spitz::A,pointed,končitý
588,scharf::A,sharp,ostrý
589,stumpf::A,blunt,tupý
590,schwer::A,heavy,ťažký
591,schön::A,beautiful,pekný
592,schön::A,beautiful,krásny
593,heiß::A,hot,horúci
594,warm::A,warm,teplý
595,kalt::A,cold,studený
596,kühl::A,cool,chladný
597,frisch::A,fresh,svieži
598,feucht::A,damp,vlhký
599,feucht::A,damp,zvlhnutý
600,nass::A,wet,mokrý
601,trocken::A,dry,suchý
602,voll::A,full,plný
603,leer::A,empty,prázdny
604,offen::A,open,otvorený
605,geschlossen::A,closed,zavretý
606,sauber::A,clean,čistý
607,schmutzig::A,dirty,špinavý
608,roh::A,raw,surový
609,reif::A,ripe,zrelý
610,lecker::A,delicious,chutný
611,süß::A,sweet,sladký
612,bitter::A,bitter,horký
613,sauer::A,sour,kyslý
614,hell::A,bright,jasný
615,hell::A,bright,svetlý
616,dunkel::A,dark,temný
617,schwarz::A,black,čierny
618,weiß::A,white,biely
619,rot::A,red,červený
620,gelb::A,yellow,žltý
621,blau::A,blue,modrý
622,blau::A,blue,belasý
623,grün::A,green,zelený
624,grau::A,grey,šedý
625,bunt::A,colourful,pestrý
626,bunt::A,colorful,pestrý
627,billig::A,cheap,lacný
628,teuer::A,dear,drahý
629,wertvoll::A,precious,cenný
630,blind::A,blind,slepý
