,Concept_ID,kn,ja
66,Stein::N,ಕಲ್ಲು,石
67,Boden::N,ನೆಲ,土地
68,Erde::N,ಭೂಮಿ,土
69,Staub::N,ದೂಳು,埃
70,Rauch::N,ಹೊಗೆ,煙
71,Funke::N,ಕಿಡಿ,火花
72,Feuer::N,ಬೆಂಕಿ,火
73,Licht::N,ಬೆಳಕು,光
74,Schatten::N,ನೆರಳು,陰
75,Wetter::N,ಹವ,天気
76,Nebel::N,ಮಂಜು,霧
77,Wolke::N,ಮೋಡ,雲
78,Regen::N,ಮಳೆ,雨
79,Schnee::N,ಹಿಮ,雪
80,Eis::N,ಮಂಜುಗಡ್ಡೆ,氷
81,Frost::N,ಮಂಜು,霜
82,Kälte::N,ಹಿಮ,寒さ
83,Hitze::N,ಉಷ್ಣ,暑さ
84,Raureif::N,ಇಬ್ಬನಿ,霧氷
85,Regenbogen::N,ಇಂದ್ರಚಾಪ,虹
86,Donner::N,ಗುಡುಗು,雷
87,Strömung::N,ಪ್ರವಾಹ,流れ
88,Tropfen::N,ತೊಟ್ಟು,滴
89,Schaum::N,ನೊರೆ,泡
90,Schmutz::N,ಕಸ,汚れ
91,See::N,ಸರೋವರ,湖
92,Sumpf::N,ಜೌಗುಸ್ಥಳ,沼
93,Moor::N,ಬಂಜರು ಭೂಮಿ,湿原
94,Wiese::N,ಹುಲ್ಲುಗಾವಲು,草原
95,Wald::N,ಕಾಡು,森
96,Hügel::N,ಗುಡ್ಡೆ,丘
97,Anhöhe::N,ದಿಬ್ಬ,高み
98,Berg::N,ಮಲೆ,山
99,Berg::N,ಪರ್ವತ,山
100,Gipfel::N,ಶೃಂಗ,頂上
101,Höhle::N,ಗುಹೆ,洞窟
102,Abhang::N,ಇಳಿಜಾರು,斜面
103,Quelle::N,ಮೂಲ,泉
104,Bach::N,ತೊರೆ,小川
105,Fluss::N,ನದಿ,川
106,Ufer::N,ತೀರ,岸
107,Küste::N,ದಂಡೆ,海岸
108,Festland::N,ಭೂಮಿ,陸
109,Meer::N,ಕಡಲು,海
110,Bucht::N,ಖಾರಿ,湾
111,Insel::N,ದ್ವೀಪ,島
112,Blume::N,ಸುಮ,花
113,Gras::N,ಹುಲ್ಲು,草
114,Wurzel::N,ಬೇರು,根
115,Baum::N,ಮರ,木
116,Stamm::N,ಕಾಂಡ,幹
117,Rinde::N,ತೂಗಟಿ,皮層
118,Ast::N,ಶಾಖೆ,枝
119,Zweig::N,ರೆಂಬೆ,小枝
120,Blatt::N,ಎಲೆ,葉
121,Birke::N,ಬರ್ಚ್ ಮರ,樺
122,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,松
123,Weide[Baum]::N,ವಿಲೋಮರ,柳
124,Tanne::N,ಭದ್ರದಾರು,樅
125,Horn::N,ಕೊಂಬು,角
126,Feder::N,ಪುಕ್ಕ,羽根
127,Fell::N,ರೋಮ,毛皮
128,Flügel::N,ರೆಕ್ಕೆ,羽
129,Klaue::N,ಪಂಜ,鉤爪
130,Kralle::N,ಉಗುರು,爪
131,Schwanz::N,ಬಾಲ,尻尾
132,Ei::N,ಮೊಟ್ಟೆ,卵
133,Nest::N,ಗೂಡು,巣
134,Bau::N,ಅಡಗುದಾಣ,穴
135,Tier::N,ಪ್ರಾಣಿ,動物
136,Herde::N,ಗುಂಪು,群れ
137,Kuh::N,ಹಸು,牛
138,Bulle::N,ಗೂಳಿ,雄牛
139,Pferd::N,ಕುದುರೆ,馬
140,Schaf::N,ಕುರಿ,羊
141,Schwein::N,ಹಂದಿ,豚
142,Hund::N,ನಾಯಿ,犬
143,Katze::N,ಬೆಕ್ಕು,猫
144,Bär::N,ಕರಡಿ,熊
145,Eichhörnchen::N,ಉಡುತೆ,栗鼠
146,Elch::N,ಕಡವೆ,ヘラジカ
147,Fuchs::N,ನರಿ,狐
148,Hase::N,ಮೊಲ,兎
149,Maus::N,ಇಲಿ,鼠
150,Wolf::N,ತೋಳ,狼
151,Vogel::N,ಪಕ್ಷಿ,鳥
152,Schwarm::N,ಗುಂಪು,群れ
153,Huhn::N,ಚಿಕ್,鶏
154,Hahn::N,ಹುಂಜ,雄鶏
155,Gans::N,ವರಟೆ,ガチョウ
156,Adler::N,ಗರುಡ,鷲
157,Ente::N,ಬಾತು,鴨
158,Eule::N,ಗೂಬೆ,フクロウ
159,Kranich::N,ಕೊಕ್ಕರ,鶴
160,Krähe::N,ಕಾಗೆ,烏
161,Kuckuck::N,ಕೋಗಿಲೆ,郭公
162,Schwan::N,ಹಂಸಪಕ್ಷಿ,白鳥
163,Fisch::N,ಮೀನು,魚
164,Barsch::N,ಪರ್ಚ್ ಮೀನು,鱸
165,Hecht::N,ಪೈಕ್ ಮೀನು,川魳
166,Schlange[Tier]::N,ಹಾವು,蛇
167,Wurm::N,ಹುಳು,虫
168,Spinne::N,ಊರ್ಣನಾಭ,蜘蛛
169,Ameise::N,ಇರುವೆ,蟻
170,Laus::N,ಹೇನು,虱
171,Mücke::N,ಸೊಳ್ಳೆ,蚊
172,Fliege::N,ನೊಣ,蝿
173,Schmetterling::N,ಪತಂಗ,蝶
174,Beere::N,ನಯವಣ್ಣು,漿果
175,Apfel::N,ಸೇಬು,林檎
176,Pilz::N,ಅಣಬೆ,茸
177,Zwiebel::N,ನೀರುಳ್ಳಿ,玉葱
178,Saat::N,ಬಿತ್ತ,種
179,Korn::N,ಬೀಜ,粒
180,Heu::N,ಕರಡ,干し草
181,Schale::N,ಹೊಟ್ಟು,皮
182,Grube::N,ಗುಂಡಿ,穴
183,Falle::N,ಬೋನು,わな
184,Schlinge::N,ಉರುಲು,輪
185,Spur::N,ಜಾಡು,跡
186,Asche::N,ಬೂದಿ,灰
187,Dreck::N,ಹೊಲಸು,泥
188,Eisen::N,ಕಬ್ಬಿಣ,鉄
189,Gold::N,ಚಿನ್ನ,金
190,Silber::N,ಬೆಳ್ಳಿ,銀
191,Kohle::N,ಕಲ್ಲಿದ್ದಲು,炭
192,Glas::N,ಗಾಜು,ガラス
193,Lehm::N,ಜೇಡಿಮಣ್ಣು,ローム
194,Sand::N,ಮರಳು,砂
195,Mensch::N,ಪುರುಷ,人
196,Mann::N,ಆಳು,男
197,Mann::N,ಆಳು,男性
198,Frau::N,ಹೆಣ್ಣು,女
199,Frau::N,ಹೆಣ್ಣು,女性
200,Kind::N,ಮಗು,子
201,Kind::N,ಮಗು,子供
202,Junge::N,ಹುಡುಗ,男の子
203,Mädchen::N,ಹುಡುಗಿ,女の子
204,Familie::N,ಕುಟುಂಬ,家族
205,Großvater::N,ಅಜ್ಜ,祖父
206,Großvater::N,ಅಜ್ಜ,おじいさん
207,Großmutter::N,ಅಮ್ಮ,祖母
208,Großmutter::N,ಅಮ್ಮ,おばあさん
209,Eltern::N,ಹೆತ್ತವರು,親
210,Eltern::N,ಹೆತ್ತವರು,両親
211,Vater::N,ತಂದೆ,父
212,Vater::N,ತಂದೆ,お父さん
213,Mutter::N,ಅಮ್ಮ,母
214,Mutter::N,ಅಮ್ಮ,お母さん
215,Sohn::N,ಮಗ ,息子
216,Sohn::N,ಮಗ ,息子さん
217,Tochter::N,ಮಗಳು,娘
218,Tochter::N,ಮಗಳು,お嬢さん
219,Bruder::N,ತಮ್ಮ,弟
220,Schwester::N,ತಂಗಿ,妹
221,Onkel::N,ಸೋದರಮಾವ,伯父
222,Onkel::N,ಸೋದರಮಾವ,伯父さん
223,Onkel::N,ದೊಡ್ಡಪ್ಪ,伯父
224,Onkel::N,ದೊಡ್ಡಪ್ಪ,伯父さん
225,Tante::N,ಚಿಕ್ಕಮ್ಮ,叔母
226,Tante::N,ಚಿಕ್ಕಮ್ಮ,叔母さん
227,Ehemann::N,ಗಂಡ,夫
228,Ehemann::N,ಗಂಡ,主人
229,Ehefrau::N,ಹೆಂಡತಿ,妻
230,Ehefrau::N,ಹೆಂಡತಿ,奥さん
231,Freude::N,ನಲಿವು,喜び
232,Gelächter::N,ನಗೆ,笑い
233,Glück::N,ಆನಂದ,幸せ
234,Kummer::N,ದುಃಖ,悩み
235,Wunsch::N,ಬಯಕೆ,希望
236,Lust::N,ಇಷ್ಟ,気
237,Geist::N,ಆತ್ಮ,精神
238,Gedanke::N,ಯೋಚನೆ,考え
239,Gedächtnis::N,ಸ್ಮರಣೆ,記憶
240,Verstand::N,ಮನಸ್ಸು,理解力
241,Sinn::N,ಅರ್ಥ,意味
242,Grund::N,ಕಾರಣ,理由
243,Wahrheit::N,ಸತ್ಯ,真実
244,Gespräch::N,ಸಂಭಾಷಣೆ,会話
245,Märchen::N,ಸುಳ್ಳು ಕಥೆ,童話
246,Erzählung::N,ಕಥೆ,物語
247,Nachricht::N,ಸಂದೇಶ,報告
248,Neuigkeit::N,ಸುದ್ದಿ,ニュース
249,Name::N,ಹೆಸರು,名前
250,Rätsel::N,ಒಗಟು,謎
251,Rede::N,ಮಾತು,演説
252,Sprache::N,ಭಾಷೆ,言語
253,Stimme::N,ಧ್ವನಿ,声
254,Wort::N,ಮಾತು,言葉
255,Zeichen::N,ಗುರುತು,記号
256,Ruf::N,ಕೂಗು,呼び声
257,Lärm::N,ಸದ್ದು,騒音
258,Laut::N,ಶಬ್ದ,音
259,Ton::N,ನಾದ,音
260,Lied::N,ಗಾನ,歌
261,Ruhe::N,ಶಾಂತಿ,静けさ
262,Leute::N,ಮಂದಿ,人々
263,Volk::N,ಜನಾಂಗ,民族
264,Arbeit::N,ಕೆಲಸ,仕事
265,Gast::N,ಅತಿಥಿ,客
266,Geschenk::N,ಕಾಣಿಕೆ,贈り物
267,Spiel::N,ಆಟ,遊び
268,Gesellschaft::N,ಸಂಗ,社会
269,Hilfe::N,ಸಹಾಯ,援助
270,Freund::N,ಸ್ನೇಹಿತ,友達
271,Kamerad::N,ಜೊತೆಗಾರ,同志
272,Angelegenheit::N,ವಿಚಾರ,件
273,Anzahl::N,ಎಣಿಕೆ,数
274,Art::N,ತರ,種類
275,Stück::N,ತುಂಡು,部分
276,Teil::N,ಭಾಗ,部分
277,Hälfte::N,ಅರ್ಧ,半分
278,Kreis::N,ವೃತ್ತ,円
279,Kreuz::N,ಶಿಲುಬೆ,十字
280,Linie::N,ರೀಖೆ,線
281,Strich::N,ಗೀಟು,線
282,Abstand::N,ಅಂತರ,距離
283,Entfernung::N,ದೂರ,距離
284,Gegend::N,ವಿಸ್ತೀರ್ಣ,辺
285,Gegend::N,ವಿಸ್ತೀರ್ಣ,地域
286,Platz::N,ಅಂತರ,ゆとり
287,Ort::N,ಸ್ಥಳ,所
288,Ort::N,ಸ್ಥಳ,場所
289,Seite::N,ಪಕ್ಷ,横
290,Mitte::N,ನಡು,真ん中
291,Gegenstand::N,ವಸ್ತು,物件
292,Sache::N,ವಸ್ತು,物
293,Rand::N,ಅಂಚು,端
294,Kante::N,ಅಂಚು,縁
295,Ecke::N,ಮೂಲೆ,角
296,Spitze::N,ತುದಿ,先頭
297,Ende::N,ಕೊನೆ,端
298,Loch::N,ತೂತು,穴
299,Winkel::N,ಕೋನ,片隅
300,Muster::N,ನಮೂನೆ,模様
301,Größe::N,ಪ್ರಮಾಣ,大きさ
302,Länge::N,ಉದ್ದ,長さ
303,Höhe::N,ಎತ್ತರ,高さ
304,Gewicht::N,ತೂಕ,重さ
305,Menge::N,ಮೊತ್ತ,量
306,Haufen::N,ರಾಶಿ,堆積
307,Reihe::N,ಸಾಲು,並び
308,Boot::N,ದೋಣಿ,ボート
309,Ruder::N,ಹುಟ್ಟು,オール
310,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,そり
311,Ski::N,ಜಾರುಪಟ್ಟಿ,スキー
312,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,篝火
313,Last::N,ಹೊರೆ,荷物
314,Gang::N,ತಿರುಗಾಟ,歩み
315,Schritt::N,ಹೆಜ್ಜೆ,歩
316,Norden::N,ಉತ್ತರ,北
317,Süden::N,ದಕ್ಷಿಣ,南
318,Westen::N,ಪಶ್ಚಿಮ,西
319,Osten::N,ಮೂಡಲು,東
320,Holz::N,ಚೌಬೀನೆ,木
321,Holz::N,ಚೌಬೀನೆ,木材
322,Brett::N,ಹಲಗೆ,板
323,Platte::N,ಹಲಗೆ,盤
324,Stütze::N,ಆಸರೆ,支柱
325,Stange::N,ಕಂಬ,棒
326,Stock::N,ಕೋಲು,杖
327,Stab::N,ದೊಣ್ಣೆ,棒
328,Rohr::N,ನಳಿಕೆ,管
329,Haus::N,ಮನೆ,家
330,Heim::N,ಗೃಹ,家
331,Ofen::N,ಒಲೆ,ストーブ
332,Fußboden::N,ನೆಲ,床
333,Tisch::N,ಮೇಜು,机
334,Stuhl::N,ಕುರ್ಚಿ,椅子
335,Wiege::N,ತೊಟ್ಟಿಲು,揺籃
336,Bett::N,ಹಾಸಿಗೆ,ベッド
337,Regal::N,ಬೀರು,棚
338,Kiste::N,ಪಟ್ಟಿಗೆ,箱
339,Fenster::N,ಕಿಟಕಿ,窓
340,Tür::N,ಬಾಗಿಲು,戸
341,Tür::N,ಬಾಗಿಲು,ドア
342,Tor::N,ಹೆಬ್ಬಾಗಿಲು,門
343,Zaun::N,ಬೇಲಿ,垣根
344,Dach::N,ಮಾಳಿಗೆ,屋根
345,Leiter::N,ಏಣಿ,梯子
346,Besen::N,ಪೊರಕೆ,ほうき
347,Spaten::N,ಗುದ್ದಲಿ,スコップ
348,Schaufel::N,ಸನಿಕೆ,シャベル
349,Gabel::N,ಕವಲು,フォーク
350,Löffel::N,ಚಮಚ,スプーン
351,Messer::N,ಚಾಕು,ナイフ
352,Nagel::N,ಆಣಿ,釘
353,Netz::N,ಬಲೆ,網
354,Haken::N,ಕೊಂಡಿ,鉤
355,Haken::N,ಕೊಂಡಿ,フック
356,Griff::N,ಹಿಡಿ,取っ手
357,Schloss::N,ವೀಗ,錠
358,Bild::N,ಚಿತ್ರ,絵
359,Figur::N,ಆಕಾರ,像
360,Puppe::N,ಗೊಂಬೆ,人形
361,Beutel::N,ಸಂಚಿ,袋
362,Bündel::N,ಕಟ್ಟು,束
363,Bündel::N,ಕಟ್ಟು,包み
364,Tasche::N,ಚೀಲ,かばん
365,Eimer::N,ಬಾನೆ,バケツ
366,Deckel::N,ಮುಚ್ಚಳ,蓋
367,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,食器
368,Sack::N,ಮೂಟೆ,袋
369,Tasse::N,ಬಟ್ಟಲು,カップ
370,Topf::N,ಮಡಕೆ,鍋
371,Kessel::N,ಕೆಟಲ್,釜
372,Essen::N,ಊಟ,食事
373,Nahrung::N,ಆಹಾರ,食物
374,Speise::N,ಊಟ,料理
375,Fleisch::N,ಮಾಂಸ,肉
376,Getreide::N,ಧಾನ್ಯ,麦
377,Getreide::N,ಧಾನ್ಯ,穀物
378,Brei::N,ಗಂಜಿ,粥
379,Brot::N,ರೊಟ್ಟಿ,パン
380,Scheibe::N,ಹೋಳು,枚
381,Scheibe::N,ಹೋಳು,切れ
382,Fett::N,ಕೊಬ್ಬು,脂肪
383,Butter::N,ಬೆಣ್ಣೆ,バター
384,Öl::N,ಎಣ್ಣೆ,油
385,Salz::N,ಉಪ್ಪು,塩
386,Suppe::N,ಎಸರು,スープ
387,Honig::N,ಮಧು,蜂蜜
388,Milch::N,ಹಾಲು,牛乳
389,Tee::N,ಚಹ,茶
390,Tee::N,ಚಹ,お茶
391,Leder::N,ಚಕ್ಕಳ,革
392,Wolle::N,ಉಣ್ಣೆ,毛糸
393,Stoff::N,ಬಟ್ಟೆ,布
394,Nadel::N,ಸೂಜಿ,針
395,Faden::N,ದಾರ,糸
396,Knopf::N,ಗುಂಡು,ボタン
397,Knoten::N,ಗಂಟು,結び目
398,Farbe::N,ಬಣ್ಣ,ペンキ
399,Kleidung::N,ಅರಿವೆ,衣服
400,Hemd::N,ಅಂಗಿ,シャツ
401,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,襟
402,Ärmel::N,ತೋಳು,袖
403,Hose::N,ಇಜಾರ,ズボン
404,Gürtel::N,ಬೆಲ್ಟು,帯
405,Gürtel::N,ಬೆಲ್ಟು,ベルト
406,Mütze::N,ಟೋಪಿ,帽子
407,Schuh::N,ಪಾದರಕ್ಷೆ,靴
408,Stiefel::N,ಬೂಟು,ブーツ
409,Ring::N,ಉಂಗುರ,輪
410,Band::N,ರಿಬ್ಬನ್,リボン
411,Kamm::N,ಹಣಿಗೆ,櫛
412,Spiegel::N,ಕನ್ನಡಿ,鏡
413,Riemen::N,ಬಾರು,緒
414,Schnur::N,ಹುರಿ,紐
415,Leine::N,ಹಗ್ಗ,綱
416,Decke::N,ಕಂಬಳಿ,掛け布団
417,Kissen::N,ದಿಂಬು,枕
418,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,スカーフ
419,Handtuch::N,ಚೌಕ,タオル
420,Kraft::N,ಬಲ,力
421,Stärke::N,ಶಕ್ತಿ,強さ
422,Gesundheit::N,ಆರೋಗ್ಯ,健康
423,Krankheit::N,ರೋಗ,病気
424,Schmerz::N,ನೋವು,痛み
425,Wunde::N,ಗಾಯ,傷
426,Fieber::N,ಜ್ವರ,熱
427,Arznei::N,ಔಷಧ,薬
428,Brücke::N,ಸೇತುವೆ,橋
429,Brunnen::N,ಬಾವಿ,井戸
430,Weide::N,ಗೋಮಾಳ,牧場
431,Pfad::N,ದಾರಿ,小路
432,Weg::N,ಹಾದಿ,道
433,Straße::N,ರಸ್ತೆ,街道
434,Dorf::N,ಹಳ್ಳಿ,村
435,Stadt::N,ಪಟ್ಟಣ,町
436,Stadt::N,ಪಟ್ಟಣ,都市
437,Brief::N,ಕಾಗದ,手紙
438,Buch::N,ಪುಸ್ತಕ,本
439,Buchstabe::N,ಅಕ್ಷರ,文字
440,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,新聞
441,Leben::N,ಜೀವನ,生活
442,Tod::N,ಮರಣ,死
443,Grab::N,ಗೋರಿ,墓
444,Kirche::N,ಚರ್ಚು,教会
445,Sünde::N,ಪಾಪ,罪
446,Gott::N,ದೇವರು,神
447,Arbeiter::N,ಕೆಲಸಗಾರ,労働者
448,Chef::N,ದಣಿ,上司
449,Meister::N,ಶಿಕ್ಷಕ,達人
450,Meister::N,ಶಿಕ್ಷಕ,マイスター
451,Arzt::N,ವೈದ್ಯ,医者
452,Lehrer::N,ಉಪಾಧ್ಯಾಯ,先生
453,Geld::N,ಹಣ,金
454,Geschäft::N,ವಾಣಿಜ್ಯ,取り引き
455,Laden::N,ಅಂಗಡಿ,店
456,Preis::N,ಬೆಲೆ,値段
457,Ware::N,ಸರಕು,商品
458,Nutzen::N,ಲಾಭ,利益
459,Reichtum::N,ಸಂಪತ್ತು,豊かさ
460,Welt::N,ಭೂಲೋಕ,世界
461,Land::N,ದೇಶ,国
462,Staat::N,ರಾಜ್ಯ,国家
463,König::N,ರಾಜ,国王
464,Macht::N,ಅಧಿಕಾರ,権力
465,Grenze::N,ಗಡಿ,国境
466,Krieg::N,ಯುದ್ಧ,戦争
467,Feind::N,ಶತ್ರು,敵
468,Gewalt::N,ಹಿಂಸೆ,暴力
469,Kampf::N,ಹೋರಾಟ,戦い
470,Bogen[Waffe]::N,ಬಿಲ್ಲು,弓
471,Pfeil::N,ಅಂಬು,矢
472,Gewehr::N,ಬಂದೂಕು,銃
473,Fehler::N,ತಪ್ಪು,間違い
474,Lüge::N,ಸುಳ್ಳು,嘘
475,Schaden::N,ಹಾನಿ,損害
476,Unglück::N,ಅಪಾಯ,不幸
477,Schuld::N,ದೋಷ,罪
478,Alter::N,ಮುಪ್ಪು,年
479,Alter::N,ಮುಪ್ಪು,年齢
480,Schluss::N,ಮುಕ್ತಾಯ,終わり
481,Zeit::N,ಕಾಲ,時
482,Zeit::N,ಕಾಲ,時間
483,Tag::N,ದಿನ,日
484,Morgen::N,ಮುಂಜಾನೆ,朝
485,Mittag::N,ನಡುಹಗಲು,昼
486,Abend::N,ಸಂಜೆ,晩
487,Abend::N,ಸಂಜೆ,夕方
488,Nacht::N,ರಾತ್ರಿ,夜
489,Woche::N,ವಾರ,週
490,Monat::N,ತಿಂಗಳು,月
491,Jahr::N,ಸಂವತ್ಸರ,年
492,Frühling::N,ವಸಂತ,春
493,Sommer::N,ಬಿಸಿಲುಕಾಲ,夏
494,Herbst::N,ಶರತ್ಕಾಲ,秋
495,Winter::N,ಚಳಿಗಾಲ,冬
496,Januar::N,ನಾಲ್ಚಳಿ,一月
497,Februar::N,ಅಯ್ಚಳಿ,二月
498,März::N,ಮೊಬ್ಬೇಸಿಗೆ,三月
499,April::N,ಇಬ್ಬೇಸಿಗೆ,四月
500,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,五月
501,Juni::N,ಮೊಮ್ಮಳೆ,六月
502,Juli::N,ಇಮ್ಮಳೆ,七月
503,August::N,ಮುಮ್ಮಳೆ,八月
504,September::N,ನಾಲ್ಮಳೆ,九月
505,Oktober::N,ಮೊಚ್ಚಳಿ,十月
506,November::N,ಇಚ್ಚಳಿ,十一月
507,Dezember::N,ಮುಚ್ಚಳಿ,十二月
508,Montag::N,ಸೋಮುವಾರ,月曜日
509,Dienstag::N,ಮಂಗಳವಾರ,火曜日
510,Mittwoch::N,ಬುಧವಾರ,水曜日
511,Donnerstag::N,ಗುರುವಾರ,木曜日
512,Freitag::N,ಶುಕ್ರವಾರ,金曜日
513,Samstag::N,ಶನಿವಾರ,土曜日
514,Sonntag::N,ಭಾನುವಾರ,日曜日
515,groß::A,ದೊಡ್ಡ,大きい
516,klein::A,ಪುಟ್ಟ,小さい
517,lang::A,ದೀರ್ಘ,長い
518,kurz::A,ಚಕ್ಕ,短い
519,breit::A,ಅಗಲವಾದ,広い
520,schmal::A,ಇಕ್ಕಟ್ಟಾದ,狭い
521,dicht::A,ದಟ್ಟ,密な
522,dick[Gegenstand]::A,ದಟ್ಟ,厚い
523,dünn::A,ತೆಳು,薄い
524,fein::A,ಕೋಮಲ,細い
525,fest::A,ಘನ,硬い
526,flach::A,ಚಪ್ಪಟೆ,平らな
527,glatt::A,ನಯ,滑らかな
528,hart::A,ಗಟ್ಟಿ,堅い
529,weich::A,ಮೃದುವಾದ,柔らかい
530,rund::A,ವರ್ತುಳ,丸い
531,spitz::A,ಮೊನಚಾದ,尖った
532,scharf::A,ತೀಕ್ಷ್ಣ,鋭い
533,stumpf::A,ಮೊಂಡು,鈍い
534,schwer::A,ಭಾರಿ,重い
535,schön::A,ಸುಂದರ,綺麗な
536,heiß::A,ಬಿಸಿ,熱い
537,warm::A,ಬಿಸಿ,温かい
538,kalt::A,ತಣ್ಣನೆಯ,寒い
539,kalt::A,ತಣ್ಣನೆಯ,冷たい
540,kühl::A,ತಂಪಾದ,涼しい
541,frisch::A,ನಿರ್ಮಲ,ひんやりした
542,feucht::A,ಒದ್ದೆಯಾದ,湿った
543,nass::A,ಒದ್ದೆಯಾದ,濡れた
544,trocken::A,ಶುಷ್ಕ,乾いた
545,voll::A,ತುಂಬಿದ,いっぱいの
546,leer::A,ಖಾಲಿ,空の
547,offen::A,ಮುಚ್ಚಲ್ಲದ,開いた
548,geschlossen::A,ಮುಚ್ಚಿದ,閉まった
549,sauber::A,ಶುದ್ಧ,清潔な
550,schmutzig::A,ಅಶುದ್ಧ,汚い
551,roh::A,ಹಸಿ,生の
552,reif::A,ಹಣ್ಣಾದ,熟した
553,lecker::A,ಗುಚಿಕರ,美味しい
554,süß::A,ಸಿಹಿ,甘い
555,bitter::A,ಕಹಿ,苦い
556,sauer::A,ಹುಳಿಯಾದ,酸っぱい
557,hell::A,ಹೊಳೆಯುವ,明るい
558,dunkel::A,ಮಬ್ಬಾದ,暗い
559,schwarz::A,ಕಪ್ಪು,黒い
560,weiß::A,ಬಿಳಿಯ,白い
561,rot::A,ಕೆಂಪು,赤い
562,gelb::A,ಹಳದಯ,黄色い
563,blau::A,ನೀಲ,青い
564,grün::A,ಕಾಯಾದ,緑の
565,grau::A,ಬೂದುಬಣ್ಣದ,灰色の
566,bunt::A,ವರ್ಣರಂಜಿತ,色取り取りの
567,billig::A,ಅಗ್ಗ,安い
568,teuer::A,ದುಬಾರಿಯಾದ,高い
569,wertvoll::A,ಅಮೂಲ್ಯ,貴重な
570,blind::A,ಅಂಧ,盲目の
571,taub::A,ಕಿವುಡಾದ,耳が聞こえない
572,kräftig::A,ಪ್ರಬಲ,強力な
573,stark::A,ಶಕ್ತಿವಂತ,強い
574,schwach::A,ದುರ್ಬಲ,弱い
575,fett::A,ಕೊಬ್ಬಿದ,太った
576,schlank::A,ತೆಳ್ಳಗಿನ,ほっそりした
577,hübsch::A,ಅಂದವಾದ,素敵な
578,böse::A,ಕೆಟ್ಟ,悪い
579,dumm::A,ಮಂದ,馬鹿な
