,Concept_ID,ca,lbe
80,Staub::N,pols,ххит
81,Rauch::N,fum,пуркӏу
82,Funke::N,guspira,пиягь
83,Funke::N,centella,пиягь
84,Feuer::N,foc,цӏу
85,Licht::N,llum,чани
86,Schatten::N,ombra,ххют
87,Wetter::N,temps,гьава
88,Nebel::N,boira,шархь ттурлу
89,Wolke::N,núvol,ттурлу
90,Regen::N,pluja,гъарал
91,Schnee::N,neu,марххала
92,Eis::N,gel,микӏ
93,Eis::N,glaç,микӏ
94,Frost::N,glaçada,дяркъу
95,Frost::N,glaçada,замгьар
96,Kälte::N,fred,дяркъу
97,Hitze::N,calor,кӏиришиву
98,Raureif::N,gebre,сил
99,Raureif::N,gebre,бурса
100,Regenbogen::N,arc iris,ссурул ккуртта
101,Donner::N,tro,къув
102,Strömung::N,corrent,экьинанаву
103,Tropfen::N,gota,кӏунтӏ
104,Schaum::N,escuma,хьама
105,Schmutz::N,brutícia,кьяркьи
106,See::N,llac,бяр
107,Sumpf::N,pantà,кунцӏа
108,Moor::N,pantà,
109,Wiese::N,prat,кьан
110,Wiese::N,prada,кьан
111,Wald::N,bosc,вацӏа
112,Hügel::N,puig,бакӏу
113,Hügel::N,pujol,бакӏу
114,Anhöhe::N,turó,
115,Berg::N,muntanya,зунтту
116,Gipfel::N,cim,мицӏ
117,Höhle::N,cova,нух
118,Abhang::N,coster,сун
119,Quelle::N,font,дайдихьу
120,Quelle::N,font,бакӏ
121,Bach::N,riera,чӏрир нех
122,Fluss::N,riu,нех
123,Ufer::N,riba,зума
124,Küste::N,costa,зумаинхалу
125,Küste::N,costa,зуманицӏалу
126,Festland::N,terra ferma,кьири
127,Meer::N,mar,хьхьири
128,Bucht::N,cala,
129,Bucht::N,badia,
130,Insel::N,illa,жазира
131,Blume::N,flor,тӏутӏи
132,Gras::N,herba,уртту
133,Wurzel::N,rel,мархха
134,Wurzel::N,arrel,мархха
135,Baum::N,arbre,мурхь
136,Stamm::N,tronc,ттарцӏ
137,Rinde::N,escorça,ккамара
138,Ast::N,branca,матӏи
139,Zweig::N,ram,къяртта
140,Blatt::N,fulla,чӏапӏи
141,Birke::N,bedoll,кӏялахӏи
142,Birke::N,bedoll,кӏялахӏилул мурхь
143,Kiefer[Baum]::N,pi,ттар
144,Kiefer[Baum]::N,pi,ттарлил мурхь
145,Weide[Baum]::N,salze,щавщи
146,Tanne::N,avet,ттарлил мурхь
147,Horn::N,corn,хъи
148,Horn::N,banya,хъи
149,Feder::N,ploma,лелуххул тӏиму
150,Fell::N,pell,бурчу
151,Flügel::N,ala,хъа
152,Flügel::N,ala,ххурупӏайрал тӏиму
153,Klaue::N,urpa,михь
154,Kralle::N,grapa,ххяппа
155,Schwanz::N,cua,магъ
156,Ei::N,ou,ккунук
157,Nest::N,niu,кюру
158,Bau::N,cau,цукъуккутӏ
159,Tier::N,animāl,хӏайван
160,Herde::N,ramat,газу
161,Kuh::N,vaca,оьл
162,Bulle::N,toro,ниц
163,Pferd::N,cavāll,чу
164,Schaf::N,be,тта
165,Schaf::N,ovella,тта
166,Schwein::N,bacó,дунгъуз
167,Hund::N,ca,ккаччи
168,Hund::N,gos,ккаччи
169,Katze::N,gat,ччиту
170,Bär::N,ós,цуша
171,Eichhörnchen::N,esquirol,бюрхттукку
172,Elch::N,ant,ниц-бюрин
173,Fuchs::N,guilla,цулчӏа
174,Fuchs::N,guilla,куча цулчӏа
175,Hase::N,llebre,бюрх
176,Maus::N,ratolí,кӏулу
177,Wolf::N,llop,барцӏ
178,Vogel::N,au,лелуххи
179,Vogel::N,ocēll,лелуххи
180,Schwarm::N,bandada,гьухъала
181,Huhn::N,gallina,аьнакӏи
182,Hahn::N,gall,ажари
183,Gans::N,oca,къаз
184,Adler::N,àguila,барзу
185,Ente::N,ànec,урдак
186,Eule::N,òliba,ису
187,Eule::N,òliba,ччиккумяв
188,Eule::N,mussol,ису
189,Eule::N,mussol,ччиккумяв
190,Kranich::N,grua,кьурукь
191,Krähe::N,cornella,хъатӏу
192,Kuckuck::N,cucut,ччикку
193,Schwan::N,cigne,урттил къаз
194,Fisch::N,peix,чавахъ
195,Barsch::N,perca,
196,Hecht::N,lluç,
197,Schlange[Tier]::N,serp,шатта
198,Wurm::N,cuc,кьюнукьай шатта
199,Spinne::N,aranya,ххялцу
200,Ameise::N,formiga,митӏикьукьу
201,Laus::N,poll,
202,Mücke::N,mosquit,мичӏак
203,Fliege::N,mosca,зимиз
204,Schmetterling::N,papallona,чӏимучӏали
205,Beere::N,baia,хӏаллил ахъулсса
206,Apfel::N,poma,гьивч
207,Pilz::N,bolet,ттуккул иис
208,Zwiebel::N,ceba,лаччул чсмусул бакӏ
209,Saat::N,sembra,гьанна
210,Korn::N,gra,къама
211,Heu::N,fenc,ххулув
212,Schale::N,closca,ккиртту
213,Grube::N,sot,кӏаланг
214,Grube::N,clot,кӏаланг
215,Falle::N,trampa,къатӏа
216,Schlinge::N,baga,хӏатӏ
217,Spur::N,traça,ша
218,Asche::N,cendra,лах
219,Dreck::N,llot,кьяркьи
220,Dreck::N,llot,венп
221,Eisen::N,ferro,мах
222,Gold::N,or,муси
223,Silber::N,plata,арцу
224,Kohle::N,carbó,кӏалаш
225,Kohle::N,carbó,хъуручӏ
226,Glas::N,vidre,пюрун
227,Lehm::N,fang,сина аьрщи
228,Lehm::N,argila,сина аьрщи
229,Sand::N,arena,къун
230,Mensch::N,humà,инсан
231,Mensch::N,persona,инсан
232,Mann::N,home,чув
233,Mann::N,home,адимина
234,Frau::N,dona,щарсса
235,Frau::N,dona,хъамитайпа
236,Kind::N,nen,чӏиви оьрчӏ
237,Junge::N,noi,оьрчӏ
238,Junge::N,noi,бурхьин оьрчӏ
239,Mädchen::N,noia,душ
240,Familie::N,família,кулпат
241,Großvater::N,avi,ттатта
242,Großvater::N,avi,ниттил ппу
243,Großmutter::N,àvia,буттал нину
244,Eltern::N,pares,нину-ппу
245,Vater::N,pare,ппу
246,Mutter::N,mare,нину
247,Sohn::N,fill,арс
248,Tochter::N,filla,душ
249,Bruder::N,germà,уссу
250,Schwester::N,germana,ссу
251,Onkel::N,oncle,буттауссу
252,Tante::N,tia,буттал ссу
253,Ehemann::N,espòs,лас
254,Ehefrau::N,muller,щар
255,Ehefrau::N,muller,щарсса
256,Freude::N,goig,шадшиву
257,Freude::N,goig,ххаришиву
258,Freude::N,alegria,шадшиву
259,Freude::N,alegria,ххаришиву
260,Gelächter::N,riallada,хъяхъаву
261,Glück::N,felicitat,талихӏ
262,Kummer::N,pena,дард
263,Wunsch::N,desig,мурад
264,Lust::N,ganes,гьавас
265,Lust::N,ganes,ччаву
266,Geist::N,ment,рухӏ
267,Geist::N,esperit,рухӏ
268,Gedanke::N,pensament,пикри
269,Gedächtnis::N,memòria,дакӏний личӏаву
270,Verstand::N,raó,аькьлу
271,Verstand::N,seny,аькьлу
272,Sinn::N,solta,мяъна
273,Sinn::N,sentit,мяъна
274,Grund::N,raó,багьана
275,Grund::N,causa,багьана
276,Wahrheit::N,veritāt,тӏайламур
277,Wahrheit::N,veritāt,хӏакьмур
278,Gespräch::N,conversa,ихтилат
279,Märchen::N,conte,магьа
280,Erzählung::N,narració,хавар
281,Nachricht::N,missatge,хавар
282,Neuigkeit::N,novetat,хавар
283,Name::N,nom,цӏа
284,Rätsel::N,endevinalla,ссигьа
285,Rede::N,discurs,гъалгъа
286,Sprache::N,llēngua,маз
287,Stimme::N,veu,чӏу
288,Stimme::N,veu,чӏукӏа
289,Wort::N,mot,махъ
290,Wort::N,paraula,махъ
291,Zeichen::N,signe,лишан
292,Zeichen::N,senyal,лишан
293,Ruf::N,crida,
294,Lärm::N,sorōll,чӏу
295,Laut::N,so,чӏу
296,Ton::N,to,чӏу
297,Lied::N,cançó,балай
298,Ruhe::N,calma,дигьалагру
299,Ruhe::N,silenci,дигьалагру
300,Leute::N,gent,инсантал
301,Volk::N,poble,ил
302,Volk::N,poble,халкь
303,Arbeit::N,labor,заву
304,Arbeit::N,treball,заву
305,Gast::N,hoste,хъамаличу
306,Geschenk::N,regal,бухчакарши
307,Geschenk::N,regal,лажинккакку
308,Geschenk::N,obsequi,бухчакарши
309,Geschenk::N,obsequi,лажинккакку
310,Spiel::N,joc,тӏуркӏу
311,Gesellschaft::N,companyia,жямат
312,Gesellschaft::N,companyia,ккуран
313,Hilfe::N,ajut,кумаг
314,Freund::N,amīc,дус
315,Kamerad::N,company,хӏаласу
316,Kamerad::N,camarada,хӏаласу
317,Angelegenheit::N,afer,иш
318,Angelegenheit::N,assumpte,иш
319,Anzahl::N,nombre,аьдад
320,Anzahl::N,quantitat,аьдад
321,Art::N,tipus,жинс
322,Art::N,classe,жинс
323,Stück::N,peça,касак
324,Teil::N,part,бутӏа
325,Hälfte::N,meitat,дачӏи
326,Kreis::N,cercle,кюрщан
327,Kreuz::N,creu,ххач
328,Linie::N,línia,щва
329,Strich::N,traç,щва
330,Strich::N,ratlla,щва
331,Abstand::N,distància,манзил
332,Entfernung::N,distància,манзил
333,Gegend::N,regió,кӏану
334,Gegend::N,contrada,кӏану
335,Platz::N,cabuda,
336,Ort::N,lloc,кӏану
337,Seite::N,banda,чул
338,Seite::N,banda,чулухалу
339,Seite::N,costāt,чул
340,Seite::N,costāt,чулухалу
341,Mitte::N,mig,дя
342,Mitte::N,centre,дя
343,Gegenstand::N,objecte,зат
344,Sache::N,cosa,зат
345,Rand::N,vora,зума
346,Rand::N,marge,зума
347,Kante::N,caire,
348,Kante::N,cantell,
349,Ecke::N,cantonada,мурцӏу
350,Spitze::N,punta,мицӏ
351,Ende::N,cap,зума
352,Loch::N,forāt,ккутӏ
353,Winkel::N,racó,мурцӏу
354,Muster::N,dibuix,накьич
355,Muster::N,disseny,накьич
356,Größe::N,grandària,
357,Länge::N,longitud,лахъишиву
358,Höhe::N,altura,лахъшиву
359,Höhe::N,altitud,лахъшиву
360,Gewicht::N,pes,дуццин
361,Gewicht::N,pes,кӏушиву
362,Menge::N,quantitat,
363,Haufen::N,pila,бакӏу
364,Reihe::N,fila,кьюкьа
365,Boot::N,bot,луткка
366,Boot::N,barca,луткка
367,Ruder::N,rem,весло
368,Ruder::N,rem,чӏатӏа
369,Schlitten::N,trineu,чана
370,Schlitten::N,trineu,санкка
371,Ski::N,esquí,лижарду
372,Lagerfeuer::N,foc de campament,къавтӏн
373,Last::N,càrrega,гьиву
374,Gang::N,marxa,нанаву
375,Schritt::N,pas,ша
376,Norden::N,nord,ухссав
377,Norden::N,nord,ухссавнил чулухалу
378,Süden::N,sud,кьилва
379,Westen::N,oest,баргълагавал
380,Westen::N,oest,баргълагавал чул
381,Westen::N,occident,баргълагавал
382,Westen::N,occident,баргълагавал чул
383,Osten::N,est,баргъбуккай чулухалу
384,Osten::N,orient,баргъбуккай чулухалу
385,Holz::N,fusta,тӏама
386,Brett::N,taula,тахта
387,Platte::N,placa,гъуни
388,Stütze::N,suport,гьалакӏу
389,Stange::N,vara,къазихъ
390,Stock::N,pal,ттархь
391,Stab::N,bastó,ччантӏакъу
392,Rohr::N,tub,бургъу
393,Haus::N,casa,къатта
394,Heim::N,llar,къатта
395,Ofen::N,estufa,пач
396,Fußboden::N,terra,чӏанкъатта
397,Tisch::N,taula,усттул
398,Stuhl::N,cadira,кӏану
399,Wiege::N,bressol,оьрчӏал кӏану
400,Bett::N,llit,тах
401,Regal::N,prestatgeria,чӏаму
402,Kiste::N,caixa,яшикӏ
403,Kiste::N,caixa,къурши
404,Fenster::N,finestra,чӏавахьулу
405,Tür::N,porta,нуз
406,Tür::N,porta,нузкьун
407,Tor::N,portal,къапу
408,Tor::N,portal,дарваза
409,Zaun::N,tanca,дайгьузанну
410,Dach::N,teulada,магъи
411,Dach::N,teulada,цӏиялу
412,Leiter::N,escala,чуртту
413,Leiter::N,escala de mà,чуртту
414,Besen::N,escombra,чӏатлу
415,Spaten::N,pala,бил
416,Schaufel::N,pala,чӏатӏа
417,Gabel::N,forquilla,гьиссилу
418,Löffel::N,cullera,къуса
419,Messer::N,coltell,чӏила
420,Nagel::N,clau,мяр
421,Netz::N,filat,къери
422,Haken::N,ganxo,къича
423,Griff::N,puny,куяму
424,Griff::N,mànec,куяму
425,Schloss::N,pany,кьункьула
426,Bild::N,imatge,сурат
427,Figur::N,figura,
428,Puppe::N,nina,ссихьу
429,Beutel::N,bossa,чантай
430,Bündel::N,feix,гьи
431,Bündel::N,feix,къар
432,Bündel::N,paquet,гьи
433,Bündel::N,paquet,къар
434,Tasche::N,bossa,
435,Eimer::N,galleda,бадра
436,Deckel::N,tapa,къапаза
437,Deckel::N,tapadora,къапаза
438,Geschirr::N,vaixella,пюрунчӏул
439,Geschirr::N,vaixella,тӏахӏникӏичӏу
440,Sack::N,sac,къап
441,Sack::N,sac,дарваг
442,Sack::N,saca,къап
443,Sack::N,saca,дарваг
444,Tasse::N,tassa,пижан
445,Tasse::N,tassa,пинжан
446,Tasse::N,tassa,инкираччатӏи
447,Tasse::N,tassa,цинцилттал бушкъап
448,Topf::N,pot,кӏункӏур
449,Topf::N,olla,кӏункӏур
450,Kessel::N,caldera,чаг
451,Kessel::N,caldera,кӏункӏур
452,Essen::N,àpat,дукия
453,Essen::N,àpat,дукин
454,Essen::N,menjada,дукия
455,Essen::N,menjada,дукин
456,Nahrung::N,aliment,дукра
457,Speise::N,plat,дукра
458,Fleisch::N,carn,дикӏ
459,Getreide::N,cereals,къама
460,Brei::N,puré,ккурч
461,Brot::N,pa,ччатӏ
462,Scheibe::N,tall,парча
463,Scheibe::N,llesca,парча
464,Fett::N,greix,аьгъушиву
465,Butter::N,mantega,нагь
466,Butter::N,mantega,лагаву
467,Öl::N,oli,
468,Salz::N,sal,цӏву
469,Suppe::N,sopa,накь
470,Honig::N,mel,ницӏ
471,Milch::N,llet,накӏ
472,Tee::N,te,чяй
473,Leder::N,cuir,бурчу
474,Wolle::N,llana,ппал
475,Stoff::N,tela,янна
476,Nadel::N,agulla,ххалаххи
477,Faden::N,fil,ххал
478,Knopf::N,botó,банд
479,Knoten::N,nus,къурхъ
480,Farbe::N,pintura,сир
481,Kleidung::N,roba,янна
482,Kleidung::N,roba,лаххия
483,Kleidung::N,vestits,янна
484,Kleidung::N,vestits,лаххия
485,Hemd::N,camisa,гьухъа
486,Kragen::N,coll,дарвач
487,Ärmel::N,màniga,кахха
488,Hose::N,pantalōns,хӏажак
489,Gürtel::N,cinturó,мухӏлу
490,Mütze::N,gorra,кьяпа
491,Schuh::N,sabata,
492,Stiefel::N,bota,чакма
493,Ring::N,anell,кӏисса
494,Band::N,veta,линт
495,Band::N,cinta,линт
496,Kamm::N,pinta,ттарал
497,Spiegel::N,mirāll,дагьани
498,Riemen::N,corretja,эн
499,Schnur::N,corda,хьхьа
500,Leine::N,corretja,
501,Decke::N,manta,виргъан
502,Decke::N,flassada,виргъан
503,Kissen::N,coixí,кӏаралу
504,Tuch::N,mocador,карщи
505,Handtuch::N,tovallola,калихьу
506,Handtuch::N,tovallola,лажинлихьу
507,Kraft::N,força,эллаж
508,Stärke::N,vigor,гуж
509,Gesundheit::N,salut,цӏуллу-сагъшиву
510,Krankheit::N,malaltia,къашайшиву
511,Schmerz::N,dolor,къюву
512,Wunde::N,ferida,щаву
513,Fieber::N,febre,кӏиришиву
514,Arznei::N,medicament,дару
515,Brücke::N,pont,ламу
516,Brunnen::N,pou,къуй
517,Weide::N,pastura,бизантту
518,Pfad::N,senda,жегъир ххуллу
519,Pfad::N,sender,жегъир ххуллу
520,Weg::N,camí,ххуллу
521,Straße::N,carretera,ххуллу
522,Dorf::N,poble,щар
523,Dorf::N,poble,шяравалу
524,Stadt::N,ciutāt,шагьру
525,Brief::N,carta,чагъар
526,Buch::N,llibre,лу
527,Buchstabe::N,lletra,хӏарп
528,Zeitung::N,diāri,кказит
529,Leben::N,vida,оьрму
530,Tod::N,mort,ажал
531,Tod::N,mort,бивкӏу
532,Tod::N,mort,ивчӏаву
533,Grab::N,tomba,гьав
534,Kirche::N,església,килиса
535,Sünde::N,pecat,бунагъ
536,Gott::N,déu,зал
537,Arbeiter::N,obrer,зузала
538,Chef::N,cap,ялувма
539,Meister::N,mestre,усттар
540,Arzt::N,metge,хӏакин
541,Lehrer::N,mestre,учитель
542,Geld::N,dinērs,арцу
543,Geschäft::N,negoci,даву
544,Laden::N,tenda,ттучан
545,Laden::N,botiga,ттучан
546,Preis::N,preu,багъа
547,Ware::N,mercaderia,хъус
548,Nutzen::N,profit,хайр
549,Nutzen::N,profit,мюнпат
550,Reichtum::N,riquesa,давлат
551,Reichtum::N,riquesa,аваданшиву
552,Welt::N,món,дуниял
553,Land::N,país,билаят
554,Staat::N,estat,паччахӏлугъ
555,König::N,rei,
556,Macht::N,poder,власть
557,Macht::N,potència,власть
558,Grenze::N,frontera,дазу
559,Krieg::N,guerra,дяъви
560,Feind::N,enemic,душман
561,Gewalt::N,violència,къия
562,Kampf::N,lluita,лачӏуи уккаву
563,Bogen[Waffe]::N,arc,ккуртта
564,Pfeil::N,fletxa,чӏатӏаракӏ
565,Gewehr::N,fusell,ттупанг
566,Gewehr::N,escopeta,ттупанг
567,Fehler::N,falta,гъалатӏ
568,Lüge::N,mentida,щялмахъ
569,Schaden::N,dany,зарал
570,Unglück::N,desgràcia,бала
571,Schuld::N,culpa,тахсир
572,Alter::N,edat,оьрму
573,Schluss::N,fi,ахир
574,Schluss::N,final,ахир
575,Zeit::N,temps,чӏун
576,Tag::N,dia,кьини
577,Morgen::N,matí,кӏюрх
578,Mittag::N,migdia,ахттайн
579,Mittag::N,migdia,дяахттайн
580,Mittag::N,migdia,ахттайн чӏун
581,Abend::N,vespre,маркӏачӏан
582,Nacht::N,nit,хьхьу
583,Woche::N,setmana,нюжмар
584,Monat::N,mes,барз
585,Jahr::N,any,шин
586,Frühling::N,primavera,инт
587,Sommer::N,estīu,гъи
588,Herbst::N,tardor,ссут
589,Winter::N,hivērn,кӏи
590,Januar::N,gener,цалчинмур барз
591,Februar::N,febrer,кӏилчинмур барз
592,März::N,març,шамилчинмур барз
593,April::N,abril,апрель
594,April::N,abril,мукьилчинмур барз
595,Mai::N,maig,май
596,Mai::N,maig,ххюлчинмур барз
597,Juni::N,juny,июнь
598,Juni::N,juny,ряххилчинмур барз
599,Juli::N,juliol,июль
600,Juli::N,juliol,Арулчинмур барз
601,August::N,agost,мяйлчинмур барз
602,September::N,setembre,урчӏилчинмур барз
603,Oktober::N,octubre,ацӏилчинмур барз
604,November::N,novembre,ацӏния цалчинмур барз
605,Dezember::N,desembre,ацӏния кӏилчинмур барз
606,Montag::N,dilluns,итин
607,Montag::N,dilluns,итин кьини
608,Dienstag::N,dimarts,тталат
609,Dienstag::N,dimarts,тталат кьини
610,Mittwoch::N,dimecres,арвахӏ
611,Donnerstag::N,dijous,хамис
612,Freitag::N,divendres,нюжмар
613,Freitag::N,divendres,нюжмар кьини
614,Samstag::N,dissabte,ххуллун
615,Samstag::N,dissabte,ххуллун кьини
616,Sonntag::N,diumenge,алхӏат
617,Sonntag::N,diumenge,алхӏат кьини
618,groß::A,gros,бугъарасса
619,klein::A,petīt,чӏивисса
620,lang::A,llarg,лахъисса
621,kurz::A,curt,кутӏасса
622,breit::A,ample,уттасса
623,schmal::A,estret,уттакӏюласса
624,dicht::A,dens,ццунсса
625,dick[Gegenstand]::A,gruixūt,ганзсса
626,dünn::A,prim,кӏюласса
627,fein::A,fi,
628,fest::A,ferm,цӏакьсса
629,fest::A,ferm,кьянкьасса
630,fest::A,sòlid,цӏакьсса
631,fest::A,sòlid,кьянкьасса
632,flach::A,pla,баягъисса
633,flach::A,pla,цӏубакъасса
634,flach::A,pla,куртӏ дакъасса
635,glatt::A,llis,дюрчӏусса
636,hart::A,dur,кьянкьасса
637,weich::A,tou,кӏукӏлусса
638,rund::A,rodó,ккурккисса
639,spitz::A,punxegut,ярксса
640,spitz::A,punxegut,дайлсса
641,spitz::A,punxegut,мицӏ бусса
642,scharf::A,agut,ярксса
643,scharf::A,agut,дайлсса
644,scharf::A,agut,мицӏ бусса
645,stumpf::A,rom,къуркъасса
646,stumpf::A,esmussat,къуркъасса
647,schwer::A,pesāt,кӏусса
648,schön::A,bonīc,аьнтӏикӏасса
649,heiß::A,calēnt,кӏирисса
650,warm::A,càlid,гъелисса
651,kalt::A,fred,дяркъусса
652,kühl::A,fresc,дюхлулсса
653,frisch::A,fresc,цӏусса
654,feucht::A,humit,атилсса
655,feucht::A,humit,хъавтусса
656,nass::A,mullat,атилсса
657,nass::A,mullat,хъавтусса
658,trocken::A,sec,кьавкьсса
659,trocken::A,sec,кьакьан бувсса
660,voll::A,ple,бувцӏусса
661,leer::A,buit,бачӏвасса
662,offen::A,obert,тӏивтӏусса
663,geschlossen::A,tancat,лавкьусса
664,sauber::A,net,марцӏсса
665,schmutzig::A,brut,чапалсса
666,roh::A,cru,шакъавхьсса
667,reif::A,madur,дирсса
668,lecker::A,deliciós,нахӏусса
669,lecker::A,deliciós,тӏааьнсса
670,süß::A,dolç,нацӏусса
671,bitter::A,amarg,кьурчӏисса
672,sauer::A,agre,туршсса
673,hell::A,clar,чаннасса
674,dunkel::A,fosc,цӏансса
675,schwarz::A,negre,лухӏисса
676,weiß::A,blanc,кӏяласса
677,rot::A,vermēll,ятӏулсса
678,gelb::A,groc,хъахъисса
679,blau::A,blau,някӏсса
680,grün::A,verd,щюлисса
681,grau::A,gris,оьрусса
682,bunt::A,multicolor,оьрчӏикӏурисса
683,billig::A,barat,кьювкьусса
684,teuer::A,car,ххирасса
685,wertvoll::A,preciós,багьасса
686,blind::A,cec,мурчӏисса
687,taub::A,sord,къюкӏсса
688,kräftig::A,fort,гужсса
689,kräftig::A,vigorós,гужсса
690,stark::A,fort,кьянкьасса
691,schwach::A,feble,заэвсса
692,fett::A,gras,бучсса
693,schlank::A,esvelt,бювхъусса
694,hübsch::A,maco,янусса
695,böse::A,dolent,оьсса
696,dumm::A,ximple,ахӏмакьсса
697,dumm::A,estúpid,ахӏмакьсса
698,faul::A,gandūl,танмалсса
699,faul::A,gandūl,курчӏилсса
700,faul::A,mandrós,танмалсса
701,faul::A,mandrós,курчӏилсса
702,fleißig::A,diligēnt,хӏарачат бусса
703,geizig::A,avar,янттарцӏансса
704,klug::A,intel·ligent,аькьлу бусса
705,geschickt::A,hàbil,паргалсса
706,lieb::A,amat,аьзизсса
707,lieb::A,estimat,аьзизсса
708,lustig::A,alegre,тяхъасса
709,sanft::A,suau,иминсса
710,hungrig::A,afamat,ккашилсса
711,krank::A,malālt,къашавайсса
712,nackt::A,nu,кӏачӏасса
713,traurig::A,trist,пашмансса
714,lebendig::A,viu,уттавасса
715,gut::A,bo,ххуйсса
716,schlecht::A,dolēnt,оьккисса
717,richtig::A,just,саргъунсса
718,richtig::A,correcte,саргъунсса
719,schlimm::A,greu,оьккисса
720,wahr::A,vertader,хӏакьсса
721,wahr::A,veritable,хӏакьсса
722,alt::A,vell,кугьнасса
723,neu::A,nou,цӏусса
724,ehemalig::A,antic,хъхъичӏвасса
725,alt[Lebewesen]::A,vell,агьилсса
726,jung::A,jove,чӏавасса
727,jung::A,jove,жагьилсса
728,arm::A,pobre,мискинсса
729,reich::A,ric,авадансса
730,bekannt::A,conegut,дусъсса
731,berühmt::A,famós,машгьурсса
732,fremd::A,estrany,чил
733,verschieden::A,diferent,личӏи-личӏисса
734,nah::A,pròxim,гъансса
735,fern::A,llunyà,архсса
736,fern::A,distant,архсса
737,linker::A,esquerre,кияхсса
738,linker::A,esquerre,кюччахсса
739,rechter::A,dret,урчӏахсса
740,anderer::A,altre,цамур
741,erster::A,primer,цалчинмур
742,erster::A,primer,цалчиннсса
743,zweiter::A,segon,кӏилчиимур
744,dritter::A,tercer,шамулчинмур
745,letzter::A,últim,махъва-махъмур
746,allein::ADV,sol,ялгъузну
747,auf einmal::ADV,d'una vegada,
748,zusammen::ADV,junt,цачӏу
749,zusammen::ADV,junt,архӏал
750,lange::ADV,molt de temps,батӏи къабуклай
751,lange::ADV,molt de temps,хъунмасса хӏаллай
752,plötzlich::ADV,de cop,цакуну
753,plötzlich::ADV,de sobte,цакуну
754,sofort::ADV,de seguida,мугьлат бакъа
755,später::ADV,més tard,махъ
756,jetzt::ADV,ara,утти
757,jetzt::ADV,ara,цӏана
758,heute::ADV,avūi,хӏакьину
759,morgen::ADV,demà,гьуит
760,morgen::ADV,demà,гьунттий
761,bald::ADV,aviāt,
762,dann::ADV,després,яла
763,gestern::ADV,ahir,лахьхьу
764,einst::ADV,anteriorment,
765,damals::ADV,llavōrs,та чӏумал
766,damals::ADV,aleshores,та чӏумал
767,danach::ADV,després,яла
768,vorher::ADV,abāns,хьхьнчӏ
769,vorher::ADV,abāns,хьхьичӏва
770,zuerst::ADV,primer,бакӏрай
771,zuerst::ADV,primer,цӏу бутӏуй
