,Concept_ID,mn,lbe
301,Gespräch::N,яриа,ихтилат
302,Märchen::N,явган үлгэр,магьа
303,Erzählung::N,тууж,хавар
304,Nachricht::N,мэдээ,хавар
305,Neuigkeit::N,сонин,хавар
306,Name::N,нэр,цӏа
307,Rätsel::N,оньсого,ссигьа
308,Rede::N,хэлсэн үг,гъалгъа
309,Sprache::N,хэл,маз
310,Stimme::N,дуу,чӏу
311,Stimme::N,дуу,чӏукӏа
312,Wort::N,үг,махъ
313,Zeichen::N,тамга,лишан
314,Zeichen::N,тэмдэг,лишан
315,Ruf::N,дуудлага,
316,Lärm::N,шуугиан,чӏу
317,Lärm::N,чимээ,чӏу
318,Laut::N,анир,чӏу
319,Laut::N,дуу,чӏу
320,Ton::N,авиа,чӏу
321,Ton::N,аялгуу,чӏу
322,Lied::N,дуу,балай
323,Ruhe::N,энх,дигьалагру
324,Ruhe::N,тайван,дигьалагру
325,Leute::N,хүмүүс,инсантал
326,Volk::N,улс,ил
327,Volk::N,улс,халкь
328,Arbeit::N,ажил,заву
329,Arbeit::N,хөдөлмөр,заву
330,Gast::N,зочин,хъамаличу
331,Gast::N,айлчин,хъамаличу
332,Geschenk::N,бэлэг,бухчакарши
333,Geschenk::N,бэлэг,лажинккакку
334,Spiel::N,наадам,тӏуркӏу
335,Spiel::N,тоглоом,тӏуркӏу
336,Gesellschaft::N,хамт байх,жямат
337,Gesellschaft::N,хамт байх,ккуран
338,Hilfe::N,тусламж,кумаг
339,Freund::N,найз,дус
340,Freund::N,нөхөр,дус
341,Kamerad::N,хань,хӏаласу
342,Kamerad::N,нөхөр,хӏаласу
343,Angelegenheit::N,хэрэг,иш
344,Anzahl::N,тоо,аьдад
345,Art::N,төрөл,жинс
346,Art::N,янз,жинс
347,Stück::N,хэсэг,касак
348,Teil::N,хувь,бутӏа
349,Teil::N,хэсэг,бутӏа
350,Hälfte::N,хагас,дачӏи
351,Kreis::N,тойрог,кюрщан
352,Kreis::N,хүрээ,кюрщан
353,Kreuz::N,загалмай,ххач
354,Linie::N,шугам,щва
355,Strich::N,зураас,щва
356,Abstand::N,зай,манзил
357,Entfernung::N,зай,манзил
358,Entfernung::N,хол ойр,манзил
359,Gegend::N,хавь,кӏану
360,Gegend::N,газар,кӏану
361,Platz::N,зай,
362,Platz::N,завсар,
363,Ort::N,газар,кӏану
364,Ort::N,байр,кӏану
365,Seite::N,тал,чул
366,Seite::N,тал,чулухалу
367,Seite::N,этгээд,чул
368,Seite::N,этгээд,чулухалу
369,Mitte::N,төв,дя
370,Mitte::N,дунд,дя
371,Gegenstand::N,юм,зат
372,Sache::N,үйл,зат
373,Sache::N,хэрэг,зат
374,Rand::N,зах,зума
375,Rand::N,хөвөө,зума
376,Kante::N,ирмэг,
377,Ecke::N,өнцөг,мурцӏу
378,Spitze::N,үзүүр,мицӏ
379,Ende::N,зах,зума
380,Ende::N,үзүүр,зума
381,Loch::N,цоорхой,ккутӏ
382,Loch::N,онгорхой,ккутӏ
383,Winkel::N,өнцөг,мурцӏу
384,Muster::N,хээ,накьич
385,Muster::N,угалз,накьич
386,Größe::N,хэмжээ,
387,Länge::N,урт,лахъишиву
388,Höhe::N,өндөр,лахъшиву
389,Gewicht::N,жин,дуццин
390,Gewicht::N,жин,кӏушиву
391,Menge::N,тоо,
392,Haufen::N,бөөн,бакӏу
393,Reihe::N,эгнээ,кьюкьа
394,Boot::N,завь,луткка
395,Ruder::N,сэлүүр,весло
396,Ruder::N,сэлүүр,чӏатӏа
397,Schlitten::N,чарга,чана
398,Schlitten::N,чарга,санкка
399,Ski::N,цана,лижарду
400,Lagerfeuer::N,түүдэг,къавтӏн
401,Last::N,ачаа,гьиву
402,Gang::N,явдал,нанаву
403,Schritt::N,алхам,ша
404,Norden::N,умар,ухссав
405,Norden::N,умар,ухссавнил чулухалу
406,Süden::N,урд,кьилва
407,Süden::N,өмнө,кьилва
408,Westen::N,өрнө,баргълагавал
409,Westen::N,өрнө,баргълагавал чул
410,Westen::N,баруун,баргълагавал
411,Westen::N,баруун,баргълагавал чул
412,Osten::N,зүүн,баргъбуккай чулухалу
413,Osten::N,дорно,баргъбуккай чулухалу
414,Holz::N,мод,тӏама
415,Brett::N,банз,тахта
416,Platte::N,хавтан,гъуни
417,Stütze::N,тулгуур,гьалакӏу
418,Stütze::N,тулга,гьалакӏу
419,Stange::N,сургааг,къазихъ
420,Stock::N,саваа,ттархь
421,Stab::N,таяг,ччантӏакъу
422,Rohr::N,хоолой,бургъу
423,Haus::N,гэр,къатта
424,Haus::N,байшин,къатта
425,Heim::N,гэр,къатта
426,Ofen::N,зуух,пач
427,Ofen::N,пийшин,пач
428,Fußboden::N,шал,чӏанкъатта
429,Tisch::N,ширээ,усттул
430,Stuhl::N,сандал,кӏану
431,Wiege::N,өлгий,оьрчӏал кӏану
432,Bett::N,ор,тах
433,Regal::N,тавиур,чӏаму
434,Kiste::N,авдар,яшикӏ
435,Kiste::N,авдар,къурши
436,Kiste::N,хайрцаг,яшикӏ
437,Kiste::N,хайрцаг,къурши
438,Fenster::N,гэгээвч,чӏавахьулу
439,Tür::N,үүд,нуз
440,Tür::N,үүд,нузкьун
441,Tür::N,хаалга,нуз
442,Tür::N,хаалга,нузкьун
443,Tor::N,хаалга,къапу
444,Tor::N,хаалга,дарваза
445,Zaun::N,хашаа,дайгьузанну
446,Dach::N,дээвэр,магъи
447,Dach::N,дээвэр,цӏиялу
448,Leiter::N,шат,чуртту
449,Besen::N,хамуур,чӏатлу
450,Besen::N,туужуу,чӏатлу
451,Spaten::N,хүрз,бил
452,Schaufel::N,хүрз,чӏатӏа
453,Gabel::N,сэрээ,гьиссилу
454,Löffel::N,халбага,къуса
455,Messer::N,хутга,чӏила
456,Nagel::N,хадаас,мяр
457,Netz::N,өөш,къери
458,Netz::N,тор,къери
459,Haken::N,гох,къича
460,Griff::N,иш,куяму
461,Griff::N,сэнж,куяму
462,Schloss::N,цуурга,кьункьула
463,Schloss::N,цоож,кьункьула
464,Bild::N,зураг,сурат
465,Figur::N,баримал,
466,Puppe::N,хүүхэлдэй,ссихьу
467,Beutel::N,агсаа,чантай
468,Beutel::N,уут,чантай
469,Bündel::N,боодол,гьи
470,Bündel::N,боодол,къар
471,Tasche::N,цүнх,
472,Eimer::N,хөнөг,бадра
473,Eimer::N,хувин,бадра
474,Deckel::N,таг,къапаза
475,Deckel::N,хавхаг,къапаза
476,Geschirr::N,сав суулга,пюрунчӏул
477,Geschirr::N,сав суулга,тӏахӏникӏичӏу
478,Sack::N,шуудай,къап
479,Sack::N,шуудай,дарваг
480,Tasse::N,аяга,пижан
481,Tasse::N,аяга,пинжан
482,Tasse::N,аяга,инкираччатӏи
483,Tasse::N,аяга,цинцилттал бушкъап
484,Topf::N,тогоо,кӏункӏур
485,Kessel::N,тогоо,чаг
486,Kessel::N,тогоо,кӏункӏур
487,Essen::N,идээ,дукия
488,Essen::N,идээ,дукин
489,Nahrung::N,хүнс,дукра
490,Speise::N,идээ,дукра
491,Fleisch::N,мах,дикӏ
492,Getreide::N,будаа,къама
493,Brei::N,богшмол,ккурч
494,Brei::N,будаа,ккурч
495,Brot::N,талх,ччатӏ
496,Scheibe::N,зүсэм,парча
497,Scheibe::N,хэрчим,парча
498,Fett::N,өөх,аьгъушиву
499,Butter::N,тос,нагь
500,Butter::N,тос,лагаву
501,Öl::N,тос,
502,Salz::N,давс,цӏву
503,Suppe::N,шөл,накь
504,Honig::N,бал,ницӏ
505,Milch::N,сүү,накӏ
506,Tee::N,цай,чяй
507,Leder::N,арьс,бурчу
508,Leder::N,савхи,бурчу
509,Wolle::N,ноос,ппал
510,Wolle::N,унгас,ппал
511,Stoff::N,бөс,янна
512,Nadel::N,зүү,ххалаххи
513,Faden::N,боолт,ххал
514,Faden::N,утас,ххал
515,Knopf::N,товч,банд
516,Knoten::N,зангилаа,къурхъ
517,Farbe::N,будаг,сир
518,Kleidung::N,хувцас,янна
519,Kleidung::N,хувцас,лаххия
520,Hemd::N,цамц,гьухъа
521,Kragen::N,зах заам,дарвач
522,Ärmel::N,ханцуй,кахха
523,Hose::N,өмд,хӏажак
524,Gürtel::N,бүс,мухӏлу
525,Mütze::N,малгай,кьяпа
526,Mütze::N,бүрх,кьяпа
527,Schuh::N,туфли,
528,Stiefel::N,гутал,чакма
529,Ring::N,бөгж,кӏисса
530,Band::N,тууз,линт
531,Kamm::N,сам,ттарал
532,Spiegel::N,толь,дагьани
533,Riemen::N,тасам,эн
534,Riemen::N,сур,эн
535,Schnur::N,татлага,хьхьа
536,Leine::N,оосор,
537,Decke::N,хөнжил,виргъан
538,Decke::N,хучлага,виргъан
539,Kissen::N,дэр,кӏаралу
540,Tuch::N,алчуур,карщи
541,Tuch::N,даавуу,карщи
542,Handtuch::N,алчуур,калихьу
543,Handtuch::N,алчуур,лажинлихьу
544,Kraft::N,чадал,эллаж
545,Kraft::N,хүч,эллаж
546,Stärke::N,эрч,гуж
547,Stärke::N,тэнхээ,гуж
548,Gesundheit::N,бие,цӏуллу-сагъшиву
549,Gesundheit::N,эрүүл мэнд,цӏуллу-сагъшиву
550,Krankheit::N,эмгэг,къашайшиву
551,Schmerz::N,өвчин,къюву
552,Wunde::N,шарх,щаву
553,Fieber::N,халуун,кӏиришиву
554,Arznei::N,эм,дару
555,Brücke::N,гүүр,ламу
556,Brunnen::N,худаг,къуй
557,Weide::N,бэлчээр,бизантту
558,Pfad::N,жим,жегъир ххуллу
559,Pfad::N,зөрөг,жегъир ххуллу
560,Weg::N,зам,ххуллу
561,Weg::N,харгуй,ххуллу
562,Straße::N,зам,ххуллу
563,Straße::N,харгуй,ххуллу
564,Dorf::N,тосгон,щар
565,Dorf::N,тосгон,шяравалу
566,Dorf::N,гацаа,щар
567,Dorf::N,гацаа,шяравалу
568,Stadt::N,хот,шагьру
569,Brief::N,захидал,чагъар
570,Brief::N,захиа,чагъар
571,Buch::N,ном,лу
572,Buch::N,бичиг,лу
573,Buchstabe::N,үсэг,хӏарп
574,Zeitung::N,сонин,кказит
575,Leben::N,амь,оьрму
576,Leben::N,амьдрал,оьрму
577,Tod::N,үхэл,ажал
578,Tod::N,үхэл,бивкӏу
579,Tod::N,үхэл,ивчӏаву
580,Grab::N,булш,гьав
581,Kirche::N,сүм,килиса
582,Sünde::N,нүгэл,бунагъ
583,Sünde::N,хилэнц,бунагъ
584,Gott::N,бурхан,зал
585,Arbeiter::N,ажилчин,зузала
586,Arbeiter::N,хөдөлмөрчин,зузала
587,Chef::N,дарга,ялувма
588,Meister::N,дархан,усттар
589,Arzt::N,эмч,хӏакин
590,Lehrer::N,багш,учитель
591,Geld::N,цаас,арцу
592,Geld::N,мөнгө,арцу
593,Geschäft::N,наймаа,даву
594,Laden::N,дэлгүүр,ттучан
595,Preis::N,үнэ,багъа
596,Ware::N,таваар,хъус
597,Ware::N,бараа,хъус
598,Nutzen::N,ашиг,хайр
599,Nutzen::N,ашиг,мюнпат
600,Reichtum::N,баялаг,давлат
601,Reichtum::N,баялаг,аваданшиву
602,Welt::N,дэлхий,дуниял
603,Welt::N,орчлон,дуниял
604,Land::N,улс,билаят
605,Land::N,орон,билаят
606,Staat::N,төр,паччахӏлугъ
607,Staat::N,гүрэн,паччахӏлугъ
608,König::N,ван,
609,Macht::N,засаг,власть
610,Grenze::N,хил,дазу
611,Krieg::N,дайн,дяъви
612,Feind::N,дайсан,душман
613,Gewalt::N,хүчирхэх,къия
614,Kampf::N,тэмцэл,лачӏуи уккаву
615,Kampf::N,байлдаан,лачӏуи уккаву
616,Bogen[Waffe]::N,нум,ккуртта
617,Pfeil::N,годил,чӏатӏаракӏ
618,Pfeil::N,сум,чӏатӏаракӏ
619,Gewehr::N,буу,ттупанг
620,Fehler::N,эндэл,гъалатӏ
621,Fehler::N,алдаа,гъалатӏ
622,Lüge::N,худал,щялмахъ
623,Schaden::N,хор,зарал
624,Schaden::N,хөнөөл,зарал
625,Unglück::N,гай,бала
626,Unglück::N,гамшиг,бала
627,Schuld::N,гэм,тахсир
628,Schuld::N,буруу,тахсир
629,Alter::N,нас,оьрму
630,Schluss::N,эцэс,ахир
631,Schluss::N,төгсгөл,ахир
632,Zeit::N,цаг,чӏун
633,Tag::N,өдөр,кьини
634,Morgen::N,өглөө,кӏюрх
635,Mittag::N,үд,ахттайн
636,Mittag::N,үд,дяахттайн
637,Mittag::N,үд,ахттайн чӏун
638,Abend::N,үдэш,маркӏачӏан
639,Nacht::N,шөнө,хьхьу
640,Woche::N,долоо хоног,нюжмар
641,Monat::N,сар,барз
642,Jahr::N,жил,шин
643,Frühling::N,хавар,инт
644,Sommer::N,зун,гъи
645,Herbst::N,намар,ссут
646,Winter::N,өвөл,кӏи
647,Januar::N,нэгдүгээр сар,цалчинмур барз
648,Februar::N,хоёрдугаар сар,кӏилчинмур барз
649,März::N,гуравдугаар сар,шамилчинмур барз
650,April::N,дөрөвдүгээр сар,апрель
