,Concept_ID,ar,no
427,Öl::N,زيت,olje
428,Salz::N,ملح,salt
429,Suppe::N,حساء,suppe
430,Suppe::N,شربة,suppe
431,Honig::N,عسل,honning
432,Milch::N,حليب,melk
433,Tee::N,شاي,te
434,Leder::N,جلد,lær
435,Leder::N,جلد,skinn
436,Wolle::N,صوف,ull
437,Stoff::N,قماش,tøy
438,Stoff::N,قماش,stoff
439,Nadel::N,إبرة,nål
440,Faden::N,خيط,tråd
441,Knopf::N,زر,knapp
442,Knoten::N,عقدة,knute
443,Farbe::N,صبغة,farge
444,Kleidung::N,ملابس,påkledning
445,Hemd::N,قميص,skjorte
446,Kragen::N,ياقة,krage
447,Ärmel::N,كم,erme
448,Hose::N,سروال,bukse
449,Hose::N,بنطلون,bukse
450,Gürtel::N,حزام,belte
451,Mütze::N,طاقية,lue
452,Schuh::N,حذاء,sko
453,Stiefel::N,جزمة,støvel
454,Stiefel::N,حذاء طويل,støvel
455,Ring::N,حلقة,ring
456,Band::N,شريط,band
457,Kamm::N,مشط,kam
458,Spiegel::N,مرآة,speil
459,Riemen::N,سير,rem
460,Schnur::N,حبل,snor
461,Schnur::N,دوبارة,snor
462,Leine::N,قيد,line
463,Decke::N,بطانية,teppe
464,Kissen::N,وسادة,pute
465,Tuch::N,منديل,tøy
466,Handtuch::N,فوطة,håndkle
467,Handtuch::N,منشفة,håndkle
468,Kraft::N,قدرة,kraft
469,Stärke::N,قوة,styrke
470,Gesundheit::N,صحة,helse
471,Gesundheit::N,صحة,sunnhet
472,Krankheit::N,مرض,syke
473,Krankheit::N,مرض,sykdom
474,Schmerz::N,ألم,smerte
475,Schmerz::N,وجع,smerte
476,Wunde::N,جرح,sår
477,Fieber::N,حمى,feber
478,Arznei::N,دواء,medisin
479,Arznei::N,دواء,legemiddel
480,Brücke::N,جسر,bro
481,Brunnen::N,بئر,brønn
482,Weide::N,مرعى,beite
483,Pfad::N,درب,sti
484,Weg::N,سكة,vei
485,Straße::N,طريق,gate
486,Dorf::N,قرية,landsby
487,Stadt::N,مدينة,by
488,Brief::N,خطاب,brev
489,Brief::N,مكتوب,brev
490,Buch::N,كتاب,bok
491,Buchstabe::N,حرف,bokstav
492,Zeitung::N,جريدة,avis
493,Leben::N,عيش,liv
494,Leben::N,حياة,liv
495,Tod::N,موت,død
496,Tod::N,وفاة,død
497,Grab::N,قبر,grav
498,Kirche::N,كنيسة,kirke
499,Sünde::N,خطيئة,synd
500,Gott::N,إله,gud
501,Arbeiter::N,عامل,arbeider
502,Chef::N,رئيس,sjef
503,Meister::N,أسطى,mester
504,Arzt::N,طبيب,lege
505,Lehrer::N,مدرس,lærer
506,Geld::N,نقود,penger
507,Geschäft::N,صفقة,forretning
508,Laden::N,دكان,butikk
509,Preis::N,سعر,pris
510,Ware::N,بضاعة,vare
511,Nutzen::N,فائدة,nytte
512,Reichtum::N,غنى,rikdom
513,Reichtum::N,ثروة,rikdom
514,Welt::N,عالم,verden
515,Welt::N,دنيا,verden
516,Land::N,بلد,land
517,Staat::N,دولة,stat
518,König::N,ملك,konge
519,Macht::N,سلطة,makt
520,Grenze::N,حدود,grense
521,Krieg::N,حرب,krig
522,Feind::N,عدو,fiende
523,Gewalt::N,عنف,vold
524,Kampf::N,قتال,kamp
525,Bogen[Waffe]::N,قوس,bue
526,Pfeil::N,سهم,pil
527,Gewehr::N,بندقية,gevær
528,Fehler::N,خطأ,feil
529,Lüge::N,كذب,løgn
530,Schaden::N,تلف,skade
531,Unglück::N,نحس,uhell
532,Schuld::N,ذنب,skyld
533,Alter::N,سن,alder
534,Alter::N,عمر,alder
535,Schluss::N,ختام,slutt
536,Schluss::N,نهاية,slutt
537,Zeit::N,وقت,tid
538,Tag::N,يوم,dag
539,Morgen::N,صباح,morgen
540,Mittag::N,ظهر,middag
541,Abend::N,مساء,aften
542,Nacht::N,ليلة,natt
543,Woche::N,أسبوع,uke
544,Monat::N,شهر,måned
545,Jahr::N,عام,år
546,Jahr::N,سنة,år
547,Frühling::N,ربيع,vår
548,Sommer::N,صيف,sommer
549,Herbst::N,خريف,høst
550,Winter::N,شتاء,vinter
551,Januar::N,يناير,januar
552,Januar::N,كانون الثاني,januar
553,Februar::N,شباط,februar
554,Februar::N,فبراير,februar
555,März::N,آذار,mars
556,März::N,مارس,mars
557,April::N,نيسان,april
558,Mai::N,مايو,mai
559,Juni::N,يونيو,juni
560,Juni::N,حزيران,juni
561,Juli::N,تموز,juli
562,Juli::N,يوليو,juli
563,August::N,آب,august
564,August::N,أغسطس,august
565,September::N,أيلول,september
566,September::N,سبتمبر,september
567,Oktober::N,أكتوبر,oktober
568,Oktober::N,تشرين الأول,oktober
569,November::N,نوفمبر,november
570,November::N,تشرين الثاني,november
571,Dezember::N,ديسمبر,desember
572,Dezember::N,كانون الأول,desember
573,Montag::N,يوم الاثنين,mandag
574,Dienstag::N,يوم الثلاثاء,tirsdag
575,Mittwoch::N,يوم الأربعاء,onsdag
576,Donnerstag::N,يوم الخميس,torsdag
577,Freitag::N,يوم الجمعة,fredag
578,Samstag::N,يوم السبت,lørdag
579,Sonntag::N,يوم الأحد,søndag
580,groß::A,كبير,stor
581,klein::A,صغير,liten
582,lang::A,طويل,lang
583,kurz::A,قصير,kort
584,breit::A,واسع,bred
585,schmal::A,ضيق,smal
586,dicht::A,كث,tett
587,dicht::A,كثيف,tett
588,dick[Gegenstand]::A,غليظ,tykk
589,dünn::A,رفيع,tynn
590,fein::A,رقيق,fin
591,fest::A,متين,fast
592,flach::A,سهل,flat
593,flach::A,منبسط,flat
594,glatt::A,ناعم,glatt
595,hart::A,صلب,hard
596,hart::A,جامد,hard
597,weich::A,لين,myk
598,weich::A,لين,bløt
599,rund::A,مستدير,rund
600,spitz::A,مدبب,spiss
601,scharf::A,حاد,kvass
602,stumpf::A,ثالم,stubb
603,schwer::A,ثقيل,tung
604,schön::A,جميل,pen
605,schön::A,جميل,vakker
606,heiß::A,حار,het
607,heiß::A,ساخن,het
608,warm::A,دافئ,varm
609,kalt::A,بارد,kald
610,kühl::A,قر,kjølig
611,frisch::A,طازج,fersk
612,feucht::A,رطب,fuktig
613,nass::A,مبلول,våt
614,trocken::A,جاف,tørr
615,voll::A,ملء,full
616,leer::A,خال,tom
617,leer::A,فارغ,tom
618,offen::A,مفتوح,åpen
619,geschlossen::A,مغلق,lukket
620,sauber::A,نظيف,ren
621,schmutzig::A,قذر,skitten
622,roh::A,نيء,rå
623,reif::A,ناضج,moden
