,Concept_ID,hr,myv
136,Bach::N,potok,чудикерькс
137,Fluss::N,rijeka,лей
138,Ufer::N,obala,чире
139,Küste::N,obala,лейчире
140,Küste::N,morska obala,лейчире
141,Festland::N,kopno,мода
142,Meer::N,more,моря
143,Bucht::N,zaliv,усия
144,Insel::N,ada,усия
145,Insel::N,otok,усия
146,Blume::N,cvijet,цеця
147,Gras::N,trava,тикше
148,Wurzel::N,korijen,юр
149,Wurzel::N,korijen,ундокс
150,Baum::N,drvo,чувто
151,Baum::N,stablo,чувто
152,Stamm::N,deblo,рунго
153,Stamm::N,stablo,рунго
154,Rinde::N,kora,суд
155,Rinde::N,kora,керь
156,Ast::N,grana,морго
157,Zweig::N,grana,тарад
158,Blatt::N,list,лопа
159,Birke::N,breza,килей
160,Kiefer[Baum]::N,bor,пиче
161,Weide[Baum]::N,iva,каль
162,Weide[Baum]::N,vŕba,каль
163,Tanne::N,jela,куз
164,Horn::N,rog,сюро
165,Feder::N,pero,толга
166,Fell::N,koža,пона
167,Flügel::N,krilo,сёлмо
168,Klaue::N,papak,кенже
169,Kralle::N,pandža,кенже
170,Schwanz::N,rep,пуло
171,Ei::N,jaje,ал
172,Nest::N,gnijezdo,пизэ
173,Bau::N,jazbina,варя
174,Bau::N,jazbina,пизе
175,Tier::N,životinja,ракша
176,Herde::N,krdo,стада
177,Herde::N,stado,стада
178,Kuh::N,krava,скал
179,Bulle::N,bik,бука
180,Pferd::N,konj,лишме
181,Schaf::N,ovca,реве
182,Schwein::N,svinja,туво
183,Hund::N,pas,пине
184,Hund::N,pas,киска
185,Hund::N,pseto,пине
186,Hund::N,pseto,киска
187,Katze::N,mačka,псака
188,Bär::N,medvjed,овто
189,Eichhörnchen::N,vjeverica,ур
190,Elch::N,los,сярдо
191,Fuchs::N,lisica,ривезь
192,Hase::N,zec,нумоло
193,Maus::N,miš,чеерь
194,Wolf::N,vuk,верьгиз
195,Wolf::N,kurjak,верьгиз
196,Vogel::N,ptica,нармунь
197,Schwarm::N,roj,полк
198,Schwarm::N,roj,стада
199,Schwarm::N,jato,полк
200,Schwarm::N,jato,стада
201,Huhn::N,kokoš,сараз
202,Hahn::N,kokot,атякш
203,Hahn::N,pijevac,атякш
204,Gans::N,guska,гала
205,Gans::N,guska,мацей
206,Adler::N,orao,куцькан
207,Adler::N,orao,тумоатякш
208,Ente::N,patka,яксярго
209,Eule::N,sova,корж
210,Kranich::N,ždral,карго
211,Krähe::N,vrana,варака
212,Kuckuck::N,kukavica,куко
213,Schwan::N,labud,локсей
214,Fisch::N,riba,кал
215,Barsch::N,grgeč,окунь
216,Hecht::N,štuka,щука
217,Schlange[Tier]::N,guja,гуй
218,Schlange[Tier]::N,zmija,гуй
219,Wurm::N,crv,сукс
220,Spinne::N,pauk,шанжав
221,Ameise::N,mrav,коткудав
222,Laus::N,uš,сий
223,Mücke::N,komarac,сеське
224,Fliege::N,muha,карво
225,Schmetterling::N,leptir,нимиляв
226,Beere::N,boba,умарь
227,Beere::N,bobica,умарь
228,Apfel::N,jabuka,умарь
229,Pilz::N,pečurka,панго
230,Zwiebel::N,luk,чурька
231,Zwiebel::N,kapula,чурька
232,Saat::N,sjemenje,видьметь
233,Korn::N,zrno,сюро
234,Heu::N,sijeno,тикше
235,Schale::N,kora,кедь
236,Schale::N,kora,ваткавкс
237,Schale::N,ljuska,кедь
238,Schale::N,ljuska,ваткавкс
239,Grube::N,jama,латко
240,Falle::N,zamka,тувор
241,Falle::N,zamka,кундамка
242,Falle::N,klopka,тувор
243,Falle::N,klopka,кундамка
244,Schlinge::N,uzao,килькш
245,Schlinge::N,petlja,килькш
246,Spur::N,trag,челькс
247,Spur::N,trag,пильгеки
248,Spur::N,slijed,челькс
249,Spur::N,slijed,пильгеки
250,Asche::N,pepeo,кулов
251,Dreck::N,blato,рудаз
252,Eisen::N,željezo,кшни
253,Gold::N,zlato,сырне
254,Silber::N,srebro,сия
255,Kohle::N,ugalj,сэдь
256,Kohle::N,ugalj,уголия
257,Kohle::N,ugljen,сэдь
258,Kohle::N,ugljen,уголия
259,Glas::N,staklo,сулика
260,Lehm::N,glina,сёвонь
261,Lehm::N,ilovača,сёвонь
262,Sand::N,pijesak,човар
263,Mensch::N,čovjek,ломань
264,Mann::N,muškarac,аля
265,Mann::N,muškarac,цёраломань
266,Frau::N,žena,ава
267,Kind::N,čedo,эйкакш
268,Kind::N,dijete,эйкакш
269,Junge::N,momče,цёрыне
270,Junge::N,dječak,цёрыне
271,Mädchen::N,djevojka,тейтерне
272,Mädchen::N,djevojčica,тейтерне
273,Familie::N,obitelj,семия
274,Familie::N,porodica,семия
275,Großvater::N,djed,покштя
276,Großmutter::N,baka,баба
277,Eltern::N,roditelji,тетят-ават
278,Vater::N,otac,тетя
279,Mutter::N,majka,ава
280,Sohn::N,sin,цёра
281,Tochter::N,kći,тейтерь
282,Tochter::N,kćerka,тейтерь
283,Bruder::N,brat,леля
284,Bruder::N,brat,ялакс
285,Schwester::N,sestra,сазор
286,Onkel::N,čika,леля
287,Onkel::N,ujak,леля
288,Tante::N,ujna,патя
289,Tante::N,tetka,патя
290,Ehemann::N,muž,мирде
291,Ehemann::N,suprug,мирде
292,Ehefrau::N,žena,ни
293,Ehefrau::N,supruga,ни
294,Freude::N,radost,кеняркс
295,Gelächter::N,grohot,ракамо
296,Gelächter::N,grohot,пейдема
297,Glück::N,sreća,уцяска
298,Kummer::N,jad,рискс
299,Kummer::N,jad,мелявкс
300,Kummer::N,briga,рискс
301,Kummer::N,briga,мелявкс
302,Wunsch::N,želja,мель
303,Wunsch::N,želja,бажамо
304,Lust::N,volja,бажамо
305,Geist::N,duh,ойме
306,Gedanke::N,misao,мель
307,Gedächtnis::N,pamćenje,мель
308,Verstand::N,um,прев
309,Verstand::N,razum,прев
310,Sinn::N,smisao,толк
311,Sinn::N,smisao,смысла
312,Sinn::N,značenje,толк
313,Sinn::N,značenje,смысла
314,Grund::N,razlog,тувтал
315,Wahrheit::N,istina,видечи
316,Gespräch::N,razgovor,кортнема
317,Märchen::N,bajka,ёвкс
318,Erzählung::N,priča,ёвтнема
319,Erzählung::N,pripovijest,ёвтнема
320,Nachricht::N,vijest,куля
321,Neuigkeit::N,novost,куля
322,Name::N,ime,лем
323,Rätsel::N,zagonetka,содамоёвкс
324,Rede::N,govor,кортамо
325,Rede::N,besjeda,кортамо
326,Sprache::N,jezik,кель
327,Stimme::N,glas,ваигель
328,Wort::N,riječ,вал
329,Zeichen::N,znak,теште
330,Ruf::N,povik,тердема
331,Ruf::N,poklik,тердема
332,Lärm::N,buka,шалнома
333,Lärm::N,galama,шалнома
334,Laut::N,zvuk,вайгель
335,Ton::N,ton,гайнема
336,Lied::N,pjesma,моро
337,Ruhe::N,tišina,оймамо
338,Ruhe::N,počinak,оймамо
339,Leute::N,ljudi,ломанть
340,Volk::N,puk,народ
341,Volk::N,narod,народ
342,Arbeit::N,rad,тев
343,Arbeit::N,posao,тев
344,Gast::N,gost,инже
345,Geschenk::N,dar,казне
346,Geschenk::N,poklon,казне
347,Spiel::N,igra,налксема
348,Gesellschaft::N,društvo,община
349,Gesellschaft::N,kompanija,община
350,Hilfe::N,pomoć,лездамо
351,Freund::N,prijatelj,оя
352,Freund::N,prijatelj,ялга
353,Kamerad::N,drug,оя
354,Kamerad::N,drug,ялга
355,Kamerad::N,drugar,оя
356,Kamerad::N,drugar,ялга
357,Angelegenheit::N,posao,тев
358,Anzahl::N,broj,ламоксчи
359,Anzahl::N,brojnost,ламоксчи
360,Art::N,vid,вид
361,Art::N,vrst,вид
362,Stück::N,komad,пакш
363,Stück::N,komad,пелькс
364,Teil::N,dio,часть
365,Teil::N,dio,пелькс
366,Hälfte::N,polovina,пель
367,Hälfte::N,polovina,пелькс
368,Kreis::N,krug,кирькс
369,Kreuz::N,križ,крёст
370,Linie::N,crta,кикс
371,Strich::N,crta,межа
372,Abstand::N,razmak,ютко
373,Abstand::N,odstojanje,ютко
374,Entfernung::N,udaljenost,ютко
375,Gegend::N,kraj,тарка
376,Gegend::N,kraj,пертьпелькс
377,Gegend::N,predeo,тарка
378,Gegend::N,predeo,пертьпелькс
379,Platz::N,mjesto,васолкс
380,Ort::N,mjesto,тарка
381,Seite::N,bok,ён
382,Seite::N,bok,чире
383,Seite::N,strana,ён
384,Seite::N,strana,чире
385,Mitte::N,sredina,куншка
386,Gegenstand::N,predmet,предмет
387,Sache::N,posao,тев
388,Sache::N,posao,веща
389,Rand::N,rub,пе
390,Rand::N,rub,чире
391,Rand::N,kraj,пе
392,Rand::N,kraj,чире
393,Kante::N,brid,ирдез
394,Kante::N,ivica,ирдез
395,Ecke::N,ugao,ужо
396,Spitze::N,vrh,пряне
397,Spitze::N,vrh,пе
398,Spitze::N,šiljak,пряне
399,Spitze::N,šiljak,пе
400,Ende::N,konac,пе
401,Loch::N,rupa,варя
402,Winkel::N,kut,ужо
403,Winkel::N,ugao,ужо
404,Muster::N,uzor,сёрма
405,Größe::N,veličina,сэрь
406,Größe::N,veličina,покшолма
407,Länge::N,duljina,кувалмо
408,Höhe::N,visina,сэрь
409,Höhe::N,visina,пандо
410,Gewicht::N,težina,сталмо
411,Menge::N,mnoštvo,лововкс
412,Menge::N,količina,лововкс
413,Haufen::N,hrpa,мар
414,Haufen::N,hrpa,валявкс
415,Haufen::N,gomila,мар
416,Haufen::N,gomila,валявкс
417,Reihe::N,red,ряд
418,Boot::N,čun,венч
419,Boot::N,čamac,венч
420,Ruder::N,veslo,милё
421,Schlitten::N,saone,нурдт
422,Ski::N,ski,сокс
423,Ski::N,smučka,сокс
424,Lagerfeuer::N,logorska vatra,толбандя
425,Last::N,tovar,сталмо
426,Last::N,tovar,кандома
427,Gang::N,hod,молема
428,Gang::N,hod,якамо
429,Schritt::N,korak,эскелькс
430,Norden::N,sjever,якшамо ёнкс
431,Süden::N,jug,лембе ёнкс
432,Westen::N,zapad,чивалгома
433,Osten::N,istok,чилисема
434,Holz::N,drvo,чувто
435,Brett::N,daska,лаз
436,Platte::N,ploča,плита
437,Stütze::N,potpora,неже
438,Stange::N,motka,олга
439,Stock::N,štap,мандо
440,Stock::N,palica,мандо
441,Stab::N,štap,олога
442,Stab::N,šipka,олога
443,Rohr::N,cijev,турба
444,Haus::N,kuća,кудо
445,Heim::N,dom,кудо
446,Ofen::N,peć,каштомо
447,Fußboden::N,pod,киякс
448,Tisch::N,stol,столь
449,Tisch::N,trpeza,столь
450,Stuhl::N,stolac,стул
451,Stuhl::N,stolica,стул
452,Wiege::N,kolijevka,лавсь
453,Wiege::N,kolijevka,нурямот
454,Bett::N,krevet,ацамо
455,Bett::N,postelja,ацамо
456,Regal::N,polica,лався
457,Regal::N,polica,лавсяланго
458,Kiste::N,sanduk,горобия
459,Kiste::N,sanduk,сундук
460,Fenster::N,prozor,вальма
461,Tür::N,vrata,кенкш
462,Tor::N,vrata,ортат
463,Tor::N,kapija,ортат
464,Zaun::N,plot,пирявт
465,Zaun::N,plot,пирвякс
466,Zaun::N,ograda,пирявт
467,Zaun::N,ograda,пирвякс
468,Dach::N,krov,кудопря
469,Leiter::N,ljestve,кузтема
470,Leiter::N,ljestvice,кузтема
471,Besen::N,metla,тенсть
472,Spaten::N,ašov,койме
473,Schaufel::N,lopata,кече
474,Schaufel::N,lopata,келей койме
475,Gabel::N,viljuška,сянгине
476,Löffel::N,žlica,пенч
477,Messer::N,nož,пеель
478,Nagel::N,čavao,эске
479,Netz::N,mreža,алтыма
480,Haken::N,kuka,кечказ
481,Griff::N,držak,кедне
482,Griff::N,ručica,кедне
483,Schloss::N,brava,замок
484,Schloss::N,brava,панжома
485,Bild::N,slika,картина
486,Figur::N,figura,рунго
487,Puppe::N,lutka,няка
488,Beutel::N,kesa,кескав
489,Bündel::N,snop,керькс
490,Bündel::N,svežanj,керькс
491,Tasche::N,torba,юдма
492,Tasche::N,taška,юдма
493,Eimer::N,kabao,ведра
494,Deckel::N,poklopac,велькс
495,Geschirr::N,suđe,кедьге
496,Geschirr::N,posuđe,кедьге
497,Sack::N,džak,кескав
498,Sack::N,vreća,кескав
499,Tasse::N,šalica,чакш
500,Topf::N,lonac,кастрюля
501,Kessel::N,kazan,котёл
502,Essen::N,obrok,ярсамо
503,Nahrung::N,hrana,ярсамопель
504,Speise::N,jelo,ярсамопель
505,Fleisch::N,meso,сывель
506,Getreide::N,žito,сюро
507,Getreide::N,žitarice,сюро
508,Brei::N,kaša,каша
509,Brot::N,kruh,кши
510,Scheibe::N,kriška,кочом
511,Scheibe::N,kriška,сускомо
512,Fett::N,mast,куя
513,Fett::N,salo,куя
514,Butter::N,buter,ой
515,Butter::N,maslac,ой
516,Öl::N,ulje,ой
517,Salz::N,sol,сал
518,Suppe::N,supa,ям
519,Honig::N,med,медь
520,Milch::N,mlijeko,ловсо
521,Tee::N,čaj,чай
522,Leder::N,koža,киське
523,Wolle::N,vuna,пона
524,Stoff::N,štof,коцт
525,Stoff::N,tkanina,коцт
526,Nadel::N,igla,салмукс
527,Faden::N,nit,суре
528,Faden::N,konac,суре
529,Knopf::N,dugme,пов
530,Knoten::N,čvor,сюлмо
531,Knoten::N,uzao,сюлмо
532,Farbe::N,farba,артомапель
533,Kleidung::N,odjeća,оршамот
534,Hemd::N,košulja,панар
535,Kragen::N,ovratnik,сиве
536,Ärmel::N,rukav,ожа
537,Hose::N,hlače,понкст
538,Gürtel::N,pas,каркс
539,Gürtel::N,pojas,каркс
540,Mütze::N,kapa,чапка
541,Schuh::N,cipela,туфля
542,Stiefel::N,čizma,кем
543,Ring::N,prsten,суркс
544,Band::N,vrpca,лента
545,Kamm::N,češalj,сурсеме
546,Spiegel::N,zrcalo,чавачамо
547,Spiegel::N,ogledalo,чавачамо
548,Riemen::N,kaiš,кшнань каркс
549,Riemen::N,remen,кшнань каркс
550,Schnur::N,vrpca,пикс
551,Leine::N,uzica,ведьме
552,Decke::N,ćebe,вельтямо
553,Decke::N,pokrivač,вельтямо
554,Kissen::N,jastuk,тодов
555,Tuch::N,rubac,паця
556,Tuch::N,marama,паця
557,Handtuch::N,ručnik,нардамо
558,Kraft::N,snaga,вий
559,Stärke::N,jakost,виевчи
560,Gesundheit::N,zdravlje,шумбрачи
561,Krankheit::N,bolest,орма
562,Krankheit::N,bolest,сэредема
563,Schmerz::N,bol,сэредькс
564,Wunde::N,rana,керявкс
565,Fieber::N,groznica,маштыкс
566,Arznei::N,lijek,ормаменькс
567,Brücke::N,most,сэдь
568,Brücke::N,most,мадамо
569,Brücke::N,ćuprija,сэдь
570,Brücke::N,ćuprija,мадамо
571,Brunnen::N,bunar,лисьма
572,Brunnen::N,zdenac,лисьма
573,Weide::N,paša,ракшань ванома тарка
574,Weide::N,pašnjak,ракшань ванома тарка
575,Pfad::N,staza,ян
576,Weg::N,put,ки
577,Straße::N,drum,ки
578,Straße::N,cesta,ки
579,Dorf::N,selo,веле
580,Stadt::N,grad,ош
581,Stadt::N,varoš,ош
582,Brief::N,list,сёрма
583,Brief::N,pismo,сёрма
584,Buch::N,knjiga,книга
585,Buchstabe::N,slovo,буква
586,Zeitung::N,novine,газета
587,Leben::N,život,эрямо
588,Tod::N,smrt,кулома
589,Grab::N,raka,калмо
590,Kirche::N,crkva,церькова
591,Sünde::N,grijeh,чумочи
592,Gott::N,bog,паз
593,Arbeiter::N,radnik,робочей
594,Chef::N,šef,прявт
595,Meister::N,majstor,кол тевень тенця
596,Arzt::N,liječnik,врач
597,Lehrer::N,učitelj,учитель
598,Lehrer::N,učitelj,тонавтыця
599,Geld::N,novac,ярмак
600,Geschäft::N,posao,ладязь тев
601,Geschäft::N,trgovina,ладязь тев
602,Laden::N,dućan,лавка
603,Preis::N,cijena,питне
604,Ware::N,roba,миевкс
605,Ware::N,roba,рамавкс
606,Nutzen::N,korist,паро
607,Nutzen::N,korist,лезэ
608,Reichtum::N,bogatstvo,сюпавчи
609,Welt::N,svijet,мир
610,Welt::N,svijet,мастор ланго
611,Land::N,zemlja,мастор
612,Staat::N,država,государства
613,König::N,kralj,король
614,Macht::N,moć,азорксчи
615,Macht::N,vlast,азорксчи
616,Grenze::N,granica,буен тешкс
617,Krieg::N,rat,война
618,Feind::N,neprijatelj,душман
619,Gewalt::N,sila,нарьгамо
620,Gewalt::N,nasilje,нарьгамо
621,Kampf::N,boj,тюрема
622,Kampf::N,borba,тюрема
623,Bogen[Waffe]::N,luk,нал
624,Pfeil::N,strijela,нал
625,Gewehr::N,puška,ружия
626,Gewehr::N,puška,винтовка
627,Fehler::N,pogreška,ильведькс
628,Fehler::N,pogreška,ильведевкс
629,Fehler::N,griješka,ильведькс
630,Fehler::N,griješka,ильведевкс
631,Lüge::N,laž,манчема
632,Lüge::N,laž,кенгелема
633,Schaden::N,šteta,зыян
634,Unglück::N,nesreća,зыян
635,Schuld::N,krivnja,чумочи
636,Alter::N,dob,шка
637,Schluss::N,kraj,пе
638,Schluss::N,konac,пе
639,Zeit::N,doba,шка
640,Zeit::N,doba,пинге
641,Zeit::N,vrijeme,шка
642,Zeit::N,vrijeme,пинге
643,Tag::N,dan,чи
644,Morgen::N,jutro,валске
645,Mittag::N,podne,чикуншка
646,Abend::N,veče,чокшнэ
647,Abend::N,večer,чокшнэ
648,Nacht::N,noć,ве
649,Woche::N,sedmica,недля
650,Monat::N,mjesec,ков
651,Jahr::N,godina,ие
652,Frühling::N,proljeće,тундо
653,Sommer::N,ljeto,кизэ
654,Herbst::N,jesen,сёксь
655,Winter::N,zima,теле
656,Januar::N,januar,якшамков
657,Januar::N,siječanj,якшамков
658,Februar::N,veljača,февраль
659,Februar::N,februar,февраль
660,März::N,mart,март
661,März::N,ožujak,март
662,April::N,april,апрель
663,April::N,travanj,апрель
664,Mai::N,maj,май
665,Mai::N,svibanj,май
666,Juni::N,juni,июнь
667,Juni::N,lipanj,июнь
668,Juli::N,juli,июль
669,Juli::N,srpanj,июль
670,August::N,august,август
671,August::N,kolovoz,август
672,September::N,rujan,сентября
673,September::N,septembar,сентября
674,Oktober::N,oktobar,октября
675,Oktober::N,listopad,октября
676,November::N,studeni,ноября
677,November::N,novembar,ноября
678,Dezember::N,prosinac,декабря
679,Montag::N,ponedjeljak,пондельник
680,Montag::N,ponedjeljnik,пондельник
681,Dienstag::N,utorak,овторник
682,Dienstag::N,utornik,овторник
683,Mittwoch::N,srijeda,серёда
684,Donnerstag::N,četvrtak,цетьверьг
685,Freitag::N,petak,пеця
686,Samstag::N,subota,субута
687,Samstag::N,subota,шлямочи
688,Sonntag::N,nedjelja,недлячи
689,groß::A,velik,ине
690,groß::A,velik,покш
691,klein::A,mali,вишка
692,klein::A,malen,вишка
693,lang::A,dug,кувака
694,lang::A,dugačak,кувака
695,kurz::A,kratak,нурькине
696,breit::A,širok,келей
697,schmal::A,uski,теине
698,schmal::A,uzak,теине
699,dicht::A,gust,тусто
700,dick[Gegenstand]::A,debeo,эчке
701,dünn::A,tanak,човине
702,fein::A,fin,човине
703,fein::A,tanak,човине
704,fest::A,čvrst,кеме
705,flach::A,ravan,лапужа
706,flach::A,plosnat,лапужа
707,glatt::A,gladak,валаня
708,hart::A,tvrd,калгодо
709,weich::A,mek,чевте
710,weich::A,mekan,чевте
711,rund::A,okrugao,кеверь
712,spitz::A,oštar,пшти
713,spitz::A,šiljast,пшти
714,scharf::A,oštar,пшти
715,scharf::A,bridak,пшти
716,stumpf::A,tup,ношка
717,schwer::A,težak,стака
718,schön::A,krasan,мазый
719,heiß::A,vruć,пси
720,warm::A,topao,лембе
721,kalt::A,hladan,якшамо
722,kühl::A,hladan,экше
723,frisch::A,svjež,свежа
724,feucht::A,vlažan,летьке
725,nass::A,mokar,начко
726,trocken::A,suh,коське
727,voll::A,pun,пешксе
728,leer::A,prazan,чаво
729,offen::A,otvoren,панжадо
730,offen::A,otvoren,виде
731,geschlossen::A,zatvoren,пекстазь
732,geschlossen::A,zatvoren,сёлгозь
733,sauber::A,čist,ванькс
734,schmutzig::A,nečist,ливезев
735,schmutzig::A,blatan,ливезев
736,roh::A,sirov,верек
737,reif::A,zreo,кенерезь
738,lecker::A,tečan,тантей
739,lecker::A,ukusan,тантей
740,süß::A,sladak,ламбамо
741,bitter::A,gorak,сэпей
742,sauer::A,kiseo,чапамо
743,hell::A,vedar,валдо
744,hell::A,svijetao,валдо
745,dunkel::A,taman,чопода
746,schwarz::A,crn,раужо
747,weiß::A,bio,ашо
748,weiß::A,bijel,ашо
749,rot::A,crven,якстере
750,gelb::A,žut,ожо
751,blau::A,plav,сэнь
752,blau::A,modar,сэнь
753,grün::A,zelen,пиже
754,grau::A,siv,шержев
755,bunt::A,šaren,сёрмав
756,billig::A,jeftin,аволь питней
757,teuer::A,skup,питней
758,wertvoll::A,vrijedan,питней
759,wertvoll::A,dragocjen,питней
760,blind::A,slijep,сокор
761,taub::A,gluh,амариця
762,kräftig::A,snažan,пек виев
763,stark::A,jak,виев
764,stark::A,snažan,виев
765,schwach::A,slab,лавшо
766,fett::A,pretio,куя
767,schlank::A,vitak,виде ронга
768,hübsch::A,zgodan,мазый
769,böse::A,zao,кежей
770,böse::A,opak,кежей
771,dumm::A,glup,чавола
772,dumm::A,glup,превтеме
773,faul::A,lijen,нузякс
774,fleißig::A,radin,мелень путыця
775,fleißig::A,marljiv,мелень путыця
776,geizig::A,škrt,скупой
777,klug::A,razborit,превей
778,geschickt::A,vješt,маштозь теезь
779,lieb::A,drag,вадря
780,lustig::A,veseo,весёла
781,sanft::A,blag,сэтьме
782,hungrig::A,gladan,вачо
783,krank::A,bolestan,сэредиця
784,nackt::A,nag,штапо
785,traurig::A,tužan,нусманя
786,traurig::A,žalostan,нусманя
787,lebendig::A,živ,эриця
788,gut::A,dobar,паро
789,schlecht::A,loš,берянь
790,schlecht::A,rđav,берянь
791,richtig::A,tačan,виде
792,richtig::A,ispravan,виде
793,schlimm::A,zao,берянь
794,schlimm::A,zločest,берянь
795,wahr::A,istinit,алкуксонь
796,alt::A,star,ташто
797,neu::A,nov,од
798,ehemalig::A,bivši,икелень
799,alt[Lebewesen]::A,star,сыре
800,jung::A,mlad,од
801,arm::A,ubog,кажов
802,arm::A,siromašan,кажов
803,reich::A,bogat,сюпав
804,bekannt::A,poznat,содавикс
805,berühmt::A,čuven,содавикс
806,berühmt::A,slavan,содавикс
807,fremd::A,tuđ,лия
808,fremd::A,tuđ,асодавикс
809,fremd::A,stran,лия
810,fremd::A,stran,асодавикс
811,verschieden::A,razan,эрьва
812,verschieden::A,različan,эрьва
813,nah::A,blizak,а васолонь
814,fern::A,dalek,умонь
815,fern::A,dalek,кезэрень
816,fern::A,daljnji,умонь
817,fern::A,daljnji,кезэрень
818,linker::A,lijevi,керш
819,rechter::A,desni,вить
820,anderer::A,drugi,лия
821,anderer::A,drugačiji,лия
822,erster::A,prvi,васень
823,erster::A,prvi,васенце
824,zweiter::A,drugi,омбоце
825,dritter::A,treći,колмоце
826,letzter::A,zadnji,меельце
827,allein::ADV,sam,башка
828,allein::ADV,sam,ськамонзо
829,auf einmal::ADV,istodobno,вейсэ
