,Concept_ID,ku,mdf
248,Onkel::N,xal,оця
249,Onkel::N,xal,патя
250,Onkel::N,xal,щеня́
251,Tante::N,metik,ака
252,Tante::N,metik,щака
253,Tante::N,xaltîk,ака
254,Tante::N,xaltîk,щака
255,Ehemann::N,mêr,мирде
256,Ehefrau::N,kulfet,ърьвя́
257,Freude::N,kêfxweşî,ке́нярдема
258,Gelächter::N,pîrqînî,рахсема
259,Glück::N,bext,паваз
260,Kummer::N,derd,ризф
261,Kummer::N,derd,пичефкс
262,Wunsch::N,daxwaz,мяль
263,Wunsch::N,daxwaz,таколдома
264,Wunsch::N,xwestek,мяль
265,Wunsch::N,xwestek,таколдома
266,Lust::N,şewq,таколдома
267,Geist::N,aqil,вайме
268,Gedanke::N,fikir,мяль
269,Gedächtnis::N,aqil,прявий
270,Verstand::N,fêm,прявий
271,Sinn::N,aqil,ён
272,Grund::N,asas,туфта́л
273,Wahrheit::N,rastî,ви́де
274,Wahrheit::N,rastî,видеши́
275,Gespräch::N,guftûgo,корхтама
276,Märchen::N,çirok,ёфкс
277,Erzählung::N,çirok,азкс
278,Erzählung::N,vegotin,азкс
279,Nachricht::N,nûçe,куля́
280,Neuigkeit::N,hewal,куля́
281,Name::N,nav,лем
282,Name::N,paşnav,лем
283,Rätsel::N,tiştonek,со́дама ёфкс
284,Rede::N,gotar,вал
285,Rede::N,gotar,корхтама
286,Rede::N,axavtin,вал
287,Rede::N,axavtin,корхтама
288,Sprache::N,ziman,кяль
289,Stimme::N,pejn,вайгяль
290,Wort::N,gotin,вал
291,Zeichen::N,şanek,тя́ште
292,Zeichen::N,şanek,тя́штькс
293,Ruf::N,hawar,тердема
294,Lärm::N,xarbalix,гайф
295,Lärm::N,xarbalix,жалакодома
296,Laut::N,deng,вайгяль
297,Laut::N,hês,вайгяль
298,Ton::N,awaz,вайгяль
299,Lied::N,sitran,мора
300,Ruhe::N,rihetî,сетьме
301,Leute::N,xelk,ломатть
302,Volk::N,xelk,наро́д
303,Arbeit::N,xebat,тев
304,Gast::N,mêvan,и́нжи
305,Gast::N,mêvan,ко́нак
306,Geschenk::N,diyarî,казне
307,Spiel::N,lîstik,налхкома
308,Spiel::N,lîstik,налхксема
309,Gesellschaft::N,komal,кружок
310,Hilfe::N,alîkarî,лездома
311,Freund::N,heval,я́лга
312,Kamerad::N,heval,я́лга
313,Angelegenheit::N,pirsgirêk,тев
314,Anzahl::N,çend,лувкс
315,Art::N,çeh,вид
316,Stück::N,lib,пакш
317,Stück::N,parçe,пакш
318,Teil::N,parçe,часть
319,Teil::N,parçe,пялькс
320,Hälfte::N,nîvî,пяле
321,Kreis::N,çemil,шаркс
322,Kreuz::N,xaç,крёз
323,Linie::N,xezik,межа
324,Linie::N,xezik,китькс
325,Strich::N,xezik,межа
326,Abstand::N,dûrahî,ётка
327,Entfernung::N,dûrahî,ётка
328,Gegend::N,dever,ва́ста
329,Gegend::N,dever,перьфпя́ль
330,Platz::N,çih,ва́ста
331,Ort::N,dever,ва́ста
332,Seite::N,rûpel,пяле
333,Mitte::N,nav,кучка́
334,Mitte::N,nabênê,кучка́
335,Gegenstand::N,tişt,веща
336,Sache::N,tişt,тев
337,Sache::N,tişt,веща
338,Rand::N,kevî,пе
339,Kante::N,kevî,и́рдез
340,Ecke::N,qunç,ужа
341,Spitze::N,derzî,пря
342,Ende::N,talî,пе
343,Loch::N,qul,варя
344,Winkel::N,kurnîşk,ужа
345,Muster::N,desen,сёрма
346,Größe::N,mezinî,серь
347,Länge::N,dirêjahî,кува́лма
348,Höhe::N,bilindayî,серь
349,Gewicht::N,giranî,сталма
350,Menge::N,qas,лувкс
351,Haufen::N,lod,мар
352,Reihe::N,rêz,ряд
353,Boot::N,kelek,венеж
354,Ruder::N,bêrik,миле
355,Schlitten::N,xîjik,ну́рда
356,Ski::N,lakan,сокс
357,Lagerfeuer::N,agir,то́лмар
358,Last::N,bar,канкс
