,Concept_ID,te,ko
310,Lagerfeuer::N,నెగడు,캠프의 모닥불
311,Last::N,బరువు,무거운짐
312,Gang::N,నడక,걸음
313,Schritt::N,అడుగు,보조
314,Norden::N,ఉత్తరదిక్కు,북쪽 
315,Süden::N,దక్షిణము,남쪽
316,Westen::N,పడమర,서쪽
317,Osten::N,తూర్పు,동쪽
318,Holz::N,కొయ్య,목재
319,Brett::N,పలక,마루널
320,Platte::N,పలక,탤
321,Platte::N,పలక,금속판
322,Stütze::N,వాల్సేడ్లు,버팀목
323,Stange::N,స్తంభము,장대
324,Stock::N,కఱ్ఱ,막대기
325,Stab::N,కఱ్ఱ,작대기
326,Rohr::N,గొట్టము,갈대
327,Haus::N,ఇల్లు,집
328,Heim::N,స్వగృహము,집
329,Ofen::N,పొయ్యి,아궁이
330,Fußboden::N,నేల,마루
331,Tisch::N,మేజా,탁자
332,Stuhl::N,కుర్చీ,의자
333,Wiege::N,ఉయ్యాల,발상지
334,Bett::N,పడక,침대
335,Bett::N,మంచం,침대
336,Regal::N,అటక,서가
337,Kiste::N,వెట్టె,짐궤
338,Fenster::N,కిటికి,눔
339,Tür::N,ద్వారము,문
340,Tor::N,ద్వారము,대문
341,Zaun::N,కంచె,담장
342,Dach::N,ఇంటివైకప్పు,지붕
343,Leiter::N,నిచ్చెన,사닥다리
344,Besen::N,చీపురుకట్ట,비
345,Spaten::N,పాఱ,가래
346,Schaufel::N,పాఱ,삽
347,Gabel::N,ముండ్లగరిటె,갈래
348,Löffel::N,గరిటె,숟가락
349,Messer::N,కత్తి,나이프
350,Nagel::N,మేకు,발툽
351,Netz::N,వల,그물
352,Haken::N,కొక్కెము,갈고리
353,Griff::N,పిడి,움켜쥠
354,Schloss::N,తాళము,자물쇠
355,Bild::N,చిత్రము,그림
356,Figur::N,రూపము,몸메
357,Puppe::N,బొమ్మ,인형
358,Beutel::N,సంచి,클
359,Bündel::N,మూట,자근다발
360,Tasche::N,సంచి,가방
361,Eimer::N,చేద,동이
362,Deckel::N,మూత,뚜껑
363,Geschirr::N,వంటకాలు,식시
364,Sack::N,గోనెసంచి,조갑
365,Tasse::N,గిన్నె,차잔
366,Topf::N,కుండ,단지
367,Kessel::N,నీరుకాచుపాత్ర,주전자
368,Essen::N,ఆహారము,먹기
369,Nahrung::N,ఆహారము,식료
370,Speise::N,ఆహారము,음식물
371,Fleisch::N,మాంసము,고기
