,Concept_ID,hy,ml
65,Stern::N,աստղ,നക്ഷത്രം
66,Luft::N,օդ,കാറ്റ്
67,Wind::N,քամի,കാറ്റ്
68,Welle::N,ալիք,തിരമാല
69,Wasser::N,ջուր,വെള്ളം
70,Stein::N,քար,ശില
71,Stein::N,քար,കല്ല്
72,Boden::N,գետին,തറ
73,Boden::N,գետին,നിലം
74,Erde::N,հող,മണ്ണ്
75,Staub::N,փոշի,പൊടി
76,Rauch::N,ծուխ,പുക
77,Funke::N,կայծ,തീപ്പൊരി
78,Feuer::N,կրակ,തീ
79,Feuer::N,հրդեհ,തീ
80,Licht::N,լույս,വിളക്ക്
81,Licht::N,լույս,സൂര്യപ്രകാശം
82,Schatten::N,ստվեր,തണൽ
83,Wetter::N,եղանակ,കാലാവസ്ഥ
84,Nebel::N,մեգ,മൂടൽമഞ്ഞ്
85,Nebel::N,մառախուղ,മൂടൽമഞ്ഞ്
86,Wolke::N,ամպ,മേഘം
87,Regen::N,անձրև,മഴ
88,Schnee::N,ձյուն,മഞ്ഞ്
89,Eis::N,սառույց,ഐസ്
90,Frost::N,սառնամանիք,മൂടൽമഞ്ഞ്
91,Kälte::N,դող,തണുപ്പ്
92,Hitze::N,շոգ,ചൂട്
93,Raureif::N,ցօղեղեամ,കോടമഞ്ഞ്
94,Regenbogen::N,ծիածան,മഴവില്ല്
95,Donner::N,որոտ,ഇടി
96,Strömung::N,հոսանք,പ്രവാഹം
97,Tropfen::N,կաթիլ,തുള്ളി
98,Schaum::N,փրփուր,നുര
99,Schmutz::N,կեղտ,അഴുക്ക്
100,See::N,լիճ,തടാകം
101,Sumpf::N,ճահիճ,ചതുപ്പുനിലം
102,Moor::N,ճահիճ,പാഴ്നിലം
103,Wiese::N,մարգագետին,പുൽത്തകിടി
104,Wald::N,անտառ,വനം
105,Wald::N,անտառ,കാട്
106,Hügel::N,բլուր,കുന്ന്
107,Anhöhe::N,բարձունք,ഉയർന്ന ഭൂമി
108,Berg::N,լեռ,പർവ്വതം
109,Gipfel::N,գագաթ,ഉച്ചകോടി
110,Gipfel::N,կատար,ഉച്ചകോടി
111,Höhle::N,քարայր,ഗുഹ
112,Abhang::N,լանջ,ചരിവ്
113,Abhang::N,զառիվայր,ചരിവ്
114,Quelle::N,աղբյուր,ഉറവിടം
115,Bach::N,վտակ,അരുവി
116,Fluss::N,գետ,നദി
117,Ufer::N,ծովափ,തീരം
118,Küste::N,ափ,കടൽത്തീരം
119,Küste::N,ծովափ,കടൽത്തീരം
120,Festland::N,ցամաք,കര
121,Meer::N,ծով,കടൽ
122,Bucht::N,հաչիւն,ഉൾക്കടല്
123,Insel::N,վղզի,ദ്വീപ്
124,Blume::N,ծաղիկ,പൂവ്
125,Gras::N,խոտ,പുല്ല്
126,Wurzel::N,արմատ,വേര്
127,Baum::N,ծառ,മരം
128,Stamm::N,իրան,തായ്ത്തടി
129,Rinde::N,կեղեւ,പട്ട
130,Rinde::N,հաչոց,പട്ട
131,Ast::N,ճյուղ,ശാഖ
132,Zweig::N,ճյուղ,ശാഖ
133,Blatt::N,տերեւ,ഇല
134,Birke::N,ցարասի,പൂവരശ്
135,Kiefer[Baum]::N,սոճի,പൈൻമരം
136,Weide[Baum]::N,ուռենի,വില്ലോ
137,Tanne::N,եղեւին,ദേവദാരു
138,Feder::N,փետուր,തൂവൽ
139,Fell::N,մորթի,മൃദുരോമം
140,Flügel::N,թեւ,ചിറക്
141,Klaue::N,չանչ,നഖം
142,Kralle::N,ճանկ,നഖം
143,Schwanz::N,պոչ,വാൽ
144,Ei::N,ձու,മുട്ട
145,Nest::N,բույն,കൂട്
146,Bau::N,որջ,മാളം
147,Bau::N,բայոց,മാളം
148,Tier::N,կենդանի,മൃഗം
149,Herde::N,հոտ,കൂട്ടം
150,Kuh::N,կով,പശു
151,Bulle::N,ցուլ,കാള
152,Pferd::N,ձի,കുതിര
153,Schaf::N,ոչխար,ആട്
154,Schwein::N,խոզ,പന്നി
155,Hund::N,շուն,നായ്
156,Katze::N,կատու,പൂച്ച
157,Bär::N,արջ,കരടി
158,Eichhörnchen::N,սկյուռ,അണ്ണാൻ
159,Elch::N,հիւսիսային եղջերու,കടമാന്
160,Fuchs::N,աղվես,കുറുക്കൻ
161,Hase::N,նապաստակ,മുയൽ
162,Maus::N,մուկ,ചുണ്ടലി
163,Wolf::N,գայլ,ചെന്നായ
164,Vogel::N,թռչուն,പക്ഷി
165,Schwarm::N,երամ,കൂട്ടം
166,Huhn::N,հավ,കോഴി
167,Hahn::N,աքաղաղ,പൂവൻകോഴി
168,Gans::N,սագ,അരയന്നം
169,Adler::N,արծիվ,കഴുകൻ
170,Ente::N,բադ,താറാവ്
171,Eule::N,բու,മൂങ്ങ
172,Kranich::N,կռունկ,കൊക്ക്
173,Krähe::N,ագռավ,കാക്ക
174,Kuckuck::N,կուկու,കുയിൽ
175,Schwan::N,կարապ,അരയന്നം
176,Fisch::N,ձուկ,മത്സ്യം
177,Barsch::N,պերկես,ഒരിനം മത്സ്യം
178,Hecht::N,գայլաձուկ,ഒരു മത്സ്യം
179,Schlange[Tier]::N,օձ,പാമ്പ്
180,Wurm::N,որդ,വിര
181,Wurm::N,ճիճու,വിര
182,Spinne::N,սարդ,ചിലന്തി
183,Ameise::N,միջյուն,ഉറുമ്പ്
184,Laus::N,ոջիլ,പേന്
185,Mücke::N,մժղուկ,മശകം
186,Fliege::N,ճանճ,ഈച്ച
187,Schmetterling::N,թիթեռ,ചിത്രശലഭം
188,Beere::N,հատապտուղ,ബെറി
189,Apfel::N,խնձոր,ആപ്പിൾ
190,Pilz::N,սունկ,കൂൺ
191,Zwiebel::N,սոխ,സവാള
192,Saat::N,սերմ,വിത്ത്
193,Korn::N,հատիկ,ധാന്യം
194,Heu::N,խոտ,വയ്ക്കോൽ
195,Schale::N,կեղեւ,തൊലി
196,Grube::N,փոս,കുഴി
197,Falle::N,ծուղակ,കെണി
198,Schlinge::N,խեղդան,കുടുക്ക്
199,Spur::N,հետք,ചുവട്
200,Asche::N,մոխիր,ചാരം
201,Dreck::N,աղտ,അഴുക്ക്
202,Eisen::N,երկաթ,ഇരുമ്പ്
203,Gold::N,ոսկի,സ്വർണ്ണം
204,Silber::N,արծաթ,വെള്ളി
205,Kohle::N,քարածուխ,കൽക്കരി
206,Glas::N,ապակի,ഗ്ലാസ്
207,Lehm::N,կավ,കളിമണ്ണ്
208,Sand::N,ավազ,മണൽ
209,Mensch::N,մարդ,മനുഷ്യർ
210,Mann::N,մարդ,പുരുഷൻ
211,Mann::N,տղամարդ,പുരുഷൻ
212,Frau::N,կին,സ്ത്രീ
213,Kind::N,զավակ,കുഞ്ഞ്
214,Junge::N,տղա,ആൺകുട്ടി
215,Mädchen::N,աղջիկ,പെൺകുട്ടി
216,Familie::N,ընտանիք,കുടുംബം
217,Großvater::N,պապ,അപ്പൂപ്പൻ
218,Großmutter::N,տատ,അമ്മുമ്മ
219,Eltern::N,ծնողներ,മാതാപിതാക്കള്
220,Vater::N,հայր,അച്ഛൻ
221,Mutter::N,մայր,അമ്മ
222,Sohn::N,որդի,മകൻ
223,Tochter::N,աղջիկ,മകൾ
224,Tochter::N,դուստր,മകൾ
225,Bruder::N,եղբայր,ചേട്ടൻ
226,Bruder::N,եղբայր,അനിയൻ
227,Schwester::N,քույր,ചേച്ചി
228,Schwester::N,քույր,അനിയത്തി
229,Onkel::N,քեռի,അമ്മാവൻ
230,Onkel::N,հորեղբայր,അമ്മാവൻ
231,Tante::N,մորաքույր,മാമി
232,Ehemann::N,մարդ,ഭർത്താവ്
233,Ehemann::N,ամուսին,ഭർത്താവ്
234,Ehefrau::N,կին ամուսին,ഭാര്യ
235,Freude::N,ուրախություն,ആഹ്ലാദം
236,Gelächter::N,ծիծաղ,ചിരിയുടെ ശബ്ദം
237,Glück::N,երջանկություն,സന്തോഷം
238,Glück::N,երջանկություն,സന്തുഷ്ടി
239,Kummer::N,վիշտ,ശോകം
240,Wunsch::N,ցանկություն,ആഗ്രഹം
241,Lust::N,փափագ,ആഗ്രഹം
242,Lust::N,իղձ,ആഗ്രഹം
243,Geist::N,ոգի,ചുറുചുറുക്ക്
244,Gedanke::N,միտք,ചിന്ത
245,Gedächtnis::N,հիշողություն,ഓർമ്മശക്തി
246,Verstand::N,խելք,മനസ്സ്
247,Sinn::N,իմաստ,അർത്ഥം
248,Grund::N,պատճառ,കാരണം
249,Wahrheit::N,ճշմարտություն,സത്യം
250,Gespräch::N,զրույց,സല്ലാപം
251,Märchen::N,պայիկի պատմություն,യക്ഷിക്കഥ
252,Erzählung::N,պատմվածք,കഥ
253,Erzählung::N,պատմություն,കഥ
254,Nachricht::N,հաղորդագրություն,സന്ദേശം
255,Neuigkeit::N,լուր,വാർത്ത
256,Neuigkeit::N,նորություն,വാർത്ത
257,Name::N,անուն,പേര്
258,Rätsel::N,բարդ խնդիր,പ്രഹേളിക
259,Rede::N,ճառ,സംസാരം
260,Rede::N,ելույթ,സംസാരം
261,Sprache::N,լեզու,ഭാഷ
262,Stimme::N,ձայն,സ്വരം
263,Wort::N,բառ,വാക്ക്
264,Zeichen::N,նշան,സംജ്ഞ
265,Ruf::N,կոչ,വിളി
266,Ruf::N,կանչ,വിളി
267,Lärm::N,աղմուկ,ആരവം
268,Laut::N,հնչյուն,ശബ്ദം
269,Laut::N,ձայն,ശബ്ദം
270,Ton::N,տոն,സ്വരഭേദം
271,Lied::N,երգ,പാട്ട്
272,Ruhe::N,անդորրություն,നിശ്ചലത
273,Leute::N,մարդիկ,ജനങ്ങൾ
274,Volk::N,ազգ,രാഷ്ടം
275,Arbeit::N,գործ,ജോലി
276,Arbeit::N,աշխատանք,ജോലി
277,Gast::N,հյուր,അതിലി
278,Geschenk::N,նվեր,സമ്മാനം
279,Spiel::N,խաղ,കളി
280,Gesellschaft::N,ընկերություն,കൂട്ടായ്മ
281,Hilfe::N,օգնությթուն,സഹായം
282,Freund::N,ընկեր,സുഹൃത്ത്
283,Freund::N,բարեկամ,സുഹൃത്ത്
284,Kamerad::N,ուղեկից,കൂട്ടാളി
285,Angelegenheit::N,բան,കാര്യം
286,Angelegenheit::N,գործ,കാര്യം
287,Anzahl::N,քանակ,എണ്ണം
288,Anzahl::N,գումար,എണ്ണം
289,Art::N,տեսակ,തരം
290,Stück::N,կտոր,കഷണം
291,Teil::N,մաս,ഭാഗം
292,Hälfte::N,կես,പകുതി
293,Kreis::N,շիջանակ,വൃത്തം
294,Kreuz::N,խաչ,കുരിശടയാളം
295,Linie::N,գիծ,വര
296,Linie::N,գիծ,രേഖ
297,Strich::N,գիծ,പക്ഷാഘാതം
298,Abstand::N,անջրպետ,വിടവ്
299,Entfernung::N,հեռավորություն,അകലം
300,Gegend::N,շրջան,പ്രദേശം
301,Platz::N,տարածություն,ഇടം
302,Ort::N,տեղ,സ്ഥലം
303,Ort::N,վայր,സ്ഥലം
304,Seite::N,կողմ,വശം
305,Mitte::N,մեջտեղ,മധ്യസ്ഥാനം
306,Gegenstand::N,առարկա,സാധനം
307,Sache::N,բան,വസ്തു
308,Rand::N,վերջք,തൊങ്ങൽ
309,Kante::N,եզր,അറ്റം
310,Ecke::N,անկյուն,മൂല
311,Spitze::N,ծայր,അഗ്രം
312,Ende::N,ծայր,അവസാനം
313,Loch::N,անցք,ദ്വാരം
314,Winkel::N,անկյուն,കോൺ
315,Muster::N,օրինակ,ക്രമം
316,Größe::N,մեծություն,വലുപ്പം
317,Länge::N,երկարություն,നീളം
318,Höhe::N,բարձրություն,ഉയരം
319,Gewicht::N,կշիռ,കട്ടി
320,Menge::N,քանակ,അളവ്
321,Haufen::N,դեզ,കൂമ്പാരം
322,Haufen::N,կույտ,കൂമ്പാരം
323,Reihe::N,շարք,വരി
324,Reihe::N,կարգ,വരി
325,Boot::N,նավակ,ബോട്ട്
326,Ruder::N,թի,പങ്കായം
327,Ruder::N,թիակ,പങ്കായം
328,Schlitten::N,բալխիր,ഉരുളില്ലാവണ്ടി
329,Ski::N,դահուկ,ഹിമപാദുകം
330,Lagerfeuer::N,բացօդեայ կրակ,തീ
331,Last::N,բեռ,ഭാരം
332,Gang::N,զբոսանք,നടത്തം
333,Schritt::N,քայլ,ചുവട്
334,Norden::N,հյուսիս,വടക്ക്
335,Süden::N,հարավ,തെക്ക്
336,Westen::N,արեւմուտք,പടിഞ്ഞാറ്
337,Osten::N,արեւելք,കിഴക്ക്
338,Holz::N,փայտ,തടി
339,Brett::N,տախտակ,ബോർഡ്
340,Platte::N,թիթեղ,തകിട്
341,Stütze::N,նեցուկ,താങ്ങ്
342,Stange::N,ձող,കമ്പ്
343,Stock::N,փայտ,വടി
344,Stab::N,ցուպ,കുറുവടി
345,Stab::N,գավազան,കുറുവടി
346,Rohr::N,խողովակ,കുഴൽ
347,Haus::N,տուն,വീട്
348,Heim::N,տուն,വീട്
349,Ofen::N,վառարան,സ്റ്റൌ
350,Fußboden::N,հատակ,തറ
351,Tisch::N,սեղան,മേശ
352,Stuhl::N,աթոռ,കസേര
353,Wiege::N,օրորոց,തൊട്ടിൽ
354,Bett::N,անկողին,കിടക്ക
355,Regal::N,դարակ,ഷെൽഫ്
356,Kiste::N,տուփ,പെട്ടി
357,Fenster::N,պատուհան,ജനൽ
358,Tür::N,դուռ,വാതിൽ
359,Tor::N,դարպաս,കവാടം
360,Zaun::N,ցանկապատ,വേലി
361,Dach::N,տանիք,മേൽക്കുര
362,Dach::N,կտուր,മേൽക്കുര
363,Leiter::N,սանդուղք,ഏണി
364,Besen::N,ավել,ചൂല്
365,Spaten::N,բահ,തൂമ്പ
366,Schaufel::N,թի,തൂമ്പ
367,Gabel::N,պատառաքաղ,മുൾക്കത്തി
368,Löffel::N,գդալ,സ്പൂൺ
369,Messer::N,դանակ,കത്തി
370,Nagel::N,մեխ,ആണി
371,Netz::N,ցանց,വല
372,Haken::N,կարթ,കൊളുത്ത്
373,Griff::N,կոթ,കൈപ്പിടി
374,Griff::N,բռնակ,കൈപ്പിടി
375,Schloss::N,կողպեք,പൂട്ട്
376,Bild::N,նկար,ചിത്രം
377,Bild::N,պատկեր,ചിത്രം
378,Figur::N,քանդակ,കണക്ക്
379,Figur::N,պատկեր,കണക്ക്
380,Puppe::N,տիկնիկ,പാവ
381,Beutel::N,տոպրակ,ബാഗ്
382,Bündel::N,կապոց,കെട്ട്
383,Tasche::N,պայուսակ,ബാഗ്
384,Eimer::N,դույլ,ബക്കറ്റ്
385,Deckel::N,կափարիչ,ഉറ
386,Geschirr::N,ամանեղեն,പിഞ്ഞാണം
387,Sack::N,պարկ,ചാക്ക്
388,Sack::N,տոպրակ,ചാക്ക്
389,Tasse::N,թաս,കപ്പ്
390,Tasse::N,գավաթ,കപ്പ്
391,Topf::N,անոթ,പാത്രം
392,Kessel::N,կաթսա,കെറ്റ്ല്
393,Essen::N,կերակուր,ആഹാരസമയം
394,Nahrung::N,ուտելիք,ഭക്ഷണം
395,Speise::N,խորտիկ,ഡിഷ്
396,Speise::N,կերակուր,ഡിഷ്
397,Fleisch::N,միս,മാംസം
398,Getreide::N,հացահատիկ,ചോളം
399,Brei::N,լանդակ,കഞ്ഞി
400,Brot::N,հաց,റോട്ടി
401,Scheibe::N,կտոր,തുണ്ട്
402,Scheibe::N,պատառ,തുണ്ട്
403,Fett::N,ճարպ,കൊഴുപ്പ്
404,Butter::N,կարագ,വെണ്ണ
405,Öl::N,ձեթ,എണ്ണ
406,Salz::N,աղ,ഉപ്പ്
407,Suppe::N,սուպ,സൂപ്പ്
408,Suppe::N,ապուր,സൂപ്പ്
409,Honig::N,մեղր,തേൻ
410,Milch::N,կաթ,പാൽ
411,Tee::N,թեյ,ചായ
412,Leder::N,կաշի,തുകൽ
413,Wolle::N,բուրդ,കമ്പിളി
414,Stoff::N,գործվածք,തുണി
415,Nadel::N,ասեղ,സൂചി
416,Faden::N,թել,നൂല്
417,Knopf::N,կոճակ,ബട്ടൺ
418,Knoten::N,հանգույց,കുരുക്ക്
419,Farbe::N,ներկ,പെയിൻറ്
420,Kleidung::N,հագուստ,വസ്ത്രങ്ങൾ
421,Hemd::N,վերնաշապիկ,ഷർട്ട്
422,Kragen::N,օձիք,കുപ്പായക്കഴുത്ത്
423,Ärmel::N,թեւք,കുപ്പായക്കൈ
424,Hose::N,շալվար,ട്രൌസർ
425,Gürtel::N,գոտի,ബെൽറ്റ്
426,Mütze::N,կեպի,തൊപ്പി
427,Schuh::N,կոշիկ,ഷൂ
428,Stiefel::N,երկարաճիթ կոշիկ,ബൂട്ട്
429,Ring::N,զնգալ,മോതിരം
430,Band::N,ժապավեն,റിബൺ
431,Kamm::N,սանր,ചീപ്പ്
432,Spiegel::N,հայելի,കണ്ണാടി
433,Riemen::N,փոկ,സ്ട്രാപ്പ്
434,Schnur::N,լար,ചരട്
435,Leine::N,փոկ,കെട്ടാനുള്ള തോൽവാർ
436,Decke::N,վերմակ,പുതപ്പ്
437,Kissen::N,բարձ,തലയിണ
438,Tuch::N,թաշկինակ,സ്കാർഫ്
439,Handtuch::N,սրբիչ,തോർത്ത്
440,Kraft::N,ուժ,ശക്തി
441,Stärke::N,պնդություն,ശക്തി
442,Stärke::N,ամրություն,ശക്തി
443,Gesundheit::N,առողջություն,ആരോഗ്യം
444,Krankheit::N,ախտ,അസുഖം
445,Krankheit::N,հիվանդություն,അസുഖം
446,Schmerz::N,ցավ,വേദന
447,Schmerz::N,տանջանք,വേദന
448,Wunde::N,վերք,മുറിവ്
449,Fieber::N,տենդ,പനി
450,Arznei::N,դեղ,മരുന്ന്
451,Brücke::N,կամուրջ,പാലം
452,Brunnen::N,հոր,കിണർ
453,Brunnen::N,ջրհոր,കിണർ
454,Weide::N,արոտավայր,മേച്ചൽ
455,Pfad::N,արահետ,വഴി
456,Weg::N,ուղի,വഴി
457,Straße::N,ճանապարհ,റോഡ്
458,Dorf::N,գյուղ,ഗ്രാമം
459,Stadt::N,քաղաք,നഗരം
460,Brief::N,նամակ,കത്ത്
461,Buch::N,գիրք,പുസ്തകം
462,Buchstabe::N,տառ,അക്ഷരം
463,Buchstabe::N,գիր,അക്ഷരം
464,Zeitung::N,լրագիր,വർത്തമാനപത്രം
465,Leben::N,կյանք,ജീവൻ
466,Tod::N,մահ,മരണം
467,Grab::N,գերեզման,ശവക്കുഴി
468,Kirche::N,եկեղեցի,പള്ളി
469,Sünde::N,մեղք,പാപം
470,Gott::N,աստված,ദൈവം
471,Arbeiter::N,բանվոր,ജോലിക്കാരൻ
472,Arbeiter::N,աշխատող,ജോലിക്കാരൻ
473,Chef::N,տեր,മേധാവി
474,Meister::N,վարպետ,യജമാനൻ
475,Arzt::N,բժիշկ,ഡോക്ടർ
476,Lehrer::N,ուսուցիչ,അധ്യാപകൻ
477,Geld::N,փող,പണം
478,Geschäft::N,գործ,ബിസിനസ്
479,Geschäft::N,աշխատանք,ബിസിനസ്
480,Laden::N,կրպակ,കട
481,Laden::N,խանութ,കട
482,Preis::N,գին,വില
483,Ware::N,ապրանք,ചരക്ക്
484,Nutzen::N,օգուտ,ലാഭം
485,Reichtum::N,հարստություն,ധനം
486,Welt::N,աշխարհ,ലോകം
487,Land::N,երկիր,രാജ്യം
488,Staat::N,պետություն,രാജ്യം
489,König::N,արքա,രാജാവ്
490,König::N,թագավոր,രാജാവ്
491,Macht::N,իշխանություն,അധികാരം
492,Grenze::N,սահման,അതിർത്തി
493,Krieg::N,պատերազմ,യുദ്ധം
494,Feind::N,թշնամի,ശത്രു
495,Gewalt::N,բռնություն,അക്രമം
496,Gewalt::N,սաստկություն,അക്രമം
497,Kampf::N,մարտ,പോരാട്ടം
498,Bogen[Waffe]::N,աղեղ,വില്ല്
499,Pfeil::N,նետ,അമ്പ്
500,Gewehr::N,հրացան,തോക്ക്
501,Fehler::N,սխալ,പിശക്
502,Lüge::N,սուտ,കള്ളം
503,Schaden::N,վնաս,കേടുപാട്
504,Unglück::N,դժբախտություն,ദൌർഭാഗ്യം
505,Schuld::N,պակասություն,തെറ്റ്
506,Alter::N,հասակ,വയസ്സ്
507,Schluss::N,վերջ,നിഗമനം
508,Schluss::N,վախճան,നിഗമനം
509,Zeit::N,ժամանակ,സമയം
510,Tag::N,օր,ദിവസം
511,Morgen::N,առավոտ,പ്രഭാതം
512,Mittag::N,կեսօր,ഉച്ച
513,Abend::N,երեկո,സായാഹ്നം
514,Nacht::N,գիշեր,രാത്രി
515,Woche::N,շաբաթ,ആഴ്ച
516,Monat::N,ամիս,മാസം
517,Jahr::N,տարի,വർഷം
518,Frühling::N,գարուն,വസന്തം
519,Sommer::N,ամառ,വേനൽ
520,Herbst::N,աշուն,ശരത്കാലം
521,Winter::N,ձմեռ,ശൈത്യം
522,Januar::N,հունվար,ജനുവരി
523,Februar::N,փետրվար,ഫെബ്രുവരി
524,März::N,մարտ,മാർച്ച്
525,April::N,ապրիլ,ഏപ്രിൾ മാസം
526,Mai::N,մայիս,മെയ് മാസം
527,Juni::N,հունիս,ജൂൺ
528,Juli::N,հուլիս,ജൂലൈ
529,August::N,օգոստոս,ആഗസ്റ്റ്
530,September::N,սեպտեմբեր,സെപ്തംബർ
531,Oktober::N,հոկտեմբեր,ഒക്ടോബർ
532,November::N,նոյեմբեր,നവംബർ
533,Dezember::N,դեկտեմբեր,ഡിസംബർ
534,Montag::N,երկուշաբթի,തിങ്കളാഴ്ച
535,Dienstag::N,երեքշաբթի,ചൊവ്വ
536,Mittwoch::N,չորեքշաբթի,ബുധനാഴ്ച
537,Donnerstag::N,հինգշաբթի,വ്യാഴാഴ്ച
538,Freitag::N,ուրբաթ,വെള്ളിയാഴ്ച
539,Samstag::N,շաբաթ,ശനിയാഴ്ച
540,Sonntag::N,կիրակի,ഞായറാഴ്ച
541,groß::A,մեծ,വലിയ
542,groß::A,խոշոր,വലിയ
543,klein::A,պստիկ,ചെറിയ
544,klein::A,փոքրիկ,ചെറിയ
545,lang::A,երկար,നീണ്ട
546,kurz::A,կարճ,ഹ്രസ്വമായ
547,breit::A,լայն,വിശാലമായ
548,schmal::A,նեղ,ഇടുങ്ങിയ
549,dicht::A,խիտ,നിബിഡമായ
550,dick[Gegenstand]::A,հաստ,തടിച്ച
551,dünn::A,բարակ,മെലിഞ്ഞ
552,fein::A,նուրբ,നേർത്ത
553,fest::A,ամուր,ഉറപ്പുള്ള
554,fest::A,պինդ,ഉറപ്പുള്ള
555,flach::A,տափակ,പരന്ന
556,glatt::A,հարթ,മിനുസമുള്ള
557,hart::A,կարծր,കട്ടിയുള്ള
558,weich::A,մեղմ,മൃദുവായ
559,weich::A,փափուկ,മൃദുവായ
560,rund::A,կլոր,വട്ടത്തിലുള്ള
561,spitz::A,սրածայր,മുനയുള്ള
562,scharf::A,սուր,മൂർച്ചയുള്ള
563,stumpf::A,գուլ,തുറന്നടിക്കുന്ന
564,schwer::A,ծանր,ഭാരമുള്ള
565,schön::A,սիրուն,മനോഹരമായ
566,schön::A,գեղեցիկ,മനോഹരമായ
567,heiß::A,թեժ,ചൂടുള്ള
568,warm::A,տաք,ചൂടുള്ള
569,warm::A,ջերմ,ചൂടുള്ള
570,kalt::A,ցուրտ,തണുത്ത
571,kühl::A,զով,തണുപ്പുള്ള
572,frisch::A,թարմ,ശുദ്ധമായ
573,feucht::A,ղոնավ,ഈറനുള്ള
574,nass::A,թաց,നനഞ്ഞ
575,trocken::A,ցամաք,വരണ്ട
576,voll::A,լի,നിറയെ
577,voll::A,լիքը,നിറയെ
578,leer::A,դատարկ,ഒഴിഞ്ഞ
579,offen::A,բաց,തുറന്ന
580,geschlossen::A,գոց,അടച്ച
581,sauber::A,մաքուր,വൃത്തിയുള്ള
582,schmutzig::A,կեղտոտ,അഴുക്കുനിറഞ്ഞ
583,roh::A,հում,അസംസ്കൃതമായ
584,reif::A,հասած,പഴുത്ത
585,reif::A,հասուն,പഴുത്ത
586,lecker::A,համեղ,രുചികരമായ
587,süß::A,անուշ,മധുരമുള്ള
588,bitter::A,կծու,കടുത്ത
589,sauer::A,թթու,പുളിപ്പുള്ള
590,sauer::A,թթված,പുളിപ്പുള്ള
591,hell::A,պայծառ,ജ്വലിക്കുന്ന
592,hell::A,խելամիտ,ജ്വലിക്കുന്ന
593,dunkel::A,մութ,ഇരുണ്ട
594,schwarz::A,սեւ,കറുത്ത
595,weiß::A,սպիտակ,വെളുത്ത
596,rot::A,կարմիր,ചുവന്ന
597,gelb::A,դեղին,മഞ്ഞനിറമായ
598,blau::A,կապույտ,നീലനിറമുള്ള
599,grün::A,կանաչ,പച്ചനിറമുള്ള
600,grau::A,գորշ,ചാരനിറത്തിലുള്ള
601,bunt::A,գոյնզգոյն,വർണ്ണശബളമായ
602,billig::A,էժան,വിലകുറഞ്ഞ
603,teuer::A,թանկ,ചെലവേറിയ
604,wertvoll::A,թանկարժեք,വിലപിടിപ്പുള്ള
