,Concept_ID,cs,no
265,Gedächtnis::N,paměť,minne
266,Gedächtnis::N,paměť,hukommelse
267,Verstand::N,rozum,forstand
268,Sinn::N,smysl,mening
269,Sinn::N,smysl,betydning
270,Grund::N,důvod,grunn
271,Wahrheit::N,pravda,sannhet
272,Gespräch::N,rozhovor,samtale
273,Märchen::N,pohádka,eventyr
274,Erzählung::N,povídka,fortelling
275,Nachricht::N,zpráva,melding
276,Neuigkeit::N,novina,nyhet
277,Neuigkeit::N,novinka,nyhet
278,Name::N,jméno,navn
279,Rätsel::N,hádanka,gåte
280,Rede::N,řeč,tale
281,Rede::N,proslov,tale
282,Sprache::N,řeč,språk
283,Sprache::N,jazyk,språk
284,Stimme::N,hlas,stemme
285,Wort::N,slovo,ord
286,Zeichen::N,znamení,tegn
287,Ruf::N,zavolání,rop
288,Lärm::N,hluk,bråk
289,Laut::N,zvuk,lyd
290,Ton::N,tón,tone
291,Lied::N,píseň,vise
292,Ruhe::N,klid,ro
293,Ruhe::N,pokoj,ro
294,Leute::N,lidé,folk
295,Volk::N,národ,folk
296,Arbeit::N,práce,arbeid
297,Gast::N,host,gjest
298,Geschenk::N,dar,gave
299,Spiel::N,hra,lek
300,Spiel::N,hra,spill
301,Gesellschaft::N,společnost,selskap
302,Hilfe::N,pomoc,hjelp
303,Freund::N,přítel,venn
304,Kamerad::N,kamarád,kamerat
305,Angelegenheit::N,záležitost,sak
306,Angelegenheit::N,záležitost,anliggende
307,Anzahl::N,počet,antall
308,Art::N,druh,art
309,Art::N,druh,slag
310,Stück::N,kus,stykke
311,Stück::N,kousek,stykke
312,Teil::N,díl,del
313,Teil::N,část,del
314,Hälfte::N,půl,halvdel
315,Kreis::N,kruh,ring
316,Kreis::N,kruh,sirkel
317,Kreuz::N,kříž,kors
318,Kreuz::N,kříž,kryss
319,Linie::N,linka,linje
320,Strich::N,čára,strek
321,Strich::N,čárka,strek
322,Abstand::N,vzdálenost,avstand
323,Entfernung::N,vzdálenost,avstand
324,Gegend::N,krajina,strøk
325,Platz::N,prostor,plass
326,Ort::N,místo,sted
327,Seite::N,strana,side
328,Mitte::N,střed,midte
329,Mitte::N,prostředek,midte
330,Gegenstand::N,předmět,gjenstand
331,Sache::N,věc,sak
332,Rand::N,kraj,rand
333,Rand::N,okraj,rand
334,Kante::N,hrana,kant
335,Ecke::N,roh,hjørne
336,Spitze::N,hrot,spiss
337,Spitze::N,špička,spiss
338,Ende::N,konec,ende
339,Loch::N,díra,hull
340,Winkel::N,kout,vinkel
341,Muster::N,vzor,mønster
342,Größe::N,velikost,størrelse
343,Länge::N,délka,lengde
344,Höhe::N,výška,høyde
345,Gewicht::N,váha,vekt
346,Menge::N,množství,mengde
347,Haufen::N,kupa,haug
348,Haufen::N,kupa,bunke
349,Haufen::N,hromada,haug
350,Haufen::N,hromada,bunke
351,Reihe::N,řada,rekke
352,Reihe::N,řádek,rekke
353,Boot::N,člun,båt
354,Ruder::N,veslo,åre
355,Schlitten::N,sáně,slede
356,Schlitten::N,sáně,kjelke
357,Ski::N,lyže,ski
358,Lagerfeuer::N,táborák,leirbål
359,Last::N,náklad,bør
360,Last::N,náklad,last
361,Last::N,břemeno,bør
362,Last::N,břemeno,last
363,Gang::N,chůze,gang
364,Gang::N,chodba,gang
365,Schritt::N,krok,steg
366,Schritt::N,krok,skritt
367,Norden::N,sever,nord
368,Süden::N,jih,sør
369,Westen::N,západ,vest
370,Osten::N,východ,øst
371,Holz::N,dřevo,tre
372,Brett::N,prkno,fjøl
373,Brett::N,prkno,brett
374,Platte::N,deska,plate
375,Stütze::N,opěra,støtte
376,Stange::N,tyč,stang
377,Stange::N,tyčka,stang
378,Stock::N,hůlka,pinne
379,Stab::N,hůl,stav
380,Stab::N,hůl,kjepp
381,Rohr::N,trubka,rør
382,Haus::N,dům,hus
383,Heim::N,domov,hjem
384,Ofen::N,kamna,ovn
385,Fußboden::N,podlaha,gulv
386,Tisch::N,stůl,bord
387,Stuhl::N,židle,stol
388,Wiege::N,kolébka,vogge
389,Bett::N,postel,seng
390,Regal::N,regál,reol
391,Regal::N,regál,hylle
392,Regal::N,police,reol
393,Regal::N,police,hylle
394,Kiste::N,bedna,kasse
395,Fenster::N,okno,vindu
396,Tür::N,dveře,dør
397,Tor::N,vrata,port
398,Zaun::N,plot,gjerde
399,Dach::N,střecha,tak
400,Leiter::N,žebřík,stige
401,Besen::N,koště,kost
402,Besen::N,smeták,kost
403,Spaten::N,rýč,spade
404,Schaufel::N,lopata,skuffe
405,Gabel::N,vidlička,gaffel
406,Löffel::N,lžíce,skje
407,Messer::N,nůž,kniv
408,Nagel::N,hřebík,spiker
409,Netz::N,síť,nett
410,Haken::N,hák,krok
411,Griff::N,držadlo,tak
412,Griff::N,držadlo,håndtak
413,Schloss::N,zámek,lås
414,Bild::N,obraz,bilde
415,Figur::N,figura,figur
416,Puppe::N,panenka,dukke
417,Beutel::N,pytlík,pose
418,Bündel::N,svazek,bylt
419,Tasche::N,taška,veske
420,Tasche::N,brašna,veske
421,Eimer::N,kýbl,bøtte
422,Eimer::N,vědro,bøtte
423,Deckel::N,víko,lokk
424,Deckel::N,příklop,lokk
425,Geschirr::N,nádobí,kjøkkentøy
426,Sack::N,pytel,sekk
427,Tasse::N,šálek,kopp
428,Topf::N,hrnec,gryte
429,Kessel::N,kotel,kjele
430,Essen::N,jídlo,mål
431,Nahrung::N,strava,mat
432,Nahrung::N,strava,næring
433,Nahrung::N,potrava,mat
434,Nahrung::N,potrava,næring
435,Speise::N,jídlo,matrett
436,Fleisch::N,maso,kjøtt
437,Getreide::N,obilí,korn
438,Brei::N,kaše,grøt
439,Brot::N,chléb,brød
440,Scheibe::N,krajíc,skive
441,Fett::N,tuk,fett
442,Fett::N,omastek,fett
443,Butter::N,máslo,smør
444,Öl::N,olej,olje
445,Salz::N,sůl,salt
446,Suppe::N,polévka,suppe
447,Honig::N,med,honning
448,Milch::N,mléko,melk
449,Tee::N,čaj,te
450,Leder::N,kůže,lær
451,Leder::N,kůže,skinn
452,Wolle::N,vlna,ull
453,Stoff::N,látka,tøy
454,Stoff::N,látka,stoff
455,Nadel::N,jehla,nål
456,Faden::N,nit,tråd
457,Knopf::N,knoflík,knapp
458,Knoten::N,uzel,knute
459,Farbe::N,barva,farge
460,Kleidung::N,šaty,påkledning
461,Kleidung::N,šatstvo,påkledning
462,Hemd::N,košile,skjorte
463,Kragen::N,límec,krage
464,Ärmel::N,rukáv,erme
465,Hose::N,kalhoty,bukse
466,Gürtel::N,pás,belte
467,Gürtel::N,opasek,belte
468,Mütze::N,čepice,lue
469,Schuh::N,bota,sko
470,Stiefel::N,holínka,støvel
471,Ring::N,prsten,ring
472,Band::N,pásek,band
473,Kamm::N,hřeben,kam
474,Spiegel::N,zrcadlo,speil
475,Riemen::N,řemen,rem
476,Schnur::N,šňůra,snor
477,Leine::N,vodítko,line
478,Decke::N,pokrývka,teppe
479,Decke::N,přikrývka,teppe
480,Kissen::N,polštář,pute
481,Tuch::N,šátek,tøy
482,Handtuch::N,ručník,håndkle
483,Kraft::N,síla,kraft
484,Stärke::N,síla,styrke
485,Gesundheit::N,zdraví,helse
486,Gesundheit::N,zdraví,sunnhet
487,Krankheit::N,nemoc,syke
488,Krankheit::N,nemoc,sykdom
489,Krankheit::N,choroba,syke
490,Krankheit::N,choroba,sykdom
491,Schmerz::N,bolest,smerte
492,Wunde::N,rána,sår
493,Fieber::N,horečka,feber
494,Arznei::N,lék,medisin
495,Arznei::N,lék,legemiddel
496,Brücke::N,most,bro
497,Brunnen::N,studna,brønn
498,Weide::N,pastva,beite
499,Weide::N,pastvina,beite
500,Pfad::N,pěšina,sti
501,Weg::N,cesta,vei
502,Straße::N,silnice,gate
503,Dorf::N,vesnice,landsby
504,Stadt::N,město,by
505,Brief::N,dopis,brev
506,Buch::N,kniha,bok
507,Buchstabe::N,písmeno,bokstav
508,Zeitung::N,noviny,avis
509,Leben::N,život,liv
510,Tod::N,smrt,død
511,Grab::N,hrob,grav
512,Kirche::N,kostel,kirke
513,Sünde::N,hřích,synd
514,Gott::N,bůh,gud
515,Arbeiter::N,dělník,arbeider
516,Arbeiter::N,pracovník,arbeider
517,Chef::N,šéf,sjef
518,Chef::N,vedoucí,sjef
519,Meister::N,mistr,mester
520,Arzt::N,lékař,lege
521,Lehrer::N,učitel,lærer
522,Geld::N,peníze,penger
523,Geschäft::N,obchod,forretning
524,Laden::N,krám,butikk
525,Preis::N,cena,pris
526,Ware::N,zboží,vare
527,Nutzen::N,užitek,nytte
528,Reichtum::N,bohatství,rikdom
529,Welt::N,svět,verden
530,Land::N,země,land
531,Staat::N,stát,stat
532,König::N,král,konge
533,Macht::N,moc,makt
534,Macht::N,mocnost,makt
535,Grenze::N,hranice,grense
536,Krieg::N,válka,krig
537,Feind::N,nepřítel,fiende
538,Gewalt::N,násilí,vold
539,Kampf::N,boj,kamp
540,Bogen[Waffe]::N,luk,bue
541,Pfeil::N,šíp,pil
542,Gewehr::N,puška,gevær
543,Gewehr::N,ručnice,gevær
544,Fehler::N,chyba,feil
545,Lüge::N,lež,løgn
546,Schaden::N,škoda,skade
547,Unglück::N,neštěstí,uhell
548,Schuld::N,vina,skyld
549,Alter::N,věk,alder
550,Schluss::N,konec,slutt
551,Zeit::N,čas,tid
552,Tag::N,den,dag
553,Morgen::N,ráno,morgen
554,Morgen::N,jitro,morgen
555,Mittag::N,poledne,middag
556,Abend::N,večer,aften
557,Nacht::N,noc,natt
558,Woche::N,týden,uke
559,Monat::N,měsíc,måned
560,Jahr::N,rok,år
561,Frühling::N,jaro,vår
562,Sommer::N,léto,sommer
563,Herbst::N,podzim,høst
564,Winter::N,zima,vinter
565,Januar::N,leden,januar
566,Februar::N,únor,februar
567,März::N,březen,mars
568,April::N,duben,april
569,Mai::N,květen,mai
570,Juni::N,červen,juni
571,Juli::N,červenec,juli
572,August::N,srpen,august
573,September::N,září,september
574,Oktober::N,říjen,oktober
575,November::N,listopad,november
576,Dezember::N,prosinec,desember
577,Montag::N,pondělí,mandag
578,Montag::N,pondělek,mandag
579,Dienstag::N,úterý,tirsdag
580,Mittwoch::N,středa,onsdag
581,Donnerstag::N,čtvrtek,torsdag
582,Freitag::N,pátek,fredag
583,Samstag::N,sobota,lørdag
584,Sonntag::N,neděle,søndag
585,groß::A,velký,stor
586,klein::A,malý,liten
587,lang::A,dlouhý,lang
588,kurz::A,krátký,kort
589,breit::A,široký,bred
590,schmal::A,úzký,smal
591,dicht::A,hustý,tett
592,dick[Gegenstand]::A,tlustý,tykk
593,dünn::A,tenký,tynn
594,fein::A,jemný,fin
595,fest::A,pevný,fast
596,flach::A,plochý,flat
597,flach::A,placatý,flat
598,glatt::A,hladký,glatt
599,hart::A,tvrdý,hard
600,weich::A,měkký,myk
601,weich::A,měkký,bløt
602,rund::A,kulatý,rund
603,rund::A,okrouhlý,rund
604,spitz::A,špičatý,spiss
605,scharf::A,ostrý,kvass
606,stumpf::A,tupý,stubb
607,schwer::A,těžký,tung
608,schön::A,pěkný,pen
609,schön::A,pěkný,vakker
610,schön::A,krásný,pen
611,schön::A,krásný,vakker
612,heiß::A,horký,het
613,warm::A,teplý,varm
614,kalt::A,studený,kald
615,kühl::A,chladný,kjølig
616,frisch::A,svěží,fersk
617,feucht::A,vlhký,fuktig
618,nass::A,mokrý,våt
619,trocken::A,suchý,tørr
620,voll::A,plný,full
621,leer::A,prázdný,tom
622,offen::A,otevřený,åpen
623,geschlossen::A,zavřený,lukket
624,sauber::A,čistý,ren
625,schmutzig::A,špinavý,skitten
626,roh::A,syrový,rå
627,reif::A,zralý,moden
628,lecker::A,chutný,lekker
629,süß::A,sladký,søt
630,bitter::A,hořký,besk
631,bitter::A,hořký,bitter
632,sauer::A,kyselý,sur
633,hell::A,světlý,lys
634,dunkel::A,temný,mørk
635,schwarz::A,černý,svart
636,weiß::A,bílý,hvit
637,rot::A,rudý,rød
638,rot::A,červený,rød
639,gelb::A,žlutý,gul
640,blau::A,modrý,blå
641,grün::A,zelený,grønn
642,grau::A,šedý,grå
643,grau::A,šedivý,grå
644,bunt::A,pestrý,broket
645,billig::A,levný,billig
646,billig::A,laciný,billig
647,teuer::A,drahý,dyr
648,wertvoll::A,cenný,verdifull
649,blind::A,slepý,blind
650,taub::A,hluchý,døv
651,kräftig::A,silný,kraftig
652,stark::A,silný,sterk
653,schwach::A,slabý,svak
654,fett::A,tučný,fet
655,fett::A,tlustý,fet
656,schlank::A,štíhlý,slank
657,hübsch::A,hezký,pen
658,böse::A,zlý,slem
659,dumm::A,hloupý,dum
660,faul::A,líný,lat
661,faul::A,líný,doven
662,fleißig::A,pilný,flittig
663,geizig::A,lakomý,gjerrig
664,klug::A,chytrý,klok
665,geschickt::A,šikovný,hendig
666,geschickt::A,šikovný,skikket
667,lieb::A,milý,kjær
668,lieb::A,milý,snill
669,lustig::A,veselý,morsom
670,sanft::A,mírný,blid
671,hungrig::A,hladový,sulten
672,krank::A,nemocný,syk
673,nackt::A,nahý,naken
674,traurig::A,smutný,sørgmodig
675,traurig::A,truchlivý,sørgmodig
676,lebendig::A,živý,levende
677,gut::A,dobrý,god
678,schlecht::A,špatný,dårlig
679,richtig::A,pravý,riktig
680,richtig::A,správný,riktig
681,schlimm::A,zlý,slem
682,wahr::A,pravdivý,sann
683,alt::A,starý,gammel
684,neu::A,nový,ny
685,ehemalig::A,bývalý,forhenværende
686,alt[Lebewesen]::A,starý,gammel
687,jung::A,mladý,ung
688,arm::A,chudý,fattig
689,reich::A,bohatý,rik
690,bekannt::A,známý,kjent
691,berühmt::A,slavný,berømt
692,fremd::A,cizí,fremmed
693,verschieden::A,různý,forskjellig
694,verschieden::A,rozličný,forskjellig
695,nah::A,blízký,nær
696,fern::A,daleký,fjern
697,linker::A,levý,venstre
698,rechter::A,pravý,høyre
699,anderer::A,jiný,annen
700,erster::A,první,første
701,zweiter::A,druhý,annen
702,dritter::A,třetí,tredje
703,letzter::A,poslední,sist
704,allein::ADV,sám,alene
705,auf einmal::ADV,najednou,med ett
706,zusammen::ADV,spolu,sammen
707,zusammen::ADV,dohromady,sammen
708,lange::ADV,dlouho,lenge
709,plötzlich::ADV,vtom,plutselig
710,plötzlich::ADV,náhle,plutselig
711,sofort::ADV,hned,straks
712,sofort::ADV,ihned,straks
713,später::ADV,později,senere
714,jetzt::ADV,teď,nå
715,jetzt::ADV,nyní,nå
716,heute::ADV,dnes,i dag
717,heute::ADV,dneska,i dag
718,morgen::ADV,zítra,i morgen
719,bald::ADV,brzo,snart
720,dann::ADV,pak,så
721,dann::ADV,potom,så
722,gestern::ADV,včera,i går
723,einst::ADV,kdysi,engang
724,damals::ADV,tehdy,den gang
725,damals::ADV,tenkrát,den gang
726,danach::ADV,podle toho,deretter
727,vorher::ADV,dříve,før
728,vorher::ADV,dříve,i forveien
729,vorher::ADV,napřed,før
730,vorher::ADV,napřed,i forveien
731,zuerst::ADV,nejprve,først
732,zuerst::ADV,nejdříve,først
733,einmal::ADV,jednou,en gang
734,manchmal::ADV,někdy,somme tider
735,oft::ADV,často,ofte
736,immer::ADV,vždy,alltid
737,immer::ADV,stále,alltid
738,niemals::ADV,nikdy,aldri
739,hier::ADV,zde,her
740,hier::ADV,tady,her
741,hierhin::ADV,sem,hit
742,von hier::ADV,odtud,herfra
743,dort::ADV,tam,der
744,dorthin::ADV,tam,dit
745,geradeaus::ADV,rovně,rett fram
746,vorwärts::ADV,kupředu,fram
747,vorwärts::ADV,kupředu,framover
748,rückwärts::ADV,zpět,baklengs
749,zurück::ADV,zpět,tilbake
750,zurück::ADV,nazpět,tilbake
751,unten::ADV,dole,nede
752,hinab::ADV,dolů,ned
753,hinab::ADV,dolů,nedover
754,oben::ADV,nahoře,oppe
755,oben::ADV,nahoře,ovenpå
756,oben::ADV,navrchu,oppe
757,oben::ADV,navrchu,ovenpå
758,hinauf::ADV,nahoru,opp
759,hinauf::ADV,nahoru,oppover
760,überall::ADV,všude,overalt
761,nicht::ADV,ne,ikke
762,ein wenig::ADV,trochu,litt
763,kaum::ADV,sotva,neppe
764,sehr::ADV,velmi,svært
765,sehr::ADV,velice,svært
766,so::ADV,tak,så
767,so::ADV,takto,så
768,noch::ADV,ještě,enda
769,nur::ADV,jen,bare
770,nur::ADV,jenom,bare
771,schon::ADV,už,alt
772,schon::ADV,už,allerede
773,schon::ADV,již,alt
774,schon::ADV,již,allerede
775,wieder::ADV,zase,igjen
776,vergebens::ADV,marně,forgjeves
777,vor::PRP,před,foran
778,vor::PRP,před,utenfor
779,hinter::PRP,za,bak
780,hinter::PRP,za,bakom
781,unter::PRP,pod,under
782,durch::PRP,skrz,gjennom
783,durch::PRP,skrz,igjennom
784,neben::PRP,vedle,ved siden av
785,zwischen::PRP,mezi,mellom
786,wegen::PRP,pro,på grunn av
787,dies::PRN,toto,dette
788,dies::PRN,tohle,dette
789,das::PRN,to,det
790,alles::PRN,všechno,alt
791,ich::PRN,já,jeg
792,du::PRN,ty,du
793,er::PRN,on,han
794,wir::PRN,my,vi
795,ihr::PRN,vy,dere
796,sie::PRN,oni,de
797,was::FPRN,co,hva
798,wer::FPRN,kdo,hvem
799,wo::FADV,kde,hvor
800,wohin::FADV,kam,hvor ... hen
801,wie::FADV,jak,hvordan
802,warum::FADV,proč,hvorfor
803,wieviel::FNUM,kolik,hvor mye
804,eins::NUM,jeden,en
805,eins::NUM,jeden,ett
806,zwei::NUM,dva,to
807,drei::NUM,tři,tre
808,vier::NUM,čtyři,fire
809,fünf::NUM,pět,fem
810,sechs::NUM,šest,seks
811,sieben::NUM,sedm,sju
812,acht::NUM,osm,åtte
813,neun::NUM,devět,ni
814,zehn::NUM,deset,ti
815,elf::NUM,jedenáct,elleve
816,zwölf::NUM,dvanáct,tolv
817,zwanzig::NUM,dvacet,tjue
818,dreißig::NUM,třicet,tretti
819,vierzig::NUM,čtyřicet,førti
820,fünfzig::NUM,padesát,femti
821,sechzig::NUM,šedesát,seksti
822,siebzig::NUM,sedmdesát,sytti
823,achtzig::NUM,osmdesát,åtti
824,neunzig::NUM,devadesát,nitti
825,hundert::NUM,sto,hundre
826,tausend::NUM,tisíc,tusen
827,und::CNJ,a,og
828,oder::CNJ,nebo,eller
829,stehen::V,stát,stå
830,sitzen::V,sedět,sitte
831,liegen::V,ležet,ligge
832,hängen::V,viset,henge
833,werden::V,stát se,bli
834,passieren::V,stát se,skje
835,passieren::V,stát se,hende
836,beginnen::V,počít,begynne
837,enden::V,končit,ende
838,enden::V,končit,slutte
839,enden::V,skončit,ende
840,enden::V,skončit,slutte
841,wechseln::V,měnit se,veksle
842,aufgehen[Sonne]::V,vyjít,stå opp
843,untergehen[Sonne]::V,zapadnout,gå ned
844,scheinen[Sonne]::V,svítit,skinne
845,donnern::V,hřmět,tordne
846,wehen::V,vát,blåse
847,wehen::V,vanout,blåse
848,strömen::V,proudit,strømme
849,fließen::V,téct,flyte
850,sich drehen::V,točit se,dreie seg
851,schwanken::V,kolísat,svaie
852,schwanken::V,houpat se,svaie
853,schwingen::V,kývat se,svinge
854,fallen::V,padat,falle
855,brennen::V,hořet,brenne
