,Concept_ID,lt,ga
77,Wind::N,vėjas,gaoth
78,Welle::N,banga,tonn
79,Welle::N,vilnis,tonn
80,Wasser::N,vanduo,uisce
81,Stein::N,akmuo,cloch
82,Boden::N,žemė,talamh
83,Boden::N,dugnas,talamh
84,Erde::N,žemė,cré
85,Erde::N,žemė,ithir
86,Staub::N,dulkės,dusta
87,Staub::N,dulkės,deannach
88,Rauch::N,dūmai,toit
89,Rauch::N,dūmai,deatach
90,Funke::N,kibirkštis,drithle
91,Feuer::N,ugnis,tine
92,Licht::N,šviesa,solas
93,Schatten::N,paūksmė,scáth
94,Wetter::N,oras,aimsir
95,Nebel::N,migla,ceo
96,Nebel::N,rūkas,ceo
97,Wolke::N,debesis,néal
98,Wolke::N,debesis,scamall
99,Regen::N,lietus,báisteach
100,Regen::N,lietus,fearthainn
101,Schnee::N,sniegas,sneachta
102,Eis::N,ledas,oighear
103,Frost::N,šalna,sioc
104,Kälte::N,šaltis,fuacht
105,Hitze::N,karštis,teas
106,Hitze::N,karštis,teocht
107,Raureif::N,šerkšnas,sioc bán
108,Regenbogen::N,vaivorykštė,stua ceatha
109,Regenbogen::N,vaivorykštė,bogha báistí
110,Donner::N,perkūnas,toirneach
111,Donner::N,griaustinis,toirneach
112,Strömung::N,tėkmė,sruth
113,Tropfen::N,lašas,deoir
114,Schaum::N,putos,cúr
115,Schmutz::N,purvas,salachar
116,See::N,ežeras,loch
117,Sumpf::N,klampynė,portach
118,Sumpf::N,liūnas,portach
119,Moor::N,pelkė,caorán
120,Moor::N,pelkė,móinteán
121,Wiese::N,pieva,cluain
122,Wiese::N,pieva,móinéar
123,Wald::N,miškas,coill
124,Wald::N,miškas,foraois
125,Hügel::N,kalva,ard
126,Anhöhe::N,kauburys,ard
127,Anhöhe::N,kauburys,ardán
128,Berg::N,kalnas,sliabh
129,Gipfel::N,viršūnė,barr
130,Gipfel::N,viršūnė,mullach
131,Höhle::N,ola,uaimh
132,Höhle::N,ola,pluais
133,Abhang::N,šlaitas,fána
134,Abhang::N,nuokalnė,fána
135,Quelle::N,versmė,foinse
136,Quelle::N,šaltinis,foinse
137,Bach::N,upelis,sruthán
138,Fluss::N,upė,abhainn
139,Ufer::N,krantas,bruach
140,Küste::N,pajūris,cósta
141,Küste::N,pajūris,cladach
142,Festland::N,sausuma,míntír
143,Meer::N,jūra,muir
144,Meer::N,jūra,farraige
145,Bucht::N,įlanka,bá
146,Bucht::N,įlanka,cuan
147,Bucht::N,užutekis,bá
148,Bucht::N,užutekis,cuan
149,Insel::N,sala,inis
150,Insel::N,sala,oileán
151,Blume::N,gėlė,bláth
152,Gras::N,žolė,féar
153,Wurzel::N,šaknis,rúta
154,Wurzel::N,šaknis,fréamh
155,Baum::N,medis,crann
156,Stamm::N,kamienas,stoc
157,Stamm::N,kamienas,tamhan
158,Rinde::N,žievė,coirt
159,Rinde::N,žievė,craiceann
160,Ast::N,šaka,géag
161,Zweig::N,šakelė,géag
162,Zweig::N,šakelė,craobh
163,Blatt::N,lapas,duille
164,Blatt::N,lapas,duilleog
165,Birke::N,beržas,beith
166,Birke::N,beržas,crann beithe
167,Kiefer[Baum]::N,pušis,péine
168,Weide[Baum]::N,karklas,saileach
169,Tanne::N,eglė,giúis
170,Tanne::N,kėnis,giúis
171,Horn::N,ragas,adharc
172,Feder::N,plunksna,cleite
173,Fell::N,kailis,clúmh
174,Flügel::N,sparnas,eite
175,Flügel::N,sparnas,sciathán
176,Klaue::N,kanopa,crúb
177,Klaue::N,kanopa,crobh
178,Kralle::N,nagas,crobh
179,Schwanz::N,uodega,eireaball
180,Ei::N,kiaušinis,ubh
181,Nest::N,gūžta,nead
182,Nest::N,lizdas,nead
183,Bau::N,ola,brocais
184,Tier::N,gyvūnas,ainmhí
185,Tier::N,gyvūnas,beithíoch
186,Herde::N,banda,tréad
187,Herde::N,kaimenė,tréad
188,Kuh::N,karvė,bó
189,Bulle::N,bulius,tarbh
190,Pferd::N,arklys,each
191,Pferd::N,arklys,capall
192,Schaf::N,avis,caora
193,Schwein::N,kiaulė,muc
194,Hund::N,šuo,madra
195,Katze::N,katė,cat
196,Bär::N,lokys,béar
197,Eichhörnchen::N,voveraitė,iora
198,Elch::N,briedis,eilc
199,Fuchs::N,lapė,sionnach
200,Fuchs::N,lapė,madra rua
201,Hase::N,kiškas,giorria
202,Maus::N,pelė,luch
203,Wolf::N,vilkas,mac tíre
204,Vogel::N,paukštis,éan
205,Schwarm::N,spiečius,saithe
206,Huhn::N,višta,cearc
207,Hahn::N,gaidys,coileach
208,Gans::N,žąsis,gé
209,Adler::N,erelis,iolar
210,Ente::N,antis,lacha
211,Eule::N,pelėda,ulchabhán
212,Kranich::N,gervė,grús
213,Krähe::N,varna,caróg
214,Krähe::N,varna,préachán
215,Kuckuck::N,gegužė,cuach
216,Schwan::N,gulbė,eala
217,Fisch::N,žuvis,iasc
218,Barsch::N,ešerys,péirse
219,Hecht::N,lydeka,liús
220,Schlange[Tier]::N,gyvatė,nathair
221,Wurm::N,kirmėlė,péist
222,Spinne::N,voras,damhán alla
223,Ameise::N,skruzdė,seangán
224,Laus::N,utėlė,míol
225,Mücke::N,uodas,muiscít
226,Mücke::N,uodas,corrmhíol
227,Fliege::N,musė,cuil
228,Fliege::N,musė,cuileog
229,Schmetterling::N,drugys,féileacán
230,Schmetterling::N,peteliškė,féileacán
231,Beere::N,uoga,caor
232,Apfel::N,obuolys,úll
233,Pilz::N,grybas,beacán
234,Pilz::N,grybas,muisiriún
235,Zwiebel::N,svogūnas,oinniún
236,Saat::N,sėkla,síol
237,Korn::N,grūdai,gráinne
238,Heu::N,šienas,féar
239,Schale::N,žievelė,scaimh
240,Grube::N,duobė,poll
241,Falle::N,pinklės,gaiste
242,Falle::N,žabangai,gaiste
243,Schlinge::N,kilpa,sealán
244,Spur::N,vėžė,rian
245,Spur::N,pėdos,rian
246,Spur::N,pėdsakas,rian
247,Asche::N,pelenai,luaith
248,Dreck::N,purvas,salachar
249,Eisen::N,geležis,iarann
250,Gold::N,auksas,ór
251,Silber::N,sidabras,airgead
252,Kohle::N,anglis,gual
253,Glas::N,stiklas,gloine
254,Lehm::N,molis,cré
255,Sand::N,smėlis,gaineamh
256,Mensch::N,žmogus,duine
257,Mann::N,vyras,fear
258,Mann::N,vyriškis,fear
259,Frau::N,moteris,bean
260,Kind::N,vaikas,gasúr
261,Kind::N,vaikas,páiste
262,Junge::N,vaikinas,buachaill
263,Junge::N,berniukas,buachaill
264,Mädchen::N,mergytė,cailín
265,Mädchen::N,mergaitė,cailín
266,Familie::N,šeima,teaghlach
267,Familie::N,šeima,comhluadar
268,Großvater::N,senelis,seanathair
269,Großmutter::N,senelė,seanmháthair
270,Eltern::N,tėvai,tuismitheoirí
271,Vater::N,tėvas,athair
272,Mutter::N,motina,máthair
273,Sohn::N,sūnus,mac
274,Tochter::N,duktė,iníon
275,Bruder::N,brolis,deartháir
276,Schwester::N,sesuo,deirfiúr
277,Onkel::N,dėdė,uncail
278,Tante::N,teta,aintín
279,Ehemann::N,vyras,fear céile
280,Ehefrau::N,žmona,bean chéile
281,Freude::N,džiaugsmas,áthas
282,Gelächter::N,juokas,gáire
283,Glück::N,laimė,séan
284,Glück::N,laimė,sonas
285,Kummer::N,vargas,brón
286,Kummer::N,vargas,buairt
287,Kummer::N,rūpestis,brón
288,Kummer::N,rūpestis,buairt
289,Wunsch::N,troškimas,guí
290,Wunsch::N,troškimas,achainí
291,Wunsch::N,pageidavimas,guí
292,Wunsch::N,pageidavimas,achainí
293,Lust::N,noras,fonn
294,Lust::N,geidulys,fonn
295,Geist::N,dvasia,meon
296,Geist::N,dvasia,spiorad
297,Gedanke::N,mintis,smaoineamh
298,Gedächtnis::N,atmintis,cuimhne
299,Verstand::N,protas,ciall
300,Verstand::N,protas,intinn
301,Sinn::N,prasmė,brí
302,Sinn::N,prasmė,ciall
303,Grund::N,priežastis,fáth
304,Wahrheit::N,tiesa,fírinne
305,Wahrheit::N,teisybė,fírinne
306,Gespräch::N,pokalbis,comhrá
307,Märchen::N,pasaka,scéal
308,Erzählung::N,apsakymas,scéal
309,Erzählung::N,pasakojimas,scéal
310,Nachricht::N,žinia,teachtaireacht
311,Neuigkeit::N,naujiena,scéala
312,Name::N,vardas,ainm
313,Rätsel::N,mįslė,tomhas
314,Rede::N,kalba,óráid
315,Rede::N,kalba,aitheasc
316,Sprache::N,kalba,teanga
317,Stimme::N,balsas,guth
318,Wort::N,žodis,focal
319,Zeichen::N,žymė,comhartha
320,Zeichen::N,ženklas,comhartha
321,Ruf::N,šauksmas,glaoch
322,Lärm::N,triukšmas,torann
323,Laut::N,garsas,fuaim
324,Ton::N,tonas,ton
325,Ton::N,garsas,ton
326,Lied::N,daina,amhrán
327,Lied::N,giesmė,amhrán
328,Ruhe::N,ramybė,suaimhneas
329,Ruhe::N,ramumas,suaimhneas
330,Leute::N,žmonės,muintir
331,Volk::N,tauta,pobal
332,Arbeit::N,darbas,obair
333,Arbeit::N,triūsas,obair
334,Gast::N,svečias,aoi
335,Geschenk::N,dovana,féirín
336,Geschenk::N,dovana,bronntanas
337,Spiel::N,žaismas,cluiche
338,Spiel::N,žaidimas,cluiche
339,Gesellschaft::N,draugija,comhluadar
340,Gesellschaft::N,kompanija,comhluadar
341,Hilfe::N,pagalba,cúnamh
342,Hilfe::N,pagalba,cabhair
343,Freund::N,draugas,cara
344,Freund::N,bičiulis,cara
345,Kamerad::N,draugas,comrádaí
346,Angelegenheit::N,dalykas,ábhar
347,Angelegenheit::N,reikalas,ábhar
348,Anzahl::N,kiekis,líon
349,Anzahl::N,skaičius,líon
350,Art::N,rūšis,sórt
351,Art::N,rūšis,saghas
352,Stück::N,gabalas,píosa
353,Teil::N,dalis,cuid
354,Teil::N,dalis,páirt
355,Hälfte::N,pusė,leath
356,Kreis::N,ratas,ciorcal
357,Kreis::N,apskritis,ciorcal
358,Kreis::N,apskritimas,ciorcal
359,Kreuz::N,kryžius,cros
360,Linie::N,linija,líne
361,Strich::N,brėžis,stríoc
362,Strich::N,brūkšnys,stríoc
363,Abstand::N,atstumas,achar
364,Entfernung::N,atstumas,fad
365,Gegend::N,vietovė,ceantar
366,Platz::N,vieta,áit
367,Platz::N,vieta,spás
368,Ort::N,vieta,áit
369,Ort::N,vietovė,áit
370,Seite::N,pusė,taobh
371,Seite::N,šonas,taobh
372,Mitte::N,vidurys,lár
373,Gegenstand::N,dalykas,ball
374,Gegenstand::N,dalykas,ábhar
375,Sache::N,daiktas,ní
376,Sache::N,daiktas,rud
377,Rand::N,kraštas,imeall
378,Rand::N,kraštas,ciumhais
379,Rand::N,pakraštys,imeall
380,Rand::N,pakraštys,ciumhais
381,Kante::N,kraštas,corr
382,Kante::N,kraštas,colbha
383,Ecke::N,kertė,coirnéal
384,Ecke::N,kampas,coirnéal
385,Spitze::N,priekis,gob
386,Spitze::N,priekis,barr
387,Spitze::N,priešakys,gob
388,Spitze::N,priešakys,barr
389,Ende::N,galas,ceann
390,Ende::N,galas,foirceann
391,Loch::N,skylė,poll
392,Winkel::N,kampas,cúinne
393,Winkel::N,kampas,uillinn
394,Winkel::N,kampelis,cúinne
395,Winkel::N,kampelis,uillinn
396,Muster::N,raštas,patrún
397,Größe::N,dydis,méid
398,Größe::N,dydis,toise
399,Größe::N,didumas,méid
400,Größe::N,didumas,toise
401,Länge::N,ilgis,fad
402,Länge::N,ilgumas,fad
403,Höhe::N,aukštis,airde
404,Höhe::N,aukštuma,airde
405,Gewicht::N,svoris,meáchan
406,Gewicht::N,svarstis,meáchan
407,Menge::N,kiekis,méid
408,Menge::N,daugybė,méid
409,Haufen::N,krūva,cnap
410,Haufen::N,šūsnis,cnap
411,Reihe::N,greta,líne
412,Reihe::N,greta,sraith
413,Boot::N,valtis,bád
414,Boot::N,laivelis,bád
415,Ruder::N,irklas,rámh
416,Ruder::N,irklas,maide rámha
417,Schlitten::N,rogės,carr sleamhnáin
418,Schlitten::N,rogutės,carr sleamhnáin
419,Ski::N,slidė,scí
420,Lagerfeuer::N,laužas,tine champa
421,Last::N,našta,ualach
422,Last::N,nešulys,ualach
423,Gang::N,eisena,siúlóid
424,Schritt::N,žingsnis,céim
425,Schritt::N,žingsnis,coiscéim
426,Norden::N,šiaurė,tuaisceart
427,Norden::N,žiemiai,tuaisceart
428,Süden::N,pietūs,deisceart
429,Westen::N,vakarai,iarthar
430,Osten::N,rytai,oirthear
431,Holz::N,mediena,adhmad
432,Brett::N,lenta,clár
433,Platte::N,plokštė,leac
434,Stütze::N,atrama,taca
435,Stütze::N,atspara,taca
436,Stange::N,lazda,polla
437,Stange::N,lazda,cuaille
438,Stange::N,kartis,polla
439,Stange::N,kartis,cuaille
440,Stock::N,lazda,bata
441,Stock::N,lazda,maide
442,Stab::N,kartis,maide
443,Stab::N,kartis,bachall
444,Rohr::N,vamzdis,píopa
445,Haus::N,namas,teach
446,Heim::N,namai,baile
447,Ofen::N,krosnis,sornóg
448,Fußboden::N,grindys,urlár
449,Tisch::N,stalas,bord
450,Tisch::N,stalas,tábla
451,Stuhl::N,kėdė,cathaoir
452,Wiege::N,lopšys,cliabhán
453,Bett::N,lova,leaba
454,Bett::N,patalai,leaba
455,Regal::N,lentyna,seilf
456,Kiste::N,dėžė,bosca
457,Fenster::N,langas,fuinneoig
458,Tür::N,durys,doras
459,Tor::N,vartai,geata
460,Zaun::N,tvora,fál
461,Zaun::N,tvora,claí
462,Dach::N,stogas,díon
463,Leiter::N,kopėčios,dréimire
464,Besen::N,šluota,scuab
465,Spaten::N,lopeta,spád
466,Spaten::N,lopeta,rámhainn
467,Spaten::N,kastuvas,spád
468,Spaten::N,kastuvas,rámhainn
469,Schaufel::N,semtuvas,sluasaid
470,Gabel::N,šakutė,forc
471,Gabel::N,šakutė,gabhlóg
472,Löffel::N,šaukštas,spúnóg
473,Messer::N,peilis,scian
474,Nagel::N,vinis,tairne
475,Netz::N,tinklas,líon
476,Netz::N,tinklas,eangach
477,Haken::N,vagis,croch
478,Haken::N,kablys,croch
479,Griff::N,kotas,cos
480,Griff::N,kotas,hanla
481,Griff::N,rankena,cos
482,Griff::N,rankena,hanla
483,Schloss::N,spyna,glas
484,Schloss::N,užraktas,glas
485,Bild::N,paveikslas,pictiúr
486,Figur::N,figūra,fíor
487,Puppe::N,lėlė,bábóg
488,Beutel::N,krepšys,mála
489,Beutel::N,krepšys,mealbhóg
490,Beutel::N,maišelis,mála
491,Beutel::N,maišelis,mealbhóg
492,Bündel::N,ryšulys,beart
493,Tasche::N,krepšelis,mála
494,Eimer::N,kibiras,buicéad
495,Deckel::N,dangtis,clár
496,Deckel::N,dangtis,claibín
497,Geschirr::N,indai,soithí
498,Geschirr::N,indai,gréithe
499,Sack::N,maišas,sac
500,Sack::N,maišas,mála
501,Tasse::N,puodukas,cupán
502,Topf::N,puodas,pota
503,Kessel::N,katilas,citeal
504,Essen::N,valgis,béile
505,Nahrung::N,penas,bia
506,Nahrung::N,maistas,bia
507,Speise::N,patiekalas,mias
508,Fleisch::N,mėsa,feoil
509,Getreide::N,javai,grán
510,Getreide::N,javai,arbhar
511,Brei::N,košė,brúitín
512,Brot::N,duona,arán
513,Scheibe::N,riekė,píosa
514,Scheibe::N,riekė,slisne
515,Fett::N,taukai,saill
516,Fett::N,taukai,méathras
517,Fett::N,riebalai,saill
518,Fett::N,riebalai,méathras
519,Butter::N,sviestas,im
520,Öl::N,aliejus,ola
521,Salz::N,druska,salann
522,Suppe::N,sriuba,sú
523,Suppe::N,sriuba,anraith
524,Honig::N,medus,mil
525,Milch::N,pienas,bainne
526,Tee::N,arbata,tae
527,Leder::N,oda,leathar
528,Wolle::N,vilna,olann
529,Stoff::N,audeklas,éadach
530,Nadel::N,adata,snáthaid
531,Faden::N,gija,snáth
532,Faden::N,siūlas,snáth
533,Knopf::N,saga,cnaipe
534,Knoten::N,mazgas,snaidhm
535,Farbe::N,dažai,péint
536,Kleidung::N,rūbai,éadaí
537,Kleidung::N,drabužiai,éadaí
538,Hemd::N,marškiniai,léine
539,Kragen::N,apykaklė,bóna
540,Ärmel::N,rankovė,muinchille
541,Hose::N,kelnės,bríste
542,Hose::N,kelnės,treabhsar
543,Gürtel::N,juosta,crios
544,Gürtel::N,diržas,crios
545,Mütze::N,kepurė,caipín
546,Schuh::N,batas,bróg
547,Stiefel::N,auliniai batai,buatais
548,Ring::N,žiedas,fáinne
549,Band::N,kaspinas,ribín
550,Kamm::N,šukos,cíor
551,Spiegel::N,veidrodis,scáthán
552,Riemen::N,diržas,iall
553,Riemen::N,diržas,strapa
554,Schnur::N,virvė,téad
555,Schnur::N,virvė,sreangán
556,Leine::N,pavadėlis,iall
557,Decke::N,antklodė,pluid
558,Decke::N,antklodė,blaincéad
559,Kissen::N,pagalvė,piliúr
560,Kissen::N,pagalvė,adhartán
561,Kissen::N,priegalvis,piliúr
562,Kissen::N,priegalvis,adhartán
563,Tuch::N,skarelė,scaif
564,Handtuch::N,rankšluostis,tuáille
565,Kraft::N,jėga,fórsa
566,Stärke::N,stiprumas,neart
567,Gesundheit::N,sveikata,sláinte
568,Krankheit::N,liga,tinneas
569,Krankheit::N,liga,breoiteacht
570,Schmerz::N,skausmas,pian
571,Wunde::N,žaizda,goin
572,Fieber::N,karštis,fiabhras
573,Arznei::N,vaistas,cógas
574,Brücke::N,tiltas,droichead
575,Brunnen::N,šulinys,tobar
576,Weide::N,ganykla,féarach
577,Weide::N,gluosnis,féarach
578,Pfad::N,takas,cosán
579,Pfad::N,takas,conair
580,Weg::N,kelias,slí
581,Weg::N,kelias,bealach
582,Straße::N,gatvė,bóthar
583,Dorf::N,kaimas,sráidbhaile
584,Dorf::N,sodžius,sráidbhaile
585,Stadt::N,miestas,baile
586,Stadt::N,miestas,cathair
587,Brief::N,laiškas,litir
588,Buch::N,knyga,cín
589,Buch::N,knyga,leabhar
590,Buchstabe::N,raidė,litir
591,Zeitung::N,laikraštis,nuachtán
592,Leben::N,gyvybė,saol
593,Leben::N,gyvybė,beatha
594,Leben::N,gyvenimas,saol
595,Leben::N,gyvenimas,beatha
596,Tod::N,mirtis,bás
597,Grab::N,kapas,uaigh
598,Kirche::N,bažnyčia,eaglais
599,Sünde::N,nuodėmė,peaca
600,Sünde::N,nusidėjimas,peaca
601,Gott::N,dievas,dia
602,Arbeiter::N,darbininkas,oibrí
603,Chef::N,šefas,saoiste
604,Chef::N,šefas,ceannasaí
605,Chef::N,vadovas,saoiste
606,Chef::N,vadovas,ceannasaí
607,Chef::N,viršininkas,saoiste
608,Chef::N,viršininkas,ceannasaí
609,Meister::N,meistras,máistir
610,Arzt::N,gydytojas,lia
611,Arzt::N,gydytojas,dochtúir
612,Lehrer::N,mokytojas,oide
613,Lehrer::N,mokytojas,múinteoir
614,Geld::N,pinigai,airgead
615,Geschäft::N,biznis,gnó
616,Laden::N,krautuvė,siopa
617,Laden::N,parduotuvė,siopa
618,Preis::N,kaina,praghas
619,Ware::N,prekė,earra
620,Nutzen::N,nauda,tairbhe
621,Nutzen::N,pelnas,tairbhe
622,Reichtum::N,turtas,rachmas
623,Reichtum::N,turtas,saibhreas
624,Welt::N,pasaulis,domhan
625,Land::N,žemė,tír
626,Land::N,šalis,tír
627,Staat::N,valstija,stát
628,König::N,karalius,rí
629,Macht::N,galia,cumhacht
630,Macht::N,valdžia,cumhacht
631,Grenze::N,riba,críoch
632,Grenze::N,riba,teorainn
633,Grenze::N,siena,críoch
634,Grenze::N,siena,teorainn
635,Krieg::N,karas,cogadh
636,Feind::N,priešas,namhaid
637,Gewalt::N,jėga,foréigean
638,Gewalt::N,smurtas,foréigean
639,Gewalt::N,prievarta,foréigean
640,Kampf::N,kova,troid
641,Bogen[Waffe]::N,lankas,bogha
642,Pfeil::N,strėlė,saighead
643,Gewehr::N,šautuvas,gunna
644,Fehler::N,klaida,botún
645,Fehler::N,klaida,meancóg
646,Lüge::N,melas,bréag
647,Lüge::N,melas,éitheach
648,Schaden::N,nuostolis,dochar
649,Schaden::N,nuostolis,damáiste
650,Schaden::N,apgadinimas,dochar
651,Schaden::N,apgadinimas,damáiste
652,Unglück::N,nelaimė,drochrath
653,Schuld::N,kaltė,locht
654,Schuld::N,kaltė,milleán
655,Alter::N,amžius,aois
656,Schluss::N,pabaiga,deireadh
657,Zeit::N,laikas,am
658,Zeit::N,laikas,aimsir
659,Tag::N,diena,lá
660,Morgen::N,rytas,maidin
661,Mittag::N,vidurdienis,nóin
662,Abend::N,vakaras,tráthnóna
663,Nacht::N,naktis,oíche
664,Woche::N,savaitė,seachtain
665,Monat::N,mėnuo,mí
666,Jahr::N,metai,bliain
667,Frühling::N,pavasaris,earrach
668,Sommer::N,vasara,samhradh
669,Herbst::N,ruduo,fómhar
670,Winter::N,žiema,geimhreadh
671,Januar::N,sausis,Eanáir
672,Februar::N,vasaris,Feabhra
673,März::N,kovas,Márta
674,April::N,balandis,Aibreán
675,Mai::N,gegužė,Bealtaine
676,Juni::N,birželis,Meitheamh
677,Juli::N,liepa,Iúil
678,August::N,rugpjūtis,Lúnasa
679,September::N,rugsėjis,Meán Fómhair
680,Oktober::N,spalis,Deireadh Fómhair
681,November::N,lapkritis,Samhain
682,November::N,lapkritis,Mí na Samhna
683,Dezember::N,gruodis,Mí na Nollag
684,Montag::N,pirmadienis,Luan
685,Montag::N,pirmadienis,Dé Luain
686,Dienstag::N,antradienis,Máirt
687,Dienstag::N,antradienis,Dé Máirt
688,Mittwoch::N,trečiadienis,Céadaoin
689,Mittwoch::N,trečiadienis,Dé Céadaoin
690,Donnerstag::N,ketvirtadienis,Déardaoin
691,Freitag::N,penktadienis,Aoine
692,Freitag::N,penktadienis,Dé hAoine
693,Samstag::N,šeštadienis,Satharn
694,Samstag::N,šeštadienis,Dé Sathairn
695,Sonntag::N,sekmadienis,Domhnach
696,Sonntag::N,sekmadienis,Dé Domhnaigh
697,groß::A,didis,mór
698,groß::A,didelis,mór
699,klein::A,mažas,beag
700,lang::A,ilgas,fada
701,kurz::A,trumpas,gearr
702,kurz::A,trumpas,gairid
703,breit::A,platus,leathan
704,breit::A,platus,fairsing
705,schmal::A,smulkus,cúng
706,dicht::A,tankus,dlúth
707,dick[Gegenstand]::A,storas,tiubh
708,dünn::A,plonas,caol
709,dünn::A,plonas,tanaí
710,fein::A,smulkus,scáinte
711,fein::A,smulkus,fíneálta
712,fest::A,kietas,daingean
713,fest::A,tvirtas,daingean
714,flach::A,lėkštas,cothrom
715,flach::A,plokščias,cothrom
716,glatt::A,slidus,mín
717,glatt::A,slidus,sleamhain
718,hart::A,kietas,crua
719,weich::A,minkštas,bog
720,rund::A,apvalus,cruinn
721,rund::A,apskritas,cruinn
722,spitz::A,aštrus,gobach
723,spitz::A,aštrus,biorach
724,spitz::A,smailus,gobach
725,spitz::A,smailus,biorach
726,scharf::A,aštrus,géar
727,scharf::A,aštrus,faobhrach
728,stumpf::A,bukas,maol
729,stumpf::A,atšipęs,maol
730,schwer::A,sunkus,trom
731,schön::A,gražus,álainn
732,heiß::A,karštas,te
733,warm::A,šiltas,te
734,kalt::A,šaltas,fuar
735,kühl::A,vėsus,fionnuar
736,kühl::A,bejausmis,fionnuar
737,frisch::A,šviežias,úr
738,frisch::A,šviežias,friseáilte
739,feucht::A,drėgnas,tais
740,nass::A,šlapias,fliuch
741,trocken::A,sausas,tirim
742,voll::A,pilnas,lán
743,leer::A,tuščias,folamh
744,offen::A,atviras,oscailte
745,geschlossen::A,uždaras,dúnta
746,geschlossen::A,uždaras,druidte
747,geschlossen::A,uždarytas,dúnta
748,geschlossen::A,uždarytas,druidte
749,sauber::A,švarus,glan
750,schmutzig::A,nešvarus,salach
751,schmutzig::A,purvinas,salach
752,roh::A,žalias,amh
753,reif::A,prinokęs,aibí
754,reif::A,pribrendęs,aibí
755,lecker::A,gardus,blasta
756,süß::A,saldus,milis
757,bitter::A,kartus,searbh
758,sauer::A,gižus,géar
759,sauer::A,gižus,searbh
760,sauer::A,rūgštus,géar
761,sauer::A,rūgštus,searbh
762,hell::A,šviesus,geal
763,hell::A,šviesus,soilseach
764,hell::A,skaistus,geal
765,hell::A,skaistus,soilseach
766,dunkel::A,tamsus,dorcha
767,schwarz::A,juodas,dubh
768,weiß::A,baltas,bán
769,rot::A,raudonas,dearg
770,gelb::A,geltonas,buí
771,blau::A,mėlynas,gorm
772,grün::A,žalias,glas
773,grün::A,žalias,uaine
774,grau::A,pilkas,liath
775,bunt::A,margas,ildathach
776,bunt::A,margas,dathannach
777,bunt::A,spalvotas,ildathach
778,bunt::A,spalvotas,dathannach
779,billig::A,pigus,saor
780,teuer::A,brangus,daor
781,teuer::A,brangus,costasach
782,wertvoll::A,vertingas,luachmhar
783,blind::A,aklas,dall
784,blind::A,aklas,caoch
785,taub::A,kurčias,bodhar
786,kräftig::A,stiprus,cumhachtach
787,stark::A,stiprus,tréan
788,stark::A,stiprus,láidir
789,schwach::A,silpnas,lag
790,schwach::A,silpnas,fann
791,fett::A,riebus,ramhar
