,Concept_ID,et,kk
210,Pilz::N,seen,саңыраукулақ
211,Zwiebel::N,sibul,жуа
212,Saat::N,seeme,тұқым
213,Korn::N,iva,дән
214,Korn::N,tera,дән
215,Heu::N,hein,шөп
216,Schale::N,koor,қабық
217,Schale::N,koor,қабығы
218,Grube::N,kaevand,ор
219,Falle::N,lõks,дұзақ
220,Falle::N,lõks,қақпан
221,Falle::N,püünis,дұзақ
222,Falle::N,püünis,қақпан
223,Schlinge::N,aas,ілмек
224,Spur::N,jälg,із
225,Asche::N,tuhk,күл
226,Dreck::N,saast,былғаныш
227,Dreck::N,mustus,былғаныш
228,Eisen::N,raud,темір
229,Gold::N,kuld,алтын
230,Silber::N,hõbe,күміс
231,Kohle::N,süsi,көмір
232,Glas::N,klaas,шыны
233,Lehm::N,savi,балшық
234,Sand::N,liiv,құм
235,Mensch::N,inimene,адам
236,Mann::N,mees,еркек
237,Mann::N,mees,ер адам
238,Frau::N,naine,бике
239,Frau::N,naine,қатын
240,Kind::N,laps,бала
241,Kind::N,laps,перзент
242,Junge::N,poiss,бала
243,Junge::N,poiss,ер бала
244,Mädchen::N,tüdruk,қыз
245,Familie::N,perekond,жанұя
246,Großvater::N,vanaisa,ата
247,Großmutter::N,vanaema,әже
248,Großmutter::N,vanaema,әжей
249,Eltern::N,vanemad,ата-аналар
250,Vater::N,isa,әке
251,Mutter::N,ema,ана
252,Sohn::N,poeg,ұл
253,Tochter::N,tütar,қызым
254,Bruder::N,vend,бауырым
255,Schwester::N,õde,әпке
256,Onkel::N,onu,көке
257,Tante::N,tädi,тәте
258,Ehemann::N,mees,ер
259,Ehemann::N,abikaasa,ер
260,Ehefrau::N,naine,зайып
261,Ehefrau::N,abikaasa,зайып
262,Freude::N,rõõm,қуаныш
263,Freude::N,rõõm,сүйініш
264,Freude::N,rõõm,шат-думан
265,Freude::N,rõõm,қуаныштылық
266,Gelächter::N,naer,күлу
267,Glück::N,õnn,бақыт
268,Glück::N,õnn,бақыттылық
269,Kummer::N,mure,аза
270,Kummer::N,mure,қайғы
271,Kummer::N,mure,қасырет
272,Kummer::N,kurbus,аза
273,Kummer::N,kurbus,қайғы
274,Kummer::N,kurbus,қасырет
275,Wunsch::N,soov,мүдде
276,Lust::N,himu,тәбет
277,Lust::N,himu,ынтызар
278,Lust::N,himu,құштарлық
279,Geist::N,vaim,рух
280,Gedanke::N,mõte,ой
281,Gedächtnis::N,mälu,ес
282,Gedächtnis::N,mälu,жады
283,Gedächtnis::N,mälu,ақыл-ес
284,Verstand::N,aru,ақыл
285,Verstand::N,aru,парасат
286,Verstand::N,mõistus,ақыл
287,Verstand::N,mõistus,парасат
288,Sinn::N,tähendus,мән
289,Sinn::N,tähendus,маныз
290,Sinn::N,tähendus,мағына
291,Sinn::N,tähendus,мән-мағына
292,Grund::N,põhjus,себеп
293,Wahrheit::N,tõde,рас
294,Gespräch::N,kõne,әңгіме
295,Gespräch::N,vestlus,әңгіме
296,Märchen::N,muinasjutt,ертеп
297,Märchen::N,muinasjutt,ертек
298,Erzählung::N,jutustus,әңгіме
299,Nachricht::N,teade,хабар
300,Neuigkeit::N,uudis,жаңалық
301,Name::N,nimi,ат
302,Name::N,nimi,атау
303,Rätsel::N,mõistatus,жұмбақ
304,Rede::N,kõne,сөз
305,Sprache::N,keel,тіл
306,Stimme::N,hääl,үн
307,Stimme::N,hääl,әуен
308,Stimme::N,hääl,дауыс
309,Wort::N,sõna,сөз
310,Zeichen::N,märk,ишара
311,Ruf::N,hüüe,айғай
312,Lärm::N,müra,айғай-шу
313,Lärm::N,müra,айғай-ұйғай
314,Laut::N,hääl,дыбыс
315,Laut::N,hääl,дауыс
316,Ton::N,toon,әуен
317,Lied::N,laul,ән
318,Lied::N,laul,жыр
319,Lied::N,laul,ән-жыр
320,Ruhe::N,rahu,тыныштық
321,Ruhe::N,vaikus,тыныштық
322,Leute::N,inimesed,кісілер
323,Volk::N,rahvas,халық
324,Arbeit::N,töö,еңбек
325,Gast::N,külaline,қонақ
326,Gast::N,külaline,мейман
327,Geschenk::N,kingitus,қадия
328,Spiel::N,mäng,ойын
329,Gesellschaft::N,selts,қауым
330,Gesellschaft::N,selts,жұртшылық
331,Hilfe::N,abi,жэрдем
332,Freund::N,sõber,дос
333,Kamerad::N,sõber,дос-жар
334,Angelegenheit::N,asi,жұмыс
335,Anzahl::N,arv,сан
336,Anzahl::N,arv,саны
337,Anzahl::N,hulk,сан
338,Anzahl::N,hulk,саны
339,Art::N,liik,түр
340,Stück::N,tükk,тілім
341,Teil::N,osa,үлес
342,Teil::N,osa,бөлшек
343,Hälfte::N,pool,жарты
344,Kreis::N,ring,шеңбер
345,Kreuz::N,rist,крест
346,Linie::N,joon,сызық
347,Strich::N,joon,сызық
348,Abstand::N,vahe,ара
349,Abstand::N,vahe,аралық
350,Entfernung::N,kaugus,аралық
351,Entfernung::N,vahemaa,аралық
352,Gegend::N,ümbrus,өңір
353,Platz::N,ruum,орны
354,Ort::N,paik,орын
355,Seite::N,pool,жақ
356,Seite::N,pool,бүйір
357,Mitte::N,keskpaik,ортасы
358,Gegenstand::N,ese,зат
359,Gegenstand::N,ese,нәрсе
360,Sache::N,ese,бұйым
361,Rand::N,äär,шет
362,Rand::N,äär,шеті
363,Rand::N,serv,шет
364,Rand::N,serv,шеті
365,Kante::N,kant,қыр
366,Kante::N,kant,қыры
367,Ecke::N,nurk,қыры
368,Ecke::N,nurk,бұрыш
369,Spitze::N,teravik,ұшы
370,Ende::N,ots,аяқ
371,Ende::N,ots,соңы
372,Ende::N,jupp,аяқ
373,Ende::N,jupp,соңы
374,Loch::N,auk,тесік
375,Winkel::N,nurk,мүйіс
376,Muster::N,muster,мәнер
377,Größe::N,suurus,ауқым
378,Größe::N,suurus,көлемдік
379,Länge::N,pikkus,бой
380,Länge::N,pikkus,ұзындық
381,Höhe::N,kõrgus,жоғарылық
382,Höhe::N,kõrgus,биіктік
383,Gewicht::N,kaal,салмақ
384,Gewicht::N,raskus,салмақ
385,Menge::N,arv,мөлшер
386,Menge::N,hulk,мөлшер
387,Haufen::N,hunnik,үйме
388,Haufen::N,hunnik,үйінді
389,Reihe::N,rivi,сап
390,Boot::N,paat,қайық
391,Ruder::N,aer,ескек
392,Schlitten::N,saan,шана
393,Ski::N,suusk,шаңғы
394,Lagerfeuer::N,lõke,алау
395,Last::N,koorem,ауырлық
396,Last::N,koorem,ауыр зат
397,Gang::N,käik,жүріс
398,Schritt::N,samm,адым
399,Norden::N,põhi,солтүстік
400,Norden::N,põhi,терістік
401,Süden::N,lõuna,оңтүстік
402,Westen::N,lääs,батыс
403,Osten::N,ida,күншығыс
404,Holz::N,puu,ағаш
405,Holz::N,puu,сүрек
406,Brett::N,saelaud,тақта
407,Platte::N,plaat,тақта
408,Stütze::N,tugi,тіреу
409,Stange::N,latt,қада
410,Stange::N,teivas,қада
411,Stock::N,kepp,сойыл
412,Stab::N,varras,сырық
413,Rohr::N,toru,құбыр
414,Haus::N,maja,үй
415,Heim::N,kodu,үйлі
416,Heim::N,kodu,шаңырақ
417,Ofen::N,ahi,ошақ
418,Ofen::N,ahi,пеш
419,Fußboden::N,põrand,еден
420,Tisch::N,laud,үстел
421,Stuhl::N,tool,орындық
422,Wiege::N,häll,бесік
423,Wiege::N,kätki,бесік
424,Bett::N,voodi,кереует
425,Regal::N,riiul,сөре
426,Kiste::N,kast,жәшік
427,Fenster::N,aken,терезе
428,Tür::N,uks,есік
429,Tor::N,värav,дарбаза
430,Zaun::N,aed,дуал
431,Zaun::N,tara,дуал
432,Dach::N,katus,шатыр
433,Leiter::N,redel,саты
434,Leiter::N,redel,басқыш
435,Besen::N,luud,сыпырғыш
436,Spaten::N,labidas,күрек
437,Schaufel::N,kühvel,қалақ
438,Gabel::N,kahvel,аша
439,Gabel::N,kahvel,шанышқы
440,Löffel::N,lusikas,қасық
441,Messer::N,nuga,пышақ
442,Nagel::N,nael,мық
443,Nagel::N,nael,шеге
444,Netz::N,võrk,керегекөз
445,Haken::N,haak,ілмек
446,Haken::N,konks,ілмек
447,Griff::N,sang,сап
448,Griff::N,sang,тұтқа
449,Griff::N,käepide,сап
450,Griff::N,käepide,тұтқа
451,Schloss::N,lukk,құлып
452,Schloss::N,lukk,бекіткіш
453,Bild::N,pilt,сурет
454,Figur::N,kuju,тұлға
455,Figur::N,kujund,тұлға
456,Puppe::N,nukk,қуыршақ
457,Beutel::N,paun,қапшық
458,Bündel::N,kimp,байлам
459,Tasche::N,kott,дорба
460,Eimer::N,pang,шелек
461,Eimer::N,ämber,шелек
462,Deckel::N,kaas,жапқыш
463,Geschirr::N,nõud,ыдыс
464,Sack::N,kott,қап
465,Tasse::N,tass,шыныаяқ
466,Topf::N,pada,кәстрөл
467,Kessel::N,pada,қазан
468,Essen::N,söök,ас
469,Nahrung::N,toit,ас
470,Nahrung::N,toit,тамақ
471,Speise::N,roog,тағам
472,Fleisch::N,liha,ет
473,Getreide::N,teravili,дәнді
474,Brei::N,puder,ботқа
475,Brot::N,sai,күлше
476,Brot::N,leib,күлше
477,Scheibe::N,viil,тілім
478,Scheibe::N,viilukas,тілім
479,Fett::N,rasv,май
480,Butter::N,või,май
481,Öl::N,õli,май
482,Salz::N,sool,тұз
483,Suppe::N,supp,көже
484,Honig::N,mesi,бал
485,Milch::N,piim,сүт
486,Tee::N,tee,шай
487,Leder::N,nahk,көн
488,Wolle::N,vill,жүн
489,Stoff::N,kangas,мата
490,Stoff::N,kangas,кездеме
491,Nadel::N,nõel,ине
492,Faden::N,niit,жіп
493,Knopf::N,nööp,түйме
494,Knoten::N,sõlm,түйін
495,Farbe::N,värv,рең
496,Kleidung::N,riided,киім
497,Kleidung::N,riietus,киім
498,Hemd::N,särk,жейде
499,Kragen::N,krae,жаға
500,Ärmel::N,varrukas,жең
501,Hose::N,püksid,шалбар
502,Gürtel::N,vöö,белбеу
503,Mütze::N,müts,қалпақ
504,Schuh::N,king,кебіс
505,Stiefel::N,saabas,етік
506,Ring::N,sõrmus,жүзік
507,Band::N,lint,таспа
508,Kamm::N,kamm,тарақ
509,Spiegel::N,peegel,айна
510,Riemen::N,rihm,қайыс
511,Schnur::N,nöör,жіп
512,Leine::N,jalutusrihm,тізгін
513,Decke::N,tekk,көрпе
514,Kissen::N,padi,жастық
515,Tuch::N,kalev,орамал
516,Handtuch::N,käterätik,сүлгі
517,Kraft::N,jõud,қуат
518,Kraft::N,jõud,қарқын
519,Kraft::N,jõud,әл-шама
520,Kraft::N,jõud,әл-дәрмен
521,Stärke::N,tugevus,әл
522,Stärke::N,tugevus,күш
523,Gesundheit::N,tervis,денсаулык
524,Krankheit::N,haigus,ауру
525,Schmerz::N,valu,ауру
526,Wunde::N,haav,зақым
527,Wunde::N,haav,жарақат
528,Fieber::N,palavik,безгек
529,Fieber::N,palavik,қалтырау
530,Fieber::N,palavik,қызу көтерілуі
531,Arznei::N,ravim,дәрі
532,Arznei::N,ravim,дәрі-дәрмек
533,Brücke::N,sild,көпір
534,Brunnen::N,kaev,құдық
535,Weide::N,karjamaa,өріс
536,Weide::N,karjamaa,жайылым
537,Pfad::N,rada,жол
538,Weg::N,tee,жол
539,Straße::N,tee,жол
540,Dorf::N,küla,ауыл
541,Stadt::N,linn,қала
542,Stadt::N,linn,шаһар
543,Brief::N,kiri,хат
544,Brief::N,kiri,жазу
545,Buch::N,raamat,кітап
546,Buchstabe::N,täht,әріп
547,Buchstabe::N,täht,қаріп
548,Zeitung::N,ajaleht,газет
549,Leben::N,elu,өмір
550,Leben::N,elu,тіршілік
551,Tod::N,surm,опат
552,Grab::N,haud,мола
553,Grab::N,haud,мазар
554,Kirche::N,kirik,шіркеу
555,Sünde::N,patt,күнә
556,Gott::N,jumal,алла
557,Gott::N,jumal,құдай
558,Gott::N,jumal,тәңірі
559,Gott::N,jumal,пәруардігер
560,Gott::N,jumal,жаратқан тәңірі
561,Arbeiter::N,tööline,жүмысшы
562,Chef::N,ülemus,басшы
563,Chef::N,ülemus,жұмыс басқарушысы
564,Chef::N,juhataja,басшы
565,Chef::N,juhataja,жұмыс басқарушысы
566,Meister::N,meister,шебер
567,Meister::N,meister,өнерпаз
568,Arzt::N,arst,дәрігер
569,Lehrer::N,õpetaja,мұғалім
570,Geld::N,raha,пұл
571,Geschäft::N,äri,бизнес
572,Laden::N,pood,дүкен
573,Laden::N,kauplus,дүкен
574,Preis::N,hind,ақы
575,Preis::N,hind,құны
576,Preis::N,hind,нарық
577,Ware::N,kaup,тауар
578,Nutzen::N,tulu,пайда
579,Nutzen::N,kasulikkus,пайда
580,Reichtum::N,rikkus,бақ-дәулет
581,Welt::N,maailm,әлем
582,Welt::N,maailm,жиһан
583,Land::N,maa,аймақ
584,Staat::N,riik,мемлекет
585,König::N,kuningas,патша
586,Macht::N,võim,өкімет
587,Macht::N,võim,қожалық
588,Grenze::N,piir,шек
589,Krieg::N,sõda,соғыс
590,Feind::N,vaenlane,жау
591,Feind::N,vaenlane,дұшпан
592,Gewalt::N,väevõim,зорлык
593,Gewalt::N,väevõim,зорлық-зомбылык
594,Kampf::N,võitlus,күрес
595,Kampf::N,võitlus,алыспақ
596,Bogen[Waffe]::N,vibu,саржа
597,Pfeil::N,nool,жебе
598,Gewehr::N,püss,қару
599,Fehler::N,viga,әбес
600,Fehler::N,viga,қаталық
601,Lüge::N,vale,өтірік
602,Schaden::N,kahju,зиян
603,Schaden::N,kahju,зарар
604,Unglück::N,häda,пәле
605,Unglück::N,häda,қасырет
606,Unglück::N,häda,ауыртпалық
607,Unglück::N,õnnetus,пәле
608,Unglück::N,õnnetus,қасырет
609,Unglück::N,õnnetus,ауыртпалық
610,Schuld::N,süü,айыптылық
611,Alter::N,iga,жас
612,Alter::N,iga,жас шамасы
613,Schluss::N,lõpp,ада
614,Schluss::N,lõpp,бітуі
615,Zeit::N,aeg,уақыт
616,Tag::N,päev,күн
617,Morgen::N,hommik,таң
618,Morgen::N,hommik,таңертең
619,Mittag::N,lõuna,талтүс
620,Mittag::N,keskpäev,талтүс
621,Abend::N,õhtu,кеш
622,Nacht::N,öö,түн
623,Woche::N,nädal,апта
624,Monat::N,kuu,ай
625,Jahr::N,aasta,жыл
626,Frühling::N,kevad,көктем
627,Sommer::N,suvi,жаз
628,Herbst::N,sügis,күз
629,Winter::N,talv,қыс
630,Januar::N,jaanuar,каңтар
631,Februar::N,veebruar,ақпан
632,März::N,märts,наурыз
633,April::N,aprill,сәуір
634,Mai::N,mai,мамыр
635,Juni::N,juuni,маусым
636,Juli::N,juuli,шілде
637,August::N,august,сүмбіле
638,August::N,august,тамыз
639,September::N,september,қыркүйек
640,Oktober::N,oktoober,ақырап
641,November::N,november,қараша
642,Dezember::N,detsember,желтоқсан
643,Montag::N,esmaspäev,дүйсенбі
644,Dienstag::N,teisipäev,сейсенбі
645,Mittwoch::N,kesknädal,сәрсенбі
646,Donnerstag::N,neljapäev,бейсенбі
647,Freitag::N,reede,жұма
648,Samstag::N,laupäev,сенбі
649,Sonntag::N,pühapäev,жексембі
650,groß::A,suur,алпамсадай
651,klein::A,väike,кішкене
652,klein::A,väike,қарғадай
653,klein::A,pisike,кішкене
654,klein::A,pisike,қарғадай
655,lang::A,pikk,сопақ
656,lang::A,pikk,сорайған
657,kurz::A,lühike,кеспелтек
658,breit::A,lai,айдынды
659,schmal::A,kitsas,қысық
660,dicht::A,tihe,жиі
661,dick[Gegenstand]::A,jäme,шомбал
662,dünn::A,õhuke,жұқа
663,dünn::A,õhuke,жіңішке
664,dünn::A,peenike,жұқа
665,dünn::A,peenike,жіңішке
666,fein::A,peen,қаңылтақ
667,fein::A,õhuke,қаңылтақ
668,fest::A,püsiv,берік
669,fest::A,püsiv,мызғымас
670,fest::A,kindel,берік
671,fest::A,kindel,мызғымас
672,flach::A,lame,жалпак
673,flach::A,tasane,жалпак
674,glatt::A,sile,типыл
675,hart::A,kõva,қатты
676,weich::A,pehme,жұмсақ
677,rund::A,ümar,домалақ
678,spitz::A,torkav,үшкір
679,scharf::A,terav,сүйрік
680,stumpf::A,nüri,доғал
681,stumpf::A,nüri,өтпейтін
682,schwer::A,raske,салмақты
683,schön::A,kena,сұлу
684,heiß::A,kuum,ыссы
685,heiß::A,palav,ыссы
686,warm::A,soe,жылы
687,kalt::A,külm,аязды
688,kühl::A,jahe,салқын
689,frisch::A,värske,таза
690,frisch::A,värske,жаңа
691,feucht::A,niiske,нам
692,feucht::A,niiske,дымқылды
693,nass::A,märg,сулы
694,trocken::A,kuiv,құрғақ
695,voll::A,täis,толы
696,leer::A,tühi,бос
697,offen::A,avatud,ашып қойылған
698,offen::A,lahtine,ашып қойылған
699,geschlossen::A,suletud,жабулы
700,sauber::A,puhas,дақсыз
701,sauber::A,puhas,мұнтаздай
702,schmutzig::A,räpane,айғыз
703,schmutzig::A,räpane,сатпақ
704,schmutzig::A,räpane,сатал-сатал
705,schmutzig::A,määrdunud,айғыз
706,schmutzig::A,määrdunud,сатпақ
707,schmutzig::A,määrdunud,сатал-сатал
708,roh::A,toores,шикі
709,reif::A,küps,піскен
710,lecker::A,hõrk,дәмді
711,lecker::A,maitsev,дәмді
712,süß::A,magus,тәтті
713,bitter::A,mõru,ащы
714,sauer::A,hapu,қышқыл
715,hell::A,hele,жарық
716,hell::A,hele,жарқын
717,dunkel::A,pime,қараңғы
718,schwarz::A,must,қара
719,weiß::A,valge,ақ
720,rot::A,punane,қызыл
721,gelb::A,kollane,сары
722,blau::A,sinine,көк
723,grün::A,roheline,жасыл
724,grau::A,hall,бозамық
725,bunt::A,kirju,алабажак
726,bunt::A,värviline,алабажак
727,billig::A,odav,арзан
728,teuer::A,kallis,бағалы
729,wertvoll::A,väärtuslik,құнды
730,wertvoll::A,väärtuslik,қымбат
731,blind::A,pime,көзсіз
732,blind::A,pime,көр
733,blind::A,pime,көр_соқыр
734,taub::A,kurt,керең
735,taub::A,kurt,саңырау
736,kräftig::A,jõuline,қуатты
737,kräftig::A,jõuline,қарымды
738,stark::A,tugev,білекті
739,schwach::A,nõrk,әлсіз
740,schwach::A,nõrk,күшсіз
741,schwach::A,nõrk,қайратсыз
742,schwach::A,jõuetu,әлсіз
743,schwach::A,jõuetu,күшсіз
744,schwach::A,jõuetu,қайратсыз
745,fett::A,rasvane,семіз
746,schlank::A,sale,ашаң
747,hübsch::A,kena,ажарлы
748,hübsch::A,kena,шырайлы
749,böse::A,tige,өш
750,böse::A,tige,сұм
751,böse::A,tige,жауыз
752,dumm::A,juhm,көкми
753,dumm::A,juhm,ақымақ
754,dumm::A,juhm,миы жоқ
755,dumm::A,rumal,көкми
756,dumm::A,rumal,ақымақ
757,dumm::A,rumal,миы жоқ
758,faul::A,laisk,жалқау
759,faul::A,laisk,еріншек
760,fleißig::A,virk,ұқыпты
761,fleißig::A,hoolas,ұқыпты
762,geizig::A,ihne,сараң
763,klug::A,tark,жетік
764,klug::A,tark,ақылды
765,klug::A,arukas,жетік
766,klug::A,arukas,ақылды
767,klug::A,mõistlik,жетік
768,klug::A,mõistlik,ақылды
769,geschickt::A,osav,шебер
770,lieb::A,armas,абзал
771,lieb::A,armas,айналайын
772,lustig::A,lõbus,көңілді
773,sanft::A,õrn,жуас
774,hungrig::A,näljane,аш
775,krank::A,haige,кеселді
776,nackt::A,alasti,жалаңаш
777,traurig::A,kurb,қапа
778,lebendig::A,elus,тірі
779,lebendig::A,elus,жанды
780,gut::A,hea,жақсы
781,schlecht::A,halb,жаман
782,richtig::A,õige,дұрыс
783,schlimm::A,paha,жаман
784,wahr::A,tõene,нағыз
785,alt::A,vana,ескі
786,neu::A,uus,жаңа
787,ehemalig::A,endine,өткен
788,ehemalig::A,endine,бұрынғы
789,alt[Lebewesen]::A,vana,кексе
790,jung::A,noor,науша
791,arm::A,vaene,кедей
792,arm::A,vaene,дәулетсіз
793,reich::A,rikas,малды
794,bekannt::A,teada,таныс
795,bekannt::A,teada,көзтаныс
796,bekannt::A,tuttav,таныс
797,bekannt::A,tuttav,көзтаныс
798,berühmt::A,tuntud,атақты
799,fremd::A,võõras,бөтен
800,verschieden::A,erinev,түрлі
801,nah::A,lähedane,жуық
802,nah::A,lähedane,етене
803,fern::A,kauge,алыс
804,fern::A,kauge,алыстағы
805,linker::A,vasak,сол
806,linker::A,vasak,солшыл
807,rechter::A,parem,оң
808,anderer::A,muu,өзге
809,anderer::A,muu,былайғы
810,anderer::A,teine,өзге
811,anderer::A,teine,былайғы
812,erster::A,esimene,алғашқы
813,zweiter::A,teine,екінші
