,Concept_ID,ca,ta
189,Schmetterling::N,papallona,வண்ணத்துப்பூச்சி
190,Beere::N,baia,சதைப்பழம்
191,Apfel::N,poma,ஆப்பிள பழம்
192,Pilz::N,bolet,காளான்
193,Zwiebel::N,ceba,வெங்காயம்
194,Saat::N,sembra,விதை
195,Korn::N,gra,தானியம்
196,Heu::N,fenc,வைக்கோல்
197,Schale::N,closca,தோல்
198,Grube::N,sot,குழி
199,Grube::N,clot,குழி
200,Falle::N,trampa,பொறி
201,Schlinge::N,baga,கண்ணி
202,Spur::N,traça,சுவடு
203,Asche::N,cendra,சாம்பல்
204,Dreck::N,llot,அழுக்கு
205,Eisen::N,ferro,இரும்பு
206,Gold::N,or,தங்கம்
207,Silber::N,plata,வெள்ளி
208,Kohle::N,carbó,நிலக்கரி
209,Glas::N,vidre,கண்ணாடி
210,Lehm::N,fang,களிமண்
211,Lehm::N,argila,களிமண்
212,Sand::N,arena,மணல்
213,Mensch::N,humà,மனிதர்கள்
214,Mensch::N,persona,மனிதர்கள்
215,Mann::N,home,மனிதன்
216,Frau::N,dona,பெண்
217,Kind::N,nen,குழந்தை
218,Junge::N,noi,பையன்
219,Mädchen::N,noia,சிறுமி
220,Familie::N,família,குடும்பம்
221,Großvater::N,avi,தாத்தா
222,Großmutter::N,àvia,பாட்டி
223,Eltern::N,pares,பெற்றோர்
224,Vater::N,pare,தந்தை
225,Mutter::N,mare,தாய்
226,Sohn::N,fill,மகன்
227,Tochter::N,filla,மகள்
228,Bruder::N,germà,சகோதரன்
229,Schwester::N,germana,அக்கா
230,Onkel::N,oncle,தாய் மாமன்
231,Tante::N,tia,அத்தை
232,Ehemann::N,espòs,கணவன்
233,Ehefrau::N,muller,மனைவி
234,Freude::N,goig,கொண்டாட்டம்
235,Freude::N,alegria,கொண்டாட்டம்
236,Gelächter::N,riallada,சிரிப்பு
237,Glück::N,felicitat,மகிழ்ச்சி
238,Kummer::N,pena,துயரம்
239,Wunsch::N,desig,விருப்பம்
240,Lust::N,ganes,விருப்பம்
241,Geist::N,ment,ஆன்மா
242,Geist::N,esperit,ஆன்மா
243,Gedanke::N,pensament,எண்ணம்
244,Gedächtnis::N,memòria,ஞாபகம்
245,Verstand::N,raó,மனம்
246,Verstand::N,seny,மனம்
247,Sinn::N,solta,அர்த்தம்
248,Sinn::N,sentit,அர்த்தம்
249,Grund::N,raó,காரணம்
250,Grund::N,causa,காரணம்
251,Wahrheit::N,veritāt,உண்நை
252,Gespräch::N,conversa,பெசு
253,Märchen::N,conte,நம்பத்தகாத கதை
254,Erzählung::N,narració,கதை
255,Nachricht::N,missatge,செய்தி
256,Neuigkeit::N,novetat,செய்தி
257,Name::N,nom,பெயர்
258,Rätsel::N,endevinalla,புதிர்
259,Rede::N,discurs,பேச்சு
260,Sprache::N,llēngua,மொழி
261,Stimme::N,veu,குரல்
262,Wort::N,mot,வார்த்தை
263,Wort::N,paraula,வார்த்தை
264,Zeichen::N,signe,குறி
265,Zeichen::N,senyal,குறி
266,Ruf::N,crida,அழைப்பு
267,Lärm::N,sorōll,சத்தம்
268,Laut::N,so,ஒலி
269,Ton::N,to,குரல்
270,Lied::N,cançó,பாட்டு
271,Ruhe::N,calma,அமைதி
272,Ruhe::N,silenci,அமைதி
273,Leute::N,gent,மக்கள்
274,Volk::N,poble,மக்கள்
275,Arbeit::N,labor,வேலை
276,Arbeit::N,treball,வேலை
277,Gast::N,hoste,விருந்தாளி
278,Geschenk::N,regal,பரிசுப் பொருள்
279,Geschenk::N,obsequi,பரிசுப் பொருள்
280,Spiel::N,joc,விளையாட்டு
281,Gesellschaft::N,companyia,சமுதாயம்
282,Hilfe::N,ajut,உதவி
283,Freund::N,amīc,நண்பன்
284,Kamerad::N,company,உடனிருப்பவன்
285,Kamerad::N,camarada,உடனிருப்பவன்
286,Angelegenheit::N,afer,செய்தி
287,Angelegenheit::N,assumpte,செய்தி
288,Anzahl::N,nombre,எண்ணிக்கை
289,Anzahl::N,quantitat,எண்ணிக்கை
290,Art::N,tipus,வகை
291,Art::N,classe,வகை
292,Stück::N,peça,துண்டம்
293,Teil::N,part,பகுதி
294,Hälfte::N,meitat,பாதி
295,Kreis::N,cercle,வட்டம்
296,Kreuz::N,creu,சிலுவை
297,Linie::N,línia,கோடு
298,Strich::N,traç,வாத நோய்
299,Strich::N,ratlla,வாத நோய்
300,Abstand::N,distància,இடைவெளி
301,Entfernung::N,distància,தூரம்
302,Gegend::N,regió,வட்டாரம்
303,Gegend::N,contrada,வட்டாரம்
304,Platz::N,cabuda,வெற்றிடம்
305,Ort::N,lloc,இடம்
306,Seite::N,banda,பக்கம்
307,Seite::N,costāt,பக்கம்
308,Mitte::N,mig,இடைப்பகுதி
309,Mitte::N,centre,இடைப்பகுதி
310,Gegenstand::N,objecte,உருப்படி
311,Sache::N,cosa,பொருள்
312,Rand::N,vora,தொங்கு
313,Rand::N,marge,தொங்கு
314,Kante::N,caire,விளிம்பு
315,Kante::N,cantell,விளிம்பு
316,Ecke::N,cantonada,மூலை
317,Spitze::N,punta,முனை
318,Ende::N,cap,முடிவு
319,Loch::N,forāt,துளை
320,Winkel::N,racó,கோணம்
321,Muster::N,dibuix,பாங்கு
322,Muster::N,disseny,பாங்கு
323,Größe::N,grandària,அளவு
324,Länge::N,longitud,நீளம்
325,Höhe::N,altura,உயரம்
326,Höhe::N,altitud,உயரம்
327,Gewicht::N,pes,எடை
328,Menge::N,quantitat,தொகை
329,Haufen::N,pila,குவியல்
330,Reihe::N,fila,வரிசை
331,Boot::N,bot,படகு
332,Boot::N,barca,படகு
333,Ruder::N,rem,துடுப்பு
334,Schlitten::N,trineu,சகடையிலா வண்டி
335,Ski::N,esquí,பனிச் சறுக்கல்
336,Lagerfeuer::N,foc de campament,மூட்டம்
337,Last::N,càrrega,பாரம்
338,Gang::N,marxa,நடை
339,Schritt::N,pas,காலடி
340,Norden::N,nord,வடக்கு
341,Süden::N,sud,தெற்கு
342,Westen::N,oest,மேற்கு திசை
343,Westen::N,occident,மேற்கு திசை
344,Osten::N,est,கிழக்கு
345,Osten::N,orient,கிழக்கு
346,Holz::N,fusta,மரக்கட்டை
347,Brett::N,taula,பலகை
348,Platte::N,placa,பலகம்
349,Stütze::N,suport,அடைப்புகன்
350,Stange::N,vara,கம்பம்
351,Stock::N,pal,குச்சி
352,Stab::N,bastó,கம்பு
353,Rohr::N,tub,குழாய்
354,Haus::N,casa,வீடு
355,Heim::N,llar,வீடு
356,Ofen::N,estufa,அடுப்பு
357,Fußboden::N,terra,தரை
358,Tisch::N,taula,மேசை
359,Stuhl::N,cadira,நாற்காலி
360,Wiege::N,bressol,தொட்டில்
361,Bett::N,llit,படுக்கை
362,Regal::N,prestatgeria,அலமாரி
363,Kiste::N,caixa,பெட்டி
364,Fenster::N,finestra,சாளரம்
365,Tür::N,porta,கதவு
366,Tor::N,portal,வாசற்கதவு
367,Zaun::N,tanca,வேலி
368,Dach::N,teulada,கூரை
369,Leiter::N,escala,ஏணி
370,Leiter::N,escala de mà,ஏணி
371,Besen::N,escombra,விளக்குமாறு
372,Spaten::N,pala,மண்வெட்டி
373,Schaufel::N,pala,அடிதண்டா
374,Gabel::N,forquilla,முட்கரண்டி
375,Löffel::N,cullera,கரண்டி
376,Messer::N,coltell,கத்தி
377,Nagel::N,clau,ஆணி
378,Netz::N,filat,வலை
379,Haken::N,ganxo,கொக்கி
380,Griff::N,puny,கைப்பிடி
381,Griff::N,mànec,கைப்பிடி
382,Schloss::N,pany,பூட்டு
383,Bild::N,imatge,படம்
384,Figur::N,figura,எண்ணிக்கை
385,Puppe::N,nina,பொம்மை
386,Beutel::N,bossa,பை
387,Bündel::N,feix,பொதி
388,Bündel::N,paquet,பொதி
389,Tasche::N,bossa,பை
390,Eimer::N,galleda,வாளி
391,Deckel::N,tapa,உறை
392,Deckel::N,tapadora,உறை
393,Geschirr::N,vaixella,பாத்திரம்
394,Sack::N,sac,பை
395,Sack::N,saca,பை
396,Tasse::N,tassa,கிண்ணம்
397,Topf::N,pot,பானை
398,Topf::N,olla,பானை
399,Kessel::N,caldera,கெண்டி
400,Essen::N,àpat,உணவருந்துதல்
401,Essen::N,menjada,உணவருந்துதல்
402,Nahrung::N,aliment,உணவு
403,Speise::N,plat,உணவு வகை
404,Fleisch::N,carn,இறைச்சி
405,Getreide::N,cereals,மக்காச்சோளம்
406,Brei::N,puré,கஞ்சி
407,Brot::N,pa,ரொட்டி
408,Scheibe::N,tall,துண்டு
409,Scheibe::N,llesca,துண்டு
410,Fett::N,greix,கொழுப்பு
411,Butter::N,mantega,வெண்ணெய்
412,Öl::N,oli,எண்ணெய்
413,Salz::N,sal,உப்பு
414,Suppe::N,sopa,ரசம்
415,Honig::N,mel,தேன்
416,Milch::N,llet,பால்
417,Tee::N,te,தெனீர்
418,Leder::N,cuir,பதம் செய்யப்பட்ட தோல்
419,Wolle::N,llana,கம்பளி
420,Stoff::N,tela,துணி
421,Nadel::N,agulla,ஊசி
422,Faden::N,fil,நூல்
423,Knopf::N,botó,பொத்தான்
424,Knoten::N,nus,முடிச்சு
425,Farbe::N,pintura,வண்ணக் குழம்பு
426,Kleidung::N,roba,ஆடைகள்
427,Kleidung::N,vestits,ஆடைகள்
428,Hemd::N,camisa,சட்டை
429,Kragen::N,coll,கழுத்துப் பட்டை
430,Ärmel::N,màniga,சட்டைக்கை
431,Hose::N,pantalōns,கால்சட்டை
432,Gürtel::N,cinturó,பெல்ட்
433,Mütze::N,gorra,தொப்பி
434,Schuh::N,sabata,காலணி
435,Stiefel::N,bota,காலணி
436,Ring::N,anell,மோதிரம்
437,Band::N,veta,நாடா
438,Band::N,cinta,நாடா
439,Kamm::N,pinta,கீப்பு
440,Spiegel::N,mirāll,ஆடி
441,Spiegel::N,mirāll,கண்ணாடி
442,Riemen::N,corretja,வார்
443,Schnur::N,corda,கயிறு
444,Leine::N,corretja,தோல்வார்
445,Decke::N,manta,போர்வை
446,Decke::N,flassada,போர்வை
447,Kissen::N,coixí,தலையணை
448,Tuch::N,mocador,துணி
449,Handtuch::N,tovallola,தண்டு
450,Kraft::N,força,நிர்பந்தம்
451,Stärke::N,vigor,பலம்
452,Gesundheit::N,salut,ஆரோக்கியம்
453,Krankheit::N,malaltia,நோய்
454,Schmerz::N,dolor,வலி
455,Wunde::N,ferida,காயம்
456,Fieber::N,febre,காய்ச்சல்
457,Arznei::N,medicament,மருந்து
458,Brücke::N,pont,பாலம்
459,Brunnen::N,pou,கேணி
460,Weide::N,pastura,மேய்ச்சல் நிலம்
461,Pfad::N,senda,நடை வழி
462,Pfad::N,sender,நடை வழி
463,Weg::N,camí,வழி
464,Straße::N,carretera,சாலை
465,Dorf::N,poble,கிராமம்
466,Stadt::N,ciutāt,நகரம்
467,Brief::N,carta,கடிதம்
468,Buch::N,llibre,புத்தகம்
469,Buchstabe::N,lletra,எழத்து
470,Zeitung::N,diāri,செய்தித்தாள்
471,Leben::N,vida,வாழ்க்கை
472,Tod::N,mort,மரணம்
473,Grab::N,tomba,சமாதி
474,Kirche::N,església,தேவாலயம்
475,Sünde::N,pecat,பாவம்
476,Gott::N,déu,கடவுள்
477,Arbeiter::N,obrer,தொழிலாளி
478,Chef::N,cap,மேலாளர்
479,Meister::N,mestre,தலைவன்
480,Arzt::N,metge,மருத்துவர்
481,Lehrer::N,mestre,ஆசிரியர்
482,Geld::N,dinērs,பணம்
483,Geschäft::N,negoci,வாணிபம்
484,Laden::N,tenda,கடை
485,Laden::N,botiga,கடை
486,Preis::N,preu,விலை
487,Ware::N,mercaderia,சாமன்கள்
488,Nutzen::N,profit,இலாபம்
489,Reichtum::N,riquesa,சொத்து
490,Welt::N,món,உலகம்
491,Land::N,país,நாடு
492,Staat::N,estat,நாடு
493,König::N,rei,அரசன்
494,Macht::N,poder,அதிகாரம்
495,Macht::N,potència,அதிகாரம்
496,Grenze::N,frontera,எல்லை
497,Krieg::N,guerra,போர்
498,Feind::N,enemic,எதிரி
499,Gewalt::N,violència,வன்முறை
500,Kampf::N,lluita,போராட்டம்
501,Bogen[Waffe]::N,arc,வில்
502,Pfeil::N,fletxa,அம்பு
503,Gewehr::N,fusell,துப்பாக்கி
504,Gewehr::N,escopeta,துப்பாக்கி
505,Fehler::N,falta,தவறு
506,Lüge::N,mentida,பொய்
507,Schaden::N,dany,சேதாரம்
508,Unglück::N,desgràcia,இடையூறு
509,Schuld::N,culpa,குற்றம்
510,Alter::N,edat,வயது
511,Schluss::N,fi,முடிவு
512,Schluss::N,final,முடிவு
513,Zeit::N,temps,காலம்
514,Tag::N,dia,நாள்
515,Morgen::N,matí,காலை நேரம்
516,Mittag::N,migdia,மதியம்
517,Abend::N,vespre,மாலைப் பொழுது
518,Nacht::N,nit,இரவு
519,Woche::N,setmana,வாரம்
520,Monat::N,mes,மாதம்
521,Jahr::N,any,வருடம்
522,Frühling::N,primavera,வசந்தம்
523,Sommer::N,estīu,கோடை
524,Herbst::N,tardor,இலையுதிர் காலம்
525,Winter::N,hivērn,குளிர்காலம்
526,Januar::N,gener,ஜனவரி
527,Februar::N,febrer,பிபரவரி மாதம்
528,März::N,març,மார்ச் மாதம்
529,April::N,abril,ஏப்ரல் மாதம்
530,Mai::N,maig,மே மாதம்
531,Juni::N,juny,ஜூன் மாதம்
532,Juli::N,juliol,ஜூலை மாதம்
533,August::N,agost,ஆகஸ்ட் மாதம்
534,September::N,setembre,செப்டம்பர் மாதம்
535,Oktober::N,octubre,அக்டோபர் மாதம்
536,November::N,novembre,நவம்பர் மாதம்
537,Dezember::N,desembre,டிசம்பர்
538,Montag::N,dilluns,திங்கட் கிழமை
539,Dienstag::N,dimarts,செவ்வாய்க்கிழமை
540,Mittwoch::N,dimecres,புதன் கிழமை
541,Donnerstag::N,dijous,வியாழக் கிழமை
542,Freitag::N,divendres,வெள்ளிக்கிழமை
543,Samstag::N,dissabte,சனிக்கிழமை
544,Sonntag::N,diumenge,ஞாயிறுக் கிழமை
545,groß::A,gros,பெரிய
546,klein::A,petīt,சிறிய
547,lang::A,llarg,நீண்ட
548,kurz::A,curt,குட்டையான
549,breit::A,ample,அகலமான
550,schmal::A,estret,குறுகலான
551,dicht::A,dens,அடர்த்தியான
552,dick[Gegenstand]::A,gruixūt,தடித்த
553,dünn::A,prim,சன்னமான
554,fein::A,fi,மெல்லிய
555,fest::A,ferm,உறுதியாள
556,fest::A,sòlid,உறுதியாள
557,flach::A,pla,தட்டையான
558,glatt::A,llis,வழுவழுப்பான
559,hart::A,dur,கடினமான
560,weich::A,tou,மென்மையான
561,rund::A,rodó,உருண்டையான
562,spitz::A,punxegut,திகந்தமாக
563,scharf::A,agut,கூரான
564,stumpf::A,rom,உளம் திறந்த
565,stumpf::A,esmussat,உளம் திறந்த
566,schwer::A,pesāt,கனமான
567,schön::A,bonīc,அழகான
568,heiß::A,calēnt,சூடான
569,warm::A,càlid,இதமான
570,kalt::A,fred,குளிர்ச்சியான
571,kühl::A,fresc,குளிர்ச்சியான
572,frisch::A,fresc,சுத்தமான
573,feucht::A,humit,ஈரமான
574,nass::A,mullat,ஈரமான
575,trocken::A,sec,உலர்ந்த
576,voll::A,ple,நிரம்பிய
577,leer::A,buit,காலியான
578,offen::A,obert,திறந்த
579,geschlossen::A,tancat,மூடப்பட்ட
580,sauber::A,net,சுத்தமான
581,schmutzig::A,brut,அழக்கான
582,roh::A,cru,கச்சா
583,reif::A,madur,பழுத்த
584,lecker::A,deliciós,சுவைமிக்க
585,süß::A,dolç,இனிப்பான
586,bitter::A,amarg,கசப்பான
587,sauer::A,agre,புளிப்பாக
588,hell::A,clar,பளபளப்பான
589,dunkel::A,fosc,கருமையான
590,schwarz::A,negre,கருப்பு வண்ண
591,weiß::A,blanc,வெண்மையன
592,rot::A,vermēll,சிவப்பு
593,gelb::A,groc,மஞ்சள் வண்ணம்
594,blau::A,blau,நீல வண்ண
595,grün::A,verd,பச்சை வண்ண
596,grau::A,gris,சாம்பல் நிற
597,bunt::A,multicolor,வண்ண மயமான
598,billig::A,barat,மலிவான
599,teuer::A,car,விலை அதிகமான
600,wertvoll::A,preciós,மதிப்புள்ள
601,blind::A,cec,பார்வையற்ற
602,taub::A,sord,செவிடான
603,kräftig::A,fort,வலிமையான
604,kräftig::A,vigorós,வலிமையான
605,stark::A,fort,பலமான
606,schwach::A,feble,பலவீனமான
607,fett::A,gras,பருமனாக
608,schlank::A,esvelt,ஒல்லியான
609,hübsch::A,maco,அழகிய
610,böse::A,dolent,கேடு விளைவிக்கும்
611,dumm::A,ximple,முட்டாள்தனமான
612,dumm::A,estúpid,முட்டாள்தனமான
613,faul::A,gandūl,சோம்பலான
614,faul::A,mandrós,சோம்பலான
615,fleißig::A,diligēnt,ஊக்கந்தளராத
616,geizig::A,avar,கஞேசத்தனமான
617,klug::A,intel·ligent,சாதுரியமான
618,geschickt::A,hàbil,திறமையள்ள
619,lieb::A,amat,அன்புக்குரிய
620,lieb::A,estimat,அன்புக்குரிய
621,lustig::A,alegre,களிப்புமிக்க
622,sanft::A,suau,சாதுவான
623,hungrig::A,afamat,பசியுடன்
624,krank::A,malālt,நோயுற்று
625,nackt::A,nu,ஆடையற்ற
626,traurig::A,trist,சோகமான
627,lebendig::A,viu,பிழைப்பு
628,gut::A,bo,நல்ல
629,schlecht::A,dolēnt,கெட்ட
630,richtig::A,just,சரியான
631,richtig::A,correcte,சரியான
632,schlimm::A,greu,அருவருப்பான
633,wahr::A,vertader,உண்மையான
634,wahr::A,veritable,உண்மையான
635,alt::A,vell,பழைய
636,neu::A,nou,புதிய
637,ehemalig::A,antic,முன்நாள்
638,alt[Lebewesen]::A,vell,வயதான
639,jung::A,jove,இளமையான
640,arm::A,pobre,ஏழ்மையான
641,reich::A,ric,செல்வம் படைத்த
642,bekannt::A,conegut,பழக்கப்பட்ட
643,berühmt::A,famós,புகழ்பெற்ற
644,fremd::A,estrany,அயல் நாட்டு
645,verschieden::A,diferent,வித்தியாசமான
646,nah::A,pròxim,பக்கத்தில் உள்ள
647,fern::A,llunyà,தொலை தூரத்தில்
648,fern::A,distant,தொலை தூரத்தில்
649,linker::A,esquerre,மீந்திருக்கும்
650,rechter::A,dret,வலதுபக்கம்
651,anderer::A,altre,மற்ற
652,erster::A,primer,முதனமையான
653,zweiter::A,segon,இரண்டாவது
654,dritter::A,tercer,மூன்றாவது
655,letzter::A,últim,கடைசி
656,allein::ADV,sol,தனியாக
657,auf einmal::ADV,d'una vegada,தடீரென்று
658,zusammen::ADV,junt,சேர்ந்து
659,lange::ADV,molt de temps,அதிக நோம்
660,plötzlich::ADV,de cop,தடீரென்று
661,plötzlich::ADV,de sobte,தடீரென்று
662,sofort::ADV,de seguida,உடனடியாக
663,später::ADV,més tard,பிறகு
664,jetzt::ADV,ara,இப்பொழது
665,heute::ADV,avūi,இன்று
666,morgen::ADV,demà,நாளைக்கு
667,bald::ADV,aviāt,சீக்கிரம்
668,dann::ADV,després,அப்பொழுது
669,gestern::ADV,ahir,நேற்று
670,einst::ADV,anteriorment,ஒரே முறை
671,damals::ADV,llavōrs,அப்பொழுது
672,damals::ADV,aleshores,அப்பொழுது
673,danach::ADV,després,பிற்பாடு
674,vorher::ADV,abāns,முன்பாக
675,zuerst::ADV,primer,முதலில்
676,einmal::ADV,una vegada,ஒரே முறை
677,manchmal::ADV,de vegades,சில நேரங்களில்
678,oft::ADV,sovint,அடிக்கடி
679,immer::ADV,sempre,எப்பொழுதும்
680,niemals::ADV,no ... mai,ஒருபோதும் இல்லை
681,hier::ADV,aquí,இங்கே
682,hierhin::ADV,per aquí,இவ்விடத்திற்கு
683,von hier::ADV,des d'aquí,இனி
684,dort::ADV,allí,அங்கே
685,dorthin::ADV,hi,அவ்விடத்திற்கு
686,geradeaus::ADV,tot dret,முன்னாலிருக்கும்
687,vorwärts::ADV,endavānt,முன்புறமாக
688,rückwärts::ADV,endarrera,பின்னோக்கி
689,zurück::ADV,darrere,பின்பக்கம்
690,unten::ADV,a baix,கீழாக
691,hinab::ADV,cap avall,கீழ் நோக்கி
692,oben::ADV,dalt,மேலே
693,hinauf::ADV,cap amunt,மேலே
694,überall::ADV,pertot,எல்லா இடத்திலும்
695,überall::ADV,per tot arreu,எல்லா இடத்திலும்
696,nicht::ADV,no,இல்லை
697,ein wenig::ADV,una mica,கொஞ்சம்
698,kaum::ADV,a penes,அரிதாக
699,sehr::ADV,molt,மிக்க
700,so::ADV,així,மிகவும்
701,noch::ADV,encara,இப்பொழுதும்
