,Concept_ID,te,ja
69,Staub::N,దుమ్ము,埃
70,Rauch::N,పొగ,煙
71,Funke::N,అగ్నికణము,火花
72,Feuer::N,అగ్ని,火
73,Licht::N,కాంతి,光
74,Schatten::N,నీడ,陰
75,Wetter::N,వాతావరణ స్థితి,天気
76,Nebel::N,పొగమంచు,霧
77,Wolke::N,మేఘము,雲
78,Regen::N,వాన,雨
79,Schnee::N,హిమము,雪
80,Eis::N,మంచుగడ్డ,氷
81,Frost::N,పేరిన మంచు,霜
82,Kälte::N,చలి,寒さ
83,Hitze::N,వేడిమి,暑さ
84,Raureif::N,మంచు,霧氷
85,Regenbogen::N,ఇంద్రధనుస్సు,虹
86,Donner::N,ఉరుము,雷
87,Strömung::N,ప్రవాహము,流れ
88,Tropfen::N,చుక్క,滴
89,Schaum::N,నురుగు,泡
90,Schmutz::N,మైల,汚れ
91,See::N,సరస్సు,湖
92,Sumpf::N,చిత్తడినేల,沼
93,Moor::N,చిత్తడినేల,湿原
94,Wiese::N,పచ్చిక బయలు,草原
95,Wald::N,అడవి,森
96,Hügel::N,చివ్నకొండ,丘
97,Anhöhe::N,కొండ,高み
98,Berg::N,పర్వతము,山
99,Gipfel::N,శిఖరము,頂上
100,Höhle::N,గుహ,洞窟
101,Abhang::N,ఏటవాలు,斜面
102,Quelle::N,మూలము,泉
103,Bach::N,కాలువ,小川
104,Fluss::N,నది,川
105,Ufer::N,తీరము,岸
106,Küste::N,తీరము,海岸
107,Festland::N,భూమి,陸
108,Meer::N,సముద్రము,海
109,Bucht::N,మరుగు,湾
110,Insel::N,దీవి,島
111,Blume::N,పుష్పము,花
112,Gras::N,పచ్చగడ్డి,草
113,Wurzel::N,వేరు,根
114,Baum::N,చెట్టు,木
115,Stamm::N,చెట్టుబోదె,幹
116,Rinde::N,చెట్టుపట్ట,皮層
117,Ast::N,కొమ్మ,枝
118,Zweig::N,చివుకు,小枝
119,Blatt::N,ఆకు,葉
120,Birke::N,తరహా చెట్టు,樺
121,Kiefer[Baum]::N,దేవదారు చెట్టు,松
122,Weide[Baum]::N,జాతిచెట్టు,柳
123,Tanne::N,దేవదారుచెట్టు,樅
124,Horn::N,కొమ్ము,角
125,Feder::N,ఈక,羽根
126,Fell::N,తోలు,毛皮
127,Flügel::N,ఱెక్క,羽
128,Klaue::N,వంకరగోరు,鉤爪
129,Kralle::N,వంకరగోరు,爪
130,Schwanz::N,తోక,尻尾
131,Ei::N,గ్రుడ్డు,卵
132,Nest::N,పక్షిగూడు,巣
133,Bau::N,గుహ,穴
134,Tier::N,జంతువు,動物
135,Herde::N,మంద,群れ
136,Kuh::N,ఆవు,牛
137,Bulle::N,గిత్త,雄牛
138,Pferd::N,గుఱ్ఱము,馬
139,Schaf::N,గొఱ్ఱె,羊
140,Schwein::N,పంది,豚
141,Hund::N,కుక్క,犬
142,Katze::N,పిల్లి,猫
143,Bär::N,ఎలుగుబంటి,熊
144,Eichhörnchen::N,ఉడుత,栗鼠
145,Elch::N,కణంజు,ヘラジカ
146,Fuchs::N,గుంటనక్క,狐
147,Hase::N,కుందేలు,兎
148,Maus::N,చిట్టెలుక,鼠
149,Wolf::N,తోడేలు,狼
150,Vogel::N,పక్షి,鳥
151,Schwarm::N,గుంపు,群れ
152,Huhn::N,కోడిపిల్ల,鶏
153,Hahn::N,కోడివుంజు,雄鶏
154,Gans::N,ఆడుబాతు,ガチョウ
155,Adler::N,గ్రద్ద,鷲
156,Ente::N,పాట్టిబాతు,鴨
157,Eule::N,గ్రుడ్లగూబ,フクロウ
158,Kranich::N,కొంగ,鶴
159,Krähe::N,కాకి,烏
160,Kuckuck::N,కోయల,郭公
161,Schwan::N,హంస,白鳥
162,Fisch::N,చేప,魚
163,Barsch::N,ఒకచేఁప,鱸
164,Hecht::N,గండుమీను,川魳
165,Schlange[Tier]::N,పాము,蛇
166,Wurm::N,పురుగు,虫
167,Spinne::N,సాలె పురుగు,蜘蛛
168,Ameise::N,చీమ,蟻
169,Laus::N,పేను,虱
170,Mücke::N,చీకటీగ,蚊
171,Fliege::N,ఈగ,蝿
172,Schmetterling::N,సీతాకోకచిలుక,蝶
173,Beere::N,కాయ,漿果
174,Apfel::N,ఆపిల్ పండు,林檎
175,Pilz::N,కుక్కగొడుగు,茸
176,Zwiebel::N,నీరుల్లి,玉葱
177,Saat::N,విత్తనము,種
178,Korn::N,గింజ,粒
179,Heu::N,ఎండుగడ్డి,干し草
180,Schale::N,పొట్టు,皮
181,Grube::N,గొయ్యి,穴
182,Falle::N,బోను,わな
183,Schlinge::N,ఉరి,輪
184,Spur::N,జాడ,跡
185,Asche::N,బూడిద,灰
186,Dreck::N,ముఱికి,泥
187,Eisen::N,ఇనుము,鉄
188,Gold::N,బంగారము,金
189,Silber::N,వెండి,銀
190,Kohle::N,నేలబొగ్గు,炭
191,Glas::N,గాజు,ガラス
192,Lehm::N,బంకమన్ను,ローム
193,Sand::N,ఇసుక,砂
194,Mensch::N,నరుడు,人
195,Mann::N,పురుమడు,男
196,Mann::N,పురుమడు,男性
197,Frau::N,ఆడుది,女
198,Frau::N,ఆడుది,女性
199,Kind::N,బిడ్డ,子
200,Kind::N,బిడ్డ,子供
201,Junge::N,బాలుడు,男の子
202,Mädchen::N,బాలిక,女の子
203,Familie::N,కుటుంబము,家族
204,Großvater::N,తాత,祖父
205,Großvater::N,తాత,おじいさん
206,Großmutter::N,అయ్యమ్మ,祖母
207,Großmutter::N,అయ్యమ్మ,おばあさん
208,Eltern::N,తల్లితండ్రులు,親
209,Eltern::N,తల్లితండ్రులు,両親
210,Vater::N,తండ్రి,父
211,Vater::N,తండ్రి,お父さん
212,Mutter::N,తల్లి,母
213,Mutter::N,తల్లి,お母さん
214,Sohn::N,కొడుకు,息子
215,Sohn::N,కొడుకు,息子さん
216,Tochter::N,కూతురు,娘
217,Tochter::N,కూతురు,お嬢さん
218,Bruder::N,పోదరుడు,弟
219,Schwester::N,సోదరి,妹
220,Onkel::N,మేనమామ,伯父
221,Onkel::N,మేనమామ,伯父さん
222,Tante::N,మేనత్త,叔母
223,Tante::N,మేనత్త,叔母さん
224,Tante::N,పినతల్లి,叔母
225,Tante::N,పినతల్లి,叔母さん
226,Ehemann::N,భర్త,夫
227,Ehemann::N,భర్త,主人
228,Ehefrau::N,భార్య,妻
229,Ehefrau::N,భార్య,奥さん
230,Freude::N,సంతోషము,喜び
231,Gelächter::N,నవ్వు,笑い
232,Glück::N,సంతోషము,幸せ
233,Kummer::N,దుఃఖము,悩み
234,Wunsch::N,కోరిక,希望
235,Lust::N,కోరిక,気
236,Geist::N,ఆత్మ,精神
237,Gedanke::N,ఆలోచన,考え
238,Gedächtnis::N,జ్ఞాపకము,記憶
239,Verstand::N,మనస్సు,理解力
240,Sinn::N,అర్థము,意味
241,Grund::N,కారణము,理由
242,Wahrheit::N,సత్యము,真実
243,Gespräch::N,పంభాషణ,会話
244,Märchen::N,అద్భుతకథ,童話
245,Erzählung::N,కథ,物語
246,Nachricht::N,వార్త,報告
247,Neuigkeit::N,వార్త,ニュース
248,Name::N,పేరు,名前
249,Rätsel::N,చిక్కు,謎
250,Rede::N,ఉపన్యాసము,演説
251,Sprache::N,భాష,言語
252,Stimme::N,కంరథ్సని,声
253,Wort::N,మాట,言葉
254,Zeichen::N,గుర్తు,記号
255,Ruf::N,పిలువు,呼び声
256,Lärm::N,సందడి,騒音
257,Laut::N,ధ్వని,音
258,Ton::N,స్వరము,音
259,Lied::N,పాట,歌
260,Ruhe::N,గాలిలేమి,静けさ
261,Leute::N,జనులు,人々
262,Volk::N,జాతి,民族
263,Arbeit::N,పని,仕事
264,Gast::N,అతిధి,客
265,Geschenk::N,దానము,贈り物
266,Spiel::N,ఆట,遊び
267,Gesellschaft::N,జట్టు,社会
268,Hilfe::N,సాహాయ్యము,援助
269,Freund::N,స్నేహితుడు,友達
270,Kamerad::N,చెలికాడు,同志
271,Angelegenheit::N,విషయము,件
272,Anzahl::N,లెక్క,数
273,Art::N,జాతి,種類
274,Stück::N,తునుక,部分
275,Teil::N,భాగము,部分
276,Hälfte::N,సగము,半分
277,Kreis::N,వృత్తము,円
278,Kreuz::N,సిలువ,十字
279,Linie::N,గీత,線
280,Strich::N,గీత,線
281,Abstand::N,సందు,距離
282,Entfernung::N,దూరము,距離
283,Gegend::N,విస్తీర్ణము,辺
284,Gegend::N,విస్తీర్ణము,地域
285,Platz::N,ఎడము,ゆとり
286,Ort::N,స్థలము,所
287,Ort::N,స్థలము,場所
288,Seite::N,ప్రక్క,横
289,Mitte::N,నడిమి,真ん中
290,Gegenstand::N,పద్దు,物件
291,Sache::N,వస్తువు,物
292,Rand::N,అంచు,端
293,Kante::N,అంచు,縁
294,Ecke::N,మూల,角
295,Spitze::N,మొన,先頭
296,Ende::N,కొన,端
297,Loch::N,రంధ్రము,穴
298,Winkel::N,కోణము,片隅
299,Muster::N,మాదిరి,模様
300,Größe::N,పరిమాణము,大きさ
301,Länge::N,పొడుగు,長さ
302,Höhe::N,పొడుగు,高さ
303,Gewicht::N,భారము,重さ
304,Menge::N,మొత్తము,量
305,Haufen::N,రాశి,堆積
306,Reihe::N,వరుస,並び
307,Boot::N,పడవ,ボート
308,Ruder::N,అడక,オール
309,Schlitten::N,సరవండ్లు,そり
310,Ski::N,స్కీ,スキー
311,Lagerfeuer::N,నెగడు,篝火
312,Last::N,బరువు,荷物
313,Gang::N,నడక,歩み
314,Schritt::N,అడుగు,歩
315,Norden::N,ఉత్తరదిక్కు,北
316,Süden::N,దక్షిణము,南
317,Westen::N,పడమర,西
318,Osten::N,తూర్పు,東
319,Holz::N,కొయ్య,木
320,Holz::N,కొయ్య,木材
321,Brett::N,పలక,板
322,Platte::N,పలక,盤
323,Stütze::N,వాల్సేడ్లు,支柱
324,Stange::N,స్తంభము,棒
325,Stock::N,కఱ్ఱ,杖
326,Stab::N,కఱ్ఱ,棒
327,Rohr::N,గొట్టము,管
328,Haus::N,ఇల్లు,家
329,Heim::N,స్వగృహము,家
330,Ofen::N,పొయ్యి,ストーブ
331,Fußboden::N,నేల,床
332,Tisch::N,మేజా,机
333,Stuhl::N,కుర్చీ,椅子
334,Wiege::N,ఉయ్యాల,揺籃
335,Bett::N,పడక,ベッド
336,Bett::N,మంచం,ベッド
337,Regal::N,అటక,棚
338,Kiste::N,వెట్టె,箱
339,Fenster::N,కిటికి,窓
340,Tür::N,ద్వారము,戸
341,Tür::N,ద్వారము,ドア
342,Tor::N,ద్వారము,門
343,Zaun::N,కంచె,垣根
344,Dach::N,ఇంటివైకప్పు,屋根
345,Leiter::N,నిచ్చెన,梯子
346,Besen::N,చీపురుకట్ట,ほうき
347,Spaten::N,పాఱ,スコップ
348,Schaufel::N,పాఱ,シャベル
349,Gabel::N,ముండ్లగరిటె,フォーク
350,Löffel::N,గరిటె,スプーン
351,Messer::N,కత్తి,ナイフ
352,Nagel::N,మేకు,釘
353,Netz::N,వల,網
354,Haken::N,కొక్కెము,鉤
355,Haken::N,కొక్కెము,フック
356,Griff::N,పిడి,取っ手
357,Schloss::N,తాళము,錠
358,Bild::N,చిత్రము,絵
359,Figur::N,రూపము,像
360,Puppe::N,బొమ్మ,人形
361,Beutel::N,సంచి,袋
362,Bündel::N,మూట,束
363,Bündel::N,మూట,包み
364,Tasche::N,సంచి,かばん
365,Eimer::N,చేద,バケツ
366,Deckel::N,మూత,蓋
367,Geschirr::N,వంటకాలు,食器
368,Sack::N,గోనెసంచి,袋
369,Tasse::N,గిన్నె,カップ
370,Topf::N,కుండ,鍋
371,Kessel::N,నీరుకాచుపాత్ర,釜
372,Essen::N,ఆహారము,食事
373,Nahrung::N,ఆహారము,食物
374,Speise::N,ఆహారము,料理
375,Fleisch::N,మాంసము,肉
376,Getreide::N,ధాన్యము,麦
377,Getreide::N,ధాన్యము,穀物
378,Brei::N,గుజ్జు,粥
379,Brot::N,రొట్టె,パン
380,Scheibe::N,బద్ద,枚
381,Scheibe::N,బద్ద,切れ
382,Fett::N,క్రొవ్వు,脂肪
383,Butter::N,వెన్న,バター
384,Öl::N,నూనె,油
385,Salz::N,ఉప్పు,塩
386,Suppe::N,చారు,スープ
387,Honig::N,తెనె,蜂蜜
388,Milch::N,పాలు,牛乳
389,Tee::N,తేనీరు,茶
390,Tee::N,తేనీరు,お茶
391,Leder::N,బాగుచేసివతోలు,革
392,Wolle::N,ఉన్ని,毛糸
393,Stoff::N,బట్ట,布
394,Nadel::N,సూది,針
395,Faden::N,దారము,糸
396,Knopf::N,బొత్తాము,ボタン
397,Knoten::N,ముడి,結び目
398,Farbe::N,రంగు,ペンキ
399,Kleidung::N,బట్టలు,衣服
400,Hemd::N,చొక్కాయ,シャツ
401,Kragen::N,మాల,襟
402,Ärmel::N,చొక్కాయచెయ్యి,袖
403,Hose::N,ఇజారు,ズボン
404,Gürtel::N,పటకా,帯
405,Gürtel::N,పటకా,ベルト
406,Mütze::N,టోపి,帽子
407,Schuh::N,పాదరక్ష,靴
408,Stiefel::N,బూటు,ブーツ
409,Ring::N,ఉంగరము,輪
410,Band::N,నాడా,リボン
411,Kamm::N,దువ్వెన,櫛
412,Spiegel::N,అద్దము,鏡
413,Riemen::N,వాడా,緒
414,Schnur::N,దారము,紐
415,Leine::N,వారు,綱
416,Decke::N,కంబళి,掛け布団
417,Kissen::N,తలగడ,枕
418,Tuch::N,బట్ట,スカーフ
419,Handtuch::N,తువాలు,タオル
420,Kraft::N,బలము,力
421,Stärke::N,శక్తి,強さ
422,Gesundheit::N,ఆరోగ్యము,健康
423,Krankheit::N,రోగము,病気
424,Schmerz::N,నొప్పి,痛み
425,Wunde::N,గాయము,傷
426,Fieber::N,జ్వరము,熱
427,Arznei::N,మందు,薬
428,Brücke::N,వంతెన,橋
429,Brunnen::N,బావి,井戸
430,Brunnen::N,కూపము,井戸
431,Brunnen::N,నుయ్యి,井戸
432,Weide::N,పచ్చికబయలు,牧場
433,Pfad::N,కాలిత్రోవ,小路
434,Weg::N,మార్గము,道
435,Straße::N,బాట,街道
436,Dorf::N,గ్రామము,村
437,Stadt::N,పట్టణము,町
438,Stadt::N,పట్టణము,都市
439,Brief::N,జాబు,手紙
440,Buch::N,పుస్తకము,本
441,Buchstabe::N,అక్షరము,文字
442,Zeitung::N,వార్తాపత్రిక,新聞
443,Leben::N,ప్రాణము,生活
444,Tod::N,మరణము,死
445,Grab::N,సమాధి,墓
446,Kirche::N,క్రెస్తవులగుడి,教会
447,Sünde::N,పాపము,罪
448,Gott::N,దేవుడు,神
449,Arbeiter::N,పనిపాటుచేశేవాడు,労働者
450,Chef::N,యజమానుడు,上司
451,Meister::N,కళాకారుడు,達人
452,Meister::N,కళాకారుడు,マイスター
453,Arzt::N,వైద్యుడు,医者
454,Lehrer::N,ఉపాధ్యాయుడు,先生
455,Geld::N,ద్రవ్యము,金
456,Geschäft::N,వ్యాపారము,取り引き
457,Laden::N,అంగడి,店
458,Preis::N,వెల,値段
459,Ware::N,సరకులు,商品
460,Nutzen::N,ప్రయోజనము,利益
461,Reichtum::N,ధనము,豊かさ
462,Welt::N,ప్రపంచము,世界
463,Land::N,దేశము,国
464,Staat::N,రాజ్యము,国家
465,König::N,రాజు,国王
466,Macht::N,అధికారము,権力
467,Grenze::N,సరిహద్దు,国境
468,Krieg::N,యుద్ధము,戦争
469,Feind::N,శత్రువు,敵
470,Gewalt::N,దౌర్జన్యము,暴力
471,Kampf::N,పోట్లాట,戦い
472,Bogen[Waffe]::N,విల్లు,弓
473,Pfeil::N,బాణము,矢
474,Gewehr::N,తుపాకి,銃
475,Fehler::N,తప్ప,間違い
476,Lüge::N,అసత్యము,嘘
477,Schaden::N,నష్టము,損害
478,Unglück::N,దురదృష్టము,不幸
479,Schuld::N,తప్పు,罪
480,Alter::N,వయస్సు,年
481,Alter::N,వయస్సు,年齢
482,Schluss::N,ముగింపు,終わり
483,Zeit::N,కాలము,時
484,Zeit::N,కాలము,時間
485,Tag::N,దినము,日
486,Morgen::N,ఉదయము,朝
487,Mittag::N,మధ్యాహ్నము,昼
488,Abend::N,సాయంకాలము,晩
489,Abend::N,సాయంకాలము,夕方
490,Nacht::N,రత్రి,夜
491,Woche::N,వారము,週
492,Monat::N,నెల,月
493,Jahr::N,సంవత్సరము,年
494,Frühling::N,వసంతకాలము,春
495,Sommer::N,వేసవికాము,夏
496,Herbst::N,ఆకురాలుకాలము,秋
497,Winter::N,శీతకాలము,冬
498,Januar::N,జనవరి,一月
499,Februar::N,ఫిబ్రవరి,二月
500,März::N,మార్చి,三月
501,April::N,ఏప్రిలు,四月
502,Mai::N,మే,五月
503,Juni::N,జూన్,六月
504,Juli::N,జూలై,七月
505,August::N,ఆగస్టు,八月
506,September::N,సెప్ఠెంబరు,九月
507,Oktober::N,అక్టోబరు,十月
508,November::N,నవంబరు,十一月
509,Dezember::N,డిసెంబర్,十二月
510,Montag::N,సోమవారము,月曜日
511,Dienstag::N,మంగళవారము,火曜日
512,Mittwoch::N,బుధవారము,水曜日
513,Donnerstag::N,గురువారము,木曜日
514,Freitag::N,శుక్రవారము,金曜日
515,Samstag::N,శనివారము,土曜日
516,Sonntag::N,ఆదివారము,日曜日
517,groß::A,గొప్పైన,大きい
518,klein::A,చిన్న,小さい
519,lang::A,పొడుగాటి,長い
520,kurz::A,పొట్టి,短い
521,breit::A,వెడల్పైన,広い
522,schmal::A,ఇఱుకైన,狭い
523,dicht::A,దట్టమైన,密な
524,dick[Gegenstand]::A,దట్టమైన,厚い
525,dünn::A,పలుచని,薄い
526,fein::A,నాజాకైన,細い
527,fest::A,దృడమైవ,硬い
528,flach::A,చదువైన,平らな
529,glatt::A,నున్నని,滑らかな
530,hart::A,కఠినమైన,堅い
531,weich::A,మృదువైన,柔らかい
532,rund::A,గుండ్రని,丸い
533,spitz::A,మొనగల,尖った
534,scharf::A,పదనైన,鋭い
535,stumpf::A,వాడిలేని,鈍い
536,schwer::A,బరువ్తెన,重い
537,schön::A,సుందరమైన,綺麗な
538,heiß::A,వేడియైన,熱い
539,warm::A,వెచ్చని,温かい
540,kalt::A,చల్లని,寒い
541,kalt::A,చల్లని,冷たい
542,kühl::A,చల్లని,涼しい
543,frisch::A,తాజాయైన,ひんやりした
544,feucht::A,చెమ్మగానున్న,湿った
545,nass::A,తడిగామన్న,濡れた
546,trocken::A,ఎండిన,乾いた
547,voll::A,నిండు,いっぱいの
548,leer::A,శూన్యమైన,空の
549,offen::A,తెఱచియున్న,開いた
550,geschlossen::A,మూసిన,閉まった
551,sauber::A,పరిశుద్ధమైన,清潔な
552,schmutzig::A,ముఱికియైన,汚い
553,roh::A,పచ్చి,生の
554,reif::A,పండివ,熟した
555,lecker::A,రుచి గల,美味しい
556,süß::A,తియ్యని,甘い
557,bitter::A,చేదైన,苦い
558,sauer::A,పుల్లని,酸っぱい
559,hell::A,కాంతిగల,明るい
560,dunkel::A,చీకటియైన,暗い
561,schwarz::A,నల్లని,黒い
562,weiß::A,తెలుపు,白い
563,rot::A,ఎఱ్ఱని,赤い
564,gelb::A,పసుపు పచ్చ,黄色い
565,blau::A,నీలవర్ణము,青い
566,grün::A,ఆకుపచ్చని,緑の
567,grau::A,నెరిసిన,灰色の
568,bunt::A,రంగేలీ,色取り取りの
569,billig::A,చౌకయైన,安い
570,teuer::A,వెలపొడుగైన,高い
571,wertvoll::A,విలుప్తెన,貴重な
572,blind::A,గ్రుడ్డి,盲目の
573,taub::A,చెవిటి,耳が聞こえない
574,kräftig::A,శక్తి గల,強力な
575,stark::A,బలమైన,強い
576,schwach::A,బలహీనమైన,弱い
577,fett::A,క్రొవ్విన,太った
578,schlank::A,సన్నని,ほっそりした
579,hübsch::A,సాగప్తెన,素敵な
580,böse::A,చెడ్డ,悪い
581,dumm::A,తెలివిలేని,馬鹿な
582,faul::A,సోమరియైన,怠惰な
583,fleißig::A,శ్రద్దగల,勤勉な
584,geizig::A,పిసినారియైన,けちな
585,klug::A,తెలివిగల,賢い
586,klug::A,తెలివిగల,頭のいい
587,geschickt::A,నిపుణతగల,器用な
588,lieb::A,ప్రియమైన,愛らしい
589,lustig::A,ఉల్లాసము గల,楽しい
590,sanft::A,సాధువైన,温和な
591,hungrig::A,ఆకలిగొనిన,空腹の
592,krank::A,వ్యాధిగల,病気の
593,nackt::A,దిగంబరమైన,裸の
594,traurig::A,విచారముగల,悲しい
595,lebendig::A,ప్రాణముతో నున్న,生きた
596,gut::A,మంచి,良い
597,schlecht::A,చెడ్డ,悪い
598,schlecht::A,చెడ్డ,駄目な
599,richtig::A,సరియైన,正しい
600,schlimm::A,అసహ్యమైన,ひどい
601,wahr::A,నిజమైన,本当の
602,alt::A,ముసలి,古い
603,neu::A,క్రొత్త,新しい
604,ehemalig::A,పూర్వపు,以前の
605,alt[Lebewesen]::A,ముసలి,年を取った
606,jung::A,పసి,若い
607,arm::A,బీద,貧乏な
608,reich::A,ధనవంతుడైన,裕福な
609,bekannt::A,తెలిసిన,有名な
610,berühmt::A,ప్రపిద్దికెక్కివ,有名な
611,fremd::A,అన్యమైన,見知らぬ
612,verschieden::A,భేదమైన,色々な
613,nah::A,దగ్గఱనున్న,近い
614,fern::A,దూరమందున్న,遠い
615,linker::A,ఎడమప్రక్కగ,左の
616,rechter::A,కుడి,右の
617,anderer::A,వేఱ్తెన,別の
618,erster::A,మొదటి,一番目
619,zweiter::A,రెండన,二番目
620,dritter::A,మూడో,三番目
621,letzter::A,కడపటి,最後の
622,allein::ADV,ఒంటిగా,一人で
623,auf einmal::ADV,హరాత్తుగ,同時に
624,zusammen::ADV,కలిసి,一緒に
625,lange::ADV,బహుకాలము,長い間
626,plötzlich::ADV,హరాత్తుగ,急に
627,sofort::ADV,తక్షణము,すぐに
628,später::ADV,ఇటీవలి,後で
629,jetzt::ADV,ఇప్పుడు,今
630,heute::ADV,నేడు,今日
631,morgen::ADV,ఱేపు,明日
632,bald::ADV,శీఘ్రముగ,間もなく
633,dann::ADV,అప్పుడు,それから
634,gestern::ADV,నిన్నటి దినము,昨日
635,einst::ADV,పూర్వమొకప్పుడు,過去に
636,damals::ADV,అప్పుడు,あの時
637,danach::ADV,అప్పుడు,その後で
638,vorher::ADV,ఎదుట,以前に
639,zuerst::ADV,మొదటిలో,まず
640,zuerst::ADV,మొదటిలో,最初に
641,einmal::ADV,ఒకసారి,一回
642,manchmal::ADV,అప్పటప్పటికి,時々
643,oft::ADV,తఱచుగా,よく
644,immer::ADV,ఎల్లప్పుడు,いつも
645,niemals::ADV,ఎప్పుడునులేదు,一度も...ない
646,hier::ADV,ఇక్కడ,こちら
647,hierhin::ADV,ఇక్కడకు,ここへ
648,hierhin::ADV,ఇక్కడకు,こちらへ
649,von hier::ADV,ఇక్కడనుండి,ここから
650,dort::ADV,అక్కడ,そちら
651,dorthin::ADV,అక్కడికి,そこへ
652,dorthin::ADV,అక్కడికి,そちらへ
653,geradeaus::ADV,సూటిగా,真っ直ぐに
654,vorwärts::ADV,ముందుకు,前へ
655,rückwärts::ADV,వెనుకకు,後ろへ
656,zurück::ADV,వెనుకభాగము,後ろへ
657,unten::ADV,క్రింద,下に
658,hinab::ADV,కిందికి,下へ
659,oben::ADV,మీద,上に
660,hinauf::ADV,పైకి,上へ
661,überall::ADV,అంతటా,どこでも
662,nicht::ADV,కాదు,ない
663,ein wenig::ADV,కొంచెము,少し
664,ein wenig::ADV,కొంచెము,ちょっと
665,kaum::ADV,చాలిచాలక,ほとんど～ない
666,sehr::ADV,చాల,とても
667,so::ADV,ఆలాగున,こう
668,noch::ADV,ఇప్పటికిని,まだ
669,nur::ADV,మాత్రము,～だけ
670,schon::ADV,ఇదివఱకే,もう
671,wieder::ADV,తిరిగి,再び
672,vergebens::ADV,నిష్ఫలముగా,無駄に
673,vor::PRP,ముందు,前に
674,hinter::PRP,వెనుక,後ろに
675,unter::PRP,క్రింద,下に
676,durch::PRP,ద్వారా,通して
677,neben::PRP,దగ్గెర,横に
678,zwischen::PRP,మధ్య,間に
679,wegen::PRP,కారణంగా,為に
680,wegen::PRP,కారణంగా,せいで
681,dies::PRN,ఇది,これ
682,das::PRN,అది,それ
683,alles::PRN,సకలము,全部
684,ich::PRN,నేను,私
685,du::PRN,నీవు,あなた
686,er::PRN,అతడు,彼
687,wir::PRN,మనము,私達
688,ihr::PRN,మీరు,あなた達
689,sie::PRN,వారు,彼ら
690,was::FPRN,ఏమి,何
691,wer::FPRN,ఎవడు,誰
692,wer::FPRN,ఎవడు,どなた
693,wo::FADV,ఎక్కడ,どこ
694,wo::FADV,ఎక్కడ,どこに
695,wohin::FADV,ఎందుకు,どこへ
696,wie::FADV,ఎట్టు,どう
697,warum::FADV,ఏల,何故
698,warum::FADV,ఏల,どうして
699,wieviel::FNUM,ఎంత,どのくらい
700,eins::NUM,ఒకటి,一
701,zwei::NUM,రెండు,二
702,zwei::NUM,రెండు,二つ
703,drei::NUM,మూడు,三
704,drei::NUM,మూడు,三つ
705,vier::NUM,నాలుగు,四
706,vier::NUM,నాలుగు,四つ
707,fünf::NUM,అయిదు,五
708,fünf::NUM,అయిదు,五つ
709,sechs::NUM,ఆఱు,六
710,sechs::NUM,ఆఱు,六つ
711,sieben::NUM,ఏరు,七
712,sieben::NUM,ఏరు,七つ
