,Concept_ID,lt,sk
491,Nahrung::N,penas,strava
492,Nahrung::N,penas,potrava
493,Nahrung::N,maistas,strava
494,Nahrung::N,maistas,potrava
495,Speise::N,patiekalas,jedlo
496,Fleisch::N,mėsa,mäso
497,Getreide::N,javai,obilie
498,Brei::N,košė,kaša
499,Brot::N,duona,chlieb
500,Scheibe::N,riekė,kotúč
501,Scheibe::N,riekė,krajec
502,Fett::N,taukai,tuk
503,Fett::N,taukai,masť
504,Fett::N,riebalai,tuk
505,Fett::N,riebalai,masť
506,Butter::N,sviestas,maslo
507,Öl::N,aliejus,olej
508,Salz::N,druska,soľ
509,Suppe::N,sriuba,polievka
510,Honig::N,medus,med
511,Milch::N,pienas,mlieko
512,Tee::N,arbata,čaj
513,Leder::N,oda,koža
514,Wolle::N,vilna,vlna
515,Stoff::N,audeklas,súkno
516,Nadel::N,adata,ihla
517,Faden::N,gija,niť
518,Faden::N,gija,vlákno
519,Faden::N,siūlas,niť
520,Faden::N,siūlas,vlákno
521,Knopf::N,saga,gombík
522,Knoten::N,mazgas,uzol
523,Farbe::N,dažai,farba
524,Kleidung::N,rūbai,šaty
525,Kleidung::N,rūbai,šatstvo
526,Kleidung::N,drabužiai,šaty
527,Kleidung::N,drabužiai,šatstvo
528,Hemd::N,marškiniai,košeľa
529,Kragen::N,apykaklė,golier
530,Ärmel::N,rankovė,rukáv
531,Hose::N,kelnės,nohavice
532,Gürtel::N,juosta,pás
533,Gürtel::N,juosta,opasok
534,Gürtel::N,diržas,pás
535,Gürtel::N,diržas,opasok
536,Mütze::N,kepurė,čiapka
537,Schuh::N,batas,obuv
538,Schuh::N,batas,topánka
539,Stiefel::N,auliniai batai,čižma
540,Ring::N,žiedas,prsteň
541,Band::N,kaspinas,stuha
542,Kamm::N,šukos,hrebeň
543,Spiegel::N,veidrodis,zrkadlo
544,Riemen::N,diržas,remeň
545,Schnur::N,virvė,šnúra
546,Leine::N,pavadėlis,vodidlo
547,Decke::N,antklodė,deka
548,Decke::N,antklodė,prikrývka
549,Kissen::N,pagalvė,poduška
550,Kissen::N,priegalvis,poduška
551,Tuch::N,skarelė,šatka
552,Handtuch::N,rankšluostis,uterák
553,Kraft::N,jėga,moc
554,Stärke::N,stiprumas,sila
555,Gesundheit::N,sveikata,zdravie
556,Krankheit::N,liga,nemoc
557,Krankheit::N,liga,choroba
558,Schmerz::N,skausmas,bolesť
559,Wunde::N,žaizda,rana
560,Fieber::N,karštis,horúčka
561,Arznei::N,vaistas,liek
562,Brücke::N,tiltas,most
563,Brunnen::N,šulinys,studňa
564,Weide::N,ganykla,pastva
565,Weide::N,gluosnis,pastva
566,Pfad::N,takas,chodník
567,Weg::N,kelias,cesta
568,Straße::N,gatvė,hradská
569,Dorf::N,kaimas,dedina
570,Dorf::N,sodžius,dedina
571,Stadt::N,miestas,mesto
572,Brief::N,laiškas,list
573,Buch::N,knyga,kniha
574,Buchstabe::N,raidė,litera
575,Buchstabe::N,raidė,písmeno
576,Zeitung::N,laikraštis,noviny
577,Leben::N,gyvybė,život
578,Leben::N,gyvenimas,život
579,Tod::N,mirtis,smrť
580,Grab::N,kapas,hrob
581,Kirche::N,bažnyčia,kostol
582,Sünde::N,nuodėmė,hriech
583,Sünde::N,nusidėjimas,hriech
584,Gott::N,dievas,boh
585,Arbeiter::N,darbininkas,robotník
586,Arbeiter::N,darbininkas,pracnovík
587,Chef::N,šefas,šéf
588,Chef::N,šefas,riaditeľ
589,Chef::N,vadovas,šéf
590,Chef::N,vadovas,riaditeľ
591,Chef::N,viršininkas,šéf
592,Chef::N,viršininkas,riaditeľ
593,Meister::N,meistras,majster
594,Arzt::N,gydytojas,lekár
595,Lehrer::N,mokytojas,učiteľ
596,Geld::N,pinigai,peniaze
597,Geschäft::N,biznis,obchod
598,Laden::N,krautuvė,obchod
599,Laden::N,parduotuvė,obchod
600,Preis::N,kaina,cena
601,Ware::N,prekė,tovar
602,Nutzen::N,nauda,osoh
603,Nutzen::N,nauda,úžitok
604,Nutzen::N,pelnas,osoh
605,Nutzen::N,pelnas,úžitok
606,Reichtum::N,turtas,bohatstvo
607,Welt::N,pasaulis,svet
608,Land::N,žemė,územie
609,Land::N,žemė,krajina
610,Land::N,šalis,územie
611,Land::N,šalis,krajina
612,Staat::N,valstija,štát
613,König::N,karalius,kráľ
614,Macht::N,galia,moc
615,Macht::N,galia,mocnosť
616,Macht::N,valdžia,moc
617,Macht::N,valdžia,mocnosť
618,Grenze::N,riba,hranica
619,Grenze::N,siena,hranica
620,Krieg::N,karas,vojna
621,Feind::N,priešas,nepriateľ
622,Gewalt::N,jėga,násilie
623,Gewalt::N,smurtas,násilie
624,Gewalt::N,prievarta,násilie
625,Kampf::N,kova,boj
626,Bogen[Waffe]::N,lankas,luk
627,Pfeil::N,strėlė,šíp
628,Pfeil::N,strėlė,strela
629,Gewehr::N,šautuvas,puška
630,Fehler::N,klaida,omyl
631,Fehler::N,klaida,chyba
632,Lüge::N,melas,lož
633,Schaden::N,nuostolis,ujma
634,Schaden::N,nuostolis,škoda
635,Schaden::N,apgadinimas,ujma
636,Schaden::N,apgadinimas,škoda
637,Unglück::N,nelaimė,nešťastie
638,Schuld::N,kaltė,vina
639,Schuld::N,kaltė,previnenie
640,Alter::N,amžius,vek
641,Schluss::N,pabaiga,záver
642,Schluss::N,pabaiga,koniec
643,Zeit::N,laikas,čas
644,Tag::N,diena,deň
645,Morgen::N,rytas,ráno
646,Mittag::N,vidurdienis,poludnie
647,Abend::N,vakaras,večer
648,Nacht::N,naktis,noc
649,Woche::N,savaitė,týždeň
650,Monat::N,mėnuo,mesiac
651,Jahr::N,metai,rok
652,Frühling::N,pavasaris,jar
653,Sommer::N,vasara,leto
654,Herbst::N,ruduo,jeseň
655,Winter::N,žiema,zima
656,Januar::N,sausis,január
657,Februar::N,vasaris,február
658,März::N,kovas,marec
659,April::N,balandis,apríl
660,Mai::N,gegužė,máj
661,Juni::N,birželis,jún
662,Juli::N,liepa,júl
663,August::N,rugpjūtis,august
664,September::N,rugsėjis,september
665,Oktober::N,spalis,október
666,November::N,lapkritis,november
667,Dezember::N,gruodis,december
668,Montag::N,pirmadienis,pondelok
