,Concept_ID,ga,uk
60,Schlaf::N,suan,сон
61,Schlaf::N,suan,сплячка
62,Schlaf::N,codladh,сон
63,Schlaf::N,codladh,сплячка
64,Traum::N,taibhreamh,сон
65,Himmel::N,spéir,небо
66,Sonne::N,grian,сонце
67,Mond::N,ré,місяць
68,Mond::N,gealach,місяць
69,Stern::N,rinn,зірка
70,Stern::N,réalta,зірка
71,Luft::N,aer,повітря
72,Wind::N,gaoth,вітер
73,Welle::N,tonn,хвиля
74,Wasser::N,uisce,вода
75,Stein::N,cloch,камінь
76,Boden::N,talamh,ґрунт
77,Erde::N,cré,земля
78,Erde::N,ithir,земля
79,Staub::N,dusta,пил
80,Staub::N,deannach,пил
81,Rauch::N,toit,дим
82,Rauch::N,deatach,дим
83,Funke::N,drithle,іскра
84,Feuer::N,tine,вогонь
85,Licht::N,solas,світло
86,Schatten::N,scáth,тінь
87,Wetter::N,aimsir,погода
88,Nebel::N,ceo,туман
89,Wolke::N,néal,хмара
90,Wolke::N,scamall,хмара
91,Regen::N,báisteach,дощ
92,Regen::N,fearthainn,дощ
93,Schnee::N,sneachta,сніг
94,Eis::N,oighear,лід
95,Frost::N,sioc,мороз
96,Kälte::N,fuacht,холод
97,Hitze::N,teas,жар
98,Hitze::N,teocht,жар
99,Raureif::N,sioc bán,іній
100,Regenbogen::N,stua ceatha,райдуга
101,Regenbogen::N,bogha báistí,райдуга
102,Donner::N,toirneach,грім
103,Strömung::N,sruth,струмина
104,Tropfen::N,deoir,крапля
105,Schaum::N,cúr,піна
106,Schmutz::N,salachar,бруд
107,See::N,loch,озеро
108,Sumpf::N,portach,драговина
109,Moor::N,caorán,болото
110,Moor::N,móinteán,болото
111,Wiese::N,cluain,луг
112,Wiese::N,cluain,лука
113,Wiese::N,móinéar,луг
114,Wiese::N,móinéar,лука
115,Wald::N,coill,ліс
116,Wald::N,foraois,ліс
117,Hügel::N,ard,горб
118,Anhöhe::N,ard,височина
119,Anhöhe::N,ardán,височина
120,Berg::N,sliabh,гора
121,Gipfel::N,barr,вершина
122,Gipfel::N,mullach,вершина
123,Höhle::N,uaimh,печера
124,Höhle::N,pluais,печера
125,Abhang::N,fána,схил
126,Quelle::N,foinse,джерело
127,Bach::N,sruthán,струмок
128,Fluss::N,abhainn,річка
129,Ufer::N,bruach,берег
130,Küste::N,cósta,узбережжя
131,Küste::N,cladach,узбережжя
132,Festland::N,míntír,суша
133,Meer::N,muir,море
134,Meer::N,farraige,море
135,Bucht::N,bá,бухта
136,Bucht::N,bá,затока
137,Bucht::N,cuan,бухта
138,Bucht::N,cuan,затока
139,Insel::N,inis,острів
140,Insel::N,oileán,острів
141,Blume::N,bláth,квітка
142,Gras::N,féar,трава
143,Wurzel::N,rúta,корінь
144,Wurzel::N,fréamh,корінь
145,Baum::N,crann,дерево
146,Stamm::N,stoc,стовбур
147,Stamm::N,tamhan,стовбур
148,Rinde::N,coirt,кора
149,Rinde::N,craiceann,кора
150,Ast::N,géag,гілка
151,Zweig::N,géag,галузь
152,Zweig::N,craobh,галузь
153,Blatt::N,duille,лист
154,Blatt::N,duilleog,лист
155,Birke::N,beith,береза
156,Birke::N,crann beithe,береза
157,Kiefer[Baum]::N,péine,сосна
158,Weide[Baum]::N,saileach,верба
159,Tanne::N,giúis,ялиця
160,Horn::N,adharc,ріг
161,Feder::N,cleite,перо
162,Fell::N,clúmh,хутро
163,Flügel::N,eite,крило
164,Flügel::N,sciathán,крило
165,Klaue::N,crúb,кіготь
166,Klaue::N,crobh,кіготь
167,Kralle::N,crobh,лапа
168,Schwanz::N,eireaball,хвіст
169,Ei::N,ubh,яйце
170,Nest::N,nead,гніздо
171,Bau::N,brocais,лігво
172,Tier::N,ainmhí,тварина
173,Tier::N,beithíoch,тварина
174,Herde::N,tréad,стадо
175,Kuh::N,bó,корова
176,Bulle::N,tarbh,бик
177,Bulle::N,tarbh,бугай
178,Pferd::N,each,кінь
179,Pferd::N,capall,кінь
180,Schaf::N,caora,вівця
181,Schwein::N,muc,свиня
182,Hund::N,madra,собака
183,Katze::N,cat,кішка
184,Bär::N,béar,ведмідь
185,Eichhörnchen::N,iora,білка
186,Elch::N,eilc,лось
187,Fuchs::N,sionnach,лисиця
188,Fuchs::N,madra rua,лисиця
189,Hase::N,giorria,заєць
190,Maus::N,luch,миша
191,Wolf::N,mac tíre,вовк
192,Vogel::N,éan,птах
193,Schwarm::N,saithe,зграя
194,Huhn::N,cearc,курка
195,Hahn::N,coileach,півень
196,Gans::N,gé,гуска
197,Adler::N,iolar,орел
198,Ente::N,lacha,качка
199,Eule::N,ulchabhán,сова
200,Kranich::N,grús,журавель
201,Krähe::N,caróg,ворона
202,Krähe::N,préachán,ворона
203,Kuckuck::N,cuach,зозуля
204,Schwan::N,eala,лебідь
205,Fisch::N,iasc,риба
206,Barsch::N,péirse,окунь
207,Hecht::N,liús,щука
208,Schlange[Tier]::N,nathair,змія
209,Wurm::N,péist,черв’як
210,Spinne::N,damhán alla,павук
211,Ameise::N,seangán,мурашка
212,Laus::N,míol,воша
213,Mücke::N,muiscít,комар
214,Mücke::N,corrmhíol,комар
215,Fliege::N,cuil,муха
216,Fliege::N,cuileog,муха
217,Schmetterling::N,féileacán,метелик
218,Beere::N,caor,ягода
219,Apfel::N,úll,яблуко
220,Pilz::N,beacán,гриб
221,Pilz::N,muisiriún,гриб
222,Zwiebel::N,oinniún,цибуля
223,Saat::N,síol,сім’я
224,Korn::N,gráinne,зерно
225,Heu::N,féar,сіно
226,Schale::N,scaimh,шкірка
227,Grube::N,poll,яма
228,Falle::N,gaiste,пастка
229,Schlinge::N,sealán,петля
230,Spur::N,rian,слід
231,Asche::N,luaith,зола
232,Asche::N,luaith,попіл
233,Dreck::N,salachar,бруд
234,Eisen::N,iarann,залізо
235,Gold::N,ór,золото
236,Silber::N,airgead,срібло
237,Kohle::N,gual,вугілля
238,Glas::N,gloine,скло
239,Lehm::N,cré,глина
240,Sand::N,gaineamh,пісок
241,Mensch::N,duine,людина
242,Mann::N,fear,чоловік
243,Frau::N,bean,жінка
244,Kind::N,gasúr,дитина
245,Kind::N,páiste,дитина
246,Junge::N,buachaill,хлопець
247,Mädchen::N,cailín,дівчина
248,Familie::N,teaghlach,сім’я
249,Familie::N,teaghlach,родина
250,Familie::N,comhluadar,сім’я
251,Familie::N,comhluadar,родина
252,Großvater::N,seanathair,дідусь
253,Großmutter::N,seanmháthair,бабуся
254,Eltern::N,tuismitheoirí,батьки
255,Vater::N,athair,батько
256,Mutter::N,máthair,мати
257,Sohn::N,mac,син
258,Tochter::N,iníon,дочка
259,Bruder::N,deartháir,брат
260,Schwester::N,deirfiúr,сестра
261,Onkel::N,uncail,дядько
262,Tante::N,aintín,тітка
263,Ehemann::N,fear céile,чоловік
264,Ehefrau::N,bean chéile,жінка
265,Ehefrau::N,bean chéile,дружина
266,Freude::N,áthas,радощі
267,Gelächter::N,gáire,сміх
268,Glück::N,séan,щастя
269,Glück::N,sonas,щастя
270,Kummer::N,brón,горе
271,Kummer::N,buairt,горе
272,Wunsch::N,guí,бажання
273,Wunsch::N,achainí,бажання
274,Lust::N,fonn,бажання
275,Geist::N,meon,дух
276,Geist::N,spiorad,дух
277,Gedanke::N,smaoineamh,думка
278,Gedächtnis::N,cuimhne,пам’ять
279,Verstand::N,ciall,розум
280,Verstand::N,intinn,розум
281,Sinn::N,brí,зміст
282,Sinn::N,brí,значення
283,Sinn::N,ciall,зміст
284,Sinn::N,ciall,значення
285,Grund::N,fáth,причина
286,Wahrheit::N,fírinne,правда
287,Gespräch::N,comhrá,розмова
288,Märchen::N,scéal,байка
289,Erzählung::N,scéal,повість
290,Erzählung::N,scéal,оповідання
291,Nachricht::N,teachtaireacht,повідомлення
292,Neuigkeit::N,scéala,новина
293,Name::N,ainm,ім’я
294,Rätsel::N,tomhas,загадка
295,Rede::N,óráid,промова
296,Rede::N,aitheasc,промова
297,Sprache::N,teanga,мова
298,Stimme::N,guth,голос
299,Wort::N,focal,слово
300,Zeichen::N,comhartha,знак
301,Ruf::N,glaoch,оклик
302,Lärm::N,torann,шум
303,Laut::N,fuaim,звук
304,Ton::N,ton,тон
305,Lied::N,amhrán,пісня
306,Ruhe::N,suaimhneas,спокій
307,Leute::N,muintir,люди
308,Volk::N,pobal,народ
309,Arbeit::N,obair,робота
310,Gast::N,aoi,гість
311,Geschenk::N,féirín,подарунок
312,Geschenk::N,bronntanas,подарунок
313,Spiel::N,cluiche,гра
314,Gesellschaft::N,comhluadar,товариство
315,Hilfe::N,cúnamh,допомога
316,Hilfe::N,cabhair,допомога
317,Freund::N,cara,друг
318,Freund::N,cara,приятель
319,Kamerad::N,comrádaí,товариш
320,Angelegenheit::N,ábhar,справа
321,Anzahl::N,líon,число
322,Art::N,sórt,рід
323,Art::N,saghas,рід
324,Stück::N,píosa,кусок
325,Teil::N,cuid,частина
326,Teil::N,páirt,частина
327,Hälfte::N,leath,половина
328,Kreis::N,ciorcal,круг
329,Kreis::N,ciorcal,коло
330,Kreuz::N,cros,хрест
331,Linie::N,líne,лінія
332,Strich::N,stríoc,штрих
333,Abstand::N,achar,проміжок
334,Entfernung::N,fad,відстань
335,Gegend::N,ceantar,місцевість
336,Platz::N,áit,площа
337,Platz::N,spás,площа
338,Ort::N,áit,місце
339,Seite::N,taobh,сторона
340,Mitte::N,lár,середина
341,Gegenstand::N,ball,предмет
342,Gegenstand::N,ábhar,предмет
343,Sache::N,ní,річ
344,Sache::N,rud,річ
345,Rand::N,imeall,край
346,Rand::N,ciumhais,край
347,Kante::N,corr,ребро
348,Kante::N,colbha,ребро
349,Ecke::N,coirnéal,ріг
350,Spitze::N,gob,кінчик
351,Spitze::N,barr,кінчик
352,Ende::N,ceann,кінець
353,Ende::N,foirceann,кінець
354,Loch::N,poll,діра
355,Winkel::N,cúinne,куток
356,Winkel::N,uillinn,куток
357,Muster::N,patrún,узор
358,Größe::N,méid,розмір
359,Größe::N,toise,розмір
360,Länge::N,fad,довжина
361,Höhe::N,airde,висота
362,Gewicht::N,meáchan,вага
363,Menge::N,méid,кількість
364,Haufen::N,cnap,купа
365,Reihe::N,líne,ряд
366,Reihe::N,sraith,ряд
367,Boot::N,bád,човен
368,Ruder::N,rámh,весло
369,Ruder::N,maide rámha,весло
370,Schlitten::N,carr sleamhnáin,сани
371,Ski::N,scí,лижа
372,Lagerfeuer::N,tine champa,вогнище
373,Last::N,ualach,тягар
374,Last::N,ualach,вантаж
375,Gang::N,siúlóid,хід
376,Schritt::N,céim,крок
377,Schritt::N,coiscéim,крок
378,Norden::N,tuaisceart,північ
379,Süden::N,deisceart,південь
380,Westen::N,iarthar,захід
381,Osten::N,oirthear,схід
382,Holz::N,adhmad,дрова
383,Brett::N,clár,дошка
384,Platte::N,leac,плита
385,Stütze::N,taca,підпірка
386,Stange::N,polla,жердина
387,Stange::N,cuaille,жердина
388,Stock::N,bata,палиця
389,Stock::N,maide,палиця
390,Stab::N,maide,палиця
391,Stab::N,bachall,палиця
392,Rohr::N,píopa,труба
393,Haus::N,teach,дім
394,Haus::N,teach,хата
395,Heim::N,baile,житло
396,Ofen::N,sornóg,піч
397,Fußboden::N,urlár,підлога
398,Tisch::N,bord,стіл
399,Tisch::N,tábla,стіл
400,Stuhl::N,cathaoir,стілець
401,Wiege::N,cliabhán,колиска
402,Bett::N,leaba,ліжко
403,Bett::N,leaba,постіль
404,Regal::N,seilf,полиця
405,Kiste::N,bosca,ящик
406,Fenster::N,fuinneoig,вікно
407,Tür::N,doras,двері
408,Tor::N,geata,ворота
409,Zaun::N,fál,паркан
410,Zaun::N,fál,огорожа
411,Zaun::N,claí,паркан
412,Zaun::N,claí,огорожа
413,Dach::N,díon,дах
414,Leiter::N,dréimire,драбина
415,Besen::N,scuab,мітла
416,Spaten::N,spád,заступ
417,Spaten::N,rámhainn,заступ
418,Schaufel::N,sluasaid,совок
419,Schaufel::N,sluasaid,лопата
420,Gabel::N,forc,виделка
421,Gabel::N,gabhlóg,виделка
422,Löffel::N,spúnóg,ложка
423,Messer::N,scian,ніж
424,Nagel::N,tairne,цвях
425,Netz::N,líon,сіть
426,Netz::N,eangach,сіть
427,Haken::N,croch,крюк
428,Griff::N,cos,ручка
429,Griff::N,cos,держак
430,Griff::N,hanla,ручка
431,Griff::N,hanla,держак
432,Schloss::N,glas,замок
433,Bild::N,pictiúr,картина
434,Figur::N,fíor,фігура
435,Puppe::N,bábóg,лялька
436,Beutel::N,mála,мішечок
437,Beutel::N,mála,торбинка
438,Beutel::N,mealbhóg,мішечок
439,Beutel::N,mealbhóg,торбинка
440,Bündel::N,beart,в’язка
441,Tasche::N,mála,сумка
442,Eimer::N,buicéad,відро
443,Deckel::N,clár,кришка
444,Deckel::N,claibín,кришка
445,Geschirr::N,soithí,посуд
446,Geschirr::N,gréithe,посуд
447,Sack::N,sac,мішок
448,Sack::N,mála,мішок
449,Tasse::N,cupán,чашка
450,Topf::N,pota,горщик
451,Kessel::N,citeal,котел
452,Essen::N,béile,їжа
453,Nahrung::N,bia,харч
454,Speise::N,mias,страва
455,Fleisch::N,feoil,м’ясо
456,Getreide::N,grán,хліб
457,Getreide::N,grán,збіжжя
458,Getreide::N,arbhar,хліб
459,Getreide::N,arbhar,збіжжя
460,Brei::N,brúitín,каша
461,Brot::N,arán,хліб
462,Scheibe::N,píosa,скибочка
463,Scheibe::N,slisne,скибочка
464,Fett::N,saill,жир
465,Fett::N,méathras,жир
466,Butter::N,im,масло
467,Öl::N,ola,олія
468,Salz::N,salann,сіль
469,Suppe::N,sú,суп
470,Suppe::N,anraith,суп
471,Honig::N,mil,мед
472,Milch::N,bainne,молоко
473,Tee::N,tae,чай
474,Leder::N,leathar,шкіра
475,Wolle::N,olann,шерсть
476,Stoff::N,éadach,тканина
477,Nadel::N,snáthaid,голка
478,Faden::N,snáth,нитка
479,Knopf::N,cnaipe,ґудзик
480,Knoten::N,snaidhm,вузол
481,Farbe::N,péint,фарба
482,Kleidung::N,éadaí,одяг
483,Kleidung::N,éadaí,убрання
484,Hemd::N,léine,сорочка
485,Kragen::N,bóna,комір
486,Ärmel::N,muinchille,рукав
487,Hose::N,bríste,брюки
488,Hose::N,treabhsar,брюки
489,Gürtel::N,crios,пояс
490,Mütze::N,caipín,шапка
491,Schuh::N,bróg,ботинок
492,Stiefel::N,buatais,чобіт
493,Ring::N,fáinne,кільце
494,Band::N,ribín,стрічка
495,Kamm::N,cíor,гребінець
496,Spiegel::N,scáthán,дзеркало
497,Riemen::N,iall,ремінь
498,Riemen::N,strapa,ремінь
499,Schnur::N,téad,вірьовка
500,Schnur::N,sreangán,вірьовка
501,Leine::N,iall,шворка
502,Decke::N,pluid,ковдра
503,Decke::N,blaincéad,ковдра
504,Kissen::N,piliúr,подушка
505,Kissen::N,adhartán,подушка
506,Tuch::N,scaif,хустка
507,Handtuch::N,tuáille,рушник
508,Kraft::N,fórsa,сила
509,Stärke::N,neart,сила
510,Gesundheit::N,sláinte,здоров’я
511,Krankheit::N,tinneas,хвороба
512,Krankheit::N,breoiteacht,хвороба
513,Schmerz::N,pian,біль
514,Wunde::N,goin,рана
515,Fieber::N,fiabhras,гарячка
516,Arznei::N,cógas,ліки
517,Brücke::N,droichead,міст
518,Brunnen::N,tobar,колодязь
519,Weide::N,féarach,пасовище
520,Pfad::N,cosán,стежка
521,Pfad::N,conair,стежка
522,Weg::N,slí,шлях
523,Weg::N,slí,дорога
524,Weg::N,bealach,шлях
525,Weg::N,bealach,дорога
526,Straße::N,bóthar,вулиця
527,Dorf::N,sráidbhaile,село
528,Stadt::N,baile,місто
529,Stadt::N,cathair,місто
530,Brief::N,litir,лист
531,Buch::N,cín,книга
532,Buch::N,cín,книжка
533,Buch::N,leabhar,книга
534,Buch::N,leabhar,книжка
535,Buchstabe::N,litir,буква
536,Buchstabe::N,litir,літера
537,Zeitung::N,nuachtán,газета
538,Leben::N,saol,життя
539,Leben::N,beatha,життя
540,Tod::N,bás,смерть
541,Grab::N,uaigh,могила
542,Kirche::N,eaglais,церква
543,Sünde::N,peaca,гріх
544,Gott::N,dia,бог
545,Arbeiter::N,oibrí,робітник
546,Chef::N,saoiste,хазяїн
547,Chef::N,ceannasaí,хазяїн
548,Meister::N,máistir,умілець
549,Arzt::N,lia,лікар
550,Arzt::N,dochtúir,лікар
551,Lehrer::N,oide,вчитель
552,Lehrer::N,múinteoir,вчитель
553,Geld::N,airgead,гроші
554,Geschäft::N,gnó,заняття
555,Laden::N,siopa,магазин
556,Laden::N,siopa,крамниця
557,Preis::N,praghas,ціна
558,Ware::N,earra,товар
559,Nutzen::N,tairbhe,вигода
560,Nutzen::N,tairbhe,користь
561,Reichtum::N,rachmas,багатство
562,Reichtum::N,saibhreas,багатство
563,Welt::N,domhan,світ
564,Land::N,tír,країна
565,Staat::N,stát,держава
566,König::N,rí,король
567,Macht::N,cumhacht,влада
568,Grenze::N,críoch,кордон
569,Grenze::N,teorainn,кордон
570,Krieg::N,cogadh,війна
571,Feind::N,namhaid,ворог
572,Gewalt::N,foréigean,насильство
573,Kampf::N,troid,бій
574,Kampf::N,troid,боротьба
575,Bogen[Waffe]::N,bogha,лук
576,Pfeil::N,saighead,стріла
577,Gewehr::N,gunna,рушниця
578,Gewehr::N,gunna,гвинтівка
579,Fehler::N,botún,помилка
580,Fehler::N,meancóg,помилка
581,Lüge::N,bréag,брехня
582,Lüge::N,éitheach,брехня
583,Schaden::N,dochar,шкода
584,Schaden::N,dochar,збиток
585,Schaden::N,damáiste,шкода
586,Schaden::N,damáiste,збиток
587,Unglück::N,drochrath,нещастя
588,Schuld::N,locht,провина
589,Schuld::N,milleán,провина
590,Alter::N,aois,вік
591,Alter::N,aois,літа
592,Schluss::N,deireadh,кінець
593,Zeit::N,am,час
594,Zeit::N,aimsir,час
595,Tag::N,lá,день
596,Morgen::N,maidin,ранок
597,Mittag::N,nóin,південь
598,Abend::N,tráthnóna,вечір
599,Nacht::N,oíche,ніч
600,Woche::N,seachtain,тиждень
601,Monat::N,mí,місяць
602,Jahr::N,bliain,рік
603,Frühling::N,earrach,весна
604,Sommer::N,samhradh,літо
605,Herbst::N,fómhar,осінь
606,Winter::N,geimhreadh,зима
607,Januar::N,Eanáir,січень
608,Februar::N,Feabhra,лютий
609,März::N,Márta,березень
610,April::N,Aibreán,квітень
611,Mai::N,Bealtaine,травень
612,Juni::N,Meitheamh,червень
613,Juli::N,Iúil,липень
614,August::N,Lúnasa,серпень
615,September::N,Meán Fómhair,вересень
616,Oktober::N,Deireadh Fómhair,жовтень
617,November::N,Samhain,листопад
618,November::N,Mí na Samhna,листопад
619,Dezember::N,Mí na Nollag,грудень
620,Montag::N,Luan,понеділок
621,Montag::N,Dé Luain,понеділок
622,Dienstag::N,Máirt,вівторок
623,Dienstag::N,Dé Máirt,вівторок
624,Mittwoch::N,Céadaoin,середа
625,Mittwoch::N,Dé Céadaoin,середа
626,Donnerstag::N,Déardaoin,четвер
627,Freitag::N,Aoine,п’ятниця
628,Freitag::N,Dé hAoine,п’ятниця
629,Samstag::N,Satharn,субота
630,Samstag::N,Dé Sathairn,субота
631,Sonntag::N,Domhnach,неділя
632,Sonntag::N,Dé Domhnaigh,неділя
633,groß::A,mór,великий
634,klein::A,beag,малий
635,klein::A,beag,маленький
636,lang::A,fada,довгий
637,kurz::A,gearr,короткий
638,kurz::A,gairid,короткий
639,breit::A,leathan,широкий
640,breit::A,fairsing,широкий
641,schmal::A,cúng,вузький
642,dicht::A,dlúth,густий
643,dick[Gegenstand]::A,tiubh,товстий
644,dünn::A,caol,тонкий
645,dünn::A,tanaí,тонкий
646,fein::A,scáinte,дрібний
647,fein::A,fíneálta,дрібний
648,fest::A,daingean,міцний
649,flach::A,cothrom,плоский
650,glatt::A,mín,рівний
651,glatt::A,mín,гладенький
652,glatt::A,sleamhain,рівний
653,glatt::A,sleamhain,гладенький
654,hart::A,crua,твердий
655,weich::A,bog,м’який
656,rund::A,cruinn,круглий
657,spitz::A,gobach,гострокінцевий
658,spitz::A,biorach,гострокінцевий
659,scharf::A,géar,гострий
660,scharf::A,faobhrach,гострий
661,stumpf::A,maol,тупий
662,schwer::A,trom,важкий
663,schön::A,álainn,вродливий
664,heiß::A,te,жаркий
665,heiß::A,te,гарячий
666,warm::A,te,теплий
667,kalt::A,fuar,холодний
668,kühl::A,fionnuar,прохолодний
669,frisch::A,úr,свіжий
670,frisch::A,friseáilte,свіжий
671,feucht::A,tais,вогкий
672,nass::A,fliuch,мокрий
673,trocken::A,tirim,сухий
674,voll::A,lán,повний
675,leer::A,folamh,пустий
676,offen::A,oscailte,відкритий
677,geschlossen::A,dúnta,закритий
678,geschlossen::A,dúnta,зачинений
679,geschlossen::A,druidte,закритий
680,geschlossen::A,druidte,зачинений
681,sauber::A,glan,чистий
682,sauber::A,glan,охайний
683,schmutzig::A,salach,брудний
684,roh::A,amh,сирий
685,reif::A,aibí,зрілий
686,lecker::A,blasta,смачний
687,süß::A,milis,солодкий
688,bitter::A,searbh,гіркий
689,sauer::A,géar,кислий
690,sauer::A,searbh,кислий
691,hell::A,geal,світлий
692,hell::A,soilseach,світлий
693,dunkel::A,dorcha,темний
694,schwarz::A,dubh,чорний
695,weiß::A,bán,сивий
696,rot::A,dearg,червоний
697,gelb::A,buí,жовтий
698,blau::A,gorm,синій
699,grün::A,glas,зелений
700,grün::A,uaine,зелений
701,grau::A,liath,сірий
702,bunt::A,ildathach,барвистий
703,bunt::A,dathannach,барвистий
704,billig::A,saor,дешевий
705,teuer::A,daor,дорогий
706,teuer::A,costasach,дорогий
707,wertvoll::A,luachmhar,цінний
708,blind::A,dall,сліпий
709,blind::A,caoch,сліпий
710,taub::A,bodhar,глухий
711,kräftig::A,cumhachtach,могутній
712,stark::A,tréan,сильний
713,stark::A,láidir,сильний
714,schwach::A,lag,слабкий
715,schwach::A,fann,слабкий
716,fett::A,ramhar,жирний
717,fett::A,ramhar,товстий
718,schlank::A,caol,тонкий
719,schlank::A,caol,стрункий
720,schlank::A,seang,тонкий
721,schlank::A,seang,стрункий
722,hübsch::A,álainn,чарівний
723,hübsch::A,dathúil,чарівний
724,böse::A,olc,злий
725,böse::A,olc,лихий
726,dumm::A,dúr,дурний
727,dumm::A,amaideach,дурний
728,faul::A,falsa,ледачий
729,faul::A,leisciúil,ледачий
730,fleißig::A,dícheallach,старанний
731,geizig::A,barainneach,скупий
732,geizig::A,sprionlaithe,скупий
733,klug::A,cliste,мудрий
734,klug::A,cliste,розумний
735,geschickt::A,oilte,умілий
736,geschickt::A,ealaíonta,умілий
737,lieb::A,dil,милий
738,lieb::A,dílis,милий
739,lustig::A,aerach,веселий
740,lustig::A,meidhreach,веселий
741,sanft::A,bog,лагідний
742,sanft::A,séimh,лагідний
743,hungrig::A,ocrach,голодний
744,krank::A,tinn,слабий
745,krank::A,breoite,слабий
746,nackt::A,nocht,голий
747,traurig::A,brónach,сумний
748,lebendig::A,beo,живий
749,gut::A,maith,добрий
750,schlecht::A,dona,поганий
751,schlecht::A,dona,кепський
752,schlecht::A,droch-,поганий
753,schlecht::A,droch-,кепський
754,richtig::A,ceart,правильний
755,schlimm::A,gránna,бридкий
756,schlimm::A,tubaisteach,бридкий
757,wahr::A,fíor,справжній
758,alt::A,sean,старий
759,neu::A,úr,новий
760,neu::A,nua,новий
761,ehemalig::A,iar-,колишній
762,ehemalig::A,sean-,колишній
763,alt[Lebewesen]::A,sean,старий
764,alt[Lebewesen]::A,aosta,старий
765,jung::A,óg,молодий
766,arm::A,bocht,бідний
767,reich::A,saibhir,багатий
768,reich::A,rachmasach,багатий
769,bekannt::A,atá eolas air,знайомий
770,berühmt::A,cailiúil,славетний
771,berühmt::A,clúiteach,славетний
772,fremd::A,coimhthíoch,чужий
773,verschieden::A,éagsúil,різний
774,verschieden::A,difriúil,різний
775,nah::A,gar,близький
776,nah::A,deas,близький
777,fern::A,i bhfad uainn,далекий
778,fern::A,i bhfad i gcéin,далекий
779,linker::A,clé,лівий
780,rechter::A,deas,правий
781,anderer::A,eile,інакший
782,erster::A,céad,перший
783,zweiter::A,dóú,другий
784,zweiter::A,dara,другий
785,dritter::A,tríú,третій
786,dritter::A,treas,третій
787,letzter::A,déanach,останній
788,letzter::A,deireanach,останній
789,allein::ADV,i d'aonar,сам
790,allein::ADV,i d'aonar,один
791,auf einmal::ADV,ag an am céanna,відразу
792,zusammen::ADV,le chéile,разом
793,zusammen::ADV,le chéile,спільно
794,zusammen::ADV,in eineacht,разом
795,zusammen::ADV,in eineacht,спільно
796,lange::ADV,fada,довго
797,plötzlich::ADV,go tobann,раптом
798,plötzlich::ADV,i dtobainne,раптом
799,sofort::ADV,ar an toirt,зараз
800,sofort::ADV,ar an bpointe,зараз
801,später::ADV,níos déanaí,пізніше
802,jetzt::ADV,anois,тепер
803,heute::ADV,inniu,сьогодні
804,morgen::ADV,amárach,завтра
805,bald::ADV,go luath,незабаром
806,bald::ADV,gan mhoill,незабаром
807,dann::ADV,ansin,потім
808,gestern::ADV,inné,вчора
809,einst::ADV,tráth,колись
810,einst::ADV,uair amháin,колись
811,damals::ADV,ag an am,тоді
812,damals::ADV,an t-am sin,тоді
813,danach::ADV,ina dhiaidh sin,згодом
814,vorher::ADV,cheana,раніше
815,vorher::ADV,roimhe sin,раніше
816,zuerst::ADV,ar dtús,спершу
817,zuerst::ADV,ar dtús,спочатку
818,einmal::ADV,uair amháin,один раз
819,manchmal::ADV,uaireanta,іноді
820,manchmal::ADV,uaireanta,інколи
821,oft::ADV,minic,часто
822,immer::ADV,i gcónaí,завжди
823,niemals::ADV,riamh,ніколи
824,hier::ADV,anseo,тут
825,hierhin::ADV,anseo,сюди
