,Concept_ID,sv,kn
492,Feind::N,fiende,ಶತ್ರು
493,Gewalt::N,våld,ಹಿಂಸೆ
494,Kampf::N,kamp,ಹೋರಾಟ
495,Kampf::N,strid,ಹೋರಾಟ
496,Bogen[Waffe]::N,båge,ಬಿಲ್ಲು
497,Pfeil::N,pil,ಅಂಬು
498,Gewehr::N,gevär,ಬಂದೂಕು
499,Fehler::N,fel,ತಪ್ಪು
500,Lüge::N,lögn,ಸುಳ್ಳು
501,Schaden::N,skada,ಹಾನಿ
502,Unglück::N,otur,ಅಪಾಯ
503,Unglück::N,olycka,ಅಪಾಯ
504,Schuld::N,skuld,ದೋಷ
505,Alter::N,ålder,ಮುಪ್ಪು
506,Schluss::N,slut,ಮುಕ್ತಾಯ
507,Zeit::N,tid,ಕಾಲ
508,Tag::N,dag,ದಿನ
509,Morgen::N,morgon,ಮುಂಜಾನೆ
510,Mittag::N,middag,ನಡುಹಗಲು
511,Abend::N,kväll,ಸಂಜೆ
512,Nacht::N,natt,ರಾತ್ರಿ
513,Woche::N,vecka,ವಾರ
514,Monat::N,månad,ತಿಂಗಳು
515,Jahr::N,år,ಸಂವತ್ಸರ
516,Frühling::N,vår,ವಸಂತ
517,Sommer::N,sommar,ಬಿಸಿಲುಕಾಲ
518,Herbst::N,höst,ಶರತ್ಕಾಲ
519,Winter::N,vinter,ಚಳಿಗಾಲ
520,Januar::N,januari,ನಾಲ್ಚಳಿ
521,Februar::N,februari,ಅಯ್ಚಳಿ
522,März::N,mars,ಮೊಬ್ಬೇಸಿಗೆ
523,April::N,april,ಇಬ್ಬೇಸಿಗೆ
524,Mai::N,maj,ಮುಬ್ಬೇಸಿಗೆ
525,Juni::N,juni,ಮೊಮ್ಮಳೆ
526,Juli::N,juli,ಇಮ್ಮಳೆ
527,August::N,augusti,ಮುಮ್ಮಳೆ
528,September::N,september,ನಾಲ್ಮಳೆ
529,Oktober::N,oktober,ಮೊಚ್ಚಳಿ
530,November::N,november,ಇಚ್ಚಳಿ
531,Dezember::N,december,ಮುಚ್ಚಳಿ
532,Montag::N,måndag,ಸೋಮುವಾರ
533,Dienstag::N,tisdag,ಮಂಗಳವಾರ
534,Mittwoch::N,onsdag,ಬುಧವಾರ
535,Donnerstag::N,torsdag,ಗುರುವಾರ
536,Freitag::N,fredag,ಶುಕ್ರವಾರ
537,Samstag::N,lördag,ಶನಿವಾರ
538,Sonntag::N,söndag,ಭಾನುವಾರ
539,groß::A,stor,ದೊಡ್ಡ
540,klein::A,liten,ಪುಟ್ಟ
541,lang::A,lång,ದೀರ್ಘ
542,kurz::A,kort,ಚಕ್ಕ
543,breit::A,bred,ಅಗಲವಾದ
544,schmal::A,smal,ಇಕ್ಕಟ್ಟಾದ
545,dicht::A,tät,ದಟ್ಟ
546,dick[Gegenstand]::A,tjock,ದಟ್ಟ
547,dünn::A,tunn,ತೆಳು
548,fein::A,fin,ಕೋಮಲ
549,fest::A,fast,ಘನ
550,flach::A,platt,ಚಪ್ಪಟೆ
551,glatt::A,glatt,ನಯ
552,hart::A,hård,ಗಟ್ಟಿ
553,weich::A,mjuk,ಮೃದುವಾದ
554,rund::A,rund,ವರ್ತುಳ
555,spitz::A,toppig,ಮೊನಚಾದ
556,spitz::A,spetsig,ಮೊನಚಾದ
557,scharf::A,vass,ತೀಕ್ಷ್ಣ
558,scharf::A,skarp,ತೀಕ್ಷ್ಣ
559,stumpf::A,slö,ಮೊಂಡು
560,schwer::A,tung,ಭಾರಿ
561,schön::A,skön,ಸುಂದರ
562,schön::A,vacker,ಸುಂದರ
563,heiß::A,het,ಬಿಸಿ
564,warm::A,varm,ಬಿಸಿ
565,kalt::A,kall,ತಣ್ಣನೆಯ
566,kühl::A,sval,ತಂಪಾದ
567,kühl::A,kylig,ತಂಪಾದ
568,frisch::A,färsk,ನಿರ್ಮಲ
569,feucht::A,fuktig,ಒದ್ದೆಯಾದ
570,nass::A,våt,ಒದ್ದೆಯಾದ
571,trocken::A,torr,ಶುಷ್ಕ
572,voll::A,full,ತುಂಬಿದ
573,leer::A,tom,ಖಾಲಿ
574,offen::A,öppen,ಮುಚ್ಚಲ್ಲದ
575,geschlossen::A,stängd,ಮುಚ್ಚಿದ
576,sauber::A,ren,ಶುದ್ಧ
577,schmutzig::A,snuskig,ಅಶುದ್ಧ
578,roh::A,rå,ಹಸಿ
579,reif::A,mogen,ಹಣ್ಣಾದ
580,lecker::A,läcker,ಗುಚಿಕರ
581,süß::A,söt,ಸಿಹಿ
