,Concept_ID,he,sq
58,Geruch::N,ריח,erë
59,Schlaf::N,שנה,gjumë
60,Traum::N,חלום,ëndërr
61,Himmel::N,שמים,qiell
62,Sonne::N,שמש,diell
63,Mond::N,ירח,hënë
64,Stern::N,כוכב,yll
65,Luft::N,אויר,ajër
66,Wind::N,רוח,erë
67,Welle::N,גל,valë
68,Welle::N,גל,dallgë
69,Wasser::N,מים,ujë
70,Stein::N,אבן,gur
71,Boden::N,קרקע,tokë
72,Boden::N,קרקע,truall
73,Erde::N,אדמה,dhe
74,Erde::N,אדמה,baltë
75,Staub::N,אבק,pluhur
76,Rauch::N,עשן,tym
77,Funke::N,ניצוץ,xixë
78,Funke::N,ניצוץ,shkëndijë
79,Feuer::N,אש,zjarr
80,Licht::N,אור,dritë
81,Schatten::N,צל,hije
82,Wetter::N,מזג אויר,mot
83,Nebel::N,ערפל,mjegull
84,Wolke::N,ענן,re
85,Regen::N,גשם,shi
86,Schnee::N,שלג,borë
87,Eis::N,קרח,akull
88,Frost::N,צנה,ngricë
89,Kälte::N,קר,të ftohtë
90,Hitze::N,חם,vapë
91,Hitze::N,חם,nxehtësi
92,Raureif::N,כפור,cikmë
93,Regenbogen::N,קשת,ylber
94,Donner::N,רעם,gjëmim
95,Donner::N,רעם,bubullimë
96,Strömung::N,זרימה,rrymë
97,Tropfen::N,טפה,pikë
98,Schaum::N,קצף,shkumë
99,Schmutz::N,לכלוך,baltë
100,See::N,אגם,liqen
101,Sumpf::N,בצה,batak
102,Moor::N,בצה,kënetë
103,Wiese::N,מרעה,livadh
104,Wald::N,יער,pyll
105,Hügel::N,תל,kodër
106,Anhöhe::N,מעלה,bregore
107,Berg::N,הר,mal
108,Gipfel::N,פסגה,kulm
109,Höhle::N,מערה,shpellë
110,Höhle::N,מערה,zgafelle
111,Abhang::N,מדרון,shpat
112,Abhang::N,מדרון,tatëpjetë
113,Abhang::N,שפוע,shpat
114,Abhang::N,שפוע,tatëpjetë
115,Quelle::N,מעין,krua
116,Quelle::N,מעין,burim
117,Bach::N,נחל,virua
118,Fluss::N,נהר,lumë
119,Ufer::N,גדה,breg
120,Küste::N,חוף,anëdet
121,Küste::N,חוף,bregdet
122,Festland::N,יבשה,kontinent
123,Meer::N,ים,det
124,Bucht::N,מפרץ,gji deti
125,Insel::N,אי,ishull
126,Insel::N,אי,ujdhesë
127,Blume::N,פרח,lule
128,Gras::N,דשא,bar
129,Wurzel::N,שרש,rrënjë
130,Baum::N,עץ,pemë
131,Stamm::N,גזע,trung
132,Rinde::N,קלפת עץ,lëvore
133,Ast::N,ענף,degë
134,Zweig::N,ענף,bisk
135,Blatt::N,עלה,fletë
136,Blatt::N,עלה,gjethe
137,Birke::N,שדר,mështekën
138,Kiefer[Baum]::N,ארן,pishë
139,Weide[Baum]::N,ערבה,shelg
140,Tanne::N,אשוח,bredh
141,Horn::N,קרן,bri
142,Feder::N,נוצה,pupël
143,Fell::N,פרוה,lëkurë
144,Flügel::N,כנף,krah
145,Flügel::N,כנף,fletë
146,Klaue::N,טלף,kthetër
147,Kralle::N,טפר,thua
148,Kralle::N,טפר,kthetër
149,Schwanz::N,זנב,bisht
150,Ei::N,ביצה,vezë
151,Nest::N,קן,fole
152,Bau::N,מחלה,strofkë
153,Tier::N,חיה,kafshë
154,Herde::N,עדר,kope
155,Herde::N,עדר,grigjë
156,Kuh::N,פרה,lopë
157,Bulle::N,פר,dem
158,Pferd::N,סוס,kalë
159,Schaf::N,כבשה,dele
160,Schwein::N,חזיר,derr
161,Hund::N,כלב,qen
162,Katze::N,חתול,mace
163,Bär::N,דב,ari
164,Eichhörnchen::N,סנאי,ketër
165,Elch::N,דישון,dre brilopatë
166,Fuchs::N,שועל,dhelpër
167,Hase::N,ארנב,lepur
168,Maus::N,עכבר,mi
169,Wolf::N,זאב,ujk
170,Vogel::N,צפור,zog
171,Vogel::N,צפור,shpend
172,Schwarm::N,נחיל,luzmë
173,Schwarm::N,להקה,luzmë
174,Huhn::N,תרנגלת,pulë
175,Hahn::N,תרנגול,gjel
176,Hahn::N,תרנגול,këndes
177,Gans::N,אוז,patë
178,Adler::N,עיט,shqiponjë
179,Ente::N,ברוז,rosë
180,Eule::N,ינשוף,buf
181,Kranich::N,עגור,lejlek
182,Kranich::N,עגור,kurrillë
183,Kranich::N,כרוכיה,lejlek
184,Kranich::N,כרוכיה,kurrillë
185,Krähe::N,עורב,sorrë
186,Kuckuck::N,קוקיה,qyqe
187,Schwan::N,ברבור,mjellmë
188,Fisch::N,דג,peshk
189,Barsch::N,אוקונוס,purtekë
190,Hecht::N,זאב הים,mlysh
191,Schlange[Tier]::N,נחש,gjarpër
192,Wurm::N,תולעת,krimb
193,Spinne::N,עכביש,marimangë
194,Ameise::N,נמלה,thnegël
195,Ameise::N,נמלה,milingonë
196,Laus::N,כנה,morr
197,Mücke::N,יתוש,kunup
198,Mücke::N,יתוש,mushkonjë
199,Fliege::N,זבוב,mizë
200,Schmetterling::N,פרפר,flutur
201,Beere::N,ענבה,frutë
202,Beere::N,ענבה,manaferrë
203,Apfel::N,תפוח,mollë
204,Pilz::N,פטריה,kërpudhë
205,Zwiebel::N,בצל,qepë
206,Saat::N,זרעים,farë
207,Korn::N,גרעין,grurë
208,Korn::N,גרעין,kokërr
209,Heu::N,חציר,sanë
210,Schale::N,קלפה,lëkurë
211,Grube::N,בור,gropë
212,Grube::N,שוחה,gropë
213,Falle::N,מלכדת,kurth
214,Falle::N,מלכדת,grackë
215,Schlinge::N,לולאה,nyjë
216,Spur::N,עקבה,gjurmë
217,Asche::N,אפר,hi
218,Dreck::N,זהמה,baltë
219,Eisen::N,ברזל,hekur
220,Gold::N,זהב,ar
221,Gold::N,זהב,flori
222,Silber::N,כסף,argjend
223,Kohle::N,פחם,qymyr
224,Glas::N,זכוכית,qelq
225,Lehm::N,חרסית,argjilë
226,Sand::N,חול,rërë
227,Mensch::N,אדם,njeri
228,Mann::N,איש,burrë
229,Mann::N,איש,mashkull
230,Mann::N,גבר,burrë
231,Mann::N,גבר,mashkull
232,Frau::N,אשה,grua
233,Frau::N,אשה,femër
234,Frau::N,גברת,grua
235,Frau::N,גברת,femër
236,Kind::N,ילד,kalama
237,Junge::N,ילד,djalë
238,Mädchen::N,נערה,gocë
239,Mädchen::N,נערה,vajzë
240,Familie::N,משפחה,familje
241,Großvater::N,סבא,gjysh
242,Großmutter::N,סבתא,gjyshe
243,Eltern::N,הורים,prindër
244,Vater::N,אב,atë
245,Mutter::N,אם,nënë
246,Sohn::N,בן,bir
247,Tochter::N,בת,bijë
248,Bruder::N,אח,vëlla
249,Schwester::N,אחות,motër
250,Onkel::N,דוד,dajë
251,Onkel::N,דוד,xhaxha
252,Tante::N,דודה,teze
253,Tante::N,דודה,hallë
254,Ehemann::N,איש,burrë
255,Ehemann::N,איש,bashkëshort
256,Ehemann::N,בעל,burrë
257,Ehemann::N,בעל,bashkëshort
258,Ehefrau::N,אשה,grua
259,Ehefrau::N,אשה,bashkëshorte
260,Freude::N,שמחה,gaz
261,Freude::N,שמחה,gëzim
262,Gelächter::N,צחוק,qeshje
263,Glück::N,אשר,lumturi
264,Kummer::N,יגון,brengë
265,Kummer::N,יגון,pikëllim
266,Kummer::N,עגמה,brengë
267,Kummer::N,עגמה,pikëllim
268,Wunsch::N,אחול,dëshirë
269,Wunsch::N,משאלה,dëshirë
270,Lust::N,חשק,epsh
271,Lust::N,חשק,dashuri
272,Lust::N,תשוקה,epsh
273,Lust::N,תשוקה,dashuri
274,Geist::N,רוח,frymë
275,Geist::N,רוח,shpirt
276,Gedanke::N,מחשבה,ide
277,Gedanke::N,מחשבה,mendim
278,Gedächtnis::N,זכרון,kujtesë
279,Verstand::N,שכל,mend
280,Sinn::N,מובן,kuptim
281,Sinn::N,משמעות,kuptim
282,Grund::N,סבה,arsye
283,Wahrheit::N,אמת,vërtetë
284,Gespräch::N,דיון,bisedim
285,Märchen::N,אגדה,përrallë
286,Erzählung::N,ספור,tregim
287,Nachricht::N,ידיעה,lajm
288,Neuigkeit::N,חדשה,risi
289,Name::N,שם,emër
290,Rätsel::N,תעלומה,gjëzë
291,Rätsel::N,תעלומה,gjëegjëzë
292,Rede::N,נאום,fjalim
293,Sprache::N,לשון,gjuhë
294,Stimme::N,קול,zë
295,Wort::N,מלה,fjalë
296,Zeichen::N,סימן,shenjë
297,Ruf::N,קריאה,thirrmë
298,Lärm::N,רעש,zhurmë
299,Laut::N,הגה,tingull
300,Ton::N,צליל,ton
301,Lied::N,שיר,këngë
302,Ruhe::N,שלוה,qetësi
303,Leute::N,אנשים,botë
304,Leute::N,אנשים,njerëz
305,Volk::N,עם,popull
306,Arbeit::N,עבודה,punë
307,Gast::N,אורח,mik
308,Gast::N,אורח,mysafir
309,Geschenk::N,מתנה,dhuratë
310,Geschenk::N,מתנה,peshqesh
311,Spiel::N,משחק,lojë
312,Gesellschaft::N,חברה,shoqëri
313,Hilfe::N,עזרה,ndihmë
314,Freund::N,חבר,mik
315,Freund::N,ידיד,mik
316,Kamerad::N,רע,shok
317,Angelegenheit::N,ענין,punë
318,Anzahl::N,מספר,sasi
319,Art::N,סוג,lloj
320,Stück::N,חתיכה,copë
321,Teil::N,פרק,pjesë
322,Hälfte::N,חצי,gjysmë
323,Kreis::N,מעגל,qark
324,Kreis::N,מעגל,rreth
325,Kreuz::N,צלב,kryq
326,Linie::N,קו,vijë
327,Strich::N,קו קצר,vizë
328,Abstand::N,מרחק,distancë
329,Entfernung::N,מרחק,largim
330,Gegend::N,נוף,vise
331,Gegend::N,נוף,krahinë
332,Platz::N,שטח,shesh
333,Ort::N,אתר,vend
334,Ort::N,מקום,vend
335,Seite::N,צד,anë
336,Mitte::N,אמצע,mes
337,Gegenstand::N,אוביקט,send
338,Sache::N,דבר,gjë
339,Sache::N,דבר,send
340,Rand::N,פרור,qoshe
341,Kante::N,קצה,teh
342,Ecke::N,פנה,qoshe
343,Spitze::N,קצה,majë
344,Ende::N,סוף,skaj
345,Ende::N,סוף,bisht
346,Loch::N,חר,vrimë
347,Winkel::N,פנה,kënd
348,Muster::N,תבנית,mostër
349,Größe::N,גדל,madhësi
350,Länge::N,ארך,gjatësi
351,Höhe::N,קומה,lartësi
352,Höhe::N,גבה,lartësi
353,Gewicht::N,משקל,peshë
354,Menge::N,כמות,sasi
355,Haufen::N,ערמה,grumbull
356,Reihe::N,רצף,radhë
357,Reihe::N,רצף,rresht
358,Boot::N,סירה,barkë
359,Boot::N,סירה,lundër
360,Ruder::N,משוט,rrem
361,Schlitten::N,מזחלת,sajë
362,Ski::N,מגלשים,ski
363,Lagerfeuer::N,מדורה,flakadan
364,Lagerfeuer::N,מדורה,zjarr i madh
365,Last::N,משא,barrë
366,Gang::N,הליכה,ecje
367,Schritt::N,צעד,hap
368,Norden::N,צפון,veri
369,Süden::N,דרום,jug
370,Westen::N,מערב,perëndim
371,Osten::N,מזרח,lindje
372,Holz::N,עץ,dru
373,Brett::N,קרש,dërrasë
374,Platte::N,לוח,pllakë
375,Stütze::N,משען,shtyllë
376,Stütze::N,משען,mbështetesë
377,Stange::N,מוט,shufër
378,Stock::N,מקל,dajak
379,Stab::N,מוט,shkop
380,Rohr::N,צנור,tub
381,Haus::N,בית,shtëpi
382,Heim::N,בית,konak
383,Heim::N,בית,shtëpi
384,Ofen::N,תנור,sobë
385,Ofen::N,תנור,stufë
386,Fußboden::N,רצפה,dysheme
387,Tisch::N,שלחן,tryezë
388,Stuhl::N,כסא,karrige
389,Wiege::N,ערש,djep
390,Bett::N,מטה,shtrat
391,Regal::N,מדף,raft
392,Kiste::N,תבה,kuti
393,Kiste::N,ארגז,kuti
394,Fenster::N,חלון,dritare
395,Tür::N,דלת,derë
396,Tor::N,שער,portë
397,Zaun::N,גדר,gardh
398,Dach::N,גג,çati
399,Leiter::N,סלם,shkallë
400,Besen::N,מטאטא,fshesë
401,Spaten::N,את,lopatë
402,Schaufel::N,את,qyrek
403,Gabel::N,מזלג,pirun
404,Löffel::N,כף,lugë
405,Messer::N,סכין,thikë
406,Nagel::N,מסמר,gozhdë
407,Netz::N,רשת,rrjetë
408,Haken::N,וו,grep
409,Haken::N,וו,grremç
410,Haken::N,קרס,grep
411,Haken::N,קרס,grremç
412,Griff::N,ידית,dorak
413,Griff::N,ידית,dorezë
414,Schloss::N,מנעול,bravë
415,Bild::N,תמונה,tablo
416,Bild::N,תמונה,pikturë
417,Figur::N,פסל,figurë
418,Puppe::N,בבה,kukull
419,Beutel::N,שק,qese
420,Beutel::N,שק,trastë
421,Bündel::N,צרור,deng
422,Tasche::N,שקית,çantë
423,Eimer::N,דלי,kovë
424,Deckel::N,מכסה,kapak
425,Deckel::N,מכסה,mbulesë
426,Geschirr::N,כלים,enë
427,Sack::N,שק,thes
428,Sack::N,שק,torbë
429,Tasse::N,ספל,filxhan
430,Topf::N,סיר,kusi
431,Topf::N,סיר,tenxhere
432,Kessel::N,קנקן,kazan
433,Essen::N,אכל,ngrënie
434,Essen::N,ארוחה,ngrënie
435,Nahrung::N,הזנה,ushqim
436,Nahrung::N,תזונה,ushqim
437,Speise::N,מאכל,gatesë
438,Speise::N,ארוחה,gatesë
439,Fleisch::N,בשר,mish
440,Getreide::N,דגן,drithë
441,Brei::N,מחית,qull
442,Brot::N,לחם,bukë
443,Scheibe::N,עגול,fetë
444,Scheibe::N,פרוסה,fetë
445,Fett::N,שמן,lyrë
446,Fett::N,שמן,yndyrë
447,Butter::N,חמאה,gjalpë
448,Öl::N,שמן,vaj
449,Salz::N,מלח,kripë
450,Suppe::N,מרק,supë
451,Suppe::N,מרק,çorbë
452,Honig::N,דבש,mjaltë
453,Milch::N,חלב,qumësht
454,Tee::N,תה,çaj
455,Leder::N,עור,lëkurë
456,Wolle::N,צמר,lesh
457,Stoff::N,בד,pëlhurë
458,Stoff::N,אריג,pëlhurë
459,Nadel::N,מחט,gjilpërë
460,Faden::N,חוט,pe
461,Faden::N,חוט,fije
462,Knopf::N,כפתור,kopsë
463,Knoten::N,קשר,komb
464,Farbe::N,צבע,bojë
465,Kleidung::N,בגדים,veshje
466,Hemd::N,חלצה,këmishë
467,Kragen::N,צוארון,jakë
468,Ärmel::N,שרוול,mëngë
469,Hose::N,מכנסים,brekë
470,Gürtel::N,חגורה,rrip
471,Mütze::N,כובע,kësulë
472,Schuh::N,נעל,këpucë
473,Stiefel::N,מגף,çizme
474,Ring::N,טבעת,unazë
475,Band::N,סרט,shirit
476,Kamm::N,מסרק,krehër
477,Spiegel::N,מראה,pasqyrë
478,Riemen::N,רצועה,rrip
479,Schnur::N,חבל,litar
480,Schnur::N,חבל,cikomë
481,Leine::N,מושכות,rrip
482,Decke::N,שמיכה,batanije
483,Kissen::N,כרית,jastëk
484,Tuch::N,צעיף,shami
485,Handtuch::N,מגבת,peshqir
486,Kraft::N,כוח,forcë
487,Stärke::N,און,koll
488,Gesundheit::N,בריאות,shëndet
489,Krankheit::N,מחלה,sëmundje
490,Schmerz::N,כאב,dhimbje
491,Wunde::N,פציעה,plagë
492,Fieber::N,חם,ethe
493,Arznei::N,תרופה,ilaç
494,Brücke::N,גשר,urë
495,Brunnen::N,באר,pus
496,Weide::N,אחו,kullotë
497,Weide::N,מרעה,kullotë
498,Pfad::N,שביל,ravë
499,Pfad::N,שביל,shteg
500,Pfad::N,מדרכה,ravë
501,Pfad::N,מדרכה,shteg
502,Weg::N,דרך,udhë
503,Weg::N,דרך,shteg
504,Straße::N,כביש,rrugë
505,Dorf::N,כפר,fshat
506,Dorf::N,כפר,katund
507,Stadt::N,עיר,qytet
508,Brief::N,מכתב,letër
509,Buch::N,ספר,libër
510,Buchstabe::N,אות,shkronjë
511,Zeitung::N,עתון,gazetë
512,Leben::N,חיים,jetë
513,Tod::N,מות,mortje
514,Grab::N,קבר,varr
515,Kirche::N,כנסיה,kishë
516,Sünde::N,חטא,mëkat
517,Sünde::N,חטא,gjynah
518,Gott::N,אל,hy
519,Gott::N,אל,zot
520,Arbeiter::N,פועל,punëtor
521,Chef::N,ראש,shef
522,Chef::N,ראש,drejtues
523,Chef::N,מנהל,shef
524,Chef::N,מנהל,drejtues
525,Meister::N,ממחה,mjeshtër
526,Arzt::N,רופא,mjek
527,Arzt::N,רופא,doktor
528,Lehrer::N,מורה,mësues
529,Lehrer::N,מורה,arsimtar
530,Geld::N,כסף,para
531,Geld::N,כסף,holla
532,Geschäft::N,עסקה,ujdi
533,Geschäft::N,עסקה,biznes
534,Laden::N,חנות,dyqan
535,Preis::N,מחיר,çmim
536,Ware::N,סחורה,mall
537,Nutzen::N,תועלת,dobi
538,Nutzen::N,תועלת,leverdi
539,Reichtum::N,עשר,kamje
540,Reichtum::N,עשר,pasuri
541,Welt::N,עולם,botë
542,Land::N,ארץ,vend
543,Staat::N,מדינה,shtet
544,König::N,מלך,mbret
545,Macht::N,כוח,fuqi
546,Macht::N,כוח,pushtet
547,Grenze::N,גבול,kufi
548,Krieg::N,מלחמה,luftë
549,Feind::N,אויב,armik
550,Gewalt::N,אלימות,dhunë
551,Kampf::N,קרב,luftim
552,Kampf::N,לחימה,luftim
553,Bogen[Waffe]::N,קשת,hark
554,Pfeil::N,חץ,shigjetë
555,Gewehr::N,רובה,pushkë
556,Fehler::N,טעות,gafë
557,Fehler::N,טעות,gabim
558,Lüge::N,שקר,gënjeshtër
559,Schaden::N,נזק,dëm
560,Schaden::N,נזק,zarar
561,Unglück::N,מזל רע,fatkeqësi
562,Schuld::N,אשמה,faj
563,Alter::N,גיל,moshë
564,Schluss::N,סיום,fund
565,Zeit::N,זמן,kohë
566,Tag::N,יום,ditë
567,Morgen::N,בקר,mëngjes
568,Mittag::N,צהרים,mesditë
569,Abend::N,ערב,mbrëmje
570,Nacht::N,לילה,natë
571,Woche::N,שבוע,javë
572,Monat::N,חדש,muaj
573,Jahr::N,שנה,vit
574,Frühling::N,אביב,pranverë
575,Sommer::N,קיץ,verë
576,Herbst::N,סתו,vjeshtë
577,Winter::N,חרף,dimër
578,Januar::N,ינואר,janar
579,Februar::N,פברואר,shkurt
580,März::N,מרץ,mars
581,April::N,אפריל,prill
582,Mai::N,מאי,maj
583,Juni::N,יוני,qershor
584,Juli::N,יולי,korrik
585,August::N,אוגוסט,gusht
586,September::N,ספטמבר,shtator
587,Oktober::N,אוקטובר,tetor
588,November::N,נובמבר,nëntor
589,Dezember::N,דצמבר,dhjetor
590,Montag::N,יום שני,hënë
591,Dienstag::N,יום שלישי,martë
592,Mittwoch::N,יום רביעי,mërkurë
593,Donnerstag::N,יום חמישי,enjte
594,Freitag::N,יום ששי,premte
595,Samstag::N,יום שבת,shtunë
596,Sonntag::N,יום ראשון,diel
597,groß::A,גדול,madh
598,klein::A,קטן,vogël
599,lang::A,ארך,gjatë
600,kurz::A,קצר,shkurtër
601,breit::A,רחב,gjerë
602,schmal::A,צר,ngushtë
603,dicht::A,צפוף,dendur
604,dick[Gegenstand]::A,עבה,trashë
605,dünn::A,דק,hollë
606,fein::A,מעדן,imët
607,fest::A,מוצק,fortë
608,flach::A,שטוח,sheshtë
609,glatt::A,חלק,rrafshët
610,hart::A,קשיח,fortë
611,weich::A,רך,butë
612,rund::A,עגל,rrumbullakët
613,spitz::A,חד,majëmprehtë
614,scharf::A,חד,mprehtë
615,stumpf::A,קהה,topitur
616,schwer::A,כבד,rëndë
617,schön::A,יפה,bukur
618,heiß::A,חם,nxehtë
619,warm::A,חם,ngrohtë
620,kalt::A,קר,ftohtë
621,kühl::A,צונן,freskët
622,frisch::A,טרי,pastër
623,feucht::A,לח,lagësht
624,nass::A,רטוב,lagur
625,trocken::A,יבש,thatë
626,voll::A,מלא,plotë
627,leer::A,ריק,bosh
628,leer::A,ריק,zbrazët
629,offen::A,פתוח,hapur
630,geschlossen::A,סגור,mbyllur
631,sauber::A,נקי,dëlirë
632,schmutzig::A,מלכלך,ndyrë
633,roh::A,חי,gjallë
634,reif::A,בשל,arrirë
635,lecker::A,טעים,shijshëm
636,süß::A,מתוק,ëmbël
637,bitter::A,מר,hidhur
638,sauer::A,חמוץ,thartë
639,hell::A,בהיר,me dritë
640,dunkel::A,עמום,errët
641,schwarz::A,שחר,i zi
642,weiß::A,לבן,bardhë
643,rot::A,אדם,kuq
644,gelb::A,צהב,verdhë
645,blau::A,כחל,blu
646,blau::A,כחל,kaltër
647,grün::A,ירק,blertë
648,grün::A,ירק,gjelbër
649,grau::A,אפר,hirtë
650,grau::A,אפר,bojë hiri
651,bunt::A,צבעוני,shumëngjyrëshëm
652,billig::A,זול,lirë
653,teuer::A,יקר,shtrenjtë
654,wertvoll::A,יקר ערך,çmuar
655,wertvoll::A,יקר ערך,vlershëm
656,blind::A,עור,qorr
657,blind::A,עור,verbër
658,taub::A,חרש,shurdhër
659,kräftig::A,חסן,fuqishëm
660,stark::A,חזק,fortë
661,schwach::A,חלש,dobët
662,fett::A,שמן,dhjamur
663,schlank::A,רזה,hollë
664,hübsch::A,יפה תאר,bukur
665,hübsch::A,יפה תאר,hijshëm
666,böse::A,רשע,keq
667,dumm::A,טפש,teveqel
668,faul::A,עצלן,dembel
669,fleißig::A,חרוץ,zellshëm
670,geizig::A,קמצן,kurnac
671,geizig::A,קמצן,dorështrënguar
672,klug::A,נבון,mençur
673,klug::A,פקח,mençur
674,geschickt::A,מימן,aftë
675,lieb::A,יקר,dashur
676,lieb::A,אהוב,dashur
677,lustig::A,עליז,gëzuar
678,sanft::A,עדין,butë
679,hungrig::A,רעב,uritur
680,krank::A,חולה,sëmurë
681,nackt::A,ערום,lakuriq
682,nackt::A,ערום,zhveshur
683,traurig::A,עצוב,trishtuar
684,lebendig::A,חי,gjallë
685,gut::A,טוב,mirë
686,schlecht::A,גרוע,keq
687,richtig::A,נכון,drejtë
688,schlimm::A,רע,keq
689,wahr::A,אמתי,vërtetë
690,alt::A,ישן,vjetër
691,neu::A,חדש,i ri
692,ehemalig::A,לשעבר,dikurshëm
693,alt[Lebewesen]::A,זקן,plak
694,jung::A,צעיר,i ri
695,arm::A,עני,varfër
696,arm::A,עני,vobektë
697,reich::A,עשיר,pasur
698,bekannt::A,ידוע,njohur
699,berühmt::A,מפרסם,famshëm
700,fremd::A,זר,huaj
701,verschieden::A,שונה,ndryshëm
702,nah::A,קרוב,afërt
703,fern::A,רחוק,largët
704,linker::A,שמאלי,majtë
705,rechter::A,ימין,djathtë
706,anderer::A,אחר,tjetër
707,erster::A,ראשון,parë
708,zweiter::A,שני,dytë
709,dritter::A,שלישי,i tretë
710,letzter::A,אחרון,fundit
711,allein::ADV,לבד,vetëm
712,auf einmal::ADV,בו-זמנית,njëkohësisht
713,zusammen::ADV,ביחד,bashkë
714,zusammen::ADV,ביחד,së bashku
715,lange::ADV,הרבה זמן,për një kohë të gjatë
716,plötzlich::ADV,לפתע,befas
717,plötzlich::ADV,פתאום,befas
718,sofort::ADV,מיד,menjëherë
719,sofort::ADV,מיד,aty për aty
720,später::ADV,לאחר זמן,më vonë
721,später::ADV,יותר מאחר,më vonë
722,jetzt::ADV,עכשיו,tash
723,heute::ADV,היום,sot
724,morgen::ADV,מחר,nesër
725,bald::ADV,בקרוב,shpejt
726,bald::ADV,בקרוב,së shpejti
727,dann::ADV,אחר-כך,pastaj
728,gestern::ADV,אתמול,dje
729,einst::ADV,לפנים,dikur
730,damals::ADV,אז,atëherë
731,danach::ADV,אחר-כך,mandej
732,vorher::ADV,לפני זה,më parë
733,zuerst::ADV,קדם,së pari
734,einmal::ADV,פעם,njëherë
735,manchmal::ADV,לפעמים,nganjëherë
736,oft::ADV,לעתים קרובות,shpesh
737,immer::ADV,תמיד,përherë
738,immer::ADV,תמיד,gjithnjë
739,niemals::ADV,אף פעם,kurrë
740,niemals::ADV,אף פעם,asnjëherë
741,hier::ADV,כאן,këtu
742,hierhin::ADV,פה,knej
743,von hier::ADV,מפה,që këtej
744,von hier::ADV,מפה,prej këtej
745,dort::ADV,שם,aty
746,dort::ADV,שם,atje
747,dorthin::ADV,שם,anej
748,geradeaus::ADV,ישר,drejt
749,vorwärts::ADV,קדימה,mbroth
750,vorwärts::ADV,קדימה,përpara
751,rückwärts::ADV,לאחור,mbrapsht
752,zurück::ADV,בחזרה,prapa
753,zurück::ADV,בחזרה,mbrapsht
754,zurück::ADV,אחורנית,prapa
755,zurück::ADV,אחורנית,mbrapsht
756,unten::ADV,למטה,poshtë
757,hinab::ADV,למטה,përposh
758,oben::ADV,מעל,lart
759,oben::ADV,מעל,sipër
760,oben::ADV,למעלה,lart
761,oben::ADV,למעלה,sipër
762,hinauf::ADV,למעלה,lart
763,hinauf::ADV,למעלה,përpjetë
764,überall::ADV,בכל מקום,kudo
765,nicht::ADV,לא,s'
766,nicht::ADV,לא,nuk
767,ein wenig::ADV,קצת,një tis
768,kaum::ADV,בקשי,mezi
769,sehr::ADV,מאוד,fort
770,sehr::ADV,מאוד,shumë
771,so::ADV,כך,ashtu
772,so::ADV,כך,kështu
773,so::ADV,ככה,ashtu
774,so::ADV,ככה,kështu
775,noch::ADV,עוד,ende
776,noch::ADV,עוד,akoma
777,noch::ADV,עדין,ende
778,noch::ADV,עדין,akoma
779,nur::ADV,רק,vetëm
780,schon::ADV,כבר,tashmë
781,wieder::ADV,שוב,përsëri
782,vergebens::ADV,לריק,kot
783,vergebens::ADV,לשוא,kot
784,vor::PRP,מול,para
785,hinter::PRP,מאחורי,prapa
786,hinter::PRP,מאחורי,mbrapa
787,unter::PRP,מתחת,nën
788,durch::PRP,דרך,nëpër
789,neben::PRP,ליד,pranë
790,neben::PRP,ליד,përbri
791,neben::PRP,על-יד,pranë
792,neben::PRP,על-יד,përbri
793,zwischen::PRP,בין,midis
794,zwischen::PRP,בין,ndërmjet
