,Concept_ID,sv,ca
205,Schwan::N,svan,cigne
206,Fisch::N,fisk,peix
207,Barsch::N,abborre,perca
208,Hecht::N,gädda,lluç
209,Schlange[Tier]::N,orm,serp
210,Wurm::N,mask,cuc
211,Spinne::N,spindel,aranya
212,Ameise::N,myra,formiga
213,Laus::N,lus,poll
214,Mücke::N,mygga,mosquit
215,Fliege::N,fluga,mosca
216,Schmetterling::N,fjäril,papallona
217,Beere::N,bär,baia
218,Apfel::N,äpple,poma
219,Pilz::N,svamp,bolet
220,Zwiebel::N,lök,ceba
221,Saat::N,sådd,sembra
222,Korn::N,korn,gra
223,Heu::N,hö,fenc
224,Schale::N,skal,closca
225,Grube::N,grop,sot
226,Grube::N,grop,clot
227,Falle::N,fälla,trampa
228,Schlinge::N,snara,baga
229,Spur::N,spår,traça
230,Asche::N,aska,cendra
231,Dreck::N,lort,llot
232,Eisen::N,järn,ferro
233,Gold::N,guld,or
234,Silber::N,silver,plata
235,Kohle::N,kol,carbó
236,Glas::N,glas,vidre
237,Lehm::N,lera,fang
238,Lehm::N,lera,argila
239,Sand::N,sand,arena
240,Mensch::N,människa,humà
241,Mensch::N,människa,persona
242,Mann::N,man,home
243,Frau::N,kvinna,dona
244,Kind::N,barn,nen
245,Junge::N,pojke,noi
246,Mädchen::N,flicka,noia
247,Familie::N,familj,família
248,Großvater::N,morfar,avi
249,Großmutter::N,farmor,àvia
250,Eltern::N,föräldrar,pares
251,Vater::N,far,pare
252,Mutter::N,mor,mare
253,Sohn::N,son,fill
254,Tochter::N,dotter,filla
255,Bruder::N,bror,germà
256,Schwester::N,syster,germana
257,Onkel::N,morbror,oncle
258,Tante::N,tant,tia
259,Ehemann::N,äkta man,espòs
260,Ehefrau::N,hustru,muller
261,Freude::N,fröjd,goig
262,Freude::N,fröjd,alegria
263,Freude::N,glädje,goig
264,Freude::N,glädje,alegria
265,Gelächter::N,åtlöje,riallada
266,Glück::N,lycka,felicitat
267,Kummer::N,sorg,pena
268,Wunsch::N,önskan,desig
269,Lust::N,lust,ganes
270,Geist::N,ande,ment
271,Geist::N,ande,esperit
272,Gedanke::N,tanke,pensament
273,Gedächtnis::N,minne,memòria
274,Verstand::N,förstånd,raó
275,Verstand::N,förstånd,seny
276,Sinn::N,mening,solta
277,Sinn::N,mening,sentit
278,Sinn::N,betydelse,solta
279,Sinn::N,betydelse,sentit
280,Grund::N,skäl,raó
281,Grund::N,skäl,causa
282,Grund::N,grund,raó
283,Grund::N,grund,causa
284,Wahrheit::N,sanning,veritāt
285,Gespräch::N,samtal,conversa
286,Märchen::N,saga,conte
287,Erzählung::N,berättelse,narració
288,Nachricht::N,meddelande,missatge
289,Neuigkeit::N,nyhet,novetat
290,Name::N,namn,nom
291,Rätsel::N,gåta,endevinalla
292,Rede::N,tal,discurs
293,Sprache::N,språk,llēngua
294,Stimme::N,stämma,veu
295,Wort::N,ord,mot
296,Wort::N,ord,paraula
297,Zeichen::N,tecken,signe
298,Zeichen::N,tecken,senyal
299,Ruf::N,rop,crida
300,Lärm::N,bråk,sorōll
301,Lärm::N,oväsen,sorōll
302,Laut::N,ljud,so
303,Ton::N,ton,to
304,Lied::N,sång,cançó
305,Ruhe::N,ro,calma
306,Ruhe::N,ro,silenci
307,Ruhe::N,lugn,calma
308,Ruhe::N,lugn,silenci
309,Leute::N,folk,gent
310,Volk::N,folk,poble
311,Arbeit::N,arbete,labor
312,Arbeit::N,arbete,treball
313,Gast::N,gäst,hoste
314,Geschenk::N,gåva,regal
315,Geschenk::N,gåva,obsequi
316,Geschenk::N,present,regal
317,Geschenk::N,present,obsequi
318,Spiel::N,lek,joc
319,Spiel::N,spel,joc
320,Gesellschaft::N,sällskap,companyia
321,Hilfe::N,hjälp,ajut
322,Freund::N,vän,amīc
323,Kamerad::N,kamrat,company
324,Kamerad::N,kamrat,camarada
325,Angelegenheit::N,ärende,afer
326,Angelegenheit::N,ärende,assumpte
327,Angelegenheit::N,angelägenhet,afer
328,Angelegenheit::N,angelägenhet,assumpte
329,Anzahl::N,antal,nombre
330,Anzahl::N,antal,quantitat
331,Art::N,art,tipus
332,Art::N,art,classe
333,Art::N,slag,tipus
334,Art::N,slag,classe
335,Stück::N,stycke,peça
336,Teil::N,del,part
337,Hälfte::N,halva,meitat
338,Kreis::N,krets,cercle
339,Kreis::N,cirkel,cercle
340,Kreuz::N,kors,creu
341,Kreuz::N,kryss,creu
342,Linie::N,linje,línia
343,Strich::N,streck,traç
344,Strich::N,streck,ratlla
345,Abstand::N,avstånd,distància
346,Entfernung::N,avstånd,distància
347,Gegend::N,trakt,regió
348,Gegend::N,trakt,contrada
349,Platz::N,plats,cabuda
350,Ort::N,plats,lloc
351,Ort::N,ställe,lloc
352,Seite::N,sida,banda
353,Seite::N,sida,costāt
354,Mitte::N,mitt,mig
355,Mitte::N,mitt,centre
356,Gegenstand::N,föremål,objecte
357,Sache::N,sak,cosa
358,Rand::N,rand,vora
359,Rand::N,rand,marge
360,Kante::N,kant,caire
361,Kante::N,kant,cantell
362,Ecke::N,vrå,cantonada
363,Ecke::N,hörn,cantonada
364,Spitze::N,spets,punta
365,Ende::N,ända,cap
366,Loch::N,hål,forāt
367,Winkel::N,vinkel,racó
368,Muster::N,mönster,dibuix
369,Muster::N,mönster,disseny
370,Größe::N,storlek,grandària
371,Länge::N,längd,longitud
372,Höhe::N,höjd,altura
373,Höhe::N,höjd,altitud
374,Gewicht::N,tyngd,pes
375,Menge::N,mängd,quantitat
376,Haufen::N,hög,pila
377,Reihe::N,rad,fila
378,Boot::N,båt,bot
379,Boot::N,båt,barca
380,Ruder::N,åra,rem
381,Schlitten::N,släde,trineu
382,Ski::N,skida,esquí
383,Lagerfeuer::N,lägereld,foc de campament
384,Last::N,last,càrrega
385,Last::N,börda,càrrega
386,Gang::N,gång,marxa
387,Schritt::N,steg,pas
388,Norden::N,norr,nord
389,Süden::N,söder,sud
390,Westen::N,väster,oest
391,Westen::N,väster,occident
392,Osten::N,öster,est
393,Osten::N,öster,orient
394,Holz::N,trä,fusta
395,Brett::N,bräda,taula
396,Platte::N,platta,placa
397,Stütze::N,stöd,suport
398,Stütze::N,stötta,suport
399,Stange::N,stång,vara
400,Stock::N,käpp,pal
401,Stock::N,pinne,pal
402,Stab::N,stav,bastó
403,Rohr::N,rör,tub
404,Haus::N,hus,casa
405,Heim::N,hem,llar
406,Ofen::N,ugn,estufa
407,Fußboden::N,golv,terra
408,Tisch::N,bord,taula
409,Stuhl::N,stol,cadira
410,Wiege::N,vagga,bressol
411,Bett::N,säng,llit
412,Regal::N,hylla,prestatgeria
413,Kiste::N,låda,caixa
414,Fenster::N,fönster,finestra
415,Tür::N,dörr,porta
416,Tor::N,port,portal
417,Zaun::N,staket,tanca
418,Zaun::N,stängsel,tanca
419,Dach::N,tak,teulada
420,Leiter::N,stege,escala
421,Leiter::N,stege,escala de mà
422,Besen::N,kvast,escombra
423,Spaten::N,spade,pala
424,Schaufel::N,skovel,pala
425,Schaufel::N,skyffel,pala
426,Gabel::N,gaffel,forquilla
427,Löffel::N,sked,cullera
428,Messer::N,kniv,coltell
429,Nagel::N,spik,clau
430,Netz::N,nät,filat
431,Haken::N,krok,ganxo
432,Griff::N,tag,puny
433,Griff::N,tag,mànec
434,Griff::N,handtag,puny
435,Griff::N,handtag,mànec
436,Schloss::N,las,pany
437,Bild::N,bild,imatge
438,Figur::N,figur,figura
439,Puppe::N,docka,nina
440,Beutel::N,påse,bossa
441,Bündel::N,bunt,feix
442,Bündel::N,bunt,paquet
443,Bündel::N,knippa,feix
444,Bündel::N,knippa,paquet
445,Tasche::N,väska,bossa
446,Eimer::N,hink,galleda
447,Eimer::N,ämbar,galleda
448,Deckel::N,lock,tapa
449,Deckel::N,lock,tapadora
450,Geschirr::N,servis,vaixella
451,Geschirr::N,porslin,vaixella
452,Sack::N,säck,sac
453,Sack::N,säck,saca
454,Tasse::N,kopp,tassa
455,Topf::N,gryta,pot
456,Topf::N,gryta,olla
457,Topf::N,kastrull,pot
458,Topf::N,kastrull,olla
459,Kessel::N,kittel,caldera
460,Essen::N,mål,àpat
461,Essen::N,mål,menjada
462,Nahrung::N,näring,aliment
463,Speise::N,maträtt,plat
464,Fleisch::N,kött,carn
465,Getreide::N,säd,cereals
466,Getreide::N,spannmål,cereals
467,Brei::N,gröt,puré
468,Brot::N,bröd,pa
469,Scheibe::N,skiva,tall
470,Scheibe::N,skiva,llesca
471,Fett::N,fett,greix
472,Butter::N,smör,mantega
473,Öl::N,olja,oli
474,Salz::N,salt,sal
475,Suppe::N,soppa,sopa
476,Honig::N,honung,mel
477,Milch::N,mjölk,llet
478,Tee::N,te,te
479,Leder::N,läder,cuir
480,Wolle::N,ull,llana
481,Wolle::N,ylle,llana
482,Stoff::N,tyg,tela
483,Stoff::N,stoff,tela
484,Nadel::N,nål,agulla
485,Faden::N,tråd,fil
486,Knopf::N,knapp,botó
487,Knoten::N,knut,nus
488,Farbe::N,färg,pintura
489,Kleidung::N,klädsel,roba
490,Kleidung::N,klädsel,vestits
491,Hemd::N,skjorta,camisa
492,Kragen::N,krage,coll
493,Ärmel::N,ärm,màniga
494,Hose::N,byxor,pantalōns
495,Gürtel::N,bälte,cinturó
496,Mütze::N,mössa,gorra
497,Schuh::N,sko,sabata
498,Stiefel::N,stövel,bota
499,Ring::N,ring,anell
500,Band::N,band,veta
501,Band::N,band,cinta
502,Kamm::N,kam,pinta
503,Spiegel::N,spegel,mirāll
504,Riemen::N,rem,corretja
505,Schnur::N,snöre,corda
506,Leine::N,lina,corretja
507,Decke::N,täcke,manta
508,Decke::N,täcke,flassada
509,Kissen::N,dyna,coixí
510,Kissen::N,kudde,coixí
511,Tuch::N,sjal,mocador
512,Handtuch::N,handduk,tovallola
513,Kraft::N,kraft,força
514,Stärke::N,styrka,vigor
515,Gesundheit::N,hälsa,salut
516,Krankheit::N,sjukdom,malaltia
517,Schmerz::N,smärta,dolor
518,Wunde::N,sår,ferida
519,Fieber::N,feber,febre
520,Arznei::N,medicin,medicament
521,Arznei::N,läkemedel,medicament
522,Brücke::N,bro,pont
523,Brunnen::N,brunn,pou
524,Weide::N,bete,pastura
525,Pfad::N,stig,senda
526,Pfad::N,stig,sender
527,Weg::N,väg,camí
528,Straße::N,gata,carretera
529,Dorf::N,by,poble
530,Stadt::N,stad,ciutāt
531,Brief::N,brev,carta
532,Buch::N,bok,llibre
533,Buchstabe::N,bokstav,lletra
534,Zeitung::N,tidning,diāri
535,Leben::N,liv,vida
536,Tod::N,död,mort
537,Grab::N,grav,tomba
538,Kirche::N,kyrka,església
539,Sünde::N,synd,pecat
540,Gott::N,gud,déu
541,Arbeiter::N,arbetare,obrer
542,Chef::N,chef,cap
543,Meister::N,mästare,mestre
544,Arzt::N,läkare,metge
545,Lehrer::N,lärare,mestre
546,Geld::N,pengar,dinērs
547,Geschäft::N,rörelse,negoci
548,Laden::N,affär,tenda
549,Laden::N,affär,botiga
550,Preis::N,pris,preu
551,Ware::N,vara,mercaderia
552,Nutzen::N,gagn,profit
553,Nutzen::N,nytta,profit
554,Reichtum::N,rikedom,riquesa
555,Welt::N,värld,món
556,Land::N,land,país
557,Staat::N,stat,estat
558,König::N,kung,rei
559,König::N,konung,rei
560,Macht::N,makt,poder
561,Macht::N,makt,potència
562,Grenze::N,gräns,frontera
563,Krieg::N,krig,guerra
564,Feind::N,fiende,enemic
565,Gewalt::N,våld,violència
566,Kampf::N,kamp,lluita
567,Kampf::N,strid,lluita
568,Bogen[Waffe]::N,båge,arc
569,Pfeil::N,pil,fletxa
570,Gewehr::N,gevär,fusell
571,Gewehr::N,gevär,escopeta
572,Fehler::N,fel,falta
573,Lüge::N,lögn,mentida
574,Schaden::N,skada,dany
575,Unglück::N,otur,desgràcia
576,Unglück::N,olycka,desgràcia
577,Schuld::N,skuld,culpa
578,Alter::N,ålder,edat
579,Schluss::N,slut,fi
580,Schluss::N,slut,final
581,Zeit::N,tid,temps
582,Tag::N,dag,dia
583,Morgen::N,morgon,matí
584,Mittag::N,middag,migdia
585,Abend::N,kväll,vespre
586,Nacht::N,natt,nit
587,Woche::N,vecka,setmana
588,Monat::N,månad,mes
589,Jahr::N,år,any
590,Frühling::N,vår,primavera
591,Sommer::N,sommar,estīu
592,Herbst::N,höst,tardor
593,Winter::N,vinter,hivērn
594,Januar::N,januari,gener
595,Februar::N,februari,febrer
596,März::N,mars,març
597,April::N,april,abril
598,Mai::N,maj,maig
599,Juni::N,juni,juny
600,Juli::N,juli,juliol
601,August::N,augusti,agost
602,September::N,september,setembre
603,Oktober::N,oktober,octubre
604,November::N,november,novembre
605,Dezember::N,december,desembre
606,Montag::N,måndag,dilluns
607,Dienstag::N,tisdag,dimarts
608,Mittwoch::N,onsdag,dimecres
609,Donnerstag::N,torsdag,dijous
610,Freitag::N,fredag,divendres
611,Samstag::N,lördag,dissabte
612,Sonntag::N,söndag,diumenge
613,groß::A,stor,gros
614,klein::A,liten,petīt
615,lang::A,lång,llarg
616,kurz::A,kort,curt
617,breit::A,bred,ample
618,schmal::A,smal,estret
619,dicht::A,tät,dens
620,dick[Gegenstand]::A,tjock,gruixūt
621,dünn::A,tunn,prim
622,fein::A,fin,fi
623,fest::A,fast,ferm
624,fest::A,fast,sòlid
625,flach::A,platt,pla
626,glatt::A,glatt,llis
627,hart::A,hård,dur
628,weich::A,mjuk,tou
629,rund::A,rund,rodó
630,spitz::A,toppig,punxegut
631,spitz::A,spetsig,punxegut
632,scharf::A,vass,agut
633,scharf::A,skarp,agut
634,stumpf::A,slö,rom
635,stumpf::A,slö,esmussat
636,schwer::A,tung,pesāt
637,schön::A,skön,bonīc
638,schön::A,vacker,bonīc
639,heiß::A,het,calēnt
640,warm::A,varm,càlid
641,kalt::A,kall,fred
642,kühl::A,sval,fresc
643,kühl::A,kylig,fresc
644,frisch::A,färsk,fresc
645,feucht::A,fuktig,humit
646,nass::A,våt,mullat
647,trocken::A,torr,sec
648,voll::A,full,ple
649,leer::A,tom,buit
650,offen::A,öppen,obert
651,geschlossen::A,stängd,tancat
652,sauber::A,ren,net
653,schmutzig::A,snuskig,brut
654,roh::A,rå,cru
655,reif::A,mogen,madur
656,lecker::A,läcker,deliciós
657,süß::A,söt,dolç
658,bitter::A,besk,amarg
659,bitter::A,bitter,amarg
660,sauer::A,sur,agre
661,hell::A,ljus,clar
662,dunkel::A,mörk,fosc
663,schwarz::A,svart,negre
664,weiß::A,vit,blanc
665,rot::A,röd,vermēll
666,gelb::A,gul,groc
667,blau::A,blå,blau
668,grün::A,grön,verd
669,grau::A,grå,gris
670,bunt::A,brokig,multicolor
671,billig::A,billig,barat
672,teuer::A,dyr,car
673,wertvoll::A,värdefull,preciós
674,blind::A,blind,cec
675,taub::A,döv,sord
676,kräftig::A,kraftig,fort
677,kräftig::A,kraftig,vigorós
678,stark::A,stark,fort
679,schwach::A,svag,feble
680,fett::A,fet,gras
681,schlank::A,slank,esvelt
682,hübsch::A,snygg,maco
683,hübsch::A,vacker,maco
684,böse::A,ond,dolent
685,böse::A,elak,dolent
686,dumm::A,dum,ximple
687,dumm::A,dum,estúpid
688,faul::A,lat,gandūl
689,faul::A,lat,mandrós
690,fleißig::A,flitig,diligēnt
691,geizig::A,snål,avar
692,geizig::A,girig,avar
693,klug::A,klok,intel·ligent
694,geschickt::A,händig,hàbil
695,geschickt::A,skicklig,hàbil
696,lieb::A,kär,amat
697,lieb::A,kär,estimat
698,lieb::A,snäll,amat
699,lieb::A,snäll,estimat
700,lustig::A,rolig,alegre
701,lustig::A,lustig,alegre
702,sanft::A,mild,suau
703,hungrig::A,hungrig,afamat
704,krank::A,sjuk,malālt
705,nackt::A,naken,nu
706,traurig::A,ledsen,trist
707,traurig::A,sorgsen,trist
708,lebendig::A,levande,viu
709,gut::A,bra,bo
710,schlecht::A,dålig,dolēnt
711,richtig::A,riktig,just
712,richtig::A,riktig,correcte
713,schlimm::A,illa,greu
714,wahr::A,sann,vertader
715,wahr::A,sann,veritable
716,alt::A,gammal,vell
717,neu::A,ny,nou
718,ehemalig::A,forn,antic
719,ehemalig::A,tidigare,antic
720,alt[Lebewesen]::A,gammal,vell
721,jung::A,ung,jove
722,arm::A,fattig,pobre
723,reich::A,rik,ric
724,bekannt::A,känd,conegut
725,berühmt::A,berömd,famós
726,fremd::A,främmande,estrany
727,verschieden::A,åtskillig,diferent
728,nah::A,nära,pròxim
729,fern::A,fjärran,llunyà
730,fern::A,fjärran,distant
731,linker::A,vänster,esquerre
732,rechter::A,höger,dret
733,anderer::A,annan,altre
734,erster::A,första,primer
735,zweiter::A,andra,segon
736,dritter::A,tredje,tercer
737,letzter::A,sist,últim
738,allein::ADV,allena,sol
739,auf einmal::ADV,på en gång,d'una vegada
740,zusammen::ADV,tillsammans,junt
741,lange::ADV,länge,molt de temps
742,plötzlich::ADV,plötsligt,de cop
743,plötzlich::ADV,plötsligt,de sobte
744,sofort::ADV,strax,de seguida
745,sofort::ADV,genast,de seguida
746,später::ADV,senare,més tard
747,jetzt::ADV,nu,ara
748,heute::ADV,i dag,avūi
749,morgen::ADV,i morgon,demà
750,bald::ADV,snart,aviāt
751,dann::ADV,då,després
752,gestern::ADV,i går,ahir
753,einst::ADV,en gång,anteriorment
754,damals::ADV,då,llavōrs
755,damals::ADV,då,aleshores
756,damals::ADV,den gången,llavōrs
757,damals::ADV,den gången,aleshores
758,danach::ADV,därefter,després
759,vorher::ADV,före,abāns
760,vorher::ADV,förut,abāns
761,zuerst::ADV,först,primer
762,einmal::ADV,en gång,una vegada
763,manchmal::ADV,ibland,de vegades
764,oft::ADV,ofta,sovint
765,immer::ADV,alltid,sempre
766,niemals::ADV,aldrig,no ... mai
767,hier::ADV,här,aquí
768,hierhin::ADV,hit,per aquí
769,von hier::ADV,härifrån,des d'aquí
770,dort::ADV,där,allí
771,dorthin::ADV,dit,hi
772,geradeaus::ADV,rätt fram,tot dret
773,vorwärts::ADV,fram,endavānt
774,vorwärts::ADV,framåt,endavānt
775,rückwärts::ADV,baklänges,endarrera
776,zurück::ADV,tillbaka,darrere
777,unten::ADV,nere,a baix
778,unten::ADV,nedanför,a baix
779,hinab::ADV,ned,cap avall
780,hinab::ADV,nedåt,cap avall
781,oben::ADV,ovan,dalt
782,oben::ADV,ovanpå,dalt
783,hinauf::ADV,upp,cap amunt
784,hinauf::ADV,uppåt,cap amunt
785,überall::ADV,överallt,pertot
786,überall::ADV,överallt,per tot arreu
787,nicht::ADV,ej,no
788,nicht::ADV,inte,no
789,ein wenig::ADV,litet,una mica
790,kaum::ADV,knappt,a penes
791,kaum::ADV,knappast,a penes
792,sehr::ADV,mycket,molt
793,so::ADV,så,així
794,noch::ADV,än,encara
795,noch::ADV,ännu,encara
796,nur::ADV,bara,només
797,nur::ADV,endast,només
798,schon::ADV,redan,ja
799,wieder::ADV,åter,de nou
800,vergebens::ADV,förgäves,en va
801,vor::PRP,utanför,davānt
802,vor::PRP,utanför,enfront de
803,hinter::PRP,bakom,darrera
804,unter::PRP,under,sota
805,durch::PRP,genom,per
806,durch::PRP,igenom,per
807,neben::PRP,bredvid,al costāt de
808,neben::PRP,vid sidan av,al costāt de
809,zwischen::PRP,mellan,entre
810,wegen::PRP,på grund av,a causa de
811,dies::PRN,detta,aquest
812,das::PRN,det,això
813,alles::PRN,allt,tot
814,ich::PRN,jag,jo
815,du::PRN,du,tu
816,er::PRN,han,ell
817,wir::PRN,vi,nosaltres
818,ihr::PRN,ni,vosaltres
819,sie::PRN,de,ells
820,sie::PRN,de,elles
821,was::FPRN,vad,què
822,wer::FPRN,vem,qui
823,wo::FADV,var,on
824,wohin::FADV,vart,cap a on
825,wie::FADV,hur,com
826,warum::FADV,varför,per què
827,wieviel::FNUM,hur mycket,quant
828,eins::NUM,en,u
829,eins::NUM,ett,u
830,zwei::NUM,två,dos
831,drei::NUM,tre,tres
832,vier::NUM,fyra,quatre
833,fünf::NUM,fem,cinc
834,sechs::NUM,sex,sis
835,sieben::NUM,sju,set
836,acht::NUM,åtta,vuit
837,neun::NUM,nio,nou
838,zehn::NUM,tio,deu
839,elf::NUM,elva,onze
840,zwölf::NUM,tolv,dotze
841,zwanzig::NUM,tjugo,vint
842,dreißig::NUM,trettio,trenta
843,vierzig::NUM,fyrtio,quaranta
844,fünfzig::NUM,femtio,cinquanta
845,sechzig::NUM,sextio,seixanta
846,siebzig::NUM,sjuttio,setanta
847,achtzig::NUM,åttio,vuitanta
848,neunzig::NUM,nittio,noranta
849,hundert::NUM,hundra,cent
850,tausend::NUM,tusen,mil
851,und::CNJ,och,i
852,oder::CNJ,eller,o
853,stehen::V,stå,estar de peu
854,sitzen::V,sitta,seure
855,liegen::V,ligga,jeure
856,hängen::V,hänga,penjar
857,werden::V,bli,fer-se
858,werden::V,bli,posar-se
859,passieren::V,ske,succeir
860,passieren::V,hända,succeir
861,beginnen::V,börja,iniciar-se
862,enden::V,ända,acabar-se
863,enden::V,ända,terminar-se
864,wechseln::V,växla,canviar
865,aufgehen[Sonne]::V,gå upp,sortir
866,untergehen[Sonne]::V,gå ned,posar-se
867,scheinen[Sonne]::V,skina,brillar
868,donnern::V,dundra,tronar
869,wehen::V,blåsa,bufar
870,strömen::V,forsa,afluir
