,Concept_ID,sk,no
263,Glück::N,šťastie,lykke
264,Kummer::N,žiaľ,sorg
265,Kummer::N,zármutok,sorg
266,Wunsch::N,prianie,ønske
267,Lust::N,chuť,lyst
268,Geist::N,duch,ånd
269,Gedanke::N,myšlienka,tanke
270,Gedächtnis::N,pamäť,minne
271,Gedächtnis::N,pamäť,hukommelse
272,Verstand::N,rozum,forstand
273,Sinn::N,zmysel,mening
274,Sinn::N,zmysel,betydning
275,Grund::N,dôvod,grunn
276,Grund::N,príčina,grunn
277,Wahrheit::N,pravda,sannhet
278,Gespräch::N,reč,samtale
279,Gespräch::N,rozhovor,samtale
280,Märchen::N,rozprávka,eventyr
281,Erzählung::N,poviedka,fortelling
282,Nachricht::N,správa,melding
283,Neuigkeit::N,novinka,nyhet
284,Name::N,meno,navn
285,Rätsel::N,záhada,gåte
286,Rätsel::N,hádanka,gåte
287,Rede::N,reč,tale
288,Sprache::N,reč,språk
289,Sprache::N,jazyk,språk
290,Stimme::N,hlas,stemme
291,Wort::N,slovo,ord
292,Zeichen::N,znak,tegn
293,Ruf::N,volanie,rop
294,Ruf::N,zavolanie,rop
295,Lärm::N,hluk,bråk
296,Lärm::N,hurhaj,bråk
297,Laut::N,zvuk,lyd
298,Ton::N,tón,tone
299,Ton::N,zvuk,tone
300,Lied::N,pieseň,vise
301,Ruhe::N,pokoj,ro
302,Leute::N,ľudia,folk
303,Volk::N,ľud,folk
304,Volk::N,národ,folk
305,Arbeit::N,práca,arbeid
306,Arbeit::N,robota,arbeid
307,Gast::N,hosť,gjest
308,Geschenk::N,dar,gave
309,Spiel::N,hra,lek
310,Spiel::N,hra,spill
311,Gesellschaft::N,spoločnosť,selskap
312,Hilfe::N,pomoc,hjelp
313,Freund::N,priateľ,venn
314,Kamerad::N,kamarát,kamerat
315,Angelegenheit::N,vec,sak
316,Angelegenheit::N,vec,anliggende
317,Angelegenheit::N,záležitosť,sak
318,Angelegenheit::N,záležitosť,anliggende
319,Anzahl::N,počet,antall
320,Anzahl::N,množstvo,antall
321,Art::N,druh,art
322,Art::N,druh,slag
323,Stück::N,kus,stykke
324,Stück::N,kúsok,stykke
325,Teil::N,časť,del
326,Hälfte::N,polka,halvdel
327,Hälfte::N,polovica,halvdel
328,Kreis::N,kruh,ring
329,Kreis::N,kruh,sirkel
330,Kreuz::N,kríž,kors
331,Kreuz::N,kríž,kryss
332,Linie::N,línia,linje
333,Strich::N,čiara,strek
334,Abstand::N,vzdialenosť,avstand
335,Entfernung::N,vzdialenosť,avstand
336,Gegend::N,kraj,strøk
337,Gegend::N,krajina,strøk
338,Platz::N,miesto,plass
339,Ort::N,miesto,sted
340,Seite::N,bok,side
341,Seite::N,strana,side
342,Mitte::N,stred,midte
343,Gegenstand::N,predmet,gjenstand
344,Sache::N,vec,sak
345,Rand::N,kraj,rand
346,Rand::N,okraj,rand
347,Kante::N,hrana,kant
348,Ecke::N,roh,hjørne
349,Spitze::N,hrot,spiss
350,Spitze::N,špička,spiss
351,Ende::N,koniec,ende
352,Loch::N,diera,hull
353,Winkel::N,kút,vinkel
354,Muster::N,vzor,mønster
355,Muster::N,vzorka,mønster
356,Größe::N,veľkosť,størrelse
357,Länge::N,dĺžka,lengde
358,Höhe::N,výška,høyde
359,Gewicht::N,váha,vekt
360,Menge::N,množstvo,mengde
361,Haufen::N,hŕba,haug
362,Haufen::N,hŕba,bunke
363,Reihe::N,rad,rekke
364,Boot::N,čln,båt
365,Ruder::N,veslo,åre
366,Schlitten::N,sane,slede
367,Schlitten::N,sane,kjelke
368,Ski::N,lyža,ski
369,Lagerfeuer::N,táborák,leirbål
370,Last::N,ťarcha,bør
371,Last::N,ťarcha,last
372,Last::N,bremeno,bør
373,Last::N,bremeno,last
374,Gang::N,chôdza,gang
375,Schritt::N,krok,steg
376,Schritt::N,krok,skritt
377,Norden::N,sever,nord
378,Süden::N,juh,sør
379,Westen::N,západ,vest
380,Osten::N,východ,øst
381,Holz::N,drevo,tre
382,Brett::N,doska,fjøl
383,Brett::N,doska,brett
384,Platte::N,doska,plate
385,Platte::N,platňa,plate
386,Stütze::N,opora,støtte
387,Stange::N,tyč,stang
388,Stock::N,palica,pinne
389,Stab::N,palica,stav
390,Stab::N,palica,kjepp
391,Rohr::N,rúra,rør
392,Haus::N,dom,hus
393,Heim::N,domov,hjem
394,Ofen::N,pec,ovn
395,Ofen::N,kachle,ovn
396,Fußboden::N,dlážka,gulv
397,Fußboden::N,podlaha,gulv
398,Tisch::N,stôl,bord
399,Stuhl::N,stolička,stol
400,Wiege::N,kolíska,vogge
401,Bett::N,lôžko,seng
402,Bett::N,posteľ,seng
403,Regal::N,regál,reol
404,Regal::N,regál,hylle
405,Regal::N,polica,reol
406,Regal::N,polica,hylle
407,Kiste::N,debna,kasse
408,Fenster::N,okno,vindu
409,Fenster::N,oblok,vindu
410,Tür::N,dvere,dør
411,Tor::N,vráta,port
412,Zaun::N,plot,gjerde
413,Zaun::N,ohrada,gjerde
414,Dach::N,krov,tak
415,Dach::N,strecha,tak
416,Leiter::N,rebrík,stige
417,Leiter::N,rebrina,stige
418,Besen::N,metla,kost
419,Spaten::N,rýľ,spade
420,Schaufel::N,lopata,skuffe
421,Gabel::N,vidlička,gaffel
422,Löffel::N,lyžica,skje
423,Messer::N,nôž,kniv
424,Nagel::N,klinec,spiker
425,Netz::N,sieť,nett
426,Haken::N,hák,krok
427,Haken::N,háčik,krok
428,Griff::N,rukoväť,tak
429,Griff::N,rukoväť,håndtak
430,Schloss::N,zámka,lås
431,Bild::N,obraz,bilde
432,Figur::N,figúra,figur
433,Puppe::N,bábka,dukke
434,Puppe::N,bábika,dukke
435,Beutel::N,vrece,pose
436,Beutel::N,vrecko,pose
437,Bündel::N,uzlík,bylt
438,Bündel::N,zväzok,bylt
439,Tasche::N,taška,veske
440,Tasche::N,kabelka,veske
441,Eimer::N,vedro,bøtte
442,Deckel::N,vrchnák,lokk
443,Deckel::N,pokrývka,lokk
444,Geschirr::N,nádoba,kjøkkentøy
445,Sack::N,mech,sekk
446,Sack::N,vrece,sekk
447,Tasse::N,šálka,kopp
448,Topf::N,hrniec,gryte
449,Kessel::N,kotol,kjele
450,Essen::N,jedlo,mål
451,Nahrung::N,strava,mat
452,Nahrung::N,strava,næring
453,Nahrung::N,potrava,mat
454,Nahrung::N,potrava,næring
455,Speise::N,jedlo,matrett
456,Fleisch::N,mäso,kjøtt
457,Getreide::N,obilie,korn
458,Brei::N,kaša,grøt
459,Brot::N,chlieb,brød
460,Scheibe::N,kotúč,skive
461,Scheibe::N,krajec,skive
462,Fett::N,tuk,fett
463,Fett::N,masť,fett
464,Butter::N,maslo,smør
465,Öl::N,olej,olje
466,Salz::N,soľ,salt
467,Suppe::N,polievka,suppe
468,Honig::N,med,honning
469,Milch::N,mlieko,melk
470,Tee::N,čaj,te
471,Leder::N,koža,lær
472,Leder::N,koža,skinn
473,Wolle::N,vlna,ull
474,Stoff::N,súkno,tøy
475,Stoff::N,súkno,stoff
476,Nadel::N,ihla,nål
477,Faden::N,niť,tråd
478,Faden::N,vlákno,tråd
479,Knopf::N,gombík,knapp
480,Knoten::N,uzol,knute
481,Farbe::N,farba,farge
482,Kleidung::N,šaty,påkledning
483,Kleidung::N,šatstvo,påkledning
484,Hemd::N,košeľa,skjorte
485,Kragen::N,golier,krage
486,Ärmel::N,rukáv,erme
487,Hose::N,nohavice,bukse
488,Gürtel::N,pás,belte
489,Gürtel::N,opasok,belte
490,Mütze::N,čiapka,lue
491,Schuh::N,obuv,sko
492,Schuh::N,topánka,sko
493,Stiefel::N,čižma,støvel
494,Ring::N,prsteň,ring
495,Band::N,stuha,band
496,Kamm::N,hrebeň,kam
497,Spiegel::N,zrkadlo,speil
498,Riemen::N,remeň,rem
499,Schnur::N,šnúra,snor
500,Leine::N,vodidlo,line
501,Decke::N,deka,teppe
502,Decke::N,prikrývka,teppe
503,Kissen::N,poduška,pute
504,Tuch::N,šatka,tøy
505,Handtuch::N,uterák,håndkle
506,Kraft::N,moc,kraft
507,Stärke::N,sila,styrke
508,Gesundheit::N,zdravie,helse
509,Gesundheit::N,zdravie,sunnhet
510,Krankheit::N,nemoc,syke
511,Krankheit::N,nemoc,sykdom
512,Krankheit::N,choroba,syke
513,Krankheit::N,choroba,sykdom
514,Schmerz::N,bolesť,smerte
515,Wunde::N,rana,sår
516,Fieber::N,horúčka,feber
517,Arznei::N,liek,medisin
518,Arznei::N,liek,legemiddel
519,Brücke::N,most,bro
520,Brunnen::N,studňa,brønn
521,Weide::N,pastva,beite
522,Pfad::N,chodník,sti
523,Weg::N,cesta,vei
524,Straße::N,hradská,gate
525,Dorf::N,dedina,landsby
526,Stadt::N,mesto,by
527,Brief::N,list,brev
528,Buch::N,kniha,bok
529,Buchstabe::N,litera,bokstav
530,Buchstabe::N,písmeno,bokstav
531,Zeitung::N,noviny,avis
532,Leben::N,život,liv
533,Tod::N,smrť,død
534,Grab::N,hrob,grav
535,Kirche::N,kostol,kirke
536,Sünde::N,hriech,synd
537,Gott::N,boh,gud
538,Arbeiter::N,robotník,arbeider
539,Arbeiter::N,pracnovík,arbeider
540,Chef::N,šéf,sjef
541,Chef::N,riaditeľ,sjef
542,Meister::N,majster,mester
543,Arzt::N,lekár,lege
544,Lehrer::N,učiteľ,lærer
545,Geld::N,peniaze,penger
546,Geschäft::N,obchod,forretning
547,Laden::N,obchod,butikk
548,Preis::N,cena,pris
549,Ware::N,tovar,vare
550,Nutzen::N,osoh,nytte
551,Nutzen::N,úžitok,nytte
552,Reichtum::N,bohatstvo,rikdom
553,Welt::N,svet,verden
554,Land::N,územie,land
555,Land::N,krajina,land
556,Staat::N,štát,stat
557,König::N,kráľ,konge
558,Macht::N,moc,makt
559,Macht::N,mocnosť,makt
560,Grenze::N,hranica,grense
561,Krieg::N,vojna,krig
562,Feind::N,nepriateľ,fiende
563,Gewalt::N,násilie,vold
564,Kampf::N,boj,kamp
565,Bogen[Waffe]::N,luk,bue
566,Pfeil::N,šíp,pil
567,Pfeil::N,strela,pil
568,Gewehr::N,puška,gevær
569,Fehler::N,omyl,feil
570,Fehler::N,chyba,feil
571,Lüge::N,lož,løgn
572,Schaden::N,ujma,skade
573,Schaden::N,škoda,skade
574,Unglück::N,nešťastie,uhell
575,Schuld::N,vina,skyld
576,Schuld::N,previnenie,skyld
577,Alter::N,vek,alder
578,Schluss::N,záver,slutt
579,Schluss::N,koniec,slutt
580,Zeit::N,čas,tid
581,Tag::N,deň,dag
582,Morgen::N,ráno,morgen
583,Mittag::N,poludnie,middag
584,Abend::N,večer,aften
585,Nacht::N,noc,natt
586,Woche::N,týždeň,uke
587,Monat::N,mesiac,måned
588,Jahr::N,rok,år
589,Frühling::N,jar,vår
590,Sommer::N,leto,sommer
591,Herbst::N,jeseň,høst
592,Winter::N,zima,vinter
593,Januar::N,január,januar
594,Februar::N,február,februar
595,März::N,marec,mars
596,April::N,apríl,april
597,Mai::N,máj,mai
598,Juni::N,jún,juni
599,Juli::N,júl,juli
600,August::N,august,august
601,September::N,september,september
602,Oktober::N,október,oktober
603,November::N,november,november
604,Dezember::N,december,desember
605,Montag::N,pondelok,mandag
606,Dienstag::N,utorok,tirsdag
607,Mittwoch::N,streda,onsdag
608,Donnerstag::N,štvrtok,torsdag
609,Freitag::N,piatok,fredag
610,Samstag::N,sobota,lørdag
611,Sonntag::N,nedeľa,søndag
612,groß::A,veľký,stor
613,klein::A,malý,liten
614,lang::A,dlhý,lang
615,kurz::A,krátky,kort
616,breit::A,široký,bred
617,schmal::A,úzky,smal
618,dicht::A,hustý,tett
619,dick[Gegenstand]::A,tlstý,tykk
620,dünn::A,tenký,tynn
621,fein::A,jemný,fin
622,fest::A,pevný,fast
623,flach::A,rovný,flat
624,flach::A,plochý,flat
625,glatt::A,hladký,glatt
626,hart::A,tvrdý,hard
627,weich::A,mäkký,myk
628,weich::A,mäkký,bløt
629,rund::A,guľatý,rund
630,rund::A,okrúhly,rund
631,spitz::A,končitý,spiss
632,scharf::A,ostrý,kvass
633,stumpf::A,tupý,stubb
634,schwer::A,ťažký,tung
635,schön::A,pekný,pen
636,schön::A,pekný,vakker
637,schön::A,krásny,pen
638,schön::A,krásny,vakker
639,heiß::A,horúci,het
640,warm::A,teplý,varm
641,kalt::A,studený,kald
642,kühl::A,chladný,kjølig
643,frisch::A,svieži,fersk
644,feucht::A,vlhký,fuktig
645,feucht::A,zvlhnutý,fuktig
646,nass::A,mokrý,våt
647,trocken::A,suchý,tørr
648,voll::A,plný,full
649,leer::A,prázdny,tom
650,offen::A,otvorený,åpen
651,geschlossen::A,zavretý,lukket
652,sauber::A,čistý,ren
653,schmutzig::A,špinavý,skitten
654,roh::A,surový,rå
655,reif::A,zrelý,moden
656,lecker::A,chutný,lekker
657,süß::A,sladký,søt
658,bitter::A,horký,besk
659,bitter::A,horký,bitter
660,sauer::A,kyslý,sur
661,hell::A,jasný,lys
662,hell::A,svetlý,lys
663,dunkel::A,temný,mørk
664,schwarz::A,čierny,svart
665,weiß::A,biely,hvit
666,rot::A,červený,rød
667,gelb::A,žltý,gul
668,blau::A,modrý,blå
669,blau::A,belasý,blå
670,grün::A,zelený,grønn
671,grau::A,šedý,grå
672,bunt::A,pestrý,broket
673,billig::A,lacný,billig
674,teuer::A,drahý,dyr
675,wertvoll::A,cenný,verdifull
676,blind::A,slepý,blind
677,taub::A,hluchý,døv
678,kräftig::A,silný,kraftig
679,stark::A,silný,sterk
680,schwach::A,slabý,svak
681,schwach::A,bezvládny,svak
682,fett::A,tučný,fet
683,schlank::A,štíhly,slank
684,hübsch::A,šumný,pen
685,hübsch::A,švárny,pen
686,böse::A,zlý,slem
687,dumm::A,hlúpy,dum
688,faul::A,lenivý,lat
689,faul::A,lenivý,doven
690,fleißig::A,snaživý,flittig
691,fleißig::A,usilovný,flittig
692,geizig::A,skupý,gjerrig
693,geizig::A,lakomý,gjerrig
694,klug::A,múdry,klok
695,klug::A,bystrý,klok
696,geschickt::A,zručný,hendig
697,geschickt::A,zručný,skikket
698,geschickt::A,šikovný,hendig
699,geschickt::A,šikovný,skikket
700,lieb::A,milý,kjær
701,lieb::A,milý,snill
702,lustig::A,veselý,morsom
703,sanft::A,nežný,blid
704,hungrig::A,lačný,sulten
705,hungrig::A,hladný,sulten
706,krank::A,chorý,syk
707,krank::A,nemocný,syk
708,nackt::A,nahý,naken
709,traurig::A,smutný,sørgmodig
710,lebendig::A,živý,levende
711,gut::A,dobrý,god
712,schlecht::A,zlý,dårlig
713,richtig::A,správny,riktig
714,schlimm::A,zlý,slem
715,schlimm::A,nepríjemný,slem
716,wahr::A,pravý,sann
717,wahr::A,pravdivý,sann
718,alt::A,starý,gammel
719,neu::A,nový,ny
720,ehemalig::A,bývalý,forhenværende
721,alt[Lebewesen]::A,starý,gammel
722,jung::A,mladý,ung
723,arm::A,chudobný,fattig
724,reich::A,bohatý,rik
725,bekannt::A,známy,kjent
726,berühmt::A,slávny,berømt
727,berühmt::A,povestný,berømt
728,fremd::A,cudzí,fremmed
729,verschieden::A,rôzny,forskjellig
730,verschieden::A,rozličný,forskjellig
731,nah::A,blízky,nær
732,fern::A,ďaleký,fjern
733,linker::A,ľavý,venstre
734,rechter::A,pravý,høyre
735,anderer::A,iný,annen
736,anderer::A,druhý,annen
737,erster::A,prvý,første
738,zweiter::A,druhý,annen
739,dritter::A,tretí,tredje
740,letzter::A,ostatný,sist
741,letzter::A,posledný,sist
742,allein::ADV,sám,alene
743,auf einmal::ADV,zároveň,med ett
744,zusammen::ADV,spolu,sammen
745,zusammen::ADV,spoločne,sammen
746,lange::ADV,dlho,lenge
747,plötzlich::ADV,náhle,plutselig
748,sofort::ADV,hneď,straks
749,sofort::ADV,ihneď,straks
750,später::ADV,neskoršie,senere
751,jetzt::ADV,teraz,nå
752,heute::ADV,dnes,i dag
753,morgen::ADV,zajtra,i morgen
754,bald::ADV,skoro,snart
755,dann::ADV,nato,så
756,dann::ADV,potom,så
757,gestern::ADV,včera,i går
758,einst::ADV,kedysi,engang
759,einst::ADV,niekedy,engang
760,damals::ADV,vtedy,den gang
761,danach::ADV,potom,deretter
762,danach::ADV,podľa toho,deretter
763,vorher::ADV,napred,før
764,vorher::ADV,napred,i forveien
765,vorher::ADV,predtým,før
766,vorher::ADV,predtým,i forveien
767,zuerst::ADV,najprv,først
768,einmal::ADV,raz,en gang
769,einmal::ADV,jedenkrát,en gang
770,manchmal::ADV,občas,somme tider
771,manchmal::ADV,niekedy,somme tider
772,oft::ADV,často,ofte
773,immer::ADV,vždy,alltid
774,immer::ADV,ustavične,alltid
775,niemals::ADV,nikdy,aldri
776,hier::ADV,tu,her
777,hierhin::ADV,sem,hit
778,hierhin::ADV,tade,hit
779,von hier::ADV,odtiaľto,herfra
780,dort::ADV,tam,der
781,dorthin::ADV,ta,dit
782,dorthin::ADV,tam,dit
783,geradeaus::ADV,rovno,rett fram
784,geradeaus::ADV,priamo,rett fram
785,vorwärts::ADV,napred,fram
786,vorwärts::ADV,napred,framover
787,rückwärts::ADV,nazad,baklengs
788,zurück::ADV,späť,tilbake
789,zurück::ADV,naspäť,tilbake
790,unten::ADV,dolu,nede
791,unten::ADV,naspodku,nede
792,hinab::ADV,dolu,ned
793,hinab::ADV,dolu,nedover
794,oben::ADV,hore,oppe
795,oben::ADV,hore,ovenpå
796,oben::ADV,navrchu,oppe
797,oben::ADV,navrchu,ovenpå
798,hinauf::ADV,hore,opp
799,hinauf::ADV,hore,oppover
800,hinauf::ADV,navrch,opp
801,hinauf::ADV,navrch,oppover
802,überall::ADV,všade,overalt
803,nicht::ADV,nie,ikke
804,ein wenig::ADV,trocha,litt
805,kaum::ADV,ledva,neppe
806,sehr::ADV,veľmi,svært
807,so::ADV,tak,så
808,so::ADV,takto,så
809,noch::ADV,ešte,enda
810,nur::ADV,len,bare
811,schon::ADV,už,alt
812,schon::ADV,už,allerede
813,wieder::ADV,zasa,igjen
814,vergebens::ADV,márne,forgjeves
815,vergebens::ADV,nadarmo,forgjeves
816,vor::PRP,pred,foran
817,vor::PRP,pred,utenfor
818,hinter::PRP,za,bak
819,hinter::PRP,za,bakom
820,unter::PRP,pod,under
821,durch::PRP,cez,gjennom
822,durch::PRP,cez,igjennom
823,neben::PRP,pri,ved siden av
824,neben::PRP,vedľa,ved siden av
825,zwischen::PRP,medzi,mellom
826,wegen::PRP,pre,på grunn av
827,wegen::PRP,kvôli,på grunn av
828,dies::PRN,to,dette
829,dies::PRN,táto,dette
830,das::PRN,to,det
831,alles::PRN,všetko,alt
832,ich::PRN,ja,jeg
833,du::PRN,ty,du
834,er::PRN,on,han
835,wir::PRN,my,vi
836,ihr::PRN,vy,dere
837,sie::PRN,oni,de
838,was::FPRN,čo,hva
839,wer::FPRN,kto,hvem
840,wo::FADV,kde,hvor
841,wohin::FADV,kam,hvor ... hen
842,wie::FADV,ako,hvordan
843,warum::FADV,prečo,hvorfor
844,wieviel::FNUM,koľko,hvor mye
845,eins::NUM,jeden,en
846,eins::NUM,jeden,ett
847,zwei::NUM,dva,to
848,drei::NUM,tri,tre
