,Concept_ID,myv,te
57,Träne::N,селведь,కన్నీటిచుక్క
58,Geschmack::N,тансть,రుచి
59,Geruch::N,чине,వాసన
60,Schlaf::N,удома,నిద్ర
61,Traum::N,он,కల
62,Himmel::N,менель,ఆకాశము
63,Sonne::N,чи,సూర్యుడు
64,Mond::N,ков,చంద్రుడు
65,Stern::N,теште,నక్షత్రము
66,Luft::N,кошт,గాలి
67,Wind::N,варма,వీచుచున్నగాలి
68,Welle::N,толкун,అల
69,Wasser::N,ведь,నీరు
70,Stein::N,кев,ఱాయి
71,Boden::N,мода,నేల
72,Erde::N,мастор,మన్ను
73,Staub::N,пуль,దుమ్ము
74,Rauch::N,качамо,పొగ
75,Funke::N,сятко,అగ్నికణము
76,Feuer::N,тол,అగ్ని
77,Licht::N,валдо,కాంతి
78,Schatten::N,сулей,నీడ
79,Schatten::N,сулейкс,నీడ
80,Wetter::N,ушо,వాతావరణ స్థితి
81,Nebel::N,сув,పొగమంచు
82,Wolke::N,пель,మేఘము
83,Regen::N,пиземс,వాన
84,Schnee::N,лов,హిమము
85,Eis::N,эй,మంచుగడ్డ
86,Frost::N,кельме,పేరిన మంచు
87,Kälte::N,якшамо,చలి
88,Hitze::N,пси,వేడిమి
89,Raureif::N,лекш,మంచు
90,Regenbogen::N,пурьгинечирьке,ఇంద్రధనుస్సు
91,Regenbogen::N,пурьгинеёнкс,ఇంద్రధనుస్సు
92,Donner::N,пурьгине,ఉరుము
93,Strömung::N,чудема,ప్రవాహము
94,Strömung::N,чудевкс,ప్రవాహము
95,Tropfen::N,петнявкс,చుక్క
96,Schaum::N,чов,నురుగు
97,Schmutz::N,рудаз,మైల
98,See::N,эрьке,సరస్సు
99,Sumpf::N,чей,చిత్తడినేల
100,Moor::N,чей,చిత్తడినేల
101,Wiese::N,луга,పచ్చిక బయలు
102,Wald::N,вирь,అడవి
103,Hügel::N,губорь,చివ్నకొండ
104,Hügel::N,пандыне,చివ్నకొండ
105,Anhöhe::N,губорь,కొండ
106,Anhöhe::N,пандыне,కొండ
107,Berg::N,пандо,పర్వతము
108,Gipfel::N,пря,శిఖరము
109,Höhle::N,пещера,గుహ
110,Abhang::N,пандочама,ఏటవాలు
111,Quelle::N,ушодкс,మూలము
112,Bach::N,чудикерькс,కాలువ
113,Fluss::N,лей,నది
114,Ufer::N,чире,తీరము
115,Küste::N,лейчире,తీరము
116,Festland::N,мода,భూమి
117,Meer::N,моря,సముద్రము
118,Bucht::N,усия,మరుగు
119,Insel::N,усия,దీవి
120,Blume::N,цеця,పుష్పము
121,Gras::N,тикше,పచ్చగడ్డి
122,Wurzel::N,юр,వేరు
123,Wurzel::N,ундокс,వేరు
124,Baum::N,чувто,చెట్టు
125,Stamm::N,рунго,చెట్టుబోదె
126,Rinde::N,суд,చెట్టుపట్ట
127,Rinde::N,керь,చెట్టుపట్ట
128,Ast::N,морго,కొమ్మ
129,Zweig::N,тарад,చివుకు
130,Blatt::N,лопа,ఆకు
131,Birke::N,килей,తరహా చెట్టు
132,Kiefer[Baum]::N,пиче,దేవదారు చెట్టు
133,Weide[Baum]::N,каль,జాతిచెట్టు
134,Tanne::N,куз,దేవదారుచెట్టు
135,Horn::N,сюро,కొమ్ము
136,Feder::N,толга,ఈక
137,Fell::N,пона,తోలు
138,Flügel::N,сёлмо,ఱెక్క
139,Klaue::N,кенже,వంకరగోరు
140,Kralle::N,кенже,వంకరగోరు
141,Schwanz::N,пуло,తోక
142,Ei::N,ал,గ్రుడ్డు
143,Nest::N,пизэ,పక్షిగూడు
144,Bau::N,варя,గుహ
145,Bau::N,пизе,గుహ
146,Tier::N,ракша,జంతువు
147,Herde::N,стада,మంద
148,Kuh::N,скал,ఆవు
149,Bulle::N,бука,గిత్త
150,Pferd::N,лишме,గుఱ్ఱము
151,Schaf::N,реве,గొఱ్ఱె
152,Schwein::N,туво,పంది
153,Hund::N,пине,కుక్క
154,Hund::N,киска,కుక్క
155,Katze::N,псака,పిల్లి
156,Bär::N,овто,ఎలుగుబంటి
157,Eichhörnchen::N,ур,ఉడుత
158,Elch::N,сярдо,కణంజు
159,Fuchs::N,ривезь,గుంటనక్క
160,Hase::N,нумоло,కుందేలు
161,Maus::N,чеерь,చిట్టెలుక
162,Wolf::N,верьгиз,తోడేలు
163,Vogel::N,нармунь,పక్షి
164,Schwarm::N,полк,గుంపు
165,Schwarm::N,стада,గుంపు
166,Huhn::N,сараз,కోడిపిల్ల
167,Hahn::N,атякш,కోడివుంజు
168,Gans::N,гала,ఆడుబాతు
169,Gans::N,мацей,ఆడుబాతు
170,Adler::N,куцькан,గ్రద్ద
171,Adler::N,тумоатякш,గ్రద్ద
172,Ente::N,яксярго,పాట్టిబాతు
173,Eule::N,корж,గ్రుడ్లగూబ
174,Kranich::N,карго,కొంగ
175,Krähe::N,варака,కాకి
176,Kuckuck::N,куко,కోయల
177,Schwan::N,локсей,హంస
178,Fisch::N,кал,చేప
179,Barsch::N,окунь,ఒకచేఁప
180,Hecht::N,щука,గండుమీను
181,Schlange[Tier]::N,гуй,పాము
182,Wurm::N,сукс,పురుగు
183,Spinne::N,шанжав,సాలె పురుగు
184,Ameise::N,коткудав,చీమ
185,Laus::N,сий,పేను
186,Mücke::N,сеське,చీకటీగ
187,Fliege::N,карво,ఈగ
188,Schmetterling::N,нимиляв,సీతాకోకచిలుక
189,Beere::N,умарь,కాయ
190,Apfel::N,умарь,ఆపిల్ పండు
191,Pilz::N,панго,కుక్కగొడుగు
192,Zwiebel::N,чурька,నీరుల్లి
193,Saat::N,видьметь,విత్తనము
194,Korn::N,сюро,గింజ
195,Heu::N,тикше,ఎండుగడ్డి
196,Schale::N,кедь,పొట్టు
197,Schale::N,ваткавкс,పొట్టు
198,Grube::N,латко,గొయ్యి
199,Falle::N,тувор,బోను
200,Falle::N,кундамка,బోను
201,Schlinge::N,килькш,ఉరి
202,Spur::N,челькс,జాడ
203,Spur::N,пильгеки,జాడ
204,Asche::N,кулов,బూడిద
205,Dreck::N,рудаз,ముఱికి
206,Eisen::N,кшни,ఇనుము
207,Gold::N,сырне,బంగారము
208,Silber::N,сия,వెండి
209,Kohle::N,сэдь,నేలబొగ్గు
210,Kohle::N,уголия,నేలబొగ్గు
211,Glas::N,сулика,గాజు
212,Lehm::N,сёвонь,బంకమన్ను
213,Sand::N,човар,ఇసుక
214,Mensch::N,ломань,నరుడు
215,Mann::N,аля,పురుమడు
216,Mann::N,цёраломань,పురుమడు
217,Frau::N,ава,ఆడుది
218,Kind::N,эйкакш,బిడ్డ
219,Junge::N,цёрыне,బాలుడు
220,Mädchen::N,тейтерне,బాలిక
221,Familie::N,семия,కుటుంబము
222,Großvater::N,покштя,తాత
223,Großmutter::N,баба,అయ్యమ్మ
224,Eltern::N,тетят-ават,తల్లితండ్రులు
225,Vater::N,тетя,తండ్రి
226,Mutter::N,ава,తల్లి
227,Sohn::N,цёра,కొడుకు
228,Tochter::N,тейтерь,కూతురు
229,Bruder::N,леля,పోదరుడు
230,Bruder::N,ялакс,పోదరుడు
231,Schwester::N,сазор,సోదరి
232,Onkel::N,леля,మేనమామ
233,Tante::N,патя,మేనత్త
234,Tante::N,патя,పినతల్లి
235,Ehemann::N,мирде,భర్త
236,Ehefrau::N,ни,భార్య
237,Freude::N,кеняркс,సంతోషము
238,Gelächter::N,ракамо,నవ్వు
239,Gelächter::N,пейдема,నవ్వు
240,Glück::N,уцяска,సంతోషము
241,Kummer::N,рискс,దుఃఖము
242,Kummer::N,мелявкс,దుఃఖము
243,Wunsch::N,мель,కోరిక
244,Wunsch::N,бажамо,కోరిక
245,Lust::N,бажамо,కోరిక
246,Geist::N,ойме,ఆత్మ
247,Gedanke::N,мель,ఆలోచన
248,Gedächtnis::N,мель,జ్ఞాపకము
249,Verstand::N,прев,మనస్సు
250,Sinn::N,толк,అర్థము
251,Sinn::N,смысла,అర్థము
252,Grund::N,тувтал,కారణము
253,Wahrheit::N,видечи,సత్యము
254,Gespräch::N,кортнема,పంభాషణ
255,Märchen::N,ёвкс,అద్భుతకథ
256,Erzählung::N,ёвтнема,కథ
257,Nachricht::N,куля,వార్త
258,Neuigkeit::N,куля,వార్త
259,Name::N,лем,పేరు
260,Rätsel::N,содамоёвкс,చిక్కు
261,Rede::N,кортамо,ఉపన్యాసము
262,Sprache::N,кель,భాష
263,Stimme::N,ваигель,కంరథ్సని
264,Wort::N,вал,మాట
265,Zeichen::N,теште,గుర్తు
266,Ruf::N,тердема,పిలువు
267,Lärm::N,шалнома,సందడి
268,Laut::N,вайгель,ధ్వని
269,Ton::N,гайнема,స్వరము
270,Lied::N,моро,పాట
271,Ruhe::N,оймамо,గాలిలేమి
272,Leute::N,ломанть,జనులు
273,Volk::N,народ,జాతి
274,Arbeit::N,тев,పని
275,Gast::N,инже,అతిధి
276,Geschenk::N,казне,దానము
277,Spiel::N,налксема,ఆట
278,Gesellschaft::N,община,జట్టు
279,Hilfe::N,лездамо,సాహాయ్యము
280,Freund::N,оя,స్నేహితుడు
281,Freund::N,ялга,స్నేహితుడు
282,Kamerad::N,оя,చెలికాడు
283,Kamerad::N,ялга,చెలికాడు
284,Angelegenheit::N,тев,విషయము
285,Anzahl::N,ламоксчи,లెక్క
286,Art::N,вид,జాతి
287,Stück::N,пакш,తునుక
288,Stück::N,пелькс,తునుక
289,Teil::N,часть,భాగము
290,Teil::N,пелькс,భాగము
291,Hälfte::N,пель,సగము
292,Hälfte::N,пелькс,సగము
293,Kreis::N,кирькс,వృత్తము
294,Kreuz::N,крёст,సిలువ
295,Linie::N,кикс,గీత
296,Strich::N,межа,గీత
297,Abstand::N,ютко,సందు
298,Entfernung::N,ютко,దూరము
299,Gegend::N,тарка,విస్తీర్ణము
300,Gegend::N,пертьпелькс,విస్తీర్ణము
301,Platz::N,васолкс,ఎడము
302,Ort::N,тарка,స్థలము
303,Seite::N,ён,ప్రక్క
304,Seite::N,чире,ప్రక్క
305,Mitte::N,куншка,నడిమి
306,Gegenstand::N,предмет,పద్దు
307,Sache::N,тев,వస్తువు
308,Sache::N,веща,వస్తువు
309,Rand::N,пе,అంచు
310,Rand::N,чире,అంచు
311,Kante::N,ирдез,అంచు
312,Ecke::N,ужо,మూల
313,Spitze::N,пряне,మొన
314,Spitze::N,пе,మొన
315,Ende::N,пе,కొన
316,Loch::N,варя,రంధ్రము
317,Winkel::N,ужо,కోణము
318,Muster::N,сёрма,మాదిరి
319,Größe::N,сэрь,పరిమాణము
320,Größe::N,покшолма,పరిమాణము
321,Länge::N,кувалмо,పొడుగు
322,Höhe::N,сэрь,పొడుగు
323,Höhe::N,пандо,పొడుగు
324,Gewicht::N,сталмо,భారము
325,Menge::N,лововкс,మొత్తము
326,Haufen::N,мар,రాశి
327,Haufen::N,валявкс,రాశి
328,Reihe::N,ряд,వరుస
329,Boot::N,венч,పడవ
330,Ruder::N,милё,అడక
331,Schlitten::N,нурдт,సరవండ్లు
332,Ski::N,сокс,స్కీ
333,Lagerfeuer::N,толбандя,నెగడు
334,Last::N,сталмо,బరువు
335,Last::N,кандома,బరువు
336,Gang::N,молема,నడక
337,Gang::N,якамо,నడక
338,Schritt::N,эскелькс,అడుగు
339,Norden::N,якшамо ёнкс,ఉత్తరదిక్కు
340,Süden::N,лембе ёнкс,దక్షిణము
341,Westen::N,чивалгома,పడమర
342,Osten::N,чилисема,తూర్పు
343,Holz::N,чувто,కొయ్య
344,Brett::N,лаз,పలక
345,Platte::N,плита,పలక
346,Stütze::N,неже,వాల్సేడ్లు
347,Stange::N,олга,స్తంభము
348,Stock::N,мандо,కఱ్ఱ
349,Stab::N,олога,కఱ్ఱ
350,Rohr::N,турба,గొట్టము
351,Haus::N,кудо,ఇల్లు
352,Heim::N,кудо,స్వగృహము
353,Ofen::N,каштомо,పొయ్యి
354,Fußboden::N,киякс,నేల
355,Tisch::N,столь,మేజా
356,Stuhl::N,стул,కుర్చీ
357,Wiege::N,лавсь,ఉయ్యాల
358,Wiege::N,нурямот,ఉయ్యాల
359,Bett::N,ацамо,పడక
360,Bett::N,ацамо,మంచం
361,Regal::N,лався,అటక
362,Regal::N,лавсяланго,అటక
363,Kiste::N,горобия,వెట్టె
364,Kiste::N,сундук,వెట్టె
365,Fenster::N,вальма,కిటికి
366,Tür::N,кенкш,ద్వారము
367,Tor::N,ортат,ద్వారము
368,Zaun::N,пирявт,కంచె
369,Zaun::N,пирвякс,కంచె
370,Dach::N,кудопря,ఇంటివైకప్పు
371,Leiter::N,кузтема,నిచ్చెన
372,Besen::N,тенсть,చీపురుకట్ట
373,Spaten::N,койме,పాఱ
374,Schaufel::N,кече,పాఱ
375,Schaufel::N,келей койме,పాఱ
376,Gabel::N,сянгине,ముండ్లగరిటె
377,Löffel::N,пенч,గరిటె
378,Messer::N,пеель,కత్తి
379,Nagel::N,эске,మేకు
380,Netz::N,алтыма,వల
381,Haken::N,кечказ,కొక్కెము
382,Griff::N,кедне,పిడి
383,Schloss::N,замок,తాళము
384,Schloss::N,панжома,తాళము
385,Bild::N,картина,చిత్రము
386,Figur::N,рунго,రూపము
387,Puppe::N,няка,బొమ్మ
388,Beutel::N,кескав,సంచి
389,Bündel::N,керькс,మూట
390,Tasche::N,юдма,సంచి
391,Eimer::N,ведра,చేద
392,Deckel::N,велькс,మూత
393,Geschirr::N,кедьге,వంటకాలు
394,Sack::N,кескав,గోనెసంచి
395,Tasse::N,чакш,గిన్నె
396,Topf::N,кастрюля,కుండ
397,Kessel::N,котёл,నీరుకాచుపాత్ర
398,Essen::N,ярсамо,ఆహారము
399,Nahrung::N,ярсамопель,ఆహారము
400,Speise::N,ярсамопель,ఆహారము
401,Fleisch::N,сывель,మాంసము
402,Getreide::N,сюро,ధాన్యము
403,Brei::N,каша,గుజ్జు
404,Brot::N,кши,రొట్టె
405,Scheibe::N,кочом,బద్ద
406,Scheibe::N,сускомо,బద్ద
407,Fett::N,куя,క్రొవ్వు
408,Butter::N,ой,వెన్న
409,Öl::N,ой,నూనె
410,Salz::N,сал,ఉప్పు
411,Suppe::N,ям,చారు
412,Honig::N,медь,తెనె
413,Milch::N,ловсо,పాలు
414,Tee::N,чай,తేనీరు
415,Leder::N,киське,బాగుచేసివతోలు
416,Wolle::N,пона,ఉన్ని
417,Stoff::N,коцт,బట్ట
418,Nadel::N,салмукс,సూది
419,Faden::N,суре,దారము
420,Knopf::N,пов,బొత్తాము
421,Knoten::N,сюлмо,ముడి
422,Farbe::N,артомапель,రంగు
423,Kleidung::N,оршамот,బట్టలు
424,Hemd::N,панар,చొక్కాయ
425,Kragen::N,сиве,మాల
426,Ärmel::N,ожа,చొక్కాయచెయ్యి
427,Hose::N,понкст,ఇజారు
428,Gürtel::N,каркс,పటకా
429,Mütze::N,чапка,టోపి
430,Schuh::N,туфля,పాదరక్ష
431,Stiefel::N,кем,బూటు
432,Ring::N,суркс,ఉంగరము
433,Band::N,лента,నాడా
434,Kamm::N,сурсеме,దువ్వెన
435,Spiegel::N,чавачамо,అద్దము
436,Riemen::N,кшнань каркс,వాడా
437,Schnur::N,пикс,దారము
438,Leine::N,ведьме,వారు
439,Decke::N,вельтямо,కంబళి
440,Kissen::N,тодов,తలగడ
441,Tuch::N,паця,బట్ట
442,Handtuch::N,нардамо,తువాలు
443,Kraft::N,вий,బలము
444,Stärke::N,виевчи,శక్తి
445,Gesundheit::N,шумбрачи,ఆరోగ్యము
446,Krankheit::N,орма,రోగము
447,Krankheit::N,сэредема,రోగము
448,Schmerz::N,сэредькс,నొప్పి
449,Wunde::N,керявкс,గాయము
450,Fieber::N,маштыкс,జ్వరము
451,Arznei::N,ормаменькс,మందు
452,Brücke::N,сэдь,వంతెన
453,Brücke::N,мадамо,వంతెన
454,Brunnen::N,лисьма,బావి
455,Brunnen::N,лисьма,కూపము
456,Brunnen::N,лисьма,నుయ్యి
457,Weide::N,ракшань ванома тарка,పచ్చికబయలు
458,Pfad::N,ян,కాలిత్రోవ
459,Weg::N,ки,మార్గము
460,Straße::N,ки,బాట
461,Dorf::N,веле,గ్రామము
462,Stadt::N,ош,పట్టణము
463,Brief::N,сёрма,జాబు
464,Buch::N,книга,పుస్తకము
465,Buchstabe::N,буква,అక్షరము
466,Zeitung::N,газета,వార్తాపత్రిక
467,Leben::N,эрямо,ప్రాణము
468,Tod::N,кулома,మరణము
469,Grab::N,калмо,సమాధి
470,Kirche::N,церькова,క్రెస్తవులగుడి
471,Sünde::N,чумочи,పాపము
472,Gott::N,паз,దేవుడు
473,Arbeiter::N,робочей,పనిపాటుచేశేవాడు
474,Chef::N,прявт,యజమానుడు
475,Meister::N,кол тевень тенця,కళాకారుడు
476,Arzt::N,врач,వైద్యుడు
477,Lehrer::N,учитель,ఉపాధ్యాయుడు
478,Lehrer::N,тонавтыця,ఉపాధ్యాయుడు
479,Geld::N,ярмак,ద్రవ్యము
480,Geschäft::N,ладязь тев,వ్యాపారము
481,Laden::N,лавка,అంగడి
482,Preis::N,питне,వెల
483,Ware::N,миевкс,సరకులు
484,Ware::N,рамавкс,సరకులు
485,Nutzen::N,паро,ప్రయోజనము
486,Nutzen::N,лезэ,ప్రయోజనము
487,Reichtum::N,сюпавчи,ధనము
488,Welt::N,мир,ప్రపంచము
489,Welt::N,мастор ланго,ప్రపంచము
490,Land::N,мастор,దేశము
491,Staat::N,государства,రాజ్యము
492,König::N,король,రాజు
493,Macht::N,азорксчи,అధికారము
494,Grenze::N,буен тешкс,సరిహద్దు
495,Krieg::N,война,యుద్ధము
496,Feind::N,душман,శత్రువు
497,Gewalt::N,нарьгамо,దౌర్జన్యము
498,Kampf::N,тюрема,పోట్లాట
499,Bogen[Waffe]::N,нал,విల్లు
500,Pfeil::N,нал,బాణము
501,Gewehr::N,ружия,తుపాకి
502,Gewehr::N,винтовка,తుపాకి
503,Fehler::N,ильведькс,తప్ప
504,Fehler::N,ильведевкс,తప్ప
505,Lüge::N,манчема,అసత్యము
506,Lüge::N,кенгелема,అసత్యము
507,Schaden::N,зыян,నష్టము
508,Unglück::N,зыян,దురదృష్టము
509,Schuld::N,чумочи,తప్పు
510,Alter::N,шка,వయస్సు
511,Schluss::N,пе,ముగింపు
512,Zeit::N,шка,కాలము
513,Zeit::N,пинге,కాలము
514,Tag::N,чи,దినము
515,Morgen::N,валске,ఉదయము
516,Mittag::N,чикуншка,మధ్యాహ్నము
517,Abend::N,чокшнэ,సాయంకాలము
518,Nacht::N,ве,రత్రి
519,Woche::N,недля,వారము
520,Monat::N,ков,నెల
521,Jahr::N,ие,సంవత్సరము
522,Frühling::N,тундо,వసంతకాలము
523,Sommer::N,кизэ,వేసవికాము
524,Herbst::N,сёксь,ఆకురాలుకాలము
525,Winter::N,теле,శీతకాలము
526,Januar::N,якшамков,జనవరి
527,Februar::N,февраль,ఫిబ్రవరి
528,März::N,март,మార్చి
529,April::N,апрель,ఏప్రిలు
530,Mai::N,май,మే
531,Juni::N,июнь,జూన్
532,Juli::N,июль,జూలై
533,August::N,август,ఆగస్టు
534,September::N,сентября,సెప్ఠెంబరు
535,Oktober::N,октября,అక్టోబరు
536,November::N,ноября,నవంబరు
537,Dezember::N,декабря,డిసెంబర్
538,Montag::N,пондельник,సోమవారము
539,Dienstag::N,овторник,మంగళవారము
540,Mittwoch::N,серёда,బుధవారము
541,Donnerstag::N,цетьверьг,గురువారము
542,Freitag::N,пеця,శుక్రవారము
543,Samstag::N,субута,శనివారము
544,Samstag::N,шлямочи,శనివారము
545,Sonntag::N,недлячи,ఆదివారము
546,groß::A,ине,గొప్పైన
547,groß::A,покш,గొప్పైన
548,klein::A,вишка,చిన్న
549,lang::A,кувака,పొడుగాటి
550,kurz::A,нурькине,పొట్టి
551,breit::A,келей,వెడల్పైన
552,schmal::A,теине,ఇఱుకైన
553,dicht::A,тусто,దట్టమైన
554,dick[Gegenstand]::A,эчке,దట్టమైన
555,dünn::A,човине,పలుచని
556,fein::A,човине,నాజాకైన
557,fest::A,кеме,దృడమైవ
558,flach::A,лапужа,చదువైన
559,glatt::A,валаня,నున్నని
560,hart::A,калгодо,కఠినమైన
561,weich::A,чевте,మృదువైన
562,rund::A,кеверь,గుండ్రని
563,spitz::A,пшти,మొనగల
564,scharf::A,пшти,పదనైన
565,stumpf::A,ношка,వాడిలేని
566,schwer::A,стака,బరువ్తెన
567,schön::A,мазый,సుందరమైన
568,heiß::A,пси,వేడియైన
569,warm::A,лембе,వెచ్చని
570,kalt::A,якшамо,చల్లని
571,kühl::A,экше,చల్లని
572,frisch::A,свежа,తాజాయైన
573,feucht::A,летьке,చెమ్మగానున్న
574,nass::A,начко,తడిగామన్న
575,trocken::A,коське,ఎండిన
576,voll::A,пешксе,నిండు
577,leer::A,чаво,శూన్యమైన
578,offen::A,панжадо,తెఱచియున్న
579,offen::A,виде,తెఱచియున్న
580,geschlossen::A,пекстазь,మూసిన
581,geschlossen::A,сёлгозь,మూసిన
582,sauber::A,ванькс,పరిశుద్ధమైన
583,schmutzig::A,ливезев,ముఱికియైన
584,roh::A,верек,పచ్చి
585,reif::A,кенерезь,పండివ
586,lecker::A,тантей,రుచి గల
587,süß::A,ламбамо,తియ్యని
588,bitter::A,сэпей,చేదైన
589,sauer::A,чапамо,పుల్లని
590,hell::A,валдо,కాంతిగల
591,dunkel::A,чопода,చీకటియైన
592,schwarz::A,раужо,నల్లని
593,weiß::A,ашо,తెలుపు
594,rot::A,якстере,ఎఱ్ఱని
595,gelb::A,ожо,పసుపు పచ్చ
596,blau::A,сэнь,నీలవర్ణము
597,grün::A,пиже,ఆకుపచ్చని
598,grau::A,шержев,నెరిసిన
599,bunt::A,сёрмав,రంగేలీ
600,billig::A,аволь питней,చౌకయైన
601,teuer::A,питней,వెలపొడుగైన
602,wertvoll::A,питней,విలుప్తెన
603,blind::A,сокор,గ్రుడ్డి
604,taub::A,амариця,చెవిటి
605,kräftig::A,пек виев,శక్తి గల
606,stark::A,виев,బలమైన
607,schwach::A,лавшо,బలహీనమైన
608,fett::A,куя,క్రొవ్విన
609,schlank::A,виде ронга,సన్నని
610,hübsch::A,мазый,సాగప్తెన
611,böse::A,кежей,చెడ్డ
612,dumm::A,чавола,తెలివిలేని
613,dumm::A,превтеме,తెలివిలేని
614,faul::A,нузякс,సోమరియైన
615,fleißig::A,мелень путыця,శ్రద్దగల
616,geizig::A,скупой,పిసినారియైన
617,klug::A,превей,తెలివిగల
618,geschickt::A,маштозь теезь,నిపుణతగల
619,lieb::A,вадря,ప్రియమైన
620,lustig::A,весёла,ఉల్లాసము గల
621,sanft::A,сэтьме,సాధువైన
622,hungrig::A,вачо,ఆకలిగొనిన
623,krank::A,сэредиця,వ్యాధిగల
624,nackt::A,штапо,దిగంబరమైన
625,traurig::A,нусманя,విచారముగల
626,lebendig::A,эриця,ప్రాణముతో నున్న
627,gut::A,паро,మంచి
628,schlecht::A,берянь,చెడ్డ
629,richtig::A,виде,సరియైన
630,schlimm::A,берянь,అసహ్యమైన
631,wahr::A,алкуксонь,నిజమైన
632,alt::A,ташто,ముసలి
633,neu::A,од,క్రొత్త
634,ehemalig::A,икелень,పూర్వపు
635,alt[Lebewesen]::A,сыре,ముసలి
636,jung::A,од,పసి
637,arm::A,кажов,బీద
638,reich::A,сюпав,ధనవంతుడైన
639,bekannt::A,содавикс,తెలిసిన
640,berühmt::A,содавикс,ప్రపిద్దికెక్కివ
641,fremd::A,лия,అన్యమైన
642,fremd::A,асодавикс,అన్యమైన
643,verschieden::A,эрьва,భేదమైన
644,nah::A,а васолонь,దగ్గఱనున్న
645,fern::A,умонь,దూరమందున్న
646,fern::A,кезэрень,దూరమందున్న
647,linker::A,керш,ఎడమప్రక్కగ
648,rechter::A,вить,కుడి
649,anderer::A,лия,వేఱ్తెన
650,erster::A,васень,మొదటి
651,erster::A,васенце,మొదటి
652,zweiter::A,омбоце,రెండన
653,dritter::A,колмоце,మూడో
654,letzter::A,меельце,కడపటి
655,allein::ADV,башка,ఒంటిగా
656,allein::ADV,ськамонзо,ఒంటిగా
657,auf einmal::ADV,вейсэ,హరాత్తుగ
658,zusammen::ADV,вейс,కలిసి
659,zusammen::ADV,вейсэ,కలిసి
660,lange::ADV,кувать,బహుకాలము
661,plötzlich::ADV,апак учо,హరాత్తుగ
662,sofort::ADV,курок,తక్షణము
663,sofort::ADV,нейке,తక్షణము
664,später::ADV,мейле,ఇటీవలి
665,jetzt::ADV,ней,ఇప్పుడు
666,heute::ADV,течи,నేడు
667,morgen::ADV,ванды,ఱేపు
668,bald::ADV,курок,శీఘ్రముగ
669,dann::ADV,мейле,అప్పుడు
670,dann::ADV,седе мейле,అప్పుడు
671,gestern::ADV,исяк,నిన్నటి దినము
672,einst::ADV,весть,పూర్వమొకప్పుడు
673,einst::ADV,зярдо-бути,పూర్వమొకప్పుడు
674,damals::ADV,сестэ,అప్పుడు
675,danach::ADV,мейле,అప్పుడు
676,danach::ADV,седе мейле,అప్పుడు
677,vorher::ADV,васняяк,ఎదుట
678,zuerst::ADV,васня,మొదటిలో
679,einmal::ADV,весть,ఒకసారి
680,manchmal::ADV,лиясто,అప్పటప్పటికి
681,oft::ADV,сеетьстэ,తఱచుగా
682,immer::ADV,свал,ఎల్లప్పుడు
683,niemals::ADV,а зярдояк,ఎప్పుడునులేదు
684,hier::ADV,тесэ,ఇక్కడ
685,hierhin::ADV,тей,ఇక్కడకు
686,von hier::ADV,тестэ,ఇక్కడనుండి
687,dort::ADV,тосо,అక్కడ
688,dorthin::ADV,тов,అక్కడికి
