,Concept_ID,no,es
85,Schnee::N,snø,nieve
86,Eis::N,is,hielo
87,Frost::N,frost,helada
88,Kälte::N,kulde,frío
89,Hitze::N,hete,calor
90,Raureif::N,rimfrost,escarcha
91,Regenbogen::N,regnbue,arco iris
92,Donner::N,torden,trueno
93,Strömung::N,strømning,corriente
94,Tropfen::N,dråpe,gota
95,Schaum::N,skum,espuma
96,Schmutz::N,søl,suciedad
97,Schmutz::N,skitt,suciedad
98,See::N,sjø,lago
99,Sumpf::N,sump,pantano
100,Sumpf::N,myrlende,pantano
101,Moor::N,myr,turbera
102,Moor::N,myrhei,turbera
103,Wiese::N,eng,prado
104,Wiese::N,eng,pradera
105,Wald::N,skog,bosque
106,Hügel::N,haug,colina
107,Hügel::N,bakke,colina
108,Anhöhe::N,haug,cerro
109,Anhöhe::N,bakke,cerro
110,Berg::N,berg,monte
111,Berg::N,berg,montaña
112,Berg::N,fjell,monte
113,Berg::N,fjell,montaña
114,Gipfel::N,topp,cima
115,Gipfel::N,topp,cumbre
116,Höhle::N,hule,cueva
117,Höhle::N,hule,caverna
118,Abhang::N,li,cuesta
119,Abhang::N,li,declive
120,Abhang::N,skråning,cuesta
121,Abhang::N,skråning,declive
122,Quelle::N,kilde,fuente
123,Quelle::N,kilde,manantial
124,Bach::N,bekk,arroyo
125,Fluss::N,elv,río
126,Ufer::N,bredd,orilla
127,Küste::N,kyst,costa
128,Festland::N,fastland,tierra firme
129,Meer::N,hav,mar
130,Bucht::N,bukt,cala
131,Bucht::N,bukt,bahía
132,Insel::N,øy,isla
133,Blume::N,blomst,flor
134,Gras::N,gress,hierba
135,Wurzel::N,rot,raíz
136,Baum::N,tre,árbol
137,Stamm::N,stamme,tronco
138,Rinde::N,bark,corteza
139,Ast::N,gren,rama
140,Zweig::N,kvist,ramo
141,Blatt::N,blad,hoja
142,Birke::N,bjørk,abedul
143,Kiefer[Baum]::N,furu,pino
144,Weide[Baum]::N,selje,sauce
145,Weide[Baum]::N,piletre,sauce
146,Tanne::N,gran,abeto
147,Horn::N,horn,asta
148,Horn::N,horn,cuerno
149,Feder::N,fjær,pluma
150,Fell::N,skinn,piel
151,Flügel::N,vinge,ala
152,Klaue::N,klauv,garra
153,Kralle::N,klo,uña
154,Kralle::N,klo,garra
155,Schwanz::N,hale,cola
156,Ei::N,egg,huevo
157,Nest::N,rede,nido
158,Bau::N,hi,madriguera
159,Tier::N,dyr,animal
160,Herde::N,flokk,rebaño
161,Kuh::N,ku,vaca
162,Bulle::N,tyr,toro
163,Pferd::N,hest,caballo
164,Schaf::N,får,oveja
165,Schwein::N,gris,cerdo
166,Hund::N,hund,perro
167,Katze::N,katt,gato
168,Bär::N,bjørn,oso
169,Eichhörnchen::N,ekorn,ardilla
170,Elch::N,elg,alce
171,Fuchs::N,rev,zorro
172,Hase::N,hare,liebre
173,Maus::N,mus,ratón
174,Wolf::N,ulv,lobo
175,Wolf::N,varg,lobo
176,Vogel::N,fugl,ave
177,Vogel::N,fugl,pájaro
178,Schwarm::N,sverm,bandada
179,Huhn::N,høne,gallina
180,Hahn::N,hane,gallo
181,Gans::N,gås,oca
182,Gans::N,gås,ganso
183,Adler::N,ørn,águila
184,Ente::N,and,pato
185,Eule::N,ugle,lechuza
186,Kranich::N,trane,grulla
187,Krähe::N,kråke,corneja
188,Kuckuck::N,gjøk,cuco
189,Schwan::N,svane,cisne
190,Fisch::N,fisk,pez
191,Barsch::N,abbor,perca
192,Hecht::N,gjedde,lucio
193,Schlange[Tier]::N,orm,serpiente
194,Schlange[Tier]::N,slange,serpiente
195,Wurm::N,orm,gusano
196,Wurm::N,mark,gusano
197,Spinne::N,edderkopp,araña
198,Ameise::N,maur,hormiga
199,Laus::N,lus,piojo
200,Mücke::N,mygg,mosquito
201,Fliege::N,flue,mosca
202,Schmetterling::N,sommerfugl,mariposa
203,Beere::N,bær,baya
204,Apfel::N,eple,manzana
205,Pilz::N,sopp,seta
206,Pilz::N,sopp,hongo
207,Zwiebel::N,løk,cebolla
208,Saat::N,sæd,siembra
209,Korn::N,korn,grano
210,Heu::N,høy,heno
211,Schale::N,skall,cáscara
212,Grube::N,grop,foso
213,Falle::N,felle,trampa
214,Schlinge::N,snare,lazo
215,Spur::N,spor,huella
216,Asche::N,aske,ceniza
217,Dreck::N,møkk,suciedad
218,Dreck::N,skitt,suciedad
219,Eisen::N,jern,hierro
220,Gold::N,gull,oro
221,Silber::N,sølv,plata
222,Kohle::N,kol,carbón
223,Kohle::N,kull,carbón
224,Glas::N,glass,vidrio
225,Glas::N,glass,cristal
226,Lehm::N,leire,barro
227,Sand::N,sand,arena
228,Mensch::N,menneske,hombre
229,Mensch::N,menneske,ser humano
230,Mann::N,mann,hombre
231,Frau::N,kvinne,mujer
232,Kind::N,barn,niño
233,Junge::N,gutt,chico
234,Junge::N,gutt,muchacho
235,Mädchen::N,pike,chica
236,Mädchen::N,pike,muchacha
237,Mädchen::N,jente,chica
238,Mädchen::N,jente,muchacha
239,Familie::N,familie,familia
240,Großvater::N,bestefar,abuelo
241,Großmutter::N,bestemor,abuela
242,Eltern::N,foreldre,padres
243,Vater::N,far,padre
244,Mutter::N,mor,madre
245,Sohn::N,sønn,hijo
246,Tochter::N,datter,hija
247,Bruder::N,bror,hermano
248,Schwester::N,søster,hermana
249,Onkel::N,onkel,tío
250,Tante::N,tante,tía
251,Ehemann::N,ektemann,esposo
252,Ehefrau::N,hustru,esposa
253,Freude::N,glede,placer
254,Freude::N,glede,alegría
255,Gelächter::N,latter,risa
256,Gelächter::N,latter,carcajada
257,Glück::N,lykke,felicidad
258,Kummer::N,sorg,pena
259,Wunsch::N,ønske,deseo
260,Lust::N,lyst,ganas
261,Geist::N,ånd,mente
262,Geist::N,ånd,espíritu
263,Gedanke::N,tanke,idea
264,Gedanke::N,tanke,pensamiento
265,Gedächtnis::N,minne,memoria
266,Gedächtnis::N,hukommelse,memoria
267,Verstand::N,forstand,razón
268,Verstand::N,forstand,entendimiento
269,Sinn::N,mening,sentido
270,Sinn::N,mening,significado
271,Sinn::N,betydning,sentido
272,Sinn::N,betydning,significado
273,Grund::N,grunn,causa
274,Wahrheit::N,sannhet,verdad
275,Gespräch::N,samtale,conversación
276,Märchen::N,eventyr,cuento
277,Erzählung::N,fortelling,cuento
278,Erzählung::N,fortelling,narración
279,Nachricht::N,melding,mensaje
280,Neuigkeit::N,nyhet,noticia
281,Name::N,navn,nombre
282,Rätsel::N,gåte,acertijo
283,Rätsel::N,gåte,adivinanza
284,Rede::N,tale,discurso
285,Sprache::N,språk,lengua
286,Stimme::N,stemme,voz
287,Wort::N,ord,palabra
288,Zeichen::N,tegn,señal
289,Ruf::N,rop,llamada
290,Lärm::N,bråk,ruido
291,Lärm::N,bråk,barullo
292,Laut::N,lyd,sonido
293,Ton::N,tone,tono
294,Lied::N,vise,canción
295,Ruhe::N,ro,calma
296,Ruhe::N,ro,silencio
297,Leute::N,folk,gente
298,Volk::N,folk,pueblo
299,Arbeit::N,arbeid,trabajo
300,Gast::N,gjest,huésped
301,Gast::N,gjest,invitado
302,Geschenk::N,gave,regalo
303,Spiel::N,lek,juego
304,Spiel::N,spill,juego
305,Gesellschaft::N,selskap,compañía
306,Hilfe::N,hjelp,ayuda
307,Hilfe::N,hjelp,socorro
308,Freund::N,venn,amigo
309,Kamerad::N,kamerat,camarada
310,Kamerad::N,kamerat,compañero
311,Angelegenheit::N,sak,asunto
312,Angelegenheit::N,anliggende,asunto
313,Anzahl::N,antall,cantidad
314,Art::N,art,tipo
315,Art::N,art,clase
316,Art::N,slag,tipo
317,Art::N,slag,clase
318,Stück::N,stykke,pieza
319,Teil::N,del,parte
320,Hälfte::N,halvdel,mitad
321,Kreis::N,ring,círculo
322,Kreis::N,sirkel,círculo
323,Kreuz::N,kors,cruz
324,Kreuz::N,kryss,cruz
325,Linie::N,linje,línea
326,Strich::N,strek,raya
327,Strich::N,strek,trazo
328,Abstand::N,avstand,distancia
329,Entfernung::N,avstand,distancia
330,Gegend::N,strøk,región
331,Gegend::N,strøk,comarca
332,Platz::N,plass,espacio
333,Ort::N,sted,sitio
334,Seite::N,side,lado
335,Seite::N,side,costado
336,Mitte::N,midte,medio
337,Mitte::N,midte,centro
338,Gegenstand::N,gjenstand,objeto
339,Sache::N,sak,cosa
340,Rand::N,rand,borde
341,Kante::N,kant,borde
342,Ecke::N,hjørne,esquina
343,Spitze::N,spiss,punta
344,Ende::N,ende,cabo
345,Ende::N,ende,extremo
346,Loch::N,hull,agujero
347,Loch::N,hull,abertura
348,Winkel::N,vinkel,ángulo
349,Muster::N,mønster,dibujo
350,Größe::N,størrelse,tamaño
351,Länge::N,lengde,longitud
352,Höhe::N,høyde,altura
353,Höhe::N,høyde,altitud
354,Gewicht::N,vekt,peso
355,Menge::N,mengde,cantidad
356,Haufen::N,haug,montón
357,Haufen::N,bunke,montón
358,Reihe::N,rekke,fila
359,Boot::N,båt,bote
360,Boot::N,båt,barca
361,Ruder::N,åre,remo
362,Schlitten::N,slede,trineo
363,Schlitten::N,kjelke,trineo
364,Ski::N,ski,esquí
365,Lagerfeuer::N,leirbål,hoguera
366,Last::N,bør,carga
367,Last::N,last,carga
368,Gang::N,gang,marcha
369,Schritt::N,steg,paso
370,Schritt::N,skritt,paso
371,Norden::N,nord,norte
372,Süden::N,sør,sur
373,Westen::N,vest,oeste
374,Osten::N,øst,este
375,Holz::N,tre,madera
376,Brett::N,fjøl,tabla
377,Brett::N,brett,tabla
378,Platte::N,plate,placa
379,Platte::N,plate,plancha
380,Stütze::N,støtte,sostén
381,Stütze::N,støtte,soporte
382,Stange::N,stang,vara
383,Stange::N,stang,percha
384,Stock::N,pinne,palo
385,Stock::N,pinne,bastón
386,Stab::N,stav,vara
387,Stab::N,stav,bastón
388,Stab::N,kjepp,vara
389,Stab::N,kjepp,bastón
390,Rohr::N,rør,tubo
391,Haus::N,hus,casa
392,Heim::N,hjem,hogar
393,Ofen::N,ovn,estufa
394,Fußboden::N,gulv,suelo
395,Tisch::N,bord,mesa
396,Stuhl::N,stol,silla
397,Wiege::N,vogge,cuna
398,Bett::N,seng,cama
399,Regal::N,reol,estantería
400,Regal::N,hylle,estantería
401,Kiste::N,kasse,caja
402,Fenster::N,vindu,ventana
403,Tür::N,dør,puerta
404,Tor::N,port,puerta
405,Zaun::N,gjerde,valla
406,Zaun::N,gjerde,cercado
407,Dach::N,tak,techo
408,Dach::N,tak,tejado
409,Leiter::N,stige,escalera
410,Besen::N,kost,escoba
411,Spaten::N,spade,pala
412,Schaufel::N,skuffe,pala
413,Schaufel::N,skuffe,paleta
414,Gabel::N,gaffel,tenedor
415,Löffel::N,skje,cuchara
416,Messer::N,kniv,cuchillo
417,Nagel::N,spiker,clavo
418,Netz::N,nett,red
419,Haken::N,krok,gancho
420,Haken::N,krok,corchete
421,Griff::N,tak,asa
422,Griff::N,tak,mango
423,Griff::N,håndtak,asa
424,Griff::N,håndtak,mango
425,Schloss::N,lås,cerradura
426,Bild::N,bilde,imagen
427,Figur::N,figur,figura
428,Puppe::N,dukke,muñeca
429,Beutel::N,pose,bolsa
430,Bündel::N,bylt,haz
431,Tasche::N,veske,bolso
432,Eimer::N,bøtte,cubo
433,Deckel::N,lokk,tapa
434,Deckel::N,lokk,tapadera
435,Geschirr::N,kjøkkentøy,vajilla
436,Sack::N,sekk,saco
437,Tasse::N,kopp,taza
438,Topf::N,gryte,olla
439,Topf::N,gryte,marmita
440,Kessel::N,kjele,caldera
441,Essen::N,mål,comida
442,Nahrung::N,mat,alimento
443,Nahrung::N,næring,alimento
444,Speise::N,matrett,plato
445,Fleisch::N,kjøtt,carne
446,Getreide::N,korn,cereales
447,Brei::N,grøt,puré
448,Brei::N,grøt,papilla
449,Brot::N,brød,pan
450,Scheibe::N,skive,lonja
451,Scheibe::N,skive,rebanada
452,Fett::N,fett,grasa
453,Butter::N,smør,mantequilla
454,Öl::N,olje,aceite
455,Salz::N,salt,sal
456,Suppe::N,suppe,sopa
457,Honig::N,honning,miel
458,Milch::N,melk,leche
459,Tee::N,te,té
460,Leder::N,lær,cuero
461,Leder::N,skinn,cuero
462,Wolle::N,ull,lana
463,Stoff::N,tøy,tela
464,Stoff::N,tøy,tejido
465,Stoff::N,stoff,tela
466,Stoff::N,stoff,tejido
467,Nadel::N,nål,aguja
468,Faden::N,tråd,hilo
469,Knopf::N,knapp,botón
470,Knoten::N,knute,nudo
471,Farbe::N,farge,pintura
472,Kleidung::N,påkledning,ropa
473,Kleidung::N,påkledning,vestidos
474,Hemd::N,skjorte,camisa
475,Kragen::N,krage,cuello
476,Ärmel::N,erme,manga
477,Hose::N,bukse,pantalón
478,Gürtel::N,belte,cinturón
479,Mütze::N,lue,gorro
480,Schuh::N,sko,zapato
481,Stiefel::N,støvel,bota
482,Ring::N,ring,anillo
483,Band::N,band,cinta
484,Kamm::N,kam,peine
485,Spiegel::N,speil,espejo
486,Riemen::N,rem,correa
487,Schnur::N,snor,cuerda
488,Leine::N,line,correa
489,Decke::N,teppe,manta
490,Kissen::N,pute,almohada
491,Tuch::N,tøy,pañuelo
492,Handtuch::N,håndkle,toalla
493,Kraft::N,kraft,fuerza
494,Stärke::N,styrke,fuerza
495,Gesundheit::N,helse,salud
496,Gesundheit::N,sunnhet,salud
497,Krankheit::N,syke,enfermedad
498,Krankheit::N,sykdom,enfermedad
499,Schmerz::N,smerte,dolor
500,Wunde::N,sår,llaga
501,Wunde::N,sår,herida
502,Fieber::N,feber,fiebre
503,Arznei::N,medisin,medicina
504,Arznei::N,medisin,medicamento
505,Arznei::N,legemiddel,medicina
506,Arznei::N,legemiddel,medicamento
507,Brücke::N,bro,puente
508,Brunnen::N,brønn,pozo
509,Weide::N,beite,pasto
510,Pfad::N,sti,sendero
511,Weg::N,vei,camino
512,Straße::N,gate,vía
513,Straße::N,gate,carretera
514,Dorf::N,landsby,aldea
515,Dorf::N,landsby,pueblo
516,Stadt::N,by,ciudad
517,Brief::N,brev,carta
518,Buch::N,bok,libro
519,Buchstabe::N,bokstav,letra
520,Buchstabe::N,bokstav,carácter
521,Zeitung::N,avis,diario
522,Zeitung::N,avis,periódico
523,Leben::N,liv,vida
524,Tod::N,død,muerte
525,Grab::N,grav,tumba
526,Grab::N,grav,sepulcro
527,Kirche::N,kirke,iglesia
528,Sünde::N,synd,pecado
529,Gott::N,gud,dios
530,Arbeiter::N,arbeider,obrero
531,Arbeiter::N,arbeider,trabajador
532,Chef::N,sjef,jefe
533,Meister::N,mester,maestro
534,Arzt::N,lege,médico
535,Lehrer::N,lærer,profesor
536,Geld::N,penger,dinero
537,Geschäft::N,forretning,negocio
538,Laden::N,butikk,tienda
539,Preis::N,pris,precio
540,Ware::N,vare,mercancía
541,Nutzen::N,nytte,provecho
542,Reichtum::N,rikdom,riqueza
543,Welt::N,verden,mundo
544,Land::N,land,país
545,Staat::N,stat,Estado
546,König::N,konge,rey
547,Macht::N,makt,poder
548,Macht::N,makt,potencia
549,Grenze::N,grense,frontera
550,Krieg::N,krig,guerra
551,Feind::N,fiende,enemigo
552,Gewalt::N,vold,violencia
553,Kampf::N,kamp,lucha
554,Kampf::N,kamp,combate
555,Bogen[Waffe]::N,bue,arco
556,Pfeil::N,pil,flecha
557,Gewehr::N,gevær,fusil
558,Gewehr::N,gevær,escopeta
559,Fehler::N,feil,error
560,Lüge::N,løgn,mentira
561,Schaden::N,skade,daño
562,Unglück::N,uhell,desgracia
563,Schuld::N,skyld,culpa
564,Alter::N,alder,edad
565,Schluss::N,slutt,fin
566,Schluss::N,slutt,final
567,Zeit::N,tid,tiempo
568,Tag::N,dag,día
569,Morgen::N,morgen,mañana
570,Mittag::N,middag,mediodía
571,Abend::N,aften,noche
572,Nacht::N,natt,noche
573,Woche::N,uke,semana
574,Monat::N,måned,mes
575,Jahr::N,år,año
576,Frühling::N,vår,primavera
577,Sommer::N,sommer,verano
578,Herbst::N,høst,otoño
579,Winter::N,vinter,invierno
580,Januar::N,januar,enero
581,Februar::N,februar,febrero
582,März::N,mars,marzo
583,April::N,april,abril
584,Mai::N,mai,mayo
585,Juni::N,juni,junio
586,Juli::N,juli,julio
587,August::N,august,agosto
588,September::N,september,septiembre
589,Oktober::N,oktober,octubre
590,November::N,november,noviembre
591,Dezember::N,desember,diciembre
592,Montag::N,mandag,lunes
593,Dienstag::N,tirsdag,martes
594,Mittwoch::N,onsdag,miércoles
595,Donnerstag::N,torsdag,jueves
596,Freitag::N,fredag,viernes
597,Samstag::N,lørdag,sábado
598,Sonntag::N,søndag,domingo
599,groß::A,stor,grande
600,klein::A,liten,pequeño
601,lang::A,lang,largo
602,kurz::A,kort,corto
603,breit::A,bred,ancho
604,schmal::A,smal,estrecho
605,dicht::A,tett,denso
606,dick[Gegenstand]::A,tykk,grueso
607,dünn::A,tynn,fino
608,dünn::A,tynn,delgado
609,fein::A,fin,fino
610,fein::A,fin,delicado
611,fest::A,fast,firme
612,fest::A,fast,sólido
613,flach::A,flat,plano
614,glatt::A,glatt,liso
615,hart::A,hard,duro
616,weich::A,myk,muelle
617,weich::A,bløt,muelle
618,rund::A,rund,redondo
619,spitz::A,spiss,agudo
620,spitz::A,spiss,apuntado
621,scharf::A,kvass,agudo
622,scharf::A,kvass,afilado
623,stumpf::A,stubb,sin filo
624,schwer::A,tung,pesado
625,schön::A,pen,bello
626,schön::A,pen,hermoso
627,schön::A,vakker,bello
628,schön::A,vakker,hermoso
629,heiß::A,het,caluroso
630,warm::A,varm,cálido
631,warm::A,varm,caliente
632,kalt::A,kald,frío
633,kühl::A,kjølig,fresco
634,frisch::A,fersk,fresco
635,feucht::A,fuktig,húmedo
636,nass::A,våt,mojado
637,trocken::A,tørr,seco
638,voll::A,full,lleno
639,leer::A,tom,vacío
640,offen::A,åpen,abierto
641,geschlossen::A,lukket,cerrado
642,sauber::A,ren,limpio
643,schmutzig::A,skitten,sucio
644,roh::A,rå,crudo
645,reif::A,moden,maduro
646,lecker::A,lekker,rico
647,lecker::A,lekker,sabroso
648,süß::A,søt,dulce
649,bitter::A,besk,amargo
650,bitter::A,bitter,amargo
651,sauer::A,sur,agrio
652,hell::A,lys,claro
653,dunkel::A,mørk,oscuro
654,schwarz::A,svart,negro
655,weiß::A,hvit,blanco
656,rot::A,rød,rojo
657,gelb::A,gul,amarillo
658,blau::A,blå,azul
659,grün::A,grønn,verde
660,grau::A,grå,gris
661,bunt::A,broket,multicolor
662,billig::A,billig,barato
663,teuer::A,dyr,caro
664,wertvoll::A,verdifull,valioso
665,wertvoll::A,verdifull,precioso
666,blind::A,blind,ciego
667,taub::A,døv,sordo
668,kräftig::A,kraftig,fuerte
669,stark::A,sterk,fuerte
670,stark::A,sterk,vigoroso
671,schwach::A,svak,débil
672,fett::A,fet,obeso
673,schlank::A,slank,esbelto
674,hübsch::A,pen,mono
675,hübsch::A,pen,guapo
676,böse::A,slem,malo
677,dumm::A,dum,tonto
678,dumm::A,dum,estúpido
679,faul::A,lat,vago
680,faul::A,lat,perezoso
681,faul::A,doven,vago
682,faul::A,doven,perezoso
683,fleißig::A,flittig,aplicado
684,fleißig::A,flittig,diligente
685,geizig::A,gjerrig,avaro
686,klug::A,klok,sensato
687,klug::A,klok,inteligente
688,geschickt::A,hendig,hábil
689,geschickt::A,skikket,hábil
690,lieb::A,kjær,querido
691,lieb::A,snill,querido
692,lustig::A,morsom,alegre
693,sanft::A,blid,suave
694,hungrig::A,sulten,hambriento
695,krank::A,syk,enfermo
696,nackt::A,naken,desnudo
697,traurig::A,sørgmodig,triste
698,lebendig::A,levende,vivo
699,lebendig::A,levende,viviente
700,gut::A,god,bueno
701,schlecht::A,dårlig,malo
702,richtig::A,riktig,justo
703,richtig::A,riktig,correcto
704,schlimm::A,slem,malo
705,schlimm::A,slem,grave
706,wahr::A,sann,verídico
707,wahr::A,sann,verdadero
708,alt::A,gammel,viejo
709,neu::A,ny,nuevo
710,ehemalig::A,forhenværende,antiguo
711,alt[Lebewesen]::A,gammel,viejo
712,jung::A,ung,joven
713,arm::A,fattig,pobre
714,reich::A,rik,rico
715,bekannt::A,kjent,conocido
716,berühmt::A,berømt,famoso
717,berühmt::A,berømt,célebre
718,fremd::A,fremmed,extraño
719,verschieden::A,forskjellig,diverso
720,verschieden::A,forskjellig,distinto
721,verschieden::A,forskjellig,diferente
722,nah::A,nær,cercano
723,fern::A,fjern,lejano
724,linker::A,venstre,izquierdo
725,rechter::A,høyre,derecho
726,anderer::A,annen,otro
727,erster::A,første,primero
728,zweiter::A,annen,segundo
729,dritter::A,tredje,tercero
730,letzter::A,sist,último
731,allein::ADV,alene,a solo
732,auf einmal::ADV,med ett,de una vez
733,zusammen::ADV,sammen,juntos
734,lange::ADV,lenge,mucho tiempo
735,plötzlich::ADV,plutselig,de repente
736,sofort::ADV,straks,en seguida
737,später::ADV,senere,más tarde
738,jetzt::ADV,nå,ahora
739,heute::ADV,i dag,hoy
740,morgen::ADV,i morgen,mañana
741,bald::ADV,snart,pronto
742,bald::ADV,snart,en breve
743,dann::ADV,så,luego
744,dann::ADV,så,entonces
745,gestern::ADV,i går,ayer
746,einst::ADV,engang,antaño
747,damals::ADV,den gang,entonces
748,danach::ADV,deretter,después
749,vorher::ADV,før,antes
750,vorher::ADV,i forveien,antes
751,zuerst::ADV,først,primero
752,einmal::ADV,en gang,una vez
753,manchmal::ADV,somme tider,a veces
754,oft::ADV,ofte,a menudo
755,oft::ADV,ofte,con frecuencia
756,immer::ADV,alltid,siempre
757,niemals::ADV,aldri,jamás
758,hier::ADV,her,aquí
759,hierhin::ADV,hit,acá
760,von hier::ADV,herfra,desde aquí
761,dort::ADV,der,ahí
762,dort::ADV,der,allí
763,dorthin::ADV,dit,allí
764,dorthin::ADV,dit,hacia allí
765,geradeaus::ADV,rett fram,todo derecho
766,vorwärts::ADV,fram,adelante
767,vorwärts::ADV,framover,adelante
768,rückwärts::ADV,baklengs,hacia atrás
769,zurück::ADV,tilbake,atrás
770,unten::ADV,nede,abajo
771,hinab::ADV,ned,hacia abajo
772,hinab::ADV,nedover,hacia abajo
773,oben::ADV,oppe,arriba
774,oben::ADV,ovenpå,arriba
775,hinauf::ADV,opp,hacia arriba
776,hinauf::ADV,oppover,hacia arriba
777,überall::ADV,overalt,por todas partes
778,nicht::ADV,ikke,no
779,ein wenig::ADV,litt,un poco
780,kaum::ADV,neppe,apenas
781,sehr::ADV,svært,muy
782,sehr::ADV,svært,mucho
783,so::ADV,så,tan
784,noch::ADV,enda,aún
785,noch::ADV,enda,todavía
786,nur::ADV,bare,solamente
787,schon::ADV,alt,ya
788,schon::ADV,allerede,ya
789,wieder::ADV,igjen,de nuevo
790,vergebens::ADV,forgjeves,en vano
791,vor::PRP,foran,antes de
792,vor::PRP,foran,delante de
793,vor::PRP,utenfor,antes de
794,vor::PRP,utenfor,delante de
795,hinter::PRP,bak,tras
796,hinter::PRP,bak,detrás de
797,hinter::PRP,bakom,tras
798,hinter::PRP,bakom,detrás de
799,unter::PRP,under,bajo
800,unter::PRP,under,debajo de
801,durch::PRP,gjennom,por
802,durch::PRP,gjennom,a través de
803,durch::PRP,igjennom,por
804,durch::PRP,igjennom,a través de
805,neben::PRP,ved siden av,al lado de
806,zwischen::PRP,mellom,entre
807,wegen::PRP,på grunn av,por
808,wegen::PRP,på grunn av,a causa de
809,dies::PRN,dette,esto
810,das::PRN,det,eso
811,das::PRN,det,esto
812,alles::PRN,alt,todo
813,ich::PRN,jeg,yo
814,du::PRN,du,tú
815,er::PRN,han,él
816,wir::PRN,vi,nosotros
817,ihr::PRN,dere,vosotros
818,sie::PRN,de,ellos
819,was::FPRN,hva,qué
820,wer::FPRN,hvem,quién
821,wo::FADV,hvor,dónde
822,wohin::FADV,hvor ... hen,adónde
823,wohin::FADV,hvor ... hen,hacia dónde
824,wie::FADV,hvordan,cómo
825,warum::FADV,hvorfor,por qué
826,wieviel::FNUM,hvor mye,cuánto
827,eins::NUM,en,uno
828,eins::NUM,ett,uno
829,zwei::NUM,to,dos
830,drei::NUM,tre,tres
831,vier::NUM,fire,cuatro
832,fünf::NUM,fem,cinco
833,sechs::NUM,seks,seis
834,sieben::NUM,sju,siete
835,acht::NUM,åtte,ocho
836,neun::NUM,ni,nueve
837,zehn::NUM,ti,diez
838,elf::NUM,elleve,once
839,zwölf::NUM,tolv,doce
840,zwanzig::NUM,tjue,veinte
841,dreißig::NUM,tretti,treinta
842,vierzig::NUM,førti,cuarenta
843,fünfzig::NUM,femti,cincuenta
844,sechzig::NUM,seksti,sesenta
845,siebzig::NUM,sytti,setenta
846,achtzig::NUM,åtti,ochenta
847,neunzig::NUM,nitti,noventa
848,hundert::NUM,hundre,cien
849,hundert::NUM,hundre,ciento
850,tausend::NUM,tusen,mil
851,und::CNJ,og,y
852,oder::CNJ,eller,o
853,stehen::V,stå,estar de pie
854,sitzen::V,sitte,estar sentado
855,liegen::V,ligge,yacer
856,liegen::V,ligge,estar acostado
