,Concept_ID,ku,xal
115,Festland::N,bejahî,хүүрә һазр
116,Meer::N,behr,теңгс
117,Bucht::N,derav,цекә
118,Bucht::N,derav,теңгсин цекә
119,Insel::N,girav,арл
120,Blume::N,kulînk,цецг
121,Gras::N,giha,ноһан
122,Wurzel::N,reh,уңг
123,Baum::N,dar,модн
124,Stamm::N,bavik,шилв
125,Stamm::N,bavik,һол модн
126,Rinde::N,qaqil,көрсн
127,Ast::N,gulî,ац
128,Zweig::N,şax,ац
129,Blatt::N,pel,хамтхасн
130,Birke::N,dara sipî,хусм модн
131,Kiefer[Baum]::N,dara bî,шар харһа
132,Weide[Baum]::N,dara belalûk,удн
133,Tanne::N,merx,җөөлн цаһан модн
134,Horn::N,strô,өвр
135,Feder::N,pîrtîk,өрвлг
136,Fell::N,heyar,арсн
137,Flügel::N,per,җивр
138,Klaue::N,napîk,хумсн
139,Kralle::N,dinik,тавг
140,Kralle::N,dirnax,тавг
141,Schwanz::N,dûv,сүл
142,Ei::N,hêk,өндгн
143,Nest::N,hêlîn,үр
144,Bau::N,avahî,нүкн
145,Tier::N,heywan,мал
146,Herde::N,hoz,сүрг мал
147,Kuh::N,çêlek,үкр
148,Bulle::N,ga,бух
149,Pferd::N,hesp,мөрн
150,Schaf::N,mîh,хөн
151,Schwein::N,beraz,һаха
152,Hund::N,seh,ноха
153,Katze::N,pişîk,мис
154,Bär::N,hirç,аю
155,Eichhörnchen::N,pilûr,кермн
156,Elch::N,pazkovî,хандһа
157,Fuchs::N,rovî,арат
158,Hase::N,kîroşk,туула
159,Maus::N,mişk,хулһн
160,Wolf::N,gur,чон
161,Vogel::N,çûk,шовун
162,Schwarm::N,lufik,зел
163,Huhn::N,mirîşk,така
164,Hahn::N,dîk,эр така
165,Gans::N,qaz,һалун
166,Adler::N,eylo,һәрд
167,Ente::N,werdek,нуһсн
168,Eule::N,bûm,һурвлһ
169,Eule::N,kund,һурвлһ
170,Kranich::N,quling,тоһрун
171,Krähe::N,qijik,шаазһа
172,Kuckuck::N,pepûk,эргин хуцдг
173,Schwan::N,qû,хун
174,Fisch::N,masî,заһсн
175,Barsch::N,okûn,шүрг
176,Hecht::N,mesîyê lûf,цурх
177,Schlange[Tier]::N,mar,моһа
178,Wurm::N,kurm,өтн
179,Spinne::N,pîrê,аралҗн
180,Ameise::N,mîro,шорһлҗн
181,Ameise::N,gêrîk,шорһлҗн
182,Laus::N,spi,бөөсн
183,Mücke::N,mêş,бөкүн
184,Fliege::N,mêş,батхн
185,Schmetterling::N,perperîk,эрвәкә
186,Beere::N,hirç,бөөлҗрһн
187,Apfel::N,sêv,альмн
188,Pilz::N,bîrov,теңгрин ки
189,Zwiebel::N,pîvaz,мәңгрснә толһа
190,Saat::N,tov,буудян экн
191,Korn::N,dexl,экн
192,Heu::N,sap,өвсн
193,Schale::N,qaşik,хальсн
194,Grube::N,çahl,нүкн
195,Falle::N,dafik,урх
196,Falle::N,dafik,хавх
197,Schlinge::N,dahf,бүтү
198,Spur::N,rêç,мөр
199,Asche::N,xweli,үмсн
200,Dreck::N,gemarî,бальчг
201,Eisen::N,hesing,төмр
202,Gold::N,zêr,алтн
203,Silber::N,zîv,мөңгн
204,Silber::N,zîv,цаһан мөңгн
205,Kohle::N,komir,нүүрсн
206,Glas::N,qedeh,шил
207,Lehm::N,kelpîç,шавр
208,Sand::N,qûm,элсн
209,Mensch::N,mirov,күн
210,Mensch::N,mirov,күмн
211,Mann::N,mêr,эр
212,Frau::N,jin,күүкд күн
213,Kind::N,zarok,үрн
214,Junge::N,kur,көвүн
215,Mädchen::N,keç,бичкн күүкн
216,Mädchen::N,keçik,бичкн күүкн
217,Familie::N,malbat,бүл
218,Großvater::N,bapîr,өвк эцк
219,Großvater::N,bapîr,наһц эцк
220,Großmutter::N,pîrik,эмг эк
221,Großmutter::N,pîrik,наһц эк
222,Eltern::N,bavudê,эк эцк хойр
223,Vater::N,bav,эцк
224,Mutter::N,dê,эк
225,Mutter::N,dayik,эк
226,Sohn::N,kur,көвүн
227,Tochter::N,keç,күүкн
228,Bruder::N,bira,дү көвүн
229,Schwester::N,xweh,эгч
230,Schwester::N,xweh,дү күүкн
231,Onkel::N,am,авһ
232,Onkel::N,am,наһцх
233,Onkel::N,xal,авһ
234,Onkel::N,xal,наһцх
235,Tante::N,metik,наһц эгч
236,Tante::N,xaltîk,наһц эгч
237,Ehemann::N,mêr,залу
238,Ehefrau::N,kulfet,гергн
239,Freude::N,kêfxweşî,байр
240,Gelächter::N,pîrqînî,инәдн
241,Glück::N,bext,җирһл
242,Glück::N,bext,сәәхн җирһл
243,Kummer::N,derd,зовлң
244,Wunsch::N,daxwaz,дурн
245,Wunsch::N,xwestek,дурн
246,Lust::N,şewq,җилвтлһн
247,Geist::N,aqil,зөрг
248,Gedanke::N,fikir,ухан
249,Gedächtnis::N,aqil,чееҗин тодлвр
250,Verstand::N,fêm,ухан
251,Sinn::N,aqil,учр-утх
252,Grund::N,asas,учр
253,Grund::N,asas,шалтан
254,Wahrheit::N,rastî,үнн
255,Gespräch::N,guftûgo,күүндвүр
256,Märchen::N,çirok,тууль
257,Erzählung::N,çirok,келвр
258,Erzählung::N,vegotin,келвр
259,Nachricht::N,nûçe,медүллһн
260,Neuigkeit::N,hewal,зәңг
261,Name::N,nav,нерн
262,Name::N,paşnav,нерн
263,Rätsel::N,tiştonek,тәәлвртә тууль
264,Rede::N,gotar,келлһн
265,Rede::N,axavtin,келлһн
266,Sprache::N,ziman,келн
267,Stimme::N,pejn,дун
268,Wort::N,gotin,үг
269,Zeichen::N,şanek,темдг
270,Ruf::N,hawar,дуудлһн
271,Lärm::N,xarbalix,шууган
272,Laut::N,deng,ә
273,Laut::N,hês,ә
274,Ton::N,awaz,дун
275,Lied::N,sitran,дун
276,Ruhe::N,rihetî,амулң
277,Leute::N,xelk,әмтн
278,Volk::N,xelk,улс
279,Arbeit::N,xebat,көдлмш
280,Gast::N,mêvan,гиич
281,Geschenk::N,diyarî,белг
282,Spiel::N,lîstik,наадн
283,Gesellschaft::N,komal,олн
284,Hilfe::N,alîkarî,нөкд
285,Freund::N,heval,иньг
286,Kamerad::N,heval,үр
287,Angelegenheit::N,pirsgirêk,керг
288,Anzahl::N,çend,то
289,Art::N,çeh,зүүл
290,Stück::N,lib,хусг
291,Stück::N,parçe,хусг
292,Teil::N,parçe,хүв
293,Hälfte::N,nîvî,өрәл
294,Kreis::N,çemil,төгрг
295,Kreuz::N,xaç,кирс
296,Linie::N,xezik,зурасн
297,Strich::N,xezik,татасн
298,Abstand::N,dûrahî,зә
299,Entfernung::N,dûrahî,һазр
300,Gegend::N,dever,һазр
301,Platz::N,çih,зә
302,Ort::N,dever,бәәрн
303,Seite::N,rûpel,тал
304,Seite::N,rûpel,хаҗу
305,Seite::N,rûpel,хәврһ
306,Mitte::N,nav,дунд
307,Mitte::N,nabênê,дунд
308,Gegenstand::N,tişt,юмн
309,Sache::N,tişt,юмн
310,Rand::N,kevî,зах
311,Kante::N,kevî,ирмәг
312,Ecke::N,qunç,өнцг
313,Spitze::N,derzî,үзүр
314,Ende::N,talî,үзүр
315,Loch::N,qul,хаһрха
316,Winkel::N,kurnîşk,булң
317,Muster::N,desen,намч
318,Größe::N,mezinî,кемҗән
319,Länge::N,dirêjahî,ут
320,Höhe::N,bilindayî,өндр
321,Gewicht::N,giranî,күнд
322,Gewicht::N,giranî,чиңнүр
323,Menge::N,qas,ик
324,Haufen::N,lod,ова
325,Reihe::N,rêz,зерг
326,Reihe::N,rêz,зерглән
327,Boot::N,kelek,оңһц
328,Ruder::N,bêrik,хәәв
329,Schlitten::N,xîjik,цан
330,Ski::N,lakan,лыҗ
331,Lagerfeuer::N,agir,костёр
332,Last::N,bar,күнд
333,Gang::N,fîtêz,йовлһн
334,Schritt::N,gav,ишкм
335,Norden::N,bakur,ар үзг
336,Süden::N,başur,өмн
337,Süden::N,başur,өмн үзг
338,Westen::N,rojava,барун
339,Westen::N,rojava,барун үзг
340,Osten::N,rojhilat,зүн
341,Osten::N,rojhilat,зүн үзг
342,Holz::N,dep,модн
343,Brett::N,dep,харһа
344,Platte::N,dep,хавтха чолун
345,Stütze::N,destek,тулг
346,Stange::N,sing,уньн
347,Stock::N,çam,модн
348,Stab::N,qat,шуург
349,Rohr::N,borî,турва
350,Haus::N,mal,гер
351,Haus::N,xanî,гер
352,Heim::N,mal,гер-бул
353,Ofen::N,sobe,беш
354,Fußboden::N,binpê,девскр
355,Tisch::N,mase,ширә
356,Stuhl::N,kursî,стул
357,Wiege::N,derguş,өлгә
358,Wiege::N,derguş,дүүҗң
359,Bett::N,qerewêle,орн
360,Bett::N,qerewêle,орндг
361,Regal::N,rêbaz,таг
362,Regal::N,rêbaz,тәвц
363,Kiste::N,sindoq,яршг
364,Fenster::N,çam,терз
365,Fenster::N,şibeke,терз
366,Tür::N,derî,үүдн
367,Tor::N,derge,үүдн
368,Tor::N,derge,өргн үүдн
369,Tor::N,derge,хашан үүдн
370,Zaun::N,hejik,хаша
371,Dach::N,sere xanî,деевр
372,Leiter::N,pêling,шат
373,Leiter::N,pêling,давшур
374,Besen::N,melkes,сәвүр
375,Spaten::N,mer,күрз
376,Schaufel::N,bêr,совг
377,Gabel::N,çetel,серә
378,Löffel::N,kevçî,ухр
379,Messer::N,kêr,утх
380,Nagel::N,bizmar,хадасн
381,Netz::N,tor,гөлм
382,Haken::N,çenqel,дегә
383,Griff::N,destî,иш
384,Griff::N,destî,бәрүл
385,Schloss::N,qonax,оньс
386,Bild::N,dimen,зург
387,Figur::N,figûr,фигур
388,Puppe::N,bûk,наадһа
389,Beutel::N,kîsik,мишг
390,Bündel::N,pêçek,багла
391,Bündel::N,pêçek,боодһа
392,Tasche::N,bêrîk,сумк
393,Eimer::N,dewl,суулһ
394,Deckel::N,devik,бүркәсн
395,Geschirr::N,ferax,сав
396,Geschirr::N,ferax,сав-сарх
397,Sack::N,tûr,мишг
398,Tasse::N,kada,ааһ
399,Topf::N,beroş,кастрюль
400,Kessel::N,şîril,хәәсн
401,Essen::N,xwarin,зоогллһн
402,Nahrung::N,xwarin,теҗәл
403,Speise::N,xwarin,хот
404,Fleisch::N,goşt,махн
405,Getreide::N,zad,хот болҗ эдлгддг цецгүдтә урһмл
406,Brei::N,hewdêl,хаш
407,Brot::N,,өдмг
408,Scheibe::N,parçe,зүсм
409,Fett::N,rûn,өөкн
410,Butter::N,rûn,тосн
411,Öl::N,rûn,тосн
412,Salz::N,xwe,давсн
413,Suppe::N,şorbe,шөлн
414,Honig::N,hingiv,бал
415,Milch::N,şîr,үсн
416,Tee::N,çay,цә
417,Leder::N,çerm,арсн
418,Wolle::N,herî,утцн
419,Wolle::N,herî,эд
420,Stoff::N,paç,эд
421,Nadel::N,derzî,зүн
422,Faden::N,ta,утцн
423,Knopf::N,bişkok,товч
424,Knoten::N,girêk,зәңгдә
425,Farbe::N,boyax,будг
426,Kleidung::N,çil,хувцн
427,Kleidung::N,çil,хувц-хунр
428,Hemd::N,qutik,киилг
429,Hemd::N,miltan,киилг
430,Kragen::N,stûvang,зах
431,Ärmel::N,hûçik,ханцн
432,Hose::N,şewel,шалвур
433,Gürtel::N,qayiş,бүс
434,Mütze::N,fîno,махла
435,Schuh::N,şêkal,башмгуд
436,Stiefel::N,gizme,һосн
437,Stiefel::N,çizme,һосн
438,Ring::N,xelek,билцг
439,Band::N,band,лент
440,Kamm::N,şeh,сам
441,Spiegel::N,eynik,толь
442,Riemen::N,qayiş,бүс
443,Schnur::N,doxin,деесн
444,Leine::N,şirît,бурнтг
445,Leine::N,şirît,нохан көтлвр
446,Decke::N,bataniye,көнҗл
447,Kissen::N,balgî,дер
448,Tuch::N,şar,альчур
449,Handtuch::N,dezmal,полотенц
450,Handtuch::N,dezmal,һар-нүүрин альчур
451,Kraft::N,hêz,күчн
452,Kraft::N,qewet,күчн
453,Stärke::N,xurtî,чидл
454,Gesundheit::N,nojdarî,эрүл-менд
455,Krankheit::N,nexweşî,өвчн
456,Schmerz::N,êş,өвдлһн
457,Wunde::N,kul,шав
458,Fieber::N,ta,безг
459,Arznei::N,derman,эм
460,Brücke::N,kopî,тагт
461,Brunnen::N,çal,худг
462,Brunnen::N,kani,худг
463,Weide::N,beyar,малын идг
464,Pfad::N,xaçirek,цувг
465,Weg::N,rê,хаалһ
466,Straße::N,rê,зам
467,Dorf::N,gund,хотн
468,Stadt::N,baçar,балһсн
469,Brief::N,name,бичг
470,Buch::N,kitêb,дегтр
471,Buch::N,pirtûk,дегтр
472,Buchstabe::N,herf,үзг
473,Zeitung::N,rojname,газет
474,Leben::N,jiyan,җирһл
475,Tod::N,mirin,үкл
476,Tod::N,mirin,өңгрлһн
477,Grab::N,mezel,оршалһна нүкн
478,Kirche::N,gilyas,чонҗ
479,Sünde::N,guneh,нүл
480,Sünde::N,guneh,килнц
481,Gott::N,xwedê,бурхн
482,Arbeiter::N,hîşçî,көдлмшч
483,Chef::N,bêg,толһач
484,Meister::N,hoste,урн
485,Arzt::N,doktor,эмч
486,Lehrer::N,mamoste,багш
487,Geld::N,pere,мөңгн
488,Geschäft::N,firoşgeh,көдлмш
489,Laden::N,dikan,лавк
490,Preis::N,buha,үн
491,Ware::N,tişt,эд-тавр
492,Nutzen::N,fêde,олз
493,Reichtum::N,serwet,зөөр
494,Welt::N,dinya,орчлң
495,Welt::N,dinya,делкә
496,Land::N,welat,орн-нутг
497,Staat::N,dewlet,государств
498,König::N,şah,хан
499,König::N,qral,хан
500,Macht::N,qewet,йосн
501,Macht::N,destihilat,йосн
502,Grenze::N,kevî,меҗә
503,Krieg::N,çeng,дән
504,Krieg::N,sêwaş,дән
505,Feind::N,dijmin,дәәсн
506,Gewalt::N,zor,күч һарһлһн
507,Kampf::N,şer,ноолдан
508,Kampf::N,şer,бәрлдлһн
509,Bogen[Waffe]::N,kêvan,саадг
510,Pfeil::N,çîrik,сумн
511,Gewehr::N,tifing,бу
512,Fehler::N,şaşî,алдг
513,Lüge::N,derew,худл
514,Schaden::N,xisar,хорлт
515,Unglück::N,bêbextî,гүрм
516,Schuld::N,suç,гем
517,Schuld::N,suç,буру
518,Alter::N,temen,насн
519,Schluss::N,girtin,чилгч
520,Zeit::N,çax,цаг
521,Tag::N,roj,өдр
522,Morgen::N,sibeh,өрүн
523,Mittag::N,nîro,үд
524,Abend::N,êvar,асхн
525,Nacht::N,şev,сө
526,Woche::N,heftî,долан хонг
527,Monat::N,meh,сар
528,Jahr::N,sal,җил
529,Frühling::N,bihar,хавр
530,Sommer::N,havîn,зун
531,Herbst::N,payîz,намр
532,Winter::N,zistan,үвл
533,Januar::N,çile,январь
534,Februar::N,sibat,февраль
535,März::N,adar,март
536,März::N,adar,моһа сар
537,April::N,nîsan,апрель
538,Mai::N,gûlan,май
539,Juni::N,hezîran,июнь
540,Juni::N,hezîran,мөчн сар
541,Juli::N,tîmeh,июль
542,August::N,tebax,август
543,September::N,îlon,һаха сар
544,Oktober::N,çotmeh,октябрь
545,November::N,mijdar,ноябрь
546,November::N,mijdar,үкр сар
547,Dezember::N,kanûn,бар сар
548,Montag::N,duşemb,понедельник
549,Dienstag::N,sêşem,вторник
550,Mittwoch::N,çarşemb,среда
551,Mittwoch::N,çarşemb,үлмҗ өдр
552,Donnerstag::N,pêşemb,четверг
553,Donnerstag::N,pêşemb,пүрвә өдр
554,Freitag::N,în,пятниц
555,Samstag::N,şemî,суббот
556,Sonntag::N,yekşemb,нарн өдр
557,Sonntag::N,yekşemb,воскресень
558,groß::A,mezin,ик
559,klein::A,çûçik,бичкн
560,lang::A,dirêj,ут
561,kurz::A,kin,оһтр
562,breit::A,fireh,өргн
563,schmal::A,tenik,уутьхн
564,dicht::A,gir,нигт
565,dick[Gegenstand]::A,şîşman,зузан
566,dünn::A,zirav,нимгн
567,fein::A,tenik,нәрхн
568,fest::A,saxlem,бат
569,flach::A,pahn,хавтха
570,glatt::A,dûz,тегш
571,glatt::A,dûz,тиньгр
572,glatt::A,şayîk,тегш
573,glatt::A,şayîk,тиньгр
574,hart::A,hişk,хату
575,weich::A,nerm,җөөлн
576,weich::A,nerm,җөөлкн
577,rund::A,gilover,төгрг
578,spitz::A,pîj,шовһр
579,scharf::A,tûj,хурц
580,stumpf::A,ne tûj,мука
581,schwer::A,giran,күнд
582,schön::A,xweş,сәәхн
583,schön::A,xweşik,сәәхн
584,heiß::A,kelandî,халун
585,warm::A,germ,дулан
586,kalt::A,sar,киитн
587,kühl::A,jemîrî,серүн
588,frisch::A,ter,серүн
589,feucht::A,şil,чиигтә
590,nass::A,şilek,чиигтә
591,trocken::A,zuwa,хагсу
592,voll::A,tijî,дүүрң
593,leer::A,vala,сул
594,leer::A,vala,хоосн
595,offen::A,vekirî,секәтә
596,geschlossen::A,asê,хаалһата
597,sauber::A,pakij,цевр
598,schmutzig::A,lewitî,киртә
599,roh::A,xav,түүкә
600,reif::A,gihaştî,болсн
601,lecker::A,xweş,әмтәхн
602,süß::A,şîrîn,әмтәхн
603,bitter::A,tahl,һашун
604,bitter::A,tahl,һашута
605,sauer::A,tirş,ишклң
606,hell::A,ronî,герлтә
607,dunkel::A,tarî,харңһу
608,schwarz::A,reş,хар
609,weiß::A,sipî,цаһан
610,rot::A,sor,улан
611,gelb::A,zer,шар
612,blau::A,şîn,көк
613,grün::A,şîn,көк
614,grau::A,gewr,бор
615,bunt::A,rengîn,алг
616,bunt::A,rengîn,эрәтә
617,billig::A,erzan,кимд
618,teuer::A,biha,үнтә
619,wertvoll::A,hêja,үнтә
620,wertvoll::A,hêja,эрднь
621,wertvoll::A,giranbiha,үнтә
622,wertvoll::A,giranbiha,эрднь
623,blind::A,kor,сохр
624,taub::A,kerr,дүлә
625,kräftig::A,gir,күчтә
626,kräftig::A,xurt,күчтә
627,stark::A,xurt,чаңһ
628,schwach::A,kesad,күчн тату
629,fett::A,qelew,тарһн
630,schlank::A,zirav,эццн
631,hübsch::A,xweşik,көркхн
632,böse::A,xerab,уурта
633,böse::A,aciz,уурта
634,dumm::A,gêj,тенг
635,faul::A,têmbêl,залху
636,fleißig::A,jêhatî,кинән
637,fleißig::A,jêhatî,кинмһә
638,geizig::A,destgirtî,ховдг
639,klug::A,baqil,ухата
640,geschickt::A,zîrek,чадмг
641,geschickt::A,ziring,чадмг
642,lieb::A,delal,эңкр
643,lustig::A,kêfxweş,сергмҗтә
644,lustig::A,kêfxweş,җирһлтә
645,sanft::A,nazenîn,номһн
646,hungrig::A,birçî,өлн
647,hungrig::A,birçî,харһнсн
648,krank::A,nexweş,өвчтә
649,krank::A,nexweş,шалтгта
650,nackt::A,rût,нүцкн
651,nackt::A,tazî,нүцкн
652,traurig::A,xemgîn,һундлта
653,lebendig::A,bisaxî,әмд
654,gut::A,baş,сән
655,schlecht::A,xerab,му
656,richtig::A,rast,зөвтә
657,richtig::A,saxlem,зөвтә
658,schlimm::A,nebaş,җигшүртә
659,wahr::A,rast,үнн
660,wahr::A,rast,мөн
661,alt::A,pîr,хуучн
662,alt::A,kevn,хуучн
663,neu::A,nû,шин
664,ehemalig::A,kevnar,хуучн
665,ehemalig::A,peşidar,хуучн
666,alt[Lebewesen]::A,pîr,көгшн
667,jung::A,xort,баһ
668,arm::A,feqîr,угатя
669,arm::A,desteng,угатя
670,reich::A,dewlemend,байн
671,bekannt::A,naskirî,таньл
672,bekannt::A,naskirî,таньдг
673,berühmt::A,navdar,туурсн
674,fremd::A,xerîb,күүнә
675,verschieden::A,çîhê,әдл биш
676,verschieden::A,çîhê,йилһәтә
677,nah::A,nêzîk,өөрхн
678,fern::A,dûr,хол
679,linker::A,çepê,зүн
680,rechter::A,rastê,барун
681,anderer::A,yê din,талдан
682,erster::A,yekemîn,негдгч
683,zweiter::A,duda,хойрдгч
684,dritter::A,sisêya,һурвдгч
685,letzter::A,paşîn,отхн
686,allein::ADV,tenê,һанцарн
687,auf einmal::ADV,jar kê,нег дәкҗ
688,zusammen::ADV,tev,хамдан
689,zusammen::ADV,bi hev re,хамдан
690,lange::ADV,dirêj,удан
691,plötzlich::ADV,ji nişkave,генткн
692,sofort::ADV,yekser,дарунь
693,später::ADV,paşiyê,сүүлд
694,jetzt::ADV,nuha,ода
695,heute::ADV,îro,эндр
696,morgen::ADV,sibeh,маңһдур
697,bald::ADV,nêzîk,дарунь
698,dann::ADV,paşê,дәкәд
699,gestern::ADV,do,өцклдүр
700,einst::ADV,jar ke,нег саамд
701,damals::ADV,hîngî,тиигхд
702,danach::ADV,piştra,тегәд
703,vorher::ADV,pîşî,урд
704,zuerst::ADV,bere,түрүләд
705,einmal::ADV,çarik,нег дәкҗ
706,manchmal::ADV,çarna,зәрмдән
707,oft::ADV,gelek çaran,хара биш
708,oft::ADV,gelek çaran,хатяр биш
709,oft::ADV,gelek çaran,дару-дарунь
710,immer::ADV,daîm,оньдинд
711,niemals::ADV,tu çar,кезә чмгн биш
712,hier::ADV,li vir,энд
713,hier::ADV,li vir,энүнд
714,hierhin::ADV,vir,нааран
715,von hier::ADV,ji vir,эндәс
716,dort::ADV,li wê derê,тенд
717,dorthin::ADV,wêda,тиигән
718,geradeaus::ADV,rastê rast,шуд
719,vorwärts::ADV,ber bi pêş,уралан
720,rückwärts::ADV,paşpê,гедргән
721,zurück::ADV,paşdo,хәрү
722,zurück::ADV,paşvê,хәрү
723,unten::ADV,jêrî,дор
724,hinab::ADV,berjêr,дор
725,hinab::ADV,berjêr,доракшан
726,oben::ADV,banî,деер
727,hinauf::ADV,banî,өөдән
728,hinauf::ADV,banî,деер
729,überall::ADV,li her derê,альд болв чигн
730,nicht::ADV,ne,эс
731,nicht::ADV,ne,биш
732,nicht::ADV,ne,бичә
733,nicht::ADV,nîn,эс
734,nicht::ADV,nîn,биш
735,nicht::ADV,nîn,бичә
736,nicht::ADV,tine,эс
737,nicht::ADV,tine,биш
738,nicht::ADV,tine,бичә
739,ein wenig::ADV,hebkî,баахн
740,ein wenig::ADV,hebkî,баахнар
741,kaum::ADV,tema,әрә
742,kaum::ADV,himangi,әрә
743,sehr::ADV,gelek,йир
744,so::ADV,weha,иигҗ
745,noch::ADV,hêj,ода чигн
746,noch::ADV,dîsa,ода чигн
747,nur::ADV,tenê,һанцхн
748,nur::ADV,bes,һанцхн
749,schon::ADV,hew,одх
750,wieder::ADV,jar din,бас
751,wieder::ADV,dîsa,бас
752,vergebens::ADV,deya çun,киидән
753,vergebens::ADV,îfleh bûn,киидән
754,vor::PRP,li ber,урд
755,hinter::PRP,li pişt,ца
756,unter::PRP,li bin,дор
757,durch::PRP,kura,ивт
758,durch::PRP,kura,дундаһур
759,neben::PRP,li ba,хаҗуд
760,zwischen::PRP,nabeyne,хоорнд
761,zwischen::PRP,di nav...da,хоорнд
762,wegen::PRP,ji bo,көлтә
763,wegen::PRP,ji bo,деерәс
764,wegen::PRP,ji ber,көлтә
765,wegen::PRP,ji ber,деерәс
766,dies::PRN,ev,эн
767,das::PRN,ev,тер
768,alles::PRN,hemû,цуһар
769,ich::PRN,ez,би
770,du::PRN,tu,чи
771,er::PRN,wî,тер
772,wir::PRN,êm,мадн
773,ihr::PRN,hûn,та
774,sie::PRN,we,тедн
775,was::FPRN,çi,юн
776,wer::FPRN,ki,кен
777,wo::FADV,li ku dere,хама
778,wohin::FADV,li ku dere,хамаран
779,wie::FADV,çawa,яһҗ
780,wie::FADV,çawa,яһад
781,warum::FADV,çima,юңгад
782,wieviel::FNUM,çend,кедү
783,eins::NUM,yek,негн
784,zwei::NUM,didu,хойр
785,drei::NUM,sisê,һурвн
786,vier::NUM,çar,дөрвн
787,fünf::NUM,penç,тавн
788,sechs::NUM,şeş,зурһан
789,sieben::NUM,heft,долан
790,acht::NUM,heşt,нәәмн
791,neun::NUM,neh,йисн
792,zehn::NUM,deh,арвн
