,Concept_ID,bn,et
90,Regenbogen::N,রামধনু,vikerkaar
91,Donner::N,বজ্রধ্বনি,kõu
92,Donner::N,বজ্রধ্বনি,müristamine
93,Strömung::N,স্রোত,voolus
94,Strömung::N,স্রোত,jõevool
95,Tropfen::N,ফোঁটা,tilk
96,Schaum::N,ফেনা,vaht
97,Schmutz::N,ধুলা,pori
98,Schmutz::N,ধুলা,mustus
99,See::N,হ্রদ,järv
100,Sumpf::N,জলা,soo
101,Moor::N,মাঠ,raba
102,Wiese::N,তৃণভূমি,aas
103,Wiese::N,তৃণভূমি,nurm
104,Wald::N,বন,mets
105,Hügel::N,পাহাড়,küngas
106,Anhöhe::N,টিলা,küngas
107,Berg::N,পর্বত,mägi
108,Gipfel::N,শীর্ষ,mäetipp
109,Höhle::N,গুহা,koobas
110,Abhang::N,ঢাল,nõlvak
111,Quelle::N,উৎস,allikas
112,Bach::N,ক্ষুদ্র নদী,oja
113,Fluss::N,নদী,jõgi
114,Ufer::N,উপকূল,kallas
115,Küste::N,তীর,rannik
116,Festland::N,ভূমি,mander
117,Festland::N,ভূমি,maismaa
118,Meer::N,সমুদ্র,meri
119,Bucht::N,উপসাগর,laht
120,Insel::N,দ্বীপ,saar
121,Blume::N,ফুল,lill
122,Gras::N,ঘাস,rohi
123,Wurzel::N,শিকড়,juur
124,Baum::N,গাছ,puu
125,Stamm::N,স্কন্ধ,tüvi
126,Rinde::N,বল্কল,koor
127,Ast::N,শাখা,oks
128,Zweig::N,ডাল,oks
129,Blatt::N,পর্ণ,leht
130,Birke::N,ভুর্জ,kask
131,Kiefer[Baum]::N,পাইন গাছ,mänd
132,Weide[Baum]::N,উইলো,paju
133,Tanne::N,দেবদারূ গাছ,nulg
134,Horn::N,শিং,sarv
135,Feder::N,পালক,sulg
136,Fell::N,রোম,karvkate
137,Fell::N,রোম,karusnahk
138,Flügel::N,ডানা,tiib
139,Flügel::N,ডানা,tiivik
140,Klaue::N,নখর,küüs
141,Kralle::N,নখর,küünis
142,Schwanz::N,লেজ,saba
143,Ei::N,ডিম,muna
144,Nest::N,কুলায়,pesa
145,Bau::N,ডেরা,urg
146,Tier::N,জন্তু,loom
147,Herde::N,ঝাঁক,kari
148,Kuh::N,গোরু,lehm
149,Bulle::N,বৃষ,pull
150,Pferd::N,ঘোড়া,hobune
151,Schaf::N,ভেড়া,lammas
152,Schwein::N,শূকর,siga
153,Hund::N,কুকুর,koer
154,Katze::N,বেড়াল,kass
155,Bär::N,ভল্লুক,karu
156,Eichhörnchen::N,কাঠবিড়াল,orav
157,Elch::N,হরিণবিশেষ,põder
158,Fuchs::N,পাঁতিশিয়াল,rebane
159,Hase::N,শশক,jänes
160,Maus::N,নেংটি ইঁদুর,hiir
161,Wolf::N,নেকড়ে,hunt
162,Vogel::N,পক্ষী,lind
163,Schwarm::N,ঝাঁক,parv
164,Huhn::N,মোরগ,kana
165,Hahn::N,কুক্কুট,kukk
166,Gans::N,হংসী,hani
167,Adler::N,ইগল,kotkas
168,Ente::N,হংসী,part
169,Eule::N,পেচক,kakk
170,Eule::N,পেচক,öökull
171,Kranich::N,সারস,kurg
172,Krähe::N,কাক,vares
173,Kuckuck::N,কোকিল,kägu
174,Schwan::N,মরাল,luik
175,Fisch::N,মাছ,kala
176,Barsch::N,মৎন্যবিশেষ,ahven
177,Hecht::N,বানমাছ,haug
178,Schlange[Tier]::N,সর্প,uss
179,Wurm::N,কীট,uss
180,Wurm::N,কীট,vagel
181,Spinne::N,মাকড়সা,ämblik
182,Ameise::N,পিপীলিকা,sipelgas
183,Laus::N,উকুন,täi
184,Mücke::N,মশা,sääsk
185,Fliege::N,মাছি,kärbes
186,Schmetterling::N,প্রজাপতি,liblikas
187,Beere::N,বেরি,mari
188,Apfel::N,আপেল,õun
189,Pilz::N,ছত্রক,seen
190,Zwiebel::N,পিয়াজ,sibul
191,Saat::N,বীজ,seeme
192,Korn::N,শস্য,iva
193,Korn::N,শস্য,tera
194,Heu::N,খড়,hein
195,Schale::N,খোসা,koor
196,Grube::N,গর্ত,kaevand
197,Falle::N,ফাঁদ,lõks
198,Falle::N,ফাঁদ,püünis
199,Schlinge::N,পাশ,aas
200,Spur::N,চিহ্ন,jälg
201,Asche::N,ভস্ম,tuhk
202,Dreck::N,ময়লা,saast
203,Dreck::N,ময়লা,mustus
204,Eisen::N,লোহা,raud
205,Gold::N,স্বর্ণ,kuld
206,Silber::N,রৌপ্য,hõbe
207,Kohle::N,অঙ্গার,süsi
208,Glas::N,কাচ,klaas
209,Lehm::N,মৃত্তিকা,savi
210,Sand::N,বালি,liiv
211,Mensch::N,নর,inimene
212,Mensch::N,মানুষ,inimene
213,Mann::N,মানুষ,mees
214,Frau::N,নারী,naine
215,Kind::N,বাচ্চা,laps
216,Junge::N,ছেলে,poiss
217,Mädchen::N,মেয়ে,tüdruk
218,Familie::N,পরিবার,perekond
219,Großvater::N,মাতামহ,vanaisa
220,Großmutter::N,মাতামহী,vanaema
221,Eltern::N,মাতাপিতা,vanemad
222,Vater::N,পিতা,isa
223,Mutter::N,মাতা,ema
224,Sohn::N,ছেলে,poeg
225,Tochter::N,মেয়ে,tütar
226,Bruder::N,দাদা,vend
227,Schwester::N,বোন,õde
228,Schwester::N,দিদি,õde
229,Onkel::N,মামা,onu
230,Tante::N,মাসী,tädi
231,Ehemann::N,স্বামী,mees
232,Ehemann::N,স্বামী,abikaasa
233,Ehefrau::N,পত্নী,naine
234,Ehefrau::N,পত্নী,abikaasa
235,Freude::N,উল্লাস,rõõm
236,Gelächter::N,হাসি,naer
237,Glück::N,সুখ,õnn
238,Kummer::N,দুঃখ,mure
239,Kummer::N,দুঃখ,kurbus
240,Wunsch::N,আকাঙ্ক্ষা,soov
241,Lust::N,বাসনা,himu
242,Geist::N,আত্না,vaim
243,Gedanke::N,চিন্তা,mõte
244,Gedächtnis::N,স্মরণশক্তি,mälu
245,Verstand::N,মন,aru
246,Verstand::N,মন,mõistus
247,Sinn::N,পদার্থ,tähendus
248,Grund::N,কারণ,põhjus
249,Wahrheit::N,সত্য,tõde
250,Gespräch::N,কথাবার্তা,kõne
251,Gespräch::N,কথাবার্তা,vestlus
252,Märchen::N,রূপকথা,muinasjutt
253,Erzählung::N,গল্প,jutustus
254,Nachricht::N,তথ্য,teade
255,Neuigkeit::N,খবরাখবর,uudis
256,Name::N,নাম,nimi
257,Rätsel::N,ধাঁধা,mõistatus
258,Rede::N,বক্তৃতা,kõne
259,Sprache::N,ভাষা,keel
260,Stimme::N,স্বর,hääl
261,Wort::N,শব্দ,sõna
262,Zeichen::N,প্রতীক,märk
263,Ruf::N,ডাক,hüüe
264,Lärm::N,হৈচৈ,müra
265,Laut::N,ধ্বনি,hääl
266,Ton::N,স্বর,toon
267,Lied::N,গান,laul
268,Ruhe::N,শান্তি,rahu
269,Ruhe::N,শান্তি,vaikus
270,Leute::N,প্রজাপুঞ্জ,inimesed
271,Volk::N,জাতি,rahvas
272,Arbeit::N,চাকরি,töö
273,Gast::N,অতিথি,külaline
274,Geschenk::N,উপহার,kingitus
275,Spiel::N,খেলা,mäng
276,Gesellschaft::N,সঙ্গিগণ,selts
277,Hilfe::N,সাহায্য,abi
278,Freund::N,বন্ধু,sõber
279,Kamerad::N,সঙ্গী,sõber
280,Angelegenheit::N,বিষয়,asi
281,Anzahl::N,পরিমাণ,arv
282,Anzahl::N,পরিমাণ,hulk
283,Art::N,রকম,liik
284,Stück::N,টুকরো,tükk
285,Teil::N,অংশ,osa
286,Hälfte::N,অর্ধেক,pool
287,Kreis::N,বৃত্ত,ring
288,Kreuz::N,ক্রুশ,rist
289,Linie::N,রেখা,joon
290,Strich::N,কষি,joon
291,Abstand::N,ফাঁক,vahe
292,Entfernung::N,ব্যবধান,kaugus
293,Entfernung::N,ব্যবধান,vahemaa
294,Gegend::N,ক্ষেত্র,ümbrus
295,Platz::N,জায়গা,ruum
296,Ort::N,স্থান,paik
297,Seite::N,পার্শ্ব,pool
298,Mitte::N,মধ্য,keskpaik
299,Gegenstand::N,জিনিস,ese
300,Sache::N,বস্তু,ese
301,Rand::N,কানা,äär
302,Rand::N,কানা,serv
303,Kante::N,ধার,kant
304,Ecke::N,কোণ,nurk
305,Spitze::N,ডগা,teravik
306,Ende::N,প্রান্ত,ots
307,Ende::N,প্রান্ত,jupp
308,Loch::N,গর্ত,auk
309,Winkel::N,কোণ,nurk
310,Muster::N,নমুন্,muster
311,Größe::N,আয়তন,suurus
312,Länge::N,দৈর্ঘ্য,pikkus
313,Höhe::N,উচ্চতা,kõrgus
314,Gewicht::N,ওজন,kaal
315,Gewicht::N,ওজন,raskus
316,Menge::N,পরিমাণ,arv
317,Menge::N,পরিমাণ,hulk
318,Haufen::N,পুঞ্জ,hunnik
319,Reihe::N,শ্রেণী,rivi
320,Boot::N,নৌকা,paat
321,Ruder::N,দাঁড়,aer
322,Schlitten::N,স্নেজ্-গাড়ি,saan
323,Ski::N,শী,suusk
324,Lagerfeuer::N,অগ্নি,lõke
325,Last::N,বোঝা,koorem
326,Gang::N,হণ্টন,käik
327,Schritt::N,পদ,samm
328,Norden::N,উত্তরদিক্,põhi
329,Süden::N,দক্ষিণদিক,lõuna
330,Westen::N,পশ্চিমদিক্,lääs
331,Osten::N,পূর্বদিক,ida
332,Holz::N,কাঠ,puu
333,Brett::N,তক্তা,saelaud
334,Platte::N,ফলক,plaat
335,Stütze::N,নাগদণ্ড,tugi
336,Stange::N,দণ্ড,latt
337,Stange::N,দণ্ড,teivas
338,Stock::N,ছড়ি,kepp
339,Stab::N,যষ্টি,varras
340,Rohr::N,নল,toru
341,Haus::N,ঘর,maja
342,Heim::N,বাসা,kodu
343,Ofen::N,স্টোভ্,ahi
344,Fußboden::N,গহতল,põrand
345,Tisch::N,মেজ,laud
346,Tisch::N,টেবিল,laud
347,Stuhl::N,চেয়ার,tool
348,Stuhl::N,কেদারা,tool
349,Wiege::N,দোলনা,häll
350,Wiege::N,দোলনা,kätki
351,Bett::N,শয্যা,voodi
352,Regal::N,তাক,riiul
353,Kiste::N,বাক্স,kast
354,Fenster::N,জানালা,aken
355,Tür::N,দ্বার,uks
356,Tor::N,দ্বার,värav
357,Zaun::N,বেড়া,aed
358,Zaun::N,বেড়া,tara
359,Dach::N,ছাদ,katus
360,Leiter::N,মই,redel
361,Besen::N,গুল্মবিশেষ,luud
362,Spaten::N,কোদাল,labidas
363,Schaufel::N,বেলচা,kühvel
364,Gabel::N,কাঁটা,kahvel
365,Löffel::N,চামচ,lusikas
366,Messer::N,ছুরি,nuga
367,Nagel::N,পেরেক,nael
368,Netz::N,জাল,võrk
369,Haken::N,কাচি,haak
370,Haken::N,কাচি,konks
371,Griff::N,হাতল,sang
372,Griff::N,হাতল,käepide
373,Schloss::N,তালা,lukk
374,Bild::N,ছবি,pilt
375,Bild::N,চিত্র,pilt
376,Figur::N,আকার,kuju
377,Figur::N,আকার,kujund
378,Puppe::N,পুতুল,nukk
379,Beutel::N,বটুয়া,paun
380,Bündel::N,আঁটি,kimp
381,Tasche::N,থলি,kott
382,Eimer::N,বাল্তি,pang
383,Eimer::N,বাল্তি,ämber
384,Deckel::N,আবরণ,kaas
385,Geschirr::N,থালা-বাসন,nõud
386,Sack::N,বস্তা,kott
387,Tasse::N,কাপ,tass
388,Topf::N,পাত্র,pada
389,Kessel::N,কেটলি,pada
390,Essen::N,আহার,söök
391,Nahrung::N,খাদ্য,toit
392,Speise::N,খাদ্য,roog
393,Fleisch::N,মাংস,liha
394,Getreide::N,শস্য,teravili
395,Brei::N,মণ্ড,puder
396,Brot::N,রুটি,sai
397,Brot::N,রুটি,leib
398,Scheibe::N,ফালি,viil
399,Scheibe::N,ফালি,viilukas
400,Fett::N,মেদ,rasv
401,Butter::N,মাখন,või
402,Öl::N,তৈল,õli
403,Salz::N,নুন,sool
404,Suppe::N,শুরুয়া,supp
405,Honig::N,মধু,mesi
406,Milch::N,দুধ,piim
407,Tee::N,চা,tee
408,Leder::N,পাকা চামড়া,nahk
409,Wolle::N,পশম,vill
410,Stoff::N,বস্ত্র,kangas
411,Nadel::N,সুচ,nõel
412,Faden::N,সূত্র,niit
413,Knopf::N,বোতাম,nööp
414,Knoten::N,গিঁট,sõlm
415,Farbe::N,রং,värv
416,Kleidung::N,কাপড়,riided
417,Kleidung::N,কাপড়,riietus
418,Hemd::N,শার্ট,särk
419,Kragen::N,গলবন্ধ,krae
420,Ärmel::N,আস্তিন্,varrukas
421,Hose::N,ট্রাউজার,püksid
422,Gürtel::N,কটিবন্ধ,vöö
423,Mütze::N,টুপি,müts
424,Schuh::N,জুতো,king
425,Stiefel::N,বুট,saabas
426,Ring::N,আংটি,sõrmus
427,Band::N,ফিতা,lint
428,Kamm::N,চিরুনি,kamm
429,Spiegel::N,আয়না,peegel
430,Riemen::N,চাবুক,rihm
431,Schnur::N,দড়ি,nöör
432,Leine::N,শিকল,jalutusrihm
433,Decke::N,কম্বল,tekk
434,Kissen::N,উপাধান,padi
435,Tuch::N,বস্ত্র,kalev
436,Handtuch::N,তোয়ালে,käterätik
437,Kraft::N,জোর,jõud
438,Stärke::N,শক্তি,tugevus
439,Gesundheit::N,স্বাস্থ্য,tervis
440,Krankheit::N,অসুখ,haigus
441,Krankheit::N,ব্যামো,haigus
442,Schmerz::N,যন্ত্রণা,valu
443,Wunde::N,ক্ষত,haav
444,Fieber::N,জ্বর,palavik
445,Arznei::N,ঔষধ,ravim
446,Brücke::N,সেতু,sild
447,Brunnen::N,কূপ,kaev
448,Weide::N,পশুচারণভূমি,karjamaa
449,Pfad::N,পথ,rada
450,Weg::N,পথ,tee
451,Straße::N,রাস্তা,tee
452,Dorf::N,গ্রাম,küla
453,Stadt::N,শহর,linn
454,Brief::N,চিঠি,kiri
455,Buch::N,বই,raamat
456,Buchstabe::N,অক্ষর,täht
457,Zeitung::N,সংবাদপত্র,ajaleht
458,Leben::N,জীবন,elu
459,Tod::N,মৃত্যু,surm
460,Grab::N,কবর,haud
461,Kirche::N,গির্জা,kirik
462,Sünde::N,পাপ,patt
463,Gott::N,দেবতা,jumal
464,Arbeiter::N,শ্রমিক,tööline
465,Chef::N,নেতা,ülemus
466,Chef::N,নেতা,juhataja
467,Meister::N,ব্যক্তি,meister
468,Arzt::N,চিকিৎসক,arst
469,Lehrer::N,অধ্যাপক,õpetaja
470,Geld::N,মুদ্রা,raha
471,Geld::N,টাকাপয়সা,raha
472,Geschäft::N,ব্যস্ততা,äri
473,Laden::N,দোকান,pood
474,Laden::N,দোকান,kauplus
475,Preis::N,মূল্য,hind
476,Ware::N,পণ্যদ্রব্য,kaup
477,Nutzen::N,সুবিধা,tulu
478,Nutzen::N,সুবিধা,kasulikkus
479,Reichtum::N,ধনদৌলত,rikkus
480,Welt::N,জগৎ,maailm
481,Land::N,খেত,maa
482,Staat::N,রাষ্ট্র,riik
483,König::N,রাজা,kuningas
484,Macht::N,প্রভাব,võim
485,Grenze::N,সীমা,piir
486,Krieg::N,যুদ্ধ,sõda
487,Feind::N,শত্রু,vaenlane
488,Gewalt::N,জোর,väevõim
489,Kampf::N,লড়াই,võitlus
490,Bogen[Waffe]::N,ধনুক,vibu
491,Pfeil::N,বাণ,nool
492,Gewehr::N,বন্দুক,püss
493,Fehler::N,ভুল,viga
494,Lüge::N,মিথ্যা,vale
495,Schaden::N,ক্ষতি,kahju
496,Unglück::N,দুর্ভাগ্য,häda
497,Unglück::N,দুর্ভাগ্য,õnnetus
498,Schuld::N,অপরাধ,süü
499,Alter::N,আয়ু,iga
500,Schluss::N,শেষ,lõpp
501,Zeit::N,সময়,aeg
502,Tag::N,দিন,päev
503,Morgen::N,সকাল,hommik
504,Mittag::N,মধ্যাহু,lõuna
505,Mittag::N,মধ্যাহু,keskpäev
506,Abend::N,সন্ধ্যা,õhtu
507,Nacht::N,রাত্রি,öö
508,Woche::N,সপ্তাহ,nädal
509,Monat::N,মাস,kuu
510,Jahr::N,সৌরবর্ষ,aasta
511,Frühling::N,বসন্তকাল,kevad
512,Sommer::N,গ্রীষ্মকাল,suvi
513,Herbst::N,শরংঋতু,sügis
514,Winter::N,শীতকাল,talv
515,Januar::N,জানুয়ারী,jaanuar
516,Februar::N,ফেব্রুয়ারী,veebruar
517,März::N,মার্চ,märts
518,April::N,এপ্রিল,aprill
519,Mai::N,মে,mai
520,Juni::N,জুন,juuni
521,Juli::N,জুলাই,juuli
522,August::N,অগাস্ট,august
523,September::N,সেপ্টেম্বর,september
524,Oktober::N,অক্টোবর,oktoober
525,November::N,নভেম্বর,november
526,Dezember::N,ডিসেম্বর,detsember
527,Montag::N,সোমবার,esmaspäev
528,Dienstag::N,মঙ্গলবার,teisipäev
529,Mittwoch::N,বুধবার,kesknädal
530,Donnerstag::N,বৃহম্পতিবার,neljapäev
531,Freitag::N,শুক্রবার,reede
532,Samstag::N,শনিবার,laupäev
533,Sonntag::N,রবিবার,pühapäev
534,groß::A,বৃহৎ,suur
535,klein::A,ছোট,väike
536,klein::A,ছোট,pisike
537,lang::A,দীর্ঘ,pikk
538,kurz::A,খর্ব,lühike
539,kurz::A,হ্রস্ব,lühike
540,breit::A,চওড়া,lai
541,schmal::A,সরু,kitsas
542,dicht::A,ঘন,tihe
543,dick[Gegenstand]::A,পুরু,jäme
544,dünn::A,কৃশ,õhuke
545,dünn::A,কৃশ,peenike
546,fein::A,সূক্ষ্ম,peen
547,fein::A,সূক্ষ্ম,õhuke
548,fest::A,দৃঢ়,püsiv
549,fest::A,দৃঢ়,kindel
550,flach::A,সমতল,lame
551,flach::A,সমতল,tasane
552,glatt::A,মসৃণ,sile
553,hart::A,শক্ত,kõva
554,weich::A,নরম,pehme
555,rund::A,গোলাকার,ümar
556,spitz::A,তীক্ষ্ন,torkav
557,scharf::A,শাণিত,terav
558,stumpf::A,ভোঁতা,nüri
559,schwer::A,ভারী,raske
560,schön::A,সুন্দর,kena
561,heiß::A,গরম,kuum
562,heiß::A,গরম,palav
563,warm::A,ঈষদুষ্ণ,soe
564,kalt::A,ঠাণ্ডা,külm
565,kühl::A,শীতল,jahe
566,frisch::A,তাজা,värske
567,feucht::A,ভিজা,niiske
568,nass::A,ভিজা,märg
569,trocken::A,শুষ্ক,kuiv
570,voll::A,পূর্ণ,täis
571,leer::A,খালি,tühi
572,offen::A,খোলা,avatud
573,offen::A,খোলা,lahtine
574,geschlossen::A,বন্ধ,suletud
575,sauber::A,নির্মল,puhas
576,schmutzig::A,নোংরা,räpane
577,schmutzig::A,নোংরা,määrdunud
578,roh::A,কাঁচা,toores
579,reif::A,পাকা,küps
580,lecker::A,সুস্বাদ,hõrk
581,lecker::A,সুস্বাদ,maitsev
582,süß::A,মিষ্ট,magus
583,bitter::A,তিক্ত,mõru
584,sauer::A,টক,hapu
585,hell::A,উজ্জ্বল,hele
586,dunkel::A,অন্ধকারময়,pime
587,schwarz::A,কালো,must
588,weiß::A,সাদা,valge
589,rot::A,লাল,punane
590,gelb::A,হলদে,kollane
591,blau::A,নীল,sinine
592,grün::A,সবুজ,roheline
593,grau::A,ছাই-রঙা,hall
594,bunt::A,রঙিন,kirju
595,bunt::A,রঙিন,värviline
596,billig::A,সস্তা,odav
597,teuer::A,আক্রা,kallis
598,wertvoll::A,মহার্ঘ,väärtuslik
599,blind::A,কানা,pime
600,taub::A,বধির,kurt
601,kräftig::A,বিশাল,jõuline
602,stark::A,শক্তিশালী,tugev
603,schwach::A,দুর্বল,nõrk
604,schwach::A,দুর্বল,jõuetu
605,fett::A,মোটা,rasvane
606,schlank::A,কৃশ,sale
607,hübsch::A,সুন্দর,kena
608,böse::A,খারাপ,tige
609,dumm::A,মূর্খ,juhm
610,dumm::A,মূর্খ,rumal
611,faul::A,শ্রমবিমুখ,laisk
612,fleißig::A,পরিশ্রমী,virk
613,fleißig::A,পরিশ্রমী,hoolas
614,geizig::A,ব্যয়কুণ্ঠ,ihne
615,klug::A,দক্ষ,tark
616,klug::A,দক্ষ,arukas
617,klug::A,দক্ষ,mõistlik
618,geschickt::A,পটু,osav
619,lieb::A,প্রেয়,armas
620,lustig::A,প্রফুল্ল,lõbus
621,sanft::A,নম্র,õrn
622,hungrig::A,ক্ষুধার্ত,näljane
623,krank::A,অসুস্থ,haige
624,nackt::A,উলঙ্গ,alasti
625,traurig::A,দুঃখিত,kurb
626,lebendig::A,জীবিত,elus
627,gut::A,ভালো,hea
628,schlecht::A,মন্দ,halb
629,richtig::A,ঠিক,õige
630,schlimm::A,কদর্য,paha
631,wahr::A,বাস্তব,tõene
632,alt::A,পুরাতন,vana
633,neu::A,নব,uus
634,neu::A,নূতন,uus
635,ehemalig::A,পূর্বকালীন,endine
636,alt[Lebewesen]::A,বৃদ্ধ,vana
637,jung::A,তরুণ,noor
638,arm::A,ক্ষুদ্র,vaene
639,reich::A,ধনবান্,rikas
640,bekannt::A,সুপরিচিত,teada
641,bekannt::A,সুপরিচিত,tuttav
642,berühmt::A,বিখ্যাত,tuntud
643,fremd::A,বিদেশি,võõras
644,verschieden::A,বিসদৃশ,erinev
645,nah::A,নিকটবতী,lähedane
646,fern::A,দুরবতী,kauge
647,linker::A,বাম,vasak
648,rechter::A,ডান,parem
649,rechter::A,ডাইন,parem
650,anderer::A,অন্যতর,muu
651,anderer::A,অন্যতর,teine
652,erster::A,প্রথম,esimene
653,zweiter::A,দ্বিতীয়,teine
654,dritter::A,তৃতীয়,kolmas
655,letzter::A,সর্বশেষ,viimane
656,allein::ADV,একক,üksi
657,auf einmal::ADV,জলদি,korraga
658,auf einmal::ADV,জলদি,ühekorraga
659,zusammen::ADV,একসঙ্গে,koos
660,zusammen::ADV,একসঙ্গে,üheskoos
661,lange::ADV,লম্বা,kaua
662,plötzlich::ADV,হঠাৎ,äkki
663,plötzlich::ADV,হঠাৎ,järsku
664,sofort::ADV,মুহ্ণর্তমধ্যে,kohe
665,später::ADV,পশ্চাতে,hiljem
666,jetzt::ADV,এখন,nüüd
667,heute::ADV,আজ,täna
668,morgen::ADV,আগামিকাল,homme
669,bald::ADV,অস্পকালমধ্যে,pea
670,bald::ADV,অস্পকালমধ্যে,varsti
671,dann::ADV,তখন,siis
672,gestern::ADV,গতকাল,eile
673,einst::ADV,একবার মাত্র,vanasti
674,damals::ADV,তখন,tookord
675,danach::ADV,পরে,seejärel
676,vorher::ADV,আগে,enne
677,zuerst::ADV,আগে,enne
678,zuerst::ADV,আগে,esmalt
679,einmal::ADV,একবার,kord
680,einmal::ADV,একবার,üks kord
681,manchmal::ADV,কখনও কখনও,mõnikord
682,oft::ADV,ঘনঘন,tihti
683,oft::ADV,ঘনঘন,sageli
684,immer::ADV,সর্বদা,ikka
685,immer::ADV,সর্বদা,alati
686,niemals::ADV,কখলও নহে,mitte kunagi
687,hier::ADV,এখানে,siin
688,hierhin::ADV,এখানে,siia
689,von hier::ADV,ত্রই স্তান হইতে,siit
690,dort::ADV,ওখানে,seal
691,dorthin::ADV,ওখানে,sinna
692,geradeaus::ADV,অগ্রগামী,otse edasi
693,vorwärts::ADV,সন্মুখিকে,edasi
694,rückwärts::ADV,খিরিয়া,tagurpidi
695,zurück::ADV,পিঠ,tagasi
696,unten::ADV,নীচে,all
697,unten::ADV,নীচে,allpool
698,hinab::ADV,নিম্নগামী,alla
699,oben::ADV,উপরে,ülal
700,hinauf::ADV,উচ্চতর অংশে,üles
701,überall::ADV,সর্বত্র,kõikjal
702,nicht::ADV,না,ei
703,nicht::ADV,না,mitte
704,ein wenig::ADV,অল্প,veidi
705,ein wenig::ADV,অল্প,natuke
706,kaum::ADV,কষ্টসহকাবে,vaevalt
707,sehr::ADV,খুব,väga
708,so::ADV,তত,nii
709,noch::ADV,এখন পর্যস্ত,veel
710,nur::ADV,শুধু,ainult
711,schon::ADV,ইতঃপুর্বে,juba
712,wieder::ADV,আবার,jälle
713,vergebens::ADV,বিফলে,asjata
714,vor::PRP,সম্মুখে,ees
715,hinter::PRP,পশ্চাতে,taha
716,unter::PRP,নীচে,all
717,durch::PRP,দ্বারা,läbi
718,durch::PRP,দ্বারা,kaudu
719,neben::PRP,কাছে,kõrval
720,zwischen::PRP,মধ্যে,vahel
721,wegen::PRP,জন্য,tõttu
722,wegen::PRP,জন্য,pärast
723,dies::PRN,এটা,see
724,das::PRN,ওটা,see
