,Concept_ID,lez,tr
1088,bedecken::V,кӏевун,kaplamak
1089,aufhängen::V,куьрсарун,asmak
1090,anzünden::V,куькӏуьрун,yakmak
1091,anzünden::V,куькӏуьрун,ateşlemek
1092,aufheben::V,хкажун,kaldırmak
1093,zurücklassen::V,тун,geride bırakmak
1094,verlieren::V,квадарун,yitirmek
1095,verlieren::V,квадарун,kaybetmek
1096,fallen lassen::V,авадрун,düşürmek
1097,machen::V,авун,yapmak
1098,machen::V,кар авун,yapmak
1099,herstellen::V,расун,yapmak
1100,herstellen::V,расун,imal etmek
1101,bauen::V,туькӏуьрун,kurmak
1102,bauen::V,туькӏуьрун,inşa etmek
1103,reparieren::V,расун,onarmak
1104,reparieren::V,расун,tamir etmek
1105,verbessern::V,хъсанрун,düzeltmek
1106,ändern::V,табдил авун,değiştirmek
1107,graben::V,эгъуьнун,kazmak
1108,beugen::V,акӏажарун,eğmek
1109,beugen::V,кангур авун,eğmek
1110,biegen::V,патахъарун,bükmek
1111,drehen::V,алчударун,çevirmek
1112,drehen::V,алчударун,döndürmek
1113,umdrehen::V,элкъуьрун,çevirmek
1114,heben::V,хкажун,kaldırmak
1115,hochheben::V,хкажун,yukarı kaldırmak
1116,ergreifen::V,агалчна кьун,tutmak
1117,ergreifen::V,агалчна кьун,yakalamak
1118,halten::V,кьун,tutmak
1119,drücken::V,чуькьуьн,sıkmak
1120,schieben::V,хуртӏ гун,itmek
1121,schieben::V,хуртӏ гун,sürmek
1122,kratzen::V,къадгъунун,kaşımak
1123,lecken::V,мез гун,yalamak
1124,beißen::V,кӏасун,ısırmak
1125,abreißen::V,галудун,koparmak
1126,abschneiden::V,атӏун,keserek ayırmak
1127,stecken::V,сухун,sokmak
1128,brechen::V,хун,kırmak
1129,brechen::V,кукӏварун,kırmak
1130,klopfen::V,тахъ-тахъ авун,çalmak
1131,hauen::V,ягъун,vurmak
1132,kleben::V,алкӏурун,yapıştırmak
1133,kleben::V,кукӏурун,yapıştırmak
1134,reiben::V,тӏушунун,ovmak
1135,reiben::V,тӏушунун,sürtmek
1136,streichen::V,алтадун,sürmek
1137,schleifen::V,кӏвенкӏв авун,bilemek
1138,schneiden::V,атӏун,kesmek
1139,rütteln::V,къарсурун,sallamak
1140,schütteln::V,къарсурун,sarsmak
1141,schütteln::V,къарсурун,çalkamak
1142,schwenken::V,элягъун,sallamak
1143,schwenken::V,галтадун,sallamak
1144,schütten::V,цун,dökmek
1145,schütten::V,цун,akıtmak
1146,füllen::V,ацӏурун,doldurmak
1147,einwickeln::V,кутун,sarmak
1148,einwickeln::V,элкъуьрун,sarmak
1149,tragen::V,тухун,taşımak
1150,schleppen::V,галчӏурун,sürüklemek
1151,ziehen::V,ялун,çekmek
1152,ziehen::V,чӏугун,çekmek
1153,aufbewahren::V,хуьн,saklamak
1154,werfen::V,гадрун,atmak
1155,fangen::V,кьун,tutmak
1156,fangen::V,кьун,yakalamak
1157,packen::V,кьун,tutmak
1158,packen::V,кьун,yakalamak
1159,verstecken::V,кӏевун,saklamak
1160,teilen::V,паюн,bölmek
1161,teilen::V,паюн,ayırmak
1162,schicken::V,ракъурун,yollamak
1163,schicken::V,ракъурун,göndermek
1164,bringen::V,гъун,getirmek
1165,hinzufügen::V,алава авун,katmak
1166,hinzufügen::V,алава авун,eklemek
1167,bekommen::V,къачун,almak
1168,bekommen::V,къачун,eline geçmek
1169,bekommen::V,жугъурун,almak
1170,bekommen::V,жугъурун,eline geçmek
1171,erhalten::V,къачун,almak
1172,nehmen::V,къачун,almak
1173,wählen::V,хкягъун,seçmek
1174,auswählen::V,хкягъун,seçmek
1175,auswählen::V,хкягъун,ayırmak
1176,bewahren::V,хуьн,korumak
1177,behindern::V,манийвал авун,engellemek
1178,verderben::V,чӏурун,bozmak
1179,beschädigen::V,нукьсанвал гун,zedelemek
1180,beschädigen::V,нукьсанвал гун,ziyan vermek
1181,zerbrechen::V,хун,kırmak
1182,zerreißen::V,къазунун,yırtmak
1183,zerstören::V,чӏурун,yıkmak
1184,zerstören::V,чӏурун,tahrip etmek
1185,zerstören::V,барбатӏун,yıkmak
