,Concept_ID,es,he
165,Schwarm::N,bandada,נחיל
166,Schwarm::N,bandada,להקה
167,Huhn::N,gallina,תרנגלת
168,Hahn::N,gallo,תרנגול
169,Gans::N,oca,אוז
170,Gans::N,ganso,אוז
171,Adler::N,águila,עיט
172,Ente::N,pato,ברוז
173,Eule::N,lechuza,ינשוף
174,Kranich::N,grulla,עגור
175,Kranich::N,grulla,כרוכיה
176,Krähe::N,corneja,עורב
177,Kuckuck::N,cuco,קוקיה
178,Schwan::N,cisne,ברבור
179,Fisch::N,pez,דג
180,Barsch::N,perca,אוקונוס
181,Hecht::N,lucio,זאב הים
182,Schlange[Tier]::N,serpiente,נחש
183,Wurm::N,gusano,תולעת
184,Spinne::N,araña,עכביש
185,Ameise::N,hormiga,נמלה
186,Laus::N,piojo,כנה
187,Mücke::N,mosquito,יתוש
188,Fliege::N,mosca,זבוב
189,Schmetterling::N,mariposa,פרפר
190,Beere::N,baya,ענבה
191,Apfel::N,manzana,תפוח
192,Pilz::N,seta,פטריה
193,Pilz::N,hongo,פטריה
194,Zwiebel::N,cebolla,בצל
195,Saat::N,siembra,זרעים
196,Korn::N,grano,גרעין
197,Heu::N,heno,חציר
198,Schale::N,cáscara,קלפה
199,Grube::N,foso,בור
200,Grube::N,foso,שוחה
201,Falle::N,trampa,מלכדת
202,Schlinge::N,lazo,לולאה
203,Spur::N,huella,עקבה
204,Asche::N,ceniza,אפר
205,Dreck::N,suciedad,זהמה
206,Eisen::N,hierro,ברזל
207,Gold::N,oro,זהב
208,Silber::N,plata,כסף
209,Kohle::N,carbón,פחם
210,Glas::N,vidrio,זכוכית
211,Glas::N,cristal,זכוכית
212,Lehm::N,barro,חרסית
213,Sand::N,arena,חול
214,Mensch::N,hombre,אדם
215,Mensch::N,ser humano,אדם
216,Mann::N,hombre,איש
217,Mann::N,hombre,גבר
218,Frau::N,mujer,אשה
219,Frau::N,mujer,גברת
220,Kind::N,niño,ילד
221,Junge::N,chico,ילד
222,Junge::N,muchacho,ילד
223,Mädchen::N,chica,נערה
224,Mädchen::N,muchacha,נערה
225,Familie::N,familia,משפחה
226,Großvater::N,abuelo,סבא
227,Großmutter::N,abuela,סבתא
228,Eltern::N,padres,הורים
229,Vater::N,padre,אב
230,Mutter::N,madre,אם
231,Sohn::N,hijo,בן
232,Tochter::N,hija,בת
233,Bruder::N,hermano,אח
234,Schwester::N,hermana,אחות
235,Onkel::N,tío,דוד
236,Tante::N,tía,דודה
237,Ehemann::N,esposo,איש
238,Ehemann::N,esposo,בעל
239,Ehefrau::N,esposa,אשה
240,Freude::N,placer,שמחה
241,Freude::N,alegría,שמחה
242,Gelächter::N,risa,צחוק
243,Gelächter::N,carcajada,צחוק
244,Glück::N,felicidad,אשר
245,Kummer::N,pena,יגון
246,Kummer::N,pena,עגמה
247,Wunsch::N,deseo,אחול
248,Wunsch::N,deseo,משאלה
249,Lust::N,ganas,חשק
250,Lust::N,ganas,תשוקה
251,Geist::N,mente,רוח
252,Geist::N,espíritu,רוח
253,Gedanke::N,idea,מחשבה
254,Gedanke::N,pensamiento,מחשבה
255,Gedächtnis::N,memoria,זכרון
256,Verstand::N,razón,שכל
257,Verstand::N,entendimiento,שכל
258,Sinn::N,sentido,מובן
259,Sinn::N,sentido,משמעות
260,Sinn::N,significado,מובן
261,Sinn::N,significado,משמעות
262,Grund::N,causa,סבה
263,Wahrheit::N,verdad,אמת
264,Gespräch::N,conversación,דיון
265,Märchen::N,cuento,אגדה
266,Erzählung::N,cuento,ספור
267,Erzählung::N,narración,ספור
268,Nachricht::N,mensaje,ידיעה
269,Neuigkeit::N,noticia,חדשה
270,Name::N,nombre,שם
271,Rätsel::N,acertijo,תעלומה
272,Rätsel::N,adivinanza,תעלומה
273,Rede::N,discurso,נאום
274,Sprache::N,lengua,לשון
275,Stimme::N,voz,קול
276,Wort::N,palabra,מלה
277,Zeichen::N,señal,סימן
278,Ruf::N,llamada,קריאה
279,Lärm::N,ruido,רעש
280,Lärm::N,barullo,רעש
281,Laut::N,sonido,הגה
282,Ton::N,tono,צליל
283,Lied::N,canción,שיר
284,Ruhe::N,calma,שלוה
285,Ruhe::N,silencio,שלוה
286,Leute::N,gente,אנשים
287,Volk::N,pueblo,עם
288,Arbeit::N,trabajo,עבודה
289,Gast::N,huésped,אורח
290,Gast::N,invitado,אורח
291,Geschenk::N,regalo,מתנה
292,Spiel::N,juego,משחק
293,Gesellschaft::N,compañía,חברה
294,Hilfe::N,ayuda,עזרה
295,Hilfe::N,socorro,עזרה
296,Freund::N,amigo,חבר
297,Freund::N,amigo,ידיד
298,Kamerad::N,camarada,רע
299,Kamerad::N,compañero,רע
300,Angelegenheit::N,asunto,ענין
301,Anzahl::N,cantidad,מספר
302,Art::N,tipo,סוג
303,Art::N,clase,סוג
304,Stück::N,pieza,חתיכה
305,Teil::N,parte,פרק
306,Hälfte::N,mitad,חצי
307,Kreis::N,círculo,מעגל
308,Kreuz::N,cruz,צלב
309,Linie::N,línea,קו
310,Strich::N,raya,קו קצר
311,Strich::N,trazo,קו קצר
312,Abstand::N,distancia,מרחק
313,Entfernung::N,distancia,מרחק
314,Gegend::N,región,נוף
315,Gegend::N,comarca,נוף
316,Platz::N,espacio,שטח
317,Ort::N,sitio,אתר
318,Ort::N,sitio,מקום
319,Seite::N,lado,צד
320,Seite::N,costado,צד
321,Mitte::N,medio,אמצע
322,Mitte::N,centro,אמצע
323,Gegenstand::N,objeto,אוביקט
324,Sache::N,cosa,דבר
325,Rand::N,borde,פרור
326,Kante::N,borde,קצה
327,Ecke::N,esquina,פנה
328,Spitze::N,punta,קצה
329,Ende::N,cabo,סוף
330,Ende::N,extremo,סוף
331,Loch::N,agujero,חר
332,Loch::N,abertura,חר
333,Winkel::N,ángulo,פנה
334,Muster::N,dibujo,תבנית
335,Größe::N,tamaño,גדל
336,Länge::N,longitud,ארך
337,Höhe::N,altura,קומה
338,Höhe::N,altura,גבה
339,Höhe::N,altitud,קומה
340,Höhe::N,altitud,גבה
341,Gewicht::N,peso,משקל
342,Menge::N,cantidad,כמות
343,Haufen::N,montón,ערמה
344,Reihe::N,fila,רצף
345,Boot::N,bote,סירה
346,Boot::N,barca,סירה
347,Ruder::N,remo,משוט
348,Schlitten::N,trineo,מזחלת
349,Ski::N,esquí,מגלשים
350,Lagerfeuer::N,hoguera,מדורה
351,Last::N,carga,משא
352,Gang::N,marcha,הליכה
353,Schritt::N,paso,צעד
354,Norden::N,norte,צפון
355,Süden::N,sur,דרום
356,Westen::N,oeste,מערב
357,Osten::N,este,מזרח
358,Holz::N,madera,עץ
359,Brett::N,tabla,קרש
360,Platte::N,placa,לוח
361,Platte::N,plancha,לוח
362,Stütze::N,sostén,משען
363,Stütze::N,soporte,משען
364,Stange::N,vara,מוט
365,Stange::N,percha,מוט
366,Stock::N,palo,מקל
367,Stock::N,bastón,מקל
368,Stab::N,vara,מוט
369,Stab::N,bastón,מוט
370,Rohr::N,tubo,צנור
371,Haus::N,casa,בית
372,Heim::N,hogar,בית
373,Ofen::N,estufa,תנור
374,Fußboden::N,suelo,רצפה
375,Tisch::N,mesa,שלחן
376,Stuhl::N,silla,כסא
377,Wiege::N,cuna,ערש
378,Bett::N,cama,מטה
379,Regal::N,estantería,מדף
380,Kiste::N,caja,תבה
381,Kiste::N,caja,ארגז
382,Fenster::N,ventana,חלון
383,Tür::N,puerta,דלת
384,Tor::N,puerta,שער
385,Zaun::N,valla,גדר
386,Zaun::N,cercado,גדר
387,Dach::N,techo,גג
388,Dach::N,tejado,גג
389,Leiter::N,escalera,סלם
390,Besen::N,escoba,מטאטא
391,Spaten::N,pala,את
392,Schaufel::N,pala,את
393,Schaufel::N,paleta,את
394,Gabel::N,tenedor,מזלג
395,Löffel::N,cuchara,כף
396,Messer::N,cuchillo,סכין
397,Nagel::N,clavo,מסמר
398,Netz::N,red,רשת
399,Haken::N,gancho,וו
400,Haken::N,gancho,קרס
401,Haken::N,corchete,וו
402,Haken::N,corchete,קרס
403,Griff::N,asa,ידית
404,Griff::N,mango,ידית
405,Schloss::N,cerradura,מנעול
406,Bild::N,imagen,תמונה
407,Figur::N,figura,פסל
408,Puppe::N,muñeca,בבה
409,Beutel::N,bolsa,שק
410,Bündel::N,haz,צרור
411,Tasche::N,bolso,שקית
412,Eimer::N,cubo,דלי
413,Deckel::N,tapa,מכסה
414,Deckel::N,tapadera,מכסה
415,Geschirr::N,vajilla,כלים
416,Sack::N,saco,שק
417,Tasse::N,taza,ספל
418,Topf::N,olla,סיר
419,Topf::N,marmita,סיר
420,Kessel::N,caldera,קנקן
421,Essen::N,comida,אכל
422,Essen::N,comida,ארוחה
423,Nahrung::N,alimento,הזנה
424,Nahrung::N,alimento,תזונה
425,Speise::N,plato,מאכל
426,Speise::N,plato,ארוחה
427,Fleisch::N,carne,בשר
428,Getreide::N,cereales,דגן
429,Brei::N,puré,מחית
430,Brei::N,papilla,מחית
431,Brot::N,pan,לחם
432,Scheibe::N,lonja,עגול
433,Scheibe::N,lonja,פרוסה
434,Scheibe::N,rebanada,עגול
435,Scheibe::N,rebanada,פרוסה
436,Fett::N,grasa,שמן
437,Butter::N,mantequilla,חמאה
438,Öl::N,aceite,שמן
439,Salz::N,sal,מלח
440,Suppe::N,sopa,מרק
441,Honig::N,miel,דבש
442,Milch::N,leche,חלב
443,Tee::N,té,תה
444,Leder::N,cuero,עור
445,Wolle::N,lana,צמר
446,Stoff::N,tela,בד
447,Stoff::N,tela,אריג
448,Stoff::N,tejido,בד
449,Stoff::N,tejido,אריג
450,Nadel::N,aguja,מחט
451,Faden::N,hilo,חוט
452,Knopf::N,botón,כפתור
453,Knoten::N,nudo,קשר
454,Farbe::N,pintura,צבע
455,Kleidung::N,ropa,בגדים
456,Kleidung::N,vestidos,בגדים
457,Hemd::N,camisa,חלצה
458,Kragen::N,cuello,צוארון
459,Ärmel::N,manga,שרוול
460,Hose::N,pantalón,מכנסים
461,Gürtel::N,cinturón,חגורה
462,Mütze::N,gorro,כובע
463,Schuh::N,zapato,נעל
464,Stiefel::N,bota,מגף
465,Ring::N,anillo,טבעת
466,Band::N,cinta,סרט
467,Kamm::N,peine,מסרק
468,Spiegel::N,espejo,מראה
469,Riemen::N,correa,רצועה
470,Schnur::N,cuerda,חבל
471,Leine::N,correa,מושכות
472,Decke::N,manta,שמיכה
473,Kissen::N,almohada,כרית
474,Tuch::N,pañuelo,צעיף
475,Handtuch::N,toalla,מגבת
476,Kraft::N,fuerza,כוח
477,Stärke::N,fuerza,און
478,Gesundheit::N,salud,בריאות
479,Krankheit::N,enfermedad,מחלה
480,Schmerz::N,dolor,כאב
481,Wunde::N,llaga,פציעה
482,Wunde::N,herida,פציעה
483,Fieber::N,fiebre,חם
484,Arznei::N,medicina,תרופה
485,Arznei::N,medicamento,תרופה
486,Brücke::N,puente,גשר
487,Brunnen::N,pozo,באר
488,Weide::N,pasto,אחו
489,Weide::N,pasto,מרעה
490,Pfad::N,sendero,שביל
491,Pfad::N,sendero,מדרכה
492,Weg::N,camino,דרך
493,Straße::N,vía,כביש
494,Straße::N,carretera,כביש
495,Dorf::N,aldea,כפר
496,Dorf::N,pueblo,כפר
497,Stadt::N,ciudad,עיר
498,Brief::N,carta,מכתב
499,Buch::N,libro,ספר
500,Buchstabe::N,letra,אות
501,Buchstabe::N,carácter,אות
502,Zeitung::N,diario,עתון
503,Zeitung::N,periódico,עתון
504,Leben::N,vida,חיים
505,Tod::N,muerte,מות
506,Grab::N,tumba,קבר
507,Grab::N,sepulcro,קבר
508,Kirche::N,iglesia,כנסיה
509,Sünde::N,pecado,חטא
510,Gott::N,dios,אל
511,Arbeiter::N,obrero,פועל
512,Arbeiter::N,trabajador,פועל
513,Chef::N,jefe,ראש
514,Chef::N,jefe,מנהל
515,Meister::N,maestro,ממחה
516,Arzt::N,médico,רופא
517,Lehrer::N,profesor,מורה
518,Geld::N,dinero,כסף
519,Geschäft::N,negocio,עסקה
520,Laden::N,tienda,חנות
521,Preis::N,precio,מחיר
522,Ware::N,mercancía,סחורה
523,Nutzen::N,provecho,תועלת
524,Reichtum::N,riqueza,עשר
525,Welt::N,mundo,עולם
526,Land::N,país,ארץ
527,Staat::N,Estado,מדינה
528,König::N,rey,מלך
529,Macht::N,poder,כוח
530,Macht::N,potencia,כוח
531,Grenze::N,frontera,גבול
532,Krieg::N,guerra,מלחמה
533,Feind::N,enemigo,אויב
534,Gewalt::N,violencia,אלימות
535,Kampf::N,lucha,קרב
536,Kampf::N,lucha,לחימה
537,Kampf::N,combate,קרב
538,Kampf::N,combate,לחימה
539,Bogen[Waffe]::N,arco,קשת
540,Pfeil::N,flecha,חץ
541,Gewehr::N,fusil,רובה
542,Gewehr::N,escopeta,רובה
543,Fehler::N,error,טעות
544,Lüge::N,mentira,שקר
545,Schaden::N,daño,נזק
546,Unglück::N,desgracia,מזל רע
547,Schuld::N,culpa,אשמה
548,Alter::N,edad,גיל
549,Schluss::N,fin,סיום
550,Schluss::N,final,סיום
551,Zeit::N,tiempo,זמן
552,Tag::N,día,יום
553,Morgen::N,mañana,בקר
554,Mittag::N,mediodía,צהרים
555,Abend::N,noche,ערב
556,Nacht::N,noche,לילה
557,Woche::N,semana,שבוע
558,Monat::N,mes,חדש
559,Jahr::N,año,שנה
560,Frühling::N,primavera,אביב
561,Sommer::N,verano,קיץ
562,Herbst::N,otoño,סתו
563,Winter::N,invierno,חרף
564,Januar::N,enero,ינואר
565,Februar::N,febrero,פברואר
566,März::N,marzo,מרץ
567,April::N,abril,אפריל
568,Mai::N,mayo,מאי
569,Juni::N,junio,יוני
570,Juli::N,julio,יולי
571,August::N,agosto,אוגוסט
572,September::N,septiembre,ספטמבר
573,Oktober::N,octubre,אוקטובר
574,November::N,noviembre,נובמבר
575,Dezember::N,diciembre,דצמבר
576,Montag::N,lunes,יום שני
577,Dienstag::N,martes,יום שלישי
578,Mittwoch::N,miércoles,יום רביעי
579,Donnerstag::N,jueves,יום חמישי
580,Freitag::N,viernes,יום ששי
581,Samstag::N,sábado,יום שבת
582,Sonntag::N,domingo,יום ראשון
583,groß::A,grande,גדול
584,klein::A,pequeño,קטן
585,lang::A,largo,ארך
586,kurz::A,corto,קצר
587,breit::A,ancho,רחב
588,schmal::A,estrecho,צר
589,dicht::A,denso,צפוף
590,dick[Gegenstand]::A,grueso,עבה
591,dünn::A,fino,דק
592,dünn::A,delgado,דק
593,fein::A,fino,מעדן
594,fein::A,delicado,מעדן
595,fest::A,firme,מוצק
596,fest::A,sólido,מוצק
597,flach::A,plano,שטוח
598,glatt::A,liso,חלק
599,hart::A,duro,קשיח
600,weich::A,muelle,רך
601,rund::A,redondo,עגל
602,spitz::A,agudo,חד
603,spitz::A,apuntado,חד
604,scharf::A,agudo,חד
605,scharf::A,afilado,חד
606,stumpf::A,sin filo,קהה
607,schwer::A,pesado,כבד
608,schön::A,bello,יפה
609,schön::A,hermoso,יפה
610,heiß::A,caluroso,חם
611,warm::A,cálido,חם
612,warm::A,caliente,חם
613,kalt::A,frío,קר
614,kühl::A,fresco,צונן
615,frisch::A,fresco,טרי
616,feucht::A,húmedo,לח
617,nass::A,mojado,רטוב
618,trocken::A,seco,יבש
619,voll::A,lleno,מלא
620,leer::A,vacío,ריק
621,offen::A,abierto,פתוח
622,geschlossen::A,cerrado,סגור
623,sauber::A,limpio,נקי
624,schmutzig::A,sucio,מלכלך
625,roh::A,crudo,חי
626,reif::A,maduro,בשל
627,lecker::A,rico,טעים
628,lecker::A,sabroso,טעים
629,süß::A,dulce,מתוק
630,bitter::A,amargo,מר
631,sauer::A,agrio,חמוץ
632,hell::A,claro,בהיר
633,dunkel::A,oscuro,עמום
634,schwarz::A,negro,שחר
635,weiß::A,blanco,לבן
636,rot::A,rojo,אדם
637,gelb::A,amarillo,צהב
638,blau::A,azul,כחל
639,grün::A,verde,ירק
640,grau::A,gris,אפר
641,bunt::A,multicolor,צבעוני
642,billig::A,barato,זול
643,teuer::A,caro,יקר
644,wertvoll::A,valioso,יקר ערך
645,wertvoll::A,precioso,יקר ערך
646,blind::A,ciego,עור
647,taub::A,sordo,חרש
648,kräftig::A,fuerte,חסן
649,stark::A,fuerte,חזק
650,stark::A,vigoroso,חזק
651,schwach::A,débil,חלש
652,fett::A,obeso,שמן
653,schlank::A,esbelto,רזה
654,hübsch::A,mono,יפה תאר
655,hübsch::A,guapo,יפה תאר
656,böse::A,malo,רשע
657,dumm::A,tonto,טפש
658,dumm::A,estúpido,טפש
659,faul::A,vago,עצלן
660,faul::A,perezoso,עצלן
661,fleißig::A,aplicado,חרוץ
662,fleißig::A,diligente,חרוץ
663,geizig::A,avaro,קמצן
664,klug::A,sensato,נבון
665,klug::A,sensato,פקח
666,klug::A,inteligente,נבון
667,klug::A,inteligente,פקח
668,geschickt::A,hábil,מימן
669,lieb::A,querido,יקר
670,lieb::A,querido,אהוב
671,lustig::A,alegre,עליז
672,sanft::A,suave,עדין
673,hungrig::A,hambriento,רעב
674,krank::A,enfermo,חולה
675,nackt::A,desnudo,ערום
676,traurig::A,triste,עצוב
677,lebendig::A,vivo,חי
678,lebendig::A,viviente,חי
679,gut::A,bueno,טוב
680,schlecht::A,malo,גרוע
681,richtig::A,justo,נכון
682,richtig::A,correcto,נכון
683,schlimm::A,malo,רע
684,schlimm::A,grave,רע
685,wahr::A,verídico,אמתי
686,wahr::A,verdadero,אמתי
687,alt::A,viejo,ישן
688,neu::A,nuevo,חדש
689,ehemalig::A,antiguo,לשעבר
690,alt[Lebewesen]::A,viejo,זקן
691,jung::A,joven,צעיר
692,arm::A,pobre,עני
693,reich::A,rico,עשיר
694,bekannt::A,conocido,ידוע
695,berühmt::A,famoso,מפרסם
696,berühmt::A,célebre,מפרסם
697,fremd::A,extraño,זר
698,verschieden::A,diverso,שונה
699,verschieden::A,distinto,שונה
700,verschieden::A,diferente,שונה
701,nah::A,cercano,קרוב
702,fern::A,lejano,רחוק
703,linker::A,izquierdo,שמאלי
704,rechter::A,derecho,ימין
705,anderer::A,otro,אחר
706,erster::A,primero,ראשון
707,zweiter::A,segundo,שני
708,dritter::A,tercero,שלישי
709,letzter::A,último,אחרון
710,allein::ADV,a solo,לבד
711,auf einmal::ADV,de una vez,בו-זמנית
712,zusammen::ADV,juntos,ביחד
713,lange::ADV,mucho tiempo,הרבה זמן
714,plötzlich::ADV,de repente,לפתע
715,plötzlich::ADV,de repente,פתאום
716,sofort::ADV,en seguida,מיד
717,später::ADV,más tarde,לאחר זמן
718,später::ADV,más tarde,יותר מאחר
719,jetzt::ADV,ahora,עכשיו
720,heute::ADV,hoy,היום
721,morgen::ADV,mañana,מחר
722,bald::ADV,pronto,בקרוב
723,bald::ADV,en breve,בקרוב
724,dann::ADV,luego,אחר-כך
725,dann::ADV,entonces,אחר-כך
726,gestern::ADV,ayer,אתמול
727,einst::ADV,antaño,לפנים
728,damals::ADV,entonces,אז
729,danach::ADV,después,אחר-כך
730,vorher::ADV,antes,לפני זה
731,zuerst::ADV,primero,קדם
732,einmal::ADV,una vez,פעם
733,manchmal::ADV,a veces,לפעמים
734,oft::ADV,a menudo,לעתים קרובות
735,oft::ADV,con frecuencia,לעתים קרובות
736,immer::ADV,siempre,תמיד
737,niemals::ADV,jamás,אף פעם
738,hier::ADV,aquí,כאן
739,hierhin::ADV,acá,פה
740,von hier::ADV,desde aquí,מפה
741,dort::ADV,ahí,שם
742,dort::ADV,allí,שם
743,dorthin::ADV,allí,שם
744,dorthin::ADV,hacia allí,שם
745,geradeaus::ADV,todo derecho,ישר
746,vorwärts::ADV,adelante,קדימה
747,rückwärts::ADV,hacia atrás,לאחור
748,zurück::ADV,atrás,בחזרה
749,zurück::ADV,atrás,אחורנית
750,unten::ADV,abajo,למטה
751,hinab::ADV,hacia abajo,למטה
752,oben::ADV,arriba,מעל
753,oben::ADV,arriba,למעלה
754,hinauf::ADV,hacia arriba,למעלה
755,überall::ADV,por todas partes,בכל מקום
756,nicht::ADV,no,לא
757,ein wenig::ADV,un poco,קצת
758,kaum::ADV,apenas,בקשי
759,sehr::ADV,muy,מאוד
760,sehr::ADV,mucho,מאוד
761,so::ADV,tan,כך
762,so::ADV,tan,ככה
763,noch::ADV,aún,עוד
764,noch::ADV,aún,עדין
765,noch::ADV,todavía,עוד
766,noch::ADV,todavía,עדין
767,nur::ADV,solamente,רק
768,schon::ADV,ya,כבר
769,wieder::ADV,de nuevo,שוב
770,vergebens::ADV,en vano,לריק
771,vergebens::ADV,en vano,לשוא
772,vor::PRP,antes de,מול
773,vor::PRP,delante de,מול
774,hinter::PRP,tras,מאחורי
775,hinter::PRP,detrás de,מאחורי
776,unter::PRP,bajo,מתחת
777,unter::PRP,debajo de,מתחת
778,durch::PRP,por,דרך
779,durch::PRP,a través de,דרך
780,neben::PRP,al lado de,ליד
781,neben::PRP,al lado de,על-יד
782,zwischen::PRP,entre,בין
783,wegen::PRP,por,בשל
784,wegen::PRP,por,בגלל
785,wegen::PRP,a causa de,בשל
786,wegen::PRP,a causa de,בגלל
787,dies::PRN,esto,זה
788,das::PRN,eso,זה
789,das::PRN,esto,זה
790,alles::PRN,todo,הכל
791,ich::PRN,yo,אני
792,du::PRN,tú,את
793,du::PRN,tú,אתה
794,er::PRN,él,הוא
795,wir::PRN,nosotros,אנחנו
796,ihr::PRN,vosotros,לה
797,sie::PRN,ellos,הם
798,was::FPRN,qué,מה
799,wer::FPRN,quién,מי
800,wo::FADV,dónde,איפה
801,wohin::FADV,adónde,לאן
802,wohin::FADV,hacia dónde,לאן
803,wie::FADV,cómo,איך
804,warum::FADV,por qué,למה
805,wieviel::FNUM,cuánto,כמה
806,eins::NUM,uno,אחד
807,zwei::NUM,dos,שתים
808,drei::NUM,tres,שלושה
809,vier::NUM,cuatro,ארבעה
810,fünf::NUM,cinco,חמשה
811,sechs::NUM,seis,ששה
812,sieben::NUM,siete,שבעה
813,acht::NUM,ocho,שמונה
814,neun::NUM,nueve,תשעה
815,zehn::NUM,diez,עשרה
816,elf::NUM,once,אחת עשרה
817,zwölf::NUM,doce,שתים עשרה
818,zwanzig::NUM,veinte,עשרים
819,dreißig::NUM,treinta,שלושים
