,Concept_ID,br,os
276,Gesellschaft::N,kompagnunezh,дзыллæ
277,Gesellschaft::N,kompagnunezh,æхсæнад
278,Gesellschaft::N,kavandad,дзыллæ
279,Gesellschaft::N,kavandad,æхсæнад
280,Hilfe::N,sikour,æххуыс
281,Hilfe::N,sikour,ахъаз
282,Freund::N,mignon,лымӕн
283,Kamerad::N,kamarad,ӕмбал
284,Angelegenheit::N,afer,хъуыддаг
285,Anzahl::N,niver,бӕрц
286,Art::N,sort,хуыз
287,Art::N,sort,хуызад
288,Stück::N,tamm,кæрдих
289,Stück::N,tamm,комдзаг
290,Teil::N,pezh,хай
291,Hälfte::N,hanterenn,æрдæг
292,Hälfte::N,hanterenn,æмбис
293,Kreis::N,kelc'h,зиллакк
294,Kreuz::N,kroaz,дзуар
295,Linie::N,linenn,хахх
296,Strich::N,tenn,хахх
297,Abstand::N,distok,æхсæнуат
298,Entfernung::N,keid,дæрддзæг
299,Entfernung::N,keid,дардцæг
300,Entfernung::N,kehid,дæрддзæг
301,Entfernung::N,kehid,дардцæг
302,Gegend::N,korn-bro,ран
303,Platz::N,plasenn,бууат
304,Ort::N,lec'h,ран
305,Ort::N,lec'h,бынат
306,Seite::N,tu,фахс
307,Mitte::N,kreiz,астӕу
308,Gegenstand::N,tra,дзаума
309,Sache::N,tra,дзаума
310,Rand::N,kantenn,кӕрон
311,Kante::N,kantenn,фӕрск
312,Ecke::N,korn,тигъ
313,Ecke::N,korn,фисын
314,Spitze::N,begell,бырынкъ
315,Ende::N,dibenn,кӕрон
316,Loch::N,toull,хуынкъ
317,Muster::N,tresadenn,нывæфтыд
318,Muster::N,tresadenn,кæдзист
319,Größe::N,ment,ас
320,Länge::N,hirder,дӕргъ
321,Höhe::N,uhelder,бæрзонд
322,Höhe::N,uhelder,бæрзæнд
323,Höhe::N,uhelder,бæрзонддзинад
324,Gewicht::N,pouez,уӕз
325,Menge::N,bern,бӕрц
326,Haufen::N,bern,кӕри
327,Reihe::N,steud,рӕнхъ
328,Boot::N,bag,чема
329,Ruder::N,roeñv,къохар
330,Schlitten::N,trainell,дзоныгъ
331,Ski::N,ski,къахдзоныгътæ
332,Ski::N,ski,лыжæтæ
333,Last::N,karg,уаргъ
334,Gang::N,kerzh,цыд
335,Schritt::N,paz,санчъех
336,Schritt::N,paz,къахдзӕф
337,Norden::N,norzh,цæгат
338,Norden::N,hanternoz,цæгат
339,Süden::N,su,хуссар
340,Süden::N,kreisteiz,хуссар
341,Westen::N,kuzh-heol,ныгуылæн
342,Osten::N,reter,скæсæн
343,Osten::N,sav-heol,скæсæн
344,Holz::N,koad,хъӕдӕрмӕг
345,Brett::N,plankenn,фæйнæг
346,Platte::N,plakenn,къӕй
347,Stütze::N,harp,быцæу
348,Stange::N,sparl,хъил
349,Stock::N,bazh,лӕдзӕг
350,Stab::N,bazh,хъил
351,Rohr::N,tub,хӕтӕл
352,Rohr::N,korz,хӕтӕл
353,Haus::N,ti,хӕдзар
