,Concept_ID,te,mhr
162,Vogel::N,పక్షి,ка́йык
163,Schwarm::N,గుంపు,каша́к
164,Huhn::N,కోడిపిల్ల,чы́ве
165,Hahn::N,కోడివుంజు,агыта́н
166,Gans::N,ఆడుబాతు,ко́мбо
167,Adler::N,గ్రద్ద,карагу́ш
168,Ente::N,పాట్టిబాతు,лу́до
169,Eule::N,గ్రుడ్లగూబ,тумна́
170,Kranich::N,కొంగ,турня́
171,Krähe::N,కాకి,кора́к
172,Kuckuck::N,కోయల,куку́
173,Schwan::N,హంస,йӱ́ксӧ
174,Fisch::N,చేప,кол
175,Barsch::N,ఒకచేఁప,ола́ҥге
176,Hecht::N,గండుమీను,нуж
177,Hecht::N,గండుమీను,чорта́н
178,Schlange[Tier]::N,పాము,ки́шке
179,Wurm::N,పురుగు,шукш
180,Spinne::N,సాలె పురుగు,эҥыре́мыш
181,Ameise::N,చీమ,ку́тко
182,Laus::N,పేను,тий
183,Mücke::N,చీకటీగ,шыҥа́
184,Fliege::N,ఈగ,ка́рме
185,Schmetterling::N,సీతాకోకచిలుక,лы́ве
186,Beere::N,కాయ,мӧр
187,Apfel::N,ఆపిల్ పండు,олма́
188,Pilz::N,కుక్కగొడుగు,по́ҥго
189,Zwiebel::N,నీరుల్లి,шога́н
190,Saat::N,విత్తనము,нӧ́шмӧ
191,Saat::N,విత్తనము,туш
192,Korn::N,గింజ,шу́рно
193,Heu::N,ఎండుగడ్డి,шу́до
194,Schale::N,పొట్టు,шӱм
195,Grube::N,గొయ్యి,выне́м
196,Falle::N,బోను,лӧ́дӧ
197,Schlinge::N,ఉరి,о́птыш
198,Schlinge::N,ఉరి,шӧрга́лтыш
199,Spur::N,జాడ,кыша́
200,Asche::N,బూడిద,ло́мыж
201,Dreck::N,ముఱికి,лавыра́
202,Eisen::N,ఇనుము,кӱ́ртньӧ
203,Gold::N,బంగారము,шӧ́ртньӧ
204,Silber::N,వెండి,ший
205,Kohle::N,నేలబొగ్గు,мландышӱ́й
206,Glas::N,గాజు,янда́
207,Lehm::N,బంకమన్ను,шун
208,Sand::N,ఇసుక,ошма́
209,Mensch::N,నరుడు,еҥ
210,Mensch::N,నరుడు,айде́ме
211,Mann::N,పురుమడు,пӧръе́ҥ
212,Frau::N,ఆడుది,ӱдырама́ш
213,Kind::N,బిడ్డ,аза́
214,Junge::N,బాలుడు,рве́зе
215,Mädchen::N,బాలిక,ӱдыра́ш
216,Familie::N,కుటుంబము,еш
217,Großvater::N,తాత,коча́
218,Großmutter::N,అయ్యమ్మ,кова́
219,Eltern::N,తల్లితండ్రులు,ача́-ава́
220,Vater::N,తండ్రి,ача́
221,Mutter::N,తల్లి,ава́
222,Sohn::N,కొడుకు,э́рге
223,Tochter::N,కూతురు,ӱ́дыр
224,Bruder::N,పోదరుడు,иза́
225,Bruder::N,పోదరుడు,шо́льо
226,Schwester::N,సోదరి,ака́
227,Onkel::N,మేనమామ,иза́
228,Tante::N,మేనత్త,кока́
229,Tante::N,పినతల్లి,кока́
230,Ehemann::N,భర్త,мари́й
231,Ehefrau::N,భార్య,ва́те
232,Freude::N,సంతోషము,куа́н
233,Freude::N,సంతోషము,куаныма́ш
234,Gelächter::N,నవ్వు,во́штылтыш
235,Glück::N,సంతోషము,пиа́л
236,Kummer::N,దుఃఖము,о́йго
237,Wunsch::N,కోరిక,ку́мыл
238,Lust::N,కోరిక,ку́мыл
239,Geist::N,ఆత్మ,ӧрт
240,Geist::N,ఆత్మ,чон
241,Gedanke::N,ఆలోచన,ой
242,Gedanke::N,ఆలోచన,шоныма́ш
243,Gedächtnis::N,జ్ఞాపకము,шарныма́ш
244,Verstand::N,మనస్సు,уш
245,Sinn::N,అర్థము,смысл
246,Grund::N,కారణము,ама́л
247,Wahrheit::N,సత్యము,чын
248,Gespräch::N,పంభాషణ,мутланыма́ш
249,Märchen::N,అద్భుతకథ,йома́к
250,Erzählung::N,కథ,ойлыма́ш
251,Nachricht::N,వార్త,увертарыма́ш
252,Neuigkeit::N,వార్త,уве́р
253,Name::N,పేరు,лӱм
254,Rätsel::N,చిక్కు,ту́што
255,Rede::N,ఉపన్యాసము,ойлыма́ш
256,Sprache::N,భాష,йы́лме
257,Stimme::N,కంరథ్సని,йӱк
258,Wort::N,మాట,ой
259,Wort::N,మాట,мут
260,Zeichen::N,గుర్తు,ти́ште
261,Zeichen::N,గుర్తు,знак
262,Ruf::N,పిలువు,ӱжма́ш
263,Lärm::N,సందడి,лӱшкыма́ш
264,Lärm::N,సందడి,йӱк-йӱа́н
265,Laut::N,ధ్వని,йӱк
266,Ton::N,స్వరము,йӱксе́м
267,Lied::N,పాట,му́ро
268,Ruhe::N,గాలిలేమి,ты́мык
269,Leute::N,జనులు,еҥ-влак
270,Volk::N,జాతి,ка́лык
271,Arbeit::N,పని,паша́
272,Gast::N,అతిధి,уна́
273,Geschenk::N,దానము,пӧле́к
274,Spiel::N,ఆట,мо́дыш
275,Spiel::N,ఆట,модма́ш
276,Gesellschaft::N,జట్టు,тӱшка́
277,Hilfe::N,సాహాయ్యము,по́лыш
278,Freund::N,స్నేహితుడు,таҥ
279,Freund::N,స్నేహితుడు,йолта́ш
280,Kamerad::N,చెలికాడు,таҥ
281,Angelegenheit::N,విషయము,паша́
282,Anzahl::N,లెక్క,чот
283,Art::N,జాతి,вид
284,Stück::N,తునుక,ка́тыш
285,Stück::N,తునుక,ла́стык
286,Teil::N,భాగము,ужа́ш
287,Hälfte::N,సగము,пел
288,Hälfte::N,సగము,пе́ле
289,Kreis::N,వృత్తము,ты́ртыш
290,Kreuz::N,సిలువ,ыре́с
291,Linie::N,గీత,ли́ний
292,Strich::N,గీత,коре́ш
293,Abstand::N,సందు,кокла́
294,Entfernung::N,దూరము,тора́
295,Entfernung::N,దూరము,ку́жыт
296,Gegend::N,విస్తీర్ణము,кунде́м
