,Concept_ID,vep,et
269,Gedanke::N,meletuz,mõte
270,Gedächtnis::N,mušt,mälu
271,Verstand::N,mel',aru
272,Verstand::N,mel',mõistus
273,Sinn::N,jüvä,tähendus
274,Grund::N,sü,põhjus
275,Wahrheit::N,tozi,tõde
276,Gespräch::N,lodu,kõne
277,Gespräch::N,lodu,vestlus
278,Gespräch::N,pagin,kõne
279,Gespräch::N,pagin,vestlus
280,Märchen::N,sarn,muinasjutt
281,Erzählung::N,sanutez,jutustus
282,Nachricht::N,tedotuz,teade
283,Neuigkeit::N,uzištuz,uudis
284,Name::N,nimi,nimi
285,Rätsel::N,ozoitez,mõistatus
286,Rede::N,pagin,kõne
287,Rede::N,sanad,kõne
288,Sprache::N,kel',keel
289,Stimme::N,än',hääl
290,Wort::N,sana,sõna
291,Zeichen::N,znam,märk
292,Ruf::N,kida,hüüe
293,Ruf::N,kucund,hüüe
294,Lärm::N,judu,müra
295,Laut::N,kulund,hääl
296,Ton::N,kulund,toon
297,Lied::N,pajo,laul
298,Ruhe::N,lebu,rahu
299,Ruhe::N,lebu,vaikus
300,Leute::N,rahvaz,inimesed
301,Volk::N,rahvaz,rahvas
302,Arbeit::N,tö,töö
303,Arbeit::N,rad,töö
304,Gast::N,adiv,külaline
305,Geschenk::N,lahj,kingitus
306,Spiel::N,vänd,mäng
307,Gesellschaft::N,sebr,selts
308,Hilfe::N,abu,abi
309,Freund::N,sebranik,sõber
310,Kamerad::N,sebranik,sõber
311,Angelegenheit::N,azj,asi
312,Anzahl::N,lugu,arv
313,Anzahl::N,lugu,hulk
314,Art::N,rod,liik
315,Art::N,rodsugu,liik
316,Stück::N,pala,tükk
317,Stück::N,supal,tükk
318,Teil::N,pala,osa
319,Hälfte::N,pol',pool
320,Kreis::N,ümbruz,ring
321,Kreis::N,kehkruz,ring
322,Kreuz::N,rist,rist
323,Linie::N,pird,joon
324,Strich::N,pird,joon
325,Abstand::N,keskust,vahe
326,Entfernung::N,matk,kaugus
327,Entfernung::N,matk,vahemaa
328,Gegend::N,taho,ümbrus
329,Platz::N,avaruz',ruum
330,Ort::N,koht,paik
331,Seite::N,pol',pool
332,Seite::N,kül'g,pool
333,Mitte::N,kesk,keskpaik
334,Gegenstand::N,kalu,ese
335,Sache::N,azj,ese
336,Rand::N,röun,äär
337,Rand::N,röun,serv
338,Kante::N,röun,kant
339,Ecke::N,saum,nurk
340,Spitze::N,agjaine,teravik
341,Ende::N,agj,ots
342,Ende::N,agj,jupp
343,Loch::N,reig,auk
344,Winkel::N,čoga,nurk
345,Winkel::N,saum,nurk
346,Muster::N,kirjam,muster
347,Größe::N,suruz',suurus
348,Länge::N,piduz,pikkus
349,Höhe::N,korktuz',kõrgus
350,Gewicht::N,jügu,kaal
351,Gewicht::N,jügu,raskus
352,Gewicht::N,vedäduz,kaal
353,Gewicht::N,vedäduz,raskus
354,Menge::N,äjüz',arv
355,Menge::N,äjüz',hulk
356,Haufen::N,kogo,hunnik
357,Reihe::N,rivi,rivi
358,Boot::N,veneh,paat
359,Ruder::N,air,aer
360,Schlitten::N,regi,saan
361,Schlitten::N,regut,saan
362,Ski::N,suks',suusk
363,Lagerfeuer::N,nodj,lõke
364,Lagerfeuer::N,pažag,lõke
365,Last::N,jüguz,koorem
366,Gang::N,astund,käik
367,Schritt::N,hašk,samm
368,Norden::N,pohjoine,põhi
369,Süden::N,suvi,lõuna
370,Westen::N,päivlaskm,lääs
371,Osten::N,päivnouzm,ida
372,Holz::N,pu,puu
373,Brett::N,laud,saelaud
374,Platte::N,keitim,plaat
375,Stütze::N,tugi,tugi
376,Stange::N,arz',latt
377,Stange::N,arz',teivas
378,Stock::N,kalu,kepp
379,Stab::N,seibaz,varras
380,Rohr::N,torv,toru
381,Haus::N,pert',maja
382,Heim::N,kodi,kodu
383,Ofen::N,päč,ahi
384,Fußboden::N,lava,põrand
385,Tisch::N,laud,laud
386,Tisch::N,stal'c,laud
387,Stuhl::N,ištim,tool
388,Wiege::N,kätte,häll
389,Wiege::N,kätte,kätki
390,Bett::N,sija,voodi
391,Bett::N,magaduzsija,voodi
392,Regal::N,palič,riiul
393,Kiste::N,mülütim,kast
394,Fenster::N,ikun,aken
395,Tür::N,uks',uks
396,Tor::N,verai,värav
397,Zaun::N,aid,aed
398,Zaun::N,aid,tara
399,Dach::N,katuz,katus
400,Leiter::N,pordhad,redel
401,Besen::N,lud,luud
402,Besen::N,vast,luud
403,Spaten::N,labid,labidas
404,Schaufel::N,labid,kühvel
405,Gabel::N,hangoine,kahvel
406,Löffel::N,luzik,lusikas
407,Messer::N,veič,nuga
408,Nagel::N,nagl,nael
409,Netz::N,verk,võrk
410,Haken::N,kouk,haak
411,Haken::N,kouk,konks
412,Griff::N,kägä,sang
413,Griff::N,kägä,käepide
414,Griff::N,varz',sang
415,Griff::N,varz',käepide
416,Schloss::N,lukkol,lukk
417,Bild::N,kuva,pilt
418,Figur::N,figur,kuju
419,Figur::N,figur,kujund
420,Puppe::N,tätüine,nukk
421,Beutel::N,havad,paun
422,Bündel::N,toppaz,kimp
423,Bündel::N,käč,kimp
424,Tasche::N,sumk,kott
425,Eimer::N,vädr,pang
426,Eimer::N,vädr,ämber
427,Deckel::N,katuz,kaas
428,Geschirr::N,astii,nõud
429,Sack::N,havad,kott
430,Tasse::N,čašk,tass
431,Topf::N,pada,pada
432,Kessel::N,katil,pada
433,Essen::N,sönd,söök
434,Nahrung::N,söm,toit
435,Speise::N,sömine,roog
436,Fleisch::N,liha,liha
437,Getreide::N,vill',teravili
438,Brei::N,pudr,puder
439,Brot::N,leib,sai
440,Brot::N,leib,leib
441,Scheibe::N,bibaleh,viil
442,Scheibe::N,bibaleh,viilukas
443,Scheibe::N,šlik,viil
444,Scheibe::N,šlik,viilukas
445,Fett::N,razv,rasv
446,Butter::N,voi,või
447,Öl::N,voi,õli
448,Salz::N,sol,sool
449,Suppe::N,lem',supp
450,Suppe::N,keitoz,supp
451,Honig::N,mezi,mesi
452,Milch::N,maid,piim
453,Tee::N,čai,tee
454,Leder::N,nahk,nahk
455,Wolle::N,vill,vill
456,Stoff::N,kangaz,kangas
457,Nadel::N,negl,nõel
458,Faden::N,nit',niit
459,Knopf::N,nübl',nööp
460,Knoten::N,sol'm,sõlm
461,Farbe::N,muju,värv
462,Kleidung::N,sobad,riided
463,Kleidung::N,sobad,riietus
464,Hemd::N,paid,särk
465,Kragen::N,kagluz,krae
466,Ärmel::N,hijam,varrukas
467,Hose::N,štanad,püksid
468,Gürtel::N,vö,vöö
469,Mütze::N,šapuk,müts
470,Schuh::N,keng',king
471,Stiefel::N,sapug,saabas
472,Ring::N,rengaz,sõrmus
473,Band::N,lentaine,lint
474,Kamm::N,suga,kamm
475,Spiegel::N,zerkol,peegel
476,Riemen::N,vö,rihm
477,Schnur::N,nor,nöör
478,Leine::N,talutimnor,jalutusrihm
479,Decke::N,sijakatuz,tekk
480,Kissen::N,pöluz,padi
481,Tuch::N,paik,kalev
482,Handtuch::N,käzipaik,käterätik
483,Kraft::N,vägi,jõud
484,Stärke::N,vahvuz',tugevus
485,Gesundheit::N,tervhuz,tervis
486,Krankheit::N,läžund,haigus
487,Schmerz::N,kibu,valu
488,Wunde::N,čapatez,haav
489,Fieber::N,säru,palavik
490,Arznei::N,zel'l',ravim
491,Brücke::N,sild,sild
492,Brunnen::N,kaiv,kaev
493,Weide::N,omaluine,karjamaa
494,Pfad::N,tehut,rada
495,Weg::N,te,tee
496,Straße::N,te,tee
497,Dorf::N,külä,küla
498,Stadt::N,lidn,linn
499,Brief::N,kirjeine,kiri
500,Buch::N,kirj,raamat
501,Buchstabe::N,kirjam,täht
502,Zeitung::N,lehtez,ajaleht
503,Leben::N,elo,elu
504,Tod::N,surm,surm
505,Grab::N,kaum,haud
506,Kirche::N,jumalanpert',kirik
507,Sünde::N,grähk,patt
508,Gott::N,jumal,jumal
509,Arbeiter::N,radnik,tööline
510,Chef::N,pämez',ülemus
511,Chef::N,pämez',juhataja
512,Meister::N,mastar,meister
513,Arzt::N,lekar',arst
514,Lehrer::N,opendai,õpetaja
515,Geld::N,rahad,raha
516,Geschäft::N,biznes,äri
517,Laden::N,lauk,pood
518,Laden::N,lauk,kauplus
519,Preis::N,arv,hind
520,Ware::N,tavar,kaup
521,Nutzen::N,liža,tulu
522,Nutzen::N,liža,kasulikkus
523,Reichtum::N,kodielo,rikkus
524,Reichtum::N,kal'huz',rikkus
525,Welt::N,mail'm,maailm
526,Land::N,ma,maa
527,Staat::N,valdkund,riik
528,König::N,kunigaz,kuningas
529,Macht::N,vald,võim
530,Grenze::N,röun,piir
531,Krieg::N,soda,sõda
532,Feind::N,vihanik,vaenlane
533,Feind::N,vastustai,vaenlane
534,Gewalt::N,vägivald,väevõim
535,Kampf::N,tora,võitlus
536,Bogen[Waffe]::N,taug,vibu
537,Pfeil::N,nol,nool
538,Gewehr::N,oružj,püss
539,Fehler::N,viga,viga
540,Lüge::N,kelastuz,vale
541,Schaden::N,pahuz',kahju
542,Unglück::N,bed,häda
543,Unglück::N,bed,õnnetus
544,Unglück::N,gor'a,häda
545,Unglück::N,gor'a,õnnetus
546,Schuld::N,värhuz',süü
547,Alter::N,igä,iga
548,Schluss::N,lop,lõpp
549,Zeit::N,aig,aeg
550,Tag::N,päiv,päev
551,Morgen::N,homendez,hommik
552,Mittag::N,keskpäiv,lõuna
553,Mittag::N,keskpäiv,keskpäev
554,Abend::N,eht,õhtu
555,Nacht::N,ö,öö
556,Woche::N,nedal',nädal
557,Monat::N,ku,kuu
558,Jahr::N,voz',aasta
559,Frühling::N,keväz',kevad
560,Sommer::N,keza,suvi
561,Herbst::N,sügüz',sügis
562,Winter::N,tal'v,talv
563,Januar::N,viluku,jaanuar
564,Februar::N,uhoku,veebruar
565,März::N,keväz'ku,märts
566,April::N,sulaku,aprill
567,Mai::N,semendku,mai
568,Juni::N,kezaku,juuni
569,Juli::N,heinku,juuli
570,August::N,eloku,august
571,September::N,sügüz'ku,september
572,Oktober::N,reduku,oktoober
573,November::N,kül'mku,november
574,Dezember::N,tal'vku,detsember
575,Montag::N,ezmärg,esmaspäev
576,Dienstag::N,tožnarg,teisipäev
577,Mittwoch::N,koumanz'päiv,kesknädal
578,Donnerstag::N,nellänz'päiv,neljapäev
579,Freitag::N,pätnič,reede
580,Freitag::N,videnz'päiv,reede
581,Samstag::N,sobat,laupäev
582,Sonntag::N,pühäpäiv,pühapäev
583,groß::A,sur',suur
584,groß::A,järed,suur
585,klein::A,pen',väike
586,klein::A,pen',pisike
587,klein::A,pičuine,väike
588,klein::A,pičuine,pisike
589,lang::A,pit'k,pikk
590,kurz::A,lühüd,lühike
591,breit::A,leved,lai
592,schmal::A,kaid,kitsas
593,dicht::A,tihed,tihe
594,dick[Gegenstand]::A,paks,jäme
595,dünn::A,hoik,õhuke
596,dünn::A,hoik,peenike
597,fein::A,hen,peen
598,fein::A,hen,õhuke
599,fest::A,luja,püsiv
600,fest::A,luja,kindel
601,fest::A,ninev,püsiv
602,fest::A,ninev,kindel
603,flach::A,lapak,lame
604,flach::A,lapak,tasane
605,glatt::A,siled,sile
606,hart::A,kova,kõva
607,weich::A,pehmed,pehme
608,rund::A,kehker,ümar
609,spitz::A,nügu,torkav
610,spitz::A,terav,torkav
611,scharf::A,terav,terav
612,stumpf::A,tül'c,nüri
613,schwer::A,jüged,raske
614,schön::A,čoma,kena
615,heiß::A,räk,kuum
616,heiß::A,räk,palav
617,warm::A,läm',soe
618,kalt::A,vilu,külm
619,kühl::A,raibak,jahe
620,kühl::A,viluhk,jahe
621,frisch::A,lahed,värske
622,feucht::A,neps,niiske
623,feucht::A,toreh,niiske
624,nass::A,märg,märg
625,trocken::A,kuiv,kuiv
626,voll::A,täuz',täis
627,leer::A,joudai,tühi
628,offen::A,avoin,avatud
629,offen::A,avoin,lahtine
630,offen::A,avol'jaine,avatud
631,offen::A,avol'jaine,lahtine
632,geschlossen::A,saubaline,suletud
633,sauber::A,puhtaz,puhas
634,schmutzig::A,redukaz,räpane
635,schmutzig::A,redukaz,määrdunud
636,roh::A,rohk,toores
637,roh::A,toreh,toores
638,reif::A,küps,küps
639,lecker::A,magukaz,hõrk
640,lecker::A,magukaz,maitsev
641,süß::A,maged,magus
642,bitter::A,karged,mõru
643,sauer::A,muiged,hapu
644,hell::A,kirkas,hele
645,hell::A,valgei,hele
646,dunkel::A,pimed,pime
647,schwarz::A,must,must
648,weiß::A,vauged,valge
649,rot::A,rusked,punane
650,gelb::A,pakuine,kollane
651,blau::A,sinine,sinine
652,grün::A,vihand,roheline
653,grau::A,hahk,hall
654,bunt::A,kirjav,kirju
655,bunt::A,kirjav,värviline
656,billig::A,odav,odav
657,teuer::A,kalliž,kallis
658,wertvoll::A,arvokas,väärtuslik
659,blind::A,soged,pime
660,taub::A,kurdiž,kurt
661,kräftig::A,vägev,jõuline
662,stark::A,vahv,tugev
663,stark::A,vägekaz,tugev
664,schwach::A,väll',nõrk
665,schwach::A,väll',jõuetu
666,fett::A,razvakaz,rasvane
667,schlank::A,kapos,sale
668,hübsch::A,čoma,kena
669,böse::A,äred,tige
670,böse::A,käred,tige
671,dumm::A,el'getoi,juhm
672,dumm::A,el'getoi,rumal
673,faul::A,lašk,laisk
674,fleißig::A,radonnavedii,virk
675,fleißig::A,radonnavedii,hoolas
676,geizig::A,ažlak,ihne
677,klug::A,melev,tark
678,klug::A,melev,arukas
679,klug::A,melev,mõistlik
680,klug::A,melekaz,tark
681,klug::A,melekaz,arukas
682,klug::A,melekaz,mõistlik
683,geschickt::A,mahtokaz,osav
684,lieb::A,izo,armas
685,lieb::A,sula,armas
686,lustig::A,ilokaz,lõbus
687,sanft::A,laskav,õrn
688,hungrig::A,näl'ghine,näljane
689,krank::A,läžui,haige
690,nackt::A,alastoi,alasti
691,traurig::A,opalahine,kurb
692,lebendig::A,eläb,elus
693,gut::A,hüvä,hea
694,schlecht::A,huba,halb
695,richtig::A,oiged,õige
696,schlimm::A,paha,paha
697,wahr::A,todesine,tõene
698,alt::A,vanh,vana
699,neu::A,uz',uus
700,ehemalig::A,edeline,endine
701,alt[Lebewesen]::A,ravaz,vana
702,jung::A,nor',noor
703,arm::A,gol'l',vaene
704,reich::A,elokaz,rikas
705,bekannt::A,tutab,teada
706,bekannt::A,tutab,tuttav
707,berühmt::A,tetab,tuntud
708,fremd::A,veraz,võõras
709,verschieden::A,erazvuitte,erinev
710,nah::A,läheline,lähedane
711,fern::A,edahaine,kauge
712,linker::A,hura,vasak
713,rechter::A,oiged,parem
714,anderer::A,toine,muu
715,anderer::A,toine,teine
716,erster::A,ezmäine,esimene
717,zweiter::A,toine,teine
718,dritter::A,koumanz',kolmas
719,letzter::A,jäl'gmäine,viimane
720,allein::ADV,üksnäze,üksi
721,auf einmal::ADV,ühten aigan,korraga
722,auf einmal::ADV,ühten aigan,ühekorraga
723,zusammen::ADV,ühtes,koos
724,zusammen::ADV,ühtes,üheskoos
725,lange::ADV,hätken,kaua
726,plötzlich::ADV,äkkid,äkki
727,plötzlich::ADV,äkkid,järsku
728,sofort::ADV,kerdalaz,kohe
729,später::ADV,möhemba,hiljem
730,jetzt::ADV,nügüd',nüüd
731,heute::ADV,tämbei,täna
732,morgen::ADV,homen,homme
733,bald::ADV,pigai,pea
734,bald::ADV,pigai,varsti
735,dann::ADV,sid',siis
736,gestern::ADV,eglai,eile
737,einst::ADV,ende,vanasti
738,einst::ADV,kerdan,vanasti
739,damals::ADV,siloi,tookord
740,danach::ADV,sid',seejärel
741,vorher::ADV,ende,enne
742,zuerst::ADV,ezmäi,enne
743,zuerst::ADV,ezmäi,esmalt
744,einmal::ADV,kerdan,kord
745,einmal::ADV,kerdan,üks kord
746,manchmal::ADV,erašti,mõnikord
747,oft::ADV,paksus,tihti
748,oft::ADV,paksus,sageli
749,immer::ADV,kaiken,ikka
750,immer::ADV,kaiken,alati
751,niemals::ADV,ei nikonz,mitte kunagi
752,hier::ADV,täs,siin
753,hier::ADV,tägä,siin
754,hierhin::ADV,tänna,siia
755,von hier::ADV,täspäi,siit
756,von hier::ADV,sid'päi,siit
757,dort::ADV,sigä,seal
758,dorthin::ADV,sinna,sinna
759,dorthin::ADV,nakkale,sinna
760,geradeaus::ADV,kohtha,otse edasi
761,vorwärts::ADV,edehe,edasi
762,rückwärts::ADV,sel'gin,tagurpidi
763,zurück::ADV,tagaze,tagasi
764,unten::ADV,alahan,all
765,unten::ADV,alahan,allpool
766,hinab::ADV,alaz,alla
767,hinab::ADV,alahaks,alla
768,oben::ADV,ülähän,ülal
769,hinauf::ADV,ülez,üles
770,hinauf::ADV,ülähäks,üles
771,überall::ADV,kaikjal,kõikjal
772,nicht::ADV,ei,ei
773,nicht::ADV,ei,mitte
774,ein wenig::ADV,vähän,veidi
775,ein wenig::ADV,vähän,natuke
776,kaum::ADV,habi,vaevalt
777,sehr::ADV,lujas,väga
778,so::ADV,muga,nii
779,so::ADV,ninga,nii
780,noch::ADV,völ,veel
781,nur::ADV,järg,ainult
782,nur::ADV,vaiše,ainult
783,schon::ADV,jo,juba
784,wieder::ADV,möst,jälle
785,vergebens::ADV,uhtei,asjata
786,vor::PRP,edes,ees
787,hinter::PRP,taga,taha
788,unter::PRP,al,all
789,durch::PRP,läbi,läbi
790,durch::PRP,läbi,kaudu
791,durch::PRP,kal't,läbi
792,durch::PRP,kal't,kaudu
793,neben::PRP,rindal,kõrval
794,zwischen::PRP,keskes,vahel
795,wegen::PRP,tagut,tõttu
796,wegen::PRP,tagut,pärast
797,dies::PRN,nece,see
798,das::PRN,se,see
799,alles::PRN,kaik,kõik
800,ich::PRN,minä,mina
801,du::PRN,sinä,sina
802,er::PRN,hän,tema
803,wir::PRN,mö,me
804,ihr::PRN,tö,te
805,sie::PRN,hö,nad
806,was::FPRN,mi,mis
807,wer::FPRN,ken,kes
808,wo::FADV,kus,kus
809,wohin::FADV,kuna,kuhu
810,wie::FADV,kut,kuidas
811,wie::FADV,mit',kuidas
812,warum::FADV,mikš,miks
813,wieviel::FNUM,äjak,mitu
814,wieviel::FNUM,äjak,kui palju
815,wieviel::FNUM,kuverz',mitu
816,wieviel::FNUM,kuverz',kui palju
817,eins::NUM,üks',üks
818,zwei::NUM,kaks',kaks
819,drei::NUM,koume,kolm
820,vier::NUM,nel'l',neli
821,fünf::NUM,viž,viis
822,sechs::NUM,kuz',kuus
823,sieben::NUM,seičeme,seitse
824,acht::NUM,kahesa,kaheksa
825,neun::NUM,ühesa,üheksa
826,zehn::NUM,kümne,kümme
827,elf::NUM,üks'toštkümne,üksteist
828,zwölf::NUM,kaks'toštkümne,kaksteist
829,zwanzig::NUM,kaks'kümne,kakskümmend
830,dreißig::NUM,koumekümne,kolmkümmend
831,vierzig::NUM,nel'l'kümne,nelikümmend
832,fünfzig::NUM,vižkümne,viiskümmend
