,Concept_ID,xal,tt
56,Hunger::N,харһнлһн,ачлык
57,Träne::N,нульмсн,яшь
58,Geschmack::N,амтн,тәм
59,Geschmack::N,амтн,зәвык
60,Geruch::N,үнр,ис
61,Schlaf::N,нөр,йокы
62,Traum::N,зүүдн,төш
63,Himmel::N,теңгр,күк
64,Sonne::N,нарн,кояш
65,Mond::N,сар,ай
66,Stern::N,одн,йолдыз
67,Luft::N,аһар,һава
68,Wind::N,салькн,җил
69,Welle::N,дольган,дулкын
70,Wasser::N,усн,су
71,Stein::N,чолун,таш
72,Boden::N,Һазр,туфрак
73,Erde::N,Һазр,җир
74,Staub::N,тоосн,тузан
75,Rauch::N,утан,төтен
76,Funke::N,очн,очкын
77,Feuer::N,һал,ут
78,Licht::N,герл,якты
79,Schatten::N,сүүдр,күләгә
80,Wetter::N,теңгр,һава
81,Nebel::N,будн,томан
82,Wolke::N,үүлн,болыт
83,Regen::N,хур,яңгыр
84,Schnee::N,цасн,кар
85,Eis::N,мөсн,боз
86,Frost::N,киитн,суык
87,Frost::N,киитн,салкын
88,Kälte::N,киитн,суык
89,Kälte::N,киитн,салкын
90,Hitze::N,халун,эсселек
91,Raureif::N,цаң,бәс
92,Raureif::N,цаң,сыкы
93,Raureif::N,кирү,бәс
94,Raureif::N,кирү,сыкы
95,Regenbogen::N,солңһ,салават күпере
96,Donner::N,оһтрһун дун,күкрәү
97,Strömung::N,урсхл,агыш'агым
98,Tropfen::N,дусал,тамчы
99,Schaum::N,көөсн,күбек
100,Schmutz::N,кир,пычрак
101,See::N,нур,күл
102,Sumpf::N,унул,саз
103,Moor::N,улм,торфлык
104,Wiese::N,хадлһн,болын
105,Wald::N,ө-модн,урман
106,Hügel::N,толһа,калку
107,Anhöhe::N,хамр,үр
108,Berg::N,уул,тау
109,Gipfel::N,ора,оч
110,Höhle::N,хадин көндә,мәгарә
111,Abhang::N,ташу,кабырга
112,Quelle::N,булг,чишмә
113,Bach::N,һооҗур,елга
114,Fluss::N,һол,дәрья
115,Ufer::N,көвә,су кырые
116,Küste::N,көвә,яр буе
117,Küste::N,теңгсин көвә,яр буе
118,Festland::N,хүүрә һазр,коры җир
119,Meer::N,теңгс,диңгез
120,Bucht::N,цекә,бухта
121,Bucht::N,цекә,култык
122,Bucht::N,теңгсин цекә,бухта
123,Bucht::N,теңгсин цекә,култык
124,Insel::N,арл,атау
125,Insel::N,арл,утрау
126,Blume::N,цецг,чәчкә
127,Gras::N,ноһан,үлән
128,Wurzel::N,уңг,тамыр
129,Baum::N,модн,агач
130,Stamm::N,шилв,кәүсә
131,Stamm::N,һол модн,кәүсә
132,Rinde::N,көрсн,кабык
133,Ast::N,ац,ботак
134,Zweig::N,ац,ботак
135,Zweig::N,ац,тармак
136,Blatt::N,хамтхасн,яфрак
137,Birke::N,хусм модн,каен
138,Kiefer[Baum]::N,шар харһа,нарат
139,Weide[Baum]::N,удн,тал
140,Tanne::N,җөөлн цаһан модн,чыршы
141,Horn::N,өвр,мөгез
142,Feder::N,өрвлг,йон
143,Fell::N,арсн,тире
144,Flügel::N,җивр,канат
145,Klaue::N,хумсн,тырнак
146,Kralle::N,тавг,тырнак
147,Schwanz::N,сүл,койрык
148,Ei::N,өндгн,күкәй
149,Ei::N,өндгн,йомырка
150,Nest::N,үр,оя
151,Bau::N,нүкн,өн
152,Tier::N,мал,хайван
153,Herde::N,сүрг мал,көтү
154,Kuh::N,үкр,сыер
155,Bulle::N,бух,үгез
156,Pferd::N,мөрн,ат
157,Schaf::N,хөн,сарык
158,Schwein::N,һаха,дуңгыз
159,Hund::N,ноха,эт
160,Katze::N,мис,песи
161,Bär::N,аю,аю
162,Eichhörnchen::N,кермн,тиен
163,Elch::N,хандһа,поши
164,Fuchs::N,арат,төлке
165,Hase::N,туула,куян
166,Maus::N,хулһн,тычкан
167,Wolf::N,чон,бүре
168,Vogel::N,шовун,кош
169,Schwarm::N,зел,көтү
170,Huhn::N,така,тавык
171,Hahn::N,эр така,әтәч
172,Gans::N,һалун,каз
173,Adler::N,һәрд,каракош
174,Ente::N,нуһсн,үрдәк
175,Eule::N,һурвлһ,ябалак
176,Kranich::N,тоһрун,торна
177,Krähe::N,шаазһа,карга
178,Kuckuck::N,эргин хуцдг,күке
179,Kuckuck::N,эргин хуцдг,кәккүк
180,Schwan::N,хун,аккош
181,Fisch::N,заһсн,балык
182,Barsch::N,шүрг,алабуга
183,Hecht::N,цурх,чуртан
184,Schlange[Tier]::N,моһа,елан
185,Wurm::N,өтн,корт
186,Spinne::N,аралҗн,үрмәкүч
187,Ameise::N,шорһлҗн,кырмыска
188,Laus::N,бөөсн,бет
189,Mücke::N,бөкүн,черки
190,Mücke::N,бөкүн,озынборын
191,Fliege::N,батхн,чебен
192,Schmetterling::N,эрвәкә,күбәләк
193,Beere::N,бөөлҗрһн,җиләк
194,Apfel::N,альмн,алма
195,Pilz::N,теңгрин ки,гөмбә
196,Zwiebel::N,мәңгрснә толһа,суган
197,Zwiebel::N,мәңгрснә толһа,суганбаш
198,Saat::N,буудян экн,орлык
199,Korn::N,экн,иген
200,Korn::N,экн,орлык
201,Heu::N,өвсн,печән
202,Schale::N,хальсн,кабык
203,Grube::N,нүкн,баз
204,Grube::N,нүкн,чокыр
205,Falle::N,урх,тозак
206,Falle::N,урх,капкын
207,Falle::N,хавх,тозак
208,Falle::N,хавх,капкын
209,Schlinge::N,бүтү,элмәк
210,Spur::N,мөр,эз
211,Asche::N,үмсн,көл
212,Dreck::N,бальчг,пычрак
213,Eisen::N,төмр,тимер
214,Gold::N,алтн,алтын
215,Silber::N,мөңгн,көмеш
216,Silber::N,цаһан мөңгн,көмеш
217,Kohle::N,нүүрсн,күмер
218,Glas::N,шил,пыяла
219,Lehm::N,шавр,балчык
220,Sand::N,элсн,ком
221,Mensch::N,күн,адәм
222,Mensch::N,күн,инсан
223,Mensch::N,күмн,адәм
224,Mensch::N,күмн,инсан
225,Mann::N,эр,ир
226,Frau::N,күүкд күн,хатын
227,Kind::N,үрн,бала
228,Junge::N,көвүн,малай
229,Mädchen::N,бичкн күүкн,кыз
230,Familie::N,бүл,гаилә
231,Großvater::N,өвк эцк,бабай
232,Großvater::N,наһц эцк,бабай
233,Großmutter::N,эмг эк,әби
234,Großmutter::N,наһц эк,әби
235,Eltern::N,эк эцк хойр,ата-ана
236,Vater::N,эцк,ата
237,Mutter::N,эк,ана
238,Sohn::N,көвүн,ул
239,Tochter::N,күүкн,кыз
240,Bruder::N,дү көвүн,кардәш
241,Schwester::N,эгч,апа
242,Schwester::N,эгч,сеңел
243,Schwester::N,дү күүкн,апа
244,Schwester::N,дү күүкн,сеңел
245,Onkel::N,авһ,дәдә
246,Onkel::N,авһ,дәдәй
247,Onkel::N,наһцх,дәдә
248,Onkel::N,наһцх,дәдәй
249,Tante::N,наһц эгч,түти
250,Tante::N,наһц эгч,тәтәй
251,Ehemann::N,залу,ир
252,Ehefrau::N,гергн,хатын
253,Freude::N,байр,сөенеч
254,Gelächter::N,инәдн,көлү
255,Gelächter::N,инәдн,көлеш
256,Glück::N,җирһл,бәхет
257,Glück::N,сәәхн җирһл,бәхет
258,Kummer::N,зовлң,хәсрәт
259,Wunsch::N,дурн,теләк
260,Lust::N,җилвтлһн,теләк
261,Lust::N,җилвтлһн,теләү
262,Geist::N,зөрг,рух
263,Gedanke::N,ухан,уй
264,Gedanke::N,ухан,фикер
265,Gedächtnis::N,чееҗин тодлвр,хәтер
266,Verstand::N,ухан,акыл
267,Sinn::N,учр-утх,мәгънә
268,Grund::N,учр,сәбәп
269,Grund::N,шалтан,сәбәп
270,Wahrheit::N,үнн,хак
271,Gespräch::N,күүндвүр,әңгәмә
272,Märchen::N,тууль,әкият
273,Erzählung::N,келвр,хикәя
274,Nachricht::N,медүллһн,хәбәр
275,Neuigkeit::N,зәңг,яңалык
276,Name::N,нерн,исем
277,Rätsel::N,тәәлвртә тууль,табышмак
278,Rede::N,келлһн,нотык
279,Sprache::N,келн,тел
280,Stimme::N,дун,тавыш
281,Wort::N,үг,сүз
282,Zeichen::N,темдг,ишарә
283,Ruf::N,дуудлһн,дәшү
284,Lärm::N,шууган,шау
285,Laut::N,ә,аваз
286,Ton::N,дун,шалтырату
287,Lied::N,дун,җыр
288,Ruhe::N,амулң,тынлык
289,Leute::N,әмтн,халык
290,Volk::N,улс,халык
291,Arbeit::N,көдлмш,эш
292,Arbeit::N,көдлмш,хезмәт
293,Gast::N,гиич,кунак
294,Geschenk::N,белг,бүләк
295,Spiel::N,наадн,уен
296,Gesellschaft::N,олн,җәмгыять
297,Hilfe::N,нөкд,ярдәм
298,Hilfe::N,нөкд,булышлык
299,Freund::N,иньг,дус
300,Kamerad::N,үр,иптәш
301,Angelegenheit::N,керг,эш
302,Anzahl::N,то,микъдар
303,Art::N,зүүл,төр
304,Stück::N,хусг,кисәк
305,Teil::N,хүв,өлеш
306,Hälfte::N,өрәл,ярым
307,Kreis::N,төгрг,түгәрәк
308,Kreuz::N,кирс,хач
309,Kreuz::N,кирс,тәре
310,Linie::N,зурасн,сызык
311,Strich::N,татасн,сызык
312,Abstand::N,зә,ара
313,Entfernung::N,һазр,ераклык
314,Gegend::N,һазр,урын
315,Platz::N,зә,бушлык
316,Ort::N,бәәрн,урын
317,Seite::N,тал,як
318,Seite::N,хаҗу,як
319,Seite::N,хәврһ,як
320,Mitte::N,дунд,урта
321,Gegenstand::N,юмн,нәрсә
322,Sache::N,юмн,нәрсә
323,Rand::N,зах,чит
324,Kante::N,ирмәг,кырый
325,Ecke::N,өнцг,почмак
326,Spitze::N,үзүр,оч
327,Ende::N,үзүр,азак
328,Loch::N,хаһрха,тишек
329,Winkel::N,булң,почмак
330,Muster::N,намч,парча
331,Größe::N,кемҗән,зурлык
332,Länge::N,ут,озынлык
333,Höhe::N,өндр,биеклек
334,Gewicht::N,күнд,авырлык
335,Gewicht::N,чиңнүр,авырлык
336,Menge::N,ик,микъдар
337,Haufen::N,ова,өем
338,Reihe::N,зерг,рәт
339,Reihe::N,зерглән,рәт
340,Boot::N,оңһц,каек
341,Boot::N,оңһц,көймә
342,Ruder::N,хәәв,ишкәк
343,Schlitten::N,цан,чана
344,Ski::N,лыҗ,чаңгы
345,Lagerfeuer::N,костёр,костёр
346,Last::N,күнд,йөк
347,Gang::N,йовлһн,йөреш
348,Schritt::N,ишкм,адым
349,Norden::N,ар үзг,төньяк
350,Süden::N,өмн,көньяк
351,Süden::N,өмн үзг,көньяк
352,Westen::N,барун,көнбатыш
353,Westen::N,барун үзг,көнбатыш
354,Osten::N,зүн,шәрык
355,Osten::N,зүн,көнчыгыш
356,Osten::N,зүн үзг,шәрык
357,Osten::N,зүн үзг,көнчыгыш
358,Holz::N,модн,агач
359,Brett::N,харһа,такта
360,Platte::N,хавтха чолун,плитә
361,Stütze::N,тулг,таяу
362,Stange::N,уньн,колга
363,Stock::N,модн,таяк
364,Stab::N,шуург,таяк
365,Rohr::N,турва,торба
366,Haus::N,гер,өй
367,Haus::N,гер,йорт
368,Heim::N,гер-бул,гаилә
369,Heim::N,гер-бул,нәсел
370,Ofen::N,беш,мич
371,Fußboden::N,девскр,идән
372,Tisch::N,ширә,өстәл
373,Stuhl::N,стул,утыргыч
374,Wiege::N,өлгә,бишек
375,Wiege::N,дүүҗң,бишек
376,Bett::N,орн,ятак
377,Bett::N,орн,урын-җир
378,Bett::N,орндг,ятак
379,Bett::N,орндг,урын-җир
380,Regal::N,таг,киштә
381,Regal::N,таг,шүрлек
382,Regal::N,тәвц,киштә
383,Regal::N,тәвц,шүрлек
384,Kiste::N,яршг,әрҗә
385,Fenster::N,терз,тәрәзә
386,Tür::N,үүдн,ишек
387,Tor::N,үүдн,капка
388,Tor::N,өргн үүдн,капка
389,Tor::N,хашан үүдн,капка
390,Zaun::N,хаша,койма
391,Dach::N,деевр,түбә
392,Leiter::N,шат,баскыч
393,Leiter::N,давшур,баскыч
394,Besen::N,сәвүр,себерке
395,Spaten::N,күрз,көрәк
396,Schaufel::N,совг,көрәк
397,Gabel::N,серә,чәннечке
398,Löffel::N,ухр,кашык
399,Messer::N,утх,пычак
400,Nagel::N,хадасн,кадак
401,Netz::N,гөлм,челтәр
402,Haken::N,дегә,ыргак
403,Griff::N,иш,тотка
404,Griff::N,бәрүл,тотка
405,Schloss::N,оньс,йозак
406,Bild::N,зург,рәсем
407,Bild::N,зург,картина
408,Figur::N,фигур,сын
409,Figur::N,фигур,фигура
410,Puppe::N,наадһа,курчак
411,Beutel::N,мишг,луза
412,Bündel::N,багла,бәйләм
413,Bündel::N,боодһа,бәйләм
414,Tasche::N,сумк,букча
415,Eimer::N,суулһ,чиләк
416,Deckel::N,бүркәсн,капкач
417,Geschirr::N,сав,савыт-саба
418,Geschirr::N,сав,кашык-аяк
419,Geschirr::N,сав-сарх,савыт-саба
420,Geschirr::N,сав-сарх,кашык-аяк
421,Sack::N,мишг,капчык
422,Tasse::N,ааһ,чынаяк
423,Topf::N,кастрюль,чүлмәк
424,Kessel::N,хәәсн,казан
425,Essen::N,зоогллһн,ашау
426,Nahrung::N,теҗәл,азык
427,Nahrung::N,теҗәл,тәгам
428,Nahrung::N,теҗәл,ашамлык
429,Speise::N,хот,ризык
430,Fleisch::N,махн,ит
431,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,ашлык
432,Brei::N,хаш,ботка
433,Brot::N,өдмг,ипи
434,Brot::N,өдмг,икмәк
435,Scheibe::N,зүсм,телем
436,Fett::N,өөкн,май
437,Butter::N,тосн,май
438,Öl::N,тосн,май
439,Salz::N,давсн,тоз
440,Suppe::N,шөлн,шулпа
441,Honig::N,бал,бал
442,Milch::N,үсн,сөт
443,Tee::N,цә,чәй
444,Leder::N,арсн,күн
445,Wolle::N,утцн,йон
446,Wolle::N,эд,йон
447,Stoff::N,эд,тукыма
448,Nadel::N,зүн,энә
449,Faden::N,утцн,җеп
450,Knopf::N,товч,төймә
451,Knoten::N,зәңгдә,төен
452,Farbe::N,будг,буяу
453,Kleidung::N,хувцн,кием
454,Kleidung::N,хувц-хунр,кием
455,Hemd::N,киилг,күлмәк
456,Kragen::N,зах,яка
457,Ärmel::N,ханцн,җиң
458,Hose::N,шалвур,чалбар
459,Gürtel::N,бүс,билбау
460,Mütze::N,махла,бүрек
461,Schuh::N,башмгуд,башмак
462,Stiefel::N,һосн,итек
463,Ring::N,билцг,балдак
464,Band::N,лент,тасма
465,Kamm::N,сам,тарак
466,Spiegel::N,толь,көзге
467,Riemen::N,бүс,каеш
468,Schnur::N,деесн,бау
469,Leine::N,бурнтг,тезген
470,Leine::N,нохан көтлвр,тезген
471,Decke::N,көнҗл,юрган
472,Kissen::N,дер,мендәр
473,Tuch::N,альчур,яулык
474,Handtuch::N,полотенц,сөлгә
475,Handtuch::N,һар-нүүрин альчур,сөлгә
476,Kraft::N,күчн,егәр
477,Kraft::N,күчн,дәрман
478,Stärke::N,чидл,көч
479,Stärke::N,чидл,дәрман
480,Gesundheit::N,эрүл-менд,саулык
481,Krankheit::N,өвчн,чир
482,Krankheit::N,өвчн,хаста
483,Krankheit::N,өвчн,сырхау
484,Schmerz::N,өвдлһн,авырту
485,Wunde::N,шав,яра
486,Wunde::N,шав,җәрәхәт
487,Fieber::N,безг,бизгәк
488,Arznei::N,эм,дару
489,Brücke::N,тагт,күпер
490,Brunnen::N,худг,кое
491,Weide::N,малын идг,утлавык
492,Pfad::N,цувг,сукмак
493,Weg::N,хаалһ,юл
494,Straße::N,зам,урам
495,Dorf::N,хотн,авыл
496,Stadt::N,балһсн,шәһәр
497,Brief::N,бичг,хат
498,Buch::N,дегтр,китап
499,Buchstabe::N,үзг,хәреф
500,Zeitung::N,газет,газет
501,Zeitung::N,газет,газета
502,Leben::N,җирһл,гомер
503,Leben::N,җирһл,тормыш
504,Leben::N,җирһл,тереклек
505,Tod::N,үкл,үлем
506,Tod::N,өңгрлһн,үлем
507,Grab::N,оршалһна нүкн,гүр
508,Grab::N,оршалһна нүкн,кабер
509,Kirche::N,чонҗ,чиркәү
510,Sünde::N,нүл,язык
511,Sünde::N,нүл,гөнаһ
512,Sünde::N,килнц,язык
513,Sünde::N,килнц,гөнаһ
514,Gott::N,бурхн,алла
515,Gott::N,бурхн,ходай
516,Arbeiter::N,көдлмшч,эшче
517,Chef::N,толһач,башлык
518,Meister::N,урн,оста
519,Arzt::N,эмч,врач
520,Arzt::N,эмч,табиб
521,Lehrer::N,багш,укытучы
522,Lehrer::N,багш,мөгаллим
523,Geld::N,мөңгн,акча
524,Geschäft::N,көдлмш,эш
525,Laden::N,лавк,кибет
526,Laden::N,лавк,магазин
527,Preis::N,үн,бәя
528,Preis::N,үн,бәһа
529,Ware::N,эд-тавр,товар
530,Nutzen::N,олз,файда
531,Reichtum::N,зөөр,байлык
532,Welt::N,орчлң,дөнья
533,Welt::N,делкә,дөнья
534,Land::N,орн-нутг,ил
535,Staat::N,государств,дәүләт
536,König::N,хан,патша
537,Macht::N,йосн,хакимият
538,Grenze::N,меҗә,чик
539,Krieg::N,дән,сугыш
540,Feind::N,дәәсн,дошман
541,Gewalt::N,күч һарһлһн,көчләү
542,Kampf::N,ноолдан,көрәш
543,Kampf::N,бәрлдлһн,көрәш
544,Bogen[Waffe]::N,саадг,җәя
545,Pfeil::N,сумн,ук
546,Gewehr::N,бу,мылтык
547,Fehler::N,алдг,хата
548,Lüge::N,худл,ялган
549,Schaden::N,хорлт,зыян
550,Schaden::N,хорлт,зарар
551,Unglück::N,гүрм,бәла
552,Schuld::N,гем,гаеп
553,Schuld::N,буру,гаеп
554,Alter::N,насн,яшь
555,Schluss::N,чилгч,ахыр
556,Zeit::N,цаг,заман
557,Tag::N,өдр,көн
558,Morgen::N,өрүн,иртә
559,Mittag::N,үд,өйлә
560,Abend::N,асхн,кич
561,Nacht::N,сө,төн
562,Woche::N,долан хонг,атна
563,Monat::N,сар,ай
564,Jahr::N,җил,ел
565,Frühling::N,хавр,яз
566,Sommer::N,зун,җәй
567,Herbst::N,намр,көз
568,Winter::N,үвл,кыш
569,Januar::N,январь,гыйнвар
570,Februar::N,февраль,февраль
571,März::N,март,март
572,März::N,моһа сар,март
573,April::N,апрель,апрель
574,Mai::N,май,май
575,Juni::N,июнь,июнь
576,Juni::N,мөчн сар,июнь
577,Juli::N,июль,июль
578,August::N,август,август
579,September::N,һаха сар,сентябрь
580,Oktober::N,октябрь,октябрь
581,November::N,ноябрь,ноябрь
582,November::N,үкр сар,ноябрь
583,Dezember::N,бар сар,декабрь
584,Montag::N,понедельник,дүшәмбе
585,Dienstag::N,вторник,сишәмбе
586,Mittwoch::N,среда,чәршәмбе
587,Mittwoch::N,үлмҗ өдр,чәршәмбе
588,Donnerstag::N,четверг,атнакич
589,Donnerstag::N,четверг,пәнҗешәмбе
590,Donnerstag::N,пүрвә өдр,атнакич
591,Donnerstag::N,пүрвә өдр,пәнҗешәмбе
592,Freitag::N,пятниц,җомга
593,Samstag::N,суббот,шимбә
594,Sonntag::N,нарн өдр,якшәмбе
595,Sonntag::N,воскресень,якшәмбе
596,groß::A,ик,зур
597,klein::A,бичкн,кечкенә
598,lang::A,ут,озын
599,kurz::A,оһтр,кыска
600,breit::A,өргн,киң
601,schmal::A,уутьхн,кысык
602,dicht::A,нигт,куе
603,dick[Gegenstand]::A,зузан,калын
604,dünn::A,нимгн,нечкә
605,fein::A,нәрхн,нәзакәтле
606,fest::A,бат,нык
607,flach::A,хавтха,яссы
608,flach::A,хавтха,ялпак
609,glatt::A,тегш,шома
610,glatt::A,тиньгр,шома
611,hart::A,хату,каты
612,weich::A,җөөлн,йомшак
613,weich::A,җөөлкн,йомшак
614,rund::A,төгрг,түгәрәк
615,spitz::A,шовһр,очлы
616,scharf::A,хурц,үткен
617,stumpf::A,мука,үтмәс
618,schwer::A,күнд,салмак
619,schön::A,сәәхн,гүзәл
620,heiß::A,халун,эссе
621,warm::A,дулан,җылы
622,kalt::A,киитн,суык
623,kalt::A,киитн,салкын
624,kühl::A,серүн,салкынча
625,frisch::A,серүн,салкынча
626,feucht::A,чиигтә,юеш
627,nass::A,чиигтә,дымлы
628,trocken::A,хагсу,коры
629,voll::A,дүүрң,тулы
630,leer::A,сул,буш
631,leer::A,хоосн,буш
632,offen::A,секәтә,ачык
633,geschlossen::A,хаалһата,йомык
634,sauber::A,цевр,пакь
635,sauber::A,цевр,чиста
636,schmutzig::A,киртә,керле
637,schmutzig::A,киртә,пычрак
638,roh::A,түүкә,чи
639,reif::A,болсн,өлгергән
640,lecker::A,әмтәхн,тәмле
641,süß::A,әмтәхн,татлы
642,bitter::A,һашун,ачы
643,bitter::A,һашута,ачы
644,sauer::A,ишклң,әче
645,hell::A,герлтә,якты
646,dunkel::A,харңһу,кара
647,schwarz::A,хар,кара
648,weiß::A,цаһан,ак
649,rot::A,улан,кызыл
650,gelb::A,шар,сары
651,blau::A,көк,күк
652,grün::A,көк,яшел
653,grau::A,бор,соры
654,bunt::A,алг,чуар
655,bunt::A,эрәтә,чуар
656,billig::A,кимд,арзан
657,teuer::A,үнтә,хаклы
658,wertvoll::A,үнтә,кыйммәтле
659,wertvoll::A,эрднь,кыйммәтле
660,blind::A,сохр,сукыр
661,blind::A,сохр,күзсез
662,taub::A,дүлә,чукрак
663,taub::A,дүлә,саңгырау
664,kräftig::A,күчтә,егәрле
665,stark::A,чаңһ,нык
666,stark::A,чаңһ,базык
667,schwach::A,күчн тату,зәгыйфь
668,fett::A,тарһн,симез
669,schlank::A,эццн,нәзек
670,hübsch::A,көркхн,чибәр
671,böse::A,уурта,усал
672,dumm::A,тенг,акылсыз
673,faul::A,залху,ялкау
674,faul::A,залху,иренчәк
675,fleißig::A,кинән,тырыш
676,fleißig::A,кинән,тырышучан
677,fleißig::A,кинмһә,тырыш
678,fleißig::A,кинмһә,тырышучан
679,geizig::A,ховдг,саран
680,klug::A,ухата,акыллы
681,geschickt::A,чадмг,маһир
682,lieb::A,эңкр,сөекле
683,lustig::A,сергмҗтә,күңелле
684,lustig::A,җирһлтә,күңелле
685,sanft::A,номһн,басынкы
686,hungrig::A,өлн,ач
687,hungrig::A,харһнсн,ач
688,krank::A,өвчтә,чирле
689,krank::A,өвчтә,сырхау
690,krank::A,шалтгта,чирле
691,krank::A,шалтгта,сырхау
692,nackt::A,нүцкн,шәрә
693,traurig::A,һундлта,ямансу
694,lebendig::A,әмд,тере
695,gut::A,сән,яхшы
696,schlecht::A,му,начар
697,richtig::A,зөвтә,дөрес
698,schlimm::A,җигшүртә,әшәкә
699,wahr::A,үнн,чып-чын
700,wahr::A,мөн,чып-чын
701,alt::A,хуучн,иске
702,neu::A,шин,яңа
703,ehemalig::A,хуучн,элекке
704,alt[Lebewesen]::A,көгшн,карт
705,jung::A,баһ,яшь
706,arm::A,угатя,фәкыйрь
707,reich::A,байн,бай
708,bekannt::A,таньл,таныш
709,bekannt::A,таньдг,таныш
710,berühmt::A,туурсн,атаклы
711,fremd::A,күүнә,ят
712,verschieden::A,әдл биш,төрле
713,verschieden::A,йилһәтә,төрле
714,nah::A,өөрхн,якын
715,fern::A,хол,ерак
716,linker::A,зүн,сул
717,rechter::A,барун,уң
718,anderer::A,талдан,бүтән
719,erster::A,негдгч,беренче
720,zweiter::A,хойрдгч,икенче
721,dritter::A,һурвдгч,өченче
722,letzter::A,отхн,ахыргы
723,allein::ADV,һанцарн,ялгыз
724,auf einmal::ADV,нег дәкҗ,бердән
725,zusammen::ADV,хамдан,бергә
726,lange::ADV,удан,озак
727,plötzlich::ADV,генткн,искәрмәстән
728,sofort::ADV,дарунь,хәзер
729,später::ADV,сүүлд,соңрак
730,jetzt::ADV,ода,хәзер
731,heute::ADV,эндр,бүген
732,morgen::ADV,маңһдур,иртәгә
733,bald::ADV,дарунь,тиздән
734,dann::ADV,дәкәд,аннары
735,gestern::ADV,өцклдүр,кичә
736,einst::ADV,нег саамд,берчак
737,damals::ADV,тиигхд,ул вакытта
738,damals::ADV,тиигхд,ул чакта
739,danach::ADV,тегәд,да
740,vorher::ADV,урд,элек
741,zuerst::ADV,түрүләд,башта
742,einmal::ADV,нег дәкҗ,бер
743,einmal::ADV,нег дәкҗ,бер мәртәбә
744,manchmal::ADV,зәрмдән,кайчакта
745,oft::ADV,хара биш,еш
746,oft::ADV,хатяр биш,еш
747,oft::ADV,дару-дарунь,еш
748,immer::ADV,оньдинд,һәркайчан
749,niemals::ADV,кезә чмгн биш,hичбер вакыт
750,hier::ADV,энд,монда
751,hier::ADV,энд,биредә
752,hier::ADV,энүнд,монда
753,hier::ADV,энүнд,биредә
754,hierhin::ADV,нааран,монда
755,von hier::ADV,эндәс,моннан
756,dort::ADV,тенд,анда
757,dorthin::ADV,тиигән,тегеләй
758,geradeaus::ADV,шуд,турыдан-туры
759,vorwärts::ADV,уралан,алга
760,rückwärts::ADV,гедргән,кире
761,zurück::ADV,хәрү,кире
762,unten::ADV,дор,түбәндә
763,hinab::ADV,дор,аска
764,hinab::ADV,доракшан,аска
765,oben::ADV,деер,өстә
766,oben::ADV,деер,югарыда
767,hinauf::ADV,өөдән,өскә
768,hinauf::ADV,деер,өскә
769,überall::ADV,альд болв чигн,hәркайда
770,nicht::ADV,эс,түгел
771,nicht::ADV,биш,түгел
772,nicht::ADV,бичә,түгел
773,ein wenig::ADV,баахн,бераз
774,ein wenig::ADV,баахнар,бераз
775,kaum::ADV,әрә,көчкә
776,sehr::ADV,йир,бик
777,so::ADV,иигҗ,алай
778,noch::ADV,ода чигн,янә
779,noch::ADV,ода чигн,тагын
780,nur::ADV,һанцхн,фәкать
781,schon::ADV,одх,инде
782,wieder::ADV,бас,янә
783,wieder::ADV,бас,тагын
784,vergebens::ADV,киидән,юкка
785,vor::PRP,урд,алдыннан
