,Concept_ID,ja,ab
159,Schwarm::N,群れ,
160,Huhn::N,鶏,акəты
161,Hahn::N,雄鶏,арбаҕь
162,Gans::N,ガチョウ,аҟыз
163,Adler::N,鷲,ауарба
164,Ente::N,鴨,акəата
165,Eule::N,フクロウ,аты
166,Kranich::N,鶴,апҟа
167,Krähe::N,烏,аҟəараан
168,Kuckuck::N,郭公,акəыкəу
169,Schwan::N,白鳥,агьад
170,Fisch::N,魚,аҧсыӡ
171,Barsch::N,鱸,ацəыбла
172,Hecht::N,川魳,ахиаала
173,Schlange[Tier]::N,蛇,амаҭ
174,Wurm::N,虫,ахəа
175,Wurm::N,虫,ахəац
176,Spinne::N,蜘蛛,абызкаҭаҳа
177,Ameise::N,蟻,ашышкамс
178,Laus::N,虱,аҵа
179,Mücke::N,蚊,акəыбры
180,Fliege::N,蝿,амҵ
181,Schmetterling::N,蝶,аҧарҧалыкь
182,Beere::N,漿果,аргуц
183,Apfel::N,林檎,аҵəа
184,Pilz::N,茸,акəкəбаа
185,Zwiebel::N,玉葱,аџьымшьы
186,Zwiebel::N,玉葱,аџьымшьхы
187,Saat::N,種,ажəла
188,Korn::N,粒,арыц
189,Heu::N,干し草,аҭəа
190,Schale::N,皮,ацəа
191,Grube::N,穴,ажра
192,Grube::N,穴,атыша
193,Falle::N,わな,арыҧҟьа
194,Schlinge::N,輪,аҟəараҟəантə
195,Spur::N,跡,ашьҭа
196,Asche::N,灰,ахəа
197,Dreck::N,泥,аҳəынҵəа
198,Dreck::N,泥,аҟьамсар
199,Eisen::N,鉄,аиха
200,Gold::N,金,ахьы
201,Silber::N,銀,аразны
202,Kohle::N,炭,арацəа
203,Glas::N,ガラス,асаркьа
204,Lehm::N,ローム,анышəаҧшь
205,Sand::N,砂,аҧслымӡ
206,Mensch::N,人,ауаҩы
207,Mann::N,男,ахаҵа
208,Mann::N,男性,ахаҵа
209,Frau::N,女,аҧҳəыс
210,Frau::N,女性,аҧҳəыс
211,Kind::N,子,ахəыҷы
212,Kind::N,子供,ахəыҷы
213,Junge::N,男の子,аҷкəын
214,Junge::N,男の子,ахаҵарҧыс
215,Mädchen::N,女の子,аӡӷаб
216,Familie::N,家族,аҭаацəа
217,Großvater::N,祖父,абду
218,Großvater::N,おじいさん,абду
219,Großmutter::N,祖母,анду
220,Großmutter::N,おばあさん,анду
221,Eltern::N,親,ани аби
222,Eltern::N,両親,ани аби
223,Vater::N,父,аб
224,Vater::N,お父さん,аб
225,Mutter::N,母,ан
226,Mutter::N,お母さん,ан
227,Sohn::N,息子,аҧа
228,Sohn::N,息子さん,аҧа
229,Tochter::N,娘,аҧҳа
230,Tochter::N,お嬢さん,аҧҳа
231,Bruder::N,弟,аиашьа
232,Schwester::N,妹,Аҳəшьа
233,Onkel::N,伯父,абиашьа
234,Onkel::N,伯父,аншьа
235,Onkel::N,伯父さん,абиашьа
236,Onkel::N,伯父さん,аншьа
237,Tante::N,叔母,абиаҳəшьа
238,Tante::N,叔母さん,абиаҳəшьа
239,Ehemann::N,夫,ахаҵа
240,Ehemann::N,夫,аҧшəма
241,Ehemann::N,主人,ахаҵа
242,Ehemann::N,主人,аҧшəма
243,Ehefrau::N,妻,аҧҳəыс
244,Ehefrau::N,奥さん,аҧҳəыс
245,Freude::N,喜び,агəырӷьара
246,Gelächter::N,笑い,ачча
247,Gelächter::N,笑い,аччара
248,Glück::N,幸せ,аразҟы
249,Kummer::N,悩み,агəырҩа
250,Wunsch::N,希望,агəхəтəы
251,Wunsch::N,希望,аҭахра
252,Lust::N,気,агəазыҳəара
253,Geist::N,精神,аҧсы
254,Gedanke::N,考え,ахəыцырҭа
255,Gedächtnis::N,記憶,агəынкылара
256,Verstand::N,理解力,ахшыҩ
257,Sinn::N,意味,аҵакы
258,Grund::N,理由,амзыз
259,Wahrheit::N,真実,аиаша
260,Gespräch::N,会話,аиҿцәажәара
261,Märchen::N,童話,алакə
262,Erzählung::N,物語,ажәабжь
263,Nachricht::N,報告,адырраҭара
264,Neuigkeit::N,ニュース,ажәабжь ҿыц
265,Name::N,名前,ахьӡ
266,Rätsel::N,謎,ацуфара
267,Rede::N,演説,ажәа
268,Sprache::N,言語,абызшəа
269,Stimme::N,声,абжьы
270,Wort::N,言葉,ажәа
271,Zeichen::N,記号,адырга
272,Ruf::N,呼び声,аҿҭы
273,Lärm::N,騒音,ашьҭыбжь
274,Laut::N,音,ашьҭыбжь
275,Ton::N,音,атон
276,Lied::N,歌,ашəа
277,Ruhe::N,静けさ,аҭынчра
278,Leute::N,人々,ауаа
279,Volk::N,民族,ажəлар
280,Arbeit::N,仕事,аусура
281,Gast::N,客,асас
282,Geschenk::N,贈り物,аҳамҭа
283,Geschenk::N,贈り物,аҿанҵа
284,Spiel::N,遊び,ахəмарра
285,Gesellschaft::N,社会,агəыҧ
286,Hilfe::N,援助,ацхыраара
287,Freund::N,友達,аҩыза
288,Kamerad::N,同志,Аҧхнагьла
289,Angelegenheit::N,件,аус
290,Anzahl::N,数,ахыҧхьаӡара
291,Art::N,種類,ахкы
292,Stück::N,部分,аҽыҭ
293,Teil::N,部分,ахəҭа
294,Hälfte::N,半分,абжа
295,Kreis::N,円,агьагьа
296,Kreuz::N,十字,аџьар
297,Linie::N,線,аицтәар
298,Strich::N,線,ацəаҳəа
299,Abstand::N,距離,абжьара
300,Entfernung::N,距離,абжьара
301,Gegend::N,辺,аҭыҧ
302,Gegend::N,地域,аҭыҧ
303,Platz::N,ゆとり,аҭыҧ
304,Ort::N,所,аҭыҧ
305,Ort::N,場所,аҭыҧ
306,Seite::N,横,аган
307,Mitte::N,真ん中,агəҭа
308,Gegenstand::N,物件,амаҭəар
309,Sache::N,物,
310,Rand::N,端,аҵкар
311,Kante::N,縁,авардым
312,Ecke::N,角,акəакь
313,Spitze::N,先頭,аҧынҵа
314,Ende::N,端,анаӡара
315,Loch::N,穴,акылҵəара
316,Winkel::N,片隅,агҿаҩра
317,Winkel::N,片隅,акəындхə
318,Winkel::N,片隅,акəакь
319,Muster::N,模様,аҟҟа
320,Größe::N,大きさ,изаҟароу
321,Länge::N,長さ,аура
322,Höhe::N,高さ,агылара
323,Gewicht::N,重さ,акапан
324,Menge::N,量,
325,Haufen::N,堆積,ачаҟəа
326,Reihe::N,並び,ацəаҳəа
327,Boot::N,ボート,анышь
328,Ruder::N,オール,ажəҩа
329,Schlitten::N,そり,ашəаҩауардын
330,Ski::N,スキー,ашəаҩа
331,Ski::N,スキー,ашьахаха
332,Lagerfeuer::N,篝火,еиқуу амца
333,Last::N,荷物,ахьанҭара
334,Gang::N,歩み,аныҟəара
335,Schritt::N,歩,ашьаҿа
336,Norden::N,北,аҩада
337,Süden::N,南,алада
338,Westen::N,西,амраҭашəара
339,Osten::N,東,амрагылара
340,Holz::N,木,амҿымаҭəахə
341,Holz::N,木材,амҿымаҭəахə
342,Brett::N,板,аӷəы
343,Platte::N,盤,ахаҳәцәы
344,Stütze::N,支柱,аҵаргəа
345,Stütze::N,支柱,агəышьаҟа
346,Stange::N,棒,акьат
347,Stock::N,杖,алаба
348,Stab::N,棒,акьат
349,Rohr::N,管,абыкь
350,Haus::N,家,аҩны
351,Heim::N,家,аҭаацəа
352,Ofen::N,ストーブ,аҳақə
353,Ofen::N,ストーブ,ауаџьаҟ
354,Ofen::N,ストーブ,афрына
355,Fußboden::N,床,адашьма
356,Tisch::N,机,аишәа
357,Stuhl::N,椅子,аҟəардə
358,Wiege::N,揺籃,агара
359,Bett::N,ベッド,акаруаҭ
360,Regal::N,棚,акыӷəра
361,Kiste::N,箱,аидчаҧала
362,Fenster::N,窓,аҧенџьыр
363,Tür::N,戸,ашə
364,Tür::N,ドア,ашə
365,Tor::N,門,агəашə
366,Zaun::N,垣根,аанда
367,Dach::N,屋根,ахыб
368,Leiter::N,梯子,амардуан
369,Besen::N,ほうき,аҧссага
370,Spaten::N,スコップ,ажыга
371,Schaufel::N,シャベル,аҭəарӷəы
372,Gabel::N,フォーク,ачқьыҧ
373,Löffel::N,スプーン,амҳаҵə
374,Messer::N,ナイフ,аҳəызба
375,Nagel::N,釘,аҵəымӷ
376,Netz::N,網,акаҭа
377,Haken::N,鉤,аҵəаҳə
378,Haken::N,フック,аҵəаҳə
379,Griff::N,取っ手,амаа
380,Schloss::N,錠,асаҧаҭ
381,Bild::N,絵,асахьа
382,Figur::N,像,афигура
383,Puppe::N,人形,акьанџьа
384,Beutel::N,袋,асакь
385,Bündel::N,束,аҿаҳəара
386,Bündel::N,包み,аҿаҳəара
387,Tasche::N,かばん,арҭмаҟ
388,Eimer::N,バケツ,аведра
389,Deckel::N,蓋,ахҩа
390,Geschirr::N,食器,ачысмаҭəа
391,Sack::N,袋,асакь
392,Tasse::N,カップ,аҵəца
393,Topf::N,鍋,акаструлиа
394,Kessel::N,釜,ачуан
395,Essen::N,食事,
396,Nahrung::N,食物,афатə
397,Speise::N,料理,афатə
398,Fleisch::N,肉,акəац
399,Getreide::N,麦,ачакуа
400,Getreide::N,穀物,ачакуа
401,Brei::N,粥,ақашь
402,Brot::N,パン,ача
403,Scheibe::N,枚,аҽыҭ
404,Scheibe::N,枚,аҿаҵа
405,Scheibe::N,切れ,аҽыҭ
406,Scheibe::N,切れ,аҿаҵа
407,Fett::N,脂肪,ашша
408,Butter::N,バター,ахəша
409,Öl::N,油,азеҭ
410,Salz::N,塩,аџьыка
411,Suppe::N,スープ,асуҧ
412,Honig::N,蜂蜜,ацха
413,Milch::N,牛乳,ахш
414,Tee::N,茶,ачаи
415,Tee::N,お茶,ачаи
416,Leder::N,革,ацəа
417,Wolle::N,毛糸,аласа
418,Stoff::N,布,Аба
419,Nadel::N,針,агəыр
420,Faden::N,糸,арахəыц
421,Knopf::N,ボタン,аҳəынҵəра
422,Knoten::N,結び目,аиқəҳəала
423,Farbe::N,ペンキ,ашəыга
424,Kleidung::N,衣服,амаҭəа
425,Hemd::N,シャツ,акьаҿ
426,Kragen::N,襟,ахəда
427,Ärmel::N,袖,амаӷра
428,Hose::N,ズボン,аиқəа
429,Gürtel::N,帯,амаҟа
430,Gürtel::N,ベルト,амаҟа
431,Mütze::N,帽子,ахылҧа
432,Schuh::N,靴,аимаа
433,Stiefel::N,ブーツ,амагə
434,Ring::N,輪,амацəаз
435,Band::N,リボン,алента
436,Kamm::N,櫛,ахҳəа
437,Spiegel::N,鏡,асаркьа
438,Riemen::N,緒,аа
439,Schnur::N,紐,ашаха
440,Leine::N,綱,аҕура
441,Decke::N,掛け布団,ахыза
442,Kissen::N,枕,ахчы
443,Tuch::N,スカーフ,акасы
444,Handtuch::N,タオル,ампахьшьы
445,Kraft::N,力,амч
446,Stärke::N,強さ,амч
447,Gesundheit::N,健康,агəабзиара
448,Krankheit::N,病気,ачымазара
449,Schmerz::N,痛み,ахьаа
450,Wunde::N,傷,ахəра
451,Fieber::N,熱,ашоура
452,Arznei::N,薬,ахəшə
453,Brücke::N,橋,ацҳа
454,Brunnen::N,井戸,аҵыџь
455,Weide::N,牧場,аҳəырҭа
456,Pfad::N,小路,амхəасҭа
457,Weg::N,道,амҩа
458,Straße::N,街道,амҩа
459,Dorf::N,村,ақыҭа
460,Stadt::N,町,ақалақь
461,Stadt::N,都市,ақалақь
462,Brief::N,手紙,ашəҟəы
463,Buch::N,本,ашəҟəы
464,Buchstabe::N,文字,анбан
465,Zeitung::N,新聞,агазеҭ
466,Leben::N,生活,аҧсҭазаара
467,Tod::N,死,аҧсра
468,Grab::N,墓,анышəынҭра
469,Kirche::N,教会,ауахəама
470,Sünde::N,罪,агəнаҳа
471,Gott::N,神,анцəа
472,Arbeiter::N,労働者,аусуҩ
473,Chef::N,上司,Аиҳабы
474,Meister::N,達人,аҟаза
475,Meister::N,マイスター,аҟаза
476,Arzt::N,医者,аҳақьым
477,Lehrer::N,先生,арҵаҩы
478,Geld::N,金,аҧара
479,Geschäft::N,取り引き,
480,Laden::N,店,амагазин
481,Preis::N,値段,ахə
482,Ware::N,商品,атауар
483,Nutzen::N,利益,ақьар
484,Reichtum::N,豊かさ,абеиара
485,Welt::N,世界,адунеи
486,Land::N,国,атəыла
487,Staat::N,国家,аҳəынҭқарра
488,König::N,国王,акрал
489,Macht::N,権力,амчра
490,Grenze::N,国境,аҳəаа
491,Krieg::N,戦争,аибашьра
492,Feind::N,敵,Аҕа
493,Gewalt::N,暴力,ақəымчра
494,Kampf::N,戦い,ақəҧара
495,Bogen[Waffe]::N,弓,ахыц
496,Pfeil::N,矢,ахəымпал
497,Gewehr::N,銃,ашəақь
498,Fehler::N,間違い,агха
499,Lüge::N,嘘,амц
500,Schaden::N,損害,аҧырхага
501,Unglück::N,不幸,арыцҳара
502,Schuld::N,罪,ахара
503,Alter::N,年,ақəра
504,Alter::N,年齢,ақəра
505,Schluss::N,終わり,анҵəамҭа
506,Zeit::N,時,аамта
507,Zeit::N,時間,аамта
508,Tag::N,日,амш
509,Morgen::N,朝,ашара
510,Morgen::N,朝,ашьыбжь
511,Mittag::N,昼,шьыбжьон
512,Abend::N,晩,ахəылҧаз
513,Abend::N,晩,ахəлбыҽха
514,Abend::N,夕方,ахəылҧаз
515,Abend::N,夕方,ахəлбыҽха
516,Nacht::N,夜,аҵх
517,Woche::N,週,амчыбжь
518,Monat::N,月,
519,Jahr::N,年,
520,Frühling::N,春,ааҕын
521,Sommer::N,夏,аҧхын
522,Herbst::N,秋,ҭагалан
523,Herbst::N,秋,хкаарачан
524,Winter::N,冬,аӡын
525,Januar::N,一月,ианвар
526,Februar::N,二月,февраль
527,März::N,三月,март
528,April::N,四月,апрель
529,Mai::N,五月,маи
530,Juni::N,六月,иуун
531,Juli::N,七月,иууль
532,August::N,八月,август
533,September::N,九月,сентиабр
534,Oktober::N,十月,октиабр
535,November::N,十一月,ноиабр
536,Dezember::N,十二月,декабр
537,Montag::N,月曜日,ашəахьа
538,Dienstag::N,火曜日,аҩаша
539,Mittwoch::N,水曜日,ахаша
540,Donnerstag::N,木曜日,аҧшьаша
541,Freitag::N,金曜日,ахəаша
542,Samstag::N,土曜日,асабша
543,Sonntag::N,日曜日,амҽыша
544,groß::A,大きい,аду
545,klein::A,小さい,амаҷ
546,lang::A,長い,ахəхəа
547,kurz::A,短い,акьаҿ
548,breit::A,広い,аиужь
549,breit::A,広い,аиҵых
550,schmal::A,狭い,аҭшəа
551,dicht::A,密な,аилач
552,dick[Gegenstand]::A,厚い,ажəпа
553,dünn::A,薄い,
554,fein::A,細い,апа
555,fein::A,細い,аҵаӷа
556,fein::A,細い,аӡа
557,fest::A,硬い,аҟаца
558,fest::A,硬い,аӷəӷəаҟаца
559,flach::A,平らな,ақəаҟьа
560,flach::A,平らな,аҧаҟьа
561,glatt::A,滑らかな,аимаҩзы
562,hart::A,堅い,акьакьа
563,weich::A,柔らかい,атата
564,rund::A,丸い,акəмпыл
565,spitz::A,尖った,аҵар
566,scharf::A,鋭い,аҵар
567,stumpf::A,鈍い,ацагə
568,schwer::A,重い,ахьанҭа
569,schön::A,綺麗な,аҧшӡа
570,heiß::A,熱い,ашы
571,warm::A,温かい,аҧха
572,kalt::A,寒い,ахьшəашəа
573,kalt::A,冷たい,ахьшəашəа
574,kühl::A,涼しい,ахьшəашəа
575,kühl::A,涼しい,ицәыхьшәашәоу
576,frisch::A,ひんやりした,цқьа
577,feucht::A,湿った,ацəаак
578,nass::A,濡れた,абааӡа
579,trocken::A,乾いた,Аба
580,trocken::A,乾いた,аҩа
581,voll::A,いっぱいの,азна
582,leer::A,空の,аҭацəы
583,offen::A,開いた,аарта
584,geschlossen::A,閉まった,ихҩоу
585,geschlossen::A,閉まった,иаркыу
586,sauber::A,清潔な,ацқьа
587,schmutzig::A,汚い,аҟьашь
588,roh::A,生の,
589,reif::A,熟した,Арҭ
590,reif::A,熟した,аҟала
591,reif::A,熟した,иҟалахьоу
592,lecker::A,美味しい,ахаа
593,süß::A,甘い,азла
594,bitter::A,苦い,аша
595,sauer::A,酸っぱい,аҵəҵəы
596,hell::A,明るい,алаша
597,dunkel::A,暗い,алашьца
598,schwarz::A,黒い,аиқуаҵәа
599,weiß::A,白い,ашкəакəа
600,rot::A,赤い,аҟаҧшь
601,gelb::A,黄色い,аҩеижь
602,blau::A,青い,аҽҵәа
603,grün::A,緑の,ашьацҧшҭəала
604,grün::A,緑の,аеҵəа
605,grau::A,灰色の,ацəыш
606,bunt::A,色取り取りの,Аилыҕраа
607,bunt::A,色取り取りの,аҕраҷкəын
608,billig::A,安い,амариа
609,teuer::A,高い,амҩан
610,wertvoll::A,貴重な,кыр иаҕсоу
611,wertvoll::A,貴重な,акыр иаҕсоу
612,blind::A,盲目の,алашə
613,taub::A,耳が聞こえない,адагəа
614,kräftig::A,強力な,аӷəӷəа
615,stark::A,強い,абаҟа
616,schwach::A,弱い,акəада
617,fett::A,太った,аҧсыла
618,schlank::A,ほっそりした,акала
619,schlank::A,ほっそりした,акьалантар
620,schlank::A,ほっそりした,аиҿартə
621,hübsch::A,素敵な,аҧшӡа
622,böse::A,悪い,абааҧсы
623,dumm::A,馬鹿な,агаӡа
624,faul::A,怠惰な,аашьа
625,fleißig::A,勤勉な,иҟубҷоу
626,geizig::A,けちな,акы
627,geizig::A,けちな,акаҷбеи
628,geizig::A,けちな,аҟəџьыр
629,klug::A,賢い,аҟəыш
630,klug::A,賢い,аҟəыӷа
631,klug::A,頭のいい,аҟəыш
632,klug::A,頭のいい,аҟəыӷа
633,geschickt::A,器用な,напҟазала
634,lieb::A,愛らしい,алашара
635,lustig::A,楽しい,алах-ҿых
636,lustig::A,楽しい,игурҕьаччо
637,lustig::A,楽しい,агурҕьа
638,lustig::A,楽しい,агурҿыхага
639,sanft::A,温和な,атата
640,sanft::A,温和な,аҟəымшəышə
641,sanft::A,温和な,ақьыҧш
642,hungrig::A,空腹の,амлашь
643,krank::A,病気の,ачымазаҩ
644,nackt::A,裸の,аҟьантаз
645,traurig::A,悲しい,алахьеиқəҵага
646,lebendig::A,生きた,абза
647,gut::A,良い,абзиа
648,schlecht::A,悪い,-хəарҭам
649,schlecht::A,駄目な,-хəарҭам
650,richtig::A,正しい,иашоу
651,schlimm::A,ひどい,абааҧсы
652,wahr::A,本当の,агəҭылса
653,wahr::A,本当の,абзиаҵəҟьа
654,alt::A,古い,Ажə
655,neu::A,新しい,аҿыц
656,ehemalig::A,以前の,анкьатәи
657,alt[Lebewesen]::A,年を取った,абырг
658,alt[Lebewesen]::A,年を取った,ақабада
659,alt[Lebewesen]::A,年を取った,Ажə
660,jung::A,若い,аҟата
661,arm::A,貧乏な,ананамга
662,reich::A,裕福な,абеиа
663,bekannt::A,有名な,адыр
664,berühmt::A,有名な,адыр
665,fremd::A,見知らぬ,атəым
666,verschieden::A,色々な,Еиуа-еиҧшым
667,nah::A,近い,ааигəа
668,fern::A,遠い,ахара
669,linker::A,左の,арма
670,rechter::A,右の,арҕьа
671,anderer::A,別の,даҽа
672,anderer::A,別の,даҽакы
673,erster::A,一番目,актәи
674,zweiter::A,二番目,аҩбатəи
675,dritter::A,三番目,ахҕатәи
676,letzter::A,最後の,аҵыхəтəантəи
677,allein::ADV,一人で,мацара
678,auf einmal::ADV,同時に,зныкала
679,auf einmal::ADV,同時に,зныкҟьара
680,zusammen::ADV,一緒に,аиц...
681,lange::ADV,長い間,акыраамҭа
682,plötzlich::ADV,急に,иаалырҟьаны
683,sofort::ADV,すぐに,иаразнакҵәҟьа
684,später::ADV,後で,уажəшьҭаншəа
685,jetzt::ADV,今,уажәы
686,heute::ADV,今日,иахьа
687,morgen::ADV,明日,уаҵәы
688,bald::ADV,間もなく,иласны
689,dann::ADV,それから,нас
690,gestern::ADV,昨日,иацы
691,einst::ADV,過去に,зны
692,damals::ADV,あの時,усҟан
693,danach::ADV,その後で,нас
694,vorher::ADV,以前に,уаанӡа
695,zuerst::ADV,まず,азнаказы
696,zuerst::ADV,まず,аҧхьа
697,zuerst::ADV,最初に,азнаказы
698,zuerst::ADV,最初に,аҧхьа
699,einmal::ADV,一回,зны
700,manchmal::ADV,時々,зны-зынла
701,oft::ADV,よく,лассы-лассы
702,immer::ADV,いつも,енагь
703,immer::ADV,いつも,еснагь
704,niemals::ADV,一度も...ない,ианакəызаалак
705,hier::ADV,こちら,ара
706,hier::ADV,こちら,абра
707,hier::ADV,こちら,араҟа
708,hierhin::ADV,ここへ,ара
709,hierhin::ADV,ここへ,араҟа
710,hierhin::ADV,こちらへ,ара
711,hierhin::ADV,こちらへ,араҟа
712,von hier::ADV,ここから,арантә
713,dort::ADV,そちら,уа
714,dorthin::ADV,そこへ,уахь
715,dorthin::ADV,そこへ,анахь
716,dorthin::ADV,そちらへ,уахь
717,dorthin::ADV,そちらへ,анахь
718,geradeaus::ADV,真っ直ぐに,ишиашоу
719,vorwärts::ADV,前へ,ҕхьаҟа
720,rückwärts::ADV,後ろへ,шьҭахьла
721,zurück::ADV,後ろへ,шьҭахьҟа
722,unten::ADV,下に,лбаа
723,hinab::ADV,下へ,алада
724,oben::ADV,上に,хыхь
725,hinauf::ADV,上へ,аҩада
726,überall::ADV,どこでも,зегьынцьара
727,nicht::ADV,ない,-м
728,ein wenig::ADV,少し,ҕыҭк
729,ein wenig::ADV,ちょっと,ҕыҭк
730,kaum::ADV,ほとんど～ない,аарлаҳәа
731,kaum::ADV,ほとんど～ない,афергьҳәа
732,sehr::ADV,とても,даара
733,so::ADV,こう,ас
734,so::ADV,こう,абас
735,noch::ADV,まだ,макьана
736,nur::ADV,～だけ,заҵәык
737,schon::ADV,もう,уажәшьҭа
738,schon::ADV,もう,аиҳа ипоу
739,wieder::ADV,再び,ҿыц
740,wieder::ADV,再び,дырҩегь
741,wieder::ADV,再び,дырҩегьых
742,vergebens::ADV,無駄に,баша
743,vor::PRP,前に,аҕхьа
744,hinter::PRP,後ろに,нхыҵ
745,unter::PRP,下に,амҵа
746,unter::PRP,下に,амҵан
747,durch::PRP,通して,
748,neben::PRP,横に,ааигуара
