,Concept_ID,sk,ca
345,Strich::N,čiara,ratlla
346,Abstand::N,vzdialenosť,distància
347,Entfernung::N,vzdialenosť,distància
348,Gegend::N,kraj,regió
349,Gegend::N,kraj,contrada
350,Gegend::N,krajina,regió
351,Gegend::N,krajina,contrada
352,Platz::N,miesto,cabuda
353,Ort::N,miesto,lloc
354,Seite::N,bok,banda
355,Seite::N,bok,costāt
356,Seite::N,strana,banda
357,Seite::N,strana,costāt
358,Mitte::N,stred,mig
359,Mitte::N,stred,centre
360,Gegenstand::N,predmet,objecte
361,Sache::N,vec,cosa
362,Rand::N,kraj,vora
363,Rand::N,kraj,marge
364,Rand::N,okraj,vora
365,Rand::N,okraj,marge
366,Kante::N,hrana,caire
367,Kante::N,hrana,cantell
368,Ecke::N,roh,cantonada
369,Spitze::N,hrot,punta
370,Spitze::N,špička,punta
371,Ende::N,koniec,cap
372,Loch::N,diera,forāt
373,Winkel::N,kút,racó
374,Muster::N,vzor,dibuix
375,Muster::N,vzor,disseny
376,Muster::N,vzorka,dibuix
377,Muster::N,vzorka,disseny
378,Größe::N,veľkosť,grandària
379,Länge::N,dĺžka,longitud
380,Höhe::N,výška,altura
381,Höhe::N,výška,altitud
382,Gewicht::N,váha,pes
383,Menge::N,množstvo,quantitat
384,Haufen::N,hŕba,pila
385,Reihe::N,rad,fila
386,Boot::N,čln,bot
387,Boot::N,čln,barca
388,Ruder::N,veslo,rem
389,Schlitten::N,sane,trineu
390,Ski::N,lyža,esquí
391,Lagerfeuer::N,táborák,foc de campament
392,Last::N,ťarcha,càrrega
393,Last::N,bremeno,càrrega
394,Gang::N,chôdza,marxa
395,Schritt::N,krok,pas
396,Norden::N,sever,nord
397,Süden::N,juh,sud
398,Westen::N,západ,oest
399,Westen::N,západ,occident
400,Osten::N,východ,est
401,Osten::N,východ,orient
402,Holz::N,drevo,fusta
403,Brett::N,doska,taula
404,Platte::N,doska,placa
405,Platte::N,platňa,placa
406,Stütze::N,opora,suport
407,Stange::N,tyč,vara
408,Stock::N,palica,pal
409,Stab::N,palica,bastó
410,Rohr::N,rúra,tub
411,Haus::N,dom,casa
412,Heim::N,domov,llar
413,Ofen::N,pec,estufa
414,Ofen::N,kachle,estufa
415,Fußboden::N,dlážka,terra
416,Fußboden::N,podlaha,terra
417,Tisch::N,stôl,taula
418,Stuhl::N,stolička,cadira
419,Wiege::N,kolíska,bressol
420,Bett::N,lôžko,llit
421,Bett::N,posteľ,llit
422,Regal::N,regál,prestatgeria
423,Regal::N,polica,prestatgeria
424,Kiste::N,debna,caixa
425,Fenster::N,okno,finestra
426,Fenster::N,oblok,finestra
427,Tür::N,dvere,porta
428,Tor::N,vráta,portal
429,Zaun::N,plot,tanca
430,Zaun::N,ohrada,tanca
431,Dach::N,krov,teulada
432,Dach::N,strecha,teulada
433,Leiter::N,rebrík,escala
434,Leiter::N,rebrík,escala de mà
435,Leiter::N,rebrina,escala
436,Leiter::N,rebrina,escala de mà
437,Besen::N,metla,escombra
438,Spaten::N,rýľ,pala
