,Concept_ID,ku,pt
118,Gipfel::N,sere gir,pico
119,Höhle::N,şikeft,caverna
120,Abhang::N,kaş,encosta
121,Quelle::N,kanî,fonte
122,Bach::N,çem,regato
123,Bach::N,çem,ribeiro
124,Fluss::N,çem,rio
125,Fluss::N,rûbar,rio
126,Ufer::N,kevî,beira
127,Küste::N,berav,costa
128,Festland::N,bejahî,terra firme
129,Meer::N,behr,mar
130,Bucht::N,derav,baía
131,Insel::N,girav,ilha
132,Blume::N,kulînk,flor
133,Gras::N,giha,erva
134,Wurzel::N,reh,raiz
135,Baum::N,dar,árvore
136,Stamm::N,bavik,tronco
137,Rinde::N,qaqil,casca
138,Ast::N,gulî,ramo
139,Zweig::N,şax,galho
140,Blatt::N,pel,folha
141,Birke::N,dara sipî,bétula
142,Kiefer[Baum]::N,dara bî,pinheiro
143,Weide[Baum]::N,dara belalûk,salgueiro
144,Tanne::N,merx,abeto
145,Horn::N,strô,corno
146,Horn::N,strô,chifre
147,Feder::N,pîrtîk,pena
148,Fell::N,heyar,pele
149,Flügel::N,per,asa
150,Klaue::N,napîk,pata
151,Kralle::N,dinik,unha
152,Kralle::N,dinik,garra
153,Kralle::N,dirnax,unha
154,Kralle::N,dirnax,garra
155,Schwanz::N,dûv,rabo
156,Schwanz::N,dûv,cauda
157,Ei::N,hêk,ovo
158,Nest::N,hêlîn,ninho
159,Bau::N,avahî,toca
160,Bau::N,avahî,covil
161,Tier::N,heywan,animal
162,Herde::N,hoz,rebanho
163,Kuh::N,çêlek,vaca
164,Bulle::N,ga,touro
165,Pferd::N,hesp,cavalo
166,Schaf::N,mîh,ovelha
167,Schwein::N,beraz,porco
168,Hund::N,seh,cão
169,Katze::N,pişîk,gata
170,Bär::N,hirç,urso
171,Eichhörnchen::N,pilûr,esquilo
172,Elch::N,pazkovî,alce
173,Fuchs::N,rovî,raposa
174,Hase::N,kîroşk,lebre
175,Maus::N,mişk,rato
176,Wolf::N,gur,lobo
177,Vogel::N,çûk,ave
178,Vogel::N,çûk,pássaro
179,Schwarm::N,lufik,bando
180,Schwarm::N,lufik,enxame
181,Huhn::N,mirîşk,galinha
182,Hahn::N,dîk,galo
183,Gans::N,qaz,ganso
184,Adler::N,eylo,águia
185,Ente::N,werdek,pata
186,Eule::N,bûm,mocho
187,Eule::N,bûm,coruja
188,Eule::N,kund,mocho
189,Eule::N,kund,coruja
190,Kranich::N,quling,grou
191,Krähe::N,qijik,gralha
192,Kuckuck::N,pepûk,cuco
193,Schwan::N,qû,cisne
194,Fisch::N,masî,peixe
195,Barsch::N,okûn,perca
196,Hecht::N,mesîyê lûf,lúcio
197,Schlange[Tier]::N,mar,serpente
198,Wurm::N,kurm,verme
199,Spinne::N,pîrê,aranha
200,Ameise::N,mîro,formiga
201,Ameise::N,gêrîk,formiga
202,Laus::N,spi,piolho
203,Mücke::N,mêş,mosquito
204,Fliege::N,mêş,mosca
205,Schmetterling::N,perperîk,borboleta
206,Beere::N,hirç,bago
207,Apfel::N,sêv,maçã
208,Pilz::N,bîrov,fungo
209,Pilz::N,bîrov,cogumelo
210,Zwiebel::N,pîvaz,cebola
211,Saat::N,tov,sementeira
212,Korn::N,dexl,grão
213,Heu::N,sap,feno
214,Schale::N,qaşik,casca
215,Grube::N,çahl,cova
216,Grube::N,çahl,fossa
217,Falle::N,dafik,armadilha
218,Schlinge::N,dahf,laço
219,Spur::N,rêç,pista
220,Spur::N,rêç,vestígio
221,Asche::N,xweli,cinza
222,Dreck::N,gemarî,sujidade
223,Eisen::N,hesing,ferro
224,Gold::N,zêr,ouro
225,Silber::N,zîv,prata
226,Kohle::N,komir,carvão
227,Glas::N,qedeh,vidro
228,Lehm::N,kelpîç,barro
229,Lehm::N,kelpîç,argila
230,Sand::N,qûm,areia
231,Mensch::N,mirov,homem
232,Mensch::N,mirov,pessoa
233,Mann::N,mêr,homem
234,Frau::N,jin,mulher
235,Kind::N,zarok,filho
236,Kind::N,zarok,criança
237,Junge::N,kur,rapaz
238,Junge::N,kur,menino
239,Mädchen::N,keç,menina
240,Mädchen::N,keç,rapariga
241,Mädchen::N,keçik,menina
242,Mädchen::N,keçik,rapariga
243,Familie::N,malbat,família
244,Großvater::N,bapîr,avô
245,Großmutter::N,pîrik,avó
246,Eltern::N,bavudê,pais
247,Vater::N,bav,pai
248,Mutter::N,dê,mãe
249,Mutter::N,dayik,mãe
250,Sohn::N,kur,filho
251,Tochter::N,keç,filha
252,Bruder::N,bira,irmão
253,Schwester::N,xweh,irmã
254,Onkel::N,am,tio
255,Onkel::N,xal,tio
256,Tante::N,metik,tia
257,Tante::N,xaltîk,tia
258,Ehemann::N,mêr,esposo
259,Ehefrau::N,kulfet,esposa
260,Freude::N,kêfxweşî,prazer
261,Freude::N,kêfxweşî,alegria
262,Gelächter::N,pîrqînî,risada
263,Gelächter::N,pîrqînî,gargalhada
264,Glück::N,bext,felicidade
265,Kummer::N,derd,aflição
266,Kummer::N,derd,desgosto
267,Wunsch::N,daxwaz,desejo
268,Wunsch::N,xwestek,desejo
269,Lust::N,şewq,vontade
270,Geist::N,aqil,mente
271,Geist::N,aqil,espírito
272,Gedanke::N,fikir,ideia
273,Gedanke::N,fikir,pensamento
274,Gedächtnis::N,aqil,memória
275,Verstand::N,fêm,razão
276,Verstand::N,fêm,inteligência
277,Sinn::N,aqil,sentido
278,Sinn::N,aqil,significado
279,Grund::N,asas,causa
280,Grund::N,asas,motivo
281,Wahrheit::N,rastî,verdade
282,Gespräch::N,guftûgo,conversa
283,Gespräch::N,guftûgo,conversação
284,Märchen::N,çirok,conto
285,Erzählung::N,çirok,conto
286,Erzählung::N,çirok,narrativa
287,Erzählung::N,vegotin,conto
288,Erzählung::N,vegotin,narrativa
289,Nachricht::N,nûçe,mensagem
290,Neuigkeit::N,hewal,notícia
291,Neuigkeit::N,hewal,novidade
292,Name::N,nav,nome
293,Name::N,paşnav,nome
294,Rätsel::N,tiştonek,adivinha
295,Rede::N,gotar,oração
296,Rede::N,gotar,discurso
297,Rede::N,axavtin,oração
298,Rede::N,axavtin,discurso
299,Sprache::N,ziman,língua
300,Stimme::N,pejn,voz
301,Wort::N,gotin,palavra
302,Zeichen::N,şanek,marca
303,Ruf::N,hawar,grito
304,Ruf::N,hawar,chamada
305,Lärm::N,xarbalix,ruído
306,Lärm::N,xarbalix,barulho
307,Laut::N,deng,som
308,Laut::N,hês,som
309,Ton::N,awaz,tom
310,Lied::N,sitran,canção
311,Ruhe::N,rihetî,calma
312,Ruhe::N,rihetî,silêncio
313,Leute::N,xelk,gente
314,Leute::N,xelk,pessoas
315,Volk::N,xelk,povo
316,Volk::N,xelk,nação
317,Arbeit::N,xebat,trabalho
318,Gast::N,mêvan,hóspede
319,Gast::N,mêvan,convidado
320,Geschenk::N,diyarî,prenda
321,Geschenk::N,diyarî,presente
322,Spiel::N,lîstik,jogo
323,Gesellschaft::N,komal,companhia
324,Hilfe::N,alîkarî,ajuda
325,Hilfe::N,alîkarî,socorro
326,Freund::N,heval,amigo
327,Kamerad::N,heval,camarada
328,Angelegenheit::N,pirsgirêk,assunto
329,Anzahl::N,çend,número
330,Anzahl::N,çend,quantidade
331,Art::N,çeh,tipo
332,Art::N,çeh,espécie
333,Stück::N,lib,pedaço
334,Stück::N,parçe,pedaço
335,Teil::N,parçe,peça
336,Teil::N,parçe,parte
337,Hälfte::N,nîvî,metade
338,Kreis::N,çemil,círculo
339,Kreuz::N,xaç,cruz
340,Linie::N,xezik,linha
341,Strich::N,xezik,traço
342,Abstand::N,dûrahî,distância
343,Entfernung::N,dûrahî,distância
344,Gegend::N,dever,área
345,Gegend::N,dever,região
346,Platz::N,çih,lugar
347,Ort::N,dever,sítio
348,Seite::N,rûpel,lado
349,Mitte::N,nav,meio
350,Mitte::N,nabênê,meio
351,Gegenstand::N,tişt,objecto
352,Sache::N,tişt,coisa
353,Rand::N,kevî,bordo
354,Rand::N,kevî,margem
355,Kante::N,kevî,borda
356,Kante::N,kevî,aresta
357,Ecke::N,qunç,esquina
358,Spitze::N,derzî,ponta
359,Ende::N,talî,cabo
360,Ende::N,talî,extremo
361,Loch::N,qul,furo
362,Loch::N,qul,buraco
363,Winkel::N,kurnîşk,canto
364,Winkel::N,kurnîşk,ângulo
365,Muster::N,desen,padrão
366,Muster::N,desen,desenho
367,Größe::N,mezinî,tamanho
368,Länge::N,dirêjahî,comprimento
369,Höhe::N,bilindayî,altura
370,Höhe::N,bilindayî,altitude
371,Gewicht::N,giranî,peso
372,Menge::N,qas,quantidade
373,Haufen::N,lod,pilha
374,Reihe::N,rêz,fila
375,Boot::N,kelek,barco
376,Ruder::N,bêrik,remo
377,Schlitten::N,xîjik,trenó
378,Ski::N,lakan,esqui
379,Lagerfeuer::N,agir,fogueira
380,Last::N,bar,carga
381,Gang::N,fîtêz,curso
382,Gang::N,fîtêz,caminhada
383,Schritt::N,gav,passo
384,Norden::N,bakur,norte
385,Süden::N,başur,sul
386,Westen::N,rojava,oeste
387,Westen::N,rojava,ocidente
388,Osten::N,rojhilat,este
389,Osten::N,rojhilat,leste
390,Osten::N,rojhilat,oriente
391,Holz::N,dep,madeira
392,Brett::N,dep,tábua
393,Brett::N,dep,prancha
394,Platte::N,dep,laje
395,Platte::N,dep,chapa
396,Stütze::N,destek,apoio
397,Stütze::N,destek,suporte
398,Stange::N,sing,vara
399,Stange::N,sing,barra
400,Stock::N,çam,pau
401,Stock::N,çam,bengala
402,Stab::N,qat,bastão
403,Rohr::N,borî,cano
404,Haus::N,mal,casa
405,Haus::N,xanî,casa
406,Heim::N,mal,lar
407,Heim::N,mal,casa
408,Ofen::N,sobe,estufa
409,Ofen::N,sobe,aquecedor
410,Fußboden::N,binpê,piso
411,Tisch::N,mase,mesa
412,Stuhl::N,kursî,cadeira
413,Wiege::N,derguş,berço
414,Bett::N,qerewêle,cama
415,Regal::N,rêbaz,estante
416,Regal::N,rêbaz,prateleira
417,Kiste::N,sindoq,caixa
418,Fenster::N,çam,janela
419,Fenster::N,şibeke,janela
420,Tür::N,derî,porta
421,Tor::N,derge,portão
422,Zaun::N,hejik,cerca
423,Zaun::N,hejik,vedação
424,Dach::N,sere xanî,telhado
425,Leiter::N,pêling,escada
426,Leiter::N,pêling,escada móvel
427,Besen::N,melkes,vassoura
428,Spaten::N,mer,pá
429,Schaufel::N,bêr,pá
430,Gabel::N,çetel,garfo
431,Löffel::N,kevçî,colher
432,Messer::N,kêr,faca
433,Nagel::N,bizmar,cravo
434,Netz::N,tor,rede
435,Haken::N,çenqel,gancho
436,Griff::N,destî,asa
437,Griff::N,destî,cabo
438,Schloss::N,qonax,fechadura
439,Bild::N,dimen,imagem
440,Figur::N,figûr,figura
441,Puppe::N,bûk,boneca
442,Beutel::N,kîsik,saco
443,Beutel::N,kîsik,bolsa
444,Bündel::N,pêçek,fardo
445,Tasche::N,bêrîk,saco
446,Tasche::N,bêrîk,bolso
447,Eimer::N,dewl,balde
448,Deckel::N,devik,tampa
449,Geschirr::N,ferax,louça
450,Sack::N,tûr,saca
451,Tasse::N,kada,chávena
452,Topf::N,beroş,tacho
453,Topf::N,beroş,panela
454,Kessel::N,şîril,caldeira
455,Essen::N,xwarin,refeição
456,Nahrung::N,xwarin,comida
457,Nahrung::N,xwarin,alimento
458,Speise::N,xwarin,prato
459,Fleisch::N,goşt,carne
460,Getreide::N,zad,cereais
461,Brei::N,hewdêl,puré
462,Brot::N,,pão
463,Scheibe::N,parçe,fatia
464,Fett::N,rûn,banha
465,Fett::N,rûn,gordura
466,Butter::N,rûn,manteiga
467,Öl::N,rûn,azeite
468,Salz::N,xwe,sal
469,Suppe::N,şorbe,sopa
470,Suppe::N,şorbe,caldo
471,Honig::N,hingiv,mel
472,Milch::N,şîr,leite
473,Tee::N,çay,chá
474,Leder::N,çerm,couro
475,Wolle::N,herî,lã
476,Stoff::N,paç,pano
477,Stoff::N,paç,tecido
478,Nadel::N,derzî,agulha
479,Faden::N,ta,fio
480,Knopf::N,bişkok,botão
481,Knoten::N,girêk,nó
482,Farbe::N,boyax,corante
483,Kleidung::N,çil,roupa
484,Kleidung::N,çil,vestuário
485,Hemd::N,qutik,camisa
486,Hemd::N,miltan,camisa
487,Kragen::N,stûvang,gola
488,Ärmel::N,hûçik,manga
489,Hose::N,şewel,calça
490,Gürtel::N,qayiş,cinto
491,Mütze::N,fîno,boné
492,Mütze::N,fîno,barrete
493,Schuh::N,şêkal,sapato
494,Stiefel::N,gizme,bota
495,Stiefel::N,çizme,bota
496,Ring::N,xelek,anel
497,Band::N,band,fita
498,Band::N,band,faixa
499,Kamm::N,şeh,pente
500,Spiegel::N,eynik,espelho
501,Riemen::N,qayiş,correia
502,Schnur::N,doxin,corda
503,Schnur::N,doxin,cordel
504,Leine::N,şirît,trela
505,Decke::N,bataniye,cobertor
506,Kissen::N,balgî,almofada
507,Tuch::N,şar,pano
508,Handtuch::N,dezmal,toalha
509,Kraft::N,hêz,força
510,Kraft::N,qewet,força
511,Stärke::N,xurtî,força
512,Gesundheit::N,nojdarî,saúde
513,Krankheit::N,nexweşî,doença
514,Krankheit::N,nexweşî,enfermidade
515,Schmerz::N,êş,dor
516,Wunde::N,kul,chaga
517,Wunde::N,kul,ferida
518,Fieber::N,ta,febre
519,Arznei::N,derman,remédio
520,Brücke::N,kopî,ponte
521,Brunnen::N,çal,poço
522,Brunnen::N,kani,poço
523,Weide::N,beyar,pastagem
524,Pfad::N,xaçirek,senda
525,Pfad::N,xaçirek,trilho
526,Weg::N,rê,caminho
527,Straße::N,rê,via
528,Straße::N,rê,estrada
529,Dorf::N,gund,aldeia
530,Stadt::N,baçar,cidade
531,Brief::N,name,carta
532,Buch::N,kitêb,livro
533,Buch::N,pirtûk,livro
534,Buchstabe::N,herf,letra
535,Zeitung::N,rojname,jornal
536,Leben::N,jiyan,vida
537,Tod::N,mirin,morte
538,Grab::N,mezel,túmulo
539,Grab::N,mezel,sepultura
540,Kirche::N,gilyas,igreja
541,Sünde::N,guneh,pecado
542,Gott::N,xwedê,deus
543,Arbeiter::N,hîşçî,operário
544,Arbeiter::N,hîşçî,trabalhador
545,Chef::N,bêg,chefe
546,Chef::N,bêg,patrão
547,Meister::N,hoste,mestre
548,Arzt::N,doktor,médico
549,Lehrer::N,mamoste,professor
550,Geld::N,pere,dinheiro
551,Geschäft::N,firoşgeh,negócio
552,Laden::N,dikan,loja
553,Preis::N,buha,preço
554,Ware::N,tişt,mercadoria
555,Nutzen::N,fêde,proveito
556,Reichtum::N,serwet,riqueza
557,Welt::N,dinya,mundo
558,Land::N,welat,país
559,Staat::N,dewlet,Estado
560,König::N,şah,rei
561,König::N,qral,rei
562,Macht::N,qewet,poder
563,Macht::N,qewet,potência
564,Macht::N,destihilat,poder
565,Macht::N,destihilat,potência
566,Grenze::N,kevî,fronteira
567,Krieg::N,çeng,guerra
568,Krieg::N,sêwaş,guerra
569,Feind::N,dijmin,inimigo
570,Gewalt::N,zor,violência
571,Kampf::N,şer,luta
572,Kampf::N,şer,combate
573,Bogen[Waffe]::N,kêvan,arco
574,Pfeil::N,çîrik,seta
575,Pfeil::N,çîrik,flecha
576,Gewehr::N,tifing,espingarda
577,Fehler::N,şaşî,erro
578,Fehler::N,şaşî,falha
579,Lüge::N,derew,mentira
580,Schaden::N,xisar,dano
581,Schaden::N,xisar,estrago
582,Unglück::N,bêbextî,desgraça
583,Schuld::N,suç,culpa
584,Alter::N,temen,idade
585,Schluss::N,girtin,fim
586,Zeit::N,çax,tempo
587,Tag::N,roj,dia
588,Morgen::N,sibeh,manhã
589,Mittag::N,nîro,meio-dia
590,Abend::N,êvar,noite
591,Abend::N,êvar,tardinha
592,Nacht::N,şev,noite
593,Woche::N,heftî,semana
594,Monat::N,meh,mês
595,Jahr::N,sal,ano
596,Frühling::N,bihar,primavera
597,Sommer::N,havîn,verão
598,Herbst::N,payîz,outono
599,Winter::N,zistan,inverno
600,Januar::N,çile,Janeiro
601,Februar::N,sibat,Fevereiro
602,März::N,adar,Março
603,April::N,nîsan,Abril
604,Mai::N,gûlan,Maio
605,Juni::N,hezîran,Junho
606,Juli::N,tîmeh,Julho
607,August::N,tebax,Agosto
608,September::N,îlon,Setembro
609,Oktober::N,çotmeh,Outubro
610,November::N,mijdar,Novembro
611,Dezember::N,kanûn,Dezembro
612,Montag::N,duşemb,segunda-feira
613,Dienstag::N,sêşem,terça-feira
614,Mittwoch::N,çarşemb,quarta-feira
615,Donnerstag::N,pêşemb,quinta-feira
616,Freitag::N,în,sexta-feira
617,Samstag::N,şemî,sábado
618,Sonntag::N,yekşemb,domingo
619,groß::A,mezin,grande
620,klein::A,çûçik,pequeno
621,lang::A,dirêj,comprido
622,kurz::A,kin,curto
623,breit::A,fireh,largo
624,schmal::A,tenik,estreito
625,dicht::A,gir,denso
626,dick[Gegenstand]::A,şîşman,grosso
627,dünn::A,zirav,delgado
628,fein::A,tenik,fino
629,fein::A,tenik,subtil
630,fest::A,saxlem,firme
631,fest::A,saxlem,sólido
632,flach::A,pahn,plano
633,glatt::A,dûz,liso
634,glatt::A,şayîk,liso
635,hart::A,hişk,duro
636,weich::A,nerm,mole
637,rund::A,gilover,redondo
638,spitz::A,pîj,agudo
639,scharf::A,tûj,afiado
640,stumpf::A,ne tûj,rombo
641,schwer::A,giran,pesado
642,schön::A,xweş,belo
643,schön::A,xweş,bonito
644,schön::A,xweşik,belo
645,schön::A,xweşik,bonito
646,heiß::A,kelandî,quente
647,warm::A,germ,quente
648,kalt::A,sar,frio
649,kühl::A,jemîrî,fresco
650,frisch::A,ter,fresco
651,feucht::A,şil,húmido
652,nass::A,şilek,molhado
653,trocken::A,zuwa,seco
654,voll::A,tijî,cheio
655,leer::A,vala,vazio
656,offen::A,vekirî,aberto
657,geschlossen::A,asê,fechado
658,sauber::A,pakij,limpo
659,schmutzig::A,lewitî,sujo
660,roh::A,xav,cru
661,reif::A,gihaştî,maduro
662,lecker::A,xweş,delicioso
663,süß::A,şîrîn,doce
664,bitter::A,tahl,amargo
665,sauer::A,tirş,azedo
666,hell::A,ronî,claro
667,dunkel::A,tarî,escuro
668,dunkel::A,tarî,sombrio
669,schwarz::A,reş,preto
670,weiß::A,sipî,branco
671,rot::A,sor,vermelho
672,gelb::A,zer,amarelo
673,blau::A,şîn,azul
674,grün::A,şîn,verde
675,grau::A,gewr,cinzento
676,bunt::A,rengîn,colorido
677,billig::A,erzan,barato
678,teuer::A,biha,caro
679,wertvoll::A,hêja,valioso
680,wertvoll::A,hêja,precioso
681,wertvoll::A,giranbiha,valioso
682,wertvoll::A,giranbiha,precioso
683,blind::A,kor,cego
684,taub::A,kerr,surdo
685,kräftig::A,gir,forte
686,kräftig::A,gir,poderoso
687,kräftig::A,xurt,forte
688,kräftig::A,xurt,poderoso
689,stark::A,xurt,forte
690,stark::A,xurt,robusto
691,schwach::A,kesad,débil
692,fett::A,qelew,gordo
693,schlank::A,zirav,esbelto
694,hübsch::A,xweşik,giro
695,hübsch::A,xweşik,bonito
696,böse::A,xerab,mau
697,böse::A,aciz,mau
698,dumm::A,gêj,parvo
699,dumm::A,gêj,estúpido
700,faul::A,têmbêl,preguiçoso
701,fleißig::A,jêhatî,aplicado
702,fleißig::A,jêhatî,diligente
703,geizig::A,destgirtî,avarento
704,klug::A,baqil,prudente
705,klug::A,baqil,inteligente
706,geschickt::A,zîrek,hábil
707,geschickt::A,ziring,hábil
708,lieb::A,delal,caro
709,lieb::A,delal,querido
710,lustig::A,kêfxweş,alegre
711,sanft::A,nazenîn,suave
712,sanft::A,nazenîn,brando
713,hungrig::A,birçî,faminto
714,krank::A,nexweş,doente
715,krank::A,nexweş,enfermo
716,nackt::A,rût,nu
717,nackt::A,rût,despido
718,nackt::A,tazî,nu
719,nackt::A,tazî,despido
720,traurig::A,xemgîn,triste
721,lebendig::A,bisaxî,vivo
722,gut::A,baş,bom
723,schlecht::A,xerab,mau
724,schlecht::A,xerab,ruim
725,richtig::A,rast,justo
726,richtig::A,rast,correcto
727,richtig::A,saxlem,justo
728,richtig::A,saxlem,correcto
729,schlimm::A,nebaş,mau
730,schlimm::A,nebaş,grave
731,wahr::A,rast,verdadeiro
732,alt::A,pîr,velho
733,alt::A,pîr,antigo
734,alt::A,kevn,velho
735,alt::A,kevn,antigo
736,neu::A,nû,novo
737,ehemalig::A,kevnar,antigo
738,ehemalig::A,peşidar,antigo
739,alt[Lebewesen]::A,pîr,velho
740,jung::A,xort,jovem
741,arm::A,feqîr,pobre
742,arm::A,desteng,pobre
743,reich::A,dewlemend,rico
744,bekannt::A,naskirî,conhecido
745,berühmt::A,navdar,famoso
746,berühmt::A,navdar,célebre
747,fremd::A,xerîb,alheio
748,fremd::A,xerîb,estranho
749,verschieden::A,çîhê,diverso
750,verschieden::A,çîhê,diferente
751,nah::A,nêzîk,próximo
752,fern::A,dûr,remoto
753,fern::A,dûr,distante
754,linker::A,çepê,esquerdo
755,rechter::A,rastê,direito
756,anderer::A,yê din,outro
757,erster::A,yekemîn,primeiro
758,zweiter::A,duda,segundo
759,dritter::A,sisêya,terceiro
760,letzter::A,paşîn,final
761,letzter::A,paşîn,último
762,allein::ADV,tenê,só
763,auf einmal::ADV,jar kê,de vez
764,zusammen::ADV,tev,juntos
765,zusammen::ADV,bi hev re,juntos
766,lange::ADV,dirêj,muito tempo
767,plötzlich::ADV,ji nişkave,de repente
768,sofort::ADV,yekser,imediatamente
769,später::ADV,paşiyê,mais tarde
770,jetzt::ADV,nuha,agora
771,heute::ADV,îro,hoje
772,morgen::ADV,sibeh,amanhã
773,bald::ADV,nêzîk,logo
774,bald::ADV,nêzîk,breve
775,dann::ADV,paşê,então
776,dann::ADV,paşê,depois
777,gestern::ADV,do,ontem
778,einst::ADV,jar ke,antigamente
779,damals::ADV,hîngî,então
780,danach::ADV,piştra,logo
781,danach::ADV,piştra,depois
782,vorher::ADV,pîşî,antes
783,zuerst::ADV,bere,primeiro
784,einmal::ADV,çarik,uma vez
785,manchmal::ADV,çarna,às vezes
786,oft::ADV,gelek çaran,muitas vezes
787,immer::ADV,daîm,sempre
788,niemals::ADV,tu çar,nunca
789,hier::ADV,li vir,cá
790,hier::ADV,li vir,aqui
791,hierhin::ADV,vir,para cá
792,von hier::ADV,ji vir,daqui
793,dort::ADV,li wê derê,lá
794,dort::ADV,li wê derê,ali
795,dorthin::ADV,wêda,lá
796,dorthin::ADV,wêda,para lá
797,geradeaus::ADV,rastê rast,em frente
798,vorwärts::ADV,ber bi pêş,avante
799,rückwärts::ADV,paşpê,para trás
800,zurück::ADV,paşdo,atrás
801,zurück::ADV,paşvê,atrás
802,unten::ADV,jêrî,debaixo
803,unten::ADV,jêrî,em baixo
804,hinab::ADV,berjêr,para baixo
805,oben::ADV,banî,em cima
806,hinauf::ADV,banî,para cima
807,überall::ADV,li her derê,em toda parte
808,nicht::ADV,ne,não
809,nicht::ADV,nîn,não
810,nicht::ADV,tine,não
811,ein wenig::ADV,hebkî,um pouco
812,ein wenig::ADV,hebkî,um bocado
813,kaum::ADV,tema,apenas
814,kaum::ADV,himangi,apenas
815,sehr::ADV,gelek,muito
816,so::ADV,weha,tão
817,so::ADV,weha,assim
818,noch::ADV,hêj,ainda
819,noch::ADV,dîsa,ainda
820,nur::ADV,tenê,só
821,nur::ADV,tenê,apenas
822,nur::ADV,tenê,somente
823,nur::ADV,bes,só
824,nur::ADV,bes,apenas
825,nur::ADV,bes,somente
826,schon::ADV,hew,já
827,wieder::ADV,jar din,outra vez
828,wieder::ADV,dîsa,outra vez
829,vergebens::ADV,deya çun,em vão
830,vergebens::ADV,îfleh bûn,em vão
831,vor::PRP,li ber,diante de
832,hinter::PRP,li pişt,atrás de
833,unter::PRP,li bin,sob
834,unter::PRP,li bin,debaixo de
835,durch::PRP,kura,por
836,durch::PRP,kura,através de
