,Concept_ID,ce,fi
334,Ende::N,юьхьиг,pää
335,Ende::N,юьхьиг,perä
336,Loch::N,ӏуьрг,kolo
337,Loch::N,ӏуьрг,reikä
338,Winkel::N,са,kulma
339,Muster::N,дагар,kuvio
340,Muster::N,тӏамар,kuvio
341,Größe::N,барам,koko
342,Größe::N,барам,suuruus
343,Länge::N,йохалла,pituus
344,Höhe::N,локхалла,korkeus
345,Gewicht::N,йозалла,paino
346,Menge::N,дукхалла,määrä
347,Haufen::N,сал,kasa
348,Haufen::N,оьла,kasa
349,Reihe::N,рагӏ,rivi
350,Reihe::N,могӏа,rivi
351,Boot::N,кема,vene
352,Ruder::N,пийсиг,airo
353,Schlitten::N,салаз,reki
354,Schlitten::N,салаз,kelkka
355,Ski::N,когсалаз,suksi
356,Lagerfeuer::N,цӏе,nuotio
357,Last::N,дукъ,kuorma
358,Gang::N,лелар,kulku
359,Gang::N,лелар,käynti
360,Schritt::N,гӏулч,askel
361,Norden::N,къилбаседе,pohjoinen
362,Süden::N,къилбе,etelä
363,Westen::N,малхбузе,länsi
364,Osten::N,малхбале,itä
365,Holz::N,дечиг,puu
366,Brett::N,у,lauta
367,Platte::N,у,levy
368,Stütze::N,гӏopтоp,noja
369,Stange::N,гӏуркх,tanko
370,Stock::N,ӏаса,keppi
371,Stab::N,гӏаж,sauva
372,Stab::N,гӏаж,seiväs
373,Rohr::N,биргӏа,putki
374,Haus::N,цӏа,talo
375,Heim::N,кхерч,koti
376,Ofen::N,кхерч,uuni
377,Fußboden::N,цӏенкъа,lattia
378,Tisch::N,шун,pöytä
379,Stuhl::N,гӏант,tuoli
380,Wiege::N,ага,kehto
381,Bett::N,маьнга,sänky
382,Regal::N,терхи,hylly
383,Kiste::N,яьшка,arkku
384,Kiste::N,яьшка,kirstu
385,Kiste::N,яьшка,laatikko
386,Fenster::N,кор,ikkuna
387,Tür::N,неӏ,ovi
388,Tor::N,ков,portti
389,Zaun::N,керт,aita
390,Dach::N,тхов,katto
391,Leiter::N,лами,tikkaat
392,Leiter::N,лами,tikapuut
393,Besen::N,нуй,luuta
394,Spaten::N,бел,lapio
395,Schaufel::N,аьшкал,lapio
396,Gabel::N,мӏара,haarukka
397,Löffel::N,ӏайг,lusikka
398,Messer::N,урс,veitsi
399,Nagel::N,хьостам,naula
400,Netz::N,бой,verkko
401,Haken::N,мӏара,haka
402,Haken::N,мӏара,koukku
403,Schloss::N,чӏега,lukko
404,Bild::N,сурт,kuva
405,Puppe::N,тайниг,nukke
406,Beutel::N,гали,pussi
407,Bündel::N,кочар,nippu
408,Bündel::N,кочар,kimppu
409,Tasche::N,тӏоьрмиг,laukku
410,Eimer::N,чийлик,sanko
411,Eimer::N,чийлик,ämpäri
412,Deckel::N,негӏар,kansi
413,Geschirr::N,пхьегӏа,astia
414,Sack::N,гали,säkki
415,Tasse::N,кад,kuppi
416,Topf::N,яй,pata
417,Kessel::N,яй,kattila
418,Essen::N,юург,syönti
419,Nahrung::N,кхача,ruoka
420,Nahrung::N,кхача,ravinto
421,Speise::N,юург,ruoka
422,Fleisch::N,жижиг,liha
423,Getreide::N,буьртиг,vilja
424,Brei::N,xудар,puuro
425,Brot::N,бепиг,leipä
426,Brot::N,кхаллар,leipä
427,Scheibe::N,цастар,viipale
428,Fett::N,мохь,rasva
429,Butter::N,налха,voi
430,Öl::N,даьтта,öljy
431,Salz::N,туьха,suola
432,Suppe::N,чорпа,keitto
433,Honig::N,моз,hunaja
434,Milch::N,шура,maito
435,Tee::N,чай,tee
436,Leder::N,цӏока,nahka
437,Wolle::N,тӏapгӏa,villa
438,Stoff::N,кӏади,kangas
439,Nadel::N,маха,neula
440,Faden::N,тай,lanka
441,Knopf::N,нуьйда,nappi
442,Knoten::N,шад,solmu
443,Farbe::N,сир,maali
444,Farbe::N,басар,maali
445,Kleidung::N,бедар,vaatteet
446,Hemd::N,коч,paita
447,Kragen::N,кач,kaulus
448,Ärmel::N,пхьош,hiha
449,Hose::N,хеча,housut
450,Gürtel::N,доьхка,vyö
451,Mütze::N,куй,lakki
452,Schuh::N,мача,kenkä
453,Stiefel::N,этка,saapas
454,Ring::N,чӏуг,sormus
455,Band::N,лента,nauha
456,Kamm::N,ехк,kampa
457,Spiegel::N,куьзга,peili
458,Riemen::N,доьхка,hihna
459,Schnur::N,муш,naru
460,Schnur::N,муш,nuora
461,Leine::N,кочатосу доьхка,talutushihna
462,Decke::N,юргӏа,peite
463,Kissen::N,гIайба,tyyny
464,Kissen::N,гIайба,pielus
465,Tuch::N,исхар,huivi
466,Handtuch::N,гата,pyyheliina
467,Kraft::N,гӏора,väki
468,Kraft::N,гӏора,voima
469,Stärke::N,гӏап,vahvuus
470,Gesundheit::N,могашалла,terveys
471,Krankheit::N,цамгар,tauti
472,Krankheit::N,цамгар,sairaus
473,Schmerz::N,лазар,kipu
474,Schmerz::N,лазар,särky
475,Wunde::N,чов,haava
476,Fieber::N,xорша,kuume
477,Arznei::N,молха,lääke
478,Brücke::N,тӏай,silta
479,Brunnen::N,гӏу,kaivo
480,Weide::N,дак,laidun
481,Pfad::N,тача,polku
482,Weg::N,некъ,tie
483,Straße::N,урам,katu
484,Dorf::N,юрт,kylä
485,Stadt::N,гӏала,kaupunki
486,Brief::N,кехат,kirje
487,Buch::N,жайна,kirja
488,Buchstabe::N,элп,kirjain
489,Zeitung::N,газет,lehti
490,Zeitung::N,газет,sanomalehti
491,Leben::N,дахар,elo
492,Leben::N,дахар,elämä
493,Tod::N,далар,kuolema
494,Tod::N,ӏожалла,kuolema
495,Grab::N,каш,hauta
496,Kirche::N,килс,kirkko
497,Sünde::N,къа,synti
498,Gott::N,дела,jumala
499,Arbeiter::N,белхало,työläinen
500,Chef::N,хьаькам,päällikkö
501,Meister::N,говзанча,mestari
502,Arzt::N,лор,lääkäri
503,Lehrer::N,хьехархо,opettaja
504,Geld::N,aхча,raha
505,Geschäft::N,туька,liike
506,Laden::N,туька,puoti
507,Laden::N,туька,kauppa
508,Preis::N,мах,hinta
509,Ware::N,хlума,tavara
510,Nutzen::N,пайда,hyöty
511,Reichtum::N,хьал,rikkaus
512,Welt::N,дуьне,maailma
513,Land::N,мохк,maa
514,Staat::N,пачхьалкх,valtio
515,König::N,паччахь,kuningas
516,Macht::N,ӏедал,mahti
517,Grenze::N,доза,raja
518,Krieg::N,тӏом,sota
519,Feind::N,мостагӏ,vihollinen
520,Gewalt::N,гӏело,väkivalta
521,Kampf::N,къийсам,taistelu
522,Pfeil::N,пха,nuoli
523,Gewehr::N,топ,kivääri
524,Fehler::N,гӏалат,vika
525,Fehler::N,гӏалат,virhe
526,Lüge::N,аьшпаш,valhe
527,Schaden::N,зен,vaurio
528,Schaden::N,зен,vahinko
529,Unglück::N,бала,vahinko
530,Unglück::N,бала,onnettomuus
531,Schuld::N,бехк,syy
532,Alter::N,хан,ikä
533,Schluss::N,чакхе,loppu
534,Zeit::N,хан,aika
535,Tag::N,де,päivä
536,Morgen::N,ӏуьйре,aamu
537,Morgen::N,ӏуьйре,huomen
538,Mittag::N,делкъе,keskipäivä
539,Abend::N,суьйре,ilta
540,Nacht::N,буьйса,yö
541,Woche::N,кӏира,viikko
542,Monat::N,бутт,kuukausi
543,Jahr::N,шо,vuosi
544,Frühling::N,бӏаьсте,kevät
545,Sommer::N,аьхке,kesä
546,Herbst::N,гуьйре,syksy
547,Winter::N,ӏа,talvi
548,Januar::N,январь,tammikuu
549,Februar::N,февраль,helmikuu
550,März::N,март,maaliskuu
551,April::N,апрель,huhtikuu
552,Mai::N,май,toukokuu
553,Juni::N,июнь,kesäkuu
554,Juli::N,июль,heinäkuu
555,August::N,август,elokuu
556,September::N,сентябрь,syyskuu
557,Oktober::N,октябрь,lokakuu
558,November::N,ноябрь,marraskuu
559,Dezember::N,декабрь,joulukuu
560,Montag::N,оршот,maanantai
561,Dienstag::N,шинара,tiistai
562,Mittwoch::N,кхаара,keskiviikko
563,Donnerstag::N,еара,torstai
564,Freitag::N,пӏераска,perjantai
565,Samstag::N,шот,lauantai
566,Sonntag::N,кӏиранде,sunnuntai
567,groß::A,доккха,iso
568,groß::A,доккха,suuri
569,klein::A,кегий,pieni
570,lang::A,еха,pitkä
571,kurz::A,доца,lyhyt
572,breit::A,шуьйра,leveä
573,schmal::A,готта,kapea
574,dicht::A,луьста,taaja
575,dick[Gegenstand]::A,стомма,paksu
576,dünn::A,дуткъа,ohut
577,fein::A,ховха,hieno
578,fest::A,чӏогӏа,luja
579,flach::A,чӏапа,litteä
580,flach::A,чӏапа,tasainen
581,glatt::A,шера,sileä
582,glatt::A,шера,siloinen
583,hart::A,чӏогӏa,kova
584,weich::A,кӏеда,pehmeä
585,rund::A,горга,pyöreä
586,spitz::A,ира,terävä
587,scharf::A,ира,terävä
588,stumpf::A,аьртa,tylsä
589,schwer::A,деза,raskas
590,schwer::A,деза,painava
591,schön::A,хаза,kaunis
592,heiß::A,довха,kuuma
593,warm::A,довха,lämmin
594,kalt::A,шийла,kylmä
595,kalt::A,шийла,viluinen
596,kühl::A,шийла,viileä
597,frisch::A,керла,tuore
598,feucht::A,тӏуьна,kostea
599,nass::A,тӏеда,märkä
600,trocken::A,eкъа,kuiva
601,voll::A,дуьзна,täysi
602,leer::A,яьсса,tyhjä
603,offen::A,диллина,avonainen
604,geschlossen::A,дӏакъевлина,suljettu
605,geschlossen::A,дӏачӏагӏдина,suljettu
606,sauber::A,цӏена,puhdas
607,schmutzig::A,боьха,likainen
608,roh::A,буьйда,raaka
609,reif::A,хилла,kypsä
610,lecker::A,чоме,herkullinen
611,süß::A,мерза,makea
612,bitter::A,къаьхьа,karvas
613,bitter::A,къаьхьа,kitkerä
614,sauer::A,муьста,hapan
615,hell::A,сирла,kirkas
616,hell::A,сирла,valoisa
617,dunkel::A,бодане,pimeä
618,schwarz::A,ӏаьржа,musta
619,weiß::A,кӏайн,valkea
620,rot::A,цӏен,punainen
621,gelb::A,можа,keltainen
622,blau::A,сийна,sininen
623,grün::A,баьццара,vihreä
624,grau::A,cира,harmaa
625,grau::A,мокха,harmaa
626,bunt::A,къорза,kirjava
627,billig::A,дораха,halpa
628,billig::A,дораха,huokea
629,teuer::A,деза,kallis
630,wertvoll::A,мехала,arvokas
631,blind::A,бӏаьрзе,sokea
632,taub::A,къора,kuuro
633,kräftig::A,нуьцкъала,väkevä
634,kräftig::A,нуьцкъала,voimakas
635,stark::A,зоьртала,vahva
636,stark::A,нуьцкъала,vahva
637,schwach::A,гӏорасиза,heikko
638,fett::A,дерстана,lihava
639,schlank::A,куц долу,hoikka
640,schlank::A,куц долу,solakka
641,hübsch::A,хаза,soma
642,hübsch::A,хаза,sievä
643,böse::A,вон,paha
644,böse::A,вон,häijy
645,dumm::A,сонта,tyhmä
646,dumm::A,сонта,typerä
647,faul::A,мало ен,laiska
648,fleißig::A,тӏера,ahkera
649,geizig::A,пис,saita
650,geizig::A,сутара,saita
651,klug::A,хьекъале,älykäs
652,geschickt::A,тӏахъаьлла,taitava
653,lieb::A,хьоме,rakas
654,lustig::A,самукъане,hauska
655,lustig::A,самукъане,iloinen
656,sanft::A,кlеда,lauha
657,sanft::A,кlеда,lempeä
658,hungrig::A,меца,nälkäinen
659,krank::A,цомгуш долу,sairas
660,nackt::A,дерзана,alaston
661,traurig::A,самукъане воцу,surullinen
662,traurig::A,самукъане воцу,murheellinen
663,lebendig::A,дийна,elävä
664,gut::A,дика,hyvä
665,schlecht::A,вон,paha
666,schlecht::A,вон,huono
667,richtig::A,нийса,oikea
668,schlimm::A,вон,paha
669,wahr::A,бакъдолу,tosi
670,alt::A,къена,vanha
671,neu::A,керла,uusi
672,ehemalig::A,хилла,entinen
673,ehemalig::A,хилла,muinainen
674,alt[Lebewesen]::A,къена,vanha
675,jung::A,къона,nuori
676,arm::A,къен,köyhä
677,reich::A,хьоле,rikas
678,bekannt::A,девзаш долу,tuttu
679,bekannt::A,девзаш долу,tunnettu
