,Concept_ID,az,lt
297,Lied::N,mahnı,giesmė
298,Ruhe::N,sakitlik,ramybė
299,Ruhe::N,sakitlik,ramumas
300,Leute::N,xalq,žmonės
301,Volk::N,millət,tauta
302,Arbeit::N,iş,darbas
303,Arbeit::N,iş,triūsas
304,Arbeit::N,əmək,darbas
305,Arbeit::N,əmək,triūsas
306,Gast::N,qonaq,svečias
307,Gast::N,müsafir,svečias
308,Geschenk::N,hədiyyə,dovana
309,Spiel::N,oyun,žaismas
310,Spiel::N,oyun,žaidimas
311,Spiel::N,tamaşa,žaismas
312,Spiel::N,tamaşa,žaidimas
313,Gesellschaft::N,cəmiyyet,draugija
314,Gesellschaft::N,cəmiyyet,kompanija
315,Hilfe::N,kömək,pagalba
316,Hilfe::N,yardım,pagalba
317,Freund::N,dost,draugas
318,Freund::N,dost,bičiulis
319,Kamerad::N,yoldaş,draugas
320,Angelegenheit::N,iş,dalykas
321,Angelegenheit::N,iş,reikalas
322,Anzahl::N,say,kiekis
323,Anzahl::N,say,skaičius
324,Art::N,çeşid,rūšis
325,Stück::N,dənə,gabalas
326,Stück::N,parça,gabalas
327,Teil::N,qisim,dalis
328,Hälfte::N,yarım,pusė
329,Kreis::N,dairə,ratas
330,Kreis::N,dairə,apskritis
331,Kreis::N,dairə,apskritimas
332,Kreuz::N,xaç,kryžius
333,Linie::N,xətt,linija
334,Strich::N,cızıq,brėžis
335,Strich::N,cızıq,brūkšnys
336,Abstand::N,məsafə,atstumas
337,Entfernung::N,məsafə,atstumas
338,Entfernung::N,uzaqlıq,atstumas
339,Gegend::N,bölgə,vietovė
340,Platz::N,yer,vieta
341,Ort::N,yer,vieta
342,Ort::N,yer,vietovė
343,Seite::N,yan,pusė
344,Seite::N,yan,šonas
345,Seite::N,tərəf,pusė
346,Seite::N,tərəf,šonas
347,Mitte::N,orta,vidurys
348,Gegenstand::N,şey,dalykas
349,Sache::N,şey,daiktas
350,Rand::N,kənar,kraštas
351,Rand::N,kənar,pakraštys
352,Kante::N,tiyə,kraštas
353,Kante::N,kənar,kraštas
354,Ecke::N,bucaq,kertė
355,Ecke::N,bucaq,kampas
356,Spitze::N,uc,priekis
357,Spitze::N,uc,priešakys
358,Ende::N,son,galas
359,Ende::N,axır,galas
360,Loch::N,deşik,skylė
361,Winkel::N,guşə,kampas
362,Winkel::N,guşə,kampelis
363,Muster::N,ülgü,raštas
364,Größe::N,böyüklük,dydis
365,Größe::N,böyüklük,didumas
366,Länge::N,uzunluq,ilgis
367,Länge::N,uzunluq,ilgumas
368,Höhe::N,yüksəklik,aukštis
369,Höhe::N,yüksəklik,aukštuma
370,Gewicht::N,çəki,svoris
371,Gewicht::N,çəki,svarstis
372,Gewicht::N,ağırlıq,svoris
373,Gewicht::N,ağırlıq,svarstis
374,Menge::N,miqdar,kiekis
375,Menge::N,miqdar,daugybė
376,Haufen::N,yığın,krūva
377,Haufen::N,yığın,šūsnis
378,Reihe::N,səf,greta
379,Reihe::N,sıra,greta
380,Boot::N,qayıq,valtis
381,Boot::N,qayıq,laivelis
382,Ruder::N,kürək,irklas
383,Schlitten::N,kirşə,rogės
384,Schlitten::N,kirşə,rogutės
385,Ski::N,xizək,slidė
386,Lagerfeuer::N,düşərgə tonqalı,laužas
387,Last::N,yük,našta
388,Last::N,yük,nešulys
389,Gang::N,yeriş,eisena
390,Schritt::N,addım,žingsnis
391,Norden::N,şimal,šiaurė
