,Concept_ID,uk,ce
82,Raureif::N,іній,йис
83,Regenbogen::N,райдуга,стелаӏад
84,Donner::N,грім,ткъес
85,Strömung::N,струмина,дӏаэхар
86,Strömung::N,струмина,дӏасалелар
87,Tropfen::N,крапля,тӏадам
88,Schaum::N,піна,чопа
89,Schmutz::N,бруд,хатт
90,See::N,озеро,ӏам
91,Sumpf::N,драговина,уьшал
92,Moor::N,болото,уьшал
93,Wiese::N,луг,бай
94,Wiese::N,лука,бай
95,Wald::N,ліс,хьун
96,Hügel::N,горб,гу
97,Hügel::N,горб,шу
98,Hügel::N,горб,барз
99,Anhöhe::N,височина,акъари
100,Berg::N,гора,лам
101,Gipfel::N,вершина,бохь
102,Höhle::N,печера,хьех
103,Abhang::N,схил,басе
104,Quelle::N,джерело,шовда
105,Bach::N,струмок,татол
106,Fluss::N,річка,хи
107,Ufer::N,берег,хийист
108,Küste::N,узбережжя,йист
109,Festland::N,суша,латта
110,Meer::N,море,xӏорд
111,Bucht::N,бухта,чож
112,Bucht::N,затока,чож
113,Insel::N,острів,гӏайре
114,Blume::N,квітка,зезаг
115,Gras::N,трава,буц
116,Wurzel::N,корінь,орам
117,Baum::N,дерево,дитт
118,Stamm::N,стовбур,гӏад
119,Stamm::N,стовбур,тайпа
120,Rinde::N,кора,кевстиг
121,Ast::N,гілка,га
122,Zweig::N,галузь,га
123,Blatt::N,лист,гӏа
124,Birke::N,береза,дакх
125,Kiefer[Baum]::N,сосна,бага
126,Weide[Baum]::N,верба,дак
127,Tanne::N,ялиця,база
128,Horn::N,ріг,маӏа
129,Feder::N,перо,пелаг
130,Fell::N,хутро,цӏока
131,Flügel::N,крило,тӏам
132,Klaue::N,кіготь,мӏара
133,Kralle::N,лапа,тlод
134,Schwanz::N,хвіст,цӏога
135,Ei::N,яйце,xӏoa
136,Nest::N,гніздо,бен
137,Bau::N,лігво,lуьрг
138,Tier::N,тварина,дийнат
139,Herde::N,стадо,жа
140,Kuh::N,корова,етт
141,Bulle::N,бик,сту
142,Bulle::N,бугай,сту
143,Pferd::N,кінь,говр
144,Schaf::N,вівця,жий
145,Schaf::N,вівця,уьстагӏ
146,Schwein::N,свиня,хьакха
147,Hund::N,собака,жӏаьла
148,Katze::N,кішка,цициг
149,Bär::N,ведмідь,ча
150,Eichhörnchen::N,білка,тарсал
151,Elch::N,лось,сай
152,Fuchs::N,лисиця,цхьогал
153,Hase::N,заєць,пхьагал
154,Maus::N,миша,дахка
155,Wolf::N,вовк,борз
156,Vogel::N,птах,олхазар
157,Schwarm::N,зграя,
158,Huhn::N,курка,котам
159,Hahn::N,півень,нӏаьна
160,Hahn::N,півень,боргӏал
161,Gans::N,гуска,гӏаз
162,Adler::N,орел,aьрзу
163,Ente::N,качка,бад
164,Eule::N,сова,бухӏа
165,Kranich::N,журавель,гӏаргӏули
166,Krähe::N,ворона,къиг
167,Kuckuck::N,зозуля,aттйокх
168,Schwan::N,лебідь,гӏургӏаз
169,Fisch::N,риба,чӏара
170,Barsch::N,окунь,окунь
171,Hecht::N,щука,гӏазкхийн чӏара
172,Schlange[Tier]::N,змія,лаьхьа
173,Wurm::N,черв’як,нӏаьна
174,Spinne::N,павук,гезг
175,Ameise::N,мурашка,зингат
176,Laus::N,воша,меза
177,Laus::N,воша,гӏениг
178,Mücke::N,комар,чуьрк
179,Fliege::N,муха,моза
180,Schmetterling::N,метелик,полла
181,Beere::N,ягода,цӏазам
182,Apfel::N,яблуко,ӏаж
183,Pilz::N,гриб,жӏаьлин нускал
184,Zwiebel::N,цибуля,xох
185,Saat::N,сім’я,чlу
186,Korn::N,зерно,буьртиг
187,Heu::N,сіно,йол
188,Schale::N,шкірка,пардо
189,Grube::N,яма,ор
190,Falle::N,пастка,кӏело
191,Schlinge::N,петля,
192,Spur::N,слід,лар
193,Asche::N,зола,чим
194,Asche::N,попіл,чим
195,Dreck::N,бруд,мода
196,Eisen::N,залізо,эчиг
197,Gold::N,золото,деши
198,Silber::N,срібло,дети
199,Kohle::N,вугілля,кӏора
200,Glas::N,скло,aнгали
201,Lehm::N,глина,поппар
202,Sand::N,пісок,гӏум
203,Mensch::N,людина,адам
204,Mann::N,чоловік,майра
205,Frau::N,жінка,зуда
206,Kind::N,дитина,бер
207,Junge::N,хлопець,жимха
208,Mädchen::N,дівчина,жима йоӏ
209,Familie::N,сім’я,доьзал
210,Familie::N,родина,доьзал
211,Großvater::N,дідусь,ненада
212,Großmutter::N,бабуся,денана
213,Eltern::N,батьки,да-нана
214,Vater::N,батько,да
215,Mutter::N,мати,нана
216,Sohn::N,син,кӏант
217,Tochter::N,дочка,йоӏ
218,Bruder::N,брат,ваша
219,Schwester::N,сестра,йиша
220,Onkel::N,дядько,деваша
221,Tante::N,тітка,дейиша
222,Ehemann::N,чоловік,майра
223,Ehefrau::N,жінка,зуда
224,Ehefrau::N,дружина,зуда
225,Freude::N,радощі,самукъа
226,Freude::N,радощі,хазахетар
227,Gelächter::N,сміх,белам
228,Glück::N,щастя,ирс
229,Kummer::N,горе,бала
230,Wunsch::N,бажання,лаам
231,Lust::N,бажання,лаам
232,Geist::N,дух,са
233,Gedanke::N,думка,ойла
234,Gedächtnis::N,пам’ять,диццадалар
235,Verstand::N,розум,хьекъал
236,Sinn::N,зміст,маьӏна
237,Sinn::N,значення,маьӏна
238,Grund::N,причина,бахьана
239,Wahrheit::N,правда,бакъдерг
240,Gespräch::N,розмова,къамел
241,Märchen::N,байка,туьйра
242,Erzählung::N,повість,дийцар
243,Erzählung::N,оповідання,дийцар
244,Nachricht::N,повідомлення,хаам
245,Neuigkeit::N,новина,керланиг
246,Name::N,ім’я,цӏе
247,Rätsel::N,загадка,хӏетал-метал
248,Rede::N,промова,къамел
249,Sprache::N,мова,мотт
250,Stimme::N,голос,aз
251,Wort::N,слово,дош
252,Zeichen::N,знак,билгало
253,Ruf::N,оклик,кхайкхар
254,Lärm::N,шум,гӏовгӏа
255,Laut::N,звук,аз
256,Ton::N,тон,aз
257,Lied::N,пісня,илли
258,Ruhe::N,спокій,тийналла
259,Leute::N,люди,нах
260,Volk::N,народ,халкъ
261,Arbeit::N,робота,болх
262,Gast::N,гість,хьаша
263,Geschenk::N,подарунок,совгӏат
264,Spiel::N,гра,ловзар
265,Gesellschaft::N,товариство,юкъаралла
266,Hilfe::N,допомога,гӏо
267,Freund::N,друг,доттагl
268,Freund::N,приятель,доттагl
269,Kamerad::N,товариш,накъост
270,Angelegenheit::N,справа,гӏуллакх
271,Anzahl::N,число,терахь
272,Art::N,рід,
273,Stück::N,кусок,юьхк
274,Teil::N,частина,дакъа
275,Hälfte::N,половина,ах
276,Kreis::N,круг,го
277,Kreis::N,коло,го
278,Kreuz::N,хрест,жӏара
279,Linie::N,лінія,сиз
280,Strich::N,штрих,сиз
281,Abstand::N,проміжок,юкъ
282,Entfernung::N,відстань,
283,Gegend::N,місцевість,мeттиг
284,Platz::N,площа,майда
285,Ort::N,місце,меттиг
286,Seite::N,сторона,aгӏo
287,Mitte::N,середина,юкъ
288,Gegenstand::N,предмет,хӏума
289,Sache::N,річ,хӏума
290,Rand::N,край,йист
291,Kante::N,ребро,йист
292,Ecke::N,ріг,са
293,Spitze::N,кінчик,ралла
294,Ende::N,кінець,юьхьиг
295,Loch::N,діра,ӏуьрг
296,Winkel::N,куток,са
297,Muster::N,узор,дагар
298,Muster::N,узор,тӏамар
299,Größe::N,розмір,барам
300,Länge::N,довжина,йохалла
301,Höhe::N,висота,локхалла
302,Gewicht::N,вага,йозалла
303,Menge::N,кількість,дукхалла
304,Haufen::N,купа,сал
305,Haufen::N,купа,оьла
306,Reihe::N,ряд,рагӏ
307,Reihe::N,ряд,могӏа
308,Boot::N,човен,кема
309,Ruder::N,весло,пийсиг
310,Schlitten::N,сани,салаз
311,Ski::N,лижа,когсалаз
312,Lagerfeuer::N,вогнище,цӏе
313,Last::N,тягар,дукъ
314,Last::N,вантаж,дукъ
315,Gang::N,хід,лелар
316,Schritt::N,крок,гӏулч
317,Norden::N,північ,къилбаседе
318,Süden::N,південь,къилбе
319,Westen::N,захід,малхбузе
320,Osten::N,схід,малхбале
321,Holz::N,дрова,дечиг
322,Brett::N,дошка,у
323,Platte::N,плита,у
324,Stütze::N,підпірка,гӏopтоp
325,Stange::N,жердина,гӏуркх
326,Stock::N,палиця,ӏаса
327,Stab::N,палиця,гӏаж
328,Rohr::N,труба,биргӏа
329,Haus::N,дім,цӏа
330,Haus::N,хата,цӏа
331,Heim::N,житло,кхерч
332,Ofen::N,піч,кхерч
333,Fußboden::N,підлога,цӏенкъа
334,Tisch::N,стіл,шун
335,Stuhl::N,стілець,гӏант
336,Wiege::N,колиска,ага
337,Bett::N,ліжко,маьнга
338,Bett::N,постіль,маьнга
339,Regal::N,полиця,терхи
340,Kiste::N,ящик,яьшка
341,Fenster::N,вікно,кор
342,Tür::N,двері,неӏ
343,Tor::N,ворота,ков
344,Zaun::N,паркан,керт
345,Zaun::N,огорожа,керт
346,Dach::N,дах,тхов
347,Leiter::N,драбина,лами
348,Besen::N,мітла,нуй
349,Spaten::N,заступ,бел
350,Schaufel::N,совок,аьшкал
351,Schaufel::N,лопата,аьшкал
352,Gabel::N,виделка,мӏара
353,Löffel::N,ложка,ӏайг
354,Messer::N,ніж,урс
355,Nagel::N,цвях,хьостам
356,Netz::N,сіть,бой
357,Haken::N,крюк,мӏара
358,Griff::N,ручка,
359,Griff::N,держак,
360,Schloss::N,замок,чӏега
361,Bild::N,картина,сурт
362,Figur::N,фігура,
363,Puppe::N,лялька,тайниг
364,Beutel::N,мішечок,гали
365,Beutel::N,торбинка,гали
366,Bündel::N,в’язка,кочар
367,Tasche::N,сумка,тӏоьрмиг
368,Eimer::N,відро,чийлик
369,Deckel::N,кришка,негӏар
370,Geschirr::N,посуд,пхьегӏа
371,Sack::N,мішок,гали
372,Tasse::N,чашка,кад
373,Topf::N,горщик,яй
374,Kessel::N,котел,яй
375,Essen::N,їжа,юург
376,Nahrung::N,харч,кхача
377,Speise::N,страва,юург
378,Fleisch::N,м’ясо,жижиг
379,Getreide::N,хліб,буьртиг
380,Getreide::N,збіжжя,буьртиг
381,Brei::N,каша,xудар
382,Brot::N,хліб,бепиг
383,Brot::N,хліб,кхаллар
384,Scheibe::N,скибочка,цастар
385,Fett::N,жир,мохь
386,Butter::N,масло,налха
387,Öl::N,олія,даьтта
388,Salz::N,сіль,туьха
389,Suppe::N,суп,чорпа
390,Honig::N,мед,моз
391,Milch::N,молоко,шура
392,Tee::N,чай,чай
393,Leder::N,шкіра,цӏока
394,Wolle::N,шерсть,тӏapгӏa
395,Stoff::N,тканина,кӏади
396,Nadel::N,голка,маха
397,Faden::N,нитка,тай
398,Knopf::N,ґудзик,нуьйда
399,Knoten::N,вузол,шад
400,Farbe::N,фарба,сир
401,Farbe::N,фарба,басар
402,Kleidung::N,одяг,бедар
403,Kleidung::N,убрання,бедар
404,Hemd::N,сорочка,коч
405,Kragen::N,комір,кач
406,Ärmel::N,рукав,пхьош
407,Hose::N,брюки,хеча
408,Gürtel::N,пояс,доьхка
409,Mütze::N,шапка,куй
410,Schuh::N,ботинок,мача
411,Stiefel::N,чобіт,этка
412,Ring::N,кільце,чӏуг
413,Band::N,стрічка,лента
414,Kamm::N,гребінець,ехк
415,Spiegel::N,дзеркало,куьзга
416,Riemen::N,ремінь,доьхка
417,Schnur::N,вірьовка,муш
418,Leine::N,шворка,кочатосу доьхка
419,Decke::N,ковдра,юргӏа
420,Kissen::N,подушка,гIайба
421,Tuch::N,хустка,исхар
422,Handtuch::N,рушник,гата
423,Kraft::N,сила,гӏора
424,Stärke::N,сила,гӏап
425,Gesundheit::N,здоров’я,могашалла
426,Krankheit::N,хвороба,цамгар
427,Schmerz::N,біль,лазар
428,Wunde::N,рана,чов
429,Fieber::N,гарячка,xорша
430,Arznei::N,ліки,молха
431,Brücke::N,міст,тӏай
432,Brunnen::N,колодязь,гӏу
433,Weide::N,пасовище,дак
434,Pfad::N,стежка,тача
435,Weg::N,шлях,некъ
436,Weg::N,дорога,некъ
437,Straße::N,вулиця,урам
438,Dorf::N,село,юрт
439,Stadt::N,місто,гӏала
440,Brief::N,лист,кехат
441,Buch::N,книга,жайна
442,Buch::N,книжка,жайна
443,Buchstabe::N,буква,элп
444,Buchstabe::N,літера,элп
445,Zeitung::N,газета,газет
446,Leben::N,життя,дахар
447,Tod::N,смерть,далар
448,Tod::N,смерть,ӏожалла
449,Grab::N,могила,каш
450,Kirche::N,церква,килс
451,Sünde::N,гріх,къа
452,Gott::N,бог,дела
453,Arbeiter::N,робітник,белхало
454,Chef::N,хазяїн,хьаькам
455,Meister::N,умілець,говзанча
456,Arzt::N,лікар,лор
457,Lehrer::N,вчитель,хьехархо
458,Geld::N,гроші,aхча
459,Geschäft::N,заняття,туька
460,Laden::N,магазин,туька
461,Laden::N,крамниця,туька
462,Preis::N,ціна,мах
463,Ware::N,товар,хlума
464,Nutzen::N,вигода,пайда
465,Nutzen::N,користь,пайда
466,Reichtum::N,багатство,хьал
467,Welt::N,світ,дуьне
468,Land::N,країна,мохк
469,Staat::N,держава,пачхьалкх
470,König::N,король,паччахь
471,Macht::N,влада,ӏедал
472,Grenze::N,кордон,доза
473,Krieg::N,війна,тӏом
474,Feind::N,ворог,мостагӏ
475,Gewalt::N,насильство,гӏело
476,Kampf::N,бій,къийсам
477,Kampf::N,боротьба,къийсам
478,Bogen[Waffe]::N,лук,
479,Pfeil::N,стріла,пха
480,Gewehr::N,рушниця,топ
481,Gewehr::N,гвинтівка,топ
482,Fehler::N,помилка,гӏалат
483,Lüge::N,брехня,аьшпаш
484,Schaden::N,шкода,зен
485,Schaden::N,збиток,зен
486,Unglück::N,нещастя,бала
487,Schuld::N,провина,бехк
488,Alter::N,вік,хан
489,Alter::N,літа,хан
490,Schluss::N,кінець,чакхе
491,Zeit::N,час,хан
492,Tag::N,день,де
493,Morgen::N,ранок,ӏуьйре
494,Mittag::N,південь,делкъе
495,Abend::N,вечір,суьйре
496,Nacht::N,ніч,буьйса
497,Woche::N,тиждень,кӏира
498,Monat::N,місяць,бутт
499,Jahr::N,рік,шо
500,Frühling::N,весна,бӏаьсте
501,Sommer::N,літо,аьхке
502,Herbst::N,осінь,гуьйре
503,Winter::N,зима,ӏа
504,Januar::N,січень,январь
505,Februar::N,лютий,февраль
506,März::N,березень,март
507,April::N,квітень,апрель
508,Mai::N,травень,май
509,Juni::N,червень,июнь
510,Juli::N,липень,июль
511,August::N,серпень,август
512,September::N,вересень,сентябрь
513,Oktober::N,жовтень,октябрь
514,November::N,листопад,ноябрь
515,Dezember::N,грудень,декабрь
516,Montag::N,понеділок,оршот
517,Dienstag::N,вівторок,шинара
518,Mittwoch::N,середа,кхаара
519,Donnerstag::N,четвер,еара
520,Freitag::N,п’ятниця,пӏераска
521,Samstag::N,субота,шот
522,Sonntag::N,неділя,кӏиранде
523,groß::A,великий,доккха
524,klein::A,малий,кегий
525,klein::A,маленький,кегий
526,lang::A,довгий,еха
527,kurz::A,короткий,доца
528,breit::A,широкий,шуьйра
529,schmal::A,вузький,готта
530,dicht::A,густий,луьста
531,dick[Gegenstand]::A,товстий,стомма
532,dünn::A,тонкий,дуткъа
533,fein::A,дрібний,ховха
534,fest::A,міцний,чӏогӏа
535,flach::A,плоский,чӏапа
536,glatt::A,рівний,шера
537,glatt::A,гладенький,шера
538,hart::A,твердий,чӏогӏa
539,weich::A,м’який,кӏеда
540,rund::A,круглий,горга
541,spitz::A,гострокінцевий,ира
542,scharf::A,гострий,ира
543,stumpf::A,тупий,аьртa
544,schwer::A,важкий,деза
545,schön::A,вродливий,хаза
546,heiß::A,жаркий,довха
547,heiß::A,гарячий,довха
548,warm::A,теплий,довха
549,kalt::A,холодний,шийла
550,kühl::A,прохолодний,шийла
551,frisch::A,свіжий,керла
552,feucht::A,вогкий,тӏуьна
553,nass::A,мокрий,тӏеда
554,trocken::A,сухий,eкъа
555,voll::A,повний,дуьзна
556,leer::A,пустий,яьсса
557,offen::A,відкритий,диллина
558,geschlossen::A,закритий,дӏакъевлина
559,geschlossen::A,закритий,дӏачӏагӏдина
560,geschlossen::A,зачинений,дӏакъевлина
561,geschlossen::A,зачинений,дӏачӏагӏдина
562,sauber::A,чистий,цӏена
563,sauber::A,охайний,цӏена
564,schmutzig::A,брудний,боьха
565,roh::A,сирий,буьйда
566,reif::A,зрілий,хилла
567,lecker::A,смачний,чоме
568,süß::A,солодкий,мерза
569,bitter::A,гіркий,къаьхьа
570,sauer::A,кислий,муьста
571,hell::A,світлий,сирла
572,dunkel::A,темний,бодане
573,schwarz::A,чорний,ӏаьржа
574,weiß::A,сивий,кӏайн
575,rot::A,червоний,цӏен
576,gelb::A,жовтий,можа
577,blau::A,синій,сийна
578,grün::A,зелений,баьццара
579,grau::A,сірий,cира
580,grau::A,сірий,мокха
581,bunt::A,барвистий,къорза
582,billig::A,дешевий,дораха
583,teuer::A,дорогий,деза
584,wertvoll::A,цінний,мехала
585,blind::A,сліпий,бӏаьрзе
586,taub::A,глухий,къора
587,kräftig::A,могутній,нуьцкъала
588,stark::A,сильний,зоьртала
589,stark::A,сильний,нуьцкъала
590,schwach::A,слабкий,гӏорасиза
591,fett::A,жирний,дерстана
592,fett::A,товстий,дерстана
593,schlank::A,тонкий,куц долу
594,schlank::A,стрункий,куц долу
595,hübsch::A,чарівний,хаза
596,böse::A,злий,вон
597,böse::A,лихий,вон
598,dumm::A,дурний,сонта
599,faul::A,ледачий,мало ен
600,fleißig::A,старанний,тӏера
601,geizig::A,скупий,пис
602,geizig::A,скупий,сутара
603,klug::A,мудрий,хьекъале
604,klug::A,розумний,хьекъале
605,geschickt::A,умілий,тӏахъаьлла
606,lieb::A,милий,хьоме
607,lustig::A,веселий,самукъане
608,sanft::A,лагідний,кlеда
609,hungrig::A,голодний,меца
610,krank::A,слабий,цомгуш долу
611,nackt::A,голий,дерзана
612,traurig::A,сумний,самукъане воцу
613,lebendig::A,живий,дийна
614,gut::A,добрий,дика
615,schlecht::A,поганий,вон
616,schlecht::A,кепський,вон
617,richtig::A,правильний,нийса
618,schlimm::A,бридкий,вон
619,wahr::A,справжній,бакъдолу
620,alt::A,старий,къена
621,neu::A,новий,керла
622,ehemalig::A,колишній,хилла
623,alt[Lebewesen]::A,старий,къена
624,jung::A,молодий,къона
625,arm::A,бідний,къен
626,reich::A,багатий,хьоле
627,bekannt::A,знайомий,девзаш долу
628,berühmt::A,славетний,цӏеяхана
629,fremd::A,чужий,нехан
630,verschieden::A,різний,тайп-тайпанара
631,nah::A,близький,гергара
632,fern::A,далекий,гена
633,fern::A,далекий,генара
634,linker::A,лівий,аьрру
635,rechter::A,правий,аьтту
636,anderer::A,інакший,кхин
637,erster::A,перший,хьалхара
638,zweiter::A,другий,шолгIа
639,dritter::A,третій,кхоалгӏа
640,letzter::A,останній,тӏаьххьара
641,allein::ADV,сам,цхьаъ
642,allein::ADV,один,цхьаъ
643,auf einmal::ADV,відразу,цу сохьтта
644,zusammen::ADV,разом,цхьана
645,zusammen::ADV,спільно,цхьана
646,lange::ADV,довго,дукха
647,plötzlich::ADV,раптом,цIеххьана
648,sofort::ADV,зараз,цу сохьтта
649,später::ADV,пізніше,тӏаьхьо
650,jetzt::ADV,тепер,хӏинца
651,heute::ADV,сьогодні,тахана
652,morgen::ADV,завтра,кхана
653,bald::ADV,незабаром,кеста
654,dann::ADV,потім,тӏаккха
655,gestern::ADV,вчора,селхана
656,einst::ADV,колись,цкъа
657,damals::ADV,тоді,хӏетахьь
658,danach::ADV,згодом,тӏаккха
659,vorher::ADV,раніше,хьалхa
660,zuerst::ADV,спершу,хьалха
661,zuerst::ADV,спочатку,хьалха
662,einmal::ADV,один раз,цкъа
663,manchmal::ADV,іноді,цкъаццкъа
664,manchmal::ADV,інколи,цкъаццкъа
665,oft::ADV,часто,кест-кеста
666,immer::ADV,завжди,даим
667,niemals::ADV,ніколи,цкъа а
668,hier::ADV,тут,кхузахь
669,hierhin::ADV,сюди,кхуза
670,von hier::ADV,звідси,кхузара
671,dort::ADV,там,цигахь
672,dorthin::ADV,туди,цига
673,geradeaus::ADV,прямо,нийса дӏа
674,vorwärts::ADV,вперед,хьалха
675,rückwärts::ADV,назад,юха
676,zurück::ADV,назад,юха
677,unten::ADV,внизу,лахахь
678,hinab::ADV,вниз,охьа
679,oben::ADV,вгорі,лакхахь
680,hinauf::ADV,вгору,хьала
681,überall::ADV,скрізь,массанхьа
682,nicht::ADV,не,ца
683,ein wenig::ADV,трохи,кӏеззиг
684,ein wenig::ADV,небагато,кӏеззиг
685,kaum::ADV,ледве,халла
686,sehr::ADV,дуже,вуно
687,so::ADV,так,
688,noch::ADV,ще,кхин
689,nur::ADV,лише,бен ...ца
690,nur::ADV,тільки,бен ...ца
691,schon::ADV,вже,хӏинцале
692,wieder::ADV,знову,юха а
693,vergebens::ADV,дарма,эрна
694,vor::PRP,перед,хьалха
695,hinter::PRP,ззаду,тӏехьа
696,hinter::PRP,позаду,тӏехьа
697,unter::PRP,під,кIелахь
698,durch::PRP,крізь,чекх
699,neben::PRP,біля,юххе
700,zwischen::PRP,між,юккъехь
701,wegen::PRP,з-за,дуьхьа
702,wegen::PRP,через,дуьхьа
703,dies::PRN,це,и
704,dies::PRN,це,иза
705,das::PRN,то,и
706,das::PRN,то,иза
707,alles::PRN,все,дерриг
708,ich::PRN,я,cо
709,du::PRN,ти,хьо
710,er::PRN,він,и
711,er::PRN,він,иза
712,wir::PRN,ми,тхо
713,wir::PRN,ми,вай
714,ihr::PRN,ви,шу
715,sie::PRN,вони,уьш
716,was::FPRN,що,хӏун
717,wer::FPRN,хто,мила
718,wo::FADV,де,мичaхь
719,wohin::FADV,куди,мича
720,wie::FADV,як,муха
721,warum::FADV,чому,хӏунда
722,wieviel::FNUM,скільки,мел
723,wieviel::FNUM,скільки,маса
724,eins::NUM,один,цхьаъ
725,zwei::NUM,два,шиъ
726,drei::NUM,три,кхоъ
727,vier::NUM,чотири,диъ
728,fünf::NUM,п’ять,пхиъ
729,sechs::NUM,шість,ялх
730,sieben::NUM,сім,ворхӏ
731,acht::NUM,вісім,бархӏ
732,neun::NUM,дев’ять,исс
733,zehn::NUM,десять,итт
734,elf::NUM,одинадцять,цхьайтта
735,zwölf::NUM,дванадцять,шийтта
736,zwanzig::NUM,двадцять,ткъа
737,dreißig::NUM,тридцять,ткъе итт
738,vierzig::NUM,сорок,шовзткъа
739,fünfzig::NUM,п’ятдесят,шовзткъе итт
740,sechzig::NUM,шістдесят,кхузткъа
741,siebzig::NUM,сімдесят,кхузткъе итт
742,achtzig::NUM,вісімдесят,дезткъа
743,neunzig::NUM,дев’яносто,дезткъе итт
744,hundert::NUM,сто,бӏе
745,tausend::NUM,тисяча,эзар
746,und::CNJ,і,a
747,oder::CNJ,або,я
748,stehen::V,стояти,латта
749,sitzen::V,сидіти,хиъна ӏан
750,liegen::V,лежати,ӏилла
751,hängen::V,висіти,кхаза
752,werden::V,стати,хила
753,werden::V,робитися,хила
754,passieren::V,трапитися,хила
755,beginnen::V,початися,доло
756,enden::V,кінчитися,дӏадерза
757,wechseln::V,мінятися,хийца
758,aufgehen[Sonne]::V,зійти,кхета
759,untergehen[Sonne]::V,зайти,чубуза
760,scheinen[Sonne]::V,світити,серло яла
761,donnern::V,гриміти,къекъа
762,wehen::V,віяти,хьекха
763,strömen::V,литися,эха
764,fließen::V,текти,охьаэха
765,sich drehen::V,обертатися,хьийза
766,schwanken::V,коливатися,леста
767,schwingen::V,хитатися,лесто
768,schwingen::V,гойдатися,лесто
769,fallen::V,падати,охьакхета
770,brennen::V,горіти,дага
771,rauchen::V,диміти,оза
772,regnen::V,дощити,догlа догlу
773,gefrieren::V,змерзнути,гӏоро
774,tauen::V,танути,даша
775,schmelzen::V,плавитися,лала
776,trocknen::V,сохнути,дакъо
777,sieden::V,кипіти,кхехка
778,faulen::V,гнити,дахкадала
779,verfaulen::V,згнити,дахкадала
780,reißen::V,рватися,хеда
781,versinken::V,тонути,хичудаха
782,vergehen::V,проходити,дlаэха
783,erscheinen::V,з’явитися,схьадала
784,erscheinen::V,з’явитися,ӏоттадала
785,verschwinden::V,щезнути,къайладала
786,verschwinden::V,зникнути,къайладала
787,sinken::V,спадати,лахдала
788,abnehmen::V,поменшитися,
789,zunehmen::V,збільшуватися,лакхадала
790,steigen::V,підніматися,хьаладала
791,wachsen::V,рости,кхиа
792,glänzen::V,блищати,лепа
793,funkeln::V,блискати,къега
794,lärmen::V,шуміти,гӏовгӏаян
795,läuten::V,дзвонити,детта
796,klingeln::V,дзвонити,дека
797,klirren::V,дзвякати,дека
798,brausen::V,бушувати,хьаьдда даха
799,rauschen::V,шелестіти,леста
800,klingen::V,лунати,дека
801,klingen::V,звучати,дека
802,bellen::V,гавкати,лета
803,heulen::V,вити,угӏа
