,Concept_ID,no,ku
88,Eis::N,is,qeşa
89,Frost::N,frost,xûsik
90,Kälte::N,kulde,serma
91,Hitze::N,hete,germayî
92,Raureif::N,rimfrost,şext
93,Regenbogen::N,regnbue,heftreng
94,Donner::N,torden,gire-gir
95,Strömung::N,strømning,şewl
96,Tropfen::N,dråpe,dilop
97,Schaum::N,skum,kef
98,Schmutz::N,søl,gemar
99,Schmutz::N,skitt,gemar
100,See::N,sjø,gol
101,Sumpf::N,sump,hezek
102,Sumpf::N,myrlende,hezek
103,Moor::N,myr,mafêl
104,Moor::N,myrhei,mafêl
105,Wiese::N,eng,sûrik
106,Wald::N,skog,çiya
107,Wald::N,skog,daristan
108,Hügel::N,haug,gir
109,Hügel::N,bakke,gir
110,Anhöhe::N,haug,sere gir
111,Anhöhe::N,bakke,sere gir
112,Berg::N,berg,kaş
113,Berg::N,fjell,kaş
114,Gipfel::N,topp,sere gir
115,Höhle::N,hule,şikeft
116,Abhang::N,li,kaş
117,Abhang::N,skråning,kaş
118,Quelle::N,kilde,kanî
119,Bach::N,bekk,çem
120,Fluss::N,elv,çem
121,Fluss::N,elv,rûbar
122,Ufer::N,bredd,kevî
123,Küste::N,kyst,berav
124,Festland::N,fastland,bejahî
125,Meer::N,hav,behr
126,Bucht::N,bukt,derav
127,Insel::N,øy,girav
128,Blume::N,blomst,kulînk
129,Gras::N,gress,giha
130,Wurzel::N,rot,reh
131,Baum::N,tre,dar
132,Stamm::N,stamme,bavik
133,Rinde::N,bark,qaqil
134,Ast::N,gren,gulî
135,Zweig::N,kvist,şax
136,Blatt::N,blad,pel
137,Birke::N,bjørk,dara sipî
138,Kiefer[Baum]::N,furu,dara bî
139,Weide[Baum]::N,selje,dara belalûk
140,Weide[Baum]::N,piletre,dara belalûk
141,Tanne::N,gran,merx
142,Horn::N,horn,strô
143,Feder::N,fjær,pîrtîk
144,Fell::N,skinn,heyar
145,Flügel::N,vinge,per
146,Klaue::N,klauv,napîk
147,Kralle::N,klo,dinik
148,Kralle::N,klo,dirnax
149,Schwanz::N,hale,dûv
150,Ei::N,egg,hêk
151,Nest::N,rede,hêlîn
152,Bau::N,hi,avahî
153,Tier::N,dyr,heywan
154,Herde::N,flokk,hoz
155,Kuh::N,ku,çêlek
156,Bulle::N,tyr,ga
157,Pferd::N,hest,hesp
158,Schaf::N,får,mîh
159,Schwein::N,gris,beraz
160,Hund::N,hund,seh
161,Katze::N,katt,pişîk
162,Bär::N,bjørn,hirç
163,Eichhörnchen::N,ekorn,pilûr
164,Elch::N,elg,pazkovî
165,Fuchs::N,rev,rovî
166,Hase::N,hare,kîroşk
167,Maus::N,mus,mişk
168,Wolf::N,ulv,gur
169,Wolf::N,varg,gur
170,Vogel::N,fugl,çûk
171,Schwarm::N,sverm,lufik
172,Huhn::N,høne,mirîşk
173,Hahn::N,hane,dîk
174,Gans::N,gås,qaz
175,Adler::N,ørn,eylo
176,Ente::N,and,werdek
177,Eule::N,ugle,bûm
178,Eule::N,ugle,kund
179,Kranich::N,trane,quling
180,Krähe::N,kråke,qijik
181,Kuckuck::N,gjøk,pepûk
182,Schwan::N,svane,qû
183,Fisch::N,fisk,masî
184,Barsch::N,abbor,okûn
185,Hecht::N,gjedde,mesîyê lûf
186,Schlange[Tier]::N,orm,mar
187,Schlange[Tier]::N,slange,mar
188,Wurm::N,orm,kurm
189,Wurm::N,mark,kurm
190,Spinne::N,edderkopp,pîrê
191,Ameise::N,maur,mîro
192,Ameise::N,maur,gêrîk
193,Laus::N,lus,spi
194,Mücke::N,mygg,mêş
195,Fliege::N,flue,mêş
196,Schmetterling::N,sommerfugl,perperîk
197,Beere::N,bær,hirç
198,Apfel::N,eple,sêv
199,Pilz::N,sopp,bîrov
200,Zwiebel::N,løk,pîvaz
201,Saat::N,sæd,tov
202,Korn::N,korn,dexl
203,Heu::N,høy,sap
204,Schale::N,skall,qaşik
205,Grube::N,grop,çahl
206,Falle::N,felle,dafik
207,Schlinge::N,snare,dahf
208,Spur::N,spor,rêç
209,Asche::N,aske,xweli
210,Dreck::N,møkk,gemarî
211,Dreck::N,skitt,gemarî
212,Eisen::N,jern,hesing
213,Gold::N,gull,zêr
214,Silber::N,sølv,zîv
215,Kohle::N,kol,komir
216,Kohle::N,kull,komir
217,Glas::N,glass,qedeh
218,Lehm::N,leire,kelpîç
219,Sand::N,sand,qûm
220,Mensch::N,menneske,mirov
221,Mann::N,mann,mêr
222,Frau::N,kvinne,jin
223,Kind::N,barn,zarok
224,Junge::N,gutt,kur
225,Mädchen::N,pike,keç
226,Mädchen::N,pike,keçik
227,Mädchen::N,jente,keç
228,Mädchen::N,jente,keçik
229,Familie::N,familie,malbat
230,Großvater::N,bestefar,bapîr
231,Großmutter::N,bestemor,pîrik
232,Eltern::N,foreldre,bavudê
233,Vater::N,far,bav
234,Mutter::N,mor,dê
235,Mutter::N,mor,dayik
236,Sohn::N,sønn,kur
237,Tochter::N,datter,keç
238,Bruder::N,bror,bira
239,Schwester::N,søster,xweh
240,Onkel::N,onkel,am
241,Onkel::N,onkel,xal
242,Tante::N,tante,metik
243,Tante::N,tante,xaltîk
244,Ehemann::N,ektemann,mêr
245,Ehefrau::N,hustru,kulfet
246,Freude::N,glede,kêfxweşî
247,Gelächter::N,latter,pîrqînî
248,Glück::N,lykke,bext
249,Kummer::N,sorg,derd
250,Wunsch::N,ønske,daxwaz
251,Wunsch::N,ønske,xwestek
252,Lust::N,lyst,şewq
253,Geist::N,ånd,aqil
254,Gedanke::N,tanke,fikir
255,Gedächtnis::N,minne,aqil
256,Gedächtnis::N,hukommelse,aqil
257,Verstand::N,forstand,fêm
258,Sinn::N,mening,aqil
259,Sinn::N,betydning,aqil
260,Grund::N,grunn,asas
261,Wahrheit::N,sannhet,rastî
262,Gespräch::N,samtale,guftûgo
263,Märchen::N,eventyr,çirok
264,Erzählung::N,fortelling,çirok
265,Erzählung::N,fortelling,vegotin
266,Nachricht::N,melding,nûçe
267,Neuigkeit::N,nyhet,hewal
268,Name::N,navn,nav
269,Name::N,navn,paşnav
270,Rätsel::N,gåte,tiştonek
271,Rede::N,tale,gotar
272,Rede::N,tale,axavtin
273,Sprache::N,språk,ziman
274,Stimme::N,stemme,pejn
275,Wort::N,ord,gotin
276,Zeichen::N,tegn,şanek
277,Ruf::N,rop,hawar
278,Lärm::N,bråk,xarbalix
279,Laut::N,lyd,deng
280,Laut::N,lyd,hês
281,Ton::N,tone,awaz
282,Lied::N,vise,sitran
283,Ruhe::N,ro,rihetî
284,Leute::N,folk,xelk
285,Volk::N,folk,xelk
286,Arbeit::N,arbeid,xebat
287,Gast::N,gjest,mêvan
288,Geschenk::N,gave,diyarî
289,Spiel::N,lek,lîstik
290,Spiel::N,spill,lîstik
291,Gesellschaft::N,selskap,komal
292,Hilfe::N,hjelp,alîkarî
293,Freund::N,venn,heval
294,Kamerad::N,kamerat,heval
295,Angelegenheit::N,sak,pirsgirêk
296,Angelegenheit::N,anliggende,pirsgirêk
297,Anzahl::N,antall,çend
298,Art::N,art,çeh
299,Art::N,slag,çeh
300,Stück::N,stykke,lib
301,Stück::N,stykke,parçe
302,Teil::N,del,parçe
303,Hälfte::N,halvdel,nîvî
304,Kreis::N,ring,çemil
305,Kreis::N,sirkel,çemil
306,Kreuz::N,kors,xaç
307,Kreuz::N,kryss,xaç
308,Linie::N,linje,xezik
309,Strich::N,strek,xezik
310,Abstand::N,avstand,dûrahî
311,Entfernung::N,avstand,dûrahî
312,Gegend::N,strøk,dever
313,Platz::N,plass,çih
314,Ort::N,sted,dever
315,Seite::N,side,rûpel
316,Mitte::N,midte,nav
317,Mitte::N,midte,nabênê
318,Gegenstand::N,gjenstand,tişt
319,Sache::N,sak,tişt
320,Rand::N,rand,kevî
321,Kante::N,kant,kevî
322,Ecke::N,hjørne,qunç
323,Spitze::N,spiss,derzî
324,Ende::N,ende,talî
325,Loch::N,hull,qul
326,Winkel::N,vinkel,kurnîşk
327,Muster::N,mønster,desen
328,Größe::N,størrelse,mezinî
329,Länge::N,lengde,dirêjahî
330,Höhe::N,høyde,bilindayî
331,Gewicht::N,vekt,giranî
332,Menge::N,mengde,qas
333,Haufen::N,haug,lod
334,Haufen::N,bunke,lod
335,Reihe::N,rekke,rêz
336,Boot::N,båt,kelek
337,Ruder::N,åre,bêrik
338,Schlitten::N,slede,xîjik
339,Schlitten::N,kjelke,xîjik
340,Ski::N,ski,lakan
341,Lagerfeuer::N,leirbål,agir
342,Last::N,bør,bar
343,Last::N,last,bar
344,Gang::N,gang,fîtêz
345,Schritt::N,steg,gav
346,Schritt::N,skritt,gav
347,Norden::N,nord,bakur
348,Süden::N,sør,başur
349,Westen::N,vest,rojava
350,Osten::N,øst,rojhilat
351,Holz::N,tre,dep
352,Brett::N,fjøl,dep
353,Brett::N,brett,dep
354,Platte::N,plate,dep
355,Stütze::N,støtte,destek
356,Stange::N,stang,sing
357,Stock::N,pinne,çam
358,Stab::N,stav,qat
359,Stab::N,kjepp,qat
360,Rohr::N,rør,borî
361,Haus::N,hus,mal
362,Haus::N,hus,xanî
363,Heim::N,hjem,mal
364,Ofen::N,ovn,sobe
365,Fußboden::N,gulv,binpê
366,Tisch::N,bord,mase
367,Stuhl::N,stol,kursî
368,Wiege::N,vogge,derguş
369,Bett::N,seng,qerewêle
370,Regal::N,reol,rêbaz
371,Regal::N,hylle,rêbaz
372,Kiste::N,kasse,sindoq
373,Fenster::N,vindu,çam
374,Fenster::N,vindu,şibeke
375,Tür::N,dør,derî
376,Tor::N,port,derge
377,Zaun::N,gjerde,hejik
378,Dach::N,tak,sere xanî
379,Leiter::N,stige,pêling
380,Besen::N,kost,melkes
381,Spaten::N,spade,mer
382,Schaufel::N,skuffe,bêr
383,Gabel::N,gaffel,çetel
384,Löffel::N,skje,kevçî
385,Messer::N,kniv,kêr
386,Nagel::N,spiker,bizmar
387,Netz::N,nett,tor
388,Haken::N,krok,çenqel
389,Griff::N,tak,destî
390,Griff::N,håndtak,destî
391,Schloss::N,lås,qonax
392,Bild::N,bilde,dimen
393,Figur::N,figur,figûr
394,Puppe::N,dukke,bûk
395,Beutel::N,pose,kîsik
396,Bündel::N,bylt,pêçek
397,Tasche::N,veske,bêrîk
398,Eimer::N,bøtte,dewl
399,Deckel::N,lokk,devik
400,Geschirr::N,kjøkkentøy,ferax
401,Sack::N,sekk,tûr
402,Tasse::N,kopp,kada
403,Topf::N,gryte,beroş
404,Kessel::N,kjele,şîril
405,Essen::N,mål,xwarin
406,Nahrung::N,mat,xwarin
407,Nahrung::N,næring,xwarin
408,Speise::N,matrett,xwarin
409,Fleisch::N,kjøtt,goşt
410,Getreide::N,korn,zad
411,Brei::N,grøt,hewdêl
412,Brot::N,brød,
413,Scheibe::N,skive,parçe
414,Fett::N,fett,rûn
415,Butter::N,smør,rûn
416,Öl::N,olje,rûn
417,Salz::N,salt,xwe
418,Suppe::N,suppe,şorbe
419,Honig::N,honning,hingiv
420,Milch::N,melk,şîr
421,Tee::N,te,çay
422,Leder::N,lær,çerm
423,Leder::N,skinn,çerm
424,Wolle::N,ull,herî
425,Stoff::N,tøy,paç
426,Stoff::N,stoff,paç
427,Nadel::N,nål,derzî
428,Faden::N,tråd,ta
429,Knopf::N,knapp,bişkok
430,Knoten::N,knute,girêk
431,Farbe::N,farge,boyax
432,Kleidung::N,påkledning,çil
433,Hemd::N,skjorte,qutik
434,Hemd::N,skjorte,miltan
435,Kragen::N,krage,stûvang
436,Ärmel::N,erme,hûçik
437,Hose::N,bukse,şewel
438,Gürtel::N,belte,qayiş
439,Mütze::N,lue,fîno
440,Schuh::N,sko,şêkal
441,Stiefel::N,støvel,gizme
442,Stiefel::N,støvel,çizme
443,Ring::N,ring,xelek
444,Band::N,band,band
445,Kamm::N,kam,şeh
446,Spiegel::N,speil,eynik
447,Riemen::N,rem,qayiş
448,Schnur::N,snor,doxin
449,Leine::N,line,şirît
450,Decke::N,teppe,bataniye
451,Kissen::N,pute,balgî
452,Tuch::N,tøy,şar
453,Handtuch::N,håndkle,dezmal
454,Kraft::N,kraft,hêz
455,Kraft::N,kraft,qewet
456,Stärke::N,styrke,xurtî
457,Gesundheit::N,helse,nojdarî
458,Gesundheit::N,sunnhet,nojdarî
459,Krankheit::N,syke,nexweşî
460,Krankheit::N,sykdom,nexweşî
461,Schmerz::N,smerte,êş
462,Wunde::N,sår,kul
463,Fieber::N,feber,ta
464,Arznei::N,medisin,derman
465,Arznei::N,legemiddel,derman
466,Brücke::N,bro,kopî
467,Brunnen::N,brønn,çal
468,Brunnen::N,brønn,kani
469,Weide::N,beite,beyar
470,Pfad::N,sti,xaçirek
471,Weg::N,vei,rê
472,Straße::N,gate,rê
473,Dorf::N,landsby,gund
474,Stadt::N,by,baçar
475,Brief::N,brev,name
476,Buch::N,bok,kitêb
477,Buch::N,bok,pirtûk
478,Buchstabe::N,bokstav,herf
479,Zeitung::N,avis,rojname
480,Leben::N,liv,jiyan
481,Tod::N,død,mirin
482,Grab::N,grav,mezel
483,Kirche::N,kirke,gilyas
484,Sünde::N,synd,guneh
485,Gott::N,gud,xwedê
486,Arbeiter::N,arbeider,hîşçî
487,Chef::N,sjef,bêg
488,Meister::N,mester,hoste
489,Arzt::N,lege,doktor
490,Lehrer::N,lærer,mamoste
491,Geld::N,penger,pere
492,Geschäft::N,forretning,firoşgeh
493,Laden::N,butikk,dikan
494,Preis::N,pris,buha
495,Ware::N,vare,tişt
496,Nutzen::N,nytte,fêde
497,Reichtum::N,rikdom,serwet
498,Welt::N,verden,dinya
499,Land::N,land,welat
500,Staat::N,stat,dewlet
501,König::N,konge,şah
502,König::N,konge,qral
503,Macht::N,makt,qewet
504,Macht::N,makt,destihilat
505,Grenze::N,grense,kevî
506,Krieg::N,krig,çeng
507,Krieg::N,krig,sêwaş
508,Feind::N,fiende,dijmin
509,Gewalt::N,vold,zor
510,Kampf::N,kamp,şer
511,Bogen[Waffe]::N,bue,kêvan
512,Pfeil::N,pil,çîrik
513,Gewehr::N,gevær,tifing
514,Fehler::N,feil,şaşî
515,Lüge::N,løgn,derew
516,Schaden::N,skade,xisar
517,Unglück::N,uhell,bêbextî
518,Schuld::N,skyld,suç
519,Alter::N,alder,temen
520,Schluss::N,slutt,girtin
521,Zeit::N,tid,çax
522,Tag::N,dag,roj
523,Morgen::N,morgen,sibeh
524,Mittag::N,middag,nîro
525,Abend::N,aften,êvar
526,Nacht::N,natt,şev
527,Woche::N,uke,heftî
528,Monat::N,måned,meh
529,Jahr::N,år,sal
530,Frühling::N,vår,bihar
531,Sommer::N,sommer,havîn
532,Herbst::N,høst,payîz
533,Winter::N,vinter,zistan
534,Januar::N,januar,çile
535,Februar::N,februar,sibat
536,März::N,mars,adar
537,April::N,april,nîsan
538,Mai::N,mai,gûlan
539,Juni::N,juni,hezîran
540,Juli::N,juli,tîmeh
541,August::N,august,tebax
542,September::N,september,îlon
543,Oktober::N,oktober,çotmeh
544,November::N,november,mijdar
545,Dezember::N,desember,kanûn
546,Montag::N,mandag,duşemb
547,Dienstag::N,tirsdag,sêşem
548,Mittwoch::N,onsdag,çarşemb
549,Donnerstag::N,torsdag,pêşemb
550,Freitag::N,fredag,în
551,Samstag::N,lørdag,şemî
552,Sonntag::N,søndag,yekşemb
553,groß::A,stor,mezin
554,klein::A,liten,çûçik
555,lang::A,lang,dirêj
556,kurz::A,kort,kin
557,breit::A,bred,fireh
558,schmal::A,smal,tenik
559,dicht::A,tett,gir
560,dick[Gegenstand]::A,tykk,şîşman
561,dünn::A,tynn,zirav
562,fein::A,fin,tenik
563,fest::A,fast,saxlem
564,flach::A,flat,pahn
565,glatt::A,glatt,dûz
566,glatt::A,glatt,şayîk
567,hart::A,hard,hişk
568,weich::A,myk,nerm
569,weich::A,bløt,nerm
570,rund::A,rund,gilover
571,spitz::A,spiss,pîj
572,scharf::A,kvass,tûj
573,stumpf::A,stubb,ne tûj
574,schwer::A,tung,giran
575,schön::A,pen,xweş
576,schön::A,pen,xweşik
577,schön::A,vakker,xweş
578,schön::A,vakker,xweşik
579,heiß::A,het,kelandî
580,warm::A,varm,germ
581,kalt::A,kald,sar
582,kühl::A,kjølig,jemîrî
583,frisch::A,fersk,ter
584,feucht::A,fuktig,şil
585,nass::A,våt,şilek
586,trocken::A,tørr,zuwa
587,voll::A,full,tijî
588,leer::A,tom,vala
589,offen::A,åpen,vekirî
590,geschlossen::A,lukket,asê
591,sauber::A,ren,pakij
592,schmutzig::A,skitten,lewitî
593,roh::A,rå,xav
594,reif::A,moden,gihaştî
595,lecker::A,lekker,xweş
596,süß::A,søt,şîrîn
597,bitter::A,besk,tahl
598,bitter::A,bitter,tahl
599,sauer::A,sur,tirş
600,hell::A,lys,ronî
601,dunkel::A,mørk,tarî
602,schwarz::A,svart,reş
603,weiß::A,hvit,sipî
604,rot::A,rød,sor
605,gelb::A,gul,zer
606,blau::A,blå,şîn
607,grün::A,grønn,şîn
608,grau::A,grå,gewr
609,bunt::A,broket,rengîn
610,billig::A,billig,erzan
611,teuer::A,dyr,biha
612,wertvoll::A,verdifull,hêja
613,wertvoll::A,verdifull,giranbiha
614,blind::A,blind,kor
615,taub::A,døv,kerr
616,kräftig::A,kraftig,gir
617,kräftig::A,kraftig,xurt
618,stark::A,sterk,xurt
619,schwach::A,svak,kesad
620,fett::A,fet,qelew
621,schlank::A,slank,zirav
622,hübsch::A,pen,xweşik
623,böse::A,slem,xerab
624,böse::A,slem,aciz
625,dumm::A,dum,gêj
626,faul::A,lat,têmbêl
627,faul::A,doven,têmbêl
628,fleißig::A,flittig,jêhatî
629,geizig::A,gjerrig,destgirtî
630,klug::A,klok,baqil
631,geschickt::A,hendig,zîrek
632,geschickt::A,hendig,ziring
633,geschickt::A,skikket,zîrek
634,geschickt::A,skikket,ziring
635,lieb::A,kjær,delal
636,lieb::A,snill,delal
637,lustig::A,morsom,kêfxweş
638,sanft::A,blid,nazenîn
639,hungrig::A,sulten,birçî
640,krank::A,syk,nexweş
641,nackt::A,naken,rût
642,nackt::A,naken,tazî
643,traurig::A,sørgmodig,xemgîn
644,lebendig::A,levende,bisaxî
645,gut::A,god,baş
646,schlecht::A,dårlig,xerab
647,richtig::A,riktig,rast
648,richtig::A,riktig,saxlem
649,schlimm::A,slem,nebaş
650,wahr::A,sann,rast
651,alt::A,gammel,pîr
652,alt::A,gammel,kevn
653,neu::A,ny,nû
654,ehemalig::A,forhenværende,kevnar
655,ehemalig::A,forhenværende,peşidar
656,alt[Lebewesen]::A,gammel,pîr
657,jung::A,ung,xort
658,arm::A,fattig,feqîr
659,arm::A,fattig,desteng
660,reich::A,rik,dewlemend
661,bekannt::A,kjent,naskirî
662,berühmt::A,berømt,navdar
663,fremd::A,fremmed,xerîb
664,verschieden::A,forskjellig,çîhê
665,nah::A,nær,nêzîk
666,fern::A,fjern,dûr
667,linker::A,venstre,çepê
668,rechter::A,høyre,rastê
669,anderer::A,annen,yê din
670,erster::A,første,yekemîn
671,zweiter::A,annen,duda
672,dritter::A,tredje,sisêya
673,letzter::A,sist,paşîn
674,allein::ADV,alene,tenê
675,auf einmal::ADV,med ett,jar kê
676,zusammen::ADV,sammen,tev
677,zusammen::ADV,sammen,bi hev re
678,lange::ADV,lenge,dirêj
679,plötzlich::ADV,plutselig,ji nişkave
680,sofort::ADV,straks,yekser
681,später::ADV,senere,paşiyê
682,jetzt::ADV,nå,nuha
683,heute::ADV,i dag,îro
684,morgen::ADV,i morgen,sibeh
685,bald::ADV,snart,nêzîk
686,dann::ADV,så,paşê
687,gestern::ADV,i går,do
688,einst::ADV,engang,jar ke
689,damals::ADV,den gang,hîngî
690,danach::ADV,deretter,piştra
691,vorher::ADV,før,pîşî
692,vorher::ADV,i forveien,pîşî
693,zuerst::ADV,først,bere
694,einmal::ADV,en gang,çarik
695,manchmal::ADV,somme tider,çarna
696,oft::ADV,ofte,gelek çaran
697,immer::ADV,alltid,daîm
698,niemals::ADV,aldri,tu çar
699,hier::ADV,her,li vir
700,hierhin::ADV,hit,vir
701,von hier::ADV,herfra,ji vir
702,dort::ADV,der,li wê derê
703,dorthin::ADV,dit,wêda
704,geradeaus::ADV,rett fram,rastê rast
705,vorwärts::ADV,fram,ber bi pêş
706,vorwärts::ADV,framover,ber bi pêş
707,rückwärts::ADV,baklengs,paşpê
708,zurück::ADV,tilbake,paşdo
709,zurück::ADV,tilbake,paşvê
710,unten::ADV,nede,jêrî
711,hinab::ADV,ned,berjêr
712,hinab::ADV,nedover,berjêr
713,oben::ADV,oppe,banî
714,oben::ADV,ovenpå,banî
715,hinauf::ADV,opp,banî
716,hinauf::ADV,oppover,banî
717,überall::ADV,overalt,li her derê
718,nicht::ADV,ikke,ne
719,nicht::ADV,ikke,nîn
720,nicht::ADV,ikke,tine
721,ein wenig::ADV,litt,hebkî
722,kaum::ADV,neppe,tema
723,kaum::ADV,neppe,himangi
724,sehr::ADV,svært,gelek
725,so::ADV,så,weha
726,noch::ADV,enda,hêj
727,noch::ADV,enda,dîsa
728,nur::ADV,bare,tenê
729,nur::ADV,bare,bes
730,schon::ADV,alt,hew
731,schon::ADV,allerede,hew
732,wieder::ADV,igjen,jar din
733,wieder::ADV,igjen,dîsa
734,vergebens::ADV,forgjeves,deya çun
735,vergebens::ADV,forgjeves,îfleh bûn
736,vor::PRP,foran,li ber
737,vor::PRP,utenfor,li ber
738,hinter::PRP,bak,li pişt
739,hinter::PRP,bakom,li pişt
740,unter::PRP,under,li bin
741,durch::PRP,gjennom,kura
742,durch::PRP,igjennom,kura
743,neben::PRP,ved siden av,li ba
744,zwischen::PRP,mellom,nabeyne
745,zwischen::PRP,mellom,di nav...da
746,wegen::PRP,på grunn av,ji bo
747,wegen::PRP,på grunn av,ji ber
748,dies::PRN,dette,ev
749,das::PRN,det,ev
750,alles::PRN,alt,hemû
751,ich::PRN,jeg,ez
752,du::PRN,du,tu
753,er::PRN,han,wî
754,wir::PRN,vi,êm
755,ihr::PRN,dere,hûn
756,sie::PRN,de,we
757,was::FPRN,hva,çi
758,wer::FPRN,hvem,ki
759,wo::FADV,hvor,li ku dere
760,wohin::FADV,hvor ... hen,li ku dere
761,wie::FADV,hvordan,çawa
762,warum::FADV,hvorfor,çima
763,wieviel::FNUM,hvor mye,çend
764,eins::NUM,en,yek
765,eins::NUM,ett,yek
766,zwei::NUM,to,didu
767,drei::NUM,tre,sisê
768,vier::NUM,fire,çar
769,fünf::NUM,fem,penç
770,sechs::NUM,seks,şeş
771,sieben::NUM,sju,heft
772,acht::NUM,åtte,heşt
773,neun::NUM,ni,neh
774,zehn::NUM,ti,deh
775,elf::NUM,elleve,yazdeh
776,zwölf::NUM,tolv,diwazdeh
777,zwanzig::NUM,tjue,bîst
778,dreißig::NUM,tretti,sih
779,vierzig::NUM,førti,çil
780,fünfzig::NUM,femti,pençi
781,sechzig::NUM,seksti,şêst
782,siebzig::NUM,sytti,heftê
783,achtzig::NUM,åtti,heştê
784,neunzig::NUM,nitti,nod
785,hundert::NUM,hundre,sêd
786,tausend::NUM,tusen,hezar
787,und::CNJ,og,û
788,oder::CNJ,eller,an
789,oder::CNJ,eller,yan
790,stehen::V,stå,sekinîn
791,sitzen::V,sitte,rûniştin
792,liegen::V,ligge,paldan
793,hängen::V,henge,darve kirin
794,werden::V,bli,bûn
795,passieren::V,skje,hatin holê
796,passieren::V,skje,hatin serê kesî
797,passieren::V,hende,hatin holê
798,passieren::V,hende,hatin serê kesî
799,beginnen::V,begynne,li dest pêkirin
800,enden::V,ende,xalas bû
801,enden::V,slutte,xalas bû
802,wechseln::V,veksle,guherandin
803,wechseln::V,veksle,dêgiş kirin
804,aufgehen[Sonne]::V,stå opp,hilatin
805,untergehen[Sonne]::V,gå ned,çun ava
806,scheinen[Sonne]::V,skinne,şewk de
807,donnern::V,tordne,gire-gir
808,wehen::V,blåse,ba le de
809,strömen::V,strømme,xwe girtin
810,fließen::V,flyte,herikîn
811,sich drehen::V,dreie seg,xwe zivirandin
812,schwanken::V,svaie,hejandin
813,schwingen::V,svinge,libakirin
814,fallen::V,falle,ketin
815,brennen::V,brenne,şewitîn
816,rauchen::V,ryke,kişandin
817,regnen::V,regne,bahran tê
818,gefrieren::V,fryse,qefilandin
819,tauen::V,tine,helandin
820,schmelzen::V,smelte,helandin
821,trocknen::V,tørre,zuwabûn
822,sieden::V,koke,kelîn
823,faulen::V,råtne,xerabûn
824,verfaulen::V,råtne,xerabûn
825,reißen::V,briste,jêkirin
826,versinken::V,synke,xerq bûn
827,versinken::V,synke ned,xerq bûn
828,vergehen::V,forløpe,derbas bûn
829,erscheinen::V,synes,peyda bûn
830,verschwinden::V,forsvinne,wendabûn
831,sinken::V,synke,noq bûn
832,abnehmen::V,avta,kêm bûn
833,abnehmen::V,minske,kêm bûn
834,zunehmen::V,tilta,qelew bûn
835,steigen::V,stige,hildan
836,wachsen::V,gro,mezin bûn
