,Concept_ID,eu,cs
168,Kralle::N,atzapar,dráp
169,Schwanz::N,isats,ocas
170,Schwanz::N,buztan,ocas
171,Ei::N,arrautza,vejce
172,Nest::N,habia,hnízdo
173,Bau::N,ohantze,nora
174,Tier::N,abere,zvíře
175,Tier::N,piztia,zvíře
176,Herde::N,saldo,stádo
177,Herde::N,abere talde,stádo
178,Kuh::N,behi,kráva
179,Bulle::N,zezen,býk
180,Pferd::N,zaldi,kůň
181,Schaf::N,ardi,ovce
182,Schwein::N,urde,vepř
183,Schwein::N,urde,prase
184,Schwein::N,txerri,vepř
185,Schwein::N,txerri,prase
186,Hund::N,txakur,pes
187,Katze::N,katu,kočka
188,Bär::N,hartz,medvěd
189,Eichhörnchen::N,urtxintxa,veverka
190,Elch::N,altze,los
191,Fuchs::N,azeri,liška
192,Hase::N,erbi,zajíc
193,Maus::N,sagu,myš
194,Wolf::N,otso,vlk
195,Vogel::N,txori,pták
196,Vogel::N,hegazti,pták
197,Schwarm::N,aldra,roj
198,Schwarm::N,aldra,hejno
199,Huhn::N,oilo,kuře
200,Huhn::N,oilo,slepice
201,Hahn::N,oilar,kohout
202,Gans::N,antzara,husa
203,Adler::N,arrano,orel
204,Ente::N,ahate,kachna
205,Eule::N,hontza,sova
206,Kranich::N,kurrilo,jeřáb
207,Krähe::N,bele,vrána
208,Kuckuck::N,kuku,kukačka
209,Schwan::N,beltxarga,labuť
210,Fisch::N,arrain,ryba
211,Barsch::N,perka,okoun
212,Hecht::N,lutxo,štika
213,Schlange[Tier]::N,suge,had
214,Wurm::N,har,červ
215,Spinne::N,armiarma,pavouk
216,Ameise::N,inurri,mravenec
217,Laus::N,zorri,veš
218,Mücke::N,eltxo,komár
219,Fliege::N,euli,moucha
220,Schmetterling::N,pinpirin,motýl
221,Schmetterling::N,tximeleta,motýl
222,Beere::N,baia,bobule
223,Apfel::N,sagar,jablko
224,Pilz::N,onddo,houba
225,Pilz::N,perretxiko,houba
226,Zwiebel::N,tipula,cibule
227,Saat::N,haziak,osivo
228,Korn::N,ale,zrno
229,Korn::N,pikor,zrno
230,Heu::N,belar ondu,seno
231,Schale::N,azal,slupka
232,Schale::N,azal,skořápka
233,Grube::N,hobi,jáma
234,Falle::N,harrapagailu,past
235,Falle::N,harrapagailu,léčka
236,Schlinge::N,bilur,smyčka
237,Schlinge::N,xedera,smyčka
238,Spur::N,lorratz,stopa
