,Concept_ID,br,no
139,Klaue::N,skilf,klauv
140,Kralle::N,skilf,klo
141,Schwanz::N,lost,hale
142,Ei::N,vi,egg
143,Nest::N,neizh,rede
144,Bau::N,douarenn,hi
145,Tier::N,loen,dyr
146,Herde::N,tropell,flokk
147,Kuh::N,buoc'h,ku
148,Bulle::N,tarv,tyr
149,Pferd::N,marc'h,hest
150,Schaf::N,dañvad,får
151,Schwein::N,pemoc'h,gris
152,Hund::N,ki,hund
153,Katze::N,kazh,katt
154,Bär::N,arzh,bjørn
155,Eichhörnchen::N,gwiñver,ekorn
156,Elch::N,karv-dour,elg
157,Fuchs::N,louarn,rev
158,Hase::N,gad,hare
159,Maus::N,logodenn,mus
160,Wolf::N,bleiz,ulv
161,Wolf::N,bleiz,varg
162,Vogel::N,labous,fugl
163,Schwarm::N,nijad,sverm
164,Huhn::N,yar,høne
165,Hahn::N,kilhog,hane
166,Gans::N,gwazenn,gås
167,Adler::N,erer,ørn
168,Ente::N,houad,and
169,Eule::N,toud,ugle
170,Kranich::N,garan,trane
171,Krähe::N,bran,kråke
172,Kuckuck::N,koukoug,gjøk
173,Schwan::N,alarc'h,svane
174,Fisch::N,pesk,fisk
175,Barsch::N,brell,abbor
176,Hecht::N,beked,gjedde
177,Schlange[Tier]::N,naer,orm
178,Schlange[Tier]::N,naer,slange
179,Wurm::N,preñv,orm
180,Wurm::N,preñv,mark
181,Spinne::N,kevnidenn,edderkopp
182,Ameise::N,merion,maur
183,Laus::N,laouenn,lus
184,Mücke::N,moustik,mygg
185,Fliege::N,kelienenn,flue
186,Schmetterling::N,balafenn,sommerfugl
187,Beere::N,hog,bær
188,Apfel::N,aval,eple
189,Pilz::N,kabell-touseg,sopp
190,Zwiebel::N,ognonenn,løk
191,Saat::N,had,sæd
192,Korn::N,ed,korn
193,Heu::N,foenn,høy
194,Schale::N,peliadur,skall
195,Falle::N,pech,felle
196,Schlinge::N,krouglas,snare
197,Asche::N,ludu,aske
198,Dreck::N,fank,møkk
199,Dreck::N,fank,skitt
200,Eisen::N,houarn,jern
201,Gold::N,aour,gull
202,Silber::N,arc'hant,sølv
203,Kohle::N,glaou,kol
204,Kohle::N,glaou,kull
205,Glas::N,gwer,glass
206,Sand::N,traezh,sand
207,Mensch::N,den,menneske
208,Mann::N,den,mann
209,Frau::N,maouez,kvinne
210,Kind::N,bugel,barn
211,Junge::N,paotr,gutt
212,Mädchen::N,plac'h,pike
213,Mädchen::N,plac'h,jente
214,Familie::N,familh,familie
215,Großvater::N,tad-kozh,bestefar
216,Großmutter::N,mamm-gozh,bestemor
217,Eltern::N,kerent,foreldre
218,Vater::N,tad,far
219,Mutter::N,mamm,mor
220,Sohn::N,mab,sønn
221,Tochter::N,merc'h,datter
222,Bruder::N,breur,bror
223,Schwester::N,c'hoar,søster
224,Onkel::N,eontr,onkel
225,Tante::N,moereb,tante
226,Ehemann::N,gwaz,ektemann
227,Ehefrau::N,gwreg,hustru
228,Freude::N,levenez,glede
229,Gelächter::N,c'hoarzherezh,latter
230,Glück::N,chañs,lykke
231,Kummer::N,doan,sorg
232,Wunsch::N,c'hoant,ønske
233,Lust::N,c'hoant,lyst
234,Geist::N,spered,ånd
235,Gedanke::N,soñj,tanke
236,Gedächtnis::N,eñvor,minne
237,Gedächtnis::N,eñvor,hukommelse
238,Verstand::N,skiant,forstand
239,Sinn::N,ster,mening
240,Sinn::N,ster,betydning
241,Grund::N,kaoz,grunn
242,Wahrheit::N,gwirionez,sannhet
243,Gespräch::N,kaozeadenn,samtale
244,Märchen::N,kaoz korriganez,eventyr
245,Erzählung::N,kontadenn,fortelling
246,Nachricht::N,keloù,melding
247,Neuigkeit::N,kelaouenn,nyhet
248,Name::N,anv,navn
249,Rätsel::N,divinatez,gåte
250,Rede::N,diskour,tale
251,Sprache::N,yezh,språk
252,Stimme::N,mouezh,stemme
253,Wort::N,ger,ord
254,Zeichen::N,sin,tegn
255,Ruf::N,galv,rop
256,Lärm::N,trouz,bråk
257,Ton::N,ton,tone
258,Lied::N,kanaouenn,vise
259,Ruhe::N,sioulded,ro
260,Leute::N,tud,folk
261,Volk::N,pobl,folk
262,Arbeit::N,labour,arbeid
263,Gast::N,kouviad,gjest
264,Geschenk::N,prof,gave
265,Spiel::N,c'hoari,lek
266,Spiel::N,c'hoari,spill
267,Gesellschaft::N,kompagnunezh,selskap
268,Gesellschaft::N,kavandad,selskap
269,Hilfe::N,sikour,hjelp
270,Freund::N,mignon,venn
271,Kamerad::N,kamarad,kamerat
272,Angelegenheit::N,afer,sak
273,Angelegenheit::N,afer,anliggende
274,Anzahl::N,niver,antall
275,Art::N,sort,art
276,Art::N,sort,slag
277,Stück::N,tamm,stykke
278,Teil::N,pezh,del
279,Hälfte::N,hanterenn,halvdel
280,Kreis::N,kelc'h,ring
281,Kreis::N,kelc'h,sirkel
282,Kreuz::N,kroaz,kors
283,Kreuz::N,kroaz,kryss
284,Linie::N,linenn,linje
285,Strich::N,tenn,strek
286,Abstand::N,distok,avstand
287,Entfernung::N,keid,avstand
288,Entfernung::N,kehid,avstand
289,Gegend::N,korn-bro,strøk
290,Platz::N,plasenn,plass
291,Ort::N,lec'h,sted
292,Seite::N,tu,side
293,Mitte::N,kreiz,midte
294,Gegenstand::N,tra,gjenstand
295,Sache::N,tra,sak
296,Rand::N,kantenn,rand
297,Kante::N,kantenn,kant
298,Ecke::N,korn,hjørne
299,Spitze::N,begell,spiss
300,Ende::N,dibenn,ende
301,Loch::N,toull,hull
302,Muster::N,tresadenn,mønster
303,Größe::N,ment,størrelse
304,Länge::N,hirder,lengde
305,Höhe::N,uhelder,høyde
306,Gewicht::N,pouez,vekt
307,Menge::N,bern,mengde
308,Haufen::N,bern,haug
309,Haufen::N,bern,bunke
310,Reihe::N,steud,rekke
311,Boot::N,bag,båt
312,Ruder::N,roeñv,åre
313,Schlitten::N,trainell,slede
314,Schlitten::N,trainell,kjelke
315,Ski::N,ski,ski
316,Last::N,karg,bør
317,Last::N,karg,last
318,Gang::N,kerzh,gang
319,Schritt::N,paz,steg
320,Schritt::N,paz,skritt
321,Norden::N,norzh,nord
322,Norden::N,hanternoz,nord
323,Süden::N,su,sør
324,Süden::N,kreisteiz,sør
325,Westen::N,kuzh-heol,vest
326,Osten::N,reter,øst
327,Osten::N,sav-heol,øst
328,Holz::N,koad,tre
329,Brett::N,plankenn,fjøl
330,Brett::N,plankenn,brett
331,Platte::N,plakenn,plate
332,Stütze::N,harp,støtte
333,Stange::N,sparl,stang
334,Stock::N,bazh,pinne
335,Stab::N,bazh,stav
336,Stab::N,bazh,kjepp
337,Rohr::N,tub,rør
338,Rohr::N,korz,rør
339,Haus::N,ti,hus
340,Heim::N,kêr,hjem
341,Ofen::N,forn,ovn
342,Fußboden::N,plañchod,gulv
343,Tisch::N,taol,bord
344,Stuhl::N,kador,stol
345,Wiege::N,kavell,vogge
346,Bett::N,gwele,seng
347,Regal::N,estajerenn,reol
348,Regal::N,estajerenn,hylle
349,Kiste::N,kased,kasse
350,Fenster::N,prenestr,vindu
351,Tür::N,dor,dør
352,Tor::N,portal,port
353,Zaun::N,sklotur,gjerde
354,Dach::N,toenn,tak
355,Leiter::N,skeul,stige
356,Besen::N,skubell,kost
357,Spaten::N,pal,spade
358,Schaufel::N,pal,skuffe
359,Gabel::N,fourchetez,gaffel
360,Löffel::N,loa,skje
361,Messer::N,kontell,kniv
362,Nagel::N,tach,spiker
363,Netz::N,roued,nett
364,Haken::N,krog,krok
365,Griff::N,kemer,tak
366,Griff::N,kemer,håndtak
367,Schloss::N,potenn,lås
368,Bild::N,skeudenn,bilde
369,Figur::N,skeud,figur
370,Figur::N,figur,figur
371,Puppe::N,merc'hodenn,dukke
372,Beutel::N,sac'h,pose
373,Bündel::N,feskenn,bylt
374,Tasche::N,sac'h,veske
375,Eimer::N,sailh,bøtte
376,Deckel::N,pallenn,lokk
377,Geschirr::N,listriaj,kjøkkentøy
378,Sack::N,sac'h,sekk
379,Tasse::N,tas,kopp
380,Topf::N,pod,gryte
381,Kessel::N,chaodouron,kjele
382,Essen::N,pred,mål
383,Nahrung::N,boued,mat
384,Nahrung::N,boued,næring
385,Speise::N,meuz,matrett
386,Fleisch::N,kig,kjøtt
387,Getreide::N,ed,korn
388,Brei::N,yod,grøt
389,Brot::N,bara,brød
390,Scheibe::N,tailhenn,skive
391,Fett::N,lard,fett
392,Butter::N,amann,smør
393,Öl::N,eoul,olje
394,Salz::N,holen,salt
395,Suppe::N,soubenn,suppe
396,Honig::N,mel,honning
397,Milch::N,laezh,melk
398,Tee::N,te,te
399,Leder::N,lêr,lær
400,Leder::N,lêr,skinn
401,Wolle::N,gloan,ull
402,Stoff::N,danvez,tøy
403,Stoff::N,danvez,stoff
404,Nadel::N,nadoz,nål
405,Faden::N,neudenn,tråd
406,Knopf::N,bouton,knapp
407,Knoten::N,skoulm,knute
408,Farbe::N,liv,farge
409,Kleidung::N,dilhad,påkledning
410,Hemd::N,roc'hed,skjorte
411,Kragen::N,gouzoug,krage
412,Ärmel::N,milgin,erme
413,Hose::N,bragoù,bukse
414,Gürtel::N,gouriz,belte
415,Mütze::N,boned,lue
416,Schuh::N,botez,sko
417,Stiefel::N,botez,støvel
418,Ring::N,gwalenn,ring
419,Band::N,bagad,band
420,Kamm::N,krib,kam
421,Spiegel::N,melezour,speil
422,Riemen::N,lerenn,rem
423,Schnur::N,kordenn,snor
424,Leine::N,roll,line
425,Decke::N,golo,teppe
426,Kissen::N,goubenner,pute
427,Tuch::N,mezher,tøy
428,Handtuch::N,toailhon,håndkle
429,Kraft::N,nerzh,kraft
430,Stärke::N,nerzhder,styrke
431,Gesundheit::N,yec'hed,helse
432,Gesundheit::N,yec'hed,sunnhet
433,Krankheit::N,klañved,syke
434,Krankheit::N,klañved,sykdom
435,Schmerz::N,poan,smerte
436,Schmerz::N,droug,smerte
437,Wunde::N,gloazadenn,sår
438,Fieber::N,terzhienn,feber
439,Arznei::N,louzoù,medisin
440,Arznei::N,louzoù,legemiddel
441,Brücke::N,pont,bro
442,Brunnen::N,puñs,brønn
443,Weide::N,prad,beite
444,Pfad::N,gwenodenn,sti
445,Weg::N,hent,vei
446,Straße::N,ru,gate
447,Straße::N,hent,gate
448,Dorf::N,kêr,landsby
449,Dorf::N,kêriadenn,landsby
450,Stadt::N,kêr,by
451,Brief::N,lizher,brev
452,Buch::N,levr,bok
453,Buchstabe::N,lizherenn,bokstav
454,Zeitung::N,kazetenn,avis
455,Leben::N,buhez,liv
456,Tod::N,marv,død
457,Grab::N,bez,grav
458,Kirche::N,iliz,kirke
459,Sünde::N,pec'hed,synd
460,Gott::N,doue,gud
461,Arbeiter::N,labourer,arbeider
462,Arbeiter::N,micherour,arbeider
463,Chef::N,penn,sjef
464,Meister::N,mestr,mester
465,Arzt::N,mezeg,lege
466,Arzt::N,medisin,lege
467,Lehrer::N,skolaer,lærer
468,Lehrer::N,kelenner,lærer
469,Geld::N,arc'hant,penger
470,Geschäft::N,stal,forretning
471,Laden::N,stal,butikk
472,Preis::N,priz,pris
473,Ware::N,marc'hadourezh,vare
474,Nutzen::N,gounidegezh,nytte
475,Nutzen::N,lañs,nytte
476,Nutzen::N,profit,nytte
477,Nutzen::N,spleit,nytte
478,Reichtum::N,pinvidigezh,rikdom
479,Welt::N,douar,verden
480,Land::N,bro,land
481,Staat::N,stad,stat
482,König::N,roue,konge
483,Macht::N,galloud,makt
484,Grenze::N,harzoù,grense
485,Krieg::N,brezel,krig
486,Feind::N,eneber,fiende
487,Gewalt::N,tâerder,vold
488,Kampf::N,kann,kamp
489,Bogen[Waffe]::N,gwareg,bue
490,Pfeil::N,saezh,pil
491,Gewehr::N,fuzuilh,gevær
492,Fehler::N,fazi,feil
493,Lüge::N,gaou,løgn
494,Schaden::N,gwall,skade
495,Unglück::N,gwalleur,uhell
496,Schuld::N,kablusted,skyld
497,Schuld::N,pec'hedigezh,skyld
498,Alter::N,oad,alder
499,Schluss::N,diwezh,slutt
500,Zeit::N,amzer,tid
501,Tag::N,deizh,dag
502,Morgen::N,beure,morgen
503,Morgen::N,mintin,morgen
504,Mittag::N,kreisteiz,middag
505,Abend::N,abardaez,aften
506,Nacht::N,noz,natt
507,Woche::N,sizhun,uke
508,Monat::N,miz,måned
509,Jahr::N,bloaz,år
510,Frühling::N,nevezamzer,vår
511,Sommer::N,hañv,sommer
512,Herbst::N,diskaramzer,høst
513,Winter::N,goañv,vinter
514,Januar::N,Genver,januar
515,Februar::N,C'hwevrer,februar
516,März::N,Meurzh,mars
517,April::N,Ebrel,april
518,Mai::N,Mae,mai
519,Juni::N,Mezheven,juni
520,Juli::N,Gouhere,juli
521,August::N,Eost,august
522,September::N,Gwengolo,september
523,Oktober::N,Here,oktober
524,November::N,Du,november
525,Dezember::N,Kerzu,desember
526,Montag::N,Lun,mandag
527,Dienstag::N,Meurzh,tirsdag
528,Mittwoch::N,Merc'her,onsdag
529,Donnerstag::N,Yaou,torsdag
530,Freitag::N,Gwener,fredag
531,Samstag::N,Sadorn,lørdag
532,Sonntag::N,Sul,søndag
533,groß::A,bras,stor
534,klein::A,bihan,liten
535,lang::A,hir,lang
536,kurz::A,berr,kort
537,breit::A,ledan,bred
538,schmal::A,strizh,smal
539,dicht::A,stank,tett
540,dick[Gegenstand]::A,tev,tykk
541,dünn::A,moan,tynn
542,fein::A,munut,fin
543,fest::A,start,fast
544,flach::A,plaen,flat
545,glatt::A,lintr,glatt
546,glatt::A,levn,glatt
547,hart::A,kalet,hard
548,weich::A,blot,myk
549,weich::A,blot,bløt
550,rund::A,ront,rund
551,spitz::A,poentet,spiss
552,scharf::A,dremm,kvass
553,stumpf::A,talsoc'h,stubb
554,schwer::A,pounner,tung
555,schön::A,kaer,pen
556,schön::A,kaer,vakker
557,heiß::A,tomm,het
558,warm::A,tomm,varm
559,kalt::A,yen,kald
560,kühl::A,yen,kjølig
561,frisch::A,fresk,fersk
562,feucht::A,gleb,fuktig
563,nass::A,gleb,våt
564,trocken::A,sec'h,tørr
565,voll::A,leun,full
566,leer::A,goullo,tom
567,offen::A,digor,åpen
568,geschlossen::A,serr,lukket
569,sauber::A,naet,ren
570,schmutzig::A,lous,skitten
571,roh::A,kriz,rå
572,reif::A,darev,moden
573,lecker::A,lipous,lekker
574,lecker::A,saourus,lekker
575,süß::A,dous,søt
576,bitter::A,c'hwerv,besk
577,bitter::A,c'hwerv,bitter
578,sauer::A,trenk,sur
579,hell::A,sklaer,lys
580,dunkel::A,teñval,mørk
581,schwarz::A,du,svart
582,weiß::A,gwenn,hvit
583,rot::A,ruz,rød
584,gelb::A,melen,gul
585,blau::A,glas,blå
586,grün::A,gwer,grønn
587,grau::A,louet,grå
588,bunt::A,liesliv,broket
589,billig::A,marc'had-mat,billig
590,teuer::A,ker,dyr
591,wertvoll::A,prizius,verdifull
592,blind::A,dall,blind
593,taub::A,bouzar,døv
594,kräftig::A,start,kraftig
595,stark::A,kreñv,sterk
596,schwach::A,gwan,svak
597,fett::A,lard,fet
598,schlank::A,sinkl,slank
599,hübsch::A,koant,pen
600,böse::A,gwall,slem
601,dumm::A,glep,dum
602,faul::A,lezirek,lat
603,faul::A,lezirek,doven
604,fleißig::A,studius,flittig
605,geizig::A,tost,gjerrig
606,klug::A,speredek,klok
607,geschickt::A,dornet,hendig
608,geschickt::A,dornet,skikket
609,lieb::A,koant,kjær
610,lieb::A,koant,snill
611,lustig::A,laouen,morsom
612,sanft::A,flour,blid
613,hungrig::A,marnaon,sulten
614,krank::A,klañv,syk
615,nackt::A,noazh,naken
616,traurig::A,trist,sørgmodig
617,lebendig::A,bev,levende
618,gut::A,mad,god
619,schlecht::A,fall,dårlig
620,schlecht::A,gwall,dårlig
621,richtig::A,reizh,riktig
622,schlimm::A,gwall,slem
623,wahr::A,gwir,sann
624,alt::A,kozh,gammel
625,neu::A,nevez,ny
626,ehemalig::A,kozh,forhenværende
627,alt[Lebewesen]::A,kozh,gammel
628,jung::A,yaouank,ung
629,arm::A,paour,fattig
630,reich::A,pinvidik,rik
631,bekannt::A,anavezet,kjent
632,berühmt::A,brudet,berømt
633,fremd::A,dizanav,fremmed
634,verschieden::A,disheñel,forskjellig
635,nah::A,nes,nær
636,fern::A,diabell,fjern
637,linker::A,kleiz,venstre
638,rechter::A,dehoù,høyre
639,anderer::A,all,annen
640,erster::A,kentañ,første
641,zweiter::A,eil,annen
642,dritter::A,trede,tredje
643,letzter::A,diwezhañ,sist
644,allein::ADV,e-unan,alene
645,auf einmal::ADV,ar un dro,med ett
646,zusammen::ADV,asambles,sammen
647,lange::ADV,pell,lenge
648,plötzlich::ADV,en un taol,plutselig
649,sofort::ADV,diouzhtu,straks
650,später::ADV,diwezhatoc'h,senere
651,jetzt::ADV,bremañ,nå
652,heute::ADV,hiziv,i dag
653,morgen::ADV,arc'hoazh,i morgen
654,bald::ADV,hepdale,snart
655,dann::ADV,a-c'houde,så
656,gestern::ADV,dec'h,i går
657,einst::ADV,gwechall,engang
658,damals::ADV,neuze,den gang
659,danach::ADV,goude,deretter
660,vorher::ADV,diagent,før
661,vorher::ADV,diagent,i forveien
662,zuerst::ADV,da gentañ,først
663,einmal::ADV,ur wech,en gang
664,manchmal::ADV,a-wechoù,somme tider
665,oft::ADV,alies,ofte
666,immer::ADV,atav,alltid
667,immer::ADV,bepred,alltid
668,niemals::ADV,gwech ebet,aldri
669,hier::ADV,amañ,her
670,hierhin::ADV,dre amañ,hit
671,von hier::ADV,alemañ,herfra
672,dort::ADV,aze,der
673,dort::ADV,ahont,der
674,dorthin::ADV,di,dit
675,dorthin::ADV,aze,dit
676,dorthin::ADV,ahont,dit
677,geradeaus::ADV,war-eeun,rett fram
678,vorwärts::ADV,war-raok,fram
679,vorwärts::ADV,war-raok,framover
680,rückwärts::ADV,war-lerc'h,baklengs
681,zurück::ADV,war-dreñv,tilbake
682,unten::ADV,en traoñ,nede
683,hinab::ADV,a-izel,ned
684,hinab::ADV,a-izel,nedover
685,oben::ADV,en nec'h,oppe
686,oben::ADV,en nec'h,ovenpå
687,hinauf::ADV,e-krec'h,opp
688,hinauf::ADV,e-krec'h,oppover
689,überall::ADV,dre-holl,overalt
690,nicht::ADV,ne ... ket,ikke
691,ein wenig::ADV,un tammig,litt
692,kaum::ADV,a-boan,neppe
693,sehr::ADV,-tre,svært
694,sehr::ADV,-kenañ,svært
695,so::ADV,evel-se,så
696,noch::ADV,c'hoazh,enda
697,nur::ADV,hepken,bare
698,schon::ADV,dija,alt
699,schon::ADV,dija,allerede
700,wieder::ADV,adarre,igjen
701,vor::PRP,dirak,foran
702,vor::PRP,dirak,utenfor
703,hinter::PRP,a-drek,bak
704,hinter::PRP,a-drek,bakom
705,hinter::PRP,a-dreñv,bak
706,hinter::PRP,a-dreñv,bakom
707,unter::PRP,dindan,under
708,durch::PRP,dre,gjennom
709,durch::PRP,dre,igjennom
710,neben::PRP,e-kichen,ved siden av
711,zwischen::PRP,etre,mellom
712,wegen::PRP,abalamour da,på grunn av
713,dies::PRN,hemañ,dette
714,das::PRN,se,det
715,das::PRN,hennezh,det
716,alles::PRN,pep tra,alt
717,ich::PRN,me,jeg
718,du::PRN,te,du
719,er::PRN,eñ,han
720,wir::PRN,ni,vi
721,ihr::PRN,c'hwi,dere
722,sie::PRN,int,de
723,was::FPRN,petra,hva
724,wer::FPRN,piv,hvem
725,wo::FADV,pelec'h,hvor
726,wohin::FADV,da belec'h,hvor ... hen
727,wie::FADV,penaos,hvordan
728,warum::FADV,perak,hvorfor
729,wieviel::FNUM,pet,hvor mye
730,eins::NUM,unan,en
731,eins::NUM,unan,ett
732,zwei::NUM,daou,to
733,drei::NUM,tri,tre
734,vier::NUM,pevar,fire
735,fünf::NUM,pemp,fem
736,sechs::NUM,c'hwec'h,seks
737,sieben::NUM,seizh,sju
738,acht::NUM,eizh,åtte
739,neun::NUM,nav,ni
740,zehn::NUM,dek,ti
741,elf::NUM,unnek,elleve
742,zwölf::NUM,daouzek,tolv
743,zwanzig::NUM,ugent,tjue
744,dreißig::NUM,tregont,tretti
745,vierzig::NUM,daou-ugent,førti
746,fünfzig::NUM,hanter-kant,femti
747,sechzig::NUM,tri-ugent,seksti
748,siebzig::NUM,dek ha tri-ugent,sytti
749,achtzig::NUM,pevar-ugent,åtti
750,neunzig::NUM,dek ha pevar-ugent,nitti
751,hundert::NUM,kant,hundre
752,tausend::NUM,mil,tusen
753,und::CNJ,ha,og
754,oder::CNJ,pe,eller
755,stehen::V,bezañ a-sav,stå
756,sitzen::V,azezañ,sitte
757,sitzen::V,bezañ en e goazez,sitte
758,liegen::V,bezañ en e c'hourvez,ligge
759,hängen::V,krougañ,henge
760,werden::V,dazonet,bli
761,passieren::V,c'hoarvezout,skje
762,passieren::V,c'hoarvezout,hende
763,beginnen::V,stagañ,begynne
764,enden::V,achuiñ,ende
765,enden::V,achuiñ,slutte
766,wechseln::V,cheñch,veksle
767,aufgehen[Sonne]::V,dirouzañ,stå opp
768,scheinen[Sonne]::V,lugernañ,skinne
769,donnern::V,taranal,tordne
770,wehen::V,c'hwezhañ,blåse
771,strömen::V,deredek,strømme
772,fließen::V,redek,flyte
773,sich drehen::V,troiñ,dreie seg
774,schwanken::V,trantellat,svaie
775,schwingen::V,froumal,svinge
776,fallen::V,kouezhañ,falle
777,brennen::V,deviñ,brenne
778,rauchen::V,divogedañ,ryke
779,regnen::V,glavañ,regne
780,gefrieren::V,reviñ,fryse
781,tauen::V,diskornañ,tine
782,schmelzen::V,teuziñ,smelte
783,trocknen::V,sec'hañ,tørre
784,sieden::V,berviñ,koke
785,faulen::V,breinañ,råtne
786,verfaulen::V,breinañ,råtne
787,reißen::V,darnaouiñ,briste
788,versinken::V,sodellañ,synke
789,versinken::V,sodellañ,synke ned
790,vergehen::V,tremen,forløpe
791,erscheinen::V,donet war-wel,synes
792,verschwinden::V,monet diwar wel,forsvinne
793,sinken::V,en em izelat,synke
794,abnehmen::V,nebeutaat,avta
795,abnehmen::V,nebeutaat,minske
796,zunehmen::V,kreskiñ,tilta
797,steigen::V,sevel,stige
798,wachsen::V,kreskiñ,gro
799,wachsen::V,kreskiñ,vokse
800,glänzen::V,lugernañ,skinne
801,funkeln::V,elieniñ,tindre
802,lärmen::V,rabotat,bråke
803,klirren::V,diridignat,klirre
804,klirren::V,sterlinkañ,klirre
805,brausen::V,gwegal,bruse
806,rauschen::V,trouzal,suse
807,klingen::V,seniñ,lyde
808,klingen::V,seniñ,klinge
809,bellen::V,harzhal,gjø
810,bellen::V,harzhal,bjeffe
811,heulen::V,yudal,ule
812,blasen::V,c'hwezhañ,blåse
813,pfeifen::V,c'hwitellat,plystre
814,schreien::V,huchal,skrike
815,stöhnen::V,hirvoudiñ,stønne
816,zittern::V,krenañ,dirre
817,zittern::V,krenañ,skjelve
818,leben::V,bevañ,leve
819,geboren werden::V,genel,fødes
820,atmen::V,tennañ e anal,ånde
821,atmen::V,tennañ e anal,puste
822,trinken::V,evañ,drikke
823,essen::V,debriñ,spise
824,schlucken::V,lonkañ,svelge
825,müde werden::V,skuizhañ,bli trett
826,einschlafen::V,menel kousket,sovne
