,Concept_ID,myv,br
269,Ton::N,гайнема,ton
270,Lied::N,моро,kanaouenn
271,Ruhe::N,оймамо,sioulded
272,Leute::N,ломанть,tud
273,Volk::N,народ,pobl
274,Arbeit::N,тев,labour
275,Gast::N,инже,kouviad
276,Geschenk::N,казне,prof
277,Spiel::N,налксема,c'hoari
278,Gesellschaft::N,община,kompagnunezh
279,Gesellschaft::N,община,kavandad
280,Hilfe::N,лездамо,sikour
281,Freund::N,оя,mignon
282,Freund::N,ялга,mignon
283,Kamerad::N,оя,kamarad
284,Kamerad::N,ялга,kamarad
285,Angelegenheit::N,тев,afer
286,Anzahl::N,ламоксчи,niver
287,Art::N,вид,sort
288,Stück::N,пакш,tamm
289,Stück::N,пелькс,tamm
290,Teil::N,часть,pezh
291,Teil::N,пелькс,pezh
292,Hälfte::N,пель,hanterenn
293,Hälfte::N,пелькс,hanterenn
294,Kreis::N,кирькс,kelc'h
295,Kreuz::N,крёст,kroaz
296,Linie::N,кикс,linenn
297,Strich::N,межа,tenn
298,Abstand::N,ютко,distok
299,Entfernung::N,ютко,keid
300,Entfernung::N,ютко,kehid
301,Gegend::N,тарка,korn-bro
302,Gegend::N,пертьпелькс,korn-bro
303,Platz::N,васолкс,plasenn
304,Ort::N,тарка,lec'h
305,Seite::N,ён,tu
306,Seite::N,чире,tu
307,Mitte::N,куншка,kreiz
308,Gegenstand::N,предмет,tra
309,Sache::N,тев,tra
310,Sache::N,веща,tra
311,Rand::N,пе,kantenn
312,Rand::N,чире,kantenn
313,Kante::N,ирдез,kantenn
314,Ecke::N,ужо,korn
315,Spitze::N,пряне,begell
316,Spitze::N,пе,begell
317,Ende::N,пе,dibenn
318,Loch::N,варя,toull
319,Winkel::N,ужо,
320,Muster::N,сёрма,tresadenn
321,Größe::N,сэрь,ment
322,Größe::N,покшолма,ment
323,Länge::N,кувалмо,hirder
324,Höhe::N,сэрь,uhelder
325,Höhe::N,пандо,uhelder
326,Gewicht::N,сталмо,pouez
327,Menge::N,лововкс,bern
328,Haufen::N,мар,bern
329,Haufen::N,валявкс,bern
330,Reihe::N,ряд,steud
331,Boot::N,венч,bag
332,Ruder::N,милё,roeñv
333,Schlitten::N,нурдт,trainell
334,Ski::N,сокс,ski
335,Lagerfeuer::N,толбандя,
336,Last::N,сталмо,karg
337,Last::N,кандома,karg
338,Gang::N,молема,kerzh
339,Gang::N,якамо,kerzh
340,Schritt::N,эскелькс,paz
341,Norden::N,якшамо ёнкс,norzh
342,Norden::N,якшамо ёнкс,hanternoz
343,Süden::N,лембе ёнкс,su
344,Süden::N,лембе ёнкс,kreisteiz
345,Westen::N,чивалгома,kuzh-heol
346,Osten::N,чилисема,reter
347,Osten::N,чилисема,sav-heol
348,Holz::N,чувто,koad
349,Brett::N,лаз,plankenn
350,Platte::N,плита,plakenn
351,Stütze::N,неже,harp
352,Stange::N,олга,sparl
353,Stock::N,мандо,bazh
354,Stab::N,олога,bazh
355,Rohr::N,турба,tub
356,Rohr::N,турба,korz
357,Haus::N,кудо,ti
358,Heim::N,кудо,kêr
359,Ofen::N,каштомо,forn
360,Fußboden::N,киякс,plañchod
361,Tisch::N,столь,taol
362,Stuhl::N,стул,kador
363,Wiege::N,лавсь,kavell
364,Wiege::N,нурямот,kavell
365,Bett::N,ацамо,gwele
366,Regal::N,лався,estajerenn
367,Regal::N,лавсяланго,estajerenn
368,Kiste::N,горобия,kased
369,Kiste::N,сундук,kased
370,Fenster::N,вальма,prenestr
371,Tür::N,кенкш,dor
372,Tor::N,ортат,portal
373,Zaun::N,пирявт,sklotur
374,Zaun::N,пирвякс,sklotur
375,Dach::N,кудопря,toenn
376,Leiter::N,кузтема,skeul
377,Besen::N,тенсть,skubell
378,Spaten::N,койме,pal
379,Schaufel::N,кече,pal
380,Schaufel::N,келей койме,pal
381,Gabel::N,сянгине,fourchetez
382,Löffel::N,пенч,loa
383,Messer::N,пеель,kontell
384,Nagel::N,эске,tach
385,Netz::N,алтыма,roued
386,Haken::N,кечказ,krog
387,Griff::N,кедне,kemer
388,Schloss::N,замок,potenn
389,Schloss::N,панжома,potenn
390,Bild::N,картина,skeudenn
391,Figur::N,рунго,skeud
392,Figur::N,рунго,figur
393,Puppe::N,няка,merc'hodenn
394,Beutel::N,кескав,sac'h
395,Bündel::N,керькс,feskenn
396,Tasche::N,юдма,sac'h
397,Eimer::N,ведра,sailh
398,Deckel::N,велькс,pallenn
399,Geschirr::N,кедьге,listriaj
400,Sack::N,кескав,sac'h
401,Tasse::N,чакш,tas
402,Topf::N,кастрюля,pod
403,Kessel::N,котёл,chaodouron
404,Essen::N,ярсамо,pred
405,Nahrung::N,ярсамопель,boued
406,Speise::N,ярсамопель,meuz
407,Fleisch::N,сывель,kig
408,Getreide::N,сюро,ed
409,Brei::N,каша,yod
410,Brot::N,кши,bara
411,Scheibe::N,кочом,tailhenn
412,Scheibe::N,сускомо,tailhenn
413,Fett::N,куя,lard
414,Butter::N,ой,amann
415,Öl::N,ой,eoul
416,Salz::N,сал,holen
417,Suppe::N,ям,soubenn
418,Honig::N,медь,mel
419,Milch::N,ловсо,laezh
420,Tee::N,чай,te
421,Leder::N,киське,lêr
422,Wolle::N,пона,gloan
423,Stoff::N,коцт,danvez
424,Nadel::N,салмукс,nadoz
425,Faden::N,суре,neudenn
426,Knopf::N,пов,bouton
427,Knoten::N,сюлмо,skoulm
428,Farbe::N,артомапель,liv
429,Kleidung::N,оршамот,dilhad
430,Hemd::N,панар,roc'hed
431,Kragen::N,сиве,gouzoug
432,Ärmel::N,ожа,milgin
433,Hose::N,понкст,bragoù
434,Gürtel::N,каркс,gouriz
435,Mütze::N,чапка,boned
436,Schuh::N,туфля,botez
437,Stiefel::N,кем,botez
438,Ring::N,суркс,gwalenn
439,Band::N,лента,bagad
440,Kamm::N,сурсеме,krib
441,Spiegel::N,чавачамо,melezour
442,Riemen::N,кшнань каркс,lerenn
443,Schnur::N,пикс,kordenn
444,Leine::N,ведьме,roll
445,Decke::N,вельтямо,golo
446,Kissen::N,тодов,goubenner
447,Tuch::N,паця,mezher
448,Handtuch::N,нардамо,toailhon
449,Kraft::N,вий,nerzh
450,Stärke::N,виевчи,nerzhder
451,Gesundheit::N,шумбрачи,yec'hed
452,Krankheit::N,орма,klañved
453,Krankheit::N,сэредема,klañved
454,Schmerz::N,сэредькс,poan
455,Schmerz::N,сэредькс,droug
456,Wunde::N,керявкс,gloazadenn
457,Fieber::N,маштыкс,terzhienn
458,Arznei::N,ормаменькс,louzoù
459,Brücke::N,сэдь,pont
460,Brücke::N,мадамо,pont
461,Brunnen::N,лисьма,puñs
462,Weide::N,ракшань ванома тарка,prad
463,Pfad::N,ян,gwenodenn
464,Weg::N,ки,hent
465,Straße::N,ки,ru
466,Straße::N,ки,hent
467,Dorf::N,веле,kêr
468,Dorf::N,веле,kêriadenn
469,Stadt::N,ош,kêr
470,Brief::N,сёрма,lizher
471,Buch::N,книга,levr
472,Buchstabe::N,буква,lizherenn
473,Zeitung::N,газета,kazetenn
474,Leben::N,эрямо,buhez
475,Tod::N,кулома,marv
476,Grab::N,калмо,bez
477,Kirche::N,церькова,iliz
478,Sünde::N,чумочи,pec'hed
479,Gott::N,паз,doue
480,Arbeiter::N,робочей,labourer
481,Arbeiter::N,робочей,micherour
482,Chef::N,прявт,penn
483,Meister::N,кол тевень тенця,mestr
484,Arzt::N,врач,mezeg
485,Arzt::N,врач,medisin
486,Lehrer::N,учитель,skolaer
487,Lehrer::N,учитель,kelenner
488,Lehrer::N,тонавтыця,skolaer
489,Lehrer::N,тонавтыця,kelenner
490,Geld::N,ярмак,arc'hant
491,Geschäft::N,ладязь тев,stal
492,Laden::N,лавка,stal
493,Preis::N,питне,priz
494,Ware::N,миевкс,marc'hadourezh
495,Ware::N,рамавкс,marc'hadourezh
496,Nutzen::N,паро,gounidegezh
497,Nutzen::N,паро,lañs
498,Nutzen::N,паро,profit
499,Nutzen::N,паро,spleit
500,Nutzen::N,лезэ,gounidegezh
501,Nutzen::N,лезэ,lañs
502,Nutzen::N,лезэ,profit
503,Nutzen::N,лезэ,spleit
504,Reichtum::N,сюпавчи,pinvidigezh
505,Welt::N,мир,douar
506,Welt::N,мастор ланго,douar
507,Land::N,мастор,bro
508,Staat::N,государства,stad
509,König::N,король,roue
510,Macht::N,азорксчи,galloud
511,Grenze::N,буен тешкс,harzoù
512,Krieg::N,война,brezel
513,Feind::N,душман,eneber
514,Gewalt::N,нарьгамо,tâerder
515,Kampf::N,тюрема,kann
516,Bogen[Waffe]::N,нал,gwareg
517,Pfeil::N,нал,saezh
518,Gewehr::N,ружия,fuzuilh
519,Gewehr::N,винтовка,fuzuilh
520,Fehler::N,ильведькс,fazi
521,Fehler::N,ильведевкс,fazi
522,Lüge::N,манчема,gaou
523,Lüge::N,кенгелема,gaou
524,Schaden::N,зыян,gwall
525,Unglück::N,зыян,gwalleur
526,Schuld::N,чумочи,kablusted
527,Schuld::N,чумочи,pec'hedigezh
528,Alter::N,шка,oad
529,Schluss::N,пе,diwezh
530,Zeit::N,шка,amzer
531,Zeit::N,пинге,amzer
532,Tag::N,чи,deizh
533,Morgen::N,валске,beure
534,Morgen::N,валске,mintin
535,Mittag::N,чикуншка,kreisteiz
536,Abend::N,чокшнэ,abardaez
537,Nacht::N,ве,noz
538,Woche::N,недля,sizhun
539,Monat::N,ков,miz
540,Jahr::N,ие,bloaz
541,Frühling::N,тундо,nevezamzer
542,Sommer::N,кизэ,hañv
543,Herbst::N,сёксь,diskaramzer
544,Winter::N,теле,goañv
545,Januar::N,якшамков,Genver
546,Februar::N,февраль,C'hwevrer
547,März::N,март,Meurzh
548,April::N,апрель,Ebrel
549,Mai::N,май,Mae
550,Juni::N,июнь,Mezheven
551,Juli::N,июль,Gouhere
552,August::N,август,Eost
553,September::N,сентября,Gwengolo
554,Oktober::N,октября,Here
555,November::N,ноября,Du
556,Dezember::N,декабря,Kerzu
557,Montag::N,пондельник,Lun
558,Dienstag::N,овторник,Meurzh
559,Mittwoch::N,серёда,Merc'her
560,Donnerstag::N,цетьверьг,Yaou
561,Freitag::N,пеця,Gwener
562,Samstag::N,субута,Sadorn
563,Samstag::N,шлямочи,Sadorn
564,Sonntag::N,недлячи,Sul
565,groß::A,ине,bras
566,groß::A,покш,bras
567,klein::A,вишка,bihan
568,lang::A,кувака,hir
569,kurz::A,нурькине,berr
570,breit::A,келей,ledan
571,schmal::A,теине,strizh
572,dicht::A,тусто,stank
573,dick[Gegenstand]::A,эчке,tev
574,dünn::A,човине,moan
575,fein::A,човине,munut
576,fest::A,кеме,start
577,flach::A,лапужа,plaen
578,glatt::A,валаня,lintr
579,glatt::A,валаня,levn
580,hart::A,калгодо,kalet
581,weich::A,чевте,blot
582,rund::A,кеверь,ront
583,spitz::A,пшти,poentet
584,scharf::A,пшти,dremm
585,stumpf::A,ношка,talsoc'h
586,schwer::A,стака,pounner
587,schön::A,мазый,kaer
588,heiß::A,пси,tomm
589,warm::A,лембе,tomm
590,kalt::A,якшамо,yen
591,kühl::A,экше,yen
592,frisch::A,свежа,fresk
593,feucht::A,летьке,gleb
594,nass::A,начко,gleb
595,trocken::A,коське,sec'h
596,voll::A,пешксе,leun
597,leer::A,чаво,goullo
598,offen::A,панжадо,digor
599,offen::A,виде,digor
600,geschlossen::A,пекстазь,serr
601,geschlossen::A,сёлгозь,serr
602,sauber::A,ванькс,naet
603,schmutzig::A,ливезев,lous
604,roh::A,верек,kriz
605,reif::A,кенерезь,darev
606,lecker::A,тантей,lipous
607,lecker::A,тантей,saourus
608,süß::A,ламбамо,dous
609,bitter::A,сэпей,c'hwerv
610,sauer::A,чапамо,trenk
611,hell::A,валдо,sklaer
612,dunkel::A,чопода,teñval
613,schwarz::A,раужо,du
614,weiß::A,ашо,gwenn
615,rot::A,якстере,ruz
616,gelb::A,ожо,melen
617,blau::A,сэнь,glas
618,grün::A,пиже,gwer
619,grau::A,шержев,louet
620,bunt::A,сёрмав,liesliv
621,billig::A,аволь питней,marc'had-mat
622,teuer::A,питней,ker
623,wertvoll::A,питней,prizius
624,blind::A,сокор,dall
625,taub::A,амариця,bouzar
626,kräftig::A,пек виев,start
627,stark::A,виев,kreñv
628,schwach::A,лавшо,gwan
629,fett::A,куя,lard
630,schlank::A,виде ронга,sinkl
631,hübsch::A,мазый,koant
632,böse::A,кежей,gwall
633,dumm::A,чавола,glep
634,dumm::A,превтеме,glep
635,faul::A,нузякс,lezirek
636,fleißig::A,мелень путыця,studius
637,geizig::A,скупой,tost
638,klug::A,превей,speredek
639,geschickt::A,маштозь теезь,dornet
640,lieb::A,вадря,koant
641,lustig::A,весёла,laouen
642,sanft::A,сэтьме,flour
643,hungrig::A,вачо,marnaon
644,krank::A,сэредиця,klañv
645,nackt::A,штапо,noazh
646,traurig::A,нусманя,trist
647,lebendig::A,эриця,bev
648,gut::A,паро,mad
649,schlecht::A,берянь,fall
650,schlecht::A,берянь,gwall
651,richtig::A,виде,reizh
652,schlimm::A,берянь,gwall
653,wahr::A,алкуксонь,gwir
654,alt::A,ташто,kozh
655,neu::A,од,nevez
656,ehemalig::A,икелень,kozh
657,alt[Lebewesen]::A,сыре,kozh
658,jung::A,од,yaouank
659,arm::A,кажов,paour
660,reich::A,сюпав,pinvidik
661,bekannt::A,содавикс,anavezet
662,berühmt::A,содавикс,brudet
663,fremd::A,лия,dizanav
664,fremd::A,асодавикс,dizanav
665,verschieden::A,эрьва,disheñel
666,nah::A,а васолонь,nes
667,fern::A,умонь,diabell
668,fern::A,кезэрень,diabell
669,linker::A,керш,kleiz
670,rechter::A,вить,dehoù
671,anderer::A,лия,all
672,erster::A,васень,kentañ
673,erster::A,васенце,kentañ
674,zweiter::A,омбоце,eil
675,dritter::A,колмоце,trede
676,letzter::A,меельце,diwezhañ
677,allein::ADV,башка,e-unan
678,allein::ADV,ськамонзо,e-unan
679,auf einmal::ADV,вейсэ,ar un dro
680,zusammen::ADV,вейс,asambles
681,zusammen::ADV,вейсэ,asambles
682,lange::ADV,кувать,pell
683,plötzlich::ADV,апак учо,en un taol
684,sofort::ADV,курок,diouzhtu
685,sofort::ADV,нейке,diouzhtu
686,später::ADV,мейле,diwezhatoc'h
687,jetzt::ADV,ней,bremañ
688,heute::ADV,течи,hiziv
689,morgen::ADV,ванды,arc'hoazh
690,bald::ADV,курок,hepdale
691,dann::ADV,мейле,a-c'houde
692,dann::ADV,седе мейле,a-c'houde
693,gestern::ADV,исяк,dec'h
694,einst::ADV,весть,gwechall
695,einst::ADV,зярдо-бути,gwechall
696,damals::ADV,сестэ,neuze
697,danach::ADV,мейле,goude
698,danach::ADV,седе мейле,goude
699,vorher::ADV,васняяк,diagent
700,zuerst::ADV,васня,da gentañ
701,einmal::ADV,весть,ur wech
702,manchmal::ADV,лиясто,a-wechoù
703,oft::ADV,сеетьстэ,alies
704,immer::ADV,свал,atav
705,immer::ADV,свал,bepred
706,niemals::ADV,а зярдояк,gwech ebet
707,hier::ADV,тесэ,amañ
708,hierhin::ADV,тей,dre amañ
709,von hier::ADV,тестэ,alemañ
710,dort::ADV,тосо,aze
711,dort::ADV,тосо,ahont
712,dorthin::ADV,тов,di
713,dorthin::ADV,тов,aze
714,dorthin::ADV,тов,ahont
715,geradeaus::ADV,витьстэ,war-eeun
716,vorwärts::ADV,икелев,war-raok
717,rückwärts::ADV,мекев,war-lerc'h
718,zurück::ADV,мекев,war-dreñv
719,unten::ADV,ало,en traoñ
720,hinab::ADV,алов,a-izel
721,oben::ADV,вере,en nec'h
722,hinauf::ADV,верев,e-krec'h
723,überall::ADV,эрьва косо,dre-holl
724,nicht::ADV,а,ne ... ket
725,ein wenig::ADV,аламошка,un tammig
726,kaum::ADV,ансяк,a-boan
727,sehr::ADV,пек,-tre
728,sehr::ADV,пек,-kenañ
729,sehr::ADV,вельть,-tre
730,sehr::ADV,вельть,-kenañ
731,so::ADV,истя,evel-se
732,noch::ADV,таго,c'hoazh
733,nur::ADV,ансяк,hepken
734,schon::ADV,уш,dija
735,wieder::ADV,таго,adarre
736,vergebens::ADV,стяко,
737,vor::PRP,икеле,dirak
738,hinter::PRP,вельде,a-drek
739,hinter::PRP,вельде,a-dreñv
740,unter::PRP,ало,dindan
741,durch::PRP,пачк,dre
742,neben::PRP,вакссо,e-kichen
743,zwischen::PRP,ютксо,etre
744,wegen::PRP,кис,abalamour da
745,wegen::PRP,коряс,abalamour da
746,wegen::PRP,кувалт,abalamour da
747,dies::PRN,те,hemañ
748,das::PRN,те,se
749,das::PRN,те,hennezh
750,das::PRN,тона,se
751,das::PRN,тона,hennezh
752,alles::PRN,весе,pep tra
753,alles::PRN,весемесь,pep tra
754,ich::PRN,мон,me
755,du::PRN,тон,te
756,er::PRN,сон,eñ
757,wir::PRN,минь,ni
758,ihr::PRN,тынь,c'hwi
759,sie::PRN,сынь,int
760,was::FPRN,мезе,petra
761,wer::FPRN,ки,piv
762,wo::FADV,косо,pelec'h
763,wohin::FADV,ков,da belec'h
764,wohin::FADV,козо,da belec'h
765,wie::FADV,кода,penaos
766,warum::FADV,мекс,perak
767,wieviel::FNUM,зяро,pet
768,eins::NUM,вейке,unan
769,zwei::NUM,кавто,daou
770,drei::NUM,колмо,tri
771,vier::NUM,ниле,pevar
772,fünf::NUM,вете,pemp
773,sechs::NUM,кото,c'hwec'h
774,sieben::NUM,сисем,seizh
775,acht::NUM,кавксо,eizh
776,neun::NUM,вейксэ,nav
777,zehn::NUM,кемень,dek
778,elf::NUM,кевейкее,unnek
779,zwölf::NUM,кемгавтово,daouzek
780,zwanzig::NUM,комсь,ugent
781,dreißig::NUM,колоньгемень,tregont
782,vierzig::NUM,ниленьгемень,daou-ugent
783,fünfzig::NUM,ведьгемень,hanter-kant
784,sechzig::NUM,кодгемень,tri-ugent
785,siebzig::NUM,сизьгемень,dek ha tri-ugent
786,achtzig::NUM,кавксоньгемень,pevar-ugent
787,neunzig::NUM,вейксэньгемень,dek ha pevar-ugent
788,hundert::NUM,сядо,kant
789,tausend::NUM,тыща,mil
790,und::CNJ,ды,ha
791,oder::CNJ,или,pe
792,stehen::V,аштемс стядо,bezañ a-sav
793,sitzen::V,аштемс озадо,azezañ
794,sitzen::V,аштемс озадо,bezañ en e goazez
795,liegen::V,мадезь аштемс,bezañ en e c'hourvez
796,hängen::V,нурьгемс,krougañ
797,werden::V,арамс,dazonet
798,passieren::V,лисэмс,c'hoarvezout
799,beginnen::V,ушодомс,stagañ
800,enden::V,лоткамс,achuiñ
