,Concept_ID,ka,mhr
86,Schatten::N,ლანდი,ӱ́мыл
87,Schatten::N,ჩრდილი,ӱ́мыл
88,Wetter::N,ამინდი,иге́че
89,Nebel::N,ნისლი,тӱтыра́
90,Wolke::N,ღრუბელი,пыл
91,Regen::N,წვიმა,йӱр
92,Schnee::N,თოვლი,лум
93,Eis::N,თოში,ий
94,Eis::N,ყინული,ий
95,Frost::N,ყინვა,чатлама́
96,Kälte::N,სიცივე,йӱ́штӧ
97,Hitze::N,სიცხე,шо́кшо
98,Raureif::N,ჭირხლი,пӧрш
99,Raureif::N,ჭირხლი,по́кшым
100,Raureif::N,თრთვილი,пӧрш
101,Raureif::N,თრთვილი,по́кшым
102,Regenbogen::N,ცისარტყელა,шонанпы́л
103,Donner::N,ქუხილი,кӱ́дырчӧ
104,Strömung::N,დინება,йо́гын
105,Tropfen::N,წვეთი,чӱча́лтыш
106,Schaum::N,ქაფი,шоҥ
107,Schaum::N,დორბლი,шоҥ
108,Schmutz::N,ჭუჭყი,лавыра́
109,Schmutz::N,ტალახი,лавыра́
110,See::N,ტბა,ер
111,Sumpf::N,ჭაობი,лӱ́кӧ
112,Moor::N,ტორფნარი,куп
113,Wiese::N,ველი,о́лык
114,Wiese::N,მდელო,о́лык
115,Wald::N,ტყე,чодыра́
116,Hügel::N,ბორცვი,арка́
117,Anhöhe::N,მაღლობი,тӧва́
118,Anhöhe::N,მაღლობი,кӱкшака́
119,Berg::N,მთა,ку́рык
120,Gipfel::N,მწვერვალი,чаҥга́
121,Gipfel::N,მწვერვალი,курыкву́й
122,Höhle::N,მღვიმე,пеще́р
123,Höhle::N,მღვიმე,курыкпо́мыш
124,Höhle::N,გამოქვებული,пеще́р
125,Höhle::N,გამოქვებული,курыкпо́мыш
126,Abhang::N,ფერდობი,та́йыл
127,Quelle::N,წყარო,важ
128,Quelle::N,წყარო,вӱдшинча́
129,Quelle::N,სათავე,важ
130,Quelle::N,სათავე,вӱдшинча́
131,Bach::N,რუ,изэҥе́р
132,Bach::N,ნაკადული,изэҥе́р
133,Fluss::N,მდინარე,эҥе́р
134,Ufer::N,კიდე,сер
135,Ufer::N,ნაპირი,сер
136,Küste::N,ნაპირი,вӱдтӱ́р
137,Festland::N,ხმელეთი,мла́нде
138,Meer::N,ზღვა,те́ҥыз
139,Bucht::N,ყურე,икса́
140,Insel::N,კუნძული,отро́
141,Blume::N,ყვავილი,пеле́дыш
142,Gras::N,ბალახი,шу́до
143,Wurzel::N,ძირი,вож
144,Wurzel::N,ფესვი,вож
145,Baum::N,ხე,пуше́ҥге
146,Stamm::N,ტანი,йы́тыр
147,Rinde::N,ქერქი,шӱм
148,Ast::N,ტოტი,укш
149,Zweig::N,შტო,торма́к
150,Blatt::N,ფოთოლი,лышта́ш
151,Birke::N,არყი,куэ́
152,Kiefer[Baum]::N,ფიჭვი,пӱ́нчӧ
153,Weide[Baum]::N,ტირიფი,уа́
154,Tanne::N,ნაძვი,кож
155,Horn::N,რქა,шур
156,Feder::N,ფრთა,пы́стыл
157,Fell::N,ტყავი,кова́ште
158,Flügel::N,ფრთა,шу́лдыр
159,Klaue::N,კლანჭი,кӱч
160,Kralle::N,ტორი,ла́па
161,Kralle::N,ტორი,копа́
162,Schwanz::N,კუდი,поч
163,Ei::N,კვერცხი,му́но
164,Nest::N,ბუდე,пыжа́ш
165,Bau::N,სორო,пыжа́ш
166,Tier::N,ნადირი,я́нлык
167,Tier::N,ნადირი,живо́тный
168,Tier::N,ცხოველი,я́нлык
169,Tier::N,ცხოველი,живо́тный
170,Herde::N,ფარა,кӱ́тӱ
171,Herde::N,ფარა,тӱшка́
172,Kuh::N,ფური,ушка́л
173,Kuh::N,ძროხა,ушка́л
174,Bulle::N,ხარი,ӱ́шкыж
175,Pferd::N,რაში,и́мне
176,Pferd::N,ცხენი,и́мне
177,Schaf::N,ცხვარი,шо́рык
178,Schwein::N,ღორი,сӧсна́
179,Hund::N,ძაღლი,пий
180,Katze::N,კატა,пы́рыс
181,Bär::N,დათვი,маска́
182,Eichhörnchen::N,ციყვი,ур
183,Elch::N,ცხენ-ირემი,шо́рдо
184,Fuchs::N,მელა,ры́выж
185,Hase::N,კურდღელი,мера́ҥ
186,Maus::N,თაგვი,коля́
187,Wolf::N,მგელი,пи́ре
188,Vogel::N,ჩიტი,ка́йык
189,Vogel::N,ფრინველი,ка́йык
190,Schwarm::N,გუნდი,каша́к
191,Huhn::N,დედალი,чы́ве
192,Hahn::N,მამალი,агыта́н
193,Gans::N,ბატი,ко́мбо
194,Adler::N,არწივი,карагу́ш
195,Ente::N,იხვი,лу́до
196,Eule::N,ბუ,тумна́
197,Kranich::N,წერო,турня́
198,Krähe::N,ყვავი,кора́к
199,Kuckuck::N,გუგული,куку́
200,Schwan::N,გედი,йӱ́ксӧ
201,Fisch::N,თევზი,кол
202,Barsch::N,ქორჭილა,ола́ҥге
203,Hecht::N,ქარიყლაპია,нуж
204,Hecht::N,ქარიყლაპია,чорта́н
205,Schlange[Tier]::N,გველი,ки́шке
206,Wurm::N,ჭია,шукш
207,Spinne::N,ობობა,эҥыре́мыш
208,Ameise::N,ჭიანჭველა,ку́тко
209,Laus::N,ტილი,тий
210,Laus::N,მკბენარი,тий
211,Mücke::N,კოღო,шыҥа́
212,Fliege::N,ბუზი,ка́рме
213,Schmetterling::N,პეპელა,лы́ве
214,Beere::N,კენკრა,мӧр
215,Apfel::N,ვაშლი,олма́
216,Pilz::N,სოკო,по́ҥго
217,Zwiebel::N,ხახვი,шога́н
218,Saat::N,თესლი,нӧ́шмӧ
219,Saat::N,თესლი,туш
220,Korn::N,მარცვალი,шу́рно
221,Heu::N,თივა,шу́до
222,Schale::N,ჩენჩო,шӱм
223,Grube::N,ორმო,выне́м
224,Falle::N,ხაფანგი,лӧ́дӧ
225,Schlinge::N,მახე,о́птыш
226,Schlinge::N,მახე,шӧрга́лтыш
227,Spur::N,კვალი,кыша́
228,Asche::N,ფერფლი,ло́мыж
229,Dreck::N,ტალახი,лавыра́
230,Dreck::N,სიბინძურე,лавыра́
231,Eisen::N,რკინა,кӱ́ртньӧ
232,Gold::N,ოქრო,шӧ́ртньӧ
233,Silber::N,ვერცხლი,ший
234,Kohle::N,ნახშირი,мландышӱ́й
235,Glas::N,მინა,янда́
236,Lehm::N,თიხა,шун
237,Sand::N,ქვიშა,ошма́
238,Mensch::N,ადამიანი,еҥ
239,Mensch::N,ადამიანი,айде́ме
240,Mann::N,კაცი,пӧръе́ҥ
241,Frau::N,ქალი,ӱдырама́ш
242,Kind::N,ბავშვი,аза́
243,Junge::N,ვაჟი,рве́зе
244,Mädchen::N,გოგო,ӱдыра́ш
245,Familie::N,ოჯახი,еш
246,Großvater::N,პაპა,коча́
247,Großvater::N,ბაბუა,коча́
248,Großmutter::N,ბებია,кова́
249,Großmutter::N,დიდედა,кова́
250,Eltern::N,მშობლები,ача́-ава́
251,Vater::N,მამა,ача́
252,Mutter::N,დედა,ава́
253,Sohn::N,ვაჟიშვილი,э́рге
254,Tochter::N,ქალიშვილი,ӱ́дыр
255,Bruder::N,ძმა,иза́
256,Bruder::N,ძმა,шо́льо
257,Schwester::N,და,ака́
258,Onkel::N,ბიძა,иза́
259,Tante::N,დეიდა,кока́
260,Tante::N,მამიდა,кока́
261,Ehemann::N,ქმარი,мари́й
262,Ehefrau::N,ცოლი,ва́те
263,Freude::N,სიხარული,куа́н
264,Freude::N,სიხარული,куаныма́ш
265,Gelächter::N,სიცილი,во́штылтыш
266,Glück::N,ბედნიერება,пиа́л
267,Kummer::N,მწუხარება,о́йго
268,Wunsch::N,წადილი,ку́мыл
269,Wunsch::N,სურვილი,ку́мыл
270,Lust::N,წადილი,ку́мыл
271,Geist::N,სული,ӧрт
272,Geist::N,სული,чон
273,Gedanke::N,ფიქრი,ой
274,Gedanke::N,ფიქრი,шоныма́ш
275,Gedächtnis::N,მეხსიერება,шарныма́ш
276,Verstand::N,ჭკუა,уш
277,Verstand::N,გონება,уш
278,Sinn::N,მნიშვნელობა,смысл
279,Grund::N,მიზეზი,ама́л
280,Wahrheit::N,სიმართლე,чын
281,Wahrheit::N,ჭეშმარიტება,чын
282,Gespräch::N,ბაასი,мутланыма́ш
283,Gespräch::N,საუბარი,мутланыма́ш
284,Märchen::N,არაკი,йома́к
285,Märchen::N,ზღაპარი,йома́к
286,Erzählung::N,თქმულება,ойлыма́ш
287,Nachricht::N,ცნობა,увертарыма́ш
288,Nachricht::N,ამბავი,увертарыма́ш
289,Neuigkeit::N,სიახლე,уве́р
290,Name::N,სახელი,лӱм
291,Rätsel::N,გამოცანა,ту́што
292,Rede::N,სიტყვა,ойлыма́ш
293,Sprache::N,ენა,йы́лме
294,Stimme::N,ხმა,йӱк
295,Wort::N,სიტყვა,ой
296,Wort::N,სიტყვა,мут
297,Zeichen::N,ნიშანი,ти́ште
298,Zeichen::N,ნიშანი,знак
299,Ruf::N,ძახილი,ӱжма́ш
300,Lärm::N,ხმაური,лӱшкыма́ш
301,Lärm::N,ხმაური,йӱк-йӱа́н
302,Laut::N,ხმა,йӱк
303,Laut::N,ბგერა,йӱк
304,Ton::N,ტონი,йӱксе́м
305,Lied::N,სიმღერა,му́ро
306,Ruhe::N,სიწყნარე,ты́мык
307,Leute::N,ადამიანები,еҥ-влак
308,Volk::N,ერი,ка́лык
309,Volk::N,ხალხი,ка́лык
310,Arbeit::N,მუშაობა,паша́
311,Gast::N,სტუმარი,уна́
312,Geschenk::N,საჩუქარი,пӧле́к
313,Spiel::N,თამაში,мо́дыш
314,Spiel::N,თამაში,модма́ш
315,Gesellschaft::N,საზოგადოება,тӱшка́
316,Hilfe::N,შველა,по́лыш
317,Hilfe::N,დახმარება,по́лыш
318,Freund::N,მეგობარი,таҥ
319,Freund::N,მეგობარი,йолта́ш
320,Kamerad::N,ამხანაგი,таҥ
321,Angelegenheit::N,საქმე,паша́
322,Anzahl::N,ოდენობა,чот
323,Art::N,სახეობა,вид
324,Stück::N,ნატეხი,ка́тыш
325,Stück::N,ნატეხი,ла́стык
326,Teil::N,წილი,ужа́ш
327,Hälfte::N,ნახევარი,пел
328,Hälfte::N,ნახევარი,пе́ле
329,Kreis::N,წრე,ты́ртыш
330,Kreuz::N,ჯვარი,ыре́с
331,Linie::N,ხაზი,ли́ний
332,Strich::N,შტრიხი,коре́ш
333,Abstand::N,მანძილი,кокла́
334,Entfernung::N,სიშორე,тора́
335,Entfernung::N,სიშორე,ку́жыт
336,Gegend::N,არე,кунде́м
337,Gegend::N,მხარე,кунде́м
338,Platz::N,ფართობი,ку́мдык
339,Ort::N,ადგილი,вер
340,Ort::N,ადგილი,о́лмо
341,Seite::N,მხარე,ӧ́рдыж
342,Mitte::N,შუა,покше́л
343,Gegenstand::N,საგანი,наста́
344,Sache::N,ნივთი,наста́
345,Rand::N,კიდე,тӱр
346,Kante::N,ნაწიბული,тӱр
347,Ecke::N,კუთხე,лук
348,Spitze::N,წვეტი,вуй
349,Ende::N,ბოლო,муча́ш
350,Loch::N,ხვრელი,рож
351,Winkel::N,კუთხე,лук
352,Muster::N,მოხატულობა,пеза́к
353,Muster::N,მოხატულობა,узо́р
354,Muster::N,მოხატულობა,ӱ́лгӧ
355,Größe::N,ზომა,кӱ́кшыт
356,Größe::N,სიდიდე,кӱ́кшыт
357,Länge::N,სიგრძე,ку́тыш
358,Höhe::N,სიმაღლე,кӱ́кшыт
359,Gewicht::N,წონა,не́лыт
360,Menge::N,რაოდენობა,чот
361,Haufen::N,გროვა,кы́шыл
362,Reihe::N,რიგი,рада́м
363,Reihe::N,წყება,рада́м
364,Boot::N,გემი,пуш
365,Ruder::N,ხოფი,эшка́к
366,Ruder::N,ნიჩაბი,эшка́к
367,Schlitten::N,მარხილი,тер
368,Schlitten::N,მარხილი,изде́р
369,Ski::N,თხილამური,е́че
370,Lagerfeuer::N,კოცონი,туло́то
371,Last::N,ტვირთი,нӧ́лтыш
372,Gang::N,სვლა,ошкылма́ш
373,Schritt::N,ბიჯი,о́шкыл
374,Norden::N,ჩრდილოეთი,йӱдйыма́л
375,Süden::N,სამხრეთი,кечывалве́л
376,Westen::N,დასავლეთი,касве́л
377,Osten::N,აღმოსავლეთი,эрве́л
378,Holz::N,ხე,пу
379,Brett::N,დაფა,оҥа́
380,Brett::N,ფიცარი,оҥа́
381,Platte::N,თლილი ქვა,аста́р
382,Stütze::N,საყრდენი,чара́к
383,Stange::N,ჭოკი,лома́ш
384,Stock::N,კეტი,тоя́
385,Stab::N,ლატანი,вара́
386,Stab::N,ლატანი,кашта́
387,Rohr::N,მილაკი,пуч
388,Haus::N,სახლი,пӧрт
389,Heim::N,ოჯახის კერა,мӧ́ҥгӧ
390,Ofen::N,ღუმელი,комака́
391,Fußboden::N,იატაკი,кӱва́р
392,Tisch::N,სუფრა,ӱсте́л
393,Tisch::N,მაგიდა,ӱсте́л
394,Stuhl::N,სკამი,пӱке́н
395,Wiege::N,აკვანი,шепка́
396,Bett::N,საწოლი,ва́кшыш
397,Bett::N,სარეცელი,ва́кшыш
398,Regal::N,თაროები,шӧ́рлык
399,Kiste::N,ყუთი,шо́ндык
400,Kiste::N,ყუთი,я́шлык
401,Kiste::N,სკივრი,шо́ндык
402,Kiste::N,სკივრი,я́шлык
403,Fenster::N,ფანჯარა,окна́
404,Fenster::N,სარკმელი,окна́
405,Tür::N,ბჭე,омса́
406,Tür::N,კარი,омса́
407,Tor::N,ჭიშკარი,капка́
408,Zaun::N,ღობე,сава́р
409,Zaun::N,გალავანი,сава́р
410,Dach::N,სახურავი,леве́дыш
411,Leiter::N,კიბე,тошка́лтыш
412,Besen::N,ცოცხი,ӱштерво́штыр
413,Spaten::N,ნიჩაბი,ко́льмо
414,Schaufel::N,ბარი,сово́к
415,Schaufel::N,ბარი,су́ско
416,Gabel::N,ჩანგალი,ви́лке
417,Löffel::N,კოვზი,па́не
418,Löffel::N,კოვზი,совла́
419,Messer::N,დანა,кӱ́зӧ
420,Nagel::N,ლურსმანი,пуда́
421,Netz::N,ბადე,вапш
422,Haken::N,კავი,са́гыле
423,Haken::N,კაუჭი,са́гыле
424,Griff::N,ტარი,кыл
425,Schloss::N,კლიტე,кӧгӧ́н
426,Schloss::N,საკეტი,кӧгӧ́н
427,Bild::N,სურათი,сӱре́т
428,Figur::N,ფიგურა,фигу́р
429,Puppe::N,თოჯინა,курча́к
430,Beutel::N,პარკი,меша́к
431,Bündel::N,გალა,арша́ш
432,Bündel::N,ასხმა,арша́ш
433,Tasche::N,ჩანთა,сумка́
434,Eimer::N,ჩამჩა,ведра́
435,Deckel::N,ხუფი,ко́мдыш
436,Deckel::N,სარქველი,ко́мдыш
437,Geschirr::N,ჭურჭელი,а́те
438,Sack::N,ტომარა,куль
439,Sack::N,ტომარა,меша́к
440,Tasse::N,ფინჯანი,чу́кыр
441,Tasse::N,ფინჯანი,чашка́
442,Topf::N,ქოთანი,ми́ске
443,Kessel::N,ქვაბი,под
444,Essen::N,ჭამა,ко́чкыш
445,Nahrung::N,საზრდო,ку́рго
446,Nahrung::N,საკვები,ку́рго
447,Speise::N,საჭმელი,ко́чкыш
448,Fleisch::N,ხორცი,шыл
449,Getreide::N,მარცვლოვანი,шу́рно
450,Brei::N,ფაფა,пу́чымыш
451,Brot::N,პური,ки́нде
452,Scheibe::N,ნაჭერი,ка́тыш
453,Fett::N,ქონი,коя́
454,Fett::N,ცხიმი,коя́
455,Butter::N,კარაქი,ӱй
456,Öl::N,ზეთი,ӱй
457,Salz::N,მარილი,шинча́л
458,Suppe::N,სუფი,шӱр
459,Honig::N,თაფლი,мӱй
460,Milch::N,რძე,шӧр
461,Tee::N,ჩაი,чай
462,Leder::N,ტყავი,сура́н
463,Leder::N,ტყავი,шӱ́штӧ
464,Wolle::N,მატყლი,пун
465,Stoff::N,ქსოვილი,куэ́м
466,Stoff::N,ქსოვილი,посто́
467,Nadel::N,ნემსი,и́ме
468,Faden::N,ძაფი,шӱ́ртӧ
469,Faden::N,მკედი,шӱ́ртӧ
470,Knopf::N,ღილი,по́лдыш
471,Knoten::N,ნასკვი,пышке́м
472,Farbe::N,საღებავი,чия́
473,Kleidung::N,ტანსაცმელი,чие́м
474,Kleidung::N,ტანსაცმელი,вурге́м
475,Hemd::N,ხალათი,ту́выр
476,Hemd::N,პერანგი,ту́выр
477,Kragen::N,საყელო,сога́
478,Ärmel::N,სახელო,шокш
479,Hose::N,შარვალი,йола́ш
480,Gürtel::N,ქამარი,ӱ́штӧ
481,Mütze::N,ქუდი,упш
482,Schuh::N,ფეხსაცმელი,боти́нке
483,Stiefel::N,ჩექმა,кем
484,Ring::N,ბეჭედი,шерга́ш
485,Band::N,ბაფთი,тасма́
486,Band::N,ბაფთი,ле́нте
487,Kamm::N,სავარცხელი,шерге́
488,Spiegel::N,სარკე,вошто́нчыш
489,Riemen::N,ღვედი,кӱзанӱ́штӧ
490,Schnur::N,ლარი,кере́м
491,Schnur::N,ლარი,кандыра́
492,Leine::N,ჯაჭვი,вӱра́ҥ
493,Decke::N,საბანი,леве́дыш
494,Decke::N,საბანი,одея́л
495,Kissen::N,ბალიში,кӱ́пчык
496,Tuch::N,მაუდი,шо́выч
497,Tuch::N,თავშალი,шо́выч
498,Handtuch::N,ხელსახოცი,со́лык
499,Kraft::N,ძალა,вий
500,Kraft::N,ძალა,куа́т
501,Stärke::N,ღონე,куа́т
502,Stärke::N,ღონე,карма́н
503,Gesundheit::N,ჯანმრთელობა,таза́лык
504,Krankheit::N,სენი,чер
505,Krankheit::N,ავადმყოფობა,чер
506,Schmerz::N,ტკივილი,ко́рштыш
507,Wunde::N,იარი,су́сыр
508,Wunde::N,ჭრილობა,су́сыр
509,Fieber::N,ციება,йӱштыму́ж
510,Fieber::N,ციება,лихора́дке
511,Arznei::N,წამალი,эм
512,Brücke::N,ხიდი,кӱва́р
513,Brunnen::N,ჭა,вӱдвыне́м
514,Weide::N,საძოვარი,нурше́р
515,Pfad::N,ბილიკი,йолго́рно
516,Pfad::N,ბილიკი,сокма́к
517,Weg::N,გზა,ко́рно
518,Straße::N,შარაგზა,ко́рно
519,Dorf::N,დაბა,ял
520,Dorf::N,სოფელი,ял
521,Stadt::N,ქალაქი,ола́
522,Brief::N,წერილი,се́рыш
523,Buch::N,წიგნი,книга́
524,Buchstabe::N,ასო,буква́
525,Zeitung::N,გაზეთი,газе́т
526,Leben::N,სიცოცხლე,и́лыш
527,Tod::N,სიკვდილი,колыма́ш
528,Grab::N,სამარე,шӱга́р
529,Grab::N,საფლავი,шӱга́р
530,Kirche::N,ეკლესია,че́рке
531,Sünde::N,ცოდვა,су́лык
532,Gott::N,ღმერთი,ю́мо
533,Arbeiter::N,მუშა,паша́зе
534,Chef::N,გამგე,тӧра́
535,Meister::N,ოსტატი,маста́р
536,Arzt::N,ექიმი,врач
537,Arzt::N,მკურნალი,врач
538,Lehrer::N,მასწავლებელი,ту́ныктышо
539,Geld::N,ფული,окса́
540,Geschäft::N,საქმე,сатулыма́ш
541,Geschäft::N,ბიზნესი,сатулыма́ш
542,Laden::N,დუქანი,ке́выт
543,Laden::N,მაღაზია,ке́выт
544,Preis::N,ფასი,ак
545,Ware::N,საქონელი,сату́
546,Nutzen::N,ხეირი,пайда́
547,Reichtum::N,სიმდიდრე,поя́нлык
548,Welt::N,მსოფლიო,тӱня́
549,Land::N,მხარე,эл
550,Land::N,ქვეყანა,эл
551,Staat::N,სახელმწიფო,кугыжа́ныш
552,König::N,მეფე,кугыжа́
553,Macht::N,ძლიერება,власть
554,Grenze::N,ზღვარი,грани́ца
555,Krieg::N,ომი,сар
556,Feind::N,მტერი,тушма́н
557,Gewalt::N,სისასტიკე,виешлыма́ш
558,Kampf::N,ბრძოლა,кредалма́ш
559,Bogen[Waffe]::N,მშვილდი,юҥе́ж
560,Pfeil::N,ისარი,пикш
561,Pfeil::N,მახვილი,пикш
562,Gewehr::N,თოფი,пыча́л
563,Gewehr::N,შაშხანა,пыча́л
564,Fehler::N,შეცდომა,йо́ҥылыш
565,Lüge::N,სიცრუე,шоя́к
566,Schaden::N,ვნება,зия́н
567,Unglück::N,ხიფათი,эҥге́к
568,Unglück::N,უბედურება,эҥге́к
569,Schuld::N,ბრალი,тита́к
570,Schuld::N,ბრალი,йола́
571,Alter::N,ასაკი,ийго́т
572,Schluss::N,ბოლო,муча́ш
573,Schluss::N,დასასრული,муча́ш
574,Zeit::N,დრო,жап
575,Zeit::N,დრო,па́гыт
576,Tag::N,დღე,ке́че
577,Morgen::N,დილა,эр
578,Mittag::N,შუადღე,кечыва́л
579,Abend::N,საღამო,кас
580,Nacht::N,ღამე,йӱд
581,Woche::N,კვირა,арня́
582,Monat::N,თვე,ты́лзе
583,Jahr::N,წელი,ий
584,Frühling::N,გაზაფხული,шо́шо
585,Sommer::N,ზაფხული,кеҥе́ж
586,Herbst::N,შემოდგომა,шы́же
587,Winter::N,ზამთარი,те́ле
588,Januar::N,იანვარი,шоркыйол
589,Januar::N,იანვარი,идалыкву́й
590,Januar::N,იანვარი,янва́рь
591,Februar::N,თებერვალი,пургыж
592,Februar::N,თებერვალი,февра́ль
593,März::N,მარტი,ӱярня
594,März::N,მარტი,март
595,April::N,აპრილი,апре́ль
596,Mai::N,მაისი,ага
597,Mai::N,მაისი,май
598,Juni::N,ივნისი,пеледыш
599,Juni::N,ივნისი,ию́нь
600,Juli::N,ივლისი,сӱрем
601,Juli::N,ივლისი,ию́ль
602,August::N,აგვისტო,сорла
603,August::N,აგვისტო,агарма́н
604,August::N,აგვისტო,а́вгуст
605,September::N,სექტემბერი,идым
606,September::N,სექტემბერი,сентя́брь
607,Oktober::N,ოქტომბერი,шыжа
608,Oktober::N,ოქტომბერი,октя́брь
609,November::N,ნოემბერი,кылме тылзе
610,November::N,ნოემბერი,ноя́брь
611,Dezember::N,დეკემბერი,дека́брь
612,Montag::N,ორშაბათი,шо́чмо
613,Dienstag::N,სამშაბათი,ку́шкыжмо
614,Mittwoch::N,ოთხშაბათი,вӱрге́че
615,Donnerstag::N,ხუთშაბათი,изарня́
616,Freitag::N,პარასკევი,кугарня́
617,Samstag::N,შაბათი,шуматке́че
618,Sonntag::N,კვირა,рушарня́
619,groß::A,დიდი,кугу́
620,klein::A,მცირე,изи́
621,klein::A,პატარა,изи́
622,lang::A,გრძელი,кужу́
623,kurz::A,მოკლე,кӱ́чык
624,breit::A,ფართო,кумда́
625,breit::A,განიერი,кумда́
626,schmal::A,ვიწრო,а́ҥысыр
627,schmal::A,წვრილი,а́ҥысыр
628,dicht::A,მჭიდრო,ну́гыдо
629,dick[Gegenstand]::A,სქელი,кӱ́жгӧ
630,dünn::A,წვრილი,ви́чкыж
631,fein::A,თხელი,ты́гыде
632,fest::A,მყარი,чо́ткыдо
633,flach::A,ბრტყელი,лапка́
634,glatt::A,გლუ,яклака́
635,hart::A,მაგარი,пе́ҥгыде
636,weich::A,რბილი,пу́шкыдо
637,rund::A,მრგვალი,йырге́шке
638,spitz::A,წვეტიანი,коша́р
639,scharf::A,მჭრელი,пӱ́сӧ
640,stumpf::A,ბლაგვი,токма́к
641,schwer::A,მძიმე,не́ле
642,schön::A,ლამაზი,сы́лне
643,heiß::A,ცხელი,шо́кшо
644,warm::A,თბილი,ле́ве
645,kalt::A,ცივი,йӱ́штӧ
646,kühl::A,გრილი,юа́лге
647,kühl::A,გრილი,южгата́
648,frisch::A,სუფთა,свежа́
649,feucht::A,ნოტიო,вӱ́дыжгӧ
650,nass::A,სველი,нӧ́рӧ
651,trocken::A,მშრალი,ку́кшо
652,voll::A,სავსე,тич
653,leer::A,ცარიელი,яра́
654,offen::A,ღია,виш
655,offen::A,გაშლილი,виш
656,geschlossen::A,დახურული,пе́тырыме
657,geschlossen::A,დახურული,тӱ́чмӧ
658,sauber::A,სუფთა,ару́
659,sauber::A,სუფთა,янда́р
660,sauber::A,წმინდა,ару́
661,sauber::A,წმინდა,янда́р
662,schmutzig::A,ტალახიანი,лавыра́н
663,schmutzig::A,ტალახიანი,ла́выргыше
664,roh::A,უმი,кӱ́чымӧ
665,reif::A,მწიფე,лӧза́
666,lecker::A,გემრიელი,ту́тло
667,süß::A,ტკბილი,ше́ре
