,Concept_ID,hr,he
478,Tee::N,čaj,תה
479,Leder::N,koža,עור
480,Wolle::N,vuna,צמר
481,Stoff::N,štof,בד
482,Stoff::N,štof,אריג
483,Stoff::N,tkanina,בד
484,Stoff::N,tkanina,אריג
485,Nadel::N,igla,מחט
486,Faden::N,nit,חוט
487,Faden::N,konac,חוט
488,Knopf::N,dugme,כפתור
489,Knoten::N,čvor,קשר
490,Knoten::N,uzao,קשר
491,Farbe::N,farba,צבע
492,Kleidung::N,odjeća,בגדים
493,Hemd::N,košulja,חלצה
494,Kragen::N,ovratnik,צוארון
495,Ärmel::N,rukav,שרוול
496,Hose::N,hlače,מכנסים
497,Gürtel::N,pas,חגורה
498,Gürtel::N,pojas,חגורה
499,Mütze::N,kapa,כובע
500,Schuh::N,cipela,נעל
501,Stiefel::N,čizma,מגף
502,Ring::N,prsten,טבעת
503,Band::N,vrpca,סרט
504,Kamm::N,češalj,מסרק
505,Spiegel::N,zrcalo,מראה
506,Spiegel::N,ogledalo,מראה
507,Riemen::N,kaiš,רצועה
508,Riemen::N,remen,רצועה
509,Schnur::N,vrpca,חבל
510,Leine::N,uzica,מושכות
511,Decke::N,ćebe,שמיכה
512,Decke::N,pokrivač,שמיכה
513,Kissen::N,jastuk,כרית
514,Tuch::N,rubac,צעיף
515,Tuch::N,marama,צעיף
516,Handtuch::N,ručnik,מגבת
517,Kraft::N,snaga,כוח
518,Stärke::N,jakost,און
519,Gesundheit::N,zdravlje,בריאות
520,Krankheit::N,bolest,מחלה
521,Schmerz::N,bol,כאב
522,Wunde::N,rana,פציעה
523,Fieber::N,groznica,חם
524,Arznei::N,lijek,תרופה
525,Brücke::N,most,גשר
526,Brücke::N,ćuprija,גשר
527,Brunnen::N,bunar,באר
528,Brunnen::N,zdenac,באר
529,Weide::N,paša,אחו
530,Weide::N,paša,מרעה
531,Weide::N,pašnjak,אחו
532,Weide::N,pašnjak,מרעה
533,Pfad::N,staza,שביל
534,Pfad::N,staza,מדרכה
535,Weg::N,put,דרך
536,Straße::N,drum,כביש
537,Straße::N,cesta,כביש
538,Dorf::N,selo,כפר
539,Stadt::N,grad,עיר
540,Stadt::N,varoš,עיר
541,Brief::N,list,מכתב
542,Brief::N,pismo,מכתב
543,Buch::N,knjiga,ספר
544,Buchstabe::N,slovo,אות
545,Zeitung::N,novine,עתון
546,Leben::N,život,חיים
547,Tod::N,smrt,מות
548,Grab::N,raka,קבר
549,Kirche::N,crkva,כנסיה
550,Sünde::N,grijeh,חטא
551,Gott::N,bog,אל
552,Arbeiter::N,radnik,פועל
553,Chef::N,šef,ראש
554,Chef::N,šef,מנהל
555,Meister::N,majstor,ממחה
556,Arzt::N,liječnik,רופא
557,Lehrer::N,učitelj,מורה
558,Geld::N,novac,כסף
559,Geschäft::N,posao,עסקה
560,Geschäft::N,trgovina,עסקה
561,Laden::N,dućan,חנות
562,Preis::N,cijena,מחיר
563,Ware::N,roba,סחורה
564,Nutzen::N,korist,תועלת
565,Reichtum::N,bogatstvo,עשר
566,Welt::N,svijet,עולם
567,Land::N,zemlja,ארץ
568,Staat::N,država,מדינה
569,König::N,kralj,מלך
570,Macht::N,moć,כוח
571,Macht::N,vlast,כוח
572,Grenze::N,granica,גבול
573,Krieg::N,rat,מלחמה
574,Feind::N,neprijatelj,אויב
575,Gewalt::N,sila,אלימות
576,Gewalt::N,nasilje,אלימות
577,Kampf::N,boj,קרב
578,Kampf::N,boj,לחימה
579,Kampf::N,borba,קרב
580,Kampf::N,borba,לחימה
581,Bogen[Waffe]::N,luk,קשת
582,Pfeil::N,strijela,חץ
583,Gewehr::N,puška,רובה
584,Fehler::N,pogreška,טעות
585,Fehler::N,griješka,טעות
586,Lüge::N,laž,שקר
587,Schaden::N,šteta,נזק
588,Unglück::N,nesreća,מזל רע
589,Schuld::N,krivnja,אשמה
590,Alter::N,dob,גיל
591,Schluss::N,kraj,סיום
592,Schluss::N,konac,סיום
593,Zeit::N,doba,זמן
594,Zeit::N,vrijeme,זמן
595,Tag::N,dan,יום
596,Morgen::N,jutro,בקר
597,Mittag::N,podne,צהרים
598,Abend::N,veče,ערב
599,Abend::N,večer,ערב
600,Nacht::N,noć,לילה
601,Woche::N,sedmica,שבוע
602,Monat::N,mjesec,חדש
603,Jahr::N,godina,שנה
604,Frühling::N,proljeće,אביב
605,Sommer::N,ljeto,קיץ
606,Herbst::N,jesen,סתו
607,Winter::N,zima,חרף
608,Januar::N,januar,ינואר
609,Januar::N,siječanj,ינואר
610,Februar::N,veljača,פברואר
611,Februar::N,februar,פברואר
612,März::N,mart,מרץ
613,März::N,ožujak,מרץ
614,April::N,april,אפריל
615,April::N,travanj,אפריל
616,Mai::N,maj,מאי
617,Mai::N,svibanj,מאי
618,Juni::N,juni,יוני
619,Juni::N,lipanj,יוני
620,Juli::N,juli,יולי
621,Juli::N,srpanj,יולי
622,August::N,august,אוגוסט
623,August::N,kolovoz,אוגוסט
624,September::N,rujan,ספטמבר
625,September::N,septembar,ספטמבר
626,Oktober::N,oktobar,אוקטובר
627,Oktober::N,listopad,אוקטובר
628,November::N,studeni,נובמבר
629,November::N,novembar,נובמבר
630,Dezember::N,prosinac,דצמבר
631,Montag::N,ponedjeljak,יום שני
632,Montag::N,ponedjeljnik,יום שני
633,Dienstag::N,utorak,יום שלישי
634,Dienstag::N,utornik,יום שלישי
635,Mittwoch::N,srijeda,יום רביעי
636,Donnerstag::N,četvrtak,יום חמישי
637,Freitag::N,petak,יום ששי
638,Samstag::N,subota,יום שבת
639,Sonntag::N,nedjelja,יום ראשון
640,groß::A,velik,גדול
641,klein::A,mali,קטן
642,klein::A,malen,קטן
643,lang::A,dug,ארך
644,lang::A,dugačak,ארך
645,kurz::A,kratak,קצר
646,breit::A,širok,רחב
647,schmal::A,uski,צר
648,schmal::A,uzak,צר
649,dicht::A,gust,צפוף
650,dick[Gegenstand]::A,debeo,עבה
651,dünn::A,tanak,דק
652,fein::A,fin,מעדן
653,fein::A,tanak,מעדן
654,fest::A,čvrst,מוצק
655,flach::A,ravan,שטוח
656,flach::A,plosnat,שטוח
657,glatt::A,gladak,חלק
658,hart::A,tvrd,קשיח
659,weich::A,mek,רך
660,weich::A,mekan,רך
661,rund::A,okrugao,עגל
662,spitz::A,oštar,חד
663,spitz::A,šiljast,חד
664,scharf::A,oštar,חד
665,scharf::A,bridak,חד
666,stumpf::A,tup,קהה
667,schwer::A,težak,כבד
668,schön::A,krasan,יפה
669,heiß::A,vruć,חם
670,warm::A,topao,חם
671,kalt::A,hladan,קר
672,kühl::A,hladan,צונן
673,frisch::A,svjež,טרי
674,feucht::A,vlažan,לח
675,nass::A,mokar,רטוב
676,trocken::A,suh,יבש
677,voll::A,pun,מלא
678,leer::A,prazan,ריק
679,offen::A,otvoren,פתוח
680,geschlossen::A,zatvoren,סגור
681,sauber::A,čist,נקי
682,schmutzig::A,nečist,מלכלך
683,schmutzig::A,blatan,מלכלך
684,roh::A,sirov,חי
685,reif::A,zreo,בשל
686,lecker::A,tečan,טעים
687,lecker::A,ukusan,טעים
688,süß::A,sladak,מתוק
689,bitter::A,gorak,מר
690,sauer::A,kiseo,חמוץ
691,hell::A,vedar,בהיר
692,hell::A,svijetao,בהיר
693,dunkel::A,taman,עמום
694,schwarz::A,crn,שחר
695,weiß::A,bio,לבן
696,weiß::A,bijel,לבן
697,rot::A,crven,אדם
698,gelb::A,žut,צהב
699,blau::A,plav,כחל
700,blau::A,modar,כחל
701,grün::A,zelen,ירק
702,grau::A,siv,אפר
703,bunt::A,šaren,צבעוני
704,billig::A,jeftin,זול
705,teuer::A,skup,יקר
706,wertvoll::A,vrijedan,יקר ערך
707,wertvoll::A,dragocjen,יקר ערך
708,blind::A,slijep,עור
709,taub::A,gluh,חרש
710,kräftig::A,snažan,חסן
711,stark::A,jak,חזק
712,stark::A,snažan,חזק
713,schwach::A,slab,חלש
714,fett::A,pretio,שמן
715,schlank::A,vitak,רזה
716,hübsch::A,zgodan,יפה תאר
717,böse::A,zao,רשע
718,böse::A,opak,רשע
719,dumm::A,glup,טפש
720,faul::A,lijen,עצלן
721,fleißig::A,radin,חרוץ
722,fleißig::A,marljiv,חרוץ
723,geizig::A,škrt,קמצן
724,klug::A,razborit,נבון
725,klug::A,razborit,פקח
726,geschickt::A,vješt,מימן
727,lieb::A,drag,יקר
728,lieb::A,drag,אהוב
729,lustig::A,veseo,עליז
730,sanft::A,blag,עדין
731,hungrig::A,gladan,רעב
732,krank::A,bolestan,חולה
733,nackt::A,nag,ערום
734,traurig::A,tužan,עצוב
735,traurig::A,žalostan,עצוב
736,lebendig::A,živ,חי
737,gut::A,dobar,טוב
738,schlecht::A,loš,גרוע
739,schlecht::A,rđav,גרוע
740,richtig::A,tačan,נכון
741,richtig::A,ispravan,נכון
742,schlimm::A,zao,רע
743,schlimm::A,zločest,רע
744,wahr::A,istinit,אמתי
745,alt::A,star,ישן
746,neu::A,nov,חדש
747,ehemalig::A,bivši,לשעבר
748,alt[Lebewesen]::A,star,זקן
749,jung::A,mlad,צעיר
750,arm::A,ubog,עני
751,arm::A,siromašan,עני
752,reich::A,bogat,עשיר
753,bekannt::A,poznat,ידוע
754,berühmt::A,čuven,מפרסם
755,berühmt::A,slavan,מפרסם
756,fremd::A,tuđ,זר
757,fremd::A,stran,זר
758,verschieden::A,razan,שונה
759,verschieden::A,različan,שונה
760,nah::A,blizak,קרוב
761,fern::A,dalek,רחוק
762,fern::A,daljnji,רחוק
763,linker::A,lijevi,שמאלי
764,rechter::A,desni,ימין
765,anderer::A,drugi,אחר
766,anderer::A,drugačiji,אחר
767,erster::A,prvi,ראשון
768,zweiter::A,drugi,שני
769,dritter::A,treći,שלישי
770,letzter::A,zadnji,אחרון
771,allein::ADV,sam,לבד
772,auf einmal::ADV,istodobno,בו-זמנית
773,zusammen::ADV,skupa,ביחד
774,zusammen::ADV,zajedno,ביחד
775,lange::ADV,dugo,הרבה זמן
776,plötzlich::ADV,naglo,לפתע
777,plötzlich::ADV,naglo,פתאום
778,plötzlich::ADV,iznenada,לפתע
779,plötzlich::ADV,iznenada,פתאום
780,sofort::ADV,odmah,מיד
781,später::ADV,kasnije,לאחר זמן
782,später::ADV,kasnije,יותר מאחר
783,jetzt::ADV,sad,עכשיו
784,jetzt::ADV,sada,עכשיו
785,heute::ADV,danas,היום
786,morgen::ADV,sutra,מחר
787,bald::ADV,skoro,בקרוב
788,bald::ADV,doskora,בקרוב
789,dann::ADV,zatim,אחר-כך
790,gestern::ADV,juče,אתמול
791,gestern::ADV,jučer,אתמול
792,einst::ADV,negda,לפנים
793,einst::ADV,nekada,לפנים
794,damals::ADV,tada,אז
795,damals::ADV,onda,אז
796,danach::ADV,poslije,אחר-כך
797,danach::ADV,nakon toga,אחר-כך
798,vorher::ADV,prije,לפני זה
799,vorher::ADV,prije toga,לפני זה
800,zuerst::ADV,prvo,קדם
801,zuerst::ADV,najprije,קדם
802,einmal::ADV,jednom,פעם
803,einmal::ADV,jedanput,פעם
804,manchmal::ADV,katkad,לפעמים
805,manchmal::ADV,katkada,לפעמים
806,oft::ADV,često,לעתים קרובות
807,immer::ADV,vazda,תמיד
808,immer::ADV,uvijek,תמיד
809,niemals::ADV,nikad,אף פעם
810,niemals::ADV,nikada,אף פעם
811,hier::ADV,tu,כאן
812,hier::ADV,ovdje,כאן
813,hierhin::ADV,amo,פה
814,hierhin::ADV,ovamo,פה
815,von hier::ADV,odavde,מפה
816,dort::ADV,ondje,שם
817,dorthin::ADV,onamo,שם
818,geradeaus::ADV,ravno,ישר
819,vorwärts::ADV,naprijed,קדימה
