,Concept_ID,da,fi
120,Gipfel::N,top,laki
121,Gipfel::N,top,huippu
122,Höhle::N,hule,luola
123,Abhang::N,skrænt,rinne
124,Abhang::N,skråning,rinne
125,Quelle::N,kilde,lähde
126,Bach::N,bæk,puro
127,Fluss::N,flod,joki
128,Ufer::N,bred,ranta
129,Küste::N,kyst,rannikko
130,Festland::N,fastland,manner
131,Meer::N,hav,meri
132,Bucht::N,bugt,lahti
133,Insel::N,ø,saari
134,Blume::N,blomst,kukka
135,Gras::N,græs,ruoho
136,Wurzel::N,rod,juuri
137,Baum::N,træ,puu
138,Stamm::N,stamme,runko
139,Rinde::N,bark,kuori
140,Rinde::N,bark,parkki
141,Ast::N,gren,oksa
142,Zweig::N,kvist,haara
143,Blatt::N,blad,lehti
144,Birke::N,birk,koivu
145,Kiefer[Baum]::N,fyrretræ,mänty
146,Kiefer[Baum]::N,fyrretræ,petäjä
147,Weide[Baum]::N,piletræ,paju
148,Tanne::N,gran,kuusi
149,Horn::N,horn,sarvi
150,Feder::N,fjer,sulka
151,Feder::N,fjer,höyhen
152,Fell::N,skind,talja
153,Flügel::N,vinge,siipi
154,Klaue::N,klov,kynsi
155,Kralle::N,klo,kynsi
156,Schwanz::N,hale,häntä
157,Schwanz::N,hale,pyrstö
158,Ei::N,æg,muna
159,Nest::N,rede,pesä
160,Bau::N,bo,pesä
161,Tier::N,dyr,eläin
162,Herde::N,flok,lauma
163,Kuh::N,ko,lehmä
164,Bulle::N,tyr,sonni
165,Pferd::N,hest,hevonen
166,Schaf::N,får,lammas
167,Schwein::N,gris,sika
168,Hund::N,hund,koira
169,Katze::N,kat,kissa
170,Bär::N,bjørn,karhu
171,Eichhörnchen::N,egern,orava
172,Elch::N,elg,hirvi
173,Fuchs::N,ræv,kettu
174,Hase::N,hare,jänis
175,Maus::N,mus,hiiri
176,Wolf::N,ulv,susi
177,Vogel::N,fugl,lintu
178,Schwarm::N,sværm,parvi
179,Huhn::N,høne,kana
180,Hahn::N,hane,kukko
181,Gans::N,gås,hanhi
182,Adler::N,ørn,kotka
183,Ente::N,and,ankka
184,Eule::N,ugle,pöllö
185,Kranich::N,trane,kurki
186,Krähe::N,krage,varis
187,Kuckuck::N,gøg,käki
188,Schwan::N,svane,joutsen
189,Fisch::N,fisk,kala
190,Barsch::N,aborre,ahven
191,Hecht::N,gedde,hauki
192,Schlange[Tier]::N,slange,käärme
193,Wurm::N,orm,mato
194,Spinne::N,edderkop,hämähäkki
195,Ameise::N,myre,muurahainen
196,Laus::N,lus,täi
197,Mücke::N,myg,sääski
198,Mücke::N,myg,hyttynen
199,Fliege::N,flue,kärpänen
200,Schmetterling::N,sommerfugl,perhonen
201,Beere::N,bær,marja
202,Apfel::N,æble,omena
203,Pilz::N,svamp,sieni
204,Zwiebel::N,løg,sipuli
205,Saat::N,sæd,siemenet
206,Korn::N,korn,jyvä
207,Korn::N,korn,vilja
208,Heu::N,hø,heinä
209,Schale::N,skræl,kuori
210,Grube::N,grav,kuoppa
211,Falle::N,fælde,loukku
212,Schlinge::N,snare,ansa
213,Spur::N,spor,jälki
214,Asche::N,aske,tuhka
215,Dreck::N,snavs,lika
216,Eisen::N,jern,rauta
217,Gold::N,guld,kulta
218,Silber::N,sølv,hopea
219,Kohle::N,kul,hiili
220,Glas::N,glas,lasi
221,Lehm::N,ler,savi
222,Sand::N,sand,hiekka
223,Mensch::N,mennesge,ihminen
224,Mann::N,mand,mies
225,Frau::N,kvinde,nainen
226,Kind::N,barn,lapsi
227,Junge::N,dreng,poika
228,Mädchen::N,pige,tyttö
229,Familie::N,familie,perhe
230,Großvater::N,bedstefar,isoisä
231,Großmutter::N,bedstemor,isoäiti
232,Eltern::N,forældre,vanhemmat
233,Vater::N,far,isä
234,Mutter::N,mor,äiti
235,Sohn::N,søn,poika
236,Tochter::N,datter,tytär
237,Bruder::N,bror,veli
238,Schwester::N,søster,sisko
239,Onkel::N,onkel,eno
240,Onkel::N,onkel,setä
241,Tante::N,tante,täti
242,Ehemann::N,ægtemand,mies
243,Ehemann::N,ægtemand,aviomies
244,Ehefrau::N,hustru,vaimo
245,Ehefrau::N,hustru,aviovaimo
246,Freude::N,glæde,ilo
247,Freude::N,glæde,riemu
248,Gelächter::N,latter,nauru
249,Glück::N,lykke,onni
250,Kummer::N,sorg,suru
251,Kummer::N,sorg,murhe
252,Wunsch::N,ønske,toive
253,Wunsch::N,ønske,toivomus
254,Lust::N,lyst,himo
255,Geist::N,ånd,henki
256,Gedanke::N,tanke,aate
257,Gedanke::N,tanke,ajatus
258,Gedächtnis::N,hukommelse,muisti
259,Verstand::N,forstand,äly
260,Verstand::N,forstand,järki
261,Verstand::N,forstand,ymmärrys
262,Sinn::N,mening,merkitys
263,Sinn::N,betydning,merkitys
264,Grund::N,grund,syy
265,Grund::N,grund,peruste
266,Wahrheit::N,sandhed,tosi
267,Wahrheit::N,sandhed,totuus
268,Gespräch::N,samtale,puhelu
269,Gespräch::N,samtale,keskustelu
270,Märchen::N,eventyr,satu
271,Erzählung::N,fortælling,tarina
272,Erzählung::N,fortælling,kertomus
273,Nachricht::N,efterretning,tieto
274,Nachricht::N,efterretning,ilmoitus
275,Neuigkeit::N,nyhed,uutinen
276,Name::N,navn,nimi
277,Rätsel::N,gåde,arvoitus
278,Rede::N,tale,puhe
279,Sprache::N,sprog,kieli
280,Stimme::N,stemme,ääni
281,Wort::N,ord,sana
282,Zeichen::N,tegn,merkki
283,Ruf::N,råb,kutsu
284,Lärm::N,larm,melu
285,Lärm::N,larm,hälinä
286,Laut::N,lyd,ääni
287,Ton::N,tone,sävel
288,Lied::N,sang,laulu
289,Ruhe::N,ro,lepo
290,Ruhe::N,ro,rauha
291,Ruhe::N,hvile,lepo
292,Ruhe::N,hvile,rauha
293,Leute::N,folk,väki
294,Leute::N,folk,ihmiset
295,Leute::N,mennesker,väki
296,Leute::N,mennesker,ihmiset
297,Volk::N,folk,kansa
298,Arbeit::N,arbejde,työ
299,Gast::N,gæst,vieras
300,Geschenk::N,gave,lahja
301,Spiel::N,leg,peli
302,Spiel::N,leg,leikki
303,Gesellschaft::N,selskab,seura
304,Hilfe::N,hjælp,apu
305,Freund::N,ven,ystävä
306,Kamerad::N,kammerat,toveri
307,Angelegenheit::N,sag,asia
308,Angelegenheit::N,anliggende,asia
309,Anzahl::N,antal,lukumäärä
310,Art::N,art,laji
311,Stück::N,stykke,pala
312,Stück::N,stykke,kappale
313,Teil::N,del,osa
314,Hälfte::N,halvdel,puoli
315,Kreis::N,cirkel,ympyrä
316,Kreuz::N,kors,risti
317,Kreuz::N,kryds,risti
318,Linie::N,linie,viiva
319,Strich::N,streg,piirto
320,Abstand::N,afstand,väli
321,Abstand::N,afstand,väljyys
322,Entfernung::N,afstand,etäisyys
323,Gegend::N,egn,seutu
324,Platz::N,plads,tila
325,Ort::N,sted,kohta
326,Ort::N,sted,paikka
327,Seite::N,side,sivu
328,Seite::N,side,kylki
329,Mitte::N,midte,keskus
330,Mitte::N,midte,puoliväli
331,Gegenstand::N,genstand,kalu
332,Gegenstand::N,genstand,esine
333,Sache::N,sag,asia
334,Rand::N,rand,ääri
335,Rand::N,rand,syrjä
336,Kante::N,kant,särmä
337,Ecke::N,hjørne,nurkka
338,Spitze::N,spids,terä
339,Spitze::N,spids,kärki
340,Ende::N,ende,pää
341,Ende::N,ende,perä
342,Loch::N,hul,kolo
343,Loch::N,hul,reikä
344,Winkel::N,vinkel,kulma
345,Muster::N,mønster,kuvio
346,Größe::N,størrelse,koko
347,Größe::N,størrelse,suuruus
348,Länge::N,længde,pituus
349,Höhe::N,højde,korkeus
350,Gewicht::N,vægt,paino
351,Menge::N,mængde,määrä
352,Haufen::N,bunke,kasa
353,Reihe::N,række,rivi
354,Boot::N,båd,vene
355,Ruder::N,åre,airo
356,Schlitten::N,kælk,reki
357,Schlitten::N,kælk,kelkka
358,Schlitten::N,slæde,reki
359,Schlitten::N,slæde,kelkka
360,Ski::N,ski,suksi
361,Lagerfeuer::N,lejrbål,nuotio
362,Last::N,last,kuorma
363,Last::N,byrde,kuorma
364,Gang::N,gang,kulku
365,Gang::N,gang,käynti
366,Schritt::N,skridt,askel
367,Norden::N,nord,pohjoinen
368,Süden::N,syd,etelä
369,Westen::N,vest,länsi
370,Osten::N,øst,itä
371,Holz::N,træ,puu
372,Brett::N,bræt,lauta
373,Platte::N,plade,levy
374,Stütze::N,støtte,noja
375,Stange::N,stang,tanko
376,Stock::N,stok,keppi
377,Stab::N,stav,sauva
378,Stab::N,stav,seiväs
379,Rohr::N,rør,putki
380,Haus::N,hus,talo
381,Heim::N,hjem,koti
382,Ofen::N,ovn,uuni
383,Fußboden::N,gulv,lattia
384,Tisch::N,bord,pöytä
385,Stuhl::N,stol,tuoli
386,Wiege::N,vugge,kehto
387,Bett::N,seng,sänky
388,Regal::N,reol,hylly
389,Kiste::N,kasse,arkku
390,Kiste::N,kasse,kirstu
391,Kiste::N,kasse,laatikko
392,Fenster::N,vindue,ikkuna
393,Tür::N,dør,ovi
394,Tor::N,port,portti
395,Zaun::N,stakit,aita
396,Dach::N,tag,katto
397,Leiter::N,stige,tikkaat
398,Leiter::N,stige,tikapuut
399,Besen::N,kost,luuta
400,Spaten::N,spade,lapio
401,Schaufel::N,skovl,lapio
402,Gabel::N,gaffel,haarukka
403,Löffel::N,ske,lusikka
404,Messer::N,kniv,veitsi
405,Nagel::N,søm,naula
406,Netz::N,net,verkko
407,Haken::N,krog,haka
408,Haken::N,krog,koukku
409,Griff::N,tag,ripa
410,Griff::N,tag,kahva
411,Griff::N,håndtag,ripa
412,Griff::N,håndtag,kahva
413,Schloss::N,lås,lukko
414,Bild::N,billede,kuva
415,Figur::N,figur,kuvio
416,Puppe::N,dukke,nukke
417,Beutel::N,pose,pussi
418,Bündel::N,bylt,nippu
419,Bündel::N,bylt,kimppu
420,Bündel::N,bundt,nippu
421,Bündel::N,bundt,kimppu
422,Tasche::N,taske,laukku
423,Eimer::N,spand,sanko
424,Eimer::N,spand,ämpäri
425,Deckel::N,låg,kansi
426,Geschirr::N,husgeråd,astia
427,Sack::N,sæk,säkki
428,Tasse::N,kop,kuppi
429,Topf::N,gryde,pata
430,Kessel::N,kedel,kattila
431,Essen::N,måltid,syönti
432,Nahrung::N,mad,ruoka
433,Nahrung::N,mad,ravinto
434,Nahrung::N,næring,ruoka
435,Nahrung::N,næring,ravinto
436,Speise::N,ret,ruoka
437,Fleisch::N,kød,liha
438,Getreide::N,korn,vilja
439,Brei::N,grød,puuro
440,Brot::N,brød,leipä
441,Scheibe::N,skive,viipale
442,Fett::N,fedt,rasva
443,Butter::N,smør,voi
444,Öl::N,olie,öljy
445,Salz::N,salt,suola
446,Suppe::N,suppe,keitto
447,Honig::N,honning,hunaja
448,Milch::N,mælk,maito
449,Tee::N,te,tee
450,Leder::N,skind,nahka
451,Wolle::N,uld,villa
452,Stoff::N,stof,kangas
453,Nadel::N,nål,neula
454,Faden::N,tråd,lanka
455,Knopf::N,knap,nappi
456,Knoten::N,knude,solmu
457,Farbe::N,farve,maali
458,Kleidung::N,påklædning,vaatteet
459,Hemd::N,skjorte,paita
460,Kragen::N,krave,kaulus
461,Ärmel::N,ærme,hiha
462,Hose::N,bukser,housut
463,Gürtel::N,bælte,vyö
464,Mütze::N,hue,lakki
465,Schuh::N,sko,kenkä
466,Stiefel::N,støvle,saapas
467,Ring::N,ring,sormus
468,Band::N,bånd,nauha
469,Kamm::N,kam,kampa
470,Spiegel::N,spejl,peili
471,Riemen::N,rem,hihna
472,Schnur::N,snor,naru
473,Schnur::N,snor,nuora
474,Leine::N,snor,talutushihna
475,Decke::N,tæppe,peite
476,Kissen::N,pude,tyyny
477,Kissen::N,pude,pielus
478,Tuch::N,sjaltørklæde,huivi
479,Handtuch::N,håndklæde,pyyheliina
480,Kraft::N,kraft,väki
481,Kraft::N,kraft,voima
482,Stärke::N,styrke,vahvuus
483,Gesundheit::N,sundhed,terveys
484,Krankheit::N,sygdom,tauti
485,Krankheit::N,sygdom,sairaus
486,Schmerz::N,smerte,kipu
487,Schmerz::N,smerte,särky
488,Wunde::N,sår,haava
489,Fieber::N,feber,kuume
490,Arznei::N,medicin,lääke
491,Arznei::N,lægemiddel,lääke
492,Brücke::N,bro,silta
493,Brunnen::N,brønd,kaivo
494,Weide::N,græsgang,laidun
495,Pfad::N,sti,polku
496,Weg::N,vej,tie
497,Straße::N,gade,katu
498,Dorf::N,landsby,kylä
499,Stadt::N,by,kaupunki
500,Brief::N,brev,kirje
501,Buch::N,bog,kirja
502,Buchstabe::N,bogstav,kirjain
503,Zeitung::N,avis,lehti
504,Zeitung::N,avis,sanomalehti
505,Leben::N,liv,elo
506,Leben::N,liv,elämä
507,Tod::N,død,kuolema
508,Grab::N,grav,hauta
509,Kirche::N,kirke,kirkko
510,Sünde::N,synd,synti
511,Gott::N,gud,jumala
512,Arbeiter::N,arbejder,työläinen
513,Chef::N,chef,päällikkö
514,Meister::N,mester,mestari
515,Arzt::N,læge,lääkäri
516,Lehrer::N,lærer,opettaja
517,Geld::N,penge,raha
518,Geschäft::N,forretning,liike
519,Laden::N,butik,puoti
520,Laden::N,butik,kauppa
521,Laden::N,forretning,puoti
522,Laden::N,forretning,kauppa
523,Preis::N,pris,hinta
524,Ware::N,vare,tavara
525,Nutzen::N,nytte,hyöty
526,Reichtum::N,rigdom,rikkaus
527,Welt::N,verden,maailma
528,Land::N,land,maa
529,Staat::N,stat,valtio
530,König::N,konge,kuningas
531,Macht::N,magt,mahti
532,Grenze::N,grænse,raja
533,Krieg::N,krig,sota
534,Feind::N,fjende,vihollinen
535,Gewalt::N,vold,väkivalta
536,Kampf::N,kamp,taistelu
537,Bogen[Waffe]::N,bue,jousi
538,Pfeil::N,pil,nuoli
539,Gewehr::N,gevær,kivääri
540,Fehler::N,fejl,vika
541,Fehler::N,fejl,virhe
542,Lüge::N,løgn,valhe
543,Schaden::N,skade,vaurio
544,Schaden::N,skade,vahinko
545,Unglück::N,uheld,vahinko
546,Unglück::N,uheld,onnettomuus
547,Unglück::N,ulykke,vahinko
548,Unglück::N,ulykke,onnettomuus
549,Schuld::N,skyld,syy
550,Alter::N,alder,ikä
551,Schluss::N,slut,loppu
552,Schluss::N,slutning,loppu
553,Zeit::N,tid,aika
554,Tag::N,dag,päivä
555,Morgen::N,morgen,aamu
556,Morgen::N,morgen,huomen
557,Mittag::N,middag,keskipäivä
558,Abend::N,aften,ilta
559,Nacht::N,nat,yö
560,Woche::N,uge,viikko
561,Monat::N,måned,kuukausi
562,Jahr::N,år,vuosi
563,Frühling::N,forår,kevät
564,Sommer::N,sommer,kesä
565,Herbst::N,efterår,syksy
566,Winter::N,vinter,talvi
567,Januar::N,januar,tammikuu
568,Februar::N,februar,helmikuu
569,März::N,marts,maaliskuu
570,April::N,april,huhtikuu
571,Mai::N,maj,toukokuu
572,Juni::N,juni,kesäkuu
573,Juli::N,juli,heinäkuu
574,August::N,august,elokuu
575,September::N,september,syyskuu
576,Oktober::N,oktober,lokakuu
577,November::N,november,marraskuu
578,Dezember::N,december,joulukuu
579,Montag::N,mandag,maanantai
580,Dienstag::N,tirsdag,tiistai
581,Mittwoch::N,onsdag,keskiviikko
582,Donnerstag::N,torsdag,torstai
583,Freitag::N,fredag,perjantai
584,Samstag::N,lørdag,lauantai
585,Sonntag::N,søndag,sunnuntai
586,groß::A,stor,iso
587,groß::A,stor,suuri
588,klein::A,lille,pieni
589,lang::A,lang,pitkä
590,kurz::A,kort,lyhyt
591,breit::A,bred,leveä
592,schmal::A,smal,kapea
593,dicht::A,tæt,taaja
594,dick[Gegenstand]::A,tyk,paksu
595,dünn::A,tynd,ohut
596,fein::A,fin,hieno
597,fest::A,fast,luja
598,flach::A,flad,litteä
599,flach::A,flad,tasainen
600,glatt::A,glat,sileä
601,glatt::A,glat,siloinen
602,hart::A,hård,kova
603,weich::A,blød,pehmeä
604,rund::A,rund,pyöreä
605,spitz::A,spids,terävä
606,scharf::A,skarp,terävä
607,stumpf::A,sløv,tylsä
608,stumpf::A,stump,tylsä
609,schwer::A,tung,raskas
610,schwer::A,tung,painava
611,schön::A,skøn,kaunis
612,heiß::A,hed,kuuma
613,warm::A,varm,lämmin
614,kalt::A,kold,kylmä
615,kalt::A,kold,viluinen
616,kühl::A,kølig,viileä
617,frisch::A,frisk,tuore
618,feucht::A,fugtig,kostea
619,nass::A,våd,märkä
620,trocken::A,tør,kuiva
621,voll::A,fuld,täysi
622,leer::A,tom,tyhjä
623,offen::A,åben,avonainen
624,geschlossen::A,lukket,suljettu
625,sauber::A,ren,puhdas
626,schmutzig::A,snavset,likainen
627,roh::A,rå,raaka
628,reif::A,moden,kypsä
629,lecker::A,lækker,herkullinen
630,süß::A,sød,makea
631,bitter::A,bitter,karvas
632,bitter::A,bitter,kitkerä
633,sauer::A,sur,hapan
634,hell::A,lys,kirkas
635,hell::A,lys,valoisa
636,dunkel::A,mørk,pimeä
637,schwarz::A,sort,musta
638,weiß::A,hvid,valkea
639,rot::A,rød,punainen
640,gelb::A,gul,keltainen
641,blau::A,blå,sininen
642,grün::A,grøn,vihreä
643,grau::A,grå,harmaa
644,bunt::A,broget,kirjava
645,billig::A,billig,halpa
646,billig::A,billig,huokea
647,teuer::A,dyr,kallis
648,wertvoll::A,værdifuld,arvokas
649,blind::A,blind,sokea
650,taub::A,døv,kuuro
651,kräftig::A,kraftig,väkevä
652,kräftig::A,kraftig,voimakas
653,stark::A,stærk,vahva
654,schwach::A,svag,heikko
655,fett::A,fed,lihava
656,schlank::A,slank,hoikka
657,schlank::A,slank,solakka
658,hübsch::A,køn,soma
659,hübsch::A,køn,sievä
660,böse::A,ond,paha
661,böse::A,ond,häijy
662,böse::A,slem,paha
663,böse::A,slem,häijy
664,dumm::A,dum,tyhmä
665,dumm::A,dum,typerä
666,faul::A,doven,laiska
667,fleißig::A,flittig,ahkera
668,geizig::A,gerrig,saita
669,klug::A,klog,älykäs
670,geschickt::A,dygtig,taitava
671,geschickt::A,behændig,taitava
672,lieb::A,rar,rakas
673,lustig::A,lystig,hauska
674,lustig::A,lystig,iloinen
675,sanft::A,blid,lauha
676,sanft::A,blid,lempeä
677,hungrig::A,sulten,nälkäinen
678,krank::A,syg,sairas
679,nackt::A,nøgen,alaston
680,traurig::A,bedrøvet,surullinen
681,traurig::A,bedrøvet,murheellinen
682,lebendig::A,levende,elävä
683,gut::A,god,hyvä
684,schlecht::A,dårlig,paha
685,schlecht::A,dårlig,huono
686,richtig::A,rigtig,oikea
687,schlimm::A,slem,paha
688,wahr::A,sand,tosi
689,alt::A,gammel,vanha
690,neu::A,ny,uusi
691,ehemalig::A,forhenværende,entinen
692,ehemalig::A,forhenværende,muinainen
693,alt[Lebewesen]::A,gammel,vanha
694,jung::A,ung,nuori
695,arm::A,fattig,köyhä
696,reich::A,rig,rikas
697,bekannt::A,kendt,tuttu
698,bekannt::A,kendt,tunnettu
699,berühmt::A,berømt,kuuluisa
700,fremd::A,fremmed,vieras
701,verschieden::A,forskellig,eri
702,verschieden::A,forskellig,erilainen
703,nah::A,nær,läheinen
704,fern::A,fjern,etäinen
705,linker::A,venstre,vasen
706,rechter::A,højre,oikea
707,anderer::A,anden,muu
708,anderer::A,anden,toinen
709,erster::A,første,ensimmäinen
710,zweiter::A,anden,toinen
711,dritter::A,tredje,kolmas
712,letzter::A,sidste,viimeinen
713,allein::ADV,alene,yksin
714,auf einmal::ADV,på én gang,yhdellä kertaa
715,zusammen::ADV,sammen,yhdessä
716,lange::ADV,længe,kauan
717,lange::ADV,længe,pitkään
718,plötzlich::ADV,pludselig,äkkiä
719,sofort::ADV,straks,heti
720,später::ADV,senere,myöhemmin
721,jetzt::ADV,nu,nyt
722,heute::ADV,i dag,tänään
723,morgen::ADV,i morgen,huomenna
724,bald::ADV,snart,pian
725,dann::ADV,så,sitten
726,gestern::ADV,i går,eilen
727,einst::ADV,engang,aikanaan
728,damals::ADV,dengang,silloin
729,damals::ADV,dengang,siihen aikaan
730,danach::ADV,derefter,sen jälkeen
731,vorher::ADV,før,ennen
732,vorher::ADV,forud,ennen
733,zuerst::ADV,først,ensin
734,zuerst::ADV,først,ensiksi
735,einmal::ADV,en gang,kerran
736,manchmal::ADV,sommetider,joskus
737,oft::ADV,ofte,usein
738,immer::ADV,altid,aina
739,niemals::ADV,aldrig,ei koskaan
740,hier::ADV,her,tässä
741,hier::ADV,her,täällä
742,hierhin::ADV,hid,tähän
743,hierhin::ADV,herhen,tähän
744,von hier::ADV,herfra,tästä
745,von hier::ADV,herfra,täältä
746,dort::ADV,der,siinä
747,dort::ADV,der,siellä
748,dorthin::ADV,derhen,sinne
749,dorthin::ADV,derhen,tuonne
750,geradeaus::ADV,lige ud,suoraan
751,vorwärts::ADV,fremad,eteenpäin
752,rückwärts::ADV,baglæns,taaksepäin
753,zurück::ADV,tilbage,takaisin
754,unten::ADV,nede,alhaalla
755,unten::ADV,forneden,alhaalla
756,hinab::ADV,ned,alas
757,hinab::ADV,nedad,alas
758,oben::ADV,oppe,ylhäällä
759,oben::ADV,ovenpå,ylhäällä
760,hinauf::ADV,op,ylös
761,hinauf::ADV,opad,ylös
762,überall::ADV,overalt,kaikkialla
763,nicht::ADV,ikke,ei
764,ein wenig::ADV,lidt,vähän
765,kaum::ADV,knap,tuskin
766,kaum::ADV,næppe,tuskin
767,sehr::ADV,meget,kovin
768,sehr::ADV,meget,oikein
769,so::ADV,så,näin
770,noch::ADV,endnu,vielä
771,nur::ADV,kun,vain
772,nur::ADV,kun,ainoastaan
773,nur::ADV,bare,vain
774,nur::ADV,bare,ainoastaan
775,schon::ADV,alt,jo
776,schon::ADV,allerede,jo
777,wieder::ADV,igen,taas
778,wieder::ADV,igen,jälleen
779,vergebens::ADV,forgæves,turhaan
780,vor::PRP,foran,edessä
781,vor::PRP,uden for,edessä
782,hinter::PRP,bag,takana
783,hinter::PRP,bagved,takana
784,unter::PRP,under,alla
785,durch::PRP,gennem,läpi
786,durch::PRP,gennem,kautta
787,durch::PRP,igennem,läpi
788,durch::PRP,igennem,kautta
789,neben::PRP,ved siden af,vieressä
790,zwischen::PRP,mellem,välillä
791,wegen::PRP,på grund af,takia
792,wegen::PRP,på grund af,vuoksi
793,dies::PRN,dette,tämä
794,das::PRN,det,se
795,alles::PRN,alt,kaikki
796,ich::PRN,jeg,minä
797,du::PRN,du,sinä
798,er::PRN,han,hän
799,wir::PRN,vi,me
800,ihr::PRN,I,te
801,sie::PRN,de,he
802,was::FPRN,hvad,mikä
803,wer::FPRN,hvem,ken
804,wer::FPRN,hvem,kuka
805,wo::FADV,hvor,missä
806,wohin::FADV,hvorhen,mihin
807,wie::FADV,hvordan,miten
808,wie::FADV,hvordan,kuinka
809,warum::FADV,hvorfor,miksi
810,wieviel::FNUM,hvor meget,paljonko
811,wieviel::FNUM,hvor meget,kuinka paljon
812,eins::NUM,én,yksi
813,zwei::NUM,to,kaksi
814,drei::NUM,tre,kolme
815,vier::NUM,fire,neljä
816,fünf::NUM,fem,viisi
817,sechs::NUM,seks,kuusi
818,sieben::NUM,syv,seitsemän
819,acht::NUM,otte,kahdeksan
820,neun::NUM,ni,yhdeksän
821,zehn::NUM,ti,kymmenen
822,elf::NUM,elleve,yksitoista
823,zwölf::NUM,tolv,kaksitoista
824,zwanzig::NUM,tyve,kaksikymmentä
825,dreißig::NUM,tredive,kolmekymmentä
826,vierzig::NUM,fyrre,neljäkymmentä
827,vierzig::NUM,fyrretyve,neljäkymmentä
828,fünfzig::NUM,halvtreds,viisikymmentä
829,sechzig::NUM,tres,kuusikymmentä
830,siebzig::NUM,halvfjerds,seitsemänkymmentä
831,achtzig::NUM,firs,kahdeksankymmentä
