,Concept_ID,no,kl
64,Schlaf::N,søvn,
65,Traum::N,drøm,sinnattoq
66,Traum::N,drøm,sinnattugaq
67,Himmel::N,himmel,qilak
68,Sonne::N,sol,seqineq
69,Mond::N,måne,qaammat
70,Stern::N,stjerne,ulloriaq
71,Luft::N,luft,silaannaq
72,Wind::N,vind,anori
73,Wind::N,vind,anorsarik
74,Welle::N,bølge,aalappaa
75,Wasser::N,vann,imeq
76,Stein::N,stein,ujarak
77,Boden::N,bakke,nateq
78,Erde::N,jord,issoq
79,Staub::N,støv,pujualanerit
80,Staub::N,støv,pujoralanerit
81,Rauch::N,røyk,iseq
82,Rauch::N,røyk,pujoq
83,Funke::N,gnist,illoorneq
84,Feuer::N,ild,inneq
85,Licht::N,lys,qaamaneq
86,Schatten::N,skygge,tarraq
87,Wetter::N,vær,sila
88,Nebel::N,tåke,pujoq
89,Wolke::N,sky,nuia
90,Regen::N,regn,sialuk
91,Schnee::N,snø,aput
92,Eis::N,is,siku
93,Frost::N,frost,issi
94,Frost::N,frost,issik
95,Kälte::N,kulde,issi
96,Hitze::N,hete,kianneq
97,Hitze::N,hete,kiassuseq
98,Raureif::N,rimfrost,kaneq
99,Regenbogen::N,regnbue,neriusaaq
100,Donner::N,torden,kalleq
101,Strömung::N,strømning,
102,Tropfen::N,dråpe,kuseriarneq
103,Schaum::N,skum,qapuk
104,Schmutz::N,søl,minguk
105,Schmutz::N,skitt,minguk
106,See::N,sjø,taseq
107,Sumpf::N,sump,maqulluk
108,Sumpf::N,myrlende,maqulluk
109,Moor::N,myr,
110,Moor::N,myrhei,
111,Wiese::N,eng,masarsuk
112,Wald::N,skog,
113,Hügel::N,haug,qattuneq
114,Hügel::N,haug,majuariaq
115,Hügel::N,haug,majorajaaq
116,Hügel::N,haug,qaqqannguaq
117,Hügel::N,bakke,qattuneq
118,Hügel::N,bakke,majuariaq
119,Hügel::N,bakke,majorajaaq
120,Hügel::N,bakke,qaqqannguaq
121,Anhöhe::N,haug,
122,Anhöhe::N,bakke,
123,Berg::N,berg,qaqqaq
124,Berg::N,fjell,qaqqaq
125,Gipfel::N,topp,
126,Höhle::N,hule,qaarusuk
127,Abhang::N,li,ippik
128,Abhang::N,li,sivinganeq
129,Abhang::N,li,sivingajaaq
130,Abhang::N,li,kussangajaaq
131,Abhang::N,skråning,ippik
132,Abhang::N,skråning,sivinganeq
133,Abhang::N,skråning,sivingajaaq
134,Abhang::N,skråning,kussangajaaq
135,Quelle::N,kilde,
136,Bach::N,bekk,kuunnguaq
137,Fluss::N,elv,kuuk
138,Ufer::N,bredd,sissap sinaa
139,Küste::N,kyst,sineriak
140,Festland::N,fastland,
141,Meer::N,hav,imaq
142,Bucht::N,bukt,ikeq
143,Bucht::N,bukt,kangerluk
144,Bucht::N,bukt,kangerliumaneq
145,Insel::N,øy,qeqertaq
146,Blume::N,blomst,naasoq
147,Gras::N,gress,ivigaq
148,Wurzel::N,rot,niulutaq
149,Baum::N,tre,orpik
150,Stamm::N,stamme,kanaartaq
151,Rinde::N,bark,ameraq
152,Ast::N,gren,avalequt
153,Zweig::N,kvist,avalequt
154,Blatt::N,blad,pilutaq
155,Birke::N,bjørk,patitsit
156,Kiefer[Baum]::N,furu,
157,Weide[Baum]::N,selje,palleq
158,Weide[Baum]::N,piletre,palleq
159,Tanne::N,gran,orsuerneq
160,Horn::N,horn,nassuk
161,Feder::N,fjær,suluk
162,Fell::N,skinn,ameq
163,Flügel::N,vinge,suluk
164,Flügel::N,vinge,isaroq
165,Klaue::N,klauv,kukik
166,Kralle::N,klo,kukik
167,Schwanz::N,hale,pamioq
168,Schwanz::N,hale,paperuusaq
169,Ei::N,egg,mannik
170,Nest::N,rede,ullut
171,Bau::N,hi,ini
172,Tier::N,dyr,uumasoq
173,Herde::N,flokk,unguukkat
174,Kuh::N,ku,ussik
175,Bulle::N,tyr,angukulak
176,Bulle::N,tyr,anguteralak
177,Bulle::N,tyr,angutikulooq
178,Pferd::N,hest,
179,Schaf::N,får,sava
180,Schwein::N,gris,puuluki
181,Hund::N,hund,qimmeq
182,Katze::N,katt,puisaaq
183,Bär::N,bjørn,allaq
184,Eichhörnchen::N,ekorn,sissinnguaq
185,Elch::N,elg,
186,Fuchs::N,rev,terianniaq
187,Hase::N,hare,ukaleq
188,Maus::N,mus,teriannguaq
189,Wolf::N,ulv,amaroq
190,Wolf::N,varg,amaroq
191,Vogel::N,fugl,timmiaq
192,Schwarm::N,sverm,
193,Huhn::N,høne,kukkukooq
194,Huhn::N,høne,marloraaqaaq
195,Hahn::N,hane,kiasiusaq
196,Gans::N,gås,nerleq
197,Adler::N,ørn,nattoralik
198,Ente::N,and,
199,Eule::N,ugle,uppik
200,Kranich::N,trane,qorlorfik
201,Krähe::N,kråke,tuluatsiaq
202,Kuckuck::N,gjøk,kukkooq
203,Schwan::N,svane,qussuk
204,Fisch::N,fisk,aalisagaq
205,Barsch::N,abbor,
206,Hecht::N,gjedde,
207,Schlange[Tier]::N,orm,pulateriarsuk
208,Schlange[Tier]::N,orm,pulateriaarsuk
209,Schlange[Tier]::N,slange,pulateriarsuk
210,Schlange[Tier]::N,slange,pulateriaarsuk
211,Wurm::N,orm,
212,Wurm::N,mark,
213,Spinne::N,edderkopp,aasiaq
214,Spinne::N,edderkopp,nissavaarsuk
215,Ameise::N,maur,uniaaluk
216,Laus::N,lus,kumak
217,Mücke::N,mygg,ippernaq
218,Fliege::N,flue,ippernaq
219,Schmetterling::N,sommerfugl,paluaq
220,Schmetterling::N,sommerfugl,pakkaluaq
221,Schmetterling::N,sommerfugl,utsuppaluaq
222,Schmetterling::N,sommerfugl,taqaleqisaaq
223,Beere::N,bær,paarmaq
224,Beere::N,bær,paarngaq
225,Apfel::N,eple,iipili
226,Pilz::N,sopp,anngiusaq
227,Zwiebel::N,løk,uanitsoq
228,Saat::N,sæd,naatsiiassaq
229,Korn::N,korn,maannineq
230,Heu::N,høy,
231,Schale::N,skall,niutsivik
232,Schale::N,skall,ilulissaq qaartussaq
233,Grube::N,grop,itersaq
234,Falle::N,felle,pualavoq
235,Schlinge::N,snare,orseq
236,Schlinge::N,snare,norloq
237,Spur::N,spor,tumaa
238,Asche::N,aske,arsat
239,Dreck::N,møkk,minguk
240,Dreck::N,skitt,minguk
241,Eisen::N,jern,savimineq
242,Eisen::N,jern,saffiugassaq
243,Gold::N,gull,kuulti
244,Silber::N,sølv,siilviuvoq
245,Kohle::N,kol,aamarsuit aamaruutissat
246,Kohle::N,kull,aamarsuit aamaruutissat
247,Glas::N,glass,igalaaq
248,Glas::N,glass,imertarfik
249,Glas::N,glass,igalaamineq
250,Lehm::N,leire,marraq
251,Sand::N,sand,sioqqat
252,Mensch::N,menneske,inuk
253,Mensch::N,menneske,silamiu
254,Mann::N,mann,angut
255,Frau::N,kvinne,arnaq
256,Kind::N,barn,meeraq
257,Junge::N,gutt,nukappiaraq
258,Mädchen::N,pike,arnannguaq
259,Mädchen::N,jente,arnannguaq
260,Familie::N,familie,ilaqutakka
261,Familie::N,familie,ilaqutariit
262,Großvater::N,bestefar,aatak
263,Großmutter::N,bestemor,aanaq
264,Eltern::N,foreldre,angajoqqaat
265,Vater::N,far,ataata
266,Vater::N,far,ataataq
267,Mutter::N,mor,anaana
268,Sohn::N,sønn,erneq
269,Tochter::N,datter,panik
270,Bruder::N,bror,ani
271,Bruder::N,bror,aqqaluk
272,Bruder::N,bror,qatanngut
273,Schwester::N,søster,naja
274,Schwester::N,søster,aleqa
275,Schwester::N,søster,qatanngut
276,Onkel::N,onkel,akkak
277,Tante::N,tante,aja
278,Tante::N,tante,ajak
279,Tante::N,tante,atsak
280,Ehemann::N,ektemann,ui
281,Ehefrau::N,hustru,nuliaq
282,Freude::N,glede,tipaatsussuseq
283,Gelächter::N,latter,illaq
284,Glück::N,lykke,usornaat
285,Glück::N,lykke,usornarsuseq
286,Kummer::N,sorg,
287,Wunsch::N,ønske,kissaat
288,Lust::N,lyst,illigussuseq
289,Lust::N,lyst,piummaseq
290,Geist::N,ånd,anerneq
291,Geist::N,ånd,toornaq
292,Gedanke::N,tanke,isumassaq
293,Gedächtnis::N,minne,eqqaamannissuseq
294,Gedächtnis::N,hukommelse,eqqaamannissuseq
295,Verstand::N,forstand,isuma
296,Verstand::N,forstand,sianissut
297,Verstand::N,forstand,misigissut
298,Verstand::N,forstand,sianissuseq
299,Verstand::N,forstand,silaqassuseq
300,Sinn::N,mening,isuma
301,Sinn::N,betydning,isuma
302,Grund::N,grunn,patsit
303,Wahrheit::N,sannhet,sallusuissut
304,Gespräch::N,samtale,
305,Märchen::N,eventyr,oqalualaarut
306,Märchen::N,eventyr,oqaluasaaq
307,Erzählung::N,fortelling,oqaluttuaq
308,Nachricht::N,melding,oqaassut
309,Nachricht::N,melding,oqqersuut
310,Neuigkeit::N,nyhet,tusarnartaq
311,Name::N,navn,ateq
312,Rätsel::N,gåte,nalorsitsaarut
313,Rede::N,tale,oqaluuseq
314,Sprache::N,språk,oqaatsit
315,Stimme::N,stemme,erinaq
316,Stimme::N,stemme,qarluuseq
317,Wort::N,ord,oqaasii
318,Zeichen::N,tegn,nalunaaqqut
319,Ruf::N,rop,qaaqqussut
320,Lärm::N,bråk,perpaluk
321,Laut::N,lyd,torsukattak
322,Ton::N,tone,erinaq
323,Lied::N,vise,taalliaq
324,Lied::N,vise,erinarsuut
325,Ruhe::N,ro,qatsunganeq
326,Leute::N,folk,inuiak
327,Leute::N,folk,inuiaqatigiit
328,Volk::N,folk,inuiaat
329,Arbeit::N,arbeid,suliaq
330,Gast::N,gjest,qaaqqusaq
331,Geschenk::N,gave,pajugut
332,Spiel::N,lek,
333,Spiel::N,spill,
334,Gesellschaft::N,selskap,
335,Hilfe::N,hjelp,annertoqqut
336,Freund::N,venn,tiliaq
337,Freund::N,venn,ikinngut
338,Kamerad::N,kamerat,tiliaq
339,Kamerad::N,kamerat,ikinngut
340,Angelegenheit::N,sak,
341,Angelegenheit::N,anliggende,
342,Anzahl::N,antall,
343,Art::N,art,ileqquuseq
344,Art::N,slag,ileqquuseq
345,Stück::N,stykke,nakkaalaniku
346,Teil::N,del,tassiaasat
347,Hälfte::N,halvdel,affaq
348,Kreis::N,ring,kaajaluinneq or kaajaluitsoq
349,Kreis::N,sirkel,kaajaluinneq or kaajaluitsoq
350,Kreuz::N,kors,sanningasulik
351,Kreuz::N,kryss,sanningasulik
352,Linie::N,linje,tittaq
353,Linie::N,linje,titarneq
354,Strich::N,strek,
355,Abstand::N,avstand,aku
356,Abstand::N,avstand,ikiaq
357,Entfernung::N,avstand,asi
358,Gegend::N,strøk,nuna
359,Platz::N,plass,ini
360,Platz::N,plass,inissaq
361,Ort::N,sted,sumiiffik
362,Seite::N,side,saneraq
363,Mitte::N,midte,qiteq
364,Gegenstand::N,gjenstand,
365,Sache::N,sak,pigisaq
366,Rand::N,rand,sini
367,Rand::N,rand,akerfineq
368,Kante::N,kant,akerfineq
369,Ecke::N,hjørne,teqeqqoq
370,Ecke::N,hjørne,tikeqqoq
371,Spitze::N,spiss,inngik
372,Ende::N,ende,isu
373,Loch::N,hull,putu
374,Winkel::N,vinkel,teqeqqorissaat
375,Muster::N,mønster,ilisserut
376,Größe::N,størrelse,angissuseq
377,Länge::N,lengde,takissuseq
378,Höhe::N,høyde,
379,Gewicht::N,vekt,oqimaalutaq
380,Menge::N,mengde,amerlassuseq
381,Haufen::N,haug,eqimattat
382,Haufen::N,bunke,eqimattat
383,Reihe::N,rekke,allunaasaq
384,Boot::N,båt,qajaq
385,Boot::N,båt,angallat
386,Boot::N,båt,umiatsiaq
387,Ruder::N,åre,iput
388,Schlitten::N,slede,qamutit
389,Schlitten::N,slede,qimusseq
390,Schlitten::N,kjelke,qamutit
391,Schlitten::N,kjelke,qimusseq
392,Ski::N,ski,ataarut
393,Lagerfeuer::N,leirbål,
394,Last::N,bør,nammagaq
395,Last::N,last,nammagaq
396,Gang::N,gang,
397,Schritt::N,steg,allorneq
398,Schritt::N,skritt,allorneq
399,Norden::N,nord,avannaq
400,Süden::N,sør,qava
401,Süden::N,sør,kujat
402,Süden::N,sør,kujataa
403,Westen::N,vest,kitaa
404,Osten::N,øst,kangi
405,Holz::N,tre,qisuk
406,Brett::N,fjøl,salliligaq
407,Brett::N,brett,salliligaq
408,Platte::N,plate,qaateq
409,Stütze::N,støtte,ajagutaq
410,Stütze::N,støtte,ajaagutaq
411,Stange::N,stang,kaaviffik
412,Stock::N,pinne,ajaappissat
413,Stab::N,stav,ajaappissat
414,Stab::N,kjepp,ajaappissat
415,Rohr::N,rør,sullulik
416,Haus::N,hus,illu
417,Heim::N,hjem,
418,Ofen::N,ovn,kissarsuut
419,Fußboden::N,gulv,nateq
420,Tisch::N,bord,allattarfik
421,Stuhl::N,stol,issiavik
422,Stuhl::N,stol,issiaffik
423,Wiege::N,vogge,uaasoq
424,Bett::N,seng,nallavik
425,Regal::N,reol,ilisivik
426,Regal::N,hylle,ilisivik
427,Kiste::N,kasse,sakissat
428,Kiste::N,kasse,illerfiusaq
429,Fenster::N,vindu,aki
430,Fenster::N,vindu,igalaaq
431,Tür::N,dør,matu
432,Tor::N,port,isaaffik
433,Zaun::N,gjerde,saputit
434,Dach::N,tak,qaliaq
435,Leiter::N,stige,tummeqqat
436,Leiter::N,stige,majuartarfiit
437,Besen::N,kost,saligutit
438,Spaten::N,spade,nivaataq
439,Schaufel::N,skuffe,nivaataq
440,Gabel::N,gaffel,qilluaq
441,Gabel::N,gaffel,ajassaatit
442,Löffel::N,skje,alussaat
443,Messer::N,kniv,savik
444,Nagel::N,spiker,kukik
445,Netz::N,nett,anguffaseq
446,Haken::N,krok,nissik
447,Haken::N,krok,qarsorsaq
448,Haken::N,krok,qarsorsartoq
449,Griff::N,tak,ipi
450,Griff::N,håndtak,ipi
451,Schloss::N,lås,illussaarsuaq
452,Bild::N,bilde,assiliaq
453,Figur::N,figur,kisitsit
454,Puppe::N,dukke,inuusaq
455,Beutel::N,pose,
456,Bündel::N,bylt,qilertaq
457,Tasche::N,veske,pooqattaq
458,Eimer::N,bøtte,
459,Deckel::N,lokk,matu
460,Geschirr::N,kjøkkentøy,anut
461,Sack::N,sekk,
462,Tasse::N,kopp,tiitorfik
463,Tasse::N,kopp,tiitorfiup ilorlia
464,Topf::N,gryte,qoqqoq
465,Kessel::N,kjele,uunnaavik
466,Essen::N,mål,igaaq
467,Nahrung::N,mat,neqissaq
468,Nahrung::N,næring,neqissaq
469,Speise::N,matrett,nerisassat
470,Fleisch::N,kjøtt,neqi
471,Getreide::N,korn,maannineq
472,Brei::N,grøt,
473,Brot::N,brød,iffit
474,Brot::N,brød,iffiaq
475,Scheibe::N,skive,igalaassiaq
476,Fett::N,fett,tarnutissaq
477,Fett::N,fett,tarnutissiaq
478,Butter::N,smør,punneq
479,Öl::N,olje,uulia
480,Salz::N,salt,taratsut
481,Suppe::N,suppe,qajoq
482,Honig::N,honning,tungusunnitsuut
483,Milch::N,melk,immuk
484,Tee::N,te,tii
485,Tee::N,te,teeq
486,Leder::N,lær,
487,Leder::N,skinn,
488,Wolle::N,ull,nuersagassiaq
489,Stoff::N,tøy,milliaq
490,Stoff::N,tøy,qarlissiaq
491,Stoff::N,stoff,milliaq
492,Stoff::N,stoff,qarlissiaq
493,Nadel::N,nål,meqqut
494,Faden::N,tråd,ujalussiaq
495,Knopf::N,knapp,attat
496,Knoten::N,knute,akeroq
497,Knoten::N,knute,qilerneq
498,Farbe::N,farge,qalipaat
499,Kleidung::N,påkledning,atisat
500,Kleidung::N,påkledning,annoraaq
501,Hemd::N,skjorte,ilupaaq
502,Kragen::N,krage,qungasiinnaq
503,Ärmel::N,erme,aaq
504,Hose::N,bukse,qarliit
505,Gürtel::N,belte,qiterut
506,Gürtel::N,belte,unngersaq
507,Mütze::N,lue,nasaq
508,Schuh::N,sko,skuu
509,Schuh::N,sko,ikernuk
510,Schuh::N,sko,ateraasaq
511,Stiefel::N,støvel,kamik
512,Ring::N,ring,assammiu
513,Band::N,band,qilerutissiaq
514,Kamm::N,kam,illaagutit
515,Kamm::N,kam,illaajaatit pl.
516,Spiegel::N,speil,tarrarsuut
517,Riemen::N,rem,allunaaq
518,Schnur::N,snor,kujaaq
519,Schnur::N,snor,allunaasaq
520,Leine::N,line,aleq
521,Decke::N,teppe,qipik
522,Kissen::N,pute,akit
523,Tuch::N,tøy,qarlissiaq
524,Handtuch::N,håndkle,allarut
525,Handtuch::N,håndkle,allarterut
526,Kraft::N,kraft,pissak
527,Stärke::N,styrke,qerattarsaat
528,Gesundheit::N,helse,peqqisusseq
529,Gesundheit::N,sunnhet,peqqisusseq
530,Krankheit::N,syke,nappaat
531,Krankheit::N,sykdom,nappaat
532,Schmerz::N,smerte,anniaat
533,Wunde::N,sår,iki
534,Fieber::N,feber,nappaat qanimanartoq
535,Arznei::N,medisin,imigassaq
536,Arznei::N,legemiddel,imigassaq
537,Brücke::N,bro,ikaartarfik
538,Brunnen::N,brønn,tissaluttuliaq
539,Weide::N,beite,masarsuk
540,Pfad::N,sti,aqqut
541,Weg::N,vei,aggerfik
542,Straße::N,gate,aqqusineq
543,Dorf::N,landsby,nunaqarfik
544,Stadt::N,by,illorpaat
545,Stadt::N,by,illorpalik
546,Brief::N,brev,allagarsiaq
547,Buch::N,bok,atuakkat
548,Buch::N,bok,mappersagaq
549,Buchstabe::N,bokstav,naqinneq
550,Zeitung::N,avis,aviisi
551,Leben::N,liv,inuussuseq
552,Tod::N,død,toqu
553,Tod::N,død,toquneq
554,Grab::N,grav,iliveq
555,Grab::N,grav,illissat
556,Kirche::N,kirke,oqaluffik
557,Sünde::N,synd,ajorti
558,Gott::N,gud,
559,Arbeiter::N,arbeider,sulisoq
560,Chef::N,sjef,ittoqut
561,Meister::N,mester,naalagaq
562,Arzt::N,lege,katsorsaasoq
563,Lehrer::N,lærer,ilinniartitsisoq
564,Geld::N,penger,aningaasat
565,Geschäft::N,forretning,niuertarfik
566,Laden::N,butikk,niuertarfik
567,Preis::N,pris,aki
568,Ware::N,vare,qaliata pii
569,Ware::N,vare,nioqqutissaq
570,Nutzen::N,nytte,iluaqut
571,Reichtum::N,rikdom,
572,Welt::N,verden,nunarsuaq
573,Land::N,land,nuna
574,Staat::N,stat,
575,König::N,konge,kunngi
576,Macht::N,makt,pissaassuseq
577,Grenze::N,grense,killik
578,Krieg::N,krig,sorsunneq
579,Feind::N,fiende,akeraq
580,Feind::N,fiende,akerartorti
581,Feind::N,fiende,qinngarsuisoq
582,Gewalt::N,vold,
583,Kampf::N,kamp,sorsunneq
584,Bogen[Waffe]::N,bue,
585,Pfeil::N,pil,qalugiusaq
586,Gewehr::N,gevær,aallaat
587,Fehler::N,feil,kukkuneq
588,Fehler::N,feil,paarlaappaa
589,Lüge::N,løgn,
590,Schaden::N,skade,
591,Unglück::N,uhell,perluut
592,Schuld::N,skyld,akiitsugaq
593,Schuld::N,skyld,akiligassaq
594,Alter::N,alder,utoqqaq
595,Schluss::N,slutt,isu
596,Zeit::N,tid,ulloq
597,Zeit::N,tid,akuttoqatigiinneq
598,Tag::N,dag,ulloq
599,Morgen::N,morgen,ullaaq
600,Mittag::N,middag,ulloqeqqa
601,Abend::N,aften,unnuk
602,Nacht::N,natt,unnuaq
603,Woche::N,uke,sapaatip akunnera
604,Monat::N,måned,qaammat
605,Jahr::N,år,ukioq
606,Frühling::N,vår,upernaaq
607,Sommer::N,sommer,aasaq
608,Herbst::N,høst,ukiaq
609,Winter::N,vinter,ukioq
610,Januar::N,januar,siulleeq
611,Januar::N,januar,qaammaliaq
612,Februar::N,februar,aarlaat
613,März::N,mars,marsi
614,März::N,mars,martsi
615,April::N,april,
616,Mai::N,mai,maaji
617,Juni::N,juni,juuni
618,Juli::N,juli,juuli
619,August::N,august,aggusti
620,September::N,september,septembari
621,Oktober::N,oktober,oktobari
622,November::N,november,novembari
623,Dezember::N,desember,detsembari
624,Montag::N,mandag,ataasinngortoq
625,Dienstag::N,tirsdag,marlunngorneq
626,Mittwoch::N,onsdag,pingasunngorneq
627,Donnerstag::N,torsdag,sisamanngorneq
628,Freitag::N,fredag,tallimanngorneq
629,Samstag::N,lørdag,arfininngorneq
630,Sonntag::N,søndag,sapaat
631,Sonntag::N,søndag,sapaati
632,groß::A,stor,angivoq
633,klein::A,liten,mikivoq
634,lang::A,lang,takisooq
635,kurz::A,kort,naatsoq
636,breit::A,bred,silippoq
637,schmal::A,smal,amitsoq
638,dicht::A,tett,torsusooq
639,dick[Gegenstand]::A,tykk,issuvoq
640,dick[Gegenstand]::A,tykk,issusooq
641,dünn::A,tynn,amitsoq
642,fein::A,fin,mamarpoq
643,fest::A,fast,tangeqarpoq
644,flach::A,flat,nalimmappoq
645,glatt::A,glatt,quasak
646,hart::A,hard,mattusooq
647,hart::A,hard,manngerpoq
648,hart::A,hard,titeqquluppoq
649,weich::A,myk,nerumaarpoq
650,weich::A,bløt,nerumaarpoq
651,rund::A,rund,ammallorippoq
652,spitz::A,spiss,qummukujooq
653,scharf::A,kvass,ipippoq
654,stumpf::A,stubb,anngerpoq
655,schwer::A,tung,oqimaappoq
656,schön::A,pen,kusanarpoq
657,schön::A,vakker,kusanarpoq
658,heiß::A,het,kiappoq
659,warm::A,varm,oqorpoq
660,kalt::A,kald,issippoq
661,kühl::A,kjølig,pueqqortippoq
662,frisch::A,fersk,
663,feucht::A,fuktig,isugutavoq
664,feucht::A,fuktig,qaasernarpoq
665,nass::A,våt,imerorpoq
666,trocken::A,tørr,panerpoq
667,voll::A,full,ulikkaarpoq
668,leer::A,tom,imaattuarpoq
669,offen::A,åpen,ammavoq
670,geschlossen::A,lukket,matuvoq
671,sauber::A,ren,eqqippoq
672,sauber::A,ren,sukuluippoq
673,sauber::A,ren,ipeqanngilaq
674,schmutzig::A,skitten,tapappoq
675,schmutzig::A,skitten,minguppoq
676,roh::A,rå,aapavoq
677,reif::A,moden,qaarulerpoq
678,lecker::A,lekker,
679,süß::A,søt,tungusunnippoq
680,bitter::A,besk,qasilippoq
681,bitter::A,bitter,qasilippoq
682,sauer::A,sur,
683,hell::A,lys,qaamavoq
684,dunkel::A,mørk,qernerpoq
685,schwarz::A,svart,qernerpoq
686,weiß::A,hvit,qaqorpoq
687,rot::A,rød,aappaluppoq
688,gelb::A,gul,sungaarpoq
689,blau::A,blå,tungujorpoq
690,grün::A,grønn,qorsooqqippoq
691,grau::A,grå,qaserpoq
692,bunt::A,broket,
693,billig::A,billig,akikippoq
694,teuer::A,dyr,
695,wertvoll::A,verdifull,erlinnarpoq
696,blind::A,blind,tappiippoq
697,blind::A,blind,isigisaqanngilaq
698,taub::A,døv,tusilarpoq
699,kräftig::A,kraftig,pissaq
700,kräftig::A,kraftig,pissarsuaq
701,stark::A,sterk,sanngivoq
702,schwach::A,svak,nakuippoq
703,fett::A,fet,pualavoq
704,schlank::A,slank,tuappoq
705,hübsch::A,pen,aatsialaq
706,böse::A,slem,ajorpoq
707,dumm::A,dum,taqajak
708,dumm::A,dum,sikkilluppoq
709,dumm::A,dum,qaatusimasaqanngilaq
710,faul::A,lat,eqiasuppoq
711,faul::A,lat,eqiattortuvoq
712,faul::A,doven,eqiasuppoq
713,faul::A,doven,eqiattortuvoq
714,fleißig::A,flittig,eqiasuippoq
715,geizig::A,gjerrig,iasilaarpoq
716,geizig::A,gjerrig,tukkuippoq
717,klug::A,klok,mallak
718,klug::A,klok,ittanneq
719,klug::A,klok,kutaappoq
720,klug::A,klok,kuttaappoq
721,klug::A,klok,qarasagippoq
722,geschickt::A,hendig,
723,geschickt::A,skikket,
724,lieb::A,kjær,akisooq
725,lieb::A,snill,akisooq
726,lustig::A,morsom,piikulavoq
727,sanft::A,blid,isumagippoq
728,hungrig::A,sulten,kaappoq
729,hungrig::A,sulten,perlilerpoq
730,krank::A,syk,napparsimavoq
731,nackt::A,naken,
732,traurig::A,sørgmodig,aliasuppoq
733,lebendig::A,levende,uumavoq
734,gut::A,god,ajunngilaq
735,schlecht::A,dårlig,sualuppoq
736,richtig::A,riktig,iluarpoq
737,schlimm::A,slem,amiilaarnarpoq
738,wahr::A,sann,ilumoorpoq
739,alt::A,gammel,pisoqaq
740,neu::A,ny,nutaavoq
741,ehemalig::A,forhenværende,
742,alt[Lebewesen]::A,gammel,utoqqaq
743,jung::A,ung,inuusuppoq
744,jung::A,ung,kingulliarsuk
745,arm::A,fattig,piillasoq
746,arm::A,fattig,piitsuuvoq
747,reich::A,rik,pisuuvoq
748,bekannt::A,kjent,
749,berühmt::A,berømt,tusaamasaq
750,fremd::A,fremmed,ajasoornarpoq
751,verschieden::A,forskjellig,allatut
752,verschieden::A,forskjellig,tamalaat
753,nah::A,nær,qanippoq
754,fern::A,fjern,ungasippoq
755,linker::A,venstre,saamerleq
756,rechter::A,høyre,innarluissut
757,anderer::A,annen,
758,erster::A,første,siulleq
759,zweiter::A,annen,qataatsup tullia
760,dritter::A,tredje,pingajorarterut
761,letzter::A,sist,kingulleq
762,allein::ADV,alene,kisimiippoq
763,auf einmal::ADV,med ett,tassanngaannaq
764,zusammen::ADV,sammen,attaasa
765,zusammen::ADV,sammen,attarmik
766,lange::ADV,lenge,akuni
767,plötzlich::ADV,plutselig,tassanngaannaq
768,sofort::ADV,straks,erniinnaq
769,später::ADV,senere,kingorna
770,jetzt::ADV,nå,maanna
771,jetzt::ADV,nå,massakkut
772,heute::ADV,i dag,ullumi
773,morgen::ADV,i morgen,aqagu
774,bald::ADV,snart,erniinnaq
775,dann::ADV,så,taava
