,Concept_ID,kv,he
73,Wetter::N,погоддя,מזג אויר
74,Nebel::N,туман,ערפל
75,Wolke::N,кымӧр,ענן
76,Regen::N,зэр,גשם
77,Schnee::N,лым,שלג
78,Eis::N,йы,קרח
79,Frost::N,мороз,צנה
80,Kälte::N,кӧдзыт,קר
81,Hitze::N,ӧд,חם
82,Raureif::N,кижа,כפור
83,Regenbogen::N,енӧшка,קשת
84,Donner::N,гым,רעם
85,Strömung::N,визывтӧм,זרימה
86,Tropfen::N,тёп,טפה
87,Schaum::N,быг,קצף
88,Schmutz::N,нять,לכלוך
89,See::N,ты,אגם
90,Sumpf::N,арай,בצה
91,Moor::N,нюр,בצה
92,Wiese::N,видз,מרעה
93,Wald::N,вӧр,יער
94,Hügel::N,мыльк,תל
95,Anhöhe::N,вывтас,מעלה
96,Anhöhe::N,вылынін,מעלה
97,Berg::N,керӧс,הר
98,Gipfel::N,йыв,פסגה
99,Höhle::N,нора,מערה
100,Abhang::N,покат,מדרון
101,Abhang::N,покат,שפוע
102,Quelle::N,больган,מעין
103,Bach::N,шор,נחל
104,Fluss::N,ю,נהר
105,Ufer::N,берег,גדה
106,Küste::N,берег,חוף
107,Festland::N,му,יבשה
108,Meer::N,море,ים
109,Bucht::N,курья,מפרץ
110,Blume::N,цветок,פרח
111,Gras::N,турун,דשא
112,Wurzel::N,вуж,שרש
113,Baum::N,пу,עץ
114,Stamm::N,мыр,גזע
115,Stamm::N,кер,גזע
116,Rinde::N,кач,קלפת עץ
117,Ast::N,ув,ענף
118,Zweig::N,ув,ענף
119,Blatt::N,лист,עלה
120,Birke::N,кыдз,שדר
121,Kiefer[Baum]::N,пожум,ארן
122,Weide[Baum]::N,бадь,ערבה
123,Tanne::N,кӧз,אשוח
124,Horn::N,сюр,קרן
125,Feder::N,гӧн,נוצה
126,Fell::N,кучик,פרוה
127,Flügel::N,борд,כנף
128,Klaue::N,гыж,טלף
129,Kralle::N,кабыр,טפר
130,Schwanz::N,бӧж,זנב
131,Ei::N,кольть,ביצה
132,Nest::N,поз,קן
133,Bau::N,осьта,מחלה
134,Bau::N,нора,מחלה
135,Tier::N,зверь,חיה
136,Herde::N,гурт,עדר
137,Kuh::N,мӧс,פרה
138,Bulle::N,ӧшка,פר
139,Pferd::N,вӧв,סוס
140,Schaf::N,баля,כבשה
141,Schwein::N,порсь,חזיר
142,Hund::N,пон,כלב
143,Katze::N,кань,חתול
144,Bär::N,ош,דב
145,Eichhörnchen::N,ур,סנאי
146,Elch::N,вӧр мӧс,דישון
147,Fuchs::N,руч,שועל
148,Hase::N,кӧч,ארנב
149,Maus::N,шыр,עכבר
150,Wolf::N,кӧин,זאב
151,Vogel::N,кай,צפור
152,Schwarm::N,стая,נחיל
153,Schwarm::N,стая,להקה
154,Schwarm::N,чукӧр,נחיל
155,Schwarm::N,чукӧр,להקה
156,Huhn::N,курӧг,תרנגלת
157,Hahn::N,петух,תרנגול
158,Hahn::N,ай курӧг,תרנגול
159,Gans::N,дзодзог,אוז
160,Adler::N,куч,עיט
161,Adler::N,кутш,עיט
162,Ente::N,утка,ברוז
163,Eule::N,тупка,ינשוף
164,Kranich::N,тури,עגור
165,Kranich::N,тури,כרוכיה
166,Krähe::N,рака,עורב
167,Kuckuck::N,кӧк,קוקיה
168,Schwan::N,юсь,ברבור
169,Fisch::N,чери,דג
170,Barsch::N,ёкыш,אוקונוס
171,Hecht::N,сирпинь,זאב הים
172,Schlange[Tier]::N,змей,נחש
173,Wurm::N,номыр,תולעת
174,Spinne::N,черань,עכביש
175,Ameise::N,кӧдзывкар,נמלה
176,Laus::N,ляпа той,כנה
177,Mücke::N,ном,יתוש
178,Fliege::N,гут,זבוב
179,Schmetterling::N,бабыв,פרפר
180,Beere::N,ягӧд,ענבה
181,Apfel::N,яблоко,תפוח
182,Pilz::N,тшак,פטריה
183,Zwiebel::N,грез,בצל
184,Saat::N,кӧдзыс,זרעים
185,Korn::N,сю,גרעין
186,Heu::N,турун,חציר
187,Schale::N,кыш,קלפה
188,Schale::N,киль,קלפה
189,Grube::N,яма,בור
190,Grube::N,яма,שוחה
191,Falle::N,нальк,מלכדת
192,Falle::N,кляпча,מלכדת
193,Schlinge::N,лӧч,לולאה
194,Spur::N,туй,עקבה
195,Asche::N,пӧим,אפר
196,Dreck::N,нять,זהמה
197,Eisen::N,кӧрт,ברזל
198,Gold::N,зарни,זהב
199,Silber::N,язісь,כסף
200,Kohle::N,шом,פחם
201,Kohle::N,уголь,פחם
202,Glas::N,стекло,זכוכית
203,Lehm::N,сёй,חרסית
204,Sand::N,лыа,חול
205,Mensch::N,морт,אדם
206,Mann::N,мужик,איש
207,Mann::N,мужик,גבר
208,Frau::N,инька,אשה
209,Frau::N,инька,גברת
210,Kind::N,кага,ילד
211,Junge::N,зонка,ילד
212,Mädchen::N,нывкаок,נערה
213,Familie::N,семья,משפחה
214,Großvater::N,дед,סבא
215,Großmutter::N,баб,סבתא
216,Eltern::N,ай-мам,הורים
217,Vater::N,ай,אב
218,Mutter::N,мам,אם
219,Sohn::N,зон,בן
220,Tochter::N,ныв,בת
221,Bruder::N,вон,אח
222,Schwester::N,сой,אחות
223,Onkel::N,дядь,דוד
224,Tante::N,айӧлӧн сой,דודה
225,Tante::N,ичинь,דודה
226,Ehemann::N,жӧник,איש
227,Ehemann::N,жӧник,בעל
228,Ehefrau::N,инь,אשה
229,Freude::N,гаж,שמחה
230,Freude::N,радъялӧм,שמחה
231,Gelächter::N,сералӧм,צחוק
232,Glück::N,мичлун,אשר
233,Kummer::N,шог,יגון
234,Kummer::N,шог,עגמה
235,Wunsch::N,мӧдӧм,אחול
236,Wunsch::N,мӧдӧм,משאלה
237,Wunsch::N,охотитӧм,אחול
238,Wunsch::N,охотитӧм,משאלה
239,Lust::N,охота,חשק
240,Lust::N,охота,תשוקה
241,Geist::N,лов,רוח
242,Gedanke::N,дума,מחשבה
243,Gedächtnis::N,тӧдвыв,זכרון
244,Verstand::N,вежӧр,שכל
245,Sinn::N,ылӧс,מובן
246,Sinn::N,ылӧс,משמעות
247,Grund::N,мог,סבה
248,Wahrheit::N,правда,אמת
249,Gespräch::N,сёрни,דיון
250,Märchen::N,сказка,אגדה
251,Erzählung::N,висьт,ספור
252,Nachricht::N,юӧр,ידיעה
253,Nachricht::N,висьталӧм,ידיעה
254,Neuigkeit::N,новость,חדשה
255,Name::N,ним,שם
256,Rätsel::N,загадка,תעלומה
257,Rede::N,сёрни,נאום
258,Sprache::N,кыв,לשון
259,Stimme::N,голос,קול
260,Wort::N,кыв,מלה
261,Zeichen::N,пас,סימן
262,Ruf::N,чуксӧм,קריאה
263,Ruf::N,чукӧстӧм,קריאה
264,Lärm::N,шум,רעש
265,Laut::N,шы,הגה
266,Ton::N,гор,צליל
267,Lied::N,сьыланкыв,שיר
268,Ruhe::N,спокой,שלוה
269,Leute::N,йӧз,אנשים
270,Volk::N,йӧз,עם
271,Volk::N,народ,עם
272,Arbeit::N,удж,עבודה
273,Gast::N,гӧсь,אורח
274,Geschenk::N,гӧснеч,מתנה
275,Geschenk::N,подарок,מתנה
276,Spiel::N,орсӧм,משחק
277,Gesellschaft::N,компания,חברה
278,Hilfe::N,отсӧт,עזרה
279,Freund::N,модз,חבר
280,Freund::N,модз,ידיד
281,Freund::N,дружок,חבר
282,Freund::N,дружок,ידיד
283,Kamerad::N,тӧдса,רע
284,Angelegenheit::N,дело,ענין
285,Anzahl::N,лыд,מספר
286,Art::N,пӧлӧс,סוג
287,Stück::N,тор,חתיכה
288,Teil::N,юкӧм,פרק
289,Hälfte::N,джын,חצי
290,Kreis::N,круг,מעגל
291,Kreuz::N,перна,צלב
292,Linie::N,визь,קו
293,Strich::N,кырӧв,קו קצר
294,Abstand::N,колас,מרחק
295,Entfernung::N,ылына,מרחק
296,Gegend::N,места,נוף
297,Platz::N,места,שטח
298,Ort::N,места,אתר
299,Ort::N,места,מקום
300,Seite::N,ладор,צד
301,Mitte::N,шӧр,אמצע
302,Gegenstand::N,тор,אוביקט
303,Sache::N,тор,דבר
304,Rand::N,дор,פרור
305,Kante::N,ордлы,קצה
306,Ecke::N,пельӧс,פנה
307,Spitze::N,йыв,קצה
308,Ende::N,йыв,סוף
309,Loch::N,осьта,חר
310,Winkel::N,пельӧс,פנה
311,Muster::N,сер,תבנית
312,Größe::N,ыжда,גדל
313,Länge::N,кузя,ארך
314,Höhe::N,сувда,קומה
315,Höhe::N,сувда,גבה
316,Höhe::N,вылына,קומה
317,Höhe::N,вылына,גבה
318,Gewicht::N,сьӧкта,משקל
319,Haufen::N,куча,ערמה
320,Reihe::N,лёдз,רצף
321,Boot::N,пыж,סירה
322,Ruder::N,пелыс,משוט
323,Schlitten::N,додь,מזחלת
324,Ski::N,лямпа,מגלשים
325,Lagerfeuer::N,бипур,מדורה
326,Last::N,тягота,משא
327,Gang::N,мунӧм,הליכה
328,Schritt::N,вожмӧв,צעד
329,Norden::N,ой,צפון
330,Süden::N,лун,דרום
331,Westen::N,рытвыв,מערב
332,Osten::N,асыв,מזרח
333,Holz::N,пу,עץ
334,Brett::N,пӧв,קרש
335,Platte::N,плита,לוח
336,Stütze::N,пика,משען
337,Stange::N,зор,מוט
338,Stange::N,потш,מוט
339,Stock::N,бедь,מקל
340,Stab::N,шест,מוט
341,Rohr::N,труба,צנור
342,Haus::N,керку,בית
343,Heim::N,керку,בית
344,Ofen::N,пӧжавны,תנור
345,Fußboden::N,джодж,רצפה
346,Tisch::N,пызан,שלחן
347,Stuhl::N,стул,כסא
348,Wiege::N,зыбка,ערש
349,Bett::N,кровать,מטה
350,Regal::N,джадж,מדף
351,Kiste::N,ящик,תבה
352,Kiste::N,ящик,ארגז
353,Fenster::N,ӧшын,חלון
354,Tür::N,ыбӧс,דלת
355,Tor::N,ворота,שער
356,Zaun::N,забор,גדר
357,Dach::N,крыша,גג
358,Leiter::N,лиснич,סלם
359,Besen::N,рос,מטאטא
360,Spaten::N,зыр,את
361,Schaufel::N,зыр,את
362,Gabel::N,вила,מזלג
363,Löffel::N,пань,כף
364,Messer::N,пурт,סכין
365,Nagel::N,кӧрттув,מסמר
366,Netz::N,кыйӧт,רשת
367,Haken::N,ем,וו
368,Haken::N,ем,קרס
369,Griff::N,пу,ידית
370,Schloss::N,замок,מנעול
371,Bild::N,картина,תמונה
372,Figur::N,мыгӧр,פסל
373,Puppe::N,акань,בבה
374,Beutel::N,мешӧк,שק
375,Bündel::N,нин,צרור
376,Tasche::N,сумка,שקית
377,Eimer::N,ведра,דלי
378,Deckel::N,вевт,מכסה
379,Geschirr::N,доз,כלים
380,Geschirr::N,бекӧрпань,כלים
381,Sack::N,мешӧк,שק
382,Tasse::N,бекӧр,ספל
383,Topf::N,кастрюля,סיר
384,Kessel::N,пӧрт,קנקן
385,Essen::N,сёйӧм,אכל
386,Essen::N,сёйӧм,ארוחה
387,Nahrung::N,вердан,הזנה
388,Nahrung::N,вердан,תזונה
389,Speise::N,сёян,מאכל
390,Speise::N,сёян,ארוחה
391,Fleisch::N,яй,בשר
392,Getreide::N,сю,דגן
393,Brei::N,каша,מחית
394,Brot::N,нянь,לחם
395,Scheibe::N,шӧрӧм,עגול
396,Scheibe::N,шӧрӧм,פרוסה
397,Fett::N,гос,שמן
398,Butter::N,ви,חמאה
399,Öl::N,ви,שמן
400,Salz::N,сов,מלח
401,Suppe::N,шыд,מרק
402,Honig::N,ма,דבש
403,Milch::N,йӧв,חלב
404,Tee::N,чай,תה
405,Leder::N,кучик,עור
406,Wolle::N,гӧн,צמר
407,Stoff::N,дӧра,בד
408,Stoff::N,дӧра,אריג
409,Nadel::N,ем,מחט
410,Faden::N,сунис,חוט
411,Knopf::N,кизь,כפתור
412,Knoten::N,узӧв,קשר
413,Knoten::N,гӧрӧд,קשר
414,Farbe::N,краска,צבע
415,Kleidung::N,паськӧм,בגדים
416,Hemd::N,йӧрнӧс,חלצה
417,Kragen::N,воротник,צוארון
418,Ärmel::N,сос,שרוול
419,Hose::N,вешьян,מכנסים
420,Gürtel::N,йи,חגורה
421,Mütze::N,шапка,כובע
422,Schuh::N,ботинки,נעל
423,Stiefel::N,сапог,מגף
424,Ring::N,чунькытш,טבעת
425,Band::N,ленточка,סרט
426,Kamm::N,сынан,מסרק
427,Spiegel::N,зеркало,מראה
428,Riemen::N,ремень,רצועה
429,Schnur::N,гез,חבל
430,Leine::N,повод,מושכות
431,Decke::N,одеяло,שמיכה
432,Kissen::N,подушка,כרית
433,Tuch::N,чышьян,צעיף
434,Handtuch::N,чышкӧт,מגבת
435,Kraft::N,прак,כוח
436,Stärke::N,вын,און
437,Gesundheit::N,здоровье,בריאות
438,Krankheit::N,шог,מחלה
439,Schmerz::N,зубыт,כאב
440,Wunde::N,рана,פציעה
441,Fieber::N,лёк тресся,חם
442,Fieber::N,кынтан шогӧт,חם
443,Arznei::N,лекарство,תרופה
444,Brücke::N,пос,גשר
445,Brunnen::N,колодец ,באר
446,Weide::N,пода йирсян,אחו
447,Weide::N,пода йирсян,מרעה
448,Pfad::N,туй,שביל
449,Pfad::N,туй,מדרכה
450,Weg::N,туй,דרך
451,Straße::N,туй,כביש
452,Dorf::N,деревня,כפר
453,Stadt::N,город,עיר
454,Brief::N,гижӧт,מכתב
455,Buch::N,книга,ספר
456,Buchstabe::N,буква,אות
457,Zeitung::N,газета,עתון
458,Leben::N,олан,חיים
459,Tod::N,кулӧм,מות
460,Grab::N,гу,קבר
461,Kirche::N,вичку,כנסיה
462,Sünde::N,грек,חטא
463,Gott::N,ен,אל
464,Arbeiter::N,уджалiсь,פועל
465,Chef::N,начальник,ראש
466,Chef::N,начальник,מנהל
467,Meister::N,мастер,ממחה
468,Arzt::N,врач,רופא
469,Lehrer::N,велӧтісь,מורה
470,Geld::N,деньга,כסף
471,Geschäft::N,удж,עסקה
472,Laden::N,магазин,חנות
473,Preis::N,дон,מחיר
474,Ware::N,товар,סחורה
475,Nutzen::N,путь,תועלת
476,Reichtum::N,богатство,עשר
477,Welt::N,му,עולם
478,Land::N,страна,ארץ
479,Staat::N,государство,מדינה
480,König::N,кан,מלך
481,Macht::N,власть,כוח
482,Grenze::N,граница,גבול
483,Krieg::N,война,מלחמה
484,Feind::N,враг,אויב
485,Kampf::N,нярасьӧм,קרב
486,Kampf::N,нярасьӧм,לחימה
487,Kampf::N,вермасьӧм,קרב
488,Kampf::N,вермасьӧм,לחימה
489,Bogen[Waffe]::N,лук,קשת
490,Pfeil::N,ньӧв,חץ
491,Gewehr::N,ружьё,רובה
492,Fehler::N,ошибка,טעות
493,Lüge::N,ылӧтӧм,שקר
494,Lüge::N,пӧрьялӧм,שקר
495,Schaden::N,лёк,נזק
496,Unglück::N,пик,מזל רע
497,Unglück::N,оказзё,מזל רע
498,Schuld::N,вина,אשמה
499,Schluss::N,ком,סיום
500,Zeit::N,кад,זמן
501,Tag::N,лун,יום
502,Morgen::N,асыв,בקר
503,Mittag::N,луншӧр кад,צהרים
504,Abend::N,рыт,ערב
505,Nacht::N,ой,לילה
506,Woche::N,неделя,שבוע
507,Monat::N,тӧлicь,חדש
508,Jahr::N,год,שנה
509,Frühling::N,тулыс,אביב
510,Sommer::N,гожум,קיץ
511,Herbst::N,ар,סתו
512,Winter::N,тӧв,חרף
513,Januar::N,январ,ינואר
514,Februar::N,февраль,פברואר
515,März::N,март,מרץ
516,April::N,апрель,אפריל
517,Mai::N,май,מאי
518,Juni::N,юнь,יוני
519,Juli::N,юль,יולי
520,August::N,август,אוגוסט
521,September::N,сентяб,ספטמבר
522,Oktober::N,октяб,אוקטובר
523,November::N,нояб,נובמבר
524,Dezember::N,декаб,דצמבר
525,Montag::N,вильлун,יום שני
526,Dienstag::N,мӧдӧдзлун,יום שלישי
527,Mittwoch::N,шӧрлун,יום רביעי
528,Donnerstag::N,нёльӧдзлун,יום חמישי
529,Freitag::N,витӧдзлун,יום ששי
530,Samstag::N,пывсянлун,יום שבת
531,Sonntag::N,кресення,יום ראשון
532,groß::A,ыджыт,גדול
533,klein::A,учӧтик,קטן
534,lang::A,кузь,ארך
535,kurz::A,дженыт,קצר
536,breit::A,ота,רחב
537,schmal::A,векнит,צר
538,dicht::A,тшӧк,צפוף
539,dick[Gegenstand]::A,кыз,עבה
540,dünn::A,вӧснит,דק
541,fein::A,вӧснит,מעדן
542,fest::A,крепыт,מוצק
543,flach::A,лапкӧса,שטוח
544,glatt::A,волькыт,חלק
545,hart::A,чӧрыт,קשיח
546,weich::A,небыт,רך
547,rund::A,гӧгрӧса,עגל
548,spitz::A,ёся,חד
549,scharf::A,лэчыт,חד
550,stumpf::A,ныж,קהה
551,schwer::A,сьӧкыт,כבד
552,schön::A,басӧк,יפה
553,heiß::A,жар,חם
554,warm::A,шоныт,חם
555,kalt::A,кӧдзыт,קר
556,kühl::A,сайкыт,צונן
557,frisch::A,виль,טרי
558,feucht::A,вакодь,לח
559,nass::A,ва,רטוב
560,trocken::A,кӧс,יבש
561,voll::A,тыра,מלא
562,leer::A,тыртӧм,ריק
563,offen::A,оссьӧм,פתוח
564,geschlossen::A,игана,סגור
565,geschlossen::A,пӧдана,סגור
566,sauber::A,сӧдз,נקי
567,sauber::A,сӧстӧм,נקי
568,schmutzig::A,нятьӧсь,מלכלך
569,roh::A,путӧм,חי
570,reif::A,кисьмалӧм,בשל
571,lecker::A,кӧра ,טעים
572,süß::A,чӧскыт,מתוק
573,bitter::A,курыт,מר
574,sauer::A,шӧма ,חמוץ
575,hell::A,югыт,בהיר
576,dunkel::A,пемыт,עמום
577,schwarz::A,сьӧд,שחר
578,weiß::A,чочком,לבן
579,rot::A,гӧрд,אדם
580,gelb::A,веж,צהב
581,blau::A,лӧз,כחל
582,grün::A,веж,ירק
583,grau::A,руд,אפר
584,grau::A,бусӧй,אפר
585,bunt::A,быдрӧма,צבעוני
586,billig::A,донтӧм,זול
587,teuer::A,дона,יקר
588,wertvoll::A,дона,יקר ערך
589,blind::A,синтӧм,עור
590,taub::A,пельтӧм,חרש
591,kräftig::A,вына,חסן
592,stark::A,вына,חזק
593,schwach::A,некодя,חלש
594,fett::A,госа,שמן
595,schlank::A,статя,רזה
596,hübsch::A,басӧк,יפה תאר
597,böse::A,лёк,רשע
598,dumm::A,бӧбӧв,טפש
599,dumm::A,вежӧртӧм,טפש
600,faul::A,дыш,עצלן
601,fleißig::A,уджалicь,חרוץ
602,geizig::A,жикмӧра,קמצן
603,geizig::A,горшаліcь,קמצן
604,klug::A,авья,נבון
605,klug::A,авья,פקח
606,klug::A,вежӧра,נבון
607,klug::A,вежӧра,פקח
608,geschickt::A,кипода,מימן
609,lieb::A,муса,יקר
610,lieb::A,муса,אהוב
611,lieb::A,дзулиньӧй,יקר
612,lieb::A,дзулиньӧй,אהוב
613,lustig::A,гажа,עליז
614,sanft::A,лебезнӧй,עדין
615,hungrig::A,тшыг,רעב
616,krank::A,шогалiсь,חולה
617,nackt::A,куш,ערום
618,traurig::A,жугыль,עצוב
619,lebendig::A,ловья,חי
620,gut::A,бур,טוב
621,schlecht::A,умӧль,גרוע
622,schlimm::A,нештӧм,רע
623,alt::A,важ,ישן
624,neu::A,виль,חדש
625,ehemalig::A,вӧвлӧм,לשעבר
626,alt[Lebewesen]::A,года,זקן
627,alt[Lebewesen]::A,годдэза,זקן
628,jung::A,том,צעיר
629,arm::A,гов,עני
630,arm::A,беднӧй,עני
631,reich::A,эма,עשיר
632,bekannt::A,тӧдса,ידוע
633,fremd::A,чужӧй,זר
634,verschieden::A,быдкодь,שונה
635,nah::A,матiсь,קרוב
636,fern::A,ылicь,רחוק
637,linker::A,шульга,שמאלי
638,rechter::A,веськытланись,ימין
639,anderer::A,мукӧд,אחר
640,erster::A,медодзза,ראשון
641,zweiter::A,кыкӧт,שני
642,dritter::A,куимӧт,שלישי
643,dritter::A,куимӧдз,שלישי
644,letzter::A,бӧрья,אחרון
645,letzter::A,мёдбӧрья,אחרון
646,auf einmal::ADV,тшӧтш,בו-זמנית
647,zusammen::ADV,ӧтлаын,ביחד
648,lange::ADV,дыр,הרבה זמן
649,plötzlich::ADV,друг,לפתע
650,plötzlich::ADV,друг,פתאום
651,sofort::ADV,тшӧтш,מיד
652,später::ADV,медбӧрын,לאחר זמן
653,später::ADV,медбӧрын,יותר מאחר
654,jetzt::ADV,ӧні,עכשיו
655,heute::ADV,талун,היום
656,morgen::ADV,ашын,מחר
657,bald::ADV,чожа,בקרוב
658,dann::ADV,сыбӧрын,אחר-כך
659,gestern::ADV,тӧн,אתמול
660,einst::ADV,ӧтпыр,לפנים
661,damals::ADV,сэк,אז
662,damals::ADV,сэки,אז
663,danach::ADV,сэсся,אחר-כך
664,vorher::ADV,одзжык,לפני זה
665,zuerst::ADV,наперво,קדם
666,einmal::ADV,ӧтпыр,פעם
667,manchmal::ADV,мукӧдпыр,לפעמים
668,oft::ADV,-лы-,לעתים קרובות
669,immer::ADV,быдпыр,תמיד
670,immer::ADV,быдпырся,תמיד
671,niemals::ADV,некӧр,אף פעם
672,hier::ADV,татӧн,כאן
673,hierhin::ADV,татчӧ,פה
674,von hier::ADV,тасянь,מפה
675,dort::ADV,сэтӧн,שם
676,dorthin::ADV,сэтчин,שם
677,geradeaus::ADV,веськыта,ישר
678,vorwärts::ADV,одзӧ,קדימה
679,rückwärts::ADV,бӧр,לאחור
680,zurück::ADV,бӧр,בחזרה
681,zurück::ADV,бӧр,אחורנית
682,unten::ADV,увтын,למטה
683,hinab::ADV,увтас,למטה
684,oben::ADV,вевдӧрас,מעל
685,oben::ADV,вевдӧрас,למעלה
686,hinauf::ADV,вывлань,למעלה
687,hinauf::ADV,вывланьӧ,למעלה
688,überall::ADV,быдлан,בכל מקום
689,nicht::ADV,ог,לא
690,ein wenig::ADV,-ышт,קצת
691,ein wenig::ADV,невна,קצת
692,kaum::ADV,ӧдва,בקשי
693,sehr::ADV,вывтi,מאוד
694,so::ADV,сiдз,כך
695,so::ADV,сiдз,ככה
696,noch::ADV,эшӧ,עוד
697,noch::ADV,эшӧ,עדין
698,nur::ADV,только,רק
699,schon::ADV,ни,כבר
700,wieder::ADV,бӧра,שוב
701,vergebens::ADV,весись,לריק
702,vergebens::ADV,весись,לשוא
703,vor::PRP,одзас,מול
704,hinter::PRP,бӧрӧ,מאחורי
705,unter::PRP,увтын,מתחת
706,durch::PRP,пыр,דרך
707,neben::PRP,бокам,ליד
708,neben::PRP,бокам,על-יד
709,neben::PRP,боксиным,ליד
710,neben::PRP,боксиным,על-יד
711,zwischen::PRP,коласас,בין
712,wegen::PRP,понда,בשל
713,wegen::PRP,понда,בגלל
714,dies::PRN,эта,זה
715,das::PRN,сiя,זה
716,alles::PRN,быдӧс,הכל
717,ich::PRN,ме,אני
718,du::PRN,тэ,את
719,du::PRN,тэ,אתה
720,er::PRN,сiя,הוא
721,wir::PRN,мийӧ,אנחנו
722,ihr::PRN,ті,לה
723,sie::PRN,нія,הם
724,was::FPRN,мый,מה
725,wer::FPRN,кин,מי
726,wo::FADV,кытӧн,איפה
727,wohin::FADV,кытчӧ,לאן
728,wie::FADV,дзик,איך
729,warum::FADV,мыля,למה
730,warum::FADV,мыйсянь,למה
731,wieviel::FNUM,мымда,כמה
732,eins::NUM,ӧт,אחד
733,zwei::NUM,кык,שתים
734,drei::NUM,куим,שלושה
735,vier::NUM,нёль,ארבעה
736,fünf::NUM,вит,חמשה
737,sechs::NUM,квать,ששה
738,sieben::NUM,сизим,שבעה
739,acht::NUM,кыкьямыс,שמונה
740,neun::NUM,ӧкмыс,תשעה
741,zehn::NUM,дас,עשרה
742,elf::NUM,дасотік,אחת עשרה
743,zwölf::NUM,даскык,שתים עשרה
744,zwanzig::NUM,кыкдас,עשרים
745,dreißig::NUM,куимдас,שלושים
746,vierzig::NUM,нёльдас,ארבעים
747,fünfzig::NUM,витдас,חמשים
748,sechzig::NUM,кватьдас,ששים
749,siebzig::NUM,сизимдас,שבעים
750,achtzig::NUM,кыкьямысдас,שמונים
751,neunzig::NUM,ӧкмысдас,תשעים
752,hundert::NUM,сто,מאה
753,tausend::NUM,тысяча,אלף
754,und::CNJ,и,ו
755,und::CNJ,да,ו
756,oder::CNJ,или,או
757,stehen::V,сулавны,עמד
758,sitzen::V,пукавны,ישב
759,liegen::V,куйлыны,שכב
760,hängen::V,ӧшавны,היה תלוי
761,werden::V,лоны,הפך ל
762,passieren::V,аркмыны,קרה
763,beginnen::V,петны,התחיל
764,enden::V,-сь,הסתים
765,enden::V,бырны,הסתים
766,wechseln::V,вежсьыны,השתנה
767,aufgehen[Sonne]::V,петавны,זרח
768,untergehen[Sonne]::V,пуксьыны,שקע
769,scheinen[Sonne]::V,югьявны,בהק
770,donnern::V,гымавны,רעם
771,wehen::V,пӧлявны,נשב
772,strömen::V,киссьыны,זרם
773,fließen::V,визывтны,זרם
774,sich drehen::V,бергавны,הסתובב
775,schwanken::V,кӧвьясьны,התנודד
776,schwingen::V,дюттясьны,התנענע
777,fallen::V,усьны,נפל
778,brennen::V,сотчыны,בער
779,rauchen::V,тшынасьны,עשן
780,regnen::V,зэрны,ירד גשם
781,gefrieren::V,гегдыны,קפא
782,tauen::V,сывны,נמס
783,schmelzen::V,сывны,התיך
784,trocknen::V,косьмыны,התיבש
