,Concept_ID,kv,uk
106,Küste::N,берег,узбережжя
107,Festland::N,му,суша
108,Meer::N,море,море
109,Bucht::N,курья,бухта
110,Bucht::N,курья,затока
111,Blume::N,цветок,квітка
112,Gras::N,турун,трава
113,Wurzel::N,вуж,корінь
114,Baum::N,пу,дерево
115,Stamm::N,мыр,стовбур
116,Stamm::N,кер,стовбур
117,Rinde::N,кач,кора
118,Ast::N,ув,гілка
119,Zweig::N,ув,галузь
120,Blatt::N,лист,лист
121,Birke::N,кыдз,береза
122,Kiefer[Baum]::N,пожум,сосна
123,Weide[Baum]::N,бадь,верба
124,Tanne::N,кӧз,ялиця
125,Horn::N,сюр,ріг
126,Feder::N,гӧн,перо
127,Fell::N,кучик,хутро
128,Flügel::N,борд,крило
129,Klaue::N,гыж,кіготь
130,Kralle::N,кабыр,лапа
131,Schwanz::N,бӧж,хвіст
132,Ei::N,кольть,яйце
133,Nest::N,поз,гніздо
134,Bau::N,осьта,лігво
135,Bau::N,нора,лігво
136,Tier::N,зверь,тварина
137,Herde::N,гурт,стадо
138,Kuh::N,мӧс,корова
139,Bulle::N,ӧшка,бик
140,Bulle::N,ӧшка,бугай
141,Pferd::N,вӧв,кінь
142,Schaf::N,баля,вівця
143,Schwein::N,порсь,свиня
144,Hund::N,пон,собака
145,Katze::N,кань,кішка
146,Bär::N,ош,ведмідь
147,Eichhörnchen::N,ур,білка
148,Elch::N,вӧр мӧс,лось
149,Fuchs::N,руч,лисиця
150,Hase::N,кӧч,заєць
151,Maus::N,шыр,миша
152,Wolf::N,кӧин,вовк
153,Vogel::N,кай,птах
154,Schwarm::N,стая,зграя
155,Schwarm::N,чукӧр,зграя
156,Huhn::N,курӧг,курка
157,Hahn::N,петух,півень
158,Hahn::N,ай курӧг,півень
159,Gans::N,дзодзог,гуска
160,Adler::N,куч,орел
161,Adler::N,кутш,орел
162,Ente::N,утка,качка
163,Eule::N,тупка,сова
164,Kranich::N,тури,журавель
165,Krähe::N,рака,ворона
166,Kuckuck::N,кӧк,зозуля
167,Schwan::N,юсь,лебідь
168,Fisch::N,чери,риба
169,Barsch::N,ёкыш,окунь
170,Hecht::N,сирпинь,щука
171,Schlange[Tier]::N,змей,змія
172,Wurm::N,номыр,черв’як
173,Spinne::N,черань,павук
174,Ameise::N,кӧдзывкар,мурашка
175,Laus::N,ляпа той,воша
176,Mücke::N,ном,комар
177,Fliege::N,гут,муха
178,Schmetterling::N,бабыв,метелик
179,Beere::N,ягӧд,ягода
180,Apfel::N,яблоко,яблуко
181,Pilz::N,тшак,гриб
182,Zwiebel::N,грез,цибуля
183,Saat::N,кӧдзыс,сім’я
184,Korn::N,сю,зерно
185,Heu::N,турун,сіно
186,Schale::N,кыш,шкірка
187,Schale::N,киль,шкірка
188,Grube::N,яма,яма
189,Falle::N,нальк,пастка
190,Falle::N,кляпча,пастка
191,Schlinge::N,лӧч,петля
192,Spur::N,туй,слід
193,Asche::N,пӧим,зола
194,Asche::N,пӧим,попіл
195,Dreck::N,нять,бруд
196,Eisen::N,кӧрт,залізо
197,Gold::N,зарни,золото
198,Silber::N,язісь,срібло
199,Kohle::N,шом,вугілля
200,Kohle::N,уголь,вугілля
201,Glas::N,стекло,скло
202,Lehm::N,сёй,глина
203,Sand::N,лыа,пісок
204,Mensch::N,морт,людина
205,Mann::N,мужик,чоловік
206,Frau::N,инька,жінка
207,Kind::N,кага,дитина
208,Junge::N,зонка,хлопець
209,Mädchen::N,нывкаок,дівчина
210,Familie::N,семья,сім’я
211,Familie::N,семья,родина
212,Großvater::N,дед,дідусь
213,Großmutter::N,баб,бабуся
214,Eltern::N,ай-мам,батьки
215,Vater::N,ай,батько
216,Mutter::N,мам,мати
217,Sohn::N,зон,син
218,Tochter::N,ныв,дочка
219,Bruder::N,вон,брат
220,Schwester::N,сой,сестра
221,Onkel::N,дядь,дядько
222,Tante::N,айӧлӧн сой,тітка
223,Tante::N,ичинь,тітка
224,Ehemann::N,жӧник,чоловік
225,Ehefrau::N,инь,жінка
226,Ehefrau::N,инь,дружина
227,Freude::N,гаж,радощі
228,Freude::N,радъялӧм,радощі
229,Gelächter::N,сералӧм,сміх
230,Glück::N,мичлун,щастя
231,Kummer::N,шог,горе
232,Wunsch::N,мӧдӧм,бажання
233,Wunsch::N,охотитӧм,бажання
234,Lust::N,охота,бажання
235,Geist::N,лов,дух
236,Gedanke::N,дума,думка
237,Gedächtnis::N,тӧдвыв,пам’ять
238,Verstand::N,вежӧр,розум
239,Sinn::N,ылӧс,зміст
240,Sinn::N,ылӧс,значення
241,Grund::N,мог,причина
242,Wahrheit::N,правда,правда
243,Gespräch::N,сёрни,розмова
244,Märchen::N,сказка,байка
245,Erzählung::N,висьт,повість
246,Erzählung::N,висьт,оповідання
247,Nachricht::N,юӧр,повідомлення
248,Nachricht::N,висьталӧм,повідомлення
249,Neuigkeit::N,новость,новина
250,Name::N,ним,ім’я
251,Rätsel::N,загадка,загадка
252,Rede::N,сёрни,промова
253,Sprache::N,кыв,мова
254,Stimme::N,голос,голос
255,Wort::N,кыв,слово
256,Zeichen::N,пас,знак
257,Ruf::N,чуксӧм,оклик
258,Ruf::N,чукӧстӧм,оклик
259,Lärm::N,шум,шум
260,Laut::N,шы,звук
261,Ton::N,гор,тон
262,Lied::N,сьыланкыв,пісня
263,Ruhe::N,спокой,спокій
264,Leute::N,йӧз,люди
265,Volk::N,йӧз,народ
266,Volk::N,народ,народ
267,Arbeit::N,удж,робота
268,Gast::N,гӧсь,гість
269,Geschenk::N,гӧснеч,подарунок
270,Geschenk::N,подарок,подарунок
271,Spiel::N,орсӧм,гра
272,Gesellschaft::N,компания,товариство
273,Hilfe::N,отсӧт,допомога
274,Freund::N,модз,друг
275,Freund::N,модз,приятель
276,Freund::N,дружок,друг
277,Freund::N,дружок,приятель
278,Kamerad::N,тӧдса,товариш
279,Angelegenheit::N,дело,справа
280,Anzahl::N,лыд,число
281,Art::N,пӧлӧс,рід
282,Stück::N,тор,кусок
283,Teil::N,юкӧм,частина
284,Hälfte::N,джын,половина
285,Kreis::N,круг,круг
286,Kreis::N,круг,коло
287,Kreuz::N,перна,хрест
288,Linie::N,визь,лінія
289,Strich::N,кырӧв,штрих
290,Abstand::N,колас,проміжок
291,Entfernung::N,ылына,відстань
292,Gegend::N,места,місцевість
293,Platz::N,места,площа
294,Ort::N,места,місце
295,Seite::N,ладор,сторона
296,Mitte::N,шӧр,середина
297,Gegenstand::N,тор,предмет
298,Sache::N,тор,річ
299,Rand::N,дор,край
300,Kante::N,ордлы,ребро
301,Ecke::N,пельӧс,ріг
302,Spitze::N,йыв,кінчик
303,Ende::N,йыв,кінець
304,Loch::N,осьта,діра
305,Winkel::N,пельӧс,куток
306,Muster::N,сер,узор
307,Größe::N,ыжда,розмір
308,Länge::N,кузя,довжина
309,Höhe::N,сувда,висота
310,Höhe::N,вылына,висота
311,Gewicht::N,сьӧкта,вага
312,Haufen::N,куча,купа
313,Reihe::N,лёдз,ряд
314,Boot::N,пыж,човен
315,Ruder::N,пелыс,весло
316,Schlitten::N,додь,сани
317,Ski::N,лямпа,лижа
318,Lagerfeuer::N,бипур,вогнище
319,Last::N,тягота,тягар
320,Last::N,тягота,вантаж
321,Gang::N,мунӧм,хід
322,Schritt::N,вожмӧв,крок
323,Norden::N,ой,північ
324,Süden::N,лун,південь
325,Westen::N,рытвыв,захід
326,Osten::N,асыв,схід
327,Holz::N,пу,дрова
328,Brett::N,пӧв,дошка
329,Platte::N,плита,плита
330,Stütze::N,пика,підпірка
331,Stange::N,зор,жердина
332,Stange::N,потш,жердина
333,Stock::N,бедь,палиця
334,Stab::N,шест,палиця
335,Rohr::N,труба,труба
336,Haus::N,керку,дім
337,Haus::N,керку,хата
338,Heim::N,керку,житло
339,Ofen::N,пӧжавны,піч
340,Fußboden::N,джодж,підлога
341,Tisch::N,пызан,стіл
342,Stuhl::N,стул,стілець
343,Wiege::N,зыбка,колиска
344,Bett::N,кровать,ліжко
345,Bett::N,кровать,постіль
346,Regal::N,джадж,полиця
347,Kiste::N,ящик,ящик
348,Fenster::N,ӧшын,вікно
349,Tür::N,ыбӧс,двері
350,Tor::N,ворота,ворота
351,Zaun::N,забор,паркан
352,Zaun::N,забор,огорожа
353,Dach::N,крыша,дах
354,Leiter::N,лиснич,драбина
355,Besen::N,рос,мітла
356,Spaten::N,зыр,заступ
357,Schaufel::N,зыр,совок
358,Schaufel::N,зыр,лопата
359,Gabel::N,вила,виделка
360,Löffel::N,пань,ложка
361,Messer::N,пурт,ніж
362,Nagel::N,кӧрттув,цвях
363,Netz::N,кыйӧт,сіть
364,Haken::N,ем,крюк
365,Griff::N,пу,ручка
366,Griff::N,пу,держак
367,Schloss::N,замок,замок
368,Bild::N,картина,картина
369,Figur::N,мыгӧр,фігура
370,Puppe::N,акань,лялька
371,Beutel::N,мешӧк,мішечок
372,Beutel::N,мешӧк,торбинка
373,Bündel::N,нин,в’язка
374,Tasche::N,сумка,сумка
375,Eimer::N,ведра,відро
376,Deckel::N,вевт,кришка
377,Geschirr::N,доз,посуд
378,Geschirr::N,бекӧрпань,посуд
379,Sack::N,мешӧк,мішок
380,Tasse::N,бекӧр,чашка
381,Topf::N,кастрюля,горщик
382,Kessel::N,пӧрт,котел
383,Essen::N,сёйӧм,їжа
384,Nahrung::N,вердан,харч
385,Speise::N,сёян,страва
386,Fleisch::N,яй,м’ясо
387,Getreide::N,сю,хліб
388,Getreide::N,сю,збіжжя
389,Brei::N,каша,каша
390,Brot::N,нянь,хліб
391,Scheibe::N,шӧрӧм,скибочка
392,Fett::N,гос,жир
393,Butter::N,ви,масло
394,Öl::N,ви,олія
395,Salz::N,сов,сіль
396,Suppe::N,шыд,суп
397,Honig::N,ма,мед
398,Milch::N,йӧв,молоко
399,Tee::N,чай,чай
400,Leder::N,кучик,шкіра
401,Wolle::N,гӧн,шерсть
402,Stoff::N,дӧра,тканина
403,Nadel::N,ем,голка
404,Faden::N,сунис,нитка
405,Knopf::N,кизь,ґудзик
406,Knoten::N,узӧв,вузол
407,Knoten::N,гӧрӧд,вузол
408,Farbe::N,краска,фарба
409,Kleidung::N,паськӧм,одяг
410,Kleidung::N,паськӧм,убрання
411,Hemd::N,йӧрнӧс,сорочка
412,Kragen::N,воротник,комір
413,Ärmel::N,сос,рукав
414,Hose::N,вешьян,брюки
415,Gürtel::N,йи,пояс
416,Mütze::N,шапка,шапка
417,Schuh::N,ботинки,ботинок
418,Stiefel::N,сапог,чобіт
419,Ring::N,чунькытш,кільце
420,Band::N,ленточка,стрічка
421,Kamm::N,сынан,гребінець
422,Spiegel::N,зеркало,дзеркало
423,Riemen::N,ремень,ремінь
424,Schnur::N,гез,вірьовка
425,Leine::N,повод,шворка
426,Decke::N,одеяло,ковдра
427,Kissen::N,подушка,подушка
428,Tuch::N,чышьян,хустка
429,Handtuch::N,чышкӧт,рушник
430,Kraft::N,прак,сила
431,Stärke::N,вын,сила
432,Gesundheit::N,здоровье,здоров’я
433,Krankheit::N,шог,хвороба
434,Schmerz::N,зубыт,біль
435,Wunde::N,рана,рана
436,Fieber::N,лёк тресся,гарячка
437,Fieber::N,кынтан шогӧт,гарячка
438,Arznei::N,лекарство,ліки
439,Brücke::N,пос,міст
440,Brunnen::N,колодец ,колодязь
441,Weide::N,пода йирсян,пасовище
442,Pfad::N,туй,стежка
443,Weg::N,туй,шлях
444,Weg::N,туй,дорога
445,Straße::N,туй,вулиця
446,Dorf::N,деревня,село
447,Stadt::N,город,місто
448,Brief::N,гижӧт,лист
449,Buch::N,книга,книга
450,Buch::N,книга,книжка
451,Buchstabe::N,буква,буква
452,Buchstabe::N,буква,літера
453,Zeitung::N,газета,газета
454,Leben::N,олан,життя
455,Tod::N,кулӧм,смерть
456,Grab::N,гу,могила
457,Kirche::N,вичку,церква
458,Sünde::N,грек,гріх
459,Gott::N,ен,бог
460,Arbeiter::N,уджалiсь,робітник
461,Chef::N,начальник,хазяїн
462,Meister::N,мастер,умілець
463,Arzt::N,врач,лікар
464,Lehrer::N,велӧтісь,вчитель
465,Geld::N,деньга,гроші
466,Geschäft::N,удж,заняття
467,Laden::N,магазин,магазин
468,Laden::N,магазин,крамниця
469,Preis::N,дон,ціна
470,Ware::N,товар,товар
471,Nutzen::N,путь,вигода
472,Nutzen::N,путь,користь
473,Reichtum::N,богатство,багатство
474,Welt::N,му,світ
475,Land::N,страна,країна
476,Staat::N,государство,держава
477,König::N,кан,король
478,Macht::N,власть,влада
479,Grenze::N,граница,кордон
480,Krieg::N,война,війна
481,Feind::N,враг,ворог
482,Kampf::N,нярасьӧм,бій
483,Kampf::N,нярасьӧм,боротьба
484,Kampf::N,вермасьӧм,бій
485,Kampf::N,вермасьӧм,боротьба
486,Bogen[Waffe]::N,лук,лук
487,Pfeil::N,ньӧв,стріла
488,Gewehr::N,ружьё,рушниця
489,Gewehr::N,ружьё,гвинтівка
490,Fehler::N,ошибка,помилка
491,Lüge::N,ылӧтӧм,брехня
492,Lüge::N,пӧрьялӧм,брехня
493,Schaden::N,лёк,шкода
494,Schaden::N,лёк,збиток
495,Unglück::N,пик,нещастя
496,Unglück::N,оказзё,нещастя
497,Schuld::N,вина,провина
498,Schluss::N,ком,кінець
499,Zeit::N,кад,час
500,Tag::N,лун,день
501,Morgen::N,асыв,ранок
502,Mittag::N,луншӧр кад,південь
503,Abend::N,рыт,вечір
504,Nacht::N,ой,ніч
505,Woche::N,неделя,тиждень
506,Monat::N,тӧлicь,місяць
507,Jahr::N,год,рік
508,Frühling::N,тулыс,весна
509,Sommer::N,гожум,літо
510,Herbst::N,ар,осінь
511,Winter::N,тӧв,зима
512,Januar::N,январ,січень
513,Februar::N,февраль,лютий
514,März::N,март,березень
515,April::N,апрель,квітень
516,Mai::N,май,травень
517,Juni::N,юнь,червень
518,Juli::N,юль,липень
519,August::N,август,серпень
520,September::N,сентяб,вересень
521,Oktober::N,октяб,жовтень
522,November::N,нояб,листопад
523,Dezember::N,декаб,грудень
524,Montag::N,вильлун,понеділок
525,Dienstag::N,мӧдӧдзлун,вівторок
526,Mittwoch::N,шӧрлун,середа
527,Donnerstag::N,нёльӧдзлун,четвер
528,Freitag::N,витӧдзлун,п’ятниця
529,Samstag::N,пывсянлун,субота
530,Sonntag::N,кресення,неділя
531,groß::A,ыджыт,великий
532,klein::A,учӧтик,малий
533,klein::A,учӧтик,маленький
534,lang::A,кузь,довгий
535,kurz::A,дженыт,короткий
536,breit::A,ота,широкий
537,schmal::A,векнит,вузький
538,dicht::A,тшӧк,густий
539,dick[Gegenstand]::A,кыз,товстий
540,dünn::A,вӧснит,тонкий
541,fein::A,вӧснит,дрібний
542,fest::A,крепыт,міцний
543,flach::A,лапкӧса,плоский
544,glatt::A,волькыт,рівний
545,glatt::A,волькыт,гладенький
546,hart::A,чӧрыт,твердий
547,weich::A,небыт,м’який
548,rund::A,гӧгрӧса,круглий
549,spitz::A,ёся,гострокінцевий
550,scharf::A,лэчыт,гострий
551,stumpf::A,ныж,тупий
552,schwer::A,сьӧкыт,важкий
553,schön::A,басӧк,вродливий
554,heiß::A,жар,жаркий
555,heiß::A,жар,гарячий
556,warm::A,шоныт,теплий
557,kalt::A,кӧдзыт,холодний
558,kühl::A,сайкыт,прохолодний
559,frisch::A,виль,свіжий
560,feucht::A,вакодь,вогкий
561,nass::A,ва,мокрий
562,trocken::A,кӧс,сухий
563,voll::A,тыра,повний
564,leer::A,тыртӧм,пустий
565,offen::A,оссьӧм,відкритий
566,geschlossen::A,игана,закритий
567,geschlossen::A,игана,зачинений
568,geschlossen::A,пӧдана,закритий
569,geschlossen::A,пӧдана,зачинений
570,sauber::A,сӧдз,чистий
571,sauber::A,сӧдз,охайний
572,sauber::A,сӧстӧм,чистий
573,sauber::A,сӧстӧм,охайний
574,schmutzig::A,нятьӧсь,брудний
575,roh::A,путӧм,сирий
576,reif::A,кисьмалӧм,зрілий
577,lecker::A,кӧра ,смачний
578,süß::A,чӧскыт,солодкий
579,bitter::A,курыт,гіркий
580,sauer::A,шӧма ,кислий
581,hell::A,югыт,світлий
582,dunkel::A,пемыт,темний
583,schwarz::A,сьӧд,чорний
584,weiß::A,чочком,сивий
585,rot::A,гӧрд,червоний
586,gelb::A,веж,жовтий
587,blau::A,лӧз,синій
588,grün::A,веж,зелений
589,grau::A,руд,сірий
590,grau::A,бусӧй,сірий
591,bunt::A,быдрӧма,барвистий
592,billig::A,донтӧм,дешевий
593,teuer::A,дона,дорогий
594,wertvoll::A,дона,цінний
595,blind::A,синтӧм,сліпий
596,taub::A,пельтӧм,глухий
597,kräftig::A,вына,могутній
598,stark::A,вына,сильний
599,schwach::A,некодя,слабкий
600,fett::A,госа,жирний
601,fett::A,госа,товстий
602,schlank::A,статя,тонкий
603,schlank::A,статя,стрункий
604,hübsch::A,басӧк,чарівний
605,böse::A,лёк,злий
606,böse::A,лёк,лихий
607,dumm::A,бӧбӧв,дурний
608,dumm::A,вежӧртӧм,дурний
609,faul::A,дыш,ледачий
610,fleißig::A,уджалicь,старанний
611,geizig::A,жикмӧра,скупий
612,geizig::A,горшаліcь,скупий
613,klug::A,авья,мудрий
614,klug::A,авья,розумний
615,klug::A,вежӧра,мудрий
616,klug::A,вежӧра,розумний
617,geschickt::A,кипода,умілий
618,lieb::A,муса,милий
619,lieb::A,дзулиньӧй,милий
620,lustig::A,гажа,веселий
621,sanft::A,лебезнӧй,лагідний
622,hungrig::A,тшыг,голодний
623,krank::A,шогалiсь,слабий
624,nackt::A,куш,голий
625,traurig::A,жугыль,сумний
626,lebendig::A,ловья,живий
627,gut::A,бур,добрий
628,schlecht::A,умӧль,поганий
629,schlecht::A,умӧль,кепський
630,schlimm::A,нештӧм,бридкий
631,alt::A,важ,старий
632,neu::A,виль,новий
633,ehemalig::A,вӧвлӧм,колишній
634,alt[Lebewesen]::A,года,старий
635,alt[Lebewesen]::A,годдэза,старий
636,jung::A,том,молодий
637,arm::A,гов,бідний
638,arm::A,беднӧй,бідний
639,reich::A,эма,багатий
640,bekannt::A,тӧдса,знайомий
641,fremd::A,чужӧй,чужий
642,verschieden::A,быдкодь,різний
643,nah::A,матiсь,близький
644,fern::A,ылicь,далекий
645,linker::A,шульга,лівий
646,rechter::A,веськытланись,правий
647,anderer::A,мукӧд,інакший
648,erster::A,медодзза,перший
649,zweiter::A,кыкӧт,другий
650,dritter::A,куимӧт,третій
651,dritter::A,куимӧдз,третій
652,letzter::A,бӧрья,останній
653,letzter::A,мёдбӧрья,останній
654,auf einmal::ADV,тшӧтш,відразу
655,zusammen::ADV,ӧтлаын,разом
656,zusammen::ADV,ӧтлаын,спільно
657,lange::ADV,дыр,довго
658,plötzlich::ADV,друг,раптом
659,sofort::ADV,тшӧтш,зараз
660,später::ADV,медбӧрын,пізніше
661,jetzt::ADV,ӧні,тепер
662,heute::ADV,талун,сьогодні
663,morgen::ADV,ашын,завтра
664,bald::ADV,чожа,незабаром
665,dann::ADV,сыбӧрын,потім
666,gestern::ADV,тӧн,вчора
667,einst::ADV,ӧтпыр,колись
668,damals::ADV,сэк,тоді
669,damals::ADV,сэки,тоді
670,danach::ADV,сэсся,згодом
671,vorher::ADV,одзжык,раніше
672,zuerst::ADV,наперво,спершу
673,zuerst::ADV,наперво,спочатку
674,einmal::ADV,ӧтпыр,один раз
675,manchmal::ADV,мукӧдпыр,іноді
676,manchmal::ADV,мукӧдпыр,інколи
677,oft::ADV,-лы-,часто
678,immer::ADV,быдпыр,завжди
679,immer::ADV,быдпырся,завжди
680,niemals::ADV,некӧр,ніколи
681,hier::ADV,татӧн,тут
682,hierhin::ADV,татчӧ,сюди
683,von hier::ADV,тасянь,звідси
684,dort::ADV,сэтӧн,там
685,dorthin::ADV,сэтчин,туди
686,geradeaus::ADV,веськыта,прямо
687,vorwärts::ADV,одзӧ,вперед
688,rückwärts::ADV,бӧр,назад
689,zurück::ADV,бӧр,назад
690,unten::ADV,увтын,внизу
691,hinab::ADV,увтас,вниз
692,oben::ADV,вевдӧрас,вгорі
693,hinauf::ADV,вывлань,вгору
694,hinauf::ADV,вывланьӧ,вгору
695,überall::ADV,быдлан,скрізь
696,nicht::ADV,ог,не
697,ein wenig::ADV,-ышт,трохи
698,ein wenig::ADV,-ышт,небагато
699,ein wenig::ADV,невна,трохи
700,ein wenig::ADV,невна,небагато
701,kaum::ADV,ӧдва,ледве
702,sehr::ADV,вывтi,дуже
703,so::ADV,сiдз,так
704,noch::ADV,эшӧ,ще
705,nur::ADV,только,лише
706,nur::ADV,только,тільки
707,schon::ADV,ни,вже
708,wieder::ADV,бӧра,знову
709,vergebens::ADV,весись,дарма
710,vor::PRP,одзас,перед
711,hinter::PRP,бӧрӧ,ззаду
712,hinter::PRP,бӧрӧ,позаду
713,unter::PRP,увтын,під
714,durch::PRP,пыр,крізь
715,neben::PRP,бокам,біля
716,neben::PRP,боксиным,біля
717,zwischen::PRP,коласас,між
718,wegen::PRP,понда,з-за
719,wegen::PRP,понда,через
720,dies::PRN,эта,це
721,das::PRN,сiя,то
722,alles::PRN,быдӧс,все
723,ich::PRN,ме,я
724,du::PRN,тэ,ти
725,er::PRN,сiя,він
726,wir::PRN,мийӧ,ми
727,ihr::PRN,ті,ви
728,sie::PRN,нія,вони
729,was::FPRN,мый,що
730,wer::FPRN,кин,хто
731,wo::FADV,кытӧн,де
732,wohin::FADV,кытчӧ,куди
733,wie::FADV,дзик,як
734,warum::FADV,мыля,чому
735,warum::FADV,мыйсянь,чому
736,wieviel::FNUM,мымда,скільки
737,eins::NUM,ӧт,один
738,zwei::NUM,кык,два
739,drei::NUM,куим,три
740,vier::NUM,нёль,чотири
741,fünf::NUM,вит,п’ять
742,sechs::NUM,квать,шість
743,sieben::NUM,сизим,сім
744,acht::NUM,кыкьямыс,вісім
745,neun::NUM,ӧкмыс,дев’ять
746,zehn::NUM,дас,десять
747,elf::NUM,дасотік,одинадцять
748,zwölf::NUM,даскык,дванадцять
749,zwanzig::NUM,кыкдас,двадцять
750,dreißig::NUM,куимдас,тридцять
751,vierzig::NUM,нёльдас,сорок
752,fünfzig::NUM,витдас,п’ятдесят
753,sechzig::NUM,кватьдас,шістдесят
754,siebzig::NUM,сизимдас,сімдесят
755,achtzig::NUM,кыкьямысдас,вісімдесят
756,neunzig::NUM,ӧкмысдас,дев’яносто
757,hundert::NUM,сто,сто
758,tausend::NUM,тысяча,тисяча
759,und::CNJ,и,і
760,und::CNJ,да,і
761,oder::CNJ,или,або
762,stehen::V,сулавны,стояти
763,sitzen::V,пукавны,сидіти
764,liegen::V,куйлыны,лежати
765,hängen::V,ӧшавны,висіти
766,werden::V,лоны,стати
767,werden::V,лоны,робитися
768,passieren::V,аркмыны,трапитися
769,beginnen::V,петны,початися
770,enden::V,-сь,кінчитися
771,enden::V,бырны,кінчитися
772,wechseln::V,вежсьыны,мінятися
773,aufgehen[Sonne]::V,петавны,зійти
774,untergehen[Sonne]::V,пуксьыны,зайти
775,scheinen[Sonne]::V,югьявны,світити
776,donnern::V,гымавны,гриміти
777,wehen::V,пӧлявны,віяти
778,strömen::V,киссьыны,литися
779,fließen::V,визывтны,текти
780,sich drehen::V,бергавны,обертатися
781,schwanken::V,кӧвьясьны,коливатися
782,schwingen::V,дюттясьны,хитатися
783,schwingen::V,дюттясьны,гойдатися
784,fallen::V,усьны,падати
785,brennen::V,сотчыны,горіти
786,rauchen::V,тшынасьны,диміти
787,regnen::V,зэрны,дощити
788,gefrieren::V,гегдыны,змерзнути
789,tauen::V,сывны,танути
790,schmelzen::V,сывны,плавитися
791,trocknen::V,косьмыны,сохнути
792,sieden::V,пизьны,кипіти
793,faulen::V,нёльзьыны,гнити
794,verfaulen::V,тӧрмыны,згнити
795,verfaulen::V,сiсьмыны,згнити
796,reißen::V,косясьны,рватися
797,versinken::V,вӧйны,тонути
798,vergehen::V,мунны,проходити
799,erscheinen::V,мыччисьны,з’явитися
800,verschwinden::V,ӧшны,щезнути
801,verschwinden::V,ӧшны,зникнути
802,sinken::V,ямны,спадати
803,abnehmen::V,ямны,поменшитися
804,zunehmen::V,паськавны,збільшуватися
805,steigen::V,лэбтiсьны,підніматися
