,Concept_ID,fr,ml
81,Nebel::N,brume,മൂടൽമഞ്ഞ്
82,Nebel::N,brouillard,മൂടൽമഞ്ഞ്
83,Wolke::N,nuage,മേഘം
84,Regen::N,pluie,മഴ
85,Schnee::N,neige,മഞ്ഞ്
86,Eis::N,glace,ഐസ്
87,Frost::N,gel,മൂടൽമഞ്ഞ്
88,Frost::N,gelée,മൂടൽമഞ്ഞ്
89,Kälte::N,froid,തണുപ്പ്
90,Hitze::N,chaleur,ചൂട്
91,Raureif::N,givre,കോടമഞ്ഞ്
92,Regenbogen::N,arc-en-ciel,മഴവില്ല്
93,Donner::N,tonnerre,ഇടി
94,Strömung::N,courant,പ്രവാഹം
95,Tropfen::N,goutte,തുള്ളി
96,Schaum::N,écume,നുര
97,Schaum::N,mousse,നുര
98,Schmutz::N,boue,അഴുക്ക്
99,Schmutz::N,saleté,അഴുക്ക്
100,See::N,lac,തടാകം
101,Sumpf::N,marais,ചതുപ്പുനിലം
102,Sumpf::N,marécage,ചതുപ്പുനിലം
103,Moor::N,tourbière,പാഴ്നിലം
104,Wiese::N,pré,പുൽത്തകിടി
105,Wald::N,bois,വനം
106,Wald::N,bois,കാട്
107,Wald::N,forêt,വനം
108,Wald::N,forêt,കാട്
109,Hügel::N,coteau,കുന്ന്
110,Hügel::N,colline,കുന്ന്
111,Anhöhe::N,éminence,ഉയർന്ന ഭൂമി
112,Anhöhe::N,élévation,ഉയർന്ന ഭൂമി
113,Berg::N,mont,പർവ്വതം
114,Berg::N,montagne,പർവ്വതം
115,Gipfel::N,cime,ഉച്ചകോടി
116,Gipfel::N,sommet,ഉച്ചകോടി
117,Höhle::N,caverne,ഗുഹ
118,Abhang::N,pente,ചരിവ്
119,Abhang::N,versant,ചരിവ്
120,Quelle::N,source,ഉറവിടം
121,Quelle::N,fontaine,ഉറവിടം
122,Bach::N,ruisseau,അരുവി
123,Fluss::N,fleuve,നദി
124,Fluss::N,rivière,നദി
125,Ufer::N,bord,തീരം
126,Ufer::N,rivage,തീരം
127,Küste::N,côte,കടൽത്തീരം
128,Festland::N,terre ferme,കര
129,Meer::N,mer,കടൽ
130,Bucht::N,baie,ഉൾക്കടല്
131,Insel::N,île,ദ്വീപ്
132,Blume::N,fleur,പൂവ്
133,Gras::N,herbe,പുല്ല്
134,Wurzel::N,racine,വേര്
135,Baum::N,arbre,മരം
136,Stamm::N,tronc,തായ്ത്തടി
137,Rinde::N,écorce,പട്ട
138,Ast::N,branche,ശാഖ
139,Zweig::N,rameau,ശാഖ
140,Blatt::N,feuille,ഇല
141,Birke::N,bouleau,പൂവരശ്
142,Kiefer[Baum]::N,pin,പൈൻമരം
143,Weide[Baum]::N,saule,വില്ലോ
144,Tanne::N,sapin,ദേവദാരു
145,Horn::N,corne,മൃഗത്തിൻറെ കൊമ്പ്
146,Feder::N,plume,തൂവൽ
147,Fell::N,peau,മൃദുരോമം
148,Flügel::N,aile,ചിറക്
149,Klaue::N,serre,നഖം
150,Kralle::N,ongle,നഖം
151,Kralle::N,griffe,നഖം
152,Schwanz::N,queue,വാൽ
153,Ei::N,œuf,മുട്ട
154,Nest::N,nid,കൂട്
155,Bau::N,terrier,മാളം
156,Tier::N,animal,മൃഗം
157,Herde::N,troupeau,കൂട്ടം
158,Kuh::N,vache,പശു
159,Bulle::N,taureau,കാള
160,Pferd::N,cheval,കുതിര
161,Schaf::N,mouton,ആട്
162,Schwein::N,porc,പന്നി
163,Schwein::N,cochon,പന്നി
164,Hund::N,chien,നായ്
165,Katze::N,chat,പൂച്ച
166,Bär::N,ours,കരടി
167,Eichhörnchen::N,écureuil,അണ്ണാൻ
168,Elch::N,élan,കടമാന്
169,Fuchs::N,renard,കുറുക്കൻ
170,Hase::N,lièvre,മുയൽ
171,Maus::N,souris,ചുണ്ടലി
172,Wolf::N,loup,ചെന്നായ
173,Vogel::N,oiseau,പക്ഷി
174,Schwarm::N,nuée,കൂട്ടം
175,Schwarm::N,volée,കൂട്ടം
176,Huhn::N,poule,കോഴി
177,Hahn::N,coq,പൂവൻകോഴി
178,Gans::N,oie,അരയന്നം
179,Adler::N,aigle,കഴുകൻ
180,Ente::N,canard,താറാവ്
181,Eule::N,hibou,മൂങ്ങ
182,Kranich::N,grue,കൊക്ക്
183,Krähe::N,corneille,കാക്ക
184,Kuckuck::N,coucou,കുയിൽ
185,Schwan::N,cygne,അരയന്നം
186,Fisch::N,poisson,മത്സ്യം
187,Barsch::N,perche,ഒരിനം മത്സ്യം
188,Hecht::N,brochet,ഒരു മത്സ്യം
189,Schlange[Tier]::N,serpent,പാമ്പ്
190,Wurm::N,ver,വിര
191,Spinne::N,araignée,ചിലന്തി
192,Ameise::N,fourmi,ഉറുമ്പ്
193,Laus::N,pou,പേന്
194,Mücke::N,moucheron,മശകം
195,Fliege::N,mouche,ഈച്ച
196,Schmetterling::N,papillon,ചിത്രശലഭം
197,Beere::N,baie,ബെറി
198,Apfel::N,pomme,ആപ്പിൾ
199,Pilz::N,champignon,കൂൺ
200,Zwiebel::N,oignon,സവാള
201,Saat::N,semence,വിത്ത്
202,Korn::N,grain,ധാന്യം
203,Heu::N,foin,വയ്ക്കോൽ
204,Schale::N,pelure,തൊലി
205,Grube::N,fosse,കുഴി
206,Falle::N,piège,കെണി
207,Schlinge::N,lacs,കുടുക്ക്
208,Spur::N,trace,ചുവട്
209,Asche::N,cendre,ചാരം
210,Dreck::N,crotte,അഴുക്ക്
211,Eisen::N,fer,ഇരുമ്പ്
212,Gold::N,or,സ്വർണ്ണം
213,Silber::N,argent,വെള്ളി
214,Kohle::N,charbon,കൽക്കരി
215,Glas::N,verre,ഗ്ലാസ്
216,Lehm::N,glaise,കളിമണ്ണ്
217,Sand::N,sable,മണൽ
218,Mensch::N,homme,മനുഷ്യർ
219,Mann::N,homme,പുരുഷൻ
220,Frau::N,femme,സ്ത്രീ
221,Kind::N,enfant,കുഞ്ഞ്
222,Junge::N,garçon,ആൺകുട്ടി
223,Mädchen::N,fille,പെൺകുട്ടി
224,Mädchen::N,jeune fille,പെൺകുട്ടി
225,Familie::N,famille,കുടുംബം
226,Großvater::N,grand-père,അപ്പൂപ്പൻ
227,Großmutter::N,grand-mère,അമ്മുമ്മ
228,Eltern::N,parents,മാതാപിതാക്കള്
229,Vater::N,père,അച്ഛൻ
230,Mutter::N,mère,അമ്മ
231,Sohn::N,fils,മകൻ
232,Tochter::N,fille,മകൾ
233,Bruder::N,frère,ചേട്ടൻ
234,Bruder::N,frère,അനിയൻ
235,Schwester::N,sœur,ചേച്ചി
236,Schwester::N,sœur,അനിയത്തി
237,Onkel::N,oncle,അമ്മാവൻ
238,Tante::N,tante,മാമി
239,Ehemann::N,mari,ഭർത്താവ്
240,Ehemann::N,époux,ഭർത്താവ്
241,Ehefrau::N,femme,ഭാര്യ
242,Ehefrau::N,épouse,ഭാര്യ
243,Freude::N,joie,ആഹ്ലാദം
244,Freude::N,plaisir,ആഹ്ലാദം
245,Gelächter::N,rires,ചിരിയുടെ ശബ്ദം
246,Glück::N,bonheur,സന്തോഷം
247,Glück::N,bonheur,സന്തുഷ്ടി
248,Kummer::N,peine,ശോകം
249,Kummer::N,chagrin,ശോകം
250,Wunsch::N,désir,ആഗ്രഹം
251,Lust::N,envie,ആഗ്രഹം
252,Geist::N,esprit,ചുറുചുറുക്ക്
253,Gedanke::N,idée,ചിന്ത
254,Gedanke::N,pensée,ചിന്ത
255,Gedächtnis::N,mémoire,ഓർമ്മശക്തി
256,Verstand::N,raison,മനസ്സ്
257,Sinn::N,sens,അർത്ഥം
258,Grund::N,cause,കാരണം
259,Grund::N,raison,കാരണം
260,Wahrheit::N,vérité,സത്യം
261,Gespräch::N,conversation,സല്ലാപം
262,Märchen::N,conte,യക്ഷിക്കഥ
263,Märchen::N,conte de fées,യക്ഷിക്കഥ
264,Erzählung::N,conte,കഥ
265,Erzählung::N,narration,കഥ
266,Nachricht::N,message,സന്ദേശം
267,Neuigkeit::N,nouvelle,വാർത്ത
268,Name::N,nom,പേര്
269,Rätsel::N,énigme,പ്രഹേളിക
270,Rätsel::N,devinette,പ്രഹേളിക
271,Rede::N,parole,സംസാരം
272,Rede::N,discours,സംസാരം
273,Sprache::N,langue,ഭാഷ
274,Sprache::N,langage,ഭാഷ
275,Stimme::N,voix,സ്വരം
276,Wort::N,mot,വാക്ക്
277,Zeichen::N,signe,സംജ്ഞ
278,Ruf::N,cri,വിളി
279,Ruf::N,appel,വിളി
280,Lärm::N,bruit,ആരവം
281,Laut::N,son,ശബ്ദം
282,Ton::N,ton,സ്വരഭേദം
283,Lied::N,chant,പാട്ട്
284,Lied::N,chanson,പാട്ട്
285,Ruhe::N,calme,നിശ്ചലത
286,Ruhe::N,tranquillité,നിശ്ചലത
287,Leute::N,gens,ജനങ്ങൾ
288,Volk::N,peuple,രാഷ്ടം
289,Arbeit::N,travail,ജോലി
290,Gast::N,hôte,അതിലി
291,Gast::N,invité,അതിലി
292,Geschenk::N,cadeau,സമ്മാനം
293,Geschenk::N,présent,സമ്മാനം
294,Spiel::N,jeu,കളി
295,Gesellschaft::N,compagnie,കൂട്ടായ്മ
296,Hilfe::N,aide,സഹായം
297,Hilfe::N,secours,സഹായം
298,Freund::N,ami,സുഹൃത്ത്
299,Kamerad::N,copain,കൂട്ടാളി
300,Kamerad::N,camarade,കൂട്ടാളി
301,Angelegenheit::N,affaire,കാര്യം
302,Anzahl::N,nombre,എണ്ണം
303,Art::N,sorte,തരം
304,Art::N,espèce,തരം
305,Stück::N,morceau,കഷണം
306,Teil::N,part,ഭാഗം
307,Teil::N,partie,ഭാഗം
308,Hälfte::N,moitié,പകുതി
309,Kreis::N,cercle,വൃത്തം
310,Kreuz::N,croix,കുരിശടയാളം
311,Linie::N,ligne,വര
312,Linie::N,ligne,രേഖ
313,Strich::N,trait,പക്ഷാഘാതം
314,Abstand::N,écart,വിടവ്
315,Entfernung::N,distance,അകലം
316,Gegend::N,région,പ്രദേശം
317,Gegend::N,contrée,പ്രദേശം
318,Platz::N,place,ഇടം
319,Ort::N,lieu,സ്ഥലം
320,Ort::N,endroit,സ്ഥലം
321,Seite::N,côté,വശം
322,Mitte::N,milieu,മധ്യസ്ഥാനം
323,Gegenstand::N,objet,സാധനം
324,Sache::N,chose,വസ്തു
325,Rand::N,bord,തൊങ്ങൽ
326,Kante::N,arête,അറ്റം
327,Ecke::N,coin,മൂല
328,Ecke::N,tournant,മൂല
329,Spitze::N,cime,അഗ്രം
330,Spitze::N,pointe,അഗ്രം
331,Ende::N,bout,അവസാനം
332,Loch::N,trou,ദ്വാരം
333,Winkel::N,coin,കോൺ
334,Winkel::N,réduit,കോൺ
335,Muster::N,dessin,ക്രമം
336,Größe::N,grandeur,വലുപ്പം
337,Länge::N,longueur,നീളം
338,Höhe::N,hauteur,ഉയരം
339,Höhe::N,altitude,ഉയരം
340,Gewicht::N,poids,കട്ടി
341,Menge::N,quantité,അളവ്
342,Haufen::N,tas,കൂമ്പാരം
343,Reihe::N,file,വരി
344,Reihe::N,rangée,വരി
345,Boot::N,canot,ബോട്ട്
346,Boot::N,bateau,ബോട്ട്
347,Ruder::N,rame,പങ്കായം
348,Ruder::N,aviron,പങ്കായം
349,Schlitten::N,traîneau,ഉരുളില്ലാവണ്ടി
350,Ski::N,ski,ഹിമപാദുകം
351,Lagerfeuer::N,feu de camp,തീ
352,Last::N,charge,ഭാരം
353,Last::N,fardeau,ഭാരം
354,Gang::N,tour,നടത്തം
355,Gang::N,marche,നടത്തം
356,Schritt::N,pas,ചുവട്
357,Norden::N,nord,വടക്ക്
358,Süden::N,sud,തെക്ക്
359,Westen::N,ouest,പടിഞ്ഞാറ്
360,Westen::N,occident,പടിഞ്ഞാറ്
361,Osten::N,est,കിഴക്ക്
362,Osten::N,orient,കിഴക്ക്
363,Holz::N,bois,തടി
364,Brett::N,planche,ബോർഡ്
365,Platte::N,plaque,തകിട്
366,Stütze::N,appui,താങ്ങ്
367,Stütze::N,soutien,താങ്ങ്
368,Stange::N,barre,കമ്പ്
369,Stange::N,perche,കമ്പ്
370,Stock::N,canne,വടി
371,Stab::N,bâton,കുറുവടി
372,Rohr::N,tube,കുഴൽ
373,Rohr::N,tuyau,കുഴൽ
374,Haus::N,maison,വീട്
375,Heim::N,maison,വീട്
376,Ofen::N,poêle,സ്റ്റൌ
377,Fußboden::N,plancher,തറ
378,Tisch::N,table,മേശ
379,Stuhl::N,chaise,കസേര
380,Wiege::N,berceau,തൊട്ടിൽ
381,Bett::N,lit,കിടക്ക
382,Regal::N,étagère,ഷെൽഫ്
383,Kiste::N,caisse,പെട്ടി
384,Fenster::N,fenêtre,ജനൽ
385,Tür::N,porte,വാതിൽ
386,Tor::N,porte,കവാടം
387,Tor::N,portail,കവാടം
388,Zaun::N,clôture,വേലി
389,Dach::N,toit,മേൽക്കുര
390,Leiter::N,échelle,ഏണി
391,Besen::N,balai,ചൂല്
392,Spaten::N,bêche,തൂമ്പ
393,Schaufel::N,pelle,തൂമ്പ
394,Gabel::N,fourchette,മുൾക്കത്തി
395,Löffel::N,cuiller,സ്പൂൺ
396,Messer::N,couteau,കത്തി
397,Nagel::N,clou,ആണി
398,Netz::N,filet,വല
399,Haken::N,croc,കൊളുത്ത്
400,Haken::N,crochet,കൊളുത്ത്
401,Griff::N,prise,കൈപ്പിടി
402,Griff::N,manche,കൈപ്പിടി
403,Schloss::N,serrure,പൂട്ട്
404,Bild::N,image,ചിത്രം
405,Bild::N,tableau,ചിത്രം
406,Figur::N,figure,കണക്ക്
407,Puppe::N,poupée,പാവ
408,Beutel::N,sac,ബാഗ്
409,Beutel::N,petit sac,ബാഗ്
410,Bündel::N,paquet,കെട്ട്
411,Bündel::N,faisceau,കെട്ട്
412,Tasche::N,sac,ബാഗ്
413,Eimer::N,seau,ബക്കറ്റ്
414,Deckel::N,couvercle,ഉറ
415,Geschirr::N,vaisselle,പിഞ്ഞാണം
416,Sack::N,sac,ചാക്ക്
417,Tasse::N,tasse,കപ്പ്
418,Topf::N,pot,പാത്രം
419,Topf::N,marmite,പാത്രം
420,Kessel::N,chaudron,കെറ്റ്ല്
421,Essen::N,repas,ആഹാരസമയം
422,Essen::N,manger,ആഹാരസമയം
423,Nahrung::N,nourriture,ഭക്ഷണം
424,Speise::N,plat,ഡിഷ്
425,Fleisch::N,viande,മാംസം
426,Getreide::N,blé,ചോളം
427,Getreide::N,céréales,ചോളം
428,Brei::N,purée,കഞ്ഞി
429,Brei::N,bouillie,കഞ്ഞി
430,Brot::N,pain,റോട്ടി
431,Scheibe::N,tranche,തുണ്ട്
432,Fett::N,graisse,കൊഴുപ്പ്
433,Butter::N,beurre,വെണ്ണ
434,Öl::N,huile,എണ്ണ
435,Salz::N,sel,ഉപ്പ്
436,Suppe::N,soupe,സൂപ്പ്
437,Suppe::N,potage,സൂപ്പ്
438,Honig::N,miel,തേൻ
439,Milch::N,lait,പാൽ
440,Tee::N,thé,ചായ
441,Leder::N,cuir,തുകൽ
442,Wolle::N,laine,കമ്പിളി
443,Stoff::N,tissu,തുണി
444,Stoff::N,étoffe,തുണി
445,Nadel::N,aiguille,സൂചി
446,Faden::N,fil,നൂല്
447,Knopf::N,bouton,ബട്ടൺ
448,Knoten::N,nœud,കുരുക്ക്
449,Farbe::N,peinture,പെയിൻറ്
450,Kleidung::N,vêtements,വസ്ത്രങ്ങൾ
451,Kleidung::N,habillement,വസ്ത്രങ്ങൾ
452,Hemd::N,chemise,ഷർട്ട്
453,Kragen::N,col,കുപ്പായക്കഴുത്ത്
454,Ärmel::N,manche,കുപ്പായക്കൈ
455,Hose::N,pantalon,ട്രൌസർ
456,Gürtel::N,ceinture,ബെൽറ്റ്
457,Mütze::N,bonnet,തൊപ്പി
458,Mütze::N,casquette,തൊപ്പി
459,Schuh::N,soulier,ഷൂ
460,Schuh::N,chaussure,ഷൂ
461,Stiefel::N,botte,ബൂട്ട്
462,Ring::N,bague,മോതിരം
463,Band::N,ruban,റിബൺ
464,Kamm::N,peigne,ചീപ്പ്
465,Spiegel::N,glace,കണ്ണാടി
466,Spiegel::N,miroir,കണ്ണാടി
467,Riemen::N,lanière,സ്ട്രാപ്പ്
468,Riemen::N,courroie,സ്ട്രാപ്പ്
469,Schnur::N,corde,ചരട്
470,Schnur::N,ficelle,ചരട്
471,Leine::N,laisse,കെട്ടാനുള്ള തോൽവാർ
472,Decke::N,couverture,പുതപ്പ്
473,Kissen::N,oreiller,തലയിണ
474,Tuch::N,drap,സ്കാർഫ്
475,Tuch::N,fichu,സ്കാർഫ്
476,Handtuch::N,serviette,തോർത്ത്
477,Handtuch::N,essuie-mains,തോർത്ത്
478,Kraft::N,force,ശക്തി
479,Stärke::N,vigueur,ശക്തി
480,Gesundheit::N,santé,ആരോഗ്യം
481,Krankheit::N,maladie,അസുഖം
482,Schmerz::N,douleur,വേദന
483,Wunde::N,plaie,മുറിവ്
484,Wunde::N,blessure,മുറിവ്
485,Fieber::N,fièvre,പനി
486,Arznei::N,remède,മരുന്ന്
487,Arznei::N,médecine,മരുന്ന്
488,Brücke::N,pont,പാലം
489,Brunnen::N,puits,കിണർ
490,Weide::N,pâturage,മേച്ചൽ
491,Pfad::N,sentier,വഴി
492,Weg::N,voie,വഴി
493,Weg::N,chemin,വഴി
494,Straße::N,route,റോഡ്
495,Dorf::N,village,ഗ്രാമം
496,Stadt::N,cité,നഗരം
497,Stadt::N,ville,നഗരം
498,Brief::N,lettre,കത്ത്
499,Buch::N,livre,പുസ്തകം
500,Buchstabe::N,lettre,അക്ഷരം
501,Buchstabe::N,caractère,അക്ഷരം
502,Zeitung::N,journal,വർത്തമാനപത്രം
503,Leben::N,vie,ജീവൻ
504,Tod::N,mort,മരണം
505,Grab::N,tombe,ശവക്കുഴി
506,Kirche::N,église,പള്ളി
507,Sünde::N,péché,പാപം
508,Gott::N,dieu,ദൈവം
509,Arbeiter::N,ouvrier,ജോലിക്കാരൻ
510,Arbeiter::N,travailleur,ജോലിക്കാരൻ
511,Chef::N,chef,മേധാവി
512,Chef::N,patron,മേധാവി
513,Meister::N,maître,യജമാനൻ
514,Arzt::N,médecin,ഡോക്ടർ
515,Lehrer::N,professeur,അധ്യാപകൻ
516,Lehrer::N,instituteur,അധ്യാപകൻ
517,Geld::N,argent,പണം
518,Geschäft::N,affaire,ബിസിനസ്
519,Geschäft::N,commerce,ബിസിനസ്
520,Laden::N,magasin,കട
521,Laden::N,boutique,കട
522,Preis::N,prix,വില
523,Ware::N,marchandise,ചരക്ക്
524,Nutzen::N,profit,ലാഭം
525,Reichtum::N,richesse,ധനം
526,Welt::N,monde,ലോകം
527,Land::N,pays,രാജ്യം
528,Staat::N,État,രാജ്യം
529,König::N,roi,രാജാവ്
530,Macht::N,pouvoir,അധികാരം
531,Macht::N,puissance,അധികാരം
532,Grenze::N,frontière,അതിർത്തി
533,Krieg::N,guerre,യുദ്ധം
534,Feind::N,ennemi,ശത്രു
535,Gewalt::N,violence,അക്രമം
536,Kampf::N,lutte,പോരാട്ടം
537,Kampf::N,combat,പോരാട്ടം
538,Bogen[Waffe]::N,arc,വില്ല്
539,Pfeil::N,flèche,അമ്പ്
540,Gewehr::N,fusil,തോക്ക്
541,Fehler::N,faute,പിശക്
542,Fehler::N,erreur,പിശക്
543,Lüge::N,mensonge,കള്ളം
544,Schaden::N,dégât,കേടുപാട്
545,Schaden::N,dommage,കേടുപാട്
546,Unglück::N,malheur,ദൌർഭാഗ്യം
547,Schuld::N,faute,തെറ്റ്
548,Schuld::N,culpabilité,തെറ്റ്
549,Alter::N,âge,വയസ്സ്
550,Schluss::N,fin,നിഗമനം
551,Zeit::N,temps,സമയം
552,Tag::N,jour,ദിവസം
553,Tag::N,journée,ദിവസം
554,Morgen::N,matin,പ്രഭാതം
555,Morgen::N,matinée,പ്രഭാതം
556,Mittag::N,midi,ഉച്ച
557,Abend::N,soir,സായാഹ്നം
558,Abend::N,soirée,സായാഹ്നം
559,Nacht::N,nuit,രാത്രി
560,Woche::N,semaine,ആഴ്ച
561,Monat::N,mois,മാസം
562,Jahr::N,an,വർഷം
563,Jahr::N,année,വർഷം
564,Frühling::N,printemps,വസന്തം
565,Sommer::N,été,വേനൽ
566,Herbst::N,automne,ശരത്കാലം
567,Winter::N,hiver,ശൈത്യം
568,Januar::N,janvier,ജനുവരി
569,Februar::N,février,ഫെബ്രുവരി
570,März::N,mars,മാർച്ച്
571,April::N,avril,ഏപ്രിൾ മാസം
572,Mai::N,mai,മെയ് മാസം
573,Juni::N,juin,ജൂൺ
574,Juli::N,juillet,ജൂലൈ
575,August::N,août,ആഗസ്റ്റ്
576,September::N,septembre,സെപ്തംബർ
577,Oktober::N,octobre,ഒക്ടോബർ
578,November::N,novembre,നവംബർ
579,Dezember::N,décembre,ഡിസംബർ
580,Montag::N,lundi,തിങ്കളാഴ്ച
581,Dienstag::N,mardi,ചൊവ്വ
582,Mittwoch::N,mercredi,ബുധനാഴ്ച
583,Donnerstag::N,jeudi,വ്യാഴാഴ്ച
584,Freitag::N,vendredi,വെള്ളിയാഴ്ച
585,Samstag::N,samedi,ശനിയാഴ്ച
586,Sonntag::N,dimanche,ഞായറാഴ്ച
587,groß::A,grand,വലിയ
588,klein::A,petit,ചെറിയ
589,lang::A,long,നീണ്ട
590,kurz::A,court,ഹ്രസ്വമായ
591,breit::A,large,വിശാലമായ
592,schmal::A,étroit,ഇടുങ്ങിയ
593,dicht::A,dense,നിബിഡമായ
594,dick[Gegenstand]::A,épais,തടിച്ച
595,dünn::A,mince,മെലിഞ്ഞ
596,fein::A,fin,നേർത്ത
597,fein::A,menu,നേർത്ത
598,fest::A,ferme,ഉറപ്പുള്ള
599,fest::A,solide,ഉറപ്പുള്ള
600,flach::A,plat,പരന്ന
601,glatt::A,poli,മിനുസമുള്ള
602,glatt::A,lisse,മിനുസമുള്ള
603,hart::A,dur,കട്ടിയുള്ള
604,weich::A,mou,മൃദുവായ
605,rund::A,rond,വട്ടത്തിലുള്ള
606,spitz::A,aigu,മുനയുള്ള
607,spitz::A,pointu,മുനയുള്ള
608,scharf::A,tranchant,മൂർച്ചയുള്ള
609,stumpf::A,mousse,തുറന്നടിക്കുന്ന
610,stumpf::A,émoussé,തുറന്നടിക്കുന്ന
611,schwer::A,lourd,ഭാരമുള്ള
612,schwer::A,pesant,ഭാരമുള്ള
613,schön::A,beau,മനോഹരമായ
614,heiß::A,chaud,ചൂടുള്ള
615,heiß::A,très chaud,ചൂടുള്ള
616,warm::A,chaud,ചൂടുള്ള
617,kalt::A,froid,തണുത്ത
618,kühl::A,frais,തണുപ്പുള്ള
619,frisch::A,frais,ശുദ്ധമായ
620,feucht::A,humide,ഈറനുള്ള
621,nass::A,mouillé,നനഞ്ഞ
622,trocken::A,sec,വരണ്ട
623,voll::A,plein,നിറയെ
624,voll::A,rempli,നിറയെ
625,leer::A,vide,ഒഴിഞ്ഞ
626,offen::A,ouvert,തുറന്ന
627,geschlossen::A,clos,അടച്ച
628,geschlossen::A,fermé,അടച്ച
629,sauber::A,net,വൃത്തിയുള്ള
630,sauber::A,propre,വൃത്തിയുള്ള
631,schmutzig::A,sale,അഴുക്കുനിറഞ്ഞ
632,schmutzig::A,crasseux,അഴുക്കുനിറഞ്ഞ
633,roh::A,cru,അസംസ്കൃതമായ
634,roh::A,brut,അസംസ്കൃതമായ
635,reif::A,mûr,പഴുത്ത
636,lecker::A,délicieux,രുചികരമായ
637,lecker::A,appétissant,രുചികരമായ
638,süß::A,doux,മധുരമുള്ള
639,bitter::A,amer,കടുത്ത
640,sauer::A,aigre,പുളിപ്പുള്ള
641,hell::A,clair,ജ്വലിക്കുന്ന
642,dunkel::A,sombre,ഇരുണ്ട
643,schwarz::A,noir,കറുത്ത
644,weiß::A,blanc,വെളുത്ത
645,rot::A,rouge,ചുവന്ന
646,gelb::A,jaune,മഞ്ഞനിറമായ
647,blau::A,bleu,നീലനിറമുള്ള
648,grün::A,vert,പച്ചനിറമുള്ള
649,grau::A,gris,ചാരനിറത്തിലുള്ള
650,bunt::A,multicolore,വർണ്ണശബളമായ
651,billig::A,bon marché,വിലകുറഞ്ഞ
652,teuer::A,cher,ചെലവേറിയ
653,wertvoll::A,précieux,വിലപിടിപ്പുള്ള
654,blind::A,aveugle,അന്ധനായ
655,taub::A,sourd,കേൾവിക്കുറവുള്ള
656,kräftig::A,fort,ശക്തിയുള്ള
657,kräftig::A,vigoureux,ശക്തിയുള്ള
