,Concept_ID,en,hi
961,damals::ADV,at that time,उस समय
962,damals::ADV,at that time,उन दिनों
963,danach::ADV,afterwards,इसके बाद
964,danach::ADV,afterwards,इसके पश्चात्
965,vorher::ADV,before,पहले
966,vorher::ADV,before,पेशतर
967,zuerst::ADV,at first,पहले
968,einmal::ADV,once,एक बार
969,einmal::ADV,once,एक दफ़ा
970,manchmal::ADV,sometimes,कभी कभी
971,oft::ADV,often,अक्सर
972,immer::ADV,always,सदा
973,immer::ADV,always,हमेशा
974,niemals::ADV,never,कभी नहीं
975,niemals::ADV,never,कदापि नहीं
976,hier::ADV,here,इधर
977,hier::ADV,here,यहाँ
978,hierhin::ADV,hither,इधर को
979,hierhin::ADV,hither,यहाँ को
980,hierhin::ADV,to here,इधर को
981,hierhin::ADV,to here,यहाँ को
982,hierhin::ADV,here,इधर को
983,hierhin::ADV,here,यहाँ को
984,von hier::ADV,hence,यहाँ से
985,dort::ADV,there,उधर
986,dort::ADV,there,वहाँ
987,dorthin::ADV,thither,उधर को
988,dorthin::ADV,thither,वहाँ को
989,dorthin::ADV,there,उधर को
990,dorthin::ADV,there,वहाँ को
991,dorthin::ADV,to there,उधर को
992,dorthin::ADV,to there,वहाँ को
993,geradeaus::ADV,ahead,सीधे
994,vorwärts::ADV,forward,आगे
995,vorwärts::ADV,forward,आगे को
996,rückwärts::ADV,backward,पीछे को
997,zurück::ADV,back,वापस
998,unten::ADV,below,नीचे
999,hinab::ADV,down,नीचे को
1000,oben::ADV,above,ऊपर
1001,hinauf::ADV,up,ऊपर को
1002,überall::ADV,everywhere,हर जगह
1003,überall::ADV,everywhere,हर स्थान
1004,nicht::ADV,not,न
1005,nicht::ADV,not,नहीं
1006,ein wenig::ADV,a little,कुछ
1007,ein wenig::ADV,a little,ज़रा
1008,ein wenig::ADV,a little,थोड़ा
1009,kaum::ADV,hardly,लगभग नहीं
1010,kaum::ADV,hardly,बराबर नहीं
1011,sehr::ADV,very,बहुत
1012,so::ADV,so,ऐसा
1013,noch::ADV,still,अभी तक
1014,nur::ADV,only,केवल
1015,nur::ADV,only,सिर्फ़
1016,schon::ADV,already,चुकना
1017,wieder::ADV,again,फिर
1018,wieder::ADV,again,दुबारा
1019,vergebens::ADV,in vain,व्यर्थ
1020,vor::PRP,in front of,के आगे
1021,vor::PRP,in front of,के सामने
1022,hinter::PRP,behind,के पीछे
1023,unter::PRP,under,के तले
1024,unter::PRP,under,के नीचे
1025,durch::PRP,through,के पार
1026,neben::PRP,next to,के पास
1027,neben::PRP,next to,की बग़ल में
1028,zwischen::PRP,between,के बीच
1029,wegen::PRP,because of,के कारण
1030,wegen::PRP,because of,की वजह से
1031,dies::PRN,this,यह
1032,das::PRN,that,वह
1033,alles::PRN,everything,सब
1034,alles::PRN,everything,सब कुछ
1035,ich::PRN,I,मैं
1036,du::PRN,you,तू
1037,du::PRN,thou,तू
1038,er::PRN,he,यह
1039,wir::PRN,we,हम
1040,ihr::PRN,you,तुम
1041,sie::PRN,they,ये
1042,was::FPRN,what,क्या
1043,wer::FPRN,who,कौन
1044,wo::FADV,where,किधर
1045,wohin::FADV,where ... to,किधर
