,Concept_ID,ba,es
80,Wolke::N,болот,nube
81,Regen::N,ямғыр,lluvia
82,Schnee::N,ҡар,nieve
83,Eis::N,боҙ,hielo
84,Frost::N,һалҡын,helada
85,Kälte::N,һыуыҡ,frío
86,Hitze::N,томра,calor
87,Hitze::N,эҫелек,calor
88,Raureif::N,ҡырау,escarcha
89,Regenbogen::N,йәйғор,arco iris
90,Donner::N,күк күкрәү,trueno
91,Strömung::N,ағым,corriente
92,Tropfen::N,тамсы,gota
93,Schaum::N,күбек,espuma
94,Schmutz::N,батҡаҡ,suciedad
95,See::N,күл,lago
96,Sumpf::N,һаҙлык,pantano
97,Moor::N,һаҙ,turbera
98,Wiese::N,болон,prado
99,Wiese::N,болон,pradera
100,Wald::N,урман,bosque
101,Hügel::N,түбә,colina
102,Anhöhe::N,түбә,cerro
103,Anhöhe::N,ҡалҡыулыҡ,cerro
104,Berg::N,тау,monte
105,Berg::N,тау,montaña
106,Gipfel::N,түбә,cima
107,Gipfel::N,түбә,cumbre
108,Höhle::N,мәмерйә,cueva
109,Höhle::N,мәмерйә,caverna
110,Abhang::N,ипкен,cuesta
111,Abhang::N,ипкен,declive
112,Quelle::N,шишмә,fuente
113,Quelle::N,шишмә,manantial
114,Bach::N,шишмә,arroyo
115,Fluss::N,йылға,río
116,Ufer::N,яр,orilla
117,Küste::N,яр буйы,costa
118,Festland::N,ҡоро ер,tierra firme
119,Meer::N,диңгез,mar
120,Bucht::N,бухта,cala
121,Bucht::N,бухта,bahía
122,Insel::N,үтрау,isla
123,Blume::N,сәскә,flor
124,Gras::N,үлән,hierba
125,Wurzel::N,тамыр,raíz
126,Baum::N,ағас,árbol
127,Stamm::N,олон,tronco
128,Stamm::N,көбәк,tronco
129,Rinde::N,ҡабыҡ,corteza
130,Ast::N,ботаҡ,rama
131,Zweig::N,ботаҡ,ramo
132,Zweig::N,тармаҡ,ramo
133,Blatt::N,япраҡ,hoja
134,Birke::N,ҡайын,abedul
135,Kiefer[Baum]::N,ҡарғай,pino
136,Weide[Baum]::N,тал,sauce
137,Tanne::N,шыршы,abeto
138,Horn::N,мөғөҙ,asta
139,Horn::N,мөғөҙ,cuerno
140,Feder::N,ҡауырһын,pluma
141,Fell::N,тире,piel
142,Flügel::N,ҡанат,ala
143,Klaue::N,тырнаҡ,garra
144,Kralle::N,аяҡ,uña
145,Kralle::N,аяҡ,garra
146,Schwanz::N,ҡойроҡ,cola
147,Ei::N,йомортҡа,huevo
148,Nest::N,оя,nido
149,Bau::N,оң,madriguera
150,Tier::N,жайуан,animal
151,Tier::N,йыртҡыс,animal
152,Herde::N,көтөү,rebaño
153,Kuh::N,һыйыр,vaca
154,Bulle::N,үгеҙ,toro
155,Pferd::N,ат,caballo
156,Schaf::N,һарыҡ,oveja
157,Schwein::N,сусҡа,cerdo
158,Hund::N,эт,perro
159,Katze::N,бесәй,gato
160,Bär::N,айыу,oso
161,Eichhörnchen::N,тейен,ardilla
162,Elch::N,мышы,alce
163,Fuchs::N,төлкө,zorro
164,Hase::N,ҡуян,liebre
165,Maus::N,сысҡан,ratón
166,Wolf::N,бүре,lobo
167,Vogel::N,ҡош,ave
168,Vogel::N,ҡош,pájaro
169,Schwarm::N,көтөү,bandada
170,Huhn::N,тауыҡ,gallina
171,Hahn::N,әтәс,gallo
172,Gans::N,ҡаҙ,oca
173,Gans::N,ҡаҙ,ganso
174,Adler::N,бөркөт,águila
175,Ente::N,өйрәк,pato
176,Eule::N,өкө,lechuza
177,Eule::N,ябалаҡ,lechuza
178,Kranich::N,торна,grulla
179,Krähe::N,ҡарға,corneja
180,Kuckuck::N,кәкүк,cuco
181,Schwan::N,аҡҡош,cisne
182,Fisch::N,балыҡ,pez
183,Barsch::N,алабуға,perca
184,Hecht::N,суртан,lucio
185,Schlange[Tier]::N,йылан,serpiente
186,Wurm::N,селяүсен,gusano
187,Spinne::N,үрмәксе,araña
188,Ameise::N,ҡырмыҫҡа,hormiga
189,Laus::N,бет,piojo
190,Mücke::N,серәкәй,mosquito
191,Fliege::N,себен,mosca
192,Schmetterling::N,күбәләк,mariposa
193,Beere::N,еләк,baya
194,Apfel::N,алма,manzana
195,Pilz::N,бәшмәк,seta
196,Pilz::N,бәшмәк,hongo
197,Zwiebel::N,һуган,cebolla
198,Saat::N,орлоҡ,siembra
199,Korn::N,иген,grano
200,Heu::N,бесән,heno
201,Schale::N,ҡабыҡ,cáscara
202,Grube::N,соҡор,foso
203,Falle::N,тоҙак,trampa
204,Falle::N,ҡапҡан,trampa
205,Schlinge::N,тоҙак,lazo
206,Spur::N,әҫер,huella
207,Asche::N,көл,ceniza
208,Dreck::N,батҡаҡ,suciedad
209,Eisen::N,тимер,hierro
210,Gold::N,алтын,oro
211,Silber::N,көмөш,plata
212,Kohle::N,күмер,carbón
213,Glas::N,быяла,vidrio
214,Glas::N,быяла,cristal
215,Lehm::N,балсыҡ,barro
216,Sand::N,ҡом,arena
217,Mensch::N,кеше,hombre
218,Mensch::N,кеше,ser humano
219,Mann::N,ир,hombre
220,Frau::N,ҡатын,mujer
221,Kind::N,бала,niño
222,Junge::N,малай,chico
223,Junge::N,малай,muchacho
224,Mädchen::N,ҡыҙ,chica
225,Mädchen::N,ҡыҙ,muchacha
226,Mädchen::N,ҡыҙыҡай,chica
227,Mädchen::N,ҡыҙыҡай,muchacha
228,Familie::N,ғаилә,familia
229,Großvater::N,олатай,abuelo
230,Großmutter::N,әбәй,abuela
231,Eltern::N,ата-әсә,padres
232,Vater::N,атай,padre
233,Mutter::N,әсә,madre
234,Sohn::N,ул,hijo
235,Tochter::N,ҡыҙ,hija
236,Bruder::N,агай,hermano
237,Schwester::N,алай,hermana
238,Schwester::N,һеңле,hermana
239,Onkel::N,ағай,tío
240,Tante::N,апай,tía
241,Ehemann::N,ир,esposo
242,Ehefrau::N,ҡатын,esposa
243,Freude::N,шатлыҡ,placer
244,Freude::N,шатлыҡ,alegría
245,Freude::N,ҡыуаныс,placer
246,Freude::N,ҡыуаныс,alegría
247,Gelächter::N,көлөү,risa
248,Gelächter::N,көлөү,carcajada
249,Glück::N,бәхет,felicidad
250,Kummer::N,ҡайғы,pena
251,Wunsch::N,теләк,deseo
252,Lust::N,әүәҫлек,ganas
253,Geist::N,аң,mente
254,Geist::N,аң,espíritu
255,Geist::N,рух,mente
256,Geist::N,рух,espíritu
257,Gedanke::N,уй,idea
258,Gedanke::N,уй,pensamiento
259,Gedanke::N,фекер,idea
260,Gedanke::N,фекер,pensamiento
261,Gedächtnis::N,хәтер,memoria
262,Verstand::N,аҡыл,razón
263,Verstand::N,аҡыл,entendimiento
264,Sinn::N,мәғәня,sentido
265,Sinn::N,мәғәня,significado
266,Grund::N,сәбәп,causa
267,Wahrheit::N,дөрөҫлөк,verdad
268,Gespräch::N,әңгәмә,conversación
269,Märchen::N,әкиәт,cuento
270,Erzählung::N,хикәйә,cuento
271,Erzählung::N,хикәйә,narración
272,Nachricht::N,хәбәр,mensaje
273,Neuigkeit::N,яңылыҡ,noticia
274,Name::N,исем,nombre
275,Rätsel::N,йомаҡ,acertijo
276,Rätsel::N,йомаҡ,adivinanza
277,Rede::N,телмәр,discurso
278,Sprache::N,тел,lengua
279,Sprache::N,телмәр,lengua
280,Stimme::N,тауыш,voz
281,Wort::N,һүҙ,palabra
282,Zeichen::N,билдә,señal
283,Ruf::N,саҡырыу,llamada
284,Lärm::N,шаулау,ruido
285,Lärm::N,шаулау,barullo
286,Laut::N,тауыш,sonido
287,Ton::N,яңғырау,tono
288,Lied::N,йыр,canción
289,Ruhe::N,ял,calma
290,Ruhe::N,ял,silencio
291,Ruhe::N,тыныслыҡ,calma
292,Ruhe::N,тыныслыҡ,silencio
293,Leute::N,кешеләр,gente
294,Volk::N,халҡ,pueblo
295,Arbeit::N,эш,trabajo
296,Gast::N,ҡунаҡ,huésped
297,Gast::N,ҡунаҡ,invitado
298,Geschenk::N,бүләк,regalo
299,Spiel::N,уйын,juego
300,Gesellschaft::N,йәмғиәт,compañía
301,Hilfe::N,ярҙам,ayuda
302,Hilfe::N,ярҙам,socorro
303,Freund::N,дуҫ,amigo
304,Kamerad::N,иптәш,camarada
305,Kamerad::N,иптәш,compañero
306,Angelegenheit::N,әш,asunto
307,Anzahl::N,һан,cantidad
308,Art::N,төр,tipo
309,Art::N,төр,clase
310,Stück::N,киҫәк,pieza
311,Teil::N,өлөш,parte
312,Hälfte::N,ярты,mitad
313,Kreis::N,түңәрәк,círculo
314,Kreuz::N,тәре,cruz
315,Linie::N,һыҙыҡ,línea
316,Strich::N,һыҙат,raya
317,Strich::N,һыҙат,trazo
318,Abstand::N,ара,distancia
319,Entfernung::N,алыҫлыҡ,distancia
320,Gegend::N,урын,región
321,Gegend::N,урын,comarca
322,Platz::N,арауыҡ,espacio
323,Ort::N,ерҙәр,sitio
324,Ort::N,урындар,sitio
325,Ort::N,эш урыны,sitio
326,Seite::N,яҡ,lado
327,Seite::N,яҡ,costado
328,Mitte::N,урталыҡ,medio
329,Mitte::N,урталыҡ,centro
330,Gegenstand::N,нәмә,objeto
331,Sache::N,нәмә,cosa
332,Sache::N,әйбер,cosa
333,Rand::N,сит,borde
334,Kante::N,ҡабырға,borde
335,Kante::N,ян,borde
336,Ecke::N,мөйөш,esquina
337,Spitze::N,ос,punta
338,Ende::N,аҙаҡ,cabo
339,Ende::N,аҙаҡ,extremo
340,Loch::N,тишек,agujero
341,Loch::N,тишек,abertura
342,Winkel::N,мөйөш,ángulo
343,Muster::N,биҙәк,dibujo
344,Größe::N,ҙурлыҡ,tamaño
345,Länge::N,оҙонлоҡ,longitud
346,Höhe::N,бейеклек,altura
347,Höhe::N,бейеклек,altitud
348,Gewicht::N,үлсәү,peso
349,Menge::N,һан,cantidad
350,Haufen::N,өйөм,montón
351,Reihe::N,рәт,fila
352,Boot::N,кәмә,bote
353,Boot::N,кәмә,barca
354,Ruder::N,ишкәк,remo
355,Schlitten::N,сана,trineo
356,Ski::N,саңгы,esquí
357,Lagerfeuer::N,костер,hoguera
358,Last::N,ауырлыҡ,carga
359,Gang::N,барыу,marcha
360,Schritt::N,аҙым,paso
361,Norden::N,төньяҡ,norte
362,Süden::N,көньяҡ,sur
363,Westen::N,көнбайыш,oeste
364,Osten::N,көнсығыш,este
365,Holz::N,үағас,madera
366,Brett::N,таҡта,tabla
367,Platte::N,плита,placa
368,Platte::N,плита,plancha
369,Stütze::N,терәк,sostén
370,Stütze::N,терәк,soporte
371,Stange::N,кәртә,vara
372,Stange::N,кәртә,percha
373,Stock::N,таяҡ,palo
374,Stock::N,таяҡ,bastón
375,Stab::N,ҡолға,vara
376,Stab::N,ҡолға,bastón
377,Rohr::N,торба,tubo
378,Haus::N,өй,casa
379,Haus::N,йорт,casa
380,Heim::N,өй,hogar
381,Ofen::N,мейес,estufa
382,Fußboden::N,енес,suelo
383,Tisch::N,өҫтәл,mesa
384,Stuhl::N,ултырғыс,silla
385,Wiege::N,бишек,cuna
386,Bett::N,карауат,cama
387,Regal::N,кәштә,estantería
388,Kiste::N,йәшинк,caja
389,Fenster::N,тәҙрә,ventana
390,Tür::N,ишек,puerta
391,Tor::N,ҡапҡа,puerta
392,Zaun::N,ҡойма,valla
393,Zaun::N,ҡойма,cercado
394,Dach::N,түбә,techo
395,Dach::N,түбә,tejado
396,Dach::N,ҡыйыҡ,techo
397,Dach::N,ҡыйыҡ,tejado
398,Leiter::N,баҫҡыс,escalera
399,Besen::N,һепертке,escoba
400,Spaten::N,көрәк,pala
401,Schaufel::N,көрәк,pala
402,Schaufel::N,көрәк,paleta
403,Gabel::N,сәнске,tenedor
404,Löffel::N,ҡалаҡ,cuchara
405,Messer::N,бысаҡ,cuchillo
406,Nagel::N,сөй,clavo
407,Netz::N,ау,red
408,Haken::N,ыргаҡ,gancho
409,Haken::N,ыргаҡ,corchete
410,Griff::N,тотҡа,asa
411,Griff::N,тотҡа,mango
412,Schloss::N,йоҙаҡ,cerradura
413,Bild::N,картина,imagen
414,Figur::N,һын,figura
415,Puppe::N,ҡурсаҡ,muñeca
416,Beutel::N,тоҡ,bolsa
417,Bündel::N,төргәк,haz
418,Tasche::N,сумка,bolso
419,Eimer::N,биҙрә,cubo
420,Deckel::N,ҡапҡас,tapa
421,Deckel::N,ҡапҡас,tapadera
422,Geschirr::N,һауыт-һаба,vajilla
423,Sack::N,тоҡ,saco
424,Tasse::N,сынаяҡ,taza
425,Topf::N,кәстрүл,olla
426,Topf::N,кәстрүл,marmita
427,Kessel::N,ҡаҙан,caldera
428,Essen::N,ашау,comida
429,Nahrung::N,аҙыҡ,alimento
430,Speise::N,аш,plato
431,Fleisch::N,ит,carne
432,Getreide::N,иген,cereales
433,Getreide::N,ашлыҡ,cereales
434,Brei::N,бутҡа,puré
435,Brei::N,бутҡа,papilla
436,Brot::N,икмәк,pan
437,Scheibe::N,телем,lonja
438,Scheibe::N,телем,rebanada
439,Fett::N,май,grasa
440,Butter::N,май,mantequilla
441,Öl::N,май буяуы,aceite
442,Salz::N,тоҙ,sal
443,Suppe::N,һурпа,sopa
444,Honig::N,бал,miel
445,Milch::N,һөт,leche
446,Tee::N,сәй,té
447,Leder::N,күн,cuero
448,Wolle::N,йөн,lana
449,Stoff::N,туҡыма,tela
450,Stoff::N,туҡыма,tejido
451,Nadel::N,энә,aguja
452,Faden::N,еп,hilo
453,Knopf::N,төймә,botón
454,Knoten::N,төйөн,nudo
455,Farbe::N,буяу,pintura
456,Kleidung::N,кейем,ropa
457,Kleidung::N,кейем,vestidos
458,Hemd::N,күлдәк,camisa
459,Kragen::N,яға,cuello
460,Ärmel::N,ең,manga
461,Hose::N,салбар,pantalón
462,Gürtel::N,ҡайыш,cinturón
463,Mütze::N,бүрк,gorro
464,Schuh::N,туфли,zapato
465,Stiefel::N,итек,bota
466,Ring::N,йөҙөк,anillo
467,Ring::N,балдаҡ,anillo
468,Band::N,таҫма,cinta
469,Kamm::N,тараҡ,peine
470,Spiegel::N,көзгө,espejo
471,Riemen::N,ҡайыш,correa
472,Schnur::N,бау,cuerda
473,Leine::N,бау,correa
474,Decke::N,одеяд,manta
475,Kissen::N,мендәр,almohada
476,Tuch::N,яулыҡ,pañuelo
477,Handtuch::N,таҫтамал,toalla
478,Kraft::N,көс,fuerza
479,Stärke::N,көс,fuerza
480,Gesundheit::N,һаулыҡ,salud
481,Krankheit::N,сир,enfermedad
482,Krankheit::N,ауырыу,enfermedad
483,Schmerz::N,һыҙлау,dolor
484,Schmerz::N,әрнеү,dolor
485,Wunde::N,йәрәхәт,llaga
486,Wunde::N,йәрәхәт,herida
487,Fieber::N,тапма,fiebre
488,Fieber::N,биҙгәк,fiebre
489,Arznei::N,дарыу,medicina
490,Arznei::N,дарыу,medicamento
491,Brücke::N,күпер,puente
492,Brunnen::N,ҡоҙоҡ,pozo
493,Weide::N,көтөүлек,pasto
494,Pfad::N,һуҡмаҡ,sendero
495,Weg::N,юл,camino
496,Straße::N,урам,vía
497,Straße::N,урам,carretera
498,Dorf::N,ауыл,aldea
499,Dorf::N,ауыл,pueblo
500,Stadt::N,ҡала,ciudad
501,Brief::N,хат,carta
502,Buch::N,китап,libro
503,Buch::N,кенәгә,libro
504,Buchstabe::N,хәреф,letra
505,Buchstabe::N,хәреф,carácter
506,Zeitung::N,гәзит,diario
507,Zeitung::N,гәзит,periódico
508,Leben::N,йәшәү,vida
509,Tod::N,үлем,muerte
510,Grab::N,ҡәбер,tumba
511,Grab::N,ҡәбер,sepulcro
512,Kirche::N,сиркәү,iglesia
513,Sünde::N,гөнаһ,pecado
514,Gott::N,алла,dios
515,Gott::N,хоҙай,dios
516,Arbeiter::N,эшсе,obrero
517,Arbeiter::N,эшсе,trabajador
518,Chef::N,башлыҡ,jefe
519,Meister::N,оҫта,maestro
520,Arzt::N,врач,médico
521,Lehrer::N,уҡытыусы,profesor
522,Geld::N,аҡса,dinero
523,Geschäft::N,эш,negocio
524,Laden::N,магазин,tienda
525,Preis::N,хаҡ,precio
526,Ware::N,тауар,mercancía
527,Nutzen::N,файҙа,provecho
528,Reichtum::N,байлыҡ,riqueza
529,Welt::N,донъя,mundo
530,Land::N,ил,país
531,Staat::N,дәүләт,Estado
532,König::N,король,rey
533,Macht::N,власть,poder
534,Macht::N,власть,potencia
535,Grenze::N,сик,frontera
536,Krieg::N,һуғыш,guerra
537,Feind::N,йылан,enemigo
538,Gewalt::N,көслөк,violencia
539,Kampf::N,көрәш,lucha
540,Kampf::N,көрәш,combate
541,Bogen[Waffe]::N,йәйә,arco
542,Pfeil::N,уҡ,flecha
543,Gewehr::N,мылтыҡ,fusil
544,Gewehr::N,мылтыҡ,escopeta
545,Fehler::N,хата,error
546,Lüge::N,ялған,mentira
547,Schaden::N,зыян,daño
548,Schaden::N,зарар,daño
549,Unglück::N,ҡаза,desgracia
550,Schuld::N,ғәйеп,culpa
551,Alter::N,йәш,edad
552,Schluss::N,һуң,fin
553,Schluss::N,һуң,final
554,Schluss::N,аҙаҡ,fin
555,Schluss::N,аҙаҡ,final
556,Zeit::N,мәл,tiempo
557,Zeit::N,заман,tiempo
558,Tag::N,көн,día
559,Morgen::N,иртә,mañana
560,Morgen::N,иртәнсәк,mañana
561,Mittag::N,төш,mediodía
562,Abend::N,кис,noche
563,Nacht::N,төн,noche
564,Woche::N,аҙна,semana
565,Monat::N,ай,mes
566,Jahr::N,йыл,año
567,Frühling::N,яҙ,primavera
568,Sommer::N,йәй,verano
569,Herbst::N,көз,otoño
570,Winter::N,ҡыш,invierno
571,Januar::N,ғинуар,enero
572,Februar::N,февраль,febrero
573,März::N,март,marzo
574,April::N,апрель,abril
575,Mai::N,май,mayo
576,Juni::N,июнь,junio
577,Juli::N,июль,julio
578,August::N,август,agosto
579,September::N,сентябрь,septiembre
580,Oktober::N,октябрь,octubre
581,November::N,ноябрь,noviembre
582,Dezember::N,декабрь,diciembre
583,Montag::N,дүшәмбе,lunes
584,Dienstag::N,шишәмбе,martes
585,Mittwoch::N,шаршамбы,miércoles
586,Donnerstag::N,кесаҙна,jueves
587,Freitag::N,йома,viernes
588,Samstag::N,шәмбе,sábado
589,Sonntag::N,йәкшәмбе,domingo
590,groß::A,ҙур,grande
591,klein::A,бәләкәс,pequeño
592,lang::A,оҙон,largo
593,kurz::A,ҡыҫҡа,corto
594,breit::A,киң,ancho
595,schmal::A,тар,estrecho
596,dicht::A,йыш,denso
597,dicht::A,ҡуйы,denso
598,dick[Gegenstand]::A,ҡалын,grueso
599,dünn::A,йоҡа,fino
600,dünn::A,йоҡа,delgado
601,dünn::A,нәҙек,fino
602,dünn::A,нәҙек,delgado
603,fein::A,нескә,fino
604,fein::A,нескә,delicado
605,fest::A,ныҡ,firme
606,fest::A,ныҡ,sólido
607,flach::A,яҫы,plano
608,flach::A,ялпаҡ,plano
609,glatt::A,шыма,liso
610,hart::A,ҡаты,duro
611,weich::A,йомшаҡ,muelle
612,rund::A,түңәрәк,redondo
613,spitz::A,осло түбәле,agudo
614,spitz::A,осло түбәле,apuntado
615,scharf::A,үткер,agudo
616,scharf::A,үткер,afilado
617,stumpf::A,утмәҫ,sin filo
618,schwer::A,ауыр,pesado
619,schön::A,матур,bello
620,schön::A,матур,hermoso
621,heiß::A,эҫе,caluroso
622,warm::A,йылы,cálido
623,warm::A,йылы,caliente
624,kalt::A,һыуыҡ,frío
625,kühl::A,һалҡынса,fresco
626,frisch::A,һалҡынса,fresco
627,feucht::A,еүеш,húmedo
628,feucht::A,дымлы,húmedo
629,nass::A,еүеш,mojado
630,trocken::A,кипкән,seco
631,voll::A,тулы,lleno
632,leer::A,буш,vacío
633,offen::A,асыҡ,abierto
634,geschlossen::A,ябыҡ,cerrado
635,sauber::A,таҙа,limpio
636,schmutzig::A,бысраҡ,sucio
637,roh::A,сей,crudo
638,reif::A,өлгөрғән,maduro
639,lecker::A,тәмле,rico
640,lecker::A,тәмле,sabroso
641,süß::A,тямле,dulce
642,süß::A,тәм-том,dulce
643,bitter::A,әсе,amargo
644,sauer::A,әсе,agrio
645,hell::A,яҡты,claro
646,dunkel::A,ҡараңғы,oscuro
647,schwarz::A,ҡара,negro
648,weiß::A,аҡ,blanco
649,rot::A,матур,rojo
650,rot::A,һылыу,rojo
651,rot::A,сибәр,rojo
652,gelb::A,һары,amarillo
653,blau::A,күк,azul
654,grün::A,йәшел,verde
655,grau::A,буҙ,gris
656,bunt::A,сыбар,multicolor
657,bunt::A,ала-ҡола,multicolor
658,billig::A,арзан,barato
659,teuer::A,ҡыйбатлы,caro
660,wertvoll::A,ҡиммәтле,valioso
661,wertvoll::A,ҡиммәтле,precioso
662,blind::A,һуҡыр,ciego
663,taub::A,һаңғырау,sordo
664,kräftig::A,көслө,fuerte
665,kräftig::A,ҡеүәтле,fuerte
666,stark::A,көслө,fuerte
667,stark::A,көслө,vigoroso
668,stark::A,ҡеүәтле,fuerte
669,stark::A,ҡеүәтле,vigoroso
670,schwach::A,көсһөҙ,débil
671,fett::A,һимеҙ,obeso
672,schlank::A,зифа,esbelto
673,hübsch::A,матур,mono
674,hübsch::A,матур,guapo
675,böse::A,асыулы,malo
676,dumm::A,иҫәр,tonto
677,dumm::A,иҫәр,estúpido
678,faul::A,иренсәк,vago
679,faul::A,иренсәк,perezoso
680,fleißig::A,тырыш,aplicado
681,fleißig::A,тырыш,diligente
682,geizig::A,һаран,avaro
683,klug::A,аҡыллы,sensato
684,klug::A,аҡыллы,inteligente
685,geschickt::A,оҫта,hábil
686,lieb::A,яғымлы,querido
687,lustig::A,күңелле,alegre
688,sanft::A,йыуаш,suave
689,hungrig::A,ас,hambriento
690,krank::A,сирле,enfermo
691,krank::A,ауырыу,enfermo
692,nackt::A,яланғас,desnudo
693,traurig::A,яманһыу,triste
694,lebendig::A,тере,vivo
695,lebendig::A,тере,viviente
696,lebendig::A,йәнле,vivo
697,lebendig::A,йәнле,viviente
698,gut::A,яҡшы,bueno
699,schlecht::A,хөрт,malo
700,schlecht::A,алама,malo
701,richtig::A,дөрөҫ,justo
702,richtig::A,дөрөҫ,correcto
703,schlimm::A,хөрт,malo
704,schlimm::A,хөрт,grave
705,schlimm::A,алама,malo
706,schlimm::A,алама,grave
707,wahr::A,дөрөҫ,verídico
708,wahr::A,дөрөҫ,verdadero
709,alt::A,иҫке,viejo
710,alt::A,боронғо,viejo
711,neu::A,яңы,nuevo
712,ehemalig::A,элекке,antiguo
713,alt[Lebewesen]::A,ҡарт,viejo
714,jung::A,йәш,joven
715,arm::A,фәҡир,pobre
716,reich::A,бай,rico
717,bekannt::A,таныш,conocido
718,berühmt::A,атаҡлы,famoso
719,berühmt::A,атаҡлы,célebre
720,berühmt::A,данлыҡлы,famoso
721,berühmt::A,данлыҡлы,célebre
722,fremd::A,ят,extraño
723,fremd::A,сит,extraño
724,verschieden::A,төрлө,diverso
725,verschieden::A,төрлө,distinto
726,verschieden::A,төрлө,diferente
727,nah::A,яҡын,cercano
728,fern::A,алыҫ,lejano
729,fern::A,йыраҡ,lejano
730,linker::A,һул,izquierdo
731,rechter::A,уң,derecho
732,anderer::A,бутән,otro
733,erster::A,тәүге,primero
734,zweiter::A,икенсе,segundo
735,dritter::A,өсөнсө,tercero
736,letzter::A,һуңғы,último
737,allein::ADV,бер үҙе,a solo
738,allein::ADV,яңғыҙ,a solo
739,auf einmal::ADV,бер юлы,de una vez
740,zusammen::ADV,бергә,juntos
741,lange::ADV,оҙаҡ,mucho tiempo
742,plötzlich::ADV,ҡапыл,de repente
743,sofort::ADV,шунда уҡ,en seguida
744,später::ADV,һуңыраҡ,más tarde
745,jetzt::ADV,хәҙер,ahora
746,heute::ADV,бөгөн,hoy
747,morgen::ADV,иртәгә,mañana
748,bald::ADV,тиҙҙән,pronto
749,bald::ADV,тиҙҙән,en breve
750,dann::ADV,һуңынан,luego
751,dann::ADV,һуңынан,entonces
752,gestern::ADV,кисә,ayer
753,einst::ADV,ҡасандыр,antaño
754,einst::ADV,бер баҡыт,antaño
755,damals::ADV,ул саҡта,entonces
756,danach::ADV,һуңынан,después
757,vorher::ADV,элек,antes
758,zuerst::ADV,башта,primero
759,einmal::ADV,бер,una vez
760,manchmal::ADV,ҡайһы берҙә,a veces
761,oft::ADV,йыш,a menudo
762,oft::ADV,йыш,con frecuencia
763,immer::ADV,һәр ҡасан,siempre
764,niemals::ADV,бер ҡасан да,jamás
765,niemals::ADV,бер ваҡытта ла,jamás
766,hier::ADV,бында,aquí
767,hierhin::ADV,бында,acá
768,von hier::ADV,бынан,desde aquí
769,von hier::ADV,ошонан,desde aquí
770,dort::ADV,шунда,ahí
771,dort::ADV,шунда,allí
772,dort::ADV,тегендә,ahí
773,dort::ADV,тегендә,allí
774,dorthin::ADV,шунда,allí
775,dorthin::ADV,шунда,hacia allí
776,dorthin::ADV,тегеләй,allí
777,dorthin::ADV,тегеләй,hacia allí
