,Concept_ID,ml,ar
177,Barsch::N,ഒരിനം മത്സ്യം,فرخ أوربي
178,Hecht::N,ഒരു മത്സ്യം,سمك الكراكي
179,Schlange[Tier]::N,പാമ്പ്,حية
180,Schlange[Tier]::N,പാമ്പ്,ثعبان
181,Wurm::N,വിര,دودة
182,Spinne::N,ചിലന്തി,عنكبوت
183,Ameise::N,ഉറുമ്പ്,نملة
184,Laus::N,പേന്,قملة
185,Mücke::N,മശകം,ناموسة
186,Fliege::N,ഈച്ച,ذبابة
187,Schmetterling::N,ചിത്രശലഭം,فراشة
188,Beere::N,ബെറി,حبة
189,Apfel::N,ആപ്പിൾ,تفاح
190,Pilz::N,കൂൺ,فطر
191,Zwiebel::N,സവാള,بصل
192,Saat::N,വിത്ത്,زرع
193,Korn::N,ധാന്യം,حبة
194,Heu::N,വയ്ക്കോൽ,دريس
195,Schale::N,തൊലി,قشرة
196,Grube::N,കുഴി,نقرة
197,Falle::N,കെണി,فخ
198,Falle::N,കെണി,مصيدة
199,Schlinge::N,കുടുക്ക്,عروة
200,Spur::N,ചുവട്,أثر
201,Asche::N,ചാരം,رماد
202,Dreck::N,അഴുക്ക്,قذر
203,Eisen::N,ഇരുമ്പ്,حديد
204,Gold::N,സ്വർണ്ണം,ذهب
205,Silber::N,വെള്ളി,فضة
206,Kohle::N,കൽക്കരി,فحم
207,Glas::N,ഗ്ലാസ്,زجاج
208,Lehm::N,കളിമണ്ണ്,طين
209,Sand::N,മണൽ,رمل
210,Mensch::N,മനുഷ്യർ,إنسان
211,Mann::N,പുരുഷൻ,رجل
212,Frau::N,സ്ത്രീ,امرأة
213,Kind::N,കുഞ്ഞ്,طفل
214,Junge::N,ആൺകുട്ടി,ولد
215,Mädchen::N,പെൺകുട്ടി,بنت
216,Familie::N,കുടുംബം,عائلة
217,Großvater::N,അപ്പൂപ്പൻ,جد
218,Großmutter::N,അമ്മുമ്മ,جدة
219,Eltern::N,മാതാപിതാക്കള്,أبوان
220,Eltern::N,മാതാപിതാക്കള്,والدان
221,Vater::N,അച്ഛൻ,أب
222,Mutter::N,അമ്മ,أم
223,Sohn::N,മകൻ,إبن
224,Tochter::N,മകൾ,بنت
225,Tochter::N,മകൾ,إبنة
226,Bruder::N,ചേട്ടൻ,أخ
227,Bruder::N,ചേട്ടൻ,شقيق
228,Bruder::N,അനിയൻ,أخ
229,Bruder::N,അനിയൻ,شقيق
230,Schwester::N,ചേച്ചി,أخت
231,Schwester::N,അനിയത്തി,أخت
232,Onkel::N,അമ്മാവൻ,عم
233,Tante::N,മാമി,عمة
234,Ehemann::N,ഭർത്താവ്,زوج
235,Ehefrau::N,ഭാര്യ,زوجة
236,Freude::N,ആഹ്ലാദം,فرح
237,Freude::N,ആഹ്ലാദം,سرور
238,Gelächter::N,ചിരിയുടെ ശബ്ദം,قهقهة
239,Glück::N,സന്തോഷം,سعادة
240,Glück::N,സന്തുഷ്ടി,سعادة
241,Kummer::N,ശോകം,غم
242,Wunsch::N,ആഗ്രഹം,منية
243,Lust::N,ആഗ്രഹം,شهوة
244,Geist::N,ചുറുചുറുക്ക്,روح
245,Gedanke::N,ചിന്ത,فكرة
246,Gedächtnis::N,ഓർമ്മശക്തി,ذاكرة
247,Verstand::N,മനസ്സ്,عقل
248,Sinn::N,അർത്ഥം,معنى
249,Grund::N,കാരണം,سبب
250,Wahrheit::N,സത്യം,حقيقة
251,Gespräch::N,സല്ലാപം,محادثة
252,Märchen::N,യക്ഷിക്കഥ,خرافة
253,Erzählung::N,കഥ,قصة
254,Erzählung::N,കഥ,حكاية
255,Nachricht::N,സന്ദേശം,خبر
256,Neuigkeit::N,വാർത്ത,خبر جديد
257,Name::N,പേര്,اسم
258,Rätsel::N,പ്രഹേളിക,لغز
259,Rede::N,സംസാരം,خطبة
260,Sprache::N,ഭാഷ,لغة
261,Stimme::N,സ്വരം,صوت
262,Wort::N,വാക്ക്,كلمة
263,Zeichen::N,സംജ്ഞ,رمز
264,Zeichen::N,സംജ്ഞ,إشارة
265,Ruf::N,വിളി,نداء
266,Lärm::N,ആരവം,صخب
267,Lärm::N,ആരവം,ضجة
268,Laut::N,ശബ്ദം,صوت
269,Ton::N,സ്വരഭേദം,نغمة
270,Lied::N,പാട്ട്,أغنية
271,Ruhe::N,നിശ്ചലത,هدوء
272,Leute::N,ജനങ്ങൾ,ناس
273,Volk::N,രാഷ്ടം,شعب
274,Arbeit::N,ജോലി,عمل
275,Gast::N,അതിലി,ضيف
276,Geschenk::N,സമ്മാനം,هدية
277,Spiel::N,കളി,لعب
278,Gesellschaft::N,കൂട്ടായ്മ,صحبة
279,Hilfe::N,സഹായം,عون
280,Hilfe::N,സഹായം,مساعدة
281,Freund::N,സുഹൃത്ത്,صديق
282,Kamerad::N,കൂട്ടാളി,زميل
283,Angelegenheit::N,കാര്യം,أمر
284,Angelegenheit::N,കാര്യം,شأن
285,Anzahl::N,എണ്ണം,عدد
286,Art::N,തരം,نوع
287,Stück::N,കഷണം,قطعة
288,Teil::N,ഭാഗം,قسم
289,Hälfte::N,പകുതി,نصف
290,Kreis::N,വൃത്തം,دائرة
291,Kreuz::N,കുരിശടയാളം,صليب
292,Linie::N,വര,خط
293,Linie::N,രേഖ,خط
294,Strich::N,പക്ഷാഘാതം,شرطة
295,Abstand::N,വിടവ്,مسافة
296,Entfernung::N,അകലം,بعد
297,Gegend::N,പ്രദേശം,ناحية
298,Platz::N,ഇടം,فراغ
299,Ort::N,സ്ഥലം,مكان
300,Seite::N,വശം,جانب
301,Mitte::N,മധ്യസ്ഥാനം,وسط
302,Gegenstand::N,സാധനം,موضوع
303,Sache::N,വസ്തു,شيء
304,Rand::N,തൊങ്ങൽ,حافة
305,Kante::N,അറ്റം,حافة
306,Ecke::N,മൂല,ركن
307,Spitze::N,അഗ്രം,سن
308,Ende::N,അവസാനം,طرف
309,Loch::N,ദ്വാരം,ثقب
310,Winkel::N,കോൺ,زاوية
311,Muster::N,ക്രമം,عينة
312,Größe::N,വലുപ്പം,حجم
313,Länge::N,നീളം,طول
314,Höhe::N,ഉയരം,علو
315,Höhe::N,ഉയരം,ارتفاع
316,Gewicht::N,കട്ടി,وزن
317,Menge::N,അളവ്,كمية
318,Haufen::N,കൂമ്പാരം,كوم
319,Reihe::N,വരി,صف
320,Boot::N,ബോട്ട്,قارب
321,Boot::N,ബോട്ട്,زورق
322,Ruder::N,പങ്കായം,مجذاف
323,Schlitten::N,ഉരുളില്ലാവണ്ടി,مزلقة
324,Ski::N,ഹിമപാദുകം,زلاجة
325,Lagerfeuer::N,തീ,نار المخيم
326,Last::N,ഭാരം,حمل
327,Gang::N,നടത്തം,مشية
328,Schritt::N,ചുവട്,خطوة
329,Norden::N,വടക്ക്,شمال
330,Süden::N,തെക്ക്,جنوب
331,Westen::N,പടിഞ്ഞാറ്,غرب
332,Osten::N,കിഴക്ക്,شرق
333,Holz::N,തടി,خشب
334,Brett::N,ബോർഡ്,لوح
335,Platte::N,തകിട്,صفيحة
336,Stütze::N,താങ്ങ്,سند
337,Stütze::N,താങ്ങ്,دعامة
338,Stange::N,കമ്പ്,عود
339,Stock::N,വടി,عصا
340,Stab::N,കുറുവടി,قضيب
341,Rohr::N,കുഴൽ,أنبوبة
342,Haus::N,വീട്,دار
343,Haus::N,വീട്,بيت
344,Heim::N,വീട്,بيت
345,Heim::N,വീട്,مسكن
346,Ofen::N,സ്റ്റൌ,مدفأة
347,Fußboden::N,തറ,أرضية
348,Tisch::N,മേശ,مائدة
349,Stuhl::N,കസേര,كرسي
350,Wiege::N,തൊട്ടിൽ,مهد
351,Bett::N,കിടക്ക,سرير
352,Regal::N,ഷെൽഫ്,رف
353,Kiste::N,പെട്ടി,صندوق
354,Fenster::N,ജനൽ,شباك
355,Fenster::N,ജനൽ,نافذة
356,Tür::N,വാതിൽ,باب
357,Tor::N,കവാടം,بوابة
358,Zaun::N,വേലി,سياج
359,Dach::N,മേൽക്കുര,سطح
360,Leiter::N,ഏണി,سلم
361,Besen::N,ചൂല്,مكنسة
362,Spaten::N,തൂമ്പ,مسحاة
363,Schaufel::N,തൂമ്പ,مجرفة
364,Gabel::N,മുൾക്കത്തി,شوكة
365,Löffel::N,സ്പൂൺ,ملعقة
366,Messer::N,കത്തി,سكين
367,Nagel::N,ആണി,مسمار
368,Netz::N,വല,شبكة
369,Haken::N,കൊളുത്ത്,خطاف
370,Haken::N,കൊളുത്ത്,صنارة
371,Griff::N,കൈപ്പിടി,قبضة
372,Schloss::N,പൂട്ട്,قفل
373,Bild::N,ചിത്രം,صورة
374,Figur::N,കണക്ക്,تمثال
375,Puppe::N,പാവ,دمية
376,Beutel::N,ബാഗ്,كيس
377,Bündel::N,കെട്ട്,ربطة
378,Tasche::N,ബാഗ്,شنطة
379,Tasche::N,ബാഗ്,محفظة
380,Eimer::N,ബക്കറ്റ്,سطل
381,Eimer::N,ബക്കറ്റ്,جردل
382,Deckel::N,ഉറ,سداد
383,Geschirr::N,പിഞ്ഞാണം,أوان
384,Sack::N,ചാക്ക്,زكيبة
385,Tasse::N,കപ്പ്,فنجان
386,Topf::N,പാത്രം,قدر
387,Topf::N,പാത്രം,طنجرة
388,Kessel::N,കെറ്റ്ല്,قدر
389,Kessel::N,കെറ്റ്ല്,غلاية
390,Essen::N,ആഹാരസമയം,طعام
391,Nahrung::N,ഭക്ഷണം,غذاء
392,Speise::N,ഡിഷ്,أكل
393,Fleisch::N,മാംസം,لحم
394,Getreide::N,ചോളം,حبوب
395,Brei::N,കഞ്ഞി,عصيدة
396,Brot::N,റോട്ടി,خبز
397,Scheibe::N,തുണ്ട്,شريحة
398,Fett::N,കൊഴുപ്പ്,سمن
399,Butter::N,വെണ്ണ,زبدة
400,Öl::N,എണ്ണ,زيت
401,Salz::N,ഉപ്പ്,ملح
402,Suppe::N,സൂപ്പ്,حساء
403,Suppe::N,സൂപ്പ്,شربة
404,Honig::N,തേൻ,عسل
405,Milch::N,പാൽ,حليب
406,Tee::N,ചായ,شاي
407,Leder::N,തുകൽ,جلد
408,Wolle::N,കമ്പിളി,صوف
409,Stoff::N,തുണി,قماش
410,Nadel::N,സൂചി,إبرة
411,Faden::N,നൂല്,خيط
412,Knopf::N,ബട്ടൺ,زر
413,Knoten::N,കുരുക്ക്,عقدة
414,Farbe::N,പെയിൻറ്,صبغة
415,Kleidung::N,വസ്ത്രങ്ങൾ,ملابس
416,Hemd::N,ഷർട്ട്,قميص
417,Kragen::N,കുപ്പായക്കഴുത്ത്,ياقة
418,Ärmel::N,കുപ്പായക്കൈ,كم
419,Hose::N,ട്രൌസർ,سروال
420,Hose::N,ട്രൌസർ,بنطلون
421,Gürtel::N,ബെൽറ്റ്,حزام
422,Mütze::N,തൊപ്പി,طاقية
423,Schuh::N,ഷൂ,حذاء
424,Stiefel::N,ബൂട്ട്,جزمة
425,Stiefel::N,ബൂട്ട്,حذاء طويل
426,Ring::N,മോതിരം,حلقة
427,Band::N,റിബൺ,شريط
428,Kamm::N,ചീപ്പ്,مشط
429,Spiegel::N,കണ്ണാടി,مرآة
430,Riemen::N,സ്ട്രാപ്പ്,سير
431,Schnur::N,ചരട്,حبل
432,Schnur::N,ചരട്,دوبارة
433,Leine::N,കെട്ടാനുള്ള തോൽവാർ,قيد
434,Decke::N,പുതപ്പ്,بطانية
435,Kissen::N,തലയിണ,وسادة
436,Tuch::N,സ്കാർഫ്,منديل
437,Handtuch::N,തോർത്ത്,فوطة
438,Handtuch::N,തോർത്ത്,منشفة
439,Kraft::N,ശക്തി,قدرة
440,Stärke::N,ശക്തി,قوة
441,Gesundheit::N,ആരോഗ്യം,صحة
442,Krankheit::N,അസുഖം,مرض
443,Schmerz::N,വേദന,ألم
444,Schmerz::N,വേദന,وجع
445,Wunde::N,മുറിവ്,جرح
446,Fieber::N,പനി,حمى
447,Arznei::N,മരുന്ന്,دواء
448,Brücke::N,പാലം,جسر
449,Brunnen::N,കിണർ,بئر
450,Weide::N,മേച്ചൽ,مرعى
451,Pfad::N,വഴി,درب
452,Weg::N,വഴി,سكة
453,Straße::N,റോഡ്,طريق
454,Dorf::N,ഗ്രാമം,قرية
455,Stadt::N,നഗരം,مدينة
456,Brief::N,കത്ത്,خطاب
457,Brief::N,കത്ത്,مكتوب
458,Buch::N,പുസ്തകം,كتاب
459,Buchstabe::N,അക്ഷരം,حرف
460,Zeitung::N,വർത്തമാനപത്രം,جريدة
461,Leben::N,ജീവൻ,عيش
462,Leben::N,ജീവൻ,حياة
463,Tod::N,മരണം,موت
464,Tod::N,മരണം,وفاة
465,Grab::N,ശവക്കുഴി,قبر
466,Kirche::N,പള്ളി,كنيسة
467,Sünde::N,പാപം,خطيئة
468,Gott::N,ദൈവം,إله
469,Arbeiter::N,ജോലിക്കാരൻ,عامل
470,Chef::N,മേധാവി,رئيس
471,Meister::N,യജമാനൻ,أسطى
472,Arzt::N,ഡോക്ടർ,طبيب
473,Lehrer::N,അധ്യാപകൻ,مدرس
474,Geld::N,പണം,نقود
475,Geschäft::N,ബിസിനസ്,صفقة
476,Laden::N,കട,دكان
477,Preis::N,വില,سعر
478,Ware::N,ചരക്ക്,بضاعة
479,Nutzen::N,ലാഭം,فائدة
480,Reichtum::N,ധനം,غنى
481,Reichtum::N,ധനം,ثروة
482,Welt::N,ലോകം,عالم
483,Welt::N,ലോകം,دنيا
484,Land::N,രാജ്യം,بلد
485,Staat::N,രാജ്യം,دولة
486,König::N,രാജാവ്,ملك
487,Macht::N,അധികാരം,سلطة
488,Grenze::N,അതിർത്തി,حدود
489,Krieg::N,യുദ്ധം,حرب
490,Feind::N,ശത്രു,عدو
491,Gewalt::N,അക്രമം,عنف
492,Kampf::N,പോരാട്ടം,قتال
493,Bogen[Waffe]::N,വില്ല്,قوس
494,Pfeil::N,അമ്പ്,سهم
495,Gewehr::N,തോക്ക്,بندقية
496,Fehler::N,പിശക്,خطأ
497,Lüge::N,കള്ളം,كذب
498,Schaden::N,കേടുപാട്,تلف
499,Unglück::N,ദൌർഭാഗ്യം,نحس
500,Schuld::N,തെറ്റ്,ذنب
501,Alter::N,വയസ്സ്,سن
502,Alter::N,വയസ്സ്,عمر
503,Schluss::N,നിഗമനം,ختام
504,Schluss::N,നിഗമനം,نهاية
505,Zeit::N,സമയം,وقت
506,Tag::N,ദിവസം,يوم
507,Morgen::N,പ്രഭാതം,صباح
508,Mittag::N,ഉച്ച,ظهر
509,Abend::N,സായാഹ്നം,مساء
510,Nacht::N,രാത്രി,ليلة
511,Woche::N,ആഴ്ച,أسبوع
512,Monat::N,മാസം,شهر
513,Jahr::N,വർഷം,عام
514,Jahr::N,വർഷം,سنة
515,Frühling::N,വസന്തം,ربيع
516,Sommer::N,വേനൽ,صيف
517,Herbst::N,ശരത്കാലം,خريف
518,Winter::N,ശൈത്യം,شتاء
519,Januar::N,ജനുവരി,يناير
520,Januar::N,ജനുവരി,كانون الثاني
521,Februar::N,ഫെബ്രുവരി,شباط
522,Februar::N,ഫെബ്രുവരി,فبراير
523,März::N,മാർച്ച്,آذار
524,März::N,മാർച്ച്,مارس
525,April::N,ഏപ്രിൾ മാസം,نيسان
526,Mai::N,മെയ് മാസം,مايو
527,Juni::N,ജൂൺ,يونيو
528,Juni::N,ജൂൺ,حزيران
529,Juli::N,ജൂലൈ,تموز
530,Juli::N,ജൂലൈ,يوليو
531,August::N,ആഗസ്റ്റ്,آب
532,August::N,ആഗസ്റ്റ്,أغسطس
533,September::N,സെപ്തംബർ,أيلول
534,September::N,സെപ്തംബർ,سبتمبر
535,Oktober::N,ഒക്ടോബർ,أكتوبر
536,Oktober::N,ഒക്ടോബർ,تشرين الأول
537,November::N,നവംബർ,نوفمبر
538,November::N,നവംബർ,تشرين الثاني
539,Dezember::N,ഡിസംബർ,ديسمبر
540,Dezember::N,ഡിസംബർ,كانون الأول
541,Montag::N,തിങ്കളാഴ്ച,يوم الاثنين
542,Dienstag::N,ചൊവ്വ,يوم الثلاثاء
543,Mittwoch::N,ബുധനാഴ്ച,يوم الأربعاء
544,Donnerstag::N,വ്യാഴാഴ്ച,يوم الخميس
545,Freitag::N,വെള്ളിയാഴ്ച,يوم الجمعة
546,Samstag::N,ശനിയാഴ്ച,يوم السبت
547,Sonntag::N,ഞായറാഴ്ച,يوم الأحد
548,groß::A,വലിയ,كبير
549,klein::A,ചെറിയ,صغير
550,lang::A,നീണ്ട,طويل
551,kurz::A,ഹ്രസ്വമായ,قصير
552,breit::A,വിശാലമായ,واسع
553,schmal::A,ഇടുങ്ങിയ,ضيق
554,dicht::A,നിബിഡമായ,كث
555,dicht::A,നിബിഡമായ,كثيف
556,dick[Gegenstand]::A,തടിച്ച,غليظ
557,dünn::A,മെലിഞ്ഞ,رفيع
558,fein::A,നേർത്ത,رقيق
559,fest::A,ഉറപ്പുള്ള,متين
560,flach::A,പരന്ന,سهل
561,flach::A,പരന്ന,منبسط
562,glatt::A,മിനുസമുള്ള,ناعم
563,hart::A,കട്ടിയുള്ള,صلب
564,hart::A,കട്ടിയുള്ള,جامد
565,weich::A,മൃദുവായ,لين
566,rund::A,വട്ടത്തിലുള്ള,مستدير
567,spitz::A,മുനയുള്ള,مدبب
568,scharf::A,മൂർച്ചയുള്ള,حاد
569,stumpf::A,തുറന്നടിക്കുന്ന,ثالم
570,schwer::A,ഭാരമുള്ള,ثقيل
571,schön::A,മനോഹരമായ,جميل
572,heiß::A,ചൂടുള്ള,حار
573,heiß::A,ചൂടുള്ള,ساخن
574,warm::A,ചൂടുള്ള,دافئ
575,kalt::A,തണുത്ത,بارد
576,kühl::A,തണുപ്പുള്ള,قر
577,frisch::A,ശുദ്ധമായ,طازج
578,feucht::A,ഈറനുള്ള,رطب
579,nass::A,നനഞ്ഞ,مبلول
580,trocken::A,വരണ്ട,جاف
581,voll::A,നിറയെ,ملء
582,leer::A,ഒഴിഞ്ഞ,خال
583,leer::A,ഒഴിഞ്ഞ,فارغ
584,offen::A,തുറന്ന,مفتوح
585,geschlossen::A,അടച്ച,مغلق
586,sauber::A,വൃത്തിയുള്ള,نظيف
587,schmutzig::A,അഴുക്കുനിറഞ്ഞ,قذر
588,roh::A,അസംസ്കൃതമായ,نيء
589,reif::A,പഴുത്ത,ناضج
590,lecker::A,രുചികരമായ,لذيذ
591,süß::A,മധുരമുള്ള,حلو
592,bitter::A,കടുത്ത,مر
593,sauer::A,പുളിപ്പുള്ള,حامض
594,hell::A,ജ്വലിക്കുന്ന,نير
595,dunkel::A,ഇരുണ്ട,مظلم
596,schwarz::A,കറുത്ത,أسود
597,weiß::A,വെളുത്ത,أبيض
598,rot::A,ചുവന്ന,أحمر
599,gelb::A,മഞ്ഞനിറമായ,أصفر
600,blau::A,നീലനിറമുള്ള,أزرق
601,grün::A,പച്ചനിറമുള്ള,أخضر
602,grau::A,ചാരനിറത്തിലുള്ള,رمادي
603,bunt::A,വർണ്ണശബളമായ,ملوب
604,billig::A,വിലകുറഞ്ഞ,رخيص
605,teuer::A,ചെലവേറിയ,غال
606,wertvoll::A,വിലപിടിപ്പുള്ള,ثمين
607,blind::A,അന്ധനായ,أعمى
608,taub::A,കേൾവിക്കുറവുള്ള,أصم
609,taub::A,കേൾവിക്കുറവുള്ള,أطرش
610,kräftig::A,ശക്തിയുള്ള,قوي
611,stark::A,ബലമുള്ള,قوي
612,schwach::A,ക്ഷീണിച്ച,ضعيف
613,fett::A,കൊഴുപ്പുള്ള,سمين
614,schlank::A,മെലിഞ്ഞ,أهيف
615,hübsch::A,മനോഹരമായ,جميل
616,böse::A,പാപിയായ,رديء
617,dumm::A,വിവരംകെട്ട,أبله
618,dumm::A,വിവരംകെട്ട,أحمق
619,faul::A,അലസനായ,كسلان
620,fleißig::A,അദ്ധ്വാനശീലമുള്ള,مجتهد
621,geizig::A,പിശുക്കനായ,بخيل
622,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,ذكي
623,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,عاقل
624,geschickt::A,പ്രതിഭാശാലി,ماهر
625,lieb::A,പ്രിയപ്പെട്ട,عزيز
626,lustig::A,ആനന്ദകരമായ,مرح
627,sanft::A,സൌമ്യമായ,حليم
628,hungrig::A,വിശപ്പുള്ള,جائع
